,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
1678,Banana plantain,3347761000038,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Nouille chinoise Mama chicken,8780987128561,,,,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,"2,9",,"1,5",,"9,1",,"0,6",,"1,2",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,
1680,Magret canard du Sud Ouest - Monoprix Gourmet,0206024062059,,['Monoprix Gourmet'],,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,33,,11,,"0,6",,"0,6",,16,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
1681,AR-MEN ROUSSE,3760010130230,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Lapin en chocolat - 80g,3274646192345,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,,['France'],[],[],36 g,en quantité élevée,22 g,en quantité élevée,50 g,en quantité élevée,0.18 g,en faible quantité,?,,562,+1%,2351 kj(562 kcal),+2%,36,+5%,22,+6%,51,-5%,50,-4%,"6,3",-4%,"0,18",-7%,"0,072",-7%,27,+3%,E,+3%,,,,,,,,80 g,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
1683,Plain Naan,5030039005023,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,La perruche mini ambrée,2072019049149,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Piemonte - Caffarel,8013108699474,,['Caffarel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,['France'],"['sucre', 'noisettes 20%', 'lait entier en poudre', 'pâte de cacao', 'beurre de cacao', 'graisse végétale ', 'de palme', 'lait écrémé en poudre', 'émulsifiant: lécithine ', 'de soja', 'arômes', "" Peut contenir d'autres fruits à coque""]","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",38 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.15 g,en faible quantité,?,,584,+10%,2443 kj(584 kcal),+11%,38,+19%,15,-14%,51,-3%,44,-7%,"8,1",+38%,"0,15",-2%,"0,06",-2%,26,+7%,E,+7%,,,,,,,,,['Fabriqué en Italie'],['E322i - Lécithine'],"['Fruits à coque', 'Soja']",4,,,,,,,
1686,Saucisse de viande,4036117012489,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Moulage de chocolat au lait décoré - Rohan - 290g,3273070011529,,['Rohan'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,290 g,,,,,,,,,,,
1688,palais d'ébène,3421372104160,,"[""Palais D'Ébène""]",,,,['France'],[],[],,,,,,,,,?,,571,,2389 kj(571 kcal),,43,,26,,33,,28,,8,,"0,02",,"0,008",,,,,,,,,,,,,,"['Commerce équitable', 'Bio', 'Bio européen', 'Max Havelaar', 'FR-BIO-10']",,,,,,,,,,
1689,Feuilles Millimétrées,3601020015738,,,,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,9,,2,,9,,6,,3,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,
1690,Lait,3663293002532,,,,,,['France'],[],[],,,,,,,,,?,,477,,1996 kj(477 kcal),,"3,8",,"2,5",,12,,12,,"7,8",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,
1691,Comptoirs de Mathilde,3760170097510,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Coat'n Bake - 2.75oz,0043427195270,,,,,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,"0,5",,0,,17,,11,,0,,"0,5",,"0,2",,,,,,,,,,,,,2.75 oz,,,,,,,,,,,
1693,Sainte Maure,06594343,,,,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,23,,16,,1,,1,,20,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
1694,Choco Frutas,7441136202372,,,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,8,,5,,11,,11,,2,,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,
1695,Manden gemahlen,4009012100278,,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Wotsits - Walkers,5000328745503,,['Walkers'],,,,['France'],[],[],,,,,,,,,?,,164,,686 kj(164 kcal),,"9,9",,"1,2",,2,,"0,8",,"1,7",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,,,,
1697,Dole Red Seetless Grapes,4050328191931,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Nougat tendre de Montelimar,0565950957953,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,,['France'],[],[],13.7 g,en quantité modérée,0.9 g,en faible quantité,69 g,en quantité élevée,0.05 g,en faible quantité,?,,444,-2%,1858 kj(444 kcal),-2%,"13,7",-18%,"0,9",-48%,74,+12%,69,+21%,"6,2",-20%,"0,05",+40%,"0,02",+40%,15,-5%,D,-5%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1699,Wibele,4009918701067,,,,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"0,2",,"0,1",,"88,7",,"49,11",,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
1700,Sauce tajine - 350g,5410153741371,,,,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,3,,"0,5",,"6,5",,"1,2",,"1,2",,45,,18,,,,,,,,,,,,,350 g,,,,,,,,,,,
1701,The des vacances bio,3700809350678,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1702,Écorces d'orange enrobées au chocolat noir,2600967032144,,,,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,20,,12,,57,,53,,"3,5",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,
1703,Orzo perlato „CRAI“ - 500g,8002895071761,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,500 g,,,,,,,['Sacchettino'],,,,
1704,Lenticchie rosse - 1000g,3800225661324,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1000 g,,,,,,,['Sacchettino'],,,,
1705,Chateau bourdieu,3760124890464,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,['France']
1706,Le poulet du rôtisseur - Maître Coq,0215231067962,,['Maître Coq'],,,,['France'],[],[],,,,,,,,,?,,181,,757 kj(181 kcal),,9,,"2,5",,1,,0,,24,,1,,"0,4",,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
1707,Moscato D'asti Casarito,8056457510014,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Milk chocolate fudge - Marks & Spencer,00166768,,['Marks & Spencer'],,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,"25,3",,"15,6",,"65,5",,"52,3",,"3,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
1709,Cookies trois chocolats,9876754344773,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Beaufort AOP - 0.237kg,0278544037329,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']","['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,['France'],[],[],32 g,en quantité élevée,20 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,?,,390,-3%,1632 kj(390 kcal),-3%,32,-0%,20,-3%,2,+118%,2,+905%,27,+2%,1,-12%,"0,4",-12%,13,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,0.237 kg,['AOP'],,,,,,,,,,
1711,Traditional pasties,20037000,,,,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,"13,9",,"5,9",,"28,6",,"1,8",,"5,5",,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,
1712,Gewürze per Fondue - 50g,4005924105813,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50 g,,,,,,,['Flaccone'],,,,
1713,7898963034575,7898963034575,,,,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,"8,9",,"4,7",,13,,0,,2,,"0,039",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,
1714,Bande flan,0260298032477,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,"Whiskie 1,75L",5099873045152,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,9120018530908,9120018530908,,,,,,['France'],[],[],,,,,,,,,?,,451,,1887 kj(451 kcal),,37,,20,,"0,5",,"0,5",,29,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,
1717,Nougat de cacahuète,8435265902349,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Melange muesli - Meyva - 5kg,3418659100991,,['Meyva'],,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,11,,1,,59,,26,,10,,"0,02",,"0,008",,,,,,,,,,,,,5 kg,,,,,,,,,,,
1719,Datte Medjoul,2609923045464,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",,,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,?,,322,+1%,1347 kj(322 kcal),+1%,"0,2",+2%,0,,75,+0%,"66,5",+0%,"1,8",0%,"0,01",+32%,"0,004",+32%,8,+8%,C,+8%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,
1720,Bratwurst nackt,4260085156146,,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,
1721,Coffret Pâques Praliné Feuilleté Noir & Lait - Comptoir du Cacao,3760078999619,,['Comptoir du Cacao'],,,,['France'],[],[],,,,,,,,,?,,559,,2339 kj(559 kcal),,37,,15,,45,,37,,8,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,
1722,Madeleine enrobées,3770013058028,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,
1723,Guimauve ourson assorti - sucralys - 200,3760195982228,,['Sucralys'],"['Snacks', 'Snacks sucrés']",,,['France'],"['6040 Guima ve Ourson assorti limauves fantaisie ehrobée de chocolat lait', 'blanc ou noir rédients A', ' Guimauve: durson lait ', 'sirop de glucose-fructose poudre de LAIT entier', 'pate de ao', 'gelatine LACTOSER en poudre', 'émulsifiant lécithine urmesal arômes', ' Guin e ourson noir ', 'Sirop de glucose eau', 'beurre de icad ocolat inoir 30%jcre', ' pâte de cacao', 'beurre de e SOJA', 'arome LAIT', ' sirop de reygelatine/arôme', ' Guimauve ourson blanc ', 'Sirop ructose', 'chocolat blanc 30% ', 'sucre', 'beurre de Aentier en poudre', 'émulsifiant lécithines de $OJA emulsifant eglucose', 'sucre', ' gélatine', ' arôme', ' tionnelles pour 100g Energie']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200,,['E428 - Gélatine'],"['Lait', 'Soja']",4,,,['Sachet'],,,,
1724,Filets de poulet avec peau - Carrefour,2227548022631,D,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['Carrefour'],['France'],[],[],7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,168,+28%,703 kj(168 kcal),+29%,"7,1",+147%,"1,9",+155%,"0,8",+67%,"0,7",+188%,25,+10%,"1,4",+87%,"0,56",+87%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1725,Melon deshydraté aromatisé,2600103026761,,,,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,0,,0,,87,,72,,0,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,['Melon déshydraté'],,,,
1726,Papaye deshydratée,2600432023295,,,,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,0,,0,,85,,76,,0,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,
1727,Nature Addicts - Rice crackers sel & vinaigre,3699914905616,,,,,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,"9,8",,"1,8",,81,,"0,5",,7,,"2,1",,"0,84",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1728,Gaufrettes Fourrées au Miel,5410038507054,,,,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,"15,4",,10,,"71,3",,40,,"3,6",,"0,61",,"0,244",,,,,,,,,,,,,,,,,,,,,,,,
1729,Karelea ligne control son avoine à cuisiner/saupoudrer,3456300001679,,,,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,"7,45",,"1,46",,"51,2",,"1,17",,"14,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1730,Sugo all'arrabbiata,8034108470665,,,,,,['France'],[],[],,,,,,,,,?,,63,,264 kj(63 kcal),,"3,3",,"0,5",,"5,8",,5,,"1,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
1731,Tropezienne,0300056000017,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,,['France'],[],[],12 g,en quantité modérée,9.5 g,en quantité élevée,26 g,en quantité élevée,1.6 g,en quantité élevée,?,,330,+20%,1381 kj(330 kcal),+20%,12,+18%,"9,5",+39%,51,+31%,26,+29%,"4,6",+8%,"1,6",+221%,"0,64",+221%,25,+66%,E,+66%,,,,,,,,,,,,,,,,,,,
1732,Bonbons aux huiles essentiels Pin et Eucalyptus,3338396050017,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Lindor - 180g,8003340048772,,['Lindor'],,,,['France'],[],[],,,,,,,,,?,,637,,2665 kj(637 kcal),,52,,39,,34,,32,,5,,"0,05",,"0,02",,,,,,,,,,,,,180 g,,,,,,,,,,,
1734,Rooibos,3429738152756,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
1735,Flan nature Leclerc,,B,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,,['France'],[],[],6.7 g,en quantité modérée,3.5 g,en quantité modérée,17 g,en quantité élevée,0.2 g,en faible quantité,?,,179,-14%,749 kj(179 kcal),-15%,"6,7",-13%,"3,5",-25%,26,-11%,17,-4%,"3,3",-10%,"0,2",-18%,"0,08",-18%,6,-38%,C,-38%,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,
1736,Croquants aux amandes - 150g,3770011734092,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,
1737,Mon 1er petit pot Epinards,5037498022943,,,,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,1",,"0,021",,"4,3",,"0,5",,"1,7",,"0,07",,"0,028",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1738,Les petits carrés poivre noir,3770008206113,,,,,,['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,425,,1778 kj(425 kcal),,"18,8",,"2,5",,"50,5",,"9,7",,"9,8",,"0,96",,"0,384",,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Sans conservateurs', 'Végétalien', 'en:palm-oil-free']",,,,,,,,,,
1739,Choco mix,2609932032479,,,,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,34,,14,,45,,40,,10,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
1740,Treccine mandorlate - 250g,8032539700436,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 g,,,,,,,['Sacchettino'],,,,
1741,Creféd,4056489012658,,,,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,23,,"16,1",,"3,5",,"3,5",,6,,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,
1742,Delba Organic Rye Bread,4007933454012,,,,,,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,"1,4",,"0,3",,"33,9",,3,,"4,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,
1743,Graine de citrouille salés et grillés,6262477910082,,,['Graines de citrouille'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Théia Mélange Minceur - 100g,0009252167417,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
1745,phlebocreme,3400931314936,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,L'ancelle,2309633010928,,,,,,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"2,9",,"1,1",,"1,1",,"0,7",,"22,4",,"2,81",,"1,124",,,,,,,,,,,,,,,,,,,,,,,,
1747,Fleurs des Alpes,3760150331726,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,pancement 5x5cm - x7,7323190197958,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,x7,,,,,,,,,,,
1749,Brie roitelet,0207104018300,,,,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,32,,23,,0,,0,,16,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
1750,Noix de cajou bio,3700216252787,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,['France'],[],[],43.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,553,-8%,2314 kj(553 kcal),-7%,"43,85",-5%,0,-100%,"30,19",+18%,0,-100%,"18,22",-3%,0,-100%,0,-100%,-4,-153%,A,-153%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,"['Bio', 'Sans conservateurs']",,,,,,,,,,
1751,Filets de poulet rôtis,2917436012560,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,"0,5",-13%,"0,5",+15%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1752,Miel de fleurs crémeux,3263620616069,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1753,2600247028737,2600247028737,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,"Oeuf Plast.toblerone 211G,",7622300530754,,,,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,29,,"17,5",,60,,59,,"5,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1755,Jus orange pommme kaki - U,3256226461461,,['U'],,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"0,5",,"0,1",,"9,4",,"9,3",,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
1756,Five Spices Cooded Beef Strips With Sugar and Sweetener,5034258003358,,,,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,"8,7",,"3,9",,"23,9",,"14,5",,"36,8",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,
1757,Melange d'olives dénoyautées,2609801015688,,,,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,"19,8",,"2,8",,"2,2",,"0,5",,"1,2",,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,,
1758,Pata cabanes,0294983016534,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Trufflehunter Huile De Truffe Noire (Très Concentrée),0609722869331,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Grand vin de Bordeaux,3760055225113,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,['France']
1761,Tapenade - Sacla,8001060013490,,['Sacla'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Magret de canard,2205791005199,E,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,,['France'],[],[],33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,?,,366,+8%,1531 kj(366 kcal),+8%,33,+13%,11,+10%,"0,6",-52%,"0,6",-10%,16,-11%,"0,1",-94%,"0,04",-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,
1763,Sauce napolitaine - Perrin,3760018710083,B,['Perrin'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces napolitaines']",,,['France'],[],[],1 g,en faible quantité,1 g,en faible quantité,2.9 g,en faible quantité,0.35 g,en quantité modérée,?,,29,-51%,121 kj(29 kcal),-50%,1,-59%,1,+198%,4,-41%,"2,9",-48%,"0,9",-37%,"0,35",-64%,"0,14",-64%,1,-24%,B,-24%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,,,,,
1764,Premium roasted SEAWEED ALGUES,0851093004693,,,,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,40,,0,,20,,0,,20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1765,Tata Yoyo,3770007109132,,,,,,['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,"27,1",,"2,9",,"27,8",,"6,6",,"16,7",,"0,03",,"0,012",,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,
1766,Taboulé au poulet,3300842240426,,,,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,10,,"1,1",,19,,"1,6",,"5,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
1767,Fuet extra - 1g,8421395011044,,,['ca:Fuet'],,,['France'],[],[],38 g,en quantité élevée,14 g,en quantité élevée,2.6 g,en faible quantité,4.3 g,en quantité élevée,?,,478,+7%,2000 kj(478 kcal),+7%,38,+7%,14,+7%,"3,3",-21%,"2,6",+12%,30,+12%,"4,3",+8%,"1,72",+8%,25,+1%,E,+1%,,,,,,,,1 g,,,,,,,,,,,
1768,Poulet u,0253080067634,,,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,"1,3",,"0,4",,0,,0,,23,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
1769,Mélange de Céréales à la Méditerranéenne,3700146204382,,,,,,['France'],[],[],,,,,,,,,?,,499,,2088 kj(499 kcal),,25,,"6,6",,49,,6,,17,,"1,43",,"0,572",,,,,,,,,,,,,,,,,,,,,,,,
1770,Eau,7452077808028,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
