,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
1389,Datte,6130413000961,,,,['France'],[],[],?,329,"0,4",75,"2,4",,,,,,,,,,,,,,,,,,,,,,,,1377 kj(329 kcal),,0,,"63,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
1390,Tarte au fraises 6 parts,,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Baies de goji,3111952028305,,,,['France'],[],[],?,328,"1,2","66,3","13,3",,,,,,,,,,,,,,,,,,,,,,,,1372 kj(328 kcal),,"0,26",,49,,"0,6",,"0,24",,,,,,,,,,,,,,,,,
1392,Aiguillettes de poulet fermier biologique -,2268496041398,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],['aiguillettes de poulet 100%'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,B,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,1,,,,,,,
1393,Prednisolane,3400936117389,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Yaourt sucré a la fraise,3770000402490,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,CAILLETTE A LA PROVENCALE - Le Comptoir de Mathilde,3700961301945,['Le Comptoir de Mathilde'],,,['France'],[],[],?,339,27,11,16,,,,,,,,,,,,,,,,,,,,,,,,1418 kj(339 kcal),,"9,8",,"1,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,
1396,Beignet framboise décongel -,0210015011032,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],?,282,"8,7",42,"6,1",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise']",,-5%,-15%,-3%,+1%,,,,,,,,,8.7 g,en quantité modérée,1.2 g,en faible quantité,13 g,en quantité élevée,0.69 g,en quantité modérée,1180 kj(282 kcal),-5%,"1,2",-37%,13,-8%,"0,69",-2%,"0,276",-2%,6,-26%,C,-26%,,,,,,,,,,,Beignets fourrés à la purée de framboise,
1397,Baies d'açaí,3770009487269,,['Bio'],,['France'],[],[],?,107,"5,6","12,2","0,9",,,,,,,,,,,,,,,,,,,,,,,,448 kj(107 kcal),,"1,3",,"9,6",,0,,0,,,,,,,,,,,,,,,,,
1398,Poulet Fumé -,2633750043423,,,,['France'],"['poulet', 'sel', 'dextrose', 'E450', 'E451', 'antioxydant: E301', 'conservateur: lactate de sodium', 'arôme de tomate']","['Non végétalien', 'Non végétarien']",?,175,"8,3","0,48","24,5",C,"['Viandes', 'Volailles', 'Poulets', 'Poulet fumé']",,+16%,+43%,-76%,+20%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 59.578.001 CE', 'Steenbecque (Nord, France)']",8.3 g,en quantité modérée,2.7 g,en quantité modérée,0.48 g,en faible quantité,0.7 g,en quantité modérée,732 kj(175 kcal),+16%,"2,7",+80%,"0,48",+9%,"0,7",-18%,"0,28",-18%,2,+42%,B,+42%,,['Plastique'],['France'],,4,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E325 - Lactate de sodium']",,,,poulet fumé,
1399,1/4 jambon cuit supérieur fumé dans le haut-doubs,2281527103124,,,,['France'],[],[],?,140,"5,5","0,4",24,,,,,,,,,,,,,,,,,,,,,,,,586 kj(140 kcal),,"1,5",,"0,4",,"1,76",,"0,704",,,,,,,,,,,,,,,,,
1400,Baies d'açaí,3770009487269,,['Bio'],,['France'],[],[],?,107,"5,6","12,2","0,9",,,,,,,,,,,,,,,,,,,,,,,,448 kj(107 kcal),,"1,3",,"9,6",,0,,0,,,,,,,,,,,,,,,,,
1401,Poulet Fumé -,2633750043423,,,,['France'],"['poulet', 'sel', 'dextrose', 'E450', 'E451', 'antioxydant: E301', 'conservateur: lactate de sodium', 'arôme de tomate']","['Non végétalien', 'Non végétarien']",?,175,"8,3","0,48","24,5",C,"['Viandes', 'Volailles', 'Poulets', 'Poulet fumé']",,+16%,+43%,-76%,+20%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 59.578.001 CE', 'Steenbecque (Nord, France)']",8.3 g,en quantité modérée,2.7 g,en quantité modérée,0.48 g,en faible quantité,0.7 g,en quantité modérée,732 kj(175 kcal),+16%,"2,7",+80%,"0,48",+9%,"0,7",-18%,"0,28",-18%,2,+42%,B,+42%,,['Plastique'],['France'],,4,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E325 - Lactate de sodium']",,,,poulet fumé,
1402,1/4 jambon cuit supérieur fumé dans le haut-doubs,2281527103124,,,,['France'],[],[],?,140,"5,5","0,4",24,,,,,,,,,,,,,,,,,,,,,,,,586 kj(140 kcal),,"1,5",,"0,4",,"1,76",,"0,704",,,,,,,,,,,,,,,,,
1403,Betteraves rouge,3252732011008,,,,['France'],[],[],?,54,"0,5",13,"0,9",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,,+165%,+63%,-44%,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,0.03 g,en faible quantité,226 kj(54 kcal),+20%,"0,1",+652%,10,+40%,"0,03",-68%,"0,012",-68%,-3,,A,,,,,,,,,,,,,
1404,Raisins sec sultana,3288850000068,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Cœur de Guemene,2133642001154,,['Sans colorants'],,['France'],[],[],?,269,19,1,22,,,,,,,,,,,,,,,"['FR 35.124.002 CE', 'Grand-Fougeray (Ille-et-Vilaine, France)']",,,,,,,,,1125 kj(269 kcal),,9,,0,,"1,2",,"0,48",,,,,,,,,,,,,,,,,
1406,Oignon jaune,3760262461007,,,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Chipolatas supérieures - Casino,29010387,['Casino'],"['Sans colorants', 'Viande-francaise', 'Viande-porcine-francaise']",['Casino'],['France'],[],[],?,270,23,"0,7",15,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,+13%,+22%,-40%,-3%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,"['EMB 84054K', 'Isle-sur-la-Sorgue (Vaucluse, France)']",23 g,en quantité élevée,9.5 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,1130 kj(270 kcal),+13%,"9,5",+32%,0,-100%,"2,1",+17%,"0,84",+17%,21,+27%,E,+27%,,,,,,,,,,,,
1408,Fourrés chocolat - Jardin Bio,55091145,['Jardin Bio'],"['Bio', 'Sans lactose', 'en:palm-oil-free']",,['France'],[],['Sans huile de palme'],?,484,21,65,7,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']",,+3%,+9%,-3%,+20%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,21 g,en quantité élevée,8 g,en quantité élevée,26 g,en quantité élevée,1 g,en quantité modérée,2025 kj(484 kcal),+3%,8,-6%,26,-21%,1,+81%,"0,4",+81%,22,+11%,E,+11%,,,,,,,,,,,,
1409,Haricots Cuisinés a la graisse de canard - 360g,3304185000136,,,,['France'],[],[],?,99,"1,1",14,"5,7",,,,,,,,,,,,,,,,,,,,,,,,414 kj(99 kcal),,"0,1",,3,,"1,2",,"0,48",,,,,,360 g,,,,,,,,,,,
1410,Kaffee Miscela Classico (Giuseppetti) - 1kg,8001681071657,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,['Beutel'],,,,,,,,,,
1411,Filets de poulet roti - Le Gaulois,2431628020732,['Le Gaulois'],['Sans conservateurs'],,['France'],[],[],?,151,"5,8",0,24,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+15%,+101%,-100%,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,632 kj(151 kcal),+16%,"1,4",+88%,0,-100%,"1,4",+87%,"0,56",+87%,3,,C,,,,,,,,,,,,,
1412,Crepe nutella,0206488018371,['Nutella'],,,['France'],[],[],?,518,30,56,6,,,,,,,,,,,,,,,,,,,,,,,,2167 kj(518 kcal),,10,,54,,"0,14",,"0,056",,,,,,,,,,,,,,,,,
1413,Eiswaffeln - 2000g,4001518111000,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 g,"['Stück', 'Stück']",,,,,,,,,,
1414,Rochers Manioc,3760188080481,,,,['France'],[],[],?,498,"21,8","67,9","5,91",,,,,,,,,,,,,,,,,,,,,,,,2084 kj(498 kcal),,"13,5",,"39,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,
1415,Mini pizza provococa queso azul - 200g,8437015005157,,,,['France'],[],[],?,409,"26,82","26,21","14,93",,,,,,,,,,,,,,,,,,,,,,,,1711 kj(409 kcal),,"10,76",,"0,91",,"1,34",,"0,536",,,,,,200 g,,,,,,,,,,,
1416,Velouté de tomates,3760262231143,,['Sans conservateurs'],,['France'],[],[],?,70,"6,5","3,7","0,9",,,,,,,,,,,,,,,,,,,,,,,,293 kj(70 kcal),,1,,"1,2",,"0,71",,"0,284",,,,,,,,,,,,,,,,,
1417,Mungo Bohnensprossen - 200g,4000784100008,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,['Kunststoff'],,,,,,,,,,
1418,Entrecote - Charal,2494558044285,['Charal'],"['Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['FR 19.073.002 CE', 'Égletons (Corrèze, France)', 'FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Saucisse bœuf porc persillée,2232533023227,,,,['France'],[],[],?,216,"16,1","2,5","15,2",,,,,,,,,,,,,,,,,,,,,,,,904 kj(216 kcal),,6,,"0,5",,"1,6",,"0,64",,,,,,,,,,,,,,,,,
1420,Brochettes de dinde au paprika,0217936021386,,,,['France'],[],[],?,137,"6,9","0,8",18,,,,,,,,,,,,,,,,,,,,,,,,573 kj(137 kcal),,"1,9",,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,
1421,Terrine de porc a l'ancienne,3447867200025,,,,['France'],[],[],?,363,33,"2,2",14,,,,,,,,,,,,,,,,,,,,,,,,1519 kj(363 kcal),,13,,0,,"2,5",,1,,,,,,,,,,,,,,,,,
1422,Saucisson sec maison Chassagnard,2678262039694,,,,['France'],[],[],?,463,38,"2,8",27,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,+15%,+20%,+26%,-2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,38 g,en quantité élevée,13 g,en quantité élevée,1.3 g,en faible quantité,4.5 g,en quantité élevée,1937 kj(463 kcal),+15%,13,+6%,"1,3",-5%,"4,5",-4%,"1,8",-4%,25,+4%,E,+4%,,,,,,,,,,,,
1423,Poitrine de porc fumée extra,2238769018433,,,,['France'],[],[],?,202,15,"0,9",16,,,,,,,,,,,,,,,,,,,,,,,,845 kj(202 kcal),,"5,2",,"0,9",,"3,8",,"1,52",,,,,,,,,,,,,,,,,
1424,100g,3252550610025,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
1425,Rôti de porc - Carrefour Bio,2227849041393,"['Carrefour Bio', 'Carrefour']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']",['Carrefour'],['France'],[],[],?,169,"7,6","0,6",24,D,"['Viandes', 'Porc', 'Rôtis de porc']",,+17%,+51%,-27%,+7%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['EMB 29004D', 'Bannalec (Finistère, France)', 'EMB 29004O', 'Bannalec (Finistère, France)']",7.6 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,707 kj(169 kcal),+19%,3,+44%,"0,5",-20%,"1,4",-19%,"0,56",-19%,5,-30%,C,-30%,,,,,,,,,,,,
1426,Roti de porc superieur,2859760017715,,,,['France'],[],[],?,?,?,?,?,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,Jambon,2255182023394,,['Fabriqué en Italie'],,['France'],[],[],?,269,"18,1","0,3","26,3",,,,,,,,,,,,,,,,,,,,,,,,1125 kj(269 kcal),,6,,0,,"5,2",,"2,08",,,,,,,,,,,,,,,,,
1428,Poitrine salée au sel sec,2450075002481,,,,['France'],[],[],?,341,31,"0,5",15,,,,,,,,,,,,,,,,,,,,,,,,1427 kj(341 kcal),,12,,"0,5",,"3,4",,"1,36",,,,,,,,,,,,,,,,,
1429,Brisures de Truffes Noires du Périgord,3461952235488,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,Chorizo - 0.170kg,2429133017125,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['FR 44.102.002 CE', 'Montbert (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,,,,,,0.170 kg,,,,,,,,,,,
1431,Innocent super smoothie - 750ml,5938869239673,['Innocent'],,,['France'],[],[],252,60,"0,9",12,"0,6",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']",+6%,+5%,+154%,-1%,-5%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,0.9 g,en faible quantité,0.13 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,252 kj(60 kcal),+6%,"0,13",+7%,10,-7%,0,-100%,0,-100%,16,+54%,E,+54%,750 ml,,,,,,,,,,,
1432,Boudin de langue,2448663019225,,,,['France'],[],[],?,222,16,"1,6",18,,,,,,,,,,,,,,,,,,,,,,,,929 kj(222 kcal),,"5,9",,"0,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,
1433,Yaourt au lait de Savoie,3414170012645,,,,['France'],[],[],?,91,3,13,3,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourt au lait de Savoie']",,-1%,-8%,+18%,-20%,,,,,,,,,3 g,en quantité modérée,2 g,en quantité modérée,13 g,en quantité élevée,0.5 g,en quantité modérée,381 kj(91 kcal),-1%,2,-2%,13,+29%,"0,5",+335%,"0,2",+335%,5,+63%,C,+63%,,,,,,,,,,,,
1434,Foie de boeuf,2438435012868,,"['Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,128,"3,6","3,9",20,,,,,,,,,,,,,,,,,,,,,,,,536 kj(128 kcal),,"1,2",,0,,"0,17",,"0,068",,,,,,,,,,,,,,,,,
1435,Baby Kiwi - 125g,3385630001984,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,
1436,Cordon Bleu Halal,2855091010852,,['Halal'],,['France'],[],[],?,230,14,14,12,D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,+4%,+16%,+1%,-9%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,14 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,1.7 g,en quantité élevée,962 kj(230 kcal),+4%,"2,8",-12%,"0,6",-62%,"1,7",+31%,"0,68",+31%,11,+55%,D,+55%,,,,,,,,,,,,
1437,Rib's de porc à l'ail des ours,2460062026505,,"['Sans colorants', 'Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,232,17,0,18,,,,,,,,,,,,,,,"['FR 16.015.015 CE', 'Angoulême (Charente, France)']",,,,,,,,,971 kj(232 kcal),,7,,0,,"0,48",,"0,192",,,,,,,,,,,,,,,,,
1438,Baguette de tradition BIO,0207987006562,,"['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Poivre,3760283863200,,['Bio'],,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres']",,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Jambon sec sup Aveyron 4 tranches,2693024021120,,,,['France'],[],[],?,?,?,?,?,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Fruits au sirop,3764000011356,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Terrine de Lapin - Carrefour,0219178021919,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,,,,,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Pain de mie - Leader Price - 149550g,09761711,['Leader Price'],,['Leader Price'],['France'],[],[],?,293,"6,3","50,1","7,6",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,+10%,+41%,+9%,-10%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,6.3 g,en quantité modérée,0.7 g,en faible quantité,7.5 g,en quantité modérée,1.2 g,en quantité modérée,1226 kj(293 kcal),+9%,"0,7",+8%,"7,5",+44%,"1,2",+5%,"0,48",+5%,5,+245%,C,+245%,149550 g,,,,,,,,,,,
1444,Crete de coque,3770000172133,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Saveur citron,54442870,,,,['France'],[],[],?,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),,0,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,
1446,Purée de carottes,3151400000002,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Vin,3268535400512,,,,['France'],[],[],?,?,?,?,?,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Wok asiatique,2868071022110,,['Sans conservateurs'],,['France'],[],[],?,20,"0,5","1,9","1,8",,,,,,,,,,,,,,,,,,,,,,,,84 kj(20 kcal),,"0,13",,"0,1",,"0,033",,"0,013",,,,,,,,,,,,,,,,,
1449,Pâté de porc aux oignons grilles - 90g,3269617107008,,"['Sans colorants', 'Sans conservateurs', 'Fabriqué en France']",,['France'],[],[],?,310,25,8,14,,,,,,,,,,,,,,,,,,,,,,,,1297 kj(310 kcal),,9,,2,,2,,"0,8",,,,,,90 g,,,,,,,,,,,
1450,"L'original, jambon cuit supérieur",0239350019695,,,,['France'],[],[],?,132,"5,7","0,8",19,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,0%,+19%,+20%,-10%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['FR 58.079.005 CE', 'Clamecy (Nièvre, France)']",5.7 g,en quantité modérée,1.9 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en quantité modérée,552 kj(132 kcal),+1%,"1,9",+3%,"0,8",+34%,"1,5",-20%,"0,6",-20%,3,-57%,C,-57%,,,,,,,,,,,,
1451,Yaourt fermier Marty-Débat banane,3760267350153,,,,['France'],[],[],?,70,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,293 kj(70 kcal),,2,,5,,0,,0,,,,,,,,,,,,,,,,,
1452,Briochette saint Genis ✖ 2,3276556363488,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Ripple - Galaxy,5000159458658,['Galaxy'],,,['France'],[],[],?,529,"29,1","58,7","7,1",,,,,,,,,,,,,,,,,,,,,,,,2213 kj(529 kcal),,"17,2",,"58,2",,"0,31",,"0,124",,,,,,,,,,,,,,,,,
1454,Beignets -,1900000013736,,,,['France'],[],[],?,327,11,46,11,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,-8%,-30%,+2%,+74%,,,,,,,,,11 g,en quantité modérée,5.9 g,en quantité élevée,8.2 g,en quantité modérée,1.3 g,en quantité modérée,1368 kj(327 kcal),-8%,"5,9",+70%,"8,2",-50%,"1,3",+76%,"0,52",+76%,15,+25%,D,+25%,,,,,,,,,,,Beignets fourrés à la purée pomme-framboise,
1455,Steak de cheval,2405373022372,,,,['France'],[],[],?,107,"2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,448 kj(107 kcal),,0,,0,,0,,0,,,,,,,,,,,,,,,,,
1456,Orange pur jus Bio - Sanofruit,3566140331048,['Sanofruit'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,45,"0,11","9,58","0,61",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,+5%,-38%,-1%,-3%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,0.11 g,en faible quantité,0.053 g,en faible quantité,9.58 g,en quantité élevée,0.004 g,en faible quantité,188 kj(45 kcal),+3%,"0,053",+106%,"9,58",+5%,"0,004",-55%,"0,002",-55%,4,+34%,C,+34%,,,,,,,,,,,,
1457,Pesto chips,8010939404833,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,4750007817663,4750007817663,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Banderillas Picantes - La Fragua,8436006910630,['La Fragua'],,,['France'],[],[],?,29,"1,2","3,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,121 kj(29 kcal),,"0,6",,"0,5",,"2,7",,"1,08",,,,,,,,,,,,,,,,,
1460,"""Le Pédat"" Reblochon de savoie",0201158046241,,['AOP'],,['France'],[],[],?,329,27,"0,5",21,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+2%,+1%,+36%,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,27 g,en quantité élevée,18 g,en quantité élevée,0.001 g,en faible quantité,1.4 g,en quantité modérée,1377 kj(329 kcal),+2%,18,-4%,"0,001",-100%,"1,4",+4%,"0,56",+4%,15,+5%,D,+5%,,,,,,,,,,,,
1461,Fraise - 250g,3376440000021,,['Label Rouge'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1462,Jesuites creme,0204198017387,,,,['France'],[],[],?,333,17,40,"4,4",,,,,,,,,,,,,,,,,,,,,,,,1393 kj(333 kcal),,"7,8",,16,,"0,68",,"0,272",,,,,,,,,,,,,,,,,
1463,Nouilles thai Tomyum noodles,8857056004696,,,,['France'],[],[],?,250,9,36,7,,,,,,,,,,,,,,,,,,,,,,,,1046 kj(250 kcal),,"4,5",,1,,"1,78",,"0,712",,,,,,,,,,,,,,,,,
1464,Les pitchoulines - Socopa,3039050632906,['Socopa'],"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,250,20,2,16,,,,,,,,,,,,,,,,,,,,,,,,1046 kj(250 kcal),,7,,1,,2,,"0,8",,,,,,,,,,,,,,,,,
1465,Crème brûlé,4016000001370,,,,['France'],[],[],?,?,?,?,?,C,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes brûlées']",,,,,,66.3%,20.6%,5.0%,4.6%,2.8%,0.8%,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Poulet fumé,2209705006449,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
