,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,additives,generic_name,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
65,Velouté de tomates bio,3389153100209,"['Bio', 'Fabriqué en France', 'Sans colorants']",['France'],[],[],?,199,833 kj(199 kcal),"0,9","0,5","7,5","3,4","1,5","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 86137', 'Loudun (Vienne, France)']",,,,,,,,,,,,,,
66,Demazel Bordeaux Moelleux,3455441787602,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ApériThon aux tomates bio - Cruscana,3253331401009,"['Sans colorants', 'Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,147,615 kj(147 kcal),"8,9","1,7","1,6","0,6",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cruscana'],,['MSC-C-57250'],,,,,,,,,,,,,,
68,"Velouté de potimarron, chataigne et muscade -",3580282264965,,['France'],[],[],?,46,192 kj(46 kcal),"2,4","1,2","4,5",2,"0,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Beurre -  - 250g,3199241011924,,['France'],[],[],?,725,3033 kj(725 kcal),80,55,"0,5","0,5",0,"2,4","0,96",,250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tagliatelle paglia e fieno,3760273250782,,['France'],[],[],?,282,1180 kj(282 kcal),"2,3","0,6","54,2","0,9","10,1","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Miel d'eucalyptus - Finabeil,3263628006565,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'eucalyptus""]",,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Finabeil'],,,,,,,,,,,,,,,,
72,75CL Rose D'anjou Rose,3455180054492,,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Rosé d'Anjou""]",,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,['France'],,,
73,Rose de l?Ile de beaute,3222474579258,,['France'],[],[],?,67,280 kj(67 kcal),"1,4","0,33","1,4","0,38","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Force G vitality bio,3515450056455,"['Bio', 'Sans conservateurs']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8 feuilletés jambon emmental champignons - Thiriet - 800g,3292590821111,,['France'],[],[],?,306,1280 kj(306 kcal),19,10,26,"1,9","7,8","1,1","0,44",E,800 g,"['Plats préparés', 'Feuilleté salé', 'Feuilletés jambon fromage']",19 g,en quantité modérée,10 g,en quantité élevée,1.9 g,en faible quantité,1.1 g,en quantité modérée,,+7%,+7%,+9%,-5%,+6%,-21%,+5%,+7%,+7%,75.0%,16.7%,3.7%,1.3%,0.7%,2.7%,25,['Thiriet'],['Thiriet'],,16,+1%,D,+1%,,,,,,,,,,
76,Hafervoll,42334705,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Foie gras de canard entier - Lucien Georgelin,3330720433435,,['France'],[],[],?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-32%,-0%,+8%,+8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Lucien Georgelin'],,,21,+1%,E,+1%,,,,,,,,,,
78,Rillettes de Thon au Chorizo,3700238317754,,['France'],[],[],?,184,770 kj(184 kcal),"13,2","6,9",2,"1,5","14,6",2,"0,8",D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de thon']",13.2 g,en quantité modérée,6.9 g,en quantité élevée,1.5 g,en faible quantité,2 g,en quantité élevée,,-13%,-14%,-16%,+83%,-5%,+57%,-5%,+92%,+92%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,16,+157%,D,+157%,,,,,,,,,,
79,Whey Isolat - 5kg,3770010399254,,['France'],[],[],?,380,1590 kj(380 kcal),"1,9","0,4",3,"0,5",94,"0,24","0,096",,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sirop pêche rhubarbe - Auchan,3596710473915,,['France'],[],[],?,326,1364 kj(326 kcal),"0,5","0,1",81,80,"0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Auchan'],"['EMB 76351A', 'Havre (Seine-Maritime, France)']",,,,,,,,,,,,,,
81,Vincinni,5310115004813,,['France'],[],[],?,542,2268 kj(542 kcal),31,"14,2",61,42,4,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4056489034353,4056489034353,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Chocolate negro relleno sabor menta sin gluten - El Corte Ingles,8433329073660,,['France'],[],[],?,522,2184 kj(522 kcal),32,21,54,53,"4,5","0,11","0,044",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",32 g,en quantité élevée,21 g,en quantité élevée,53 g,en quantité élevée,0.11 g,en faible quantité,,-6%,-6%,-19%,-9%,+40%,+67%,-41%,+136%,+136%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['El Corte Ingles'],,,26,+23%,E,+23%,,,,,,,,,,
84,Cuve de TLEMCEN,6132006200659,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Che thao moc,8934602002013,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Lili jumbo - Choceur,24058742,,['France'],[],[],?,559,2339 kj(559 kcal),"35,6","21,3","49,9","38,6","8,4","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Choceur'],,,,,,,,,,,,,,,,
87,Filet hareng label rouge -  - 200g,3324030014538,"['Sans colorants', 'Sans conservateurs', 'Pêche durable', 'Pêche durable MSC', 'Label Rouge']",['France'],"['Hareng 97% ', 'Clupea Harengus', ' peché en Atlantique Nord-Est FAO 27 IIl Mer de Norvege et autres sous-zones par sennes ou par chalut', 'sel 3%', ' Allergènes: poisson', 'traces éventuelles de mollusques']","['Non végétalien', 'Non végétarien']",?,175,732 kj(175 kcal),"11,5",3,"0,2","0,2","17,6",4,"1,6",,200 g,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de harengs']",11.5 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,4 g,en quantité élevée,,-8%,-7%,-12%,+3%,-80%,-65%,+11%,+26%,+26%,,,,,,,,,,,14,+10%,D,+10%,,['Poisson'],3,,,,,,,
88,Yogur líquido con coco y piña sin gluten,8433329094108,,['France'],[],[],?,70,293 kj(70 kcal),"0,8","0,5",13,13,"2,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Baguette Parisien - Crous Languedoc Roussillon - 180g,00011136,,['France'],"['PAIN BAGUETTE 66,7% : Farine de FROMENT', 'eau', 'levure', 'sel', ' Garniture 33,3%: Jambon 83,3% ', 'jambon de porc [origine France]', 'eau', 'sel', 'arômes naturels', 'dextrose', 'bouillon de porc déshydraté [eau', 'os et viande de porc', 'extrait de carotte et extrait de poireau]', 'sirop de glucose', 'chlorure de potassium', 'antioxydant : ascorbate de sodium', 'conservateur: nitrite de sodium', 'BEURRE léger 16,7% ', 'eau', 'BEURRE', 'amidon modifié E1422', 'amidon de pomme de terre', 'acidifiant: acide lactique', 'sel 0,4%', 'émulsifiant: E471', 'épaississant E 466', 'conservateur : sorbate de potassium', 'colorant béta-carotène', 'arome naturel', ' ', '% exprimés sur garniture']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,222,929 kj(222 kcal),"3,3","2,1","38,4","1,8","11,7","1,7","0,68",,180 g,"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au jambon']",3.3 g,en quantité modérée,2.1 g,en quantité modérée,1.8 g,en faible quantité,1.7 g,en quantité élevée,,-10%,-10%,-69%,-47%,+49%,-42%,+8%,+13%,+13%,,,,,,,,"['Crous Languedoc Roussillon', ""Crous Resto'""]",['Crous Languedoc Roussillon'],,9,-12%,C,-12%,['Sachet plastique'],"['Gluten', 'Lait']",4,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E1422 - Adipate de diamidon acétylé', 'E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E466 - Carboxyméthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,,,,,
90,Fozza chorizo et poivron super U - 290g,,,['France'],[],[],?,287,1201 kj(287 kcal),12,"5,4",32,"2,7",12,"1,5","0,6",,290 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Poelee chorizo gorgonzola et gnocchi - Auchan - 600g,3596710470136,"['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C']",['France'],[],[],?,175,732 kj(175 kcal),"9,2","3,9",15,"5,7","6,6","0,9","0,36",,600 g,"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",9.2 g,en quantité modérée,3.9 g,en quantité modérée,5.7 g,en quantité modérée,0.9 g,en quantité modérée,,+17%,+17%,+31%,+50%,+15%,+173%,-2%,+18%,+18%,,,,,,,,['Auchan'],['Auchan'],,3,+24%,C,+24%,,,,,,,,,,
92,Duo de lentilles - Monoprix,3350033678729,,['France'],[],[],?,191,799 kj(191 kcal),11,"1,9",13,0,"7,8","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],"['EMB 60139A', 'Chambly (Oise, France)', 'FR 60.139.011 CE', 'Chambly (Oise, France)']",,,,,,,,,,,,,,
93,Saumon fumé et spécialité fromagère - Marks & Spencer - 185g,822008973720050000235,,['France'],[],[],?,?,,?,,?,,?,,,B,185 g,"['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au saumon']",,,,,,,,,,,,,,,,,,,68.6%,11.8%,7.2%,8.4%,3.1%,0.8%,78,['Marks & Spencer'],,,,,,,,,,,,,,,,
94,Miel de lavande maritime Bio - Miel Besacier,3110770005239,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Miel Besacier'],,,,,,,,,,,,,,,,
95,Salmon jerky,5060030541985,['en:gluten-free'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Risotto de algas,8410770600096,['en:gluten-free'],['France'],[],[],?,352,1473 kj(352 kcal),"0,6","0,17","76,3","6,6","7,7","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Mini mandu - Bibigo - 360g,4016337914022,,['France'],[],[],?,167,699 kj(167 kcal),"4,1","1,1",23,"1,4",9,"0,9","0,36",,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bibigo'],,,,,,,,,,,,,,,,
98,Chicken Tikka Masala,00953023,,['France'],[],[],?,157,657 kj(157 kcal),"9,4","3,7","3,7","1,1","13,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,7506064300160,7506064300160,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,7506064300160,7506064300160,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Cinsault et grenache,3660989187153,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Caffè Crema Jubiläumsedition - Tchibo,4061445050193,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,['Tchibo'],,,,,,,['Tüte'],,,,,,,,,
103,Bombones surtidos - Lindt,3046920080170,,['France'],[],[],?,551,2305 kj(551 kcal),34,17,54,52,"5,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,,,,
104,Gaufrettes apéritives bio à l'emmental - Trésors Gourmands,3700254082018,['Bio'],['France'],[],[],?,490,2050 kj(490 kcal),27,"8,1",45,"0,7",16,"2,9","1,16",,,"['Snacks', 'Snacks salés', 'Apéritif']",27 g,en quantité élevée,8.1 g,en quantité élevée,0.7 g,en faible quantité,2.9 g,en quantité élevée,,+5%,+5%,+12%,+98%,-13%,-77%,+109%,+86%,+86%,,,,,,,,['Trésors Gourmands'],,,24,+89%,E,+89%,,,,,,,,,,
105,Canelones de carne - Casa Mas,8436564910141,,['France'],[],[],?,180,753 kj(180 kcal),"10,5",4,"12,3","3,2","10,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casa Mas'],,,,,,,,,,,,,,,,
106,Courgette riz veau - Pommette,3250392804831,,['France'],[],[],?,62,259 kj(62 kcal),"1,6","0,3","8,3","1,3",3,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pommette'],,,,,,,,,,,,,,,,
107,Ritz - 175g,7622210941244,,"['France', 'Royaume-Uni']",[],[],?,483,2021 kj(483 kcal),23,"2,2",58,"8,7","7,8","1,31","0,524",C,175 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",23 g,en quantité élevée,2.2 g,en quantité modérée,8.7 g,en quantité modérée,1.31 g,en quantité modérée,,+8%,+8%,+41%,-64%,-13%,-73%,+6%,+178%,+178%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Ritz'],,,10,-41%,C,-41%,,,,,,,,,,
108,Torsettes - Valfleuri - 250g,3264963018107,,['France'],[],[],?,342,1431 kj(342 kcal),"1,6","0,3",63,9,16,"0,2","0,08",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Valfleuri'],,,,,,,,,,,,,,,,
109,Emmental râpé,3253130002100,,['France'],[],[],?,377,1577 kj(377 kcal),29,20,0,0,28,"0,7","0,28",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.7 g,en quantité modérée,,+1%,+1%,+0%,+2%,-100%,-100%,+3%,-8%,-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,12,+1%,D,+1%,,,,,,,,,,
110,Barre de nougat aux amandes,3760115967113,,['France'],[],[],?,398,1665 kj(398 kcal),"1,7","1,7",92,83,"3,3","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Comté - Auchan,2600423024201,,['France'],[],[],?,418,1749 kj(418 kcal),"34,6","22,5",0,0,"26,7","0,82","0,328",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,,-0%,-0%,-0%,-1%,-100%,-100%,-1%,-2%,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Auchan'],['Auchan'],"['FR 39.434.001 CE', 'Poligny (Jura, France)']",13,0%,D,0%,,,,,,,,,,
112,Beignets de Calmars à la Romaine - Pescanova,3567894192404,,['France'],[],[],?,206,862 kj(206 kcal),"7,3","1,7","27,3",2,"6,6","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pescanova'],,,,,,,,,,,,,,,,
113,Sirop de fraise bio -  - 50cl,4056489040330,['Bio'],['France'],[],[],?,339,1418 kj(339 kcal),"0,1","0,1",84,84,"0,01","0,01","0,004",B,50cl,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,,,,,,,,,+26%,+24%,+0%,+322%,+19%,+23%,-90%,-39%,-39%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,
114,Punchy jerk rice,5030101028141,,['France'],[],[],?,145,607 kj(145 kcal),"3,4","1,2",23,"1,9","4,2","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Soufflé chocolat,5060425286224,,"['France', 'Allemagne']",[],[],?,456,1908 kj(456 kcal),"34,6","19,4","27,8","25,2","6,9","0,11","0,044",,,['Desserts'],34.6 g,en quantité élevée,19.4 g,en quantité élevée,25.2 g,en quantité élevée,0.11 g,en faible quantité,,+158%,+159%,+410%,+437%,+17%,+37%,+118%,-17%,-17%,,,,,,,,,,,20,+195%,E,+195%,['Pakete'],,,,,,,,,
116,Sushimarket - 370g,3701292606563,,['France'],[],[],?,145,607 kj(145 kcal),"3,8",1,22,"0,5","5,4","0,9","0,36",,370 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,classeur esquisse - 1,3601020002868,['Classeur'],['France'],['Plastique plastique feuille plastique'],[],?,100,418 kj(100 kcal),20,10,5,5,3,1,"0,4",,1,['Classeue'],20 g,en quantité modérée,10 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,,,,,,,,,,,,,,,,,,['Esquisse'],['Leclerc'],['3601020 002868'],13,,D,,['Classeur'],,,,,['Leclerc'],"['Feuille plastique', 'Plastique']",,,
118,Brunoise de legumes mediterranéens - toupargel - 600g,3184034281790,,['France'],"['Courgette 40%,poivron jaune 14%,poivronrouges14%,tomates 14%,aubergines prefrites13%', 'aubergine 10', '4%huike de tournesol', 'oignons 5%']",[],?,43,180 kj(43 kcal),"2,4","0,2","3,8","2,9","1,1","0,01","0,004",,600g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés']",2.4 g,en faible quantité,0.2 g,en faible quantité,2.9 g,en faible quantité,0.01 g,en faible quantité,,-32%,-29%,+112%,-7%,-47%,-5%,-49%,-98%,-98%,,,,,,,,['Toupargel'],['Toupargel'],['9 142 45CL5'],-6,,A,,['Sachet'],,1,,,['Landerneau'],['France'],,,
119,Thé vert - Dammann frères - 50g,3259920037925,,['France'],[],[],?,?,,?,,?,,?,,,B,50 g,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Dammann frères'],,,,,,,,,,,,,,,,
120,Sardines tomate - Benimar,8436008200333,,['France'],[],[],?,184,770 kj(184 kcal),"11,92","3,36","0,64",0,"17,52",1,"0,4",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate']",11.9 g,en quantité modérée,3.36 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,0%,-1%,-1%,+10%,-61%,-100%,+1%,+6%,+6%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,['Benimar'],,,4,+16%,C,+16%,,,,,,,,,,
121,Blattspinat - Gutbio - 750g,29074259,['Bio'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,750g,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gutbio', 'Aldi']",,,,,,,"['Produkt', 'Tüte', 'Beutel']",,,,,,,,,
122,Whey Protein vanille,3662072027490,,['France'],[],[],?,404,1690 kj(404 kcal),8,"5,6","6,7","5,1","75,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Vat 69 Scotch Whisky Maxi,5000292262716,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Betterave rouge -,3017800247129,['Point Vert'],['France'],[],[],?,31,130 kj(31 kcal),"0,1",0,"5,2","4,8",1,"0,6","0,24",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Betteraves', 'Betteraves en conserve']",0.1 g,en faible quantité,0 g,en faible quantité,4.8 g,en faible quantité,0.6 g,en quantité modérée,,-31%,-29%,-54%,-100%,-23%,-22%,-26%,+52%,+52%,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,,-2,,A,,,,,,,,,,,
125,Napolitaine - Franprix,3263851445513,['Agriculture UE/Non UE'],['France'],[],[],?,48,201 kj(48 kcal),"1,7","0,2","5,6","4,6","1,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],['Franprix'],,,,,,,,,,,,,,,
126,La gaufrette protéinée - Eafit,3518681010449,,['France'],[],[],?,529,2213 kj(529 kcal),36,20,21,"1,8",32,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eafit'],,,,,,,,,,,,,,,,
127,8 nems au poulet,26010618,,['France'],[],[],?,203,849 kj(203 kcal),"8,6","1,6",23,"3,2","7,6","1,5","0,6",C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",8.6 g,en quantité modérée,1.6 g,en quantité modérée,3.2 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+2%,+9%,+26%,+1%,+21%,+6%,+19%,+19%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,"['FR 85.217.004 CE', 'Saint-Georges-de-Montaigu (Vendée, France)']",5,+18%,C,+18%,,,,,,,,,,
128,Caffarel,8013108617638,"['en:gluten-free', 'Fabriqué en Italie', 'Pur beurre de cacao']",['France'],[],[],?,?,,?,,?,,?,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,,,,,,,,,,,,,,,,,,,,,,,,['Caffarel'],,,,,,,,,,,,,,,,
129,Poêlée périgourdine - A Table,3270120606452,,['France'],[],[],?,148,619 kj(148 kcal),"7,8","2,1","12,8","1,4","5,4","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['A Table'],,,,,,,,,,,,,,,,
130,Serpent bobon,8436036181529,,['France'],[],[],?,337,1410 kj(337 kcal),0,0,77,56,"5,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pomme de terres grenailles - 750g,3424851830987,,['France'],[],[],?,?,,?,,?,,?,,,B,750 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,['Sachet en plastique'],,,,,,,,,
132,Soupe de courgettes -,3276350304755,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Courgettes* ', '60,7%', 'eau', 'oignons', 'sel', ""persil'"", 'ail', 'curry*', ""poivre Produits issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,12,50 kj(12 kcal),"0,2","0,1","1,2",1,"0,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Havana Club RUM,3047101942393,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Actinutrition ventre et taille - Acti nutrition - 35g,3760196360025,['Fabriqué en France'],['France'],"['Extrait de feuille de framboisier de ', 'Rubus idaeus', 'carbonate calcium', 'enveloppe de la gélule hypromellose', 'maltodextrine', 'poudre de kaolin', ""antiagglomérants: sels de magnésium d'acides gras et dioxyde de silicium "", 'nano}', 'gluconate de manganèse', 'nicotinamide ', 'vitamine B3', 'coenzyme Q10', 'D-pantothénate de calcium ', 'vitamine B5', 'huile essentielle de romarin ', 'Rosmarinus officinalis', 'chlorhydrate de thiamine ', 'vitamine B1', 'riboflavine ', 'vitamine B2', 'huile essentielle de menthe poivrée ', 'Mentha piperita', 'acide folique ', 'vitamine B9', 'sélénite de sodium']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,,35g,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,['Acti nutrition'],,,,,,,,,4,"['E502 - Carbonates', ""E470b - Sels de magnésium d'acides gras"", 'E551 - Dioxyde de silicium']",,,,,,
135,Dijonnaise Mustard Squeezy,9310012019435,,['France'],[],[],?,962,4025 kj(962 kcal),"12,9","0,9","25,8","18,8","2,7","0,152","0,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
