,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
1358,Granor - Wernli - 100g,7610037001302,['Wernli'],"['Australie', 'France', 'Suisse']","['Sucre', 'graisse/ huiles végétales non hydrogénée ', 'palme', 'coco', 'arachide', 'farine de riz', 'beurre de cacao', 'pâte de cacao', 'farine de froment', 'lait entier en poudre', 'cacao maigre en poudre', 'sérum de lait', 'maltodextrine', 'amidon de riz', 'lait écrémé en poudre', 'noisettes', 'émulsifiant: lécithine de soja', 'gluten', 'farine de froment', ""extrait de malt d'orge"", 'beurre concentré', ""farine d'avoine"", 'sel de cuisine', 'dextrose', 'arômes naturels', 'antiagglomérant: carbonate de magnesium', 'levure', 'poudre à lever: carbonates de sodium']","['E322i - Lécithine', 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Arachides']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2220,532,2220 kj(532 kcal),30,21,60,42,5,0,0,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",30 g,en quantité élevée,21 g,en quantité élevée,42 g,en quantité élevée,+11%,+12%,+12%,+44%,+108%,-6%,+42%,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,100 g,0 g,en faible quantité,-100%,-100%,25,+26%,E,+26%,,,,,,,,['Woolworths'],['Huile de palme'],
1359,Kokosnuss coconut - Maestrani,7610041087958,['Maestrani'],['France'],"['sucre de canne*', 'beurre de cacao""', 'lait entier en poudre', 'flocons de noix de coco ', '11 % ', '"" croquant de cacao 7% ', 'sucre de canne', 'pâte de cacao*', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de soja', 'extrait de vanille bourbon', ' Infos allergies: Peut contenir des noisettes', 'des amandes', ' Produit suisse', ' *de culture biologique']",['E322i - Lécithine'],['Soja'],['Non végétalien'],4,?,562,2351 kj(562 kcal),39,26,49,48,7,"0,2","0,08",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats blancs à la noix de coco']",39 g,en quantité élevée,26 g,en quantité élevée,48 g,en quantité élevée,,-1%,-1%,+2%,+2%,-2%,+4%,+10%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,0.2 g,en faible quantité,-26%,-26%,27,+3%,E,+3%,,,,,,,,,,
1360,Süessmost Jus de pomme - Ranseier - 1Liter,7610057000217,['Ranseier'],"['France', 'Suisse']",[],,,"['Végétalien', 'Végétarien']",,?,45,188 kj(45 kcal),"0,5",0,"11,2","11,2","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,1 Liter,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
1361,Jus de raisin - Ramseier - 1000ml,7610057010780,['Ramseier'],"['France', 'Suisse']",[],,,[],,270,64,270 kj(64 kcal),"0,5",0,16,16,"0,5",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",0.5 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,-5%,-4%,-4%,+159%,-100%,-2%,+1%,+65%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1000 ml,0 g,en faible quantité,-100%,-100%,9,-7%,D,-7%,,,,,,,,,,
1362,Schorle - Ramseier - 1000ml,7610057012715,['Ramseier'],"['France', 'Suisse']","['Jus de pomme suisse ', '60%', ' ', 'avec max', ' 10% jus de poire ', ' à base de concentré', 'eau', 'acide carbonique', ' Pasteurisé']",['E290 - Dioxyde de carbone'],,[],4,?,27,113 kj(27 kcal),0,0,"6,7","6,7","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,1000 ml,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,,
1363,"Zweifel Cashews, Paprika",7610095200402,['Zweifel'],"['France', 'Suisse']",['in der Schweiz Produit en Suisse Schonende Rôstung Ohne 01 und Fett Délicatement grillées sans huile ni graiss v/ Mit natürlichen Zutaten Avec ingrédients naturels Mit Schweizer Alpensalz Avec sel des Alpes suisses'],,,[],,2430,575,2430 kj(575 kcal),43,"7,4","27,5","6,3","17,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,,
1364,Bonbon Halter Sans Sucre Reglisse,7610114030355,['Halter'],['France'],[],,,[],,?,236,987 kj(236 kcal),0,0,98,"0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,Bonbons suisse fourrée chocolat framboise/ sans sucre - Halter,7610114030775,['Halter'],['France'],[],,,[],,?,293,1226 kj(293 kcal),8,5,86,"0,5",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,Mélange randonnée,7610184032006,,"['France', 'Suisse']",[],,,[],,?,415,1736 kj(415 kcal),21,"2,3",47,43,"8,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,Noir cocos 72% & nibs - Chocolat Stella - 100g,7610202215268,['Chocolat Stella'],['France'],[],,,[],,?,602,2519 kj(602 kcal),48,29,29,24,8,"0,02","0,008",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",48 g,en quantité élevée,29 g,en quantité élevée,24 g,en quantité élevée,,+7%,+7%,+16%,+16%,-16%,-13%,-2%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,0.02 g,en faible quantité,-37%,-37%,22,+7%,E,+7%,,,"['en:gluten-free', 'Agriculture durable', 'en:UTZ Certified']",,,,,,,
1368,Alprose Chocolate Oscuro - Chocolat Alplose S A,7610209062858,['Chocolat Alplose S A'],['France'],"['@Chocolat noir ', 'cacao: 5006 pâto do cacao', ' bourro do cas cao', ' étnult,lfta SOJA', ' arôme', ' Présonco possiblo: notsottos', "" autres fruits à g'u•"", 'en']",,['Soja'],[],4,?,512,2142 kj(512 kcal),"29,4","18,6","51,9","48,4","5,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,Rahmenspinat Tortellini (Minis) - Hilcona - 600.0g,7610227900095,['Hilcona'],"['France', 'Allemagne']",[],,,[],,?,182,761 kj(182 kcal),"1,5","0,5",34,"1,8","7,1","1,3","0,52",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortellini']",1.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en faible quantité,,-28%,-28%,-79%,-83%,-6%,-35%,-26%,,,,,,,,600.0 g,1.3 g,en quantité modérée,+14%,+14%,3,-53%,C,-53%,,['Tüte'],,,,,,,,
1370,Chocolat noir aux eclats feves de cacao - Pfister - 80g,7610248508409,['Pfister'],['France'],"['Pâte de cacao', 'sucre', 'éclats de cacao en grains pralinés ', '14%', ' ', 'cacao en grains sucre', 'beurre de cacao', 'émulsifiant: lécithine de soja', ' Peut contenir: lait - amande noisette - pistache - noix - noix de Pécan - sésame arachides - oeufs et gluten', ' Garanti pur beurre de cacao']",['E322i - Lécithine'],,[],4,?,574,2402 kj(574 kcal),"42,2","25,8","34,2","30,4","8,8","0,016","0,006",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",42.2 g,en quantité élevée,25.8 g,en quantité élevée,30.4 g,en quantité élevée,,+2%,+2%,+2%,+3%,-1%,+11%,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,80 g,0.016 g,en faible quantité,-49%,-49%,23,+12%,E,+12%,,,['Pur beurre de cacao'],,,,,,,
1371,Chocolat Au Lait Et Noisettes - Favarger - 100g,7610296401813,['Favarger'],['France'],"['sucre de canne brut', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'éclats de noisettes ', '10%', ' Cacao: 38% minimum']",,"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2400,580,2400 kj(580 kcal),41,21,44,44,8,"0,225","0,09",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",41 g,en quantité élevée,21 g,en quantité élevée,44 g,en quantité élevée,+2%,+2%,+1%,+8%,+20%,-5%,0%,-5%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,100 g,0.225 g,en faible quantité,+19%,+19%,26,+6%,E,+6%,,,['Fabriqué en Suisse'],,,,,,,
1372,Mini Batons Kirsch - Lindt - 120g,7610400064682,['Lindt'],"['France', 'Suisse']","['Sucre', 'pâte de cacao', 'Kirsch ', '11%', 'beurre de cacao', 'cacao maigre en poudre', 'beurre laitier concentré', 'lait écrémé en poudre', 'gélifiant ', 'gomme arabique', 'émulsifiant ', 'lécithine de soja', 'arôme']","[""E414 - Gomme d'acacia"", 'E322i - Lécithine']",['Soja'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1775,424,1775 kj(424 kcal),16,10,58,56,"3,2","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,,,,,,,,,,
1373,Chocolat blanc Swiss Premium Chocolate - Lindt - 300g,7610400073912,['Lindt'],"['Algérie', 'France']","['sucre', 'beurre de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de soja', 'arôme', ' Peut contenir des noisettes', ""des amandes et d'autres fruits à coque""]",['E322i - Lécithine'],['Soja'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,566,2368 kj(566 kcal),35,22,56,55,"6,7","0,27","0,108",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",35 g,en quantité élevée,22 g,en quantité élevée,55 g,en quantité élevée,,+0%,+0%,-3%,+2%,+5%,+9%,+0%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,300 g,0.27 g,en faible quantité,+5%,+5%,28,+5%,E,+5%,,,,,,,,,,
1374,Succedane de Cafe Aux Cereales et Fruits Torrefies Bio - Pionier,7610491049872,['Pionier'],['France'],"['Seigle* ', 'chicorée*', 'orge', ""orge malté'"", 'figues* ', 'glande:provenant de cultures biologiques contrôlées conserver au sec', 'Mindestens haltbar bis: siehe Boden de oréférence avant le:']",,['Gluten'],[],,?,360,1506 kj(360 kcal),0,0,78,5,5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1375,Minipic - Grischuna - 90g,7610502117224,['Grischuna'],"['France', 'Suisse']","['Viande de bœuf 57g', 'viande de porc 52g', 'lard', 'sel nitrité pour saumure ', 'sel de cuisine', 'conservateur: E250', 'sel de cuisine iodé', 'épices', 'antioxydant: E331']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,450,1883 kj(450 kcal),38,14,2,1,26,4,"1,6",,"['Viandes', 'Charcuteries']",38 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,,+72%,+74%,+97%,+93%,+36%,+26%,+39%,,,,,,,,90 g,4 g,en quantité élevée,+68%,+68%,25,+56%,E,+56%,,"['Plastique', 'Sous-vide']",['Fabriqué en Suisse'],['Suisse'],['Suisse'],,,,,
1376,Olives kalamata - Coop - 200g,7610807100709,['Coop'],"['France', 'Suisse']","['Olives', 'sel marin', 'huile de colza', 'acidifiant ', 'E270']",['E270 - Acide lactique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1130,281,1130 kj(281 kcal),29,"3,1","1,3",0,"1,6","4,1","1,64",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives noires en saumure']",29 g,en quantité élevée,3.1 g,en quantité modérée,0 g,en faible quantité,+3%,+8%,+4%,+14%,-8%,-59%,-100%,+10%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,200 g,4.1 g,en quantité élevée,-2%,-2%,12,-7%,D,-7%,Olives noires en saumure - Olives Kalamata,"['Sachet', 'Plastique', 'Doypack']",,,"['Grèce', 'Griechenland']",,,['Coop'],,
1377,"Vinaigre De Pomme, - Coop - 1000ml",7610809054239,"['Coop', 'Qualité & Prix']","['France', 'Suisse']","['Vinaigre de pomme', 'concentré de jus de pomme 3%', 'arôme', 'colorant E150c']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,24,100 kj(24 kcal),0,0,"2,5","2,5",0,0,0,B,"['Vinaigres', 'Vinaigres de cidre']",0 g,en faible quantité,0 g,en faible quantité,2.5 g,en faible quantité,,+60%,+67%,-100%,-100%,+67%,+233%,-100%,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,1000 ml,0 g,en faible quantité,-100%,-100%,,,,,,"['bouteille plastique', 'flasche']","['Végétarien', 'Végétalien']",,,,,['Coop'],,
1378,Saumon fumé - Coop,7610819257309,['Coop'],['France'],"['filets de saumon ', 'poisson élevé en Norvège', ""correcteur d'acidité "", 'E 325', 'sel marin', 'sel de cuisine iodé']",['E325 - Lactate de sodium'],['Poisson'],"['Non végétalien', 'Non végétarien']",3,?,213,891 kj(213 kcal),13,"1,8",0,0,24,"3,9","1,56",D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",13 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,,+12%,+12%,+17%,-16%,-100%,-100%,+9%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,3.9 g,en quantité élevée,+35%,+35%,13,-4%,D,-4%,,,,['Norvège'],,,,,,
1379,Freefrom Mozzarella sans lactose - coop - 125g,7610845105827,['Coop'],"['France', 'Suisse']","['lait sans lactose ', 'Suisse', 'sel marin', '\rTeneur totale en sel de cuisine: 0', '6 %']",,,[],,1080,254,1080 kj(254 kcal),19,12,2,2,19,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,,,,,,
1380,Amaretti - Coop - 200g,7610846437248,['Coop'],"['France', 'Suisse']","['amandes 45% ', 'amandes', ""éclat d'amandes"", 'sucre', ""blanc d'œuf "", ""œufs d'élevage au sol"", 'Italie', 'sirop de glucose', 'amandes amères 3%', 'sucre glace', 'poudre à lever ', 'E503', 'conservateur ', 'E200']","[""E503 - Carbonates d'ammonium"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Fruits à coque']",['Non végétalien'],4,1960,469,1960 kj(469 kcal),23,23,54,54,10,0,0,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Amaretti']",23 g,en quantité élevée,23 g,en quantité élevée,54 g,en quantité élevée,,+4%,+4%,+28%,+1185%,-11%,-2%,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,0 g,en faible quantité,-100%,-100%,21,+46%,E,+46%,,,['Fabriqué en Italie'],,,,,,,
1381,Coop Basler Leckerli,7610846867656,['Coop'],"['France', 'Suisse']",[],,,[],,1570,376,1570 kj(376 kcal),5,"0,5",75,43,7,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Knöpfli - Naturaplan - 300g,7610848553236,['Naturaplan'],"['France', 'Suisse']","['farine blanche 42% ', 'froment [Suisse', 'Europe', 'Amérique du Nord]', 'eau', 'oeufs 22% ', 'Suisse', 'europe', 'sel de cuisine', 'huile de colza', 'épices']",,"['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,660,158,660 kj(158 kcal),"3,2","0,7",26,0,"5,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,['Bio'],,,,,,,
1383,Golden Sweet Ananas 160g - Betty Bossi - 150g,7610849626663,"['Betty Bossi', 'Coop']","['France', 'Suisse']","['ananas ', 'Costa Rica', 'Ghana']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,50,209 kj(50 kcal),0,0,12,12,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits en conserve au jus', 'Ananas au jus']",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,,-11%,-11%,-100%,-100%,-8%,+1%,-100%,,,,,,,,150 g,0 g,en faible quantité,-100%,-100%,-4,,A,,Dés d'ananas,,"['Commerce équitable', 'Max Havelaar']","['Costa Rica', 'Ghana']",,,,,,
1384,Pappardelle - Coop - 500g,7610849676606,"['Coop', 'Qualité & Prix']","['France', 'Suisse']","['Semoule de blé dur', ""oeufs d'élevage en plein air 18% "", 'Belgique', 'Allemagne', 'Pays-Bas', 'sel de cuisine']",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1530,366,1530 kj(366 kcal),"2,5","0,5",67,2,16,"0,6","0,24",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', ""Pâtes de blé dur à l'œuf"", 'Pâtes de blé']",2.5 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,+13%,+13%,+14%,-37%,-61%,+18%,-18%,+27%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,0.6 g,en quantité modérée,+117%,+117%,-2,,A,,,,,,,,,,,
1385,Cristallina,7610900045099,['Cristallina'],"['France', 'Suisse']",[],,,[],,?,100,418 kj(100 kcal),3,"1,8",14,13,"3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,Crème dessert chocolat - 100g,7610900117086,,"['France', 'Suisse']",[],,,[],,?,127,531 kj(127 kcal),4,"2,5",19,17,"3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,"['tüte(n)', 'tüte(n)', 'tüte(n)']",['Fabriqué en Suisse'],,,,,['Denner'],,
1387,"Micao Choco Drink, Schokolade - Emmi - 500ml",7610900157020,['Emmi'],"['France', 'Suisse']",[],,,[],,?,57,238 kj(57 kcal),"0,4","0,3","9,7","9,6","3,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,,
1388,Stocki Snack - Knorr - 53g,7611100116411,['Knorr'],"['France', 'Suisse']","['55% pommes de terre ', 'Suisse', 'graisse végétale', '9% quenelles de viande ', 'viande de bœuf', ""blanc d'œuf déshydraté"", 'farine de blé', 'graisse végétale', 'oignons', 'sel comestible', 'lactose', ""jus d'oignons concentré"", 'extrait de levure', 'épices', '5% oignons grillés ', 'oignons', 'huile végétale', 'sel comestible iodé', 'amidon', 'lard fumé ', 'lard', 'sel comestible', 'fumée', 'lactose', 'arôme', 'extrait de levure', 'protéine de lait', 'farine de blé', 'ciboulette', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", 'lait écrémé en poudre', 'jus de légumes concentré ', 'céleri', 'carottes', 'poireau', 'oignons', 'épices antioxydant ', 'ascorbate de sodium', 'acide citrique', ""palmitate d'ascorbyle""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']","['Céleri', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,87,364 kj(87 kcal),"3,6","1,8",11,1,"2,1","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,53 g,,,,,,,,,,,,,,,,,"[""E304 - Palmitate d'ascorbyle""]",
1389,Potage/soupe - Knorr - 89g,7611100149617,['Knorr'],"['France', 'Suisse']","['42% légumes ', 'haricots borlotti', 'tomate déshydratée', 'pommes de terre', 'carottes', 'oignons', 'poireau', 'chou frisé ', 'CÉLERI rave', '24% pâtes de semoule de BLÉ dur', 'amidon de pomme de terre', 'sel comestible iodé', 'fructose', 'sucre', 'extrait de levure', 'lard ', 'lard', 'antioxydant ', 'extraits de romarin', 'fumée', 'arôme', 'substitut du sel ', 'chlorure de potassium', 'ail', 'déshydraté', 'fines herbes ', 'origan', 'basilic', 'persil', ""extraits d'épices""]",['E392 - Extrait de romarin'],"['Céleri', 'Gluten']","['Non végétalien', 'Non végétarien']",4,118,28,118 kj(28 kcal),"0,5","0,1","5,2","1,4","1,1","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,89 g,,,,,,,,,,['Brique'],['Sans additifs'],,,,,,,
1390,Pizza Pomodori e Pesto - Betty Bossi - 420g,7611654693222,['Betty Bossi'],"['France', 'Suisse']","['fond de pâte précuit ', 'farine de froment', 'eau', ""huile d'olive"", 'levain sec [seigle]', 'sel de cuisine iodé', 'fromage 25% ', 'mozzarella [lait [Suisse]', 'sel de cuisine]', 'sauce tomate 20% ', 'purée de tomates', 'sel de cuisine iodé', 'tomates cerises 6%', 'sauce au basilic «pesto»', '3,5% ', 'huile de colza', 'basilic 1%', 'persil', 'fromage', 'fromage de brebis', 'ail', 'sel de cuisine iodé', ""extrait  d'épices""]",,"['Gluten', 'Lait']",['Non végétalien'],3,970,233,970 kj(233 kcal),"7,5","3,6",28,"2,1",12,"1,4","0,56",B,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']",7.5 g,en quantité modérée,3.6 g,en quantité modérée,2.1 g,en faible quantité,+3%,+3%,+2%,+0%,+2%,-4%,-22%,+28%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,420 g,1.4 g,en quantité modérée,+10%,+10%,9,+26%,C,+26%,,"['Frais', 'Plastique']",,,,,,,,
1391,Prosciutto - Coop - 400g,7611654693383,"['Coop', 'Betty Bossi']","['France', 'Suisse']","['fond de pâte précuit ', 'farine de froment', 'eau', ""huile d'olive"", 'sel de cuisine iodé', 'sirop de sucre inverti', 'levure', 'fromage 17% ', 'mozzarella [lait [Suisse]', 'sel de cuisine]', 'jambon 13% ', 'viande de porc [Suisse]', 'sel nitrité [sel de cuisine', 'conservateur [E 250]]', 'stabilisant [E 450]', 'antioxydant [E 301]', ""extraits d'épices"", 'sauce tomate 12% ', 'purée de tomates', 'sel de cuisine iodé', 'origan']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,1010,218,1010 kj(218 kcal),6,"2,5",28,2,12,"1,4","0,56",C,"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizzas au jambon', 'Pizza au jambon']",6 g,en quantité modérée,2.5 g,en quantité modérée,2 g,en faible quantité,+12%,0%,+11%,-15%,-28%,+7%,-25%,+14%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,400 g,1.4 g,en quantité modérée,+2%,+2%,9,+34%,C,+34%,,,,,,,,,,
1392,Mascao - Claro,7612052002296,['Claro'],['France'],[],,,"['Végétalien', 'Végétarien']",,?,571,2389 kj(571 kcal),43,26,31,25,9,0,0,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",43 g,en quantité élevée,26 g,en quantité élevée,25 g,en quantité élevée,,+2%,+2%,+4%,+4%,-10%,-9%,+11%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,0 g,en faible quantité,-100%,-100%,22,+7%,E,+7%,,,"['Végétarien', 'Végétalien']",,,,,,,
1393,Ovosport - Ovomaltine,7612100005354,['Ovomaltine'],"['France', 'Suisse']","['Lait écrémé concentré', 'sérum de lait concentré', ""25% extrait de malt d'orge"", 'sucre', 'cacao fortement dégraissé', 'sirop de glucose', 'huile de colza', 'sel de cuisine', 'phosphate de calcium', 'carbonate de magnésium', 'émulsifiant lécithine de soja', 'vitamines A', 'D', 'E', 'C', 'K B1', 'B2', 'niacine', 'B6', 'acide folique', 'B12', 'biotine', 'acide pantothénique', 'phosphate de fer', 'arôme vanilline', ' Peut contenir des traces de: œuf']",,,['Non végétalien'],4,1556,382,1556 kj(382 kcal),"2,6","0,8","78,2","63,7","10,2","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Maxi pack - Crunchy - Pâte à tartiner - Ovomaltine - 700g,7612100066409,"['Ovomaltine', 'Associated British Foods']","['France', 'Suisse']","[""Ovomaltine 33% [extrait de malt d'orge "", '51%', 'lait écrémé concentré', 'lactosérum concentré ', 'lait', 'cacao maigre ', '13%', 'sucre', 'fructose', 'carbonate de magnésium', 'phosphate de calcium', 'huile de colza', 'vitamines ', 'C', 'niacine: PP', 'E', 'acide pantothénique : B5', 'riboflavine : B2', 'B6', 'thiamine : B1', 'A', 'acide folique : B9', 'biotine: B8', 'B12', 'sel', 'arôme : vanilline]', 'sucre', 'huiles végétales ', 'colza et palme', 'noisettes', 'phosphate de calcium', 'cacao maigre ', '0,4%', 'émulsifiant : lécithine de tournesol', 'arôme : vanilline']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,?,545,2280 kj(545 kcal),32,"7,1","59,5","54,5","3,8","0,3","0,12",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",32 g,en quantité élevée,7.1 g,en quantité élevée,54.5 g,en quantité élevée,,+0%,+0%,-6%,-9%,+17%,+17%,-42%,,,,,,,,700 g,0.3 g,en faible quantité,+170%,+170%,24,+17%,E,+17%,Pâte à tartiner avec des pépites croustillantes d'Ovomaltine (33%),"['Verre', 'Pot']","['Point Vert', 'Entrepreneurs + Engagés', 'Croustillant']",,['Belgique'],,,['Auchan'],['Huile de palme'],
