,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1351,Blocdefoiegras de canard,3700428470214,['France'],[],[],?,511,2138 kj(511 kcal),52,21,"0,9","0,5",9,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Olives vertes aux anchois,3760061027275,['France'],[],[],?,155,649 kj(155 kcal),16,3,0,0,"1,3",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,Lardon fumes crus surgeles,3445425086326,['France'],[],[],?,215,900 kj(215 kcal),"16,1","5,75","1,7","1,2","15,9","2,93","1,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,Sublime de canard,2006050019007,['France'],[],[],?,121,506 kj(121 kcal),"7,5","3,9","2,2","0,5",11,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,Foie gras de canard entier du sud-ouest - Labeyrie - 125g,3033610011422,['France'],"['Foie gras de canard du Sud-Ouest ', 'origine: France', 'sel', 'épices', 'sucre', 'conservateur : E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,534,2234 kj(534 kcal),55,23,"2,4","1,9","7,3","1,2","0,48",A,['Bocal'],['Labeyrie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']","['Point Vert', 'IGP']",55 g,en quantité élevée,23 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,,+1%,+1%,+1%,-1%,+1%,+44%,-3%,0%,0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,3,125 g,['France'],['France'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
1356,Boudin blanc,3760001972153,['France'],[],[],?,234,979 kj(234 kcal),"19,39",9,"5,99","1,649","9,69","1,09","0,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,FLOCONS 5 CEREALES,3380390068208,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,Chorizo artisanal,0291568021389,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,Suprême de chapon,0215695053006,['France'],[],[],?,143,598 kj(143 kcal),"7,3","3,1","1,2",0,18,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,001009,001009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
