,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1829,Huile de noix vierge,3770014306043,['France'],[],[],?,900,3766 kj(900 kcal),100,10,0,0,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix', 'Huile vierge de noix']",,100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+3%,+2%,+6%,-100%,-100%,-100%,-100%,-100%,6,+12%,C,+12%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,
1830,La brandade de morue parmentière,0200022052746,['France'],[],[],?,96,402 kj(96 kcal),"9,6","0,9","10,1","0,3","7,2","0,8","0,32",E,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,-57%,-56%,-42%,-57%,+28%,-58%,+6%,-8%,-8%,0,-100%,B,-100%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,,
1831,Saucisson sec d'Auvergne - Le Batistou,3521831902358,['France'],[],[],?,428,1791 kj(428 kcal),33,13,"2,7","1,8",29,"4,7","1,88",,,['Le Batistou'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 63.161.002 CE', 'Forie (Puy-de-Dôme, France)']",,,,,,,,,,,
1832,Langostino crudo,8433329010405,['France'],[],[],?,71,297 kj(71 kcal),"1,4","0,5","0,6","0,4",14,"0,5","0,2",,,,"['it:Langostino', 'it:Langostino crudo']",,1.4 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en quantité modérée,,,,,,,,,,,-3,,A,,,,,,,,,,,,,,,,,,,,
1833,Chocolat à casser - Le Comptoir de Mathilde,3700961308531,['France'],[],[],?,560,2343 kj(560 kcal),36,22,50,49,7,"0,21","0,084",,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Tapenade verte biologique,3265470057320,['France'],[],[],?,237,992 kj(237 kcal),24,5,2,1,1,2,"0,8",,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Chaussons aux pommes x2,0214245009180,['France'],[],[],?,303,1268 kj(303 kcal),18,12,30,10,"3,6","0,53","0,212",B,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,0.53 g,en quantité modérée,,-4%,-4%,0%,+4%,-9%,-6%,-8%,-11%,-11%,17,0%,D,0%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,
1836,Marmelade Orange - Planet Bio,3301595002330,['France'],[],[],?,250,1046 kj(250 kcal),0,0,61,60,"0,7",0,0,,,['Planet Bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Crème de châtaigne des Cévennes,3770007771100,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Confiture de fraise,3760315980240,['France'],[],[],?,0,0 kj(0 kcal),0,0,60,60,0,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,,-100%,-100%,-100%,-100%,+13%,+18%,-100%,-100%,-100%,9,+3%,C,+3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
1839,Haricots rouges,3257986868224,['France'],[],[],?,108,452 kj(108 kcal),1,"0,4",13,1,"8,3",1,"0,4",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']","['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",1 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-31%,-32%,+19%,+190%,-40%,-31%,-27%,+153%,+153%,0,,B,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,,,,,,,,
1840,Epices couscous - Metro Chef,4337182065555,['France'],[],[],?,326,1364 kj(326 kcal),15,"1,7",16,"3,9",14,"8,5","3,4",,,['Metro Chef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Salsiccia e patate pizza surgelata,8015673027607,['France'],[],[],?,181,757 kj(181 kcal),"9,5","3,4",24,"1,3","9,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Steaks hachés special burger façon bouchere - Franprix - 600g,3263856747810,['France'],[],[],?,?,,?,,?,,?,,,E,['Surgelé'],['Franprix'],"['Viandes', 'Surgelés', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes surgelées', 'Steaks hachés', 'Steaks surgelés', 'Steaks de bœuf hachés', 'Steaks hachés surgelés', 'Steaks hachés de bœuf surgelés']","['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,600g,,['France'],,['Franprix'],,,,
1843,Brioches feuilletées aux pralines roses - Picard,3270160829767,['France'],[],[],?,445,1862 kj(445 kcal),26,17,44,13,"8,1","0,73","0,292",,,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,
1844,Terrine de canard au foie gras,3301815281231,['France'],[],[],?,?,,?,,?,,?,,,E,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,
1845,Chocolat lait,3760246161312,['France'],[],[],?,?,,?,,?,,?,"0,11","0,044",,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Kiwi Haiward BIO 1kg,3666139256175,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Confiture de fraise - Côteaux Nantais - 325g,3301595002552,['France'],[],[],?,276,1155 kj(276 kcal),0,0,"67,6","63,4","0,6",,,C,,['Côteaux Nantais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Bio européen']",0 g,en faible quantité,0 g,en faible quantité,63.4 g,en quantité élevée,,,,+27%,+27%,-100%,-100%,+27%,+25%,+35%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,325 g,,,,,,,,
1848,Beurre de cacahuètes - Whole Earth,5013665115571,['France'],[],[],?,595,2489 kj(595 kcal),46,"8,6",12,"5,9",29,"0,69","0,276",C,,['Whole Earth'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",['Sans sucre ajouté'],46 g,en quantité élevée,8.6 g,en quantité élevée,5.9 g,en quantité modérée,0.69 g,en quantité modérée,,-1%,-0%,-4%,+4%,-17%,-7%,+18%,+29%,+29%,19,+73%,E,+73%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
1849,Harengs fumés doux - Franprix,3263856480212,['France'],[],[],?,176,736 kj(176 kcal),12,3,0,0,17,"3,9","1,56",,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,,
1850,Winter warmer - Hema,8718537551446,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Knorr Soupe de Tomate Bio 1kg jusqu'à 9L - 1000g,8718114759821,['France'],"['Légumes* ', 'tomate* ** : 31%', 'oignon*', 'CÉLERİ*', 'carotte*', 'sucre de canne*', 'farine de BLÉ*', 'amidon de pomme de terre*', 'sel', 'graisse de palme*', 'extrait de levure*', 'épices et aromates* ', 'ail*', 'poivre*', ""* Ingrédients issus de l'agriculture biologique **Tomates issus de l'agriculture durable""]",['Huile de palme'],?,?,?,?,?,?,?,?,?,?,,['Pot'],['Knorr'],"['Plats préparés', 'Soupes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Céleri', 'Gluten']",3,1000 g,,,,,['Huile de palme'],Soupe déshydratée,,
1852,Knorr Mise en place pesto rouge pot - 700g,8712100482854,['France'],"['Huile de tournesol', 'plantes aromatiques ', 'basilic ', '10%', 'ail ', '2%', 'origan', 'romarin', 'fenouil', 'purée de tomates double concentrée ', '12%', 'sel', 'exhausteur de goût ', 'glutamate de sodium', 'flocons de tomate ', '3,6%', 'sucre', 'huile de colza totalement hydrogénée', 'pignons de pin ', '2%', 'purée de piment ', 'piment', 'eau', 'sel', ""vinaigre d'alcool"", 'amidon modifié', 'oignon', 'extrait de paprika', 'antioxydant ', 'extrait riche en tocophérols']",[],?,?,,?,,?,,?,,,,"['Wrapper', 'Film']",['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,700 g,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E306 - Extrait riche en tocophérols']",,,Préparation concentrée,,
1853,Amora Sauce Salade Boite Présentoir dosettes 200x10 mL - 2000g,8711200327539,['France'],"['Eau', ""vinaigre d'alcool"", 'huile de colza 15%', 'amidon modifié de maïs', 'sel', 'moutarde de Dijon ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'sel minéral ', 'potassium', 'épaississant : gomme xanthane', 'arômes', 'jus de citron concentré', 'antioxydant : E 385', 'colorants: extrait de paprika', 'lutéine']",[],?,?,,?,,?,,?,,,D,,['Amora'],"['Epicerie', 'Sauces', 'Sauces salades']",,,,,,,,,,,,,,,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Moutarde'],4,2000 g,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E160c - Extrait de paprika', 'E161b - Lutéine']",,,Sauce Salade,,
1854,Hellmann's Ketchup Seau 5kg - 5000g,5601169801818,['France'],"['Eau', 'purée de tomates double concentrée* ', '24,6%', 'sucre', ""vinaigre d'alcool"", 'amidon modifié de maïs', 'sel', ""correcteur d'acidité "", 'acide citrique', 'conservateurs ', 'benzoate de sodium', 'sorbate de potassium', 'épices ', 'gingembre', 'oignon', 'poivre', 'clou de girofle', 'cannelle', 'extrait de levure', 'arômes naturels', "" *Tomates issues de l'agriculture durable""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",508,120,508 kj(120 kcal),"0,5","0,1",28,25,1,"2,1","0,84",,,"[""Hellmann's""]","['Epicerie', 'Sauces']",,0.5 g,en faible quantité,0.1 g,en faible quantité,25 g,en quantité élevée,2.1 g,en quantité élevée,-43%,-50%,-48%,-97%,-95%,+183%,+287%,-63%,-13%,-13%,15,+29%,D,+29%,,,,,,,,,,4,5000 g,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,Tomato ketchup,,
1855,Amora Moutarde De Dijon Seau 5Kg - 5000g,3250541017044,['France'],"['Eau', 'graines de MOUTARDE ', '26%', ""vinaigre d'alcool"", 'sel', 'acidifiant ', 'acide citrique', 'conservateur ', 'E224 ', 'SULFITES']",['Sans huile de palme'],716,172,716 kj(172 kcal),13,"0,8","4,8","2,5","7,7","6,8","2,72",B,,['Amora'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,13 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en faible quantité,6.8 g,en quantité élevée,+3%,+1%,+1%,+20%,-2%,-30%,-35%,+17%,+44%,+44%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Moutarde', 'Anhydride sulfureux et sulfites']",3,5000 g,,,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,Moutarde de Dijon,,
1856,Palet breton pure beurre - Intermarché,3250392968519,['France'],[],[],?,489,2046 kj(489 kcal),"21,6","14,8","67,2",25,"5,9","0,76","0,304",C,,"['Intermarché', 'Chabrior']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']","['Nutriscore', 'Nutriscore E']",21.6 g,en quantité élevée,14.8 g,en quantité élevée,25 g,en quantité élevée,0.76 g,en quantité modérée,,-2%,-2%,-15%,-10%,+11%,-3%,+0%,-13%,-13%,23,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
1857,Lettre chocolat - Hema,8718537536139,['France'],[],[],?,565,2364 kj(565 kcal),"37,1",19,"47,7","45,1","7,9","0,15","0,06",,,['Hema'],,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Mini Tablette Noir Goût Fruité - Fauchon,0697893036553,['France'],[],[],?,?,,?,,?,,?,,,,,['Fauchon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,Mini Tablette Lait Des Alpes - Fauchon,0697893036522,['France'],[],[],?,?,,?,,?,,?,,,,,['Fauchon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Tesco Lemon And Ginger Tea Bags 40S 80G,5052909060338,['France'],[],[],?,?,,?,,?,,?,,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Noix de cajou crues,2609956048289,['France'],[],[],?,595,2489 kj(595 kcal),"43,9","7,8","30,2","5,8","18,2",,,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.8 g,en quantité modérée,,,,-1%,-0%,-5%,-8%,+18%,-11%,-3%,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
1862,Auchan,11191377,['France'],[],[],?,?,,?,,?,,?,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
1863,soupe de poissons,3770004371013,['France'],[],[],?,58,243 kj(58 kcal),"2,7","0,7","2,1","0,2","6,2","1,2","0,48",E,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,2.7 g,en faible quantité,0.7 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en quantité modérée,,+21%,+22%,+42%,+56%,+15%,-69%,+20%,+36%,+36%,2,+129%,B,+129%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,
1864,Beurre demi-sel - Carrefour,3480071816675,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,
1865,MATERNE BIO Pomme 32x100g - 3200g,3021760292280,['France'],"['Pomme* 99,8 %', 'arôme naturel de pomme', 'jus de citron concentré* ', ""si nécessaire pour réguler l'acidité"", "",antioxydant: acide ascorbique*issu de l'agriculture biologique""]",[],256,60,256 kj(60 kcal),"0,6","0,2",12,11,"0,5","0,01","0,004",,,"['MATERNE', 'Bio']",,"['Bio', 'Bio européen', 'FR-BIO-10', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3200 g,,,['E300 - Acide ascorbique'],,,Spécialité de pomme sans sucres ajoutés (contient des sucres naturellement présents),,
1866,Organic Earl Grey - Hema,8718537551354,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,Tomates oignons - 110g,3469672621109,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,,,,,,,,
1868,Creme entière 30% mat. Gr. Fluide - Auchan,3596710484034,['France'],[],[],?,293,1226 kj(293 kcal),30,21,"3,4","3,4","2,4",,,,,['Auchan'],,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
1869,Infusion détente sommeil - Léa Nature - 30g (20sachets),3456300013948,['France'],"['Tilleul* ', 'Tilia spp', ' 35%', 'verveine* ', 'Aloysia triphylla', ' 25%', 'aubépine* ', 'Crataegus laevigata', ' 25%', 'anis vert* ', 'Pimpinella anisum', "" 15% *Produits issus de l'agriculture biologique""]",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,A,"['Étui carton', 'Sachet papier', 'Infusettes compostables', 'Film plastique']","['Léa Nature', 'Jardin Bio']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,30g (20 sachets),['Union Européenne et Non Union Européenne'],['17 Périgny'],,['Leclerc'],,"Infusion détente sommeil tilleul, verveine, aubépine",,
1870,Brioche en tranche - Spar,5400210076645,['France'],[],[],?,338,1414 kj(338 kcal),11,"5,3",51,14,"7,6",1,"0,4",,,['Spar'],,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,Sauce Tartare - Leader Price,3263850375767,['France'],[],[],?,443,1854 kj(443 kcal),57,"4,6","4,3","2,4","1,2","2,1","0,84",B,,['Leader Price'],"['Epicerie', 'Sauces', 'Sauces tartare']",,57 g,en quantité élevée,4.6 g,en quantité modérée,2.4 g,en faible quantité,2.1 g,en quantité élevée,,-15%,-15%,+5%,+2%,-9%,-11%,+3%,+17%,+17%,18,+3%,D,+3%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,['Leader Price'],,,,
1872,Maggi,10943500,['France'],[],[],?,?,,?,,?,,?,,,,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Velouté  au épinards  et aux artichauts - Leader Price,3263851069665,['France'],[],[],?,105,439 kj(105 kcal),"4,5",2,13,2,2,"1,5","0,6",,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,
1874,Pur jus orange sans pulpe carrfour,4231017667979,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1875,Huile - Huilerie Richard,3021885000616,['France'],[],[],?,900,3766 kj(900 kcal),100,"11,9",0,0,0,0,0,,,['Huilerie Richard'],,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,artichaut,3760253400886,['France'],[],[],?,240,1004 kj(240 kcal),"23,9","3,9","2,1",1,"2,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,Baba au rhum st James garni crème x2,2030508049520,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",,,,,,,,,,,,,,,,,,,,,,,,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,,,,,,
1878,Père Noël au chocolat noir,3266052543248,['France'],[],[],?,570,2385 kj(570 kcal),44,27,30,25,8,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,Bitfenix Ventilateur Bitfenix Spectre Led Bleu 120mm Noir - Freedent,4009900464918,['France'],[],[],?,?,,?,,?,,?,,,,,['Freedent'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Chair a saucisse,0200109019488,['France'],[],[],?,?,,?,,?,,?,,,E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,,,,,,,,,,,,,,,,,,,,,,,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,
1881,Sauce Diablo Delaize - Delhaize - 125g,5400112552025,['France'],[],[],?,?,,?,,?,,?,,,,,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125g,,,,,,,,
1882,Sauce tartare Delaize - Delhaize - 125g,5400112558027,['France'],[],[],?,?,,?,,?,,?,,,B,,['Delhaize'],"['Epicerie', 'Sauces', 'Sauces tartare']","['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,125g,,,,,,,,
1883,Sablé Au Caramel Beurre Salé,3760135612109,['France'],[],[],?,430,1799 kj(430 kcal),"14,4",10,67,16,"7,1","1,13","0,452",C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",,14.4 g,en quantité modérée,10 g,en quantité élevée,16 g,en quantité élevée,1.13 g,en quantité modérée,,-12%,-12%,-37%,-31%,+5%,-37%,+10%,+69%,+69%,22,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
1884,Terrine - Auchan,3596710334124,['France'],[],[],?,?,,?,0,?,0,?,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,
1885,Poulet cuit fumé au bois de hêtee,2209709005035,['France'],[],[],?,191,799 kj(191 kcal),12,"3,4","0,7","0,7",20,"1,5","0,6",D,,,"['Viandes', 'Volailles', 'Poulets']",,12 g,en quantité modérée,3.4 g,en quantité modérée,0.7 g,en faible quantité,1.5 g,en quantité modérée,,+26%,+27%,+106%,+127%,-65%,+59%,-2%,+75%,+75%,11,+680%,D,+680%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1886,Chair à saucisse,3265980158067,['France'],[],[],?,293,1226 kj(293 kcal),25,10,1,1,16,"1,6","0,64",E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,25 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,,+11%,+11%,+11%,+16%,-13%,+55%,+20%,-4%,-4%,19,+7%,E,+7%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,
1887,Torsades lentilles corail et konjac,3560464010108,['France'],[],[],?,345,1443 kj(345 kcal),"1,7","0,4",51,"2,2",24,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Coulis d’abricot - Andros,3608580784869,['France'],[],[],?,?,,?,,?,,?,,,,,['Andros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Compote pomme - Franprix,3263859696610,['France'],[],[],?,68,285 kj(68 kcal),0,0,16,16,0,0,0,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,,
1890,Chipolata superieure,2298498029919,['France'],[],[],?,174,728 kj(174 kcal),"11,9",5,"1,1",1,"15,6","1,8","0,72",E,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,11.9 g,en quantité modérée,5 g,en quantité modérée,1 g,en faible quantité,1.8 g,en quantité élevée,,-27%,-27%,-37%,-31%,-6%,+58%,+1%,0%,0%,13,-22%,D,-22%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,
1891,Noix de cajou au tamari,3100000000014,['France'],[],[],?,?,,?,,?,,?,0,0,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
