,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
74,Le Brownie Chocolat au Lait Lot x2 - Brossard - 2x 285g,3660140935807,['France'],"['Chocolat au lait 23,7 % dont pépites chocolat au lait 10', '6% ', 'sucre', 'pâte de cacao', 'lait entier en poudre', 'beurre de cacao', 'lactosérum en poudre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'farine de blé', 'œufs frais', 'sucre', 'huile de colza', 'fibre de chicorée', 'beurre pâtissier', 'stabilisant : glycérol', 'amidon de blé', 'cacao en poudre', 'poudres à lever : diphosphates - carbonates de sodium', 'sel', 'farine de blé malté', 'arôme']","['Sans huile de palme', 'Non végétalien']",1884,?,24,50,6,2 x 285 g,['Brossard'],"['Magasins U', 'Carrefour', 'Auchan', 'Leclerc', 'Intermarché', 'Monoprix']",1884 kj(450 kcal),"8,9",28,"0,54","0,216",D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,-1%,,-6%,+4%,+1%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,24 g,en quantité élevée,8.9 g,en quantité élevée,28 g,en quantité élevée,0.54 g,en quantité modérée,-1%,+8%,-18%,+41%,+41%,16,-17%,D,-17%,"['Point Vert', 'Fabriqué en France', 'en:palm-oil-free', 'Farine de blé français']",,"['Film plastique à jeter', 'Barquette métal et étui carton à recycler']",,"['E322i - Lécithine', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",Gâteau au chocolat au lait et aux pépites de chocolat au lait,"['France', 'Centre', 'Loiret', 'Pithiviers']",https://www.brossard.fr/,,
75,100g,3700579034051,['France'],[],[],?,?,?,?,?,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Jambon à l'ancienne - Tallec,2264757046577,['France'],[],[],?,161,"7,9","0,5",22,,['Tallec'],,674 kj(161 kcal),"2,9","0,5","1,9","0,76",,"['Viandes', 'Charcuteries', 'Jambons']",,,,-5%,+3%,-24%,-6%,,,,,,,,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,-4%,-0%,-6%,-34%,-34%,12,+13%,D,+13%,,"['EMB 23004D', 'Anzême (Creuse, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",,,,,,,,
77,Roggen-Vollkornbrot - 500g,4002787072115,"['Autriche', 'France', 'Allemagne']",[],[],?,759,"1,2","32,3","5,2",500g,,,3176 kj(759 kcal),,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Konservendose'],,,,,,,
78,Bacon - Maple Leaf,0063100452049,"['Canada', 'France']",[],[],?,380,36,4,12,,['Maple Leaf'],,1590 kj(380 kcal),14,0,"0,48","0,192",,"['Viandes', 'Porc', 'Bacon']",,,,+139%,+463%,+428%,-44%,,,,,,,,36 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.48 g,en quantité modérée,+143%,+469%,-100%,-82%,-82%,16,+27%,D,+27%,,,,,,,,,,
79,Galettes de Riz 28 cm -  - 300g,3661945420109,['France'],[],[],?,0,0,87,"1,4",300 g,,,0 kj(0 kcal),0,2,"0,3","0,12",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",,,,-100%,-100%,+16%,-23%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.3 g,en quantité modérée,-100%,-100%,+188%,-67%,-67%,1,-85%,B,-85%,,,,,,,,,,
80,Olsen,3562250001178,['France'],[],[],?,171,"9,2",0,22,,['Olsen'],,715 kj(171 kcal),"2,5",0,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Brie de meaux aop,0219741019428,['France'],[],[],?,271,21,"0,5",20,,,,1134 kj(271 kcal),16,"0,5",2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,-3%,-3%,+5%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,21 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,-3%,+5%,+98%,+12%,+12%,16,+5%,D,+5%,,"['EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,
82,Le Mini Brownie Chocolat Noir Lot x2 - Brossard - 2x 240g,3660140935609,['France'],"['Sucre', 'huile de colza', 'oeufs frais', 'chocolat noir ', 'cacao: 72 %', ' 11,3 % ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arômes', 'farine de blé', 'pépites de chocolat 7,2 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'sirop de glucose', 'farine de soja', 'stabilisant : glycérol', ""blanc d'œufs"", 'cacao maigre en poudre', 'eau', 'dextrose', 'fibre de chicorée', 'huile de palmiste', 'lait écrémé en poudre', 'poudres à lever : diphosphates - carbonates de sodium', 'sel', 'conservateur : sorbate de potassium', 'amidon modifié de maïs', 'gélifiants : carraghénanes - gomme xanthane', ""émulsifiants : mono - et diglycérides d'acides gras - lécithine de soja"", 'extrait de cacao', 'arômes', 'farine de blé malté']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1902,?,26,47,"6,5",2 x 240 g,['Brossard'],"['Magasins U', 'Carrefour', 'Auchan', 'Leclerc', 'Monoprix', 'intermarché']",1902 kj(455 kcal),7,34,"0,37","0,148",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Céréales et dérivés', 'Farines', 'Biscuits et gâteaux', 'Farines de céréales', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies', 'Farines de sarrasin']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,+24%,,+842%,-30%,-44%,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,26 g,en quantité élevée,7 g,en quantité élevée,34 g,en quantité élevée,0.37 g,en quantité modérée,+29%,+1218%,+2419%,+2257%,+2257%,19,,E,,"['Point Vert', 'Fabriqué en France', 'Farine de blé français']",,"['Film plastique à jeter', 'Etui carton à recycler']",,"['E322i - Lécithine', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",Gâteaux au chocolat noir (72% de cacao) et aux pépites de chocolat,"['France', 'Centre', 'Loiret', 'Pithiviers']",https://www.brossard.fr/,['Huile de palme'],
83,Lambertz Aachener Kräuter-printen,4006894123104,['France'],[],[],?,360,"1,3","77,8","7,3",,['Lambertz'],,1506 kj(360 kcal),"0,2","41,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Biltong,6009690713485,['France'],[],[],?,333,7,1,67,,,,1393 kj(333 kcal),3,1,"2,213","0,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Jarret de porc fumé - 0,760kg",2229001023162,['France'],[],[],?,149,"5,4","0,7",22,"0,760 kg",,,623 kj(149 kcal),"2,4","0,7","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 45147', 'Fleury-les-Aubrais (Loiret, France)']",,,,,,,,
86,Beef stock cubes - Tesco,5051898664084,['France'],[],[],?,8,"0,5","0,7","0,2",,['Tesco'],,33 kj(8 kcal),"0,3","0,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Chicken stock cubes - Tesco - 6.9g,5051898663643,"['France', 'Allemagne']",[],[],?,283,"4,1","46,8","13,5",6.9g,"['Tesco', 'Oxo']",,1184 kj(283 kcal),"0,3","16,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Soupe India,3760091871534,['France'],[],"['Végétalien', 'Végétarien']",?,55,"4,5","7,2","1,8",,,,230 kj(55 kcal),"1,7","3,2","0,2","0,08",,"['Plats préparés', 'Soupes']",,,,-4%,+132%,+25%,-18%,,,,,,,,4.5 g,en quantité modérée,1.7 g,en quantité modérée,3.2 g,en faible quantité,0.2 g,en faible quantité,-3%,+181%,+85%,-77%,-77%,0,-100%,B,-100%,"['Végétarien', 'Végétalien']",,,,,,,,,
89,Soupe Superchou,3760091871510,['France'],[],[],?,31,"0,9","5,5","1,1",,,,130 kj(31 kcal),"0,3","3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,boisson aux fleurs de sureau à la menthe,5407003860054,['France'],[],[],?,31,0,"7,2","0,5",,,,130 kj(31 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
91,Pommes de terre,3332230008332,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Le Tech Tortas amandes craquantes,3274647160909,['France'],[],[],?,559,37,46,11,,['Le Tech'],,2339 kj(559 kcal),6,42,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Soupe force,3760091871527,['France'],[],"['Végétalien', 'Végétarien']",?,53,"4,2","6,9",2,,,,222 kj(53 kcal),"0,3","4,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
94,Crackers nature - Tokapi - 100g,3564090026564,['France'],[],[],?,467,20,64,"6,6",100 g,"['Tokapi', 'Marque Repère']",['Leclerc'],1954 kj(467 kcal),"3,3","6,5","1,8","0,72",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,+1%,+1%,+8%,-33%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,20 g,en quantité modérée,3.3 g,en quantité modérée,6.5 g,en quantité modérée,1.8 g,en quantité élevée,-0%,-39%,+66%,-10%,-10%,16,+4%,D,+4%,,,"['Sachet', 'Plastique']",,,,,,,
95,bouquet garni viandes,6244770030162,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,poivre vert,3234750031862,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Okayu,3760091871831,['France'],[],"['Végétalien', 'Végétarien']",?,62,"0,6","17,1","1,1",,,,259 kj(62 kcal),"0,1","1,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
98,laurier,3234750031947,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Gerlinéa Easy Go,5410063035386,['France'],[],[],?,223,"7,1",25,14,,['Gerlinéa'],,933 kj(223 kcal),3,15,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Gerlinéa Easy Go,5410063035386,['France'],[],[],?,223,"7,1",25,14,,['Gerlinéa'],,933 kj(223 kcal),3,15,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bavette  d'aloyau,0264208023944,['France'],[],[],?,137,"5,4","0,9","21,2",,,,573 kj(137 kcal),"1,5","0,2","0,71","0,284",E,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,,,+5%,-5%,+3486%,+6%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,5.4 g,en quantité modérée,1.5 g,en quantité modérée,0.2 g,en faible quantité,0.71 g,en quantité modérée,+5%,-32%,+953%,+274%,+274%,0,,B,,,,,,,,,,,
102,Pesto à la Génovèse - Sur le Sentier des Bergers,3760183040183,['France'],[],[],?,586,57,"3,4","8,5",,['Sur le Sentier des Bergers'],,2452 kj(586 kcal),"9,8","1,5","3,6","1,44",C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,+31%,+29%,-42%,+79%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,57 g,en quantité élevée,9.8 g,en quantité élevée,1.5 g,en faible quantité,3.6 g,en quantité élevée,+31%,+50%,-34%,+46%,+46%,26,+33%,E,+33%,,,,,,,,,,
103,Le carpaccio minut' - Charal,3181232519779,['France'],[],[],?,209,"11,7","0,01","25,8",,['Charal'],,874 kj(209 kcal),"2,4","0,005","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Cake au chocolat,3559504004177,['France'],[],[],?,446,"26,12",42,"9,7",,,,1866 kj(446 kcal),"16,21","20,83","29,3","11,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Noisettes decortiquees,3275925403039,['France'],[],[],?,645,60,10,17,,,,2699 kj(645 kcal),5,4,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Donut's nature sucré -,0256180022305,['France'],[],[],?,417,24,44,"6,1",,,,1745 kj(417 kcal),10,17,"1,7","0,68",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,+2%,+5%,-2%,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,24 g,en quantité élevée,10 g,en quantité élevée,17 g,en quantité élevée,1.7 g,en quantité élevée,+2%,-6%,+1%,+79%,+79%,24,+23%,E,+23%,,,,,,,,,,
107,Minis viennoiseries x 12 assorties,0256130011748,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Poulet fermier,2209672005681,['France'],[],[],?,183,11,"0,5",21,,,,766 kj(183 kcal),"3,7","0,5","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.201.002 CE', 'Jouy (Eure-et-Loir, France)']",,,,,,,,
109,CTC Ramune 200ML Banana Flavor - 200mL,0074601176280,['France'],[],[],?,35,0,"9,5",0,200 mL,,,146 kj(35 kcal),0,"9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Mini Viennoiseries,0205522011743,['France'],[],[],?,378,21,40,"0,9",,,,1582 kj(378 kcal),14,11,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Confiture de pomme et noix,8594183700267,['France'],[],[],?,323,"5,5",64,"1,9",,,,1351 kj(323 kcal),"0,7",64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Infusion Détox Sacandinave - Palais des Thés,2700461001025,['France'],[],[],?,?,?,?,?,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
113,Cookie chocolat,5703161804146,['France'],[],[],?,387,17,56,"6,1",,,,1619 kj(387 kcal),"1,8",19,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Pain au chocolat,2040110002004,['France'],[],[],?,380,22,39,"6,5",,,,1590 kj(380 kcal),14,12,"0,83","0,332",D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,-4%,+0%,-8%,-9%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,22 g,en quantité élevée,14 g,en quantité élevée,12 g,en quantité modérée,0.83 g,en quantité modérée,-4%,+5%,0%,-8%,-8%,19,-4%,E,-4%,,,,,,,,,,
115,Nougat pistache,2400824034256,['France'],[],[],?,457,14,72,0,,,,1912 kj(457 kcal),1,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Marrons entiers pelés au feu,3567807136839,['France'],[],[],?,172,"1,6",34,"2,7",,,,720 kj(172 kcal),"0,3",9,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
117,Muffin gluten free - Prozis,5600499504185,['France'],[],[],?,414,24,45,"4,4",,['Prozis'],,1732 kj(414 kcal),"4,4",24,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
118,La tisane olympique,3770007761026,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
119,Kunterbunt,9004593841331,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Abricots ambres moelleux,3663559444434,['France'],[],[],?,19,"0,5",46,20,,,,79 kj(19 kcal),"0,1",31,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Jus d'orange - Joker,3123349014136,['France'],[],[],?,?,?,?,?,,['Joker'],,,,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Oh Yeah Bar Pumpkin Pie By Iss Research,0788434107044,['France'],[],[],?,230,8,11,21,,,,962 kj(230 kcal),5,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Organic coconut wrap,0850306006233,['France'],[],"['Végétalien', 'Végétarien']",?,500,"35,7","42,85","7,14",,,,2092 kj(500 kcal),"32,14","21,42","0,071","0,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
124,Pintade,2603171134864,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Huile d'olive négrette,3770003145134,['France'],[],[],?,823,"91,5",0,0,,,,3443 kj(823 kcal),"12,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Emmental de Savoie,2218220021912,['France'],[],[],?,396,31,"0,5",29,,,,1657 kj(396 kcal),20,"0,5","0,3","0,12",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals de Savoie']",,,,-0%,0%,-11%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,31 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.3 g,en quantité modérée,-0%,-1%,+45%,-3%,-3%,10,0%,C,0%,,,,,,,,,,
127,"Milka Weihnachtsbecher - 96,5g",7622210997371,"['France', 'Allemagne']",[],[],?,544,32,57,6,"96,5 g","['Milka', 'Mondelez']",,2276 kj(544 kcal),19,55,"0,35","0,14",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,,,+3%,0%,+9%,+2%,,,,,,,,32 g,en quantité élevée,19 g,en quantité élevée,55 g,en quantité élevée,0.35 g,en quantité modérée,+3%,+9%,+16%,+129%,+129%,27,+11%,E,+11%,,,"['Sachet', 'Plastique', 'métal', 'Aluminium']",,,,,,,
128,"Rôti cuit à l ancienne - 0,284kg",74802968,['France'],[],[],?,261,17,"0,9",26,"0,284 kg",,,1092 kj(261 kcal),"6,9","0,8","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Poulet entier,2142040004025,['France'],[],[],?,170,10,0,20,,,,711 kj(170 kcal),"3,1",0,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Jambon blanc supérieur avec couenne,2440515031225,['France'],[],[],?,112,"3,5",0,20,,,,469 kj(112 kcal),"1,3",0,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,-15%,-27%,-100%,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,3.5 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,1.7 g,en quantité élevée,-14%,-29%,-100%,-9%,-9%,4,-43%,C,-43%,['Qualité supérieure'],,,,,,,,,
131,Pain bio épeautre 400g - Auchan - 400g,2030500106399,['France'],[],[],?,?,?,?,?,400 g,['Auchan'],['Auchan'],,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
132,Jambon cuit fumé - Madrange,3180940084623,['France'],[],[],?,104,"2,7",2,18,,['Madrange'],,435 kj(104 kcal),1,2,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 87065', 'Feytiat (Haute-Vienne, France)']",,,,,,,,
133,100%WheyProtein - Ironmaxx,4260196299480,['France'],[],[],?,411,"7,6","13,7",69,,['Ironmaxx'],,1720 kj(411 kcal),"3,3","5,6","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Échinacée,3700211132923,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
135,Haricots rouges et poivrons,3272770099349,['France'],[],[],?,184,"12,4","13,1",5,,,,770 kj(184 kcal),"0,9","0,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,
136,Yaourt fermier bio brassées aux fruits,3760039560018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
137,Kougelhopf,2008104000009,['France'],[],[],?,190,"5,6",28,"3,9",,,,795 kj(190 kcal),"3,5","6,8","1,4","0,56",,['Kougelhopf'],,,,-55%,-77%,-38%,-36%,,,,,,,,5.6 g,en quantité modérée,3.5 g,en quantité modérée,6.8 g,en quantité modérée,1.4 g,en quantité modérée,-55%,-79%,-74%,+137%,+137%,12,-37%,D,-37%,,,,,,,,,,
138,Pretzels - Market Pantry,0085239817681,"['France', 'États-Unis']","['Enriched wheat flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'peanut butter ', 'roasted peanuts', 'sugar', 'salt', 'salt', 'less than 2% of: high oleic canola oil and/or soybean oil', 'corn syrup', 'barley malt extract', 'leavening ', 'yeast', 'sodium bicarbonate', 'and/or ammonium bicarbonate']",[],?,467,20,"56,67","16,67",,"['Market Pantry', 'Target Corporation']",,1954 kj(467 kcal),"3,33","6,67","2,75","1,1",,['Snacks'],['Gluten'],3,,+4%,-4%,+1%,+165%,,,,,,,,20 g,en quantité modérée,3.33 g,en quantité modérée,6.67 g,en quantité modérée,2.75 g,en quantité élevée,+4%,-63%,-78%,+423%,+423%,16,-11%,D,-11%,,,,Target Stores,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,,,,
139,Poulet fermier,0220998064949,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Saucisse aux pommes de terre,2468512039884,['France'],[],[],?,160,"8,7","8,2",12,,,,669 kj(160 kcal),"3,3","0,9","1,56","0,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,The Yellow Label 100 g,8712100344800,['France'],[],[],?,4,0,0,5,,,,17 kj(4 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Dattes Raïs - 1kg,6130994900018,['France'],[],[],?,153,"0,1",35,"1,1",1 kg,,,640 kj(153 kcal),"0,1",35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Barres noix de coco - chocolat - Feed - 100g,3770007832429,['France'],[],"['Végétalien', 'Végétarien']",?,433,"20,2",41,"19,3",100 g,['Feed'],,1812 kj(433 kcal),"7,9","24,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en France', 'Sans lactose']",,,,,,,,,
144,Pommes noisettes croustilantes et fondantes - Findus,30664067,['France'],[],['Sans huile de palme'],?,184,"7,5",25,"2,5",,['Findus'],,770 kj(184 kcal),"0,6","0,5","0,78","0,312",,"['Chips et frites', 'Pommes noisettes']",,,,+2%,+5%,0%,+2%,,,,,,,,7.5 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.78 g,en quantité modérée,+1%,-34%,-12%,-15%,-15%,4,+5%,C,+5%,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,
145,Brioche aux raisins,2030000029082,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,La maja,8412680401015,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Biscuits d'epeautre à l'orange - Naturaplan,7613413047246,['France'],[],[],?,499,25,60,"6,2",,['Naturaplan'],,2088 kj(499 kcal),15,34,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
