,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
1418,Jus d'orange - Continente,5601312090533,,"['France', 'Portugal']",[],[],?,44,184 kj(44 kcal),"0,1","0,1",10,10,"0,6",0,0,,['Continente'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",0.1 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,+2%,+1%,-40%,+266%,+3%,+10%,-4%,-100%,-100%,4,+33%,C,+33%,D,,,,['Continente'],,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
1419,Jus d'orange - Continente,5601312090861,,"['France', 'Portugal']",[],[],?,43,180 kj(43 kcal),"0,1",0,10,10,"0,6","0,01","0,004",,['Continente'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",0.1 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,0%,-1%,-40%,-100%,+3%,+10%,-4%,+17%,+17%,3,0%,C,0%,D,,,,['Continente'],,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
1420,Multifrutos - Continente,5601312090878,,"['France', 'Portugal']",[],[],?,46,192 kj(46 kcal),0,0,11,11,"0,3","0,1","0,04",,['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,
1421,Nectar ananas uva macã e laranja - Continente,5601312091363,,"['France', 'Portugal']","['SUMOS DE FRUTA PROVENIENTE DE CONCENTRADO E POLME 50% ', 'SUMO DE ANANÁS', 'SUMO DE UVA', 'POLME DE MAÇA E SUMO DE LARANJA', 'ÁGUA', 'AÇÚCAR', 'REGULADOR DE ACIDEZ ', 'E330', ' E ANTIOXIDANTE ', 'E300']",[],?,38,159 kj(38 kcal),0,0,"9,3",9,"0,2",0,0,,['Continente'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons sans alcool', ""Nectars d'ananas""]",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,,-16%,-15%,-100%,-100%,-13%,-9%,-8%,-100%,-100%,12,0%,E,0%,D,,,,['Continente'],,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,
1422,CAJU neutro cru - Continente,5601312215905,,"['France', 'Portugal']",[],[],?,624,2611 kj(624 kcal),48,"8,5",30,5,17,"0,3","0,12",,['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,
1423,Equilibrio peito de frango - Continente - 120g,5601312302643,,"['France', 'Portugal']","['PEITO DE FRANGO COM TEOR DE SAL REDUZIDO', '*PRODUTO COM MENOS 30% DE SAL EM RELAÇÃO AO PEITO DE FRANGO CONTINENTE', 'INGREDIENTES: PEITO DE FRANGO ', '62,5%', 'ÁGUA', 'ANTIOXIDANTE ', 'E325', 'ESTABILIZADORES ', 'E420 E E4Q7', 'REGULADOR DE ACIDEZ ', 'E508', 'ESTABILİZADÖR ', 'E451i', 'ANTIOXIDANTE ', 'E3311I1', 'AROMA', 'ANTIOXIDANTE ', 'E316', 'AROMA DE FUMO', 'CONSERVANTE ', 'E250', 'EMBALADO EM ATMOSFERA PROTETORA', ""CONSERVAR ENTRÉ O'CE7°C"", 'ABRIR 1O MINUTOS ANTES DE CONSUMIR', 'DEPOIS DE ABRIR', ""MANTER ENTRE O'CE7 C"", 'CONSUMIR NO PRAZO DE 48 HORAS', 'PRONTO A CONSUMIR', 'PROPUTO CONTROLADO POR TESTES EM LABORATÓRIO', 'CONSUMIR DE PREFERÊNCIA ANTES DE: / LOTE: ', 'VER EMBALAGEM', 'REDUZIR O CONSUMO DE SÓDIO CONTRIBUI PARA A MANUTENÇÃO DE UMA PRESSÃO ARTERIAL NORMAL', 'SERVIÇO DE INFORMAÇÃO AO CONSUMIDOR: CONTINENTE@SONAEMC,COM DISTRIBUÍDO POR: MODELO CONTINENTE HIPERMERCADOS', 'S,A', 'RUA JOÃO MENDONÇA', '505', '4464-503 SR DA HORA ES 10,13604/GE CE ', 'R', 'ECOPONTO SONAE AMAREL']",[],?,82,343 kj(82 kcal),"1,4","0,4","2,3","0,6",15,"1,8","0,72",120 g,['Continente'],['pt:Fiambre'],1.4 g,en faible quantité,0.4 g,en faible quantité,0.6 g,en faible quantité,1.8 g,en quantité élevée,,,,,,,,,,,3,,C,,,,,,['Continente'],4,,,,,,,,,,"['E325 - Lactate de sodium', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E451i - TPP', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
1424,Espargos Verdes Ferbar,5601319035599,,['France'],"['green asparagus', 'water', 'QQsalt', ' ASPERGES VERTS asperges *Serts', 'eau', 'sel', ' GRÜNER - ESPARGEL Zutaten: Grüner pargel', 'Wasser', 'Salz', ' PÂRRAGOS VERDES gredientes: espérragos Qerdes', 'agua', 'sal', ' /Prained']",[],?,24,100 kj(24 kcal),0,0,3,0,2,"0,8","0,32",,['Ferbar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Fritos -,5601363001144,,['France'],[],[],?,529,2213 kj(529 kcal),"30,1","3,7","61,1","0,7","5,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1426,Batata Frita Palha,5601363100649,,['France'],"['Pommes de terres', 'huile de tournesol,sel,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,550,2301 kj(550 kcal),"36,5","3,3","46,8","0,5","6,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,Cereja Ferbar Cristalizada,5601363103350,,['France'],[],[],?,523,2188 kj(523 kcal),"31,8","4,3","50,2","0,6","6,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,Acucar Amarelo,5601370110228,,['France'],[],[],?,372,1556 kj(372 kcal),0,0,93,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,olives vertes dénoyautées - Maçarico - 165g,5601378600318,"['Verre', 'Bocal verre']",['France'],"['olives', 'eau', 'sel', 'acide lactique', 'calcium lactate', 'acide citrique et antioxygène', 'acide ascorbique']",[],663,?,663 kj(158 kcal),"5,6","2,6","1,8","0,3","1,4",4,"1,6",165 g,['Maçarico'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",5.6 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,4 g,en quantité élevée,-1%,,-3%,-65%,-0%,+18%,+40%,+9%,+17%,+17%,9,-25%,C,-25%,A,olives vertes,,,['Mercado do Sol'],3,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,"['E270 - Acide lactique', 'E327 - Lactate de calcium', 'E330 - Acide citrique']",,,,,,
1430,Pickles - Maçarico - 850g,5601378940537,,"['France', 'Suisse']","['Légumes en proportions variable: chou-fleur', 'carotte', 'concombre', 'petit oignon et poivron', ' vinaigre et sel', ' Contient des sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",57,?,57 kj(14 kcal),"0,3","0,1","1,2","0,4","0,4","3,5","1,4",850 g,['Maçarico'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,
1431,Queijo Flamengo,5601511000661,,['France'],[],[],?,351,1469 kj(351 kcal),29,19,"0,5","0,5",22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Maionese - Paladin - 450ml,5601517350029,,['France'],[],[],?,35,146 kj(35 kcal),35,0,0,0,0,2,"0,8",450 ml,['Paladin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,"Massa De Pimentao Incopil 200Gr, - 200g",5601542104314,,['France'],[],[],?,26,109 kj(26 kcal),"1,4","0,6",3,"0,5","1,1",15,6,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Farinha linhaça castanha - Salutem,5601557048467,,['France'],"['omega3 e 6', ' Fonte e rotetna', ' A Farinha de Linhaça é uma alternativa ao Consumo das sementes de linhaça mais facilmente digerivel e pronü a consumir', ' A Tiamina ', 'Vit', ' BI', ' contribui para o normal funcionamento do coraçâo', ' O âcido alfa-linolénico ', 'ALA', ' contribui para a manutençâo de niveis normais de colesterol no sangueg 0 benéfico é obtido com uma dose diâria de 2 g de ALA', 'correspondente a de log de produto', 'quandc enquadrado num']",[],?,516,2159 kj(516 kcal),40,4,6,"1,6",21,"0,05","0,02",,['Salutem'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Flocos tostados Aveia - salutem - 375g,5601557050798,,"['France', 'Espagne']",[],[],?,432,1807 kj(432 kcal),"11,7","3,6","67,9","22,5","10,4","0,79","0,316",375 g,['Salutem'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales en grains', 'Avena']",11.7 g,en quantité modérée,3.6 g,en quantité modérée,22.5 g,en quantité élevée,0.79 g,en quantité modérée,,+19%,+19%,+68%,+205%,+26%,+692%,-17%,+1817%,+1817%,15,,D,,C,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
1436,Mistura de sementes - Salutem,5601557051542,,"['France', 'Espagne']",[],[],?,553,2314 kj(553 kcal),"45,1","5,2",0,0,"21,5","0,04","0,016",,['Salutem'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']",45.1 g,en quantité élevée,5.2 g,en quantité élevée,0 g,en faible quantité,0.04 g,en faible quantité,,+82%,+84%,+571%,+498%,-100%,-100%,+79%,-84%,-84%,11,,D,,,,,,,,,,,,,,,,,,,,,,,
1437,Galettes de ble,5601557058107,,['France'],[],[],?,371,1552 kj(371 kcal),"0,9","0,2","81,8","3,6","7,6","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de blé soufflé']",0.9 g,en faible quantité,0.2 g,en faible quantité,3.6 g,en faible quantité,0.01 g,en faible quantité,,-5%,-5%,-87%,-94%,+26%,-20%,-34%,-91%,-91%,0,-100%,B,-100%,B,,,,,,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['Sans colorants'],,,,,,,,
1438,Ovos Matinados Classe M 1,5601897500014,,['France'],[],[],?,160,669 kj(160 kcal),12,"3,1","0,9",0,12,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Purée d'ail - Quinta d'Avó - 200g,5602102238807,"['Bocal', 'Verre', 'sous vide']","['France', 'Suisse']","['Ail 89 %', 'Sel ', '11 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",302,?,302 kj(72 kcal),"0,2","0,1",18,"12,2","3,5",0,0,200 g,"[""Quinta d'Avó""]",['Sauces et marinades'],0.2 g,en faible quantité,0.1 g,en faible quantité,12.2 g,en quantité modérée,0 g,en faible quantité,,,,,,,,,,,-5,,A,,,purée d'ail,,https://quintadavo.com/garlic-puree/,['Super U'],3,,,,,,,,,,,,,['Portugal'],,,
1440,Laranjada - 1l,5602120213008,,"['France', 'Pays-Bas']",[],[],?,42,176 kj(42 kcal),0,0,"10,2",0,0,"0,02","0,008",1 l,['Laranjada'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Case X12 -borba Doc 2012 - Red Wine,5602154602489,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Biscoitos Maçã Bio - 250g,5602353150132,,['France'],[],[],?,412,1724 kj(412 kcal),14,5,62,16,8,"0,7","0,28",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'PT-BIO-04']",,,,,,,,
1443,Cocktail Salgado,5602586140504,,['France'],[],[],?,513,2146 kj(513 kcal),30,6,"38,8",4,18,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Amande - 150g,5602586150909,,['France'],[],[],?,630,2636 kj(630 kcal),54,4,"6,5","1,8",24,"0,08","0,032",150 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",54 g,en quantité élevée,4 g,en quantité modérée,1.8 g,en faible quantité,0.08 g,en faible quantité,,+1%,+1%,+4%,-4%,-46%,-57%,+9%,-68%,-68%,0,-100%,B,-100%,E,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,
1445,Beignet de morue -  - 0.360kg,5602635007307,,['France'],[],[],?,114,477 kj(114 kcal),"1,5","0,5","14,8","0,5","9,6","0,57","0,228",0.360 kg,,"['Snacks', 'Snacks salés', 'Plats préparés', 'Plats préparés au poisson', 'Beignets salés']",1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.57 g,en quantité modérée,,-50%,-49%,-84%,-60%,-42%,-86%,+41%,-62%,-62%,-2,-129%,A,-129%,,,,,,,,,,,,,,,,,,,,,,
1446,"Azeite Rosmaninho Virgem Extra Dop 0,5%",5602708105190,,['France'],[],[],?,821,3435 kj(821 kcal),"91,2","13,1",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Sardines à la tomate bio -,5602910001112,,['France'],[],[],?,108,452 kj(108 kcal),11,"2,9","0,8","0,7",20,"0,82","0,328",,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Sardines à la tomate']",11 g,en quantité modérée,2.9 g,en quantité modérée,0.7 g,en faible quantité,0.82 g,en quantité modérée,,-41%,-42%,-8%,-5%,-52%,-26%,+16%,-13%,-13%,1,-71%,B,-71%,D,,,,,,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,,,,,,
1448,Marmelada extra - Calimenta - 450g e,5603275151030,"['Barquette', 'Plastique']",['France'],"['Pulpe de coing ', 'coing', 'conservateurs ', 'E202', 'E211', 'disulfite de sodium', 'sucre', ""correcteur d'acidité "", 'E330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1066,?,1066 kj(255 kcal),"0,07",0,"60,9","60,1","0,34",0,0,450 g e,['Calimenta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', 'Marmelades de coings']",0.07 g,en faible quantité,0 g,en faible quantité,60.1 g,en quantité élevée,0 g,en faible quantité,+8%,,+7%,-62%,-100%,+4%,+7%,-4%,-100%,-100%,10,-17%,C,-17%,,,,,,3,,,,,,,,"['Point Vert', 'Fabriqué au Portugal']",,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,['Anhydride sulfureux et sulfites'],['Portugal'],,,
1449,Marmelada,5603330000075,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,"Almond Milk, banane & cannelle",5603493006518,,['France'],[],[],?,55,230 kj(55 kcal),"2,3","0,3","6,3",6,"1,6","0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,
1451,Frize Citron Eau Pétillante,5603533652002,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Haricots blancs cuits,5603670001121,,['France'],[],[],?,80,335 kj(80 kcal),"0,8","0,2","9,4",1,"5,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,"Haricots Blancs, - Meps",5603670558007,,['France'],['HARICOTS BLANC CUITS'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,80,335 kj(80 kcal),"0,8","0,2","9,4",1,"5,7","0,5","0,2",,['Meps'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",0.8 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0.5 g,en quantité modérée,,-45%,-43%,-22%,-17%,-46%,-16%,-37%,-17%,-17%,-6,,A,,,,,,,1,,,,,,,,,,,,,,,,
1454,Manteiga com sal Mimosa,5603722492617,,['France'],[],[],?,743,3109 kj(743 kcal),82,54,"0,7","0,7","0,6","1,3","0,52",,['Mimosa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Iogurte Mimosa Polpa De Banana / Laranja / Bolacha,5603722496509,,['France'],"['OAiiOO MEIO-GORCO COM POLPA DE DE IARANJA E SABOR A BOLACHA h', 'redlentes: Leite pasteurizado', 'teite pasteurizado leitelho', 'açûcar', 'leite em pô magro', 'polpa de banana à base de concentrado: 0,9%', 'sumo de laranja à base de concentrado: 0,7%', 'lécteos', 'estabitizador: pectina', 'aromas', 'orante: carotenos e conservante da fruta: E 202', ' ""do Valor de Referência do Nutriente ', 'VRN']",[],?,86,360 kj(86 kcal),"1,5",1,13,11,"4,3","0,13","0,052",,['Mimosa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
1456,Fromage,5603722497094,,['France'],[],[],?,367,1536 kj(367 kcal),31,20,"0,5","0,5",22,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,"Thé noir, ginseng, citron - Chà Preto Gingseng & Limao",5603722497285,,['France'],"['Eau', 'fructose', ""correcteur d'acidité : E330"", 'jus de citron : 0,4%', 'extrait de thé noir : 0,2%', 'arôme naturel de ginseng', 'arôme naturel de citron et autres arômes naturels', 'conservateurs : E202 et E242 et édulcorants : sucralose et acésulfame-K']",[],?,8,33 kj(8 kcal),0,0,2,"1,9",0,"0,02","0,008",,"['Chà Preto Gingseng & Limao', 'Pleno']","['Boissons', 'Boissons édulcorées']",0 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.02 g,en faible quantité,,-47%,-44%,-100%,-100%,-26%,-19%,-100%,-43%,-43%,4,-7%,C,-7%,,,,,,4,,,,,,,,['Sans gluten'],,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle', 'E955 - Sucralose', 'E950 - Acésulfame K']",,,,,,
1458,Manteiga Matinal Magra 20%,5603722497988,,['France'],[],[],?,214,895 kj(214 kcal),20,13,"8,1","2,5","0,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Bem especial - Mimosa,5603722508233,,['France'],[],[],?,86,360 kj(86 kcal),"1,5",1,14,12,"3,7","0,1","0,04",,['Mimosa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Fastio,5604055112005,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Breakfast biscuits,5604127000018,,['France'],[],[],?,461,1929 kj(461 kcal),10,"1,9",64,22,"7,9","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Lupins - Oliva Mira,5604253990092,,['France'],"['Lupin bans', 'water', 'rcÊulàtor? 8-330', ' May contain trac6 - Calibre 13115 | Ingrédients: Lupins', 'eau', ""sel d'acidité: E-330"", ' Traces éventuelles de LUPttlE Kaliber 13115 | Zutaten: wasser,91Û Sèurcrcoutator: E-330', ' Kann Spuren von Mandelncrd6tI']",[],?,82,343 kj(82 kcal),"0,6","0,2","0,6","0,2","11,5","3,5","1,4",,['Oliva Mira'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Pickles', ""Pickles d'origine végétale"", 'Légumineuses en conserve', 'Pickles de légumineuses', 'Tramousses']",0.6 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,3.5 g,en quantité élevée,,-23%,-24%,-78%,-51%,-85%,-33%,-3%,+7%,+7%,6,-12%,C,-12%,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,
1463,Serras de Fafe,5604260056309,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,007","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Nectar Light Laranja,5604260193691,,['France'],[],[],?,52,218 kj(52 kcal),"0,1","0,1","5,8","4,2","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Biscuits Cacaotés Fourrés - Chabrior - 176g e (4 * 44g),5604260227860,"['Sachets', 'Carton']",['France'],"['Farine de blé ', '33,4 %', 'fourrage 30 % ', 'sucre', 'graisse végétale ', 'palme et palmiste', 'amidon de blé', 'dérivés du lait en poudre ', 'protéines de lait et lait écrémé en poudre', 'émulsifiants : lécithines ', 'soja et tournesol', 'sucre', 'matière grasse végétale ', 'palme', 'cacao en poudre 6,3 %', 'poudres à lever : carbonates de sodium', ""carbonates d'ammonium"", 'sel', 'émulsifiant : lécithines ', 'soja', 'arôme de vanille']","['Huile de palme', 'Non végétalien']",?,491,2054 kj(491 kcal),22,12,67,35,5,"0,95","0,38",176 g e (4 * 44 g),"['Chabrior', 'Intermarché']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés', 'Biscuits cacaotés fourrés goût vanille', 'Bolachas']",22 g,en quantité élevée,12 g,en quantité élevée,35 g,en quantité élevée,0.95 g,en quantité modérée,,+2%,+2%,+7%,+33%,-1%,-3%,+1%,+22%,+22%,27,+19%,E,+19%,D,Bolachas cacaotés fourrés,,,['Intermarché'],4,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['Labels de distributeurs', 'Point Vert', 'Sélection Intermarché']",,"['E322 - Lécithines', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,"['Gluten', 'Lait', 'Soja']",['Espagne'],['Huile de palme'],,
1466,Ice Tea Pessego,5604260259366,,['France'],[],[],?,23,96 kj(23 kcal),"0,1","0,1","5,5","5,5","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Laços,5604260281848,,['France'],[],[],?,355,1485 kj(355 kcal),"1,8","0,4",71,5,12,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Tradicionais,5604321027255,,['France'],[],"['Végétalien', 'Végétarien']",?,441,1845 kj(441 kcal),"15,5",1,"60,5","4,1","10,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
1469,Peanut butter - Amendoim,5604321028405,,['France'],[],[],?,621,2598 kj(621 kcal),"49,8","5,4","14,9","4,2","25,9","1,43","0,572",,['Amendoim'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",49.8 g,en quantité élevée,5.4 g,en quantité élevée,4.2 g,en faible quantité,1.43 g,en quantité modérée,,+4%,+4%,+4%,-35%,+3%,-34%,+5%,+168%,+168%,18,+64%,D,+64%,C,,,,,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,
1470,Flocos de aveia - Cem Porcento,5604321031542,,['France'],[],[],?,427,1787 kj(427 kcal),"12,3","5,3","69,1","21,6","7,5","0,03","0,012",,['Cem Porcento'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",12.3 g,en quantité modérée,5.3 g,en quantité élevée,21.6 g,en quantité élevée,0.03 g,en faible quantité,,+7%,+7%,+41%,+141%,+4%,+29%,-20%,-92%,-92%,14,+160%,D,+160%,C,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
1471,Granola 5 céréales,5604321032679,,['France'],[],[],?,446,1866 kj(446 kcal),"21,9","4,3","46,6","13,6","11,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Fresta Ice Tea,5604655222111,,['France'],[],[],?,21,88 kj(21 kcal),0,0,5,5,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Sardinhas em Tomate Picante,5604739000499,,['France'],[],[],?,183,766 kj(183 kcal),12,"2,5","0,4",0,18,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
