,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
10,Couscous,0059749952330,['France'],[],[],?,377.77777777778,0,"77,778","13,333",,1581 kj(377 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Lasaña vegetariana sin gluten y sin huevo,8436537042244,['France'],[],[],?,109,"4,6","13,2","3,7",,456 kj(109 kcal),"1,4","5,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Véritable chaume,0204340025987,['France'],[],[],?,309,25,0,21,,1293 kj(309 kcal),17,0,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Almamel,8437007782875,['France'],[],[],?,386,"2,82","75,2","14,95",,1615 kj(386 kcal),"1,26","41,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Poliakov peach,3147699105085,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Yaourt aux fruits aromatisé - Groupe Auchan - 12 * 125g,3596710484102,['France'],[],[],?,77,1,13,"3,7",,322 kj(77 kcal),"0,6",13,"0,13","0,052",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits']",1 g,en faible quantité,0.6 g,en faible quantité,13 g,en quantité élevée,0.13 g,en faible quantité,,-23%,-22%,-68%,-70%,-3%,+5%,+1%,+14%,+14%,0,-100%,B,-100%,C,12 * 125 g,"['Groupe Auchan', 'Auchan']",['Auchan'],79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,
16,Aiguillettes de Poulet - Maître Coq,0215711022764,['France'],[],[],?,103,"1,3","0,9",22,,431 kj(103 kcal),"0,4",0,"0,63","0,252","['Frais', 'Sous vide']","['Viande Française', 'Volaille Française', 'Nutriscore', 'Nutriscore A']","['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.63 g,en quantité modérée,,-18%,-18%,-30%,-16%,-0%,-100%,-3%,+44%,+44%,-2,,A,,C,,['Maître Coq'],,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France'],['France'],,,,,,
17,Fromage frais fermier,3760158120124,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Miel d'acacia,1167723601378,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,B,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
19,NYC Hot Dog,2296965059636,['France'],[],[],?,225,"16,8","1,1","17,3",,941 kj(225 kcal),"7,4",1,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Piments verts pasteurisés au vinaigre -,0887961751062,['France'],[],[],?,999,19,19,0,,4180 kj(999 kcal),19,19,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Creme de tomates confites au basilic - Perrin,3760018711349,['France'],[],[],?,410,"36,9","16,4","3,1",,1715 kj(410 kcal),"7,9","8,5","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Perrin'],,,,,,,,,,,,,,,,
22,Campana al cioccolato,8002630006331,['France'],[],[],?,412,18,55,"0,46",,1724 kj(412 kcal),11,34,"0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Champagne Perrier Jouët,3113880105219,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,,,,,,,-100%,,,,,,,,,,D,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,
24,Chocalat au lait petits coeurs,3340390008932,['France'],[],[],?,464,"15,6","77,3","3,68",,1941 kj(464 kcal),"9,2","71,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Saumon fumé Norvège - Mericq,3700169080017,['France'],[],[],?,164,"8,2","0,5",22,,686 kj(164 kcal),"1,2","0,5","3,2","1,28",,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",8.2 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,3.2 g,en quantité élevée,,-11%,-11%,-22%,-42%,+1%,+50%,-0%,+13%,+13%,13,-1%,D,-1%,E,,['Mericq'],,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,
26,Quinoa goji amandes bio,3701349503104,['France'],[],[],?,?,?,?,?,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Salade mechouia,3700952000093,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Salades d'aubergines frites - Yarden,3423990006529,['France'],[],[],?,103,"7,1","7,5","1,1",,431 kj(103 kcal),1,"6,211","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yarden'],,,,,,,,,,,,,,,,
29,Assortiment chipolatas merguez,3485310027003,['France'],[],[],?,259,21,"1,4",15,,1084 kj(259 kcal),"8,3",1,"2,1","0,84",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Assortiments de saucisses', 'Assortiments chipolatas et merguez']",21 g,en quantité élevée,8.3 g,en quantité élevée,1 g,en faible quantité,2.1 g,en quantité élevée,,+2%,+1%,+1%,+5%,-2%,+33%,-1%,+7%,+7%,20,+14%,E,+14%,,,,,,,,,,,,,,,,,,,
30,Sirop menthe,3217690044482,['France'],[],[],?,20,0,5,0,,84 kj(20 kcal),0,5,0,0,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,-92%,-92%,-100%,-100%,-92%,-92%,-100%,-100%,-100%,,,,,B,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
31,Purée saveur poulet rôti - Maggi,7613033196362,['France'],[],[],?,358,"4,7","67,8","8,3",,1498 kj(358 kcal),"2,7","3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Maggi', 'Mousline']",,,,,,,,,,,,,,,,
32,Miel de tilleul - 500g,3394950010224,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,B,500 g,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
33,Legume apero,3700758501145,['France'],[],[],?,?,?,?,?,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sel  Dégustation foie gras,3265960501159,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pâte à tartiner,3377799700006,['France'],[],[],?,374,18,49,"3,7",,1565 kj(374 kcal),"12,2",47,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Saint nectaire,0201057022506,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Apple ginger,5011563010844,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dulce de leche,7730971670645,['France'],[],[],?,300,"6,5",55,"5,5",,1255 kj(300 kcal),"4,5",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Coppa chiffonnade - Despi,2228506025060,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Coppa']",,,,,,,,,,,,,,,,,,,,,,,E,,['Despi'],,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,
40,Croque monsieur gourmands au maroilles - 400g,3255790407608,['France'],[],[],?,206,"7,5",25,9,,862 kj(206 kcal),"4,7",3,15,6,,['Point Vert'],"['Sandwichs', 'Croque-monsieur']",7.5 g,en quantité modérée,4.7 g,en quantité modérée,3 g,en faible quantité,15 g,en quantité élevée,,-13%,-15%,-29%,-10%,-0%,-2%,-17%,+914%,+914%,16,+28%,D,+28%,D,400 g,,,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,,,,,,,,
41,Green tea,4260467596478,['France'],[],[],?,34,0,8,0,,142 kj(34 kcal),0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Spirulinov,3760195480434,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fit me Maybelline,3600531526313,['France'],"['100PRESSED POWDER FOR NORMAL TO OILY SKINPOUDRE COMPACTE PEAUX NORMALES A GRASSESKOMPAKTPUDER FUR NORMALE BIS FETTIGE HAUTCIPRIA COMPATTA PER PELLI DA NORMALI A GRASSEPOLVO COMPACTO PARA PIELES NORMALES A GRASAS MADE IN ITALWARM IVORGEMEY PARIS MAYBELINE NEW Y14', 'rue Royale-75008 Paris ', 'RANCI TONDON WOTSA 25000 93684 ST OUEN CEDEwww', 'maybelline', 'com9g524M3 ""60053 1526313"">NE']",[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pissenlit 120 Gélules - Atlantic Nature,3535444447878,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Les eaux de thé - May Tea,56136074,['France'],[],[],?,11,0,"2,5",0,,46 kj(11 kcal),0,"2,4",0,0,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,['May Tea'],,,,,,,,,,,,,,,,
46,Le fromage nature,3236240077329,['France'],[],[],?,189,15,4,"9,5",,791 kj(189 kcal),11,4,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tisane (l'heure Du Coucher) - Twinings,0070177194031,['France'],[],[],?,4,0,0,0,,17 kj(4 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Twinings'],,,,,,,,,,,,,,,,
48,Sorbet poire williams,3760024282048,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Zinc,3160928651566,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Limonage Framboises,0059600061874,['France'],[],[],?,44,0,"11,6","0,08",,184 kj(44 kcal),0,"10,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,American sandwicg,3228826000906,['France'],[],[],?,217,"4,5","7,2","7,7",,908 kj(217 kcal),"0,4","4,2","1,2","0,48",['Sachet en plastique'],"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pomme noisette,3175681254237,['France'],[],[],?,453,17,62,"9,8",,1895 kj(453 kcal),"1,5",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Baguette nordique,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pains au chocolat,0221513019611,['France'],[],[],?,324,19,33,"5,5",,1356 kj(324 kcal),12,"9,9","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Œufs,3183591541576,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Tomettes aux algues bio,3760206789327,['France'],[],[],?,407,"33,4","0,5","26,4",,1703 kj(407 kcal),"23,1","0,5","0,1","0,04",,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bio poulet fermier,2287666014215,['France'],[],[],?,157,"7,8","0,1","21,5",,657 kj(157 kcal),"2,45","0,1","0,14","0,056",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Saucisses pur canard,2873914031952,['France'],[],[],?,187,"12,3","1,7","17,4",,782 kj(187 kcal),"4,05","1,1","2,18","0,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Brioche,0217870029714,['France'],[],[],?,432,17,"59,8","10,2",,1807 kj(432 kcal),"4,5","19,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,tomates,0255073013253,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Fouace de Clairvaux,3467191803907,['France'],[],[],?,383,13,59,"6,8",,1602 kj(383 kcal),"6,8",31,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Put beurre de cacahuète,02569352,['France'],[],[],?,625,50,12,29,,2615 kj(625 kcal),"9,7","5,1",0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",50 g,en quantité élevée,9.7 g,en quantité élevée,5.1 g,en quantité modérée,0 g,en faible quantité,,+4%,+5%,+4%,+17%,-17%,-20%,+18%,-100%,-100%,17,+55%,D,+55%,C,,,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,
63,Graines de tournesol,8436041491484,['France'],[],[],?,580,"49,8",24,"19,33",,2427 kj(580 kcal),0,0,1,"0,4",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",49.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,+2%,+2%,+9%,-100%,+80%,-100%,-12%,-45%,-45%,11,-17%,D,-17%,C,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,
64,Huile de coco bio,0222222111122,['France'],[],[],?,900,100,0,0,,3766 kj(900 kcal),86,0,0,0,,['Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",100 g,en quantité élevée,86 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+3%,+2%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,
65,Morceaux de poulet recette thym citron,0215568030967,['France'],[],[],?,209,15,"2,4",16,,874 kj(209 kcal),"4,6",0,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Compote de pommes,1354450560584,['France'],[],[],?,70,"0,3","15,5","0,3",,293 kj(70 kcal),0,"14,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2 cuisses de canard confit,3701275000210,['France'],[],[],?,281,19,4,22,"['FR 24.064.007 CE', 'Brantôme (Dordogne, France)']",1176 kj(281 kcal),0,0,0,0,,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",19 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+18%,+18%,+15%,-100%,+783%,-100%,+3%,-100%,-100%,-2,-119%,A,-119%,D,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,
68,tablette de chocolat,5412860000208,['France'],[],[],?,5,"38,8","23,3","9,9",,21 kj(5 kcal),"21,3","12,4","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Thé Yellow Power - Fitvia,4260515895522,['France'],[],[],?,3,"0,5","0,7","0,5",,13 kj(3 kcal),"0,1","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fitvia'],,,,,,,,,,,,,,,,
70,Riz 3 couleurs,184883,['France'],[],[],?,345,"0,7",76,"7,5",,1443 kj(345 kcal),"0,5","0,5","0,13","0,052",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Nespresso india,7630054493010,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Proligne,3440819969537,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,spatzle - Alb Gold,4018722100102,['France'],[],[],?,372,"2,4",73,13,,1556 kj(372 kcal),"0,6","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Alb Gold'],,,,,,,,,,,,,,,,
74,Tenders de poulet,4260131412110,['France'],[],[],?,297,18,"21,6","11,7",,1243 kj(297 kcal),"3,7","2,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Saucisson sec au piment d’espelette,2006050010219,['France'],[],[],?,420,34,"2,5",25,,1757 kj(420 kcal),13,"2,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cremiobox,18847789,['France'],[],[],?,158,"5,4",19,"7,5",,661 kj(158 kcal),"2,7","1,3","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Driscoll's only the finest Berries,8717496042088,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jambon cuit aux herbes du vittorio,2889356042647,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Nouga,8412080015645,['France'],[],[],?,478,21,60,10,,2000 kj(478 kcal),"1,8",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4260551290039,4260551290039,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Pave d’espadon mariné tomate et huile d’olive,2416881041137,['France'],[],[],?,182,75,"0,7","0,5",,761 kj(182 kcal),12,"0,7","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sirop de pêche,3032230109397,['France'],[],[],?,32,"0,1",80,"0,11",,134 kj(32 kcal),"0,1",80,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",,,,,,,,,,-88%,-88%,-19%,+226%,+17%,+23%,-21%,,,,,,,B,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
83,Cote de veau,0247519048080,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Poulet fermier decoupe,2467766038117,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Cidre fermier,3760085850651,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,,,D,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,
86,Proteine native bio Alter Nutrition fruits rouges 700g,3701182300632,['France'],[],[],?,353,"1,5","8,1",77,,1477 kj(353 kcal),1,7,"0,5","0,2",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Morceau choisis de poulet recette mexicaine,0215969031358,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Fourme d ambert,2286860001380,['France'],[],[],?,340,28,2,20,,1423 kj(340 kcal),19,"0,5","2,5",1,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,-1%,-0%,-1%,-4%,+103%,+44%,-1%,+13%,+13%,19,+6%,E,+6%,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
89,Melange 3 riz noix de cajou et coriandre,3261680805034,['France'],[],[],?,236,"6,2","36,9","6,8",,987 kj(236 kcal),"0,6","1,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Blé Soufflé Miel Caramel,3256227769344,['France'],[],[],?,396,"2,5","30,8",8,,1657 kj(396 kcal),"1,3","14,5","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Salade falafels et legumes cuits au gril,29063031,['France'],[],[],?,104,"5,5","7,9",4,,435 kj(104 kcal),"0,7","0,6","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Vin rouge,3179410093883,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,D,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,
93,Booja-Booja Hunky Punky Chocolate Ice Cream,5060002041451,['France'],[],[],?,130,"6,1",15,12,,544 kj(130 kcal),"1,2",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Fagottini artisanaux, sauce tomate crémée - 370g",0748367061820,['France'],[],[],?,152,7,16,4,,636 kj(152 kcal),3,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,370 g,,,,,,,,,,,,,,,,,
95,Tomate ronde grappe,0209573006239,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Trans-x Professional,0728633100965,['France'],[],[],?,312,0,78,0,,1305 kj(312 kcal),0,78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Sorbet plein fruit poire,3770016195188,['France'],[],[],?,105,0,"27,4","0,45",,439 kj(105 kcal),0,"27,25",,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Comté AOP Recital,2884488066257,['France'],[],[],?,?,?,?,?,,,,,,,,['AOP'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,D,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
99,Aperiloste Chorizo,2100299001646,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Filet de poulet tranche - Le Gaulois,2276752037191,['France'],[],[],?,?,?,?,?,,,,,,,,,['en:Filets de Poulet'],,,,,,,,,,,,,,,,,,,,,,,,,['Le Gaulois'],,,,,,,,,,,,,,,,
101,2x mini veggie burgers - Paso,3760114579881,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Paso'],,,,,,,,,,,,,,,,
102,Selenium,3700446415860,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2500253003042,2500253003042,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,GROS SEL,3760101840024,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Valeriana granel,8436535154024,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Poivre Noir Moulu,3770017104004,['France'],[],[],?,251,"3,3",64,10,,1050 kj(251 kcal),"1,4","0,6",2,"0,8",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",3.3 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,2 g,en quantité élevée,,+766%,+343%,+304%,+846%,+590%,+392%,+346%,+1654%,+1654%,,,,,B,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,
