,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
1821,Gnocchi à Poêler - Thiriet,3292590837266,B,,['Thiriet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchis cuits', 'Gnocchi à poêler']",,,['France'],"['eau', 'semoule de blé dur de qualité supérieure 27%', 'flocons de pommes de terre déshydratés 15% ', 'pommes de terre', ""emulsifiants : mono - et digfycérides d'acides gras - diphosphate disodique"", 'acidifiant : acide citrique', 'colorant : extrait de curcuma', 'farine de riz', 'sel', 'huile de tournesol', ' Présence éventuelle d&œuf', 'poisson et lait,']","['Non végétalien', 'Non végétarien']",4,2.4 g,en faible quantité,0.4 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en quantité modérée,?,,185,-9%,774 kj(185 kcal),-9%,"2,4",-41%,"0,4",-70%,34,+2%,"0,2",-89%,"5,6",-5%,"1,2",-9%,"0,48",-9%,3,-49%,C,-49%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,"['E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E100 - Curcumine']",['Thiriet'],"['Poisson', 'Lait']",,,
1822,Galettes aux petits - Thiriet - 300g,3292590838362,,300 g,['Thiriet'],,,,['France'],"['ING?ÊDIENTS légumes petits pbisdoüxlflà%l brocofis45%', ' poireaukl champignons de blancs', ' chapelure ', ""farines de blé etde ri4 extrais d'épices"", '} entietftuile det0umesOtl', ""Seli' PtéSèheeféViëhtüeI/e jdélajt"", 'soja,']",[],,,,,,,,,,?,,136,,569 kj(136 kcal),,"6,7",,"0,7",,13,,"6,1",,"4,2",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,['Thiriet'],['Soja'],,,
1823,"8 Galettes carottes,pommes de terre et lardons - Thiriet - 300g",3292590838379,,300 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,160,,669 kj(160 kcal),,10,,"1,7",,12,,4,,"4,2",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1824,"Galettes poireaux, pommes de terre et emmental - Thiriet",3292590838386,,,['Thiriet'],,,,['France'],"['poireaux 46%', 'pommes de terre 23%', 'emmental râpé 13%', 'chapelure ', 'farine de blé et de rie', 'sel', 'levure', 'amidon', 'gélifiant : algues euchema transformées', ""extraits d'épices"", 'œuf entier', 'huile de tournesol', 'sel']",['Non végétalien'],4,,,,,,,,,?,,171,,715 kj(171 kcal),,10,,"3,5",,12,,"3,9",,"7,3",,"1,1",,"0,44",,,,,,,,,,,,,,,,,"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",['Thiriet'],['Gluten'],,,
1825,Gratin de choux-fleur - Thiriet - 300g,3292590838430,B,300 g,['Thiriet'],"['Plats préparés', 'Gratins', 'Gratins de légumes', 'Gratins de choux-fleurs']",,,['France'],"['faNGRÉDlENTS+fteüièttés de choux fleurs cuites 48,6%', '- ea u', 'emmental 7,7%', 're beurre', 'arômes naturels ', 'dont - tait', ""' "", 'rine de blé€amidoMransfûimejselt']",['Non végétalien'],4,5.9 g,en quantité modérée,3.9 g,en quantité modérée,2.8 g,en faible quantité,0.66 g,en quantité modérée,?,,84,-7%,351 kj(84 kcal),-8%,"5,9",+9%,"3,9",+20%,"3,9",-26%,"2,8",+12%,"3,5",-12%,"0,66",+4%,"0,264",+4%,3,+16%,C,+16%,53.7%,19.7%,8.9%,9.2%,5.0%,3.6%,91,,,,,,['Thiriet'],['Lait'],,,
1826,Gratin de Brocolis - Thiriet - 300g,3292590838461,B,300 g,['Thiriet'],"['Surgelés', 'Plats préparés', 'Gratins', 'Plats préparés surgelés', 'Gratins de légumes']",,,['France'],[],[],,,,5.2 g,en quantité élevée,2.1 g,en faible quantité,0.77 g,en quantité modérée,?,,111,+2%,464 kj(111 kcal),+2%,?,,"5,2",+50%,?,,"2,1",-28%,"5,4",+39%,"0,77",+25%,"0,308",+25%,,,,,71.1%,12.3%,5.4%,6.1%,3.0%,2.1%,76,,,"['Carton', 'surgelé']",,,['Thiriet'],,,,
1827,Gratin De Choux-fleurs Et Brocolis - Thiriet - 900g,3292590838485,,900 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,108,,452 kj(108 kcal),,?,,"5,2",,?,,"2,7",,"4,9",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1828,Petit pois aux lardons - Thiriet - 600g,3292590838522,,600 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,106,,444 kj(106 kcal),,5,,"2,3",,"7,8",,"3,6",,"7,3",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1829,Fondants pommes de terre et cèpes - Thiriet,3292590838652,,,['Thiriet'],,,,['France'],"['Pommes de terre précuites 29%', 'crème ', 'laitï stabilisant : carraghénanes', 't purée de pomme de terre 23%', 'brisures de cèpes 9%', 'oeuf', 'beurre', 'échalote', 'amidon transformé', 'sel', 'persil', 'poivre blanc', 'muscadet épaississant : gomme xanthanet Présence éventuelle de gluten', 'poisson', 'mollusques', 'crustacés', 'moutarde', 'céleri et soja']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,173,,724 kj(173 kcal),,"12,8",,"8,4",,"10,2",,"1,1",,"3,4",,"0,81",,"0,324",,,,,,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",['Thiriet'],"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Lait', 'Mollusques', 'Moutarde', 'Soja']",,,
1830,Charlottes céleri panais marrons - Thiriet,3292590838867,,,['Thiriet'],,,,['France'],"['Céleri-rave 27%', 'eau', 'marron 14%', 'crème fraîche 13%', 'panais 12%', 'oeuf entier', ""blanc d'oeuf"", 'huile de colza', 'beurre', 'échalote', 'amidon transformé', 'persil', 'flocons de pommes de terre ', ""émulsifiant : mono - et diglycérides d'acides gras"", 'curcuma', 'sel', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,140,,586 kj(140 kcal),,"9,3",,"4,7",,"9,6",,"2,6",,"3,3",,"0,48",,"0,192",,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Thiriet'],"['Céleri', 'Œufs', 'Lait']",,,
1831,"Crémeux de céleri, fondant d’asperges et éclats de pistache - Thiriet",3292590838959,,,['Thiriet'],,,,['France'],"['pomme de terre 20%', 'crème fraîche 19%', 'céleri-rave 17%', 'eau', 'purée de pomme de terre', 'purée dlasperge verte ?6%', 'emmental fondu ', 'emmental 50%', 'eau', 'lactosérum en poudre', 'beurre', 'sel de fonte : citrate de sodium', 'arôme naturel', 'sel', 'beurre doux ', 'béchamel ', 'lactosérum en poudre', 'farine de blé', 'amidon', 'lait écrémé en poudre', 'sel', 'épices', 'échalote', 'pistache 1%', 'sel', 'épaississant : méthylcellulose', 'poivre']",['Non végétalien'],4,,,,,,,,,?,,147,,615 kj(147 kcal),,11,,"6,9",,"9,8",,"2,2",,"2,6",,"0,73",,"0,292",,,,,,,,,,,,,,,,,"['E331 - Citrates de sodium', 'E461 - Méthylcellulose']",['Thiriet'],"['Céleri', 'Gluten', 'Lait', 'Fruits à coque']",,,
1832,"4 fondants de pomme de terre, tomates mi-sechees et purée de fèves - Thiriet",3292590839055,,,['Thiriet'],,,,['France'],"['pomme de terre cuite 43% ', 'dont stabilisant : diphosphate disodique', 'fève 16%', 'crème fraîche 16%', 'tomate mi-séchéc Cau', 'œufs de poules élevées en plein aire beurre 2,2%', 'échalote', 'emmental 1,8%', 'basilic huilo de colza', 'sel', 'ail', 'flocons de pomme de terre ', 'dont I']",['Non végétalien'],4,,,,,,,,,?,,136,,569 kj(136 kcal),,"8,7",,"5,4",,10,,"1,7",,"3,4",,"0,77",,"0,308",,,,,,,,,,,,,,,,,['E450i - Pyrophosphate de sodium acide'],['Thiriet'],['Lait'],,,
1833,Médaillon de limande-sole - Thiriet - 500g,3292590841133,E,500 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés', 'Sole', 'Limande']",,['Atlantique Nord'],['France'],['Filets de limande-sole entiers'],[],,0.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.22 g,en faible quantité,314,,?,,314 kj(75 kcal),-48%,"0,8",-86%,~ 0,-100%,~ 0,-100%,~ 0,-100%,17,+22%,"0,22",-72%,"0,088",-72%,-5,,A,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,['NL 6613 EG'],Poissons,['Plastique'],,,['Thiriet'],,,,
1834,Filets de brosme - Thiriet - 800g,3292590841164,,800 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Filets de poissons', 'Fruits de mer surgelés', 'Poissons surgelés']",['Pêché à la ligne'],['Atlantique Nord-Est'],['France'],['Brosme'],[],,1.3 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,373,-20%,?,,373 kj(89 kcal),-22%,"1,3",-65%,"0,2",-73%,0,-100%,0,-100%,"19,1",+15%,"0,3",-31%,"0,12",-31%,-3,,A,,,,,,,,,"['FR 59.580.104', 'Steenvoorde (Nord, France)', 'EMB 59580', 'Steenvoorde (Nord, France)']",Filets de brosme surgelé,,,,['Thiriet'],,,,
1835,Thiriet,3292590841188,,,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1836,Filets de lingue - Thiriet - 800g,3292590841355,,800 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,78,,326 kj(78 kcal),,"0,2",,"0,1",,"0,2",,0,,19,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1837,Filets de sardine - Thiriet,3292590841362,B,,['Thiriet'],"['Produits de la mer', 'Poissons', 'Sardines', 'Filets de poissons', 'Filets de sardines']",,,['France'],[],[],,19 g,en quantité modérée,8.6 g,en quantité élevée,0.01 g,en faible quantité,0.03 g,en faible quantité,?,,253,+32%,1059 kj(253 kcal),+32%,19,+54%,"8,6",+164%,"1,7",+120%,"0,01",-98%,18,-11%,"0,03",-97%,"0,012",-97%,11,+217%,D,+217%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,['Thiriet'],,,,
1838,Filets de colin d'Alaska - Thiriet - 1kg,3292590842062,,1 kg,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",,,['France'],"[""Colin d'Alaska""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.33 g,en quantité modérée,?,,76,-41%,318 kj(76 kcal),-40%,1,-76%,"0,3",-46%,0,-100%,0,-100%,17,+19%,"0,33",-40%,"0,132",-40%,-4,,A,,,,,,,,,,Filets de Colin d'Alaska,['Surgelé'],,,['Thiriet'],['Poisson'],,,
1839,Escalopes De Saumon Atlantique - Thiriet,3292590842413,,,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,189,,791 kj(189 kcal),,"12,5",,"2,6",,0,,0,,19,,"0,1",,"0,04",,,,,,,,,,,,,"['FR 62.753.100 CE', 'Saint-Laurent-Blangy (Pas-de-Calais, France)', 'EMB 63753']",,,,,['Thiriet'],,,,
1840,Filet de colin d'Alaska - Thiriet - 700g,3292590842796,,700 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",,,['France'],"['• 2jours dans le compartiment à glace du réfrigérateur', ""• Jusqu'àla datefrnitedutïsa±ìl optimale indiquée ci-contre dans un congélateur à - 1801 CONSERVATION À-180C"", ' NE JAMAIS UN PRODUIT']",[],,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.33 g,en quantité modérée,?,,76,-41%,318 kj(76 kcal),-40%,1,-76%,"0,3",-46%,0,-100%,0,-100%,17,+19%,"0,33",-40%,"0,132",-40%,-4,,A,,,,,,,,,"['FR 76.351.092 CE', 'Havre (Seine-Maritime, France)', 'EMB 76351A', 'Havre (Seine-Maritime, France)']",,,,,['Thiriet'],,,,
1841,Portions de filets de colin (lieu) - Thiriet - 400g,3292590843076,,400 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",,,['France'],"['Portions de filet de Colin ', 'Lieu']","['Non végétalien', 'Non végétarien']",1,0.8 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,?,,92,-28%,385 kj(92 kcal),-27%,"0,8",-81%,0,-100%,0,-100%,0,-100%,20,+40%,"0,13",-76%,"0,052",-76%,-7,,A,,,,,,,,,,,,,,['Thiriet'],['Poisson'],,,
1842,4 coeurs de filets de thon Germon - Thiriet - 500g,3292590843106,E,500 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Thons', 'Fruits de mer surgelés', 'Poissons surgelés', 'Thons blancs']","[""Informations incorrectes sur l'emballage"", 'Sans arête', 'Sans peau']","['Océan Indien', 'Océan Pacifique']",['France'],['4 coeurs de filets de thon germon congelés'],[],,8.1 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,?,,177,-17%,741 kj(177 kcal),-18%,"8,1",-39%,3,+15%,0,-100%,0,-100%,26,+10%,"0,15",-84%,"0,06",-84%,-1,-123%,A,-123%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,"['Carton', 'Surgelé']",,,['Thiriet'],,,,
1843,Coeurs de filet de colin lieu - Thiriet - 1kg,3292590843199,,1 kg,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",,,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.26 g,en faible quantité,?,,81,-37%,339 kj(81 kcal),-36%,0,-100%,0,-100%,0,-100%,0,-100%,20,+40%,"0,26",-52%,"0,104",-52%,-3,,A,,,,,,,,,,,,,,['Thiriet'],,,,
1844,Coeur de filet de loup de mer - Thiriet,3292590843502,,,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,80,,335 kj(80 kcal),,"1,7",,"0,2",,"0,1",,"0,1",,16,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1845,Nuggets de colin d'Alaska et Mozzarella - Thiriet,3292590844226,,,['Thiriet'],,,,['France'],"[""colin d'Alaska 41,5%"", 'farine de blé', 'eau', 'mozzarella 10,2%', 'huile de colza', 'flocons de pommes de terre ', 'pommes de terre', ""émulsifiant : mono - et diglycérides d'acides gras"", ""antioxydants: palmitate d'ascorbyle - acide ascorbique"", ""correcteur d'acidité : acide citrique"", 'farine de riz', 'jus de citron', 'sel', 'extrait de levure', ""poudre de blanc d'œuf"", 'levure']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,246,,1029 kj(246 kcal),,13,,"2,2",,20,,"0,1",,13,,"0,8",,"0,32",,,,,,,,,,,,,['MSC-C-50054'],,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E304i - Palmitate d'ascorbyle"", 'E300 - Acide ascorbique', 'E330 - Acide citrique']",['Thiriet'],"['Poisson', 'Gluten', 'Lait']",,"[""E304 - Palmitate d'ascorbyle""]",
1846,Beignets de Colin d'alaska - Thiriet - 500g,3292590844417,,500 g,['Thiriet'],"['Snacks', 'Snacks salés', 'Plats préparés', 'Plats préparés au poisson']",,,['France'],"[""Filets de colin d'Alaska 50%"", 'eau', 'farines de riz', 'de seigle et de blé : huile de colza et de tournesol', 'amidon transformé de blé', 'gluten de blé', 'poudres à lever carbonate acide de sodium - diphosphate disodique', 'sel', 'protéines de lait', 'épaississant : gomme de guar']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,7.2 g,en quantité modérée,0.6 g,en faible quantité,1.6 g,en faible quantité,1 g,en quantité modérée,745,+17%,?,,745 kj(178 kcal),+3%,"7,2",-31%,"0,6",-78%,"17,6",+111%,"1,6",+7%,"10,1",+8%,1,-3%,"0,4",-3%,0,-100%,B,-100%,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E412 - Gomme de guar']",['Thiriet'],"['Gluten', 'Lait']",,,
1847,Filets de Cabillaud Panés - Thiriet,3292590844431,E,,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Préparations de poisson', 'Produits panés', 'Morues', 'Poissons panés', 'Filets de cabillaud', 'Filets de cabillaud panés']",,,['France'],"['portions de filets de cabillaud* 72%', 'chapelure ', 'farine de blé', 'sel', 'levure', 'épices naturelles : paprika - curcuma', 'eau', 'farine de blé', 'amidon transformé de blé', 'sel Présence éventuelle de moutarde', "" *Malgré tout le soin apporté à ceproduit la présence exceptionnelle darêtes n'est pas exclue""]",[],4,0.5 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en faible quantité,0.46 g,en quantité modérée,?,,119,-34%,498 kj(119 kcal),-34%,"0,5",-93%,"0,3",-62%,15,-12%,"1,4",-8%,14,+10%,"0,46",-18%,"0,184",-18%,-2,,A,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,,,['E14XX - Amidons modifiés'],['Thiriet'],['Gluten'],,,
1848,Noix De Saint-jacques Sans Corail - Thiriet - 300g,3292590845407,,300 g,['Thiriet'],"['Produits de la mer', 'Mollusques', 'Noix de Saint-Jacques']",,['Pérou'],['France'],[],[],,0.9 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,0.25 g,en faible quantité,?,,424,+382%,1774 kj(424 kcal),+368%,"0,9",-47%,"0,3",-60%,"9,1",+218%,"0,7",+11%,14,-11%,"0,25",-54%,"0,1",-54%,1,,B,,,,,,,,,,,"['Sachet', 'Plastique', 'Surgelé']",,,['Thiriet'],,,,
1849,Noix de St Jacques sans corail - Thiriet,3292590845551,,,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"0,4",,0,,"1,9",,"0,1",,18,,"0,48",,"0,192",,,,,,,,,,,,,['MSC-C-50851'],,,,,['Thiriet'],,,,
1850,Morceaux de poulpe cuit - Thiriet,3292590845582,,,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,84,,351 kj(84 kcal),,"1,4",,"0,3",,0,,0,,18,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1851,Gambas sauvages entieres crues - Thiriet - 800g,3292590846374,,800 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,96,,402 kj(96 kcal),,"0,6",,"0,3",,0,,0,,23,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1852,2 queues de langoustes Caraïbes crues - Thiriet,3292590846558,E,,['Thiriet'],"['Produits de la mer', 'Crustacés', 'Langoustes', 'Queues de langoustes']",,,['France'],[],[],,0.8 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.94 g,en quantité modérée,?,,337,+270%,1410 kj(337 kcal),+271%,"0,8",-8%,"0,1",-43%,"0,2",-74%,"0,2",+9%,18,-7%,"0,94",+46%,"0,376",+46%,3,,C,,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,,,,,['Thiriet'],,,,
1853,Escalopes de poulet - Thiriet,3292590851088,D,,['Thiriet'],"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']","['Viande-francaise', 'Volaille-francaise']",,['France'],"['Escalopes de poulet coupées dans le filet à partir de volailles certifiées France\rFilets de poulet classe A', 'origine France']",[],,1.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,?,,107,-19%,448 kj(107 kcal),-19%,"1,4",-48%,0,-100%,0,-100%,0,-100%,23,+6%,"0,13",-70%,"0,052",-70%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,['Thiriet'],,,,
1854,4 escalopes de foie gras de canard du sud ouest crues - Thiriet - 140g,3292590851675,,140 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,598,,2502 kj(598 kcal),,63,,28,,"1,9",,"1,7",,"5,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1855,Foie gras canard entier - Thiriet - 100g,3292590851835,,100 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,534,,2234 kj(534 kcal),,55,,23,,"2,4",,"1,9",,"7,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1856,2 cailles farcies au foie gras de canard - Thiriet,3292590852351,,,['Thiriet'],,,,['France'],"['CAILLE 65% ', 'origine France', ' FARCE 35% : foie gras de canard 35%', 'maigre et gras de porc 27t4% ', 'origine France', 'f eau', 'viande de dinde 11,3% ', 'origine France', 'crème 5% ', 'stabilisant', ' carraghénanes', 't chapelure ', 'farine de blé', 'Porto foie de dinde', 'sel', 'poivre et muscade', 'Pourcentages exprimés sur la farce', ' Présence éventuelle djœuf et de fruits à coque']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,255,,1067 kj(255 kcal),,20,,"6,6",,"2,4",,1,,17,,"0,77",,"0,308",,,,,,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Thiriet'],"['Gluten', 'Lait', 'Fruits à coque']",,,
1857,Bouchées de poulet marinées façon Andalouse cuites - Thiriet - 300g,3292590852627,,300 g,['Thiriet'],,,,['France'],[],[],,,,,,,,,,?,,200,,837 kj(200 kcal),,11,,"3,4",,"3,5",,"3,1",,22,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,['Thiriet'],,,,
1858,Escalopes cordons bleus de poulet - Thiriet,3292590852887,D,,['Thiriet'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,,['France'],[],[],,11 g,en quantité modérée,3 g,en quantité modérée,2.2 g,en faible quantité,1.3 g,en quantité modérée,?,,212,+0%,887 kj(212 kcal),-0%,11,0%,3,+6%,14,+1%,"2,2",+32%,15,+9%,"1,3",0%,"0,52",0%,4,-22%,C,-22%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,['Thiriet'],,,,
1859,"Rôti d'agneau farci, Surgelé - Thiriet - 800g",3292590860059,,800 g,['Thiriet'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', ""Rôtis d'agneau farcis""]",,,"['France', 'La Réunion']","[""\x90Épaule d'agneau désossée et traitée en salaison 69 % "", ""épaule d'agneau 95,2 %"", 'eau', 'sirop de glucose', 'sel', 'arôme', 'farce 31 % ', ""viande d'agneau 43 %"", 'gras de porc 30 %', 'eau', 'chapelure ', 'farine de blé', 'sel', 'herbes de Provence 0', '6 %', 'persil', ""purée d'ail 0"", '6 %', 'poivre']","['Non végétalien', 'Non végétarien']",4,18.7 g,en quantité modérée,,,,,,,959,+57%,?,,959 kj(229 kcal),+53%,"18,7",+167%,,,~ 0,-100%,,,"15,7",+132%,,,,,,,,,,,,,,,,"['FR 85.215.003 CE', 'Saint-Fulgent (Vendée, France)']",Demi-épaule d'agneau farcie,"['Surgelé', 'Boîte', 'Carton', 'Plastique']","['LDC Sablé (Filiale Groupe Lambert Dodard Chancereul - LDC) - ZI Saint Laurent - 72300 Sablé-sur-Sarthe', 'Sarthe', 'Pays de la Loire', 'France']",,"['Thiriet Saint Gilles', 'Thiriet']",['Gluten'],"http://magasins.thiriet.com/produits/viandes_volailles/agneau/viande_elaboree/roti_dagneau_farci_farce_hde_provence_et_pesil,9,814.html?&args=Y29tcF9pZD0zMiZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1TU0ZBTTEtMTEtMDEtMDEmcHJvZHVpdF9pZD04NjAwNSZmcm9tX3JlY2hlcmNoZT0lMkZyZXN1bHRhdHMtZGUtcmVjaGVyY2hlJTJGcmVzdWx0YXRzLWRlLXJlY2hlcmNoZSUyQzIxJTJDODQ4Lmh0bWwlM0YlMjZhbXAlM0J2YXJzJTNEY21WelpYUTlNUSUzRCUzRA%3D%3D",,
1860,Saute D'agneau - Thiriet,3292590860127,,,['Thiriet'],"['Viandes', ""Viandes d'agneau"", ""Sauté d'agneau""]","['Viande-francaise', 'Viande Ovine Française', 'Frozen']",,['France'],[],[],,12 g,en quantité modérée,6.5 g,en quantité élevée,0 g,en faible quantité,0.16 g,en faible quantité,?,,190,+27%,795 kj(190 kcal),+27%,12,+70%,"6,5",+138%,0,-100%,0,-100%,22,+16%,"0,16",-84%,"0,064",-84%,3,+7%,C,+7%,,,,,,,,,,,,,['Thiriet'],,,,
1861,"Pot-au-feu - Thiriet - 1,2kg (2x600g)",3292590861858,D,"1,2kg (2x600g)",['Thiriet'],"['Plats préparés', 'Pot-au-feu']","['Viande Française', 'Bleu Blanc Cœur', 'Viande-bovine-francaise']",['France'],['France'],"['Viande bovine française ', 'jarret et plat de côté', ' Animaux nés', 'élevés', 'abattus', 'découpés en France']",[],,3.4 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.22 g,en faible quantité,496,-24%,118,-27%,496 kj(118 kcal),-26%,"3,4",-52%,"1,4",-39%,0,-100%,0,-100%,22,+215%,"0,22",-77%,"0,088",-77%,-3,-176%,A,-176%,94.9%,2.4%,0.9%,1.0%,0.5%,0.4%,17,"['FR 49.323.032 CE', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)"", 'EMB 49323B', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]","Pot au feu, jarret et plat de côte","['Sachet plastique', 'Boite carton']",,,['Thiriet'],,,,
