,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
1282,CONFIT DE TOMATES SÉCHÉES - Marius Bernard,3183810446491,,['Marius Bernard'],,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,"34,4",,"4,94",,"9,04",,"4,44",,"2,35",,"3,14",,"1,256",,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Préparation pour taboulé à l'huile d'olive - Marius Bernard,3183811004362,A,['Marius Bernard'],"['Plats préparés', 'Taboulés', ""Taboulés à l'huile d'olive""]",['France'],[],[],3.64 g,en quantité modérée,0.44 g,en faible quantité,3.64 g,en faible quantité,1.24 g,en quantité modérée,?,,139,-8%,582 kj(139 kcal),-8%,"3,64",-26%,"0,44",-33%,"21,4",+0%,"3,64",-2%,"3,95",-4%,"1,24",+24%,"0,496",+24%,4,+142%,C,+142%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,['Carton'],,,,,,,,,
1284,"Sauce pizza biologique - Marius Bernard - 190g, 212ml",3183811006588,A,['Marius Bernard'],"['Epicerie', 'Sauces', 'Sauces pour pizzas']",['France'],"['Coulis de tomates 65%', 'tomates 21% ', 'tomates', 'jus de tomate', 'acidifiant : acide citrique', 'oignons', ""huile d'olive vierge extra"", 'farine de blé', 'sel', 'sucre de canne', 'origan', 'romarin', 'thym', 'poivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,1000 kj(239 kcal),+283%,?,,,,?,,,,?,,,,,,,,,,53.1%,21.8%,10.0%,9.2%,6.0%,0.0%,93,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",['Gluten'],,"190 g, 212 ml","['Bocal', 'Verre']","['France', 'Provence']",,,['E330 - Acide citrique'],,3,,,
1285,Oignons cuisinés à l'huile d'olive,3183811006625,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Terrine Camarguaise - Marius bernard,3183811006649,,['Marius bernard'],,['France'],"['GrŒ de de porc', 'sulfites', 'Œufs', ""'fri : Eir frais- A & g-sF= Poids net Conte 95g 130ml""]",['Non végétalien'],,,,,,,,,?,,329,,1377 kj(329 kcal),,"33,7",,"8,9",,"1,8",,"0,1",,"11,3",,"1,4",,"0,56",,,,,,,,,,,,,,"['Œufs', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,,
1287,Terrine de caille aux morilles - Marius Bernard,3183811007011,,['Marius Bernard'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de caille']",['France'],"['Gras de porc', 'foie de volaille', 'caille 20%', 'vin ', 'sulfites', 'oeufs', 'porto ', 'sulfites', ' ', 'morilles 3%', 'sel', 'champignons forestiers', 'amidon modifié de pomme de terre', 'blé ', 'gluten', 'poivre', 'plantes aromatiques', 'citron']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",30.5 g,en quantité élevée,8.9 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,339,+12%,1418 kj(339 kcal),+13%,"30,5",+18%,"8,9",-5%,"3,2",+80%,"0,2",-69%,"12,9",-10%,"1,3",-16%,"0,52",-16%,17,-4%,D,-4%,,,,,,,,,"['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']",,,"['Verre', 'Terrine']",,,,['E14XX - Amidons modifiés'],,4,,,
1288,Bisque de homard  - Les Pêcheurs des Calanques - 490g,3183811008667,,['Les Pêcheurs des Calanques'],"['Produits de la mer', 'Plats préparés', 'Soupes', 'Bisques de homard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,Bisque de homard,490 g,['Bouteille'],,"['Marius Bernard - 192 Route du Loir - 13250 Saint-Chamas', 'Bouches-du-Rhône', ""Provence-Alpes-Côte d'Azur"", 'France']",http://www.lespecheursdescalanques.fr/bisque-de-homard.html,,,,,,
1289,Rillettes de saumon à l'aneth - Les pêcheurs des calanques - 100g,3183811009831,E,['Les pêcheurs des calanques'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,100 g,['Pot en verre'],,,,,,,,,
1290,Sauce Mayo - Les Pêcheurs des Calanques - 85g,3183811009893,D,['Les Pêcheurs des Calanques'],"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"['Huile de tournesol', 'eau', ""jaune d'oeuf"", 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'sulfites', 'sucre', 'vinaigre de vin blanc ', 'sulfites', 'jus de citron concentré', 'amidon transformé de maïs', ""piment d'Espelette AOP 0"", '63%', 'sel', 'épaississants : gommes de guar et de xanthane', 'piment doux Escencia']",['Non végétalien'],68.4 g,en quantité élevée,8.94 g,en quantité élevée,1.74 g,en faible quantité,1.94 g,en quantité élevée,?,,640,+4%,2678 kj(640 kcal),+5%,"68,4",+3%,"8,94",+45%,"4,54",+69%,"1,74",+19%,"1,45",+18%,"1,94",+46%,"0,776",+46%,23,+28%,E,+28%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,"['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",Sauce Mayo au Piment d'Espelette AOP,85 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,['France'],,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",,4,['Carrefour'],"['FR 13.092.001 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",
1291,Sauce Mayo au piment d'Espelette AOP,3183811010011,,,,['France'],[],[],,,,,,,,,?,,640,,2678 kj(640 kcal),,"68,4",,"8,94",,"4,54",,"1,74",,"1,45",,"1,94",,"0,776",,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Mango & Espelette Peper Konfijt 150G,3183811010059,,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,"0,5",,"0,1",,"43,4",,"25,4",,"0,55",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Sauce Pasta Tomate Arrabiata - Marius Bernard,3183811010097,B,['Marius Bernard'],"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",['France'],"['Coulis de tomates de Provence 62,5 %', 'eau', ""tomates séchées de Tunisie à l'huile d'olive "", 'tomates sechées réhydratées', ""huile d'olive"", 'sucre', 'vinaigre ', 'sulfites', 'sel', 'ail', ""huile d'olive vierge extra"", 'sucre', 'sel', 'Peperon- cni de Calabre 0,19 %', "" Sauce prête à MODE D'EMPLOI Ikmploi"", ' Accompagnera vos poissons', 'Viandes', 'pâtes', 'riz', ' A consommer de préférence avant la date figurant sur la capsule', ' Conserver au frais après ouverture et consommer rapidement', ' POIDS NET : 190 g']","['Non végétalien', 'Non végétarien']",5.24 g,en quantité modérée,0.74 g,en faible quantité,5.64 g,en quantité modérée,1.44 g,en quantité modérée,?,,85,-21%,356 kj(85 kcal),-16%,"5,24",-20%,"0,74",-10%,"6,64",+3%,"5,64",+6%,"1,55",-3%,"1,44",+32%,"0,576",+32%,6,+52%,C,+52%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,['Anhydride sulfureux et sulfites'],,,,,,,,,3,,,
1294,Pasta sauce tomayes basilic - Marius Bernard,3183811010110,,['Marius Bernard'],,['France'],"['Coulis de Tomates de Provence 92,6 %', 'eau', ""huile d'olive vierge extra"", 'basilic de Provence 2,3 %', 'ail', 'sel', 'sucre', 'poivre', "" Sauce prête à MODE D'EMPLOI l'emploi"", ' Accompagnera vos poissons', 'viandes', 'pâtes', 'riz', ' A consommer de préférence avant la date figurant sur la capsule', ' Conserver au frais après ouverture et consommer rapidement', ' POIDS NET : 190 g']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,78,,326 kj(78 kcal),,"4,94",,"0,74",,"5,84",,"4,84",,"1,45",,"1,14",,"0,456",,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Tomatensaus Pce & Balsamico Creme 190G - Marius Bernard - 190g,3183811010127,,['Marius Bernard'],,['France'],"['PASTA SAUCE TOMATE et CRÈME de BALSAMIQUE INGRÉDIENTS ', ' COUIiS de tomates de Provence 70 0%', 'eau', ""tomates séchées de Tunisie à l'huile dolive "", 'tomates séchées réhydratées', ""huile d'olive"", 'sucre', 'vinaigre ', 'sulfites', 'sel', 'crème à base de vinaigre balsamique de Modène IGP 9 % [jus de raisin concentré', 'vinaigre balsamique de Modène IGP 3e % ', 'vinaigre de vin', 'moût de raisin concentré', 'caramel', 'sulfites', 'amidon modifié', ']', 'crème de Bresse AOP ', 'lait', 'huile dolive vierge extra', 'sel', 'sucre', "" MODE D'EMPLOI Sauce prête I emploi"", ' Accompagnera vos viandes', 'Pàtes', 'riz Consommer de préférence avant la date figurant sur la capsule', ' Conserve f frais']",['Non végétalien'],,,,,,,,,?,,119,,498 kj(119 kcal),,"7,84",,"2,34",,"9,04",,"8,14",,"1,65",,"2,34",,"0,936",,,,,,,,,,,,,,"['Lait', 'Anhydride sulfureux et sulfites']",,190 g,,,,,['E14XX - Amidons modifiés'],,4,,"['FR 13.092.001 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",
1296,Sauce Pasta Tomate ail et herbes de Provence - Marius bernard - 190g,3183811010134,A,['Marius bernard'],"['Epicerie', 'Sauces', 'Sauces tomate']",['France'],"['Coulis de tomate Provence 61 %', 'eau', 'oignon', 'ail de Drôme 6 %', ""huile d'olive vierge extra"", 'sucre', 'sel', 'sarriette de Provence 0', '1%', 'thym de Provence 0,1 %', 'poivre']",[],4.04 g,en quantité modérée,0.64 g,en faible quantité,5.55 g,en quantité modérée,0.764 g,en quantité modérée,?,,71,-19%,297 kj(71 kcal),-17%,"4,04",+87%,"0,64",+83%,"6,44",-46%,"5,55",-43%,"1,35",-13%,"0,764",-41%,"0,306",-41%,4,-22%,C,-22%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,190 g,['pot en verre'],,,,,,3,,,
1297,Courgette & parmesan MARIUS BERNARD,3183811010172,,['Marius Bernard'],,['France'],[],[],,,,,,,,,?,,242,,1013 kj(242 kcal),,"23,4",,"12,4",,"3,04",,"2,44",,"3,75",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Sauce Pasta Crème aux lardons et Parmesan AOP - Marius Bernard,3183811010240,,['Marius Bernard'],,['France'],"['Crème de Bresse ', 'lait', ' ', '70 Z', 'lardons fumés onyne France ', 'Poitrine de porc', 'sel', ' 25,8 0/ eau', 'échalotes', ""huile d'olive vierge extra"", 'Parmigiano Reggiano transformé de mais', 'muscade']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,361,,1510 kj(361 kcal),,"36,4",,"20,04",,"3,64",,"2,14",,"4,75",,"1,54",,"0,616",,,,,,,,,,,,,,['Lait'],,,,,,,,,,,,
1299,Soupe de Poissons du Lac Léman - Les pecheurs des calanques - 490g,3183811010455,E,['Les pecheurs des calanques'],"['Conserves', 'Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['France'],"['Poissons du Lac Léman', 'crème fraîche de Bresse AOP']",[],5.44 g,en quantité modérée,2.44 g,en quantité modérée,0.64 g,en faible quantité,,,?,,70,+46%,293 kj(70 kcal),+47%,"5,44",+186%,"2,44",+443%,"0,64",-65%,"0,64",-2%,"4,351",-16%,,,,,,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,"['Poisson', 'Lait']",Soupe de poissons,490g,"['Bouteille', 'Verre']",['Lac Léman'],"['France', 'Provence']",,,,,['Carrefour'],"['FR 13.092.001 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",
1300,Soupe de Poissons de Méditerranée - Les Pêcheurs des Calanques - 490g,3183811010462,E,['Les Pêcheurs des Calanques'],"['Conserves', 'Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['France'],"['Eau', 'plusieurs variétés de petits poissons entiers côtiers de la Méditerranée 35%', 'oignons', 'tomates ', 'tomates', 'jus de tomates', 'poireaux', 'concentré de tomates', 'huile de tournesol', 'sel', 'amidon transformé de maïs', 'ail', 'épaississants : Gommes de guar et de xanthane', 'plantes aromatiques ', 'fenouil', ""écorces d'orange"", 'poivre', 'laurier en feuille : piment doux']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,['Poisson'],,490 g,"['Bouteille', 'Verre']",,['France'],,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",,4,['Carrefour'],"['FR 13.092.001 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",
1301,Sauce Marinade Thaï - Les pecheurs des calanques - 180g,3183811010691,,['Les pecheurs des calanques'],"['Epicerie', 'Sauces']",['France'],"['Huile de tournesol', 'sauce soja ', 'eau', 'graines de soja', 'blé ', 'gluten', 'sel', 'oignon', 'carotte', 'gingembre', 'poivron rouge', 'champignon noir', 'citronnelle', ""vinaigre d'alcool"", 'ail', 'feuille de kaffir', 'sel', 'coriandre', 'piment fort', 'épaississants : gomme de guar et de xanthane']",[],19.4 g,en quantité modérée,2.3 g,en quantité modérée,2.3 g,en faible quantité,2.9 g,en quantité élevée,?,,206,-13%,862 kj(206 kcal),-13%,"19,4",+7%,"2,3",+6%,"4,7",-53%,"2,3",-64%,"1,8",-33%,"2,9",+20%,"1,16",+20%,14,+21%,D,+21%,,,,,,,,,"['Gluten', 'Soja']",,180 g,"['Pot', 'Verre', 'Couvercle', 'Métal']",,['France'],,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,4,['Carrefour'],,
1302,Ratatouille à l'huile d'olive vierge extra - Marius Bernard,3183811011735,B,['Marius Bernard'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",['France'],[],[],4.04 g,en quantité modérée,1.04 g,en faible quantité,3.04 g,en faible quantité,1.04 g,en quantité modérée,?,,65,-4%,272 kj(65 kcal),-3%,"4,04",+8%,"1,04",+93%,"4,04",-21%,"3,04",-22%,"1,95",+65%,"1,04",+46%,"0,416",+46%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,,,
1303,Poivre blanc moulu,3183811059157,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres moulus', 'Poivres blancs', 'Poivre blanc moulu']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,
1304,Poivre noir,3183811059171,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,
1305,Cuisine des îles - Les Pêcheurs des Calanques - 65g,3183811059317,,['Les Pêcheurs des Calanques'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['France'],"['Ail semoule', 'moutarde graines', 'fenouil graines', 'coriandre moulu', 'gingembre moulu', 'curcuma', 'poivre blanc moulu', 'piment fort moulu']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Moutarde'],,65 g,"['Bocal', 'Verre']",,"['France', 'Provence']",,,,1,['Carrefour'],,
1306,Spécial Court Bouillon - Les Pêcheurs des Calanques - 25g,3183811059379,,['Les Pêcheurs des Calanques'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Produits déshydratés', 'Epices', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",['France'],"['Thym', 'coriandre entière', 'fenouil entier', 'basilic', 'persil entier', 'laurier moulu']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,721,,161,,,,"5,64",,,,"20,4",,,,"5,25",,,,,,,,,,,,,,,,,,,,25 g,"['Bocal', 'Verre']",,"['France', 'Provence']",,,,1,['Carrefour'],,
1307,Moulin mélange de la Mer - Les Pêcheurs des Calanques - 50g,3183811059416,,['Les Pêcheurs des Calanques'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['France'],"['Gros sel', 'ail haché', 'oignons lanières', 'aneth graines', 'citronnelle', ""paillettes d'algues "", 'fucus']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,épices,50 g,"['Moulin', 'Plastique']",,"['Provence', 'France']",,,,,,,
1308,Poivre de Sichuan - Marius - 30g,3183811059515,A,['Marius'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs']",['France'],['Poivre de Sichuan'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,30 g,"['Flacon', 'Verre']",,,,,,,,,
1309,"Moulin Curry, 48g",3183811059638,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,sésame doré,3183811059881,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Melet Provençale - Micéli,3183811090334,,['Micéli'],,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"15,6",,"2,7",,"5,3",,"0,11",,"19,4",,"10,77",,"4,308",,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Miel de lavande de provence - Baptistin Féraud,3183811090464,B,['Baptistin Féraud'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de lavande', 'Miels de Provence']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,"['France', 'Provence']",,,,,,,,
1313,"Croquants aux amandes, 220g - Baptistin feraud",3183811090617,D,['Baptistin feraud'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Croquants aux amandes']",['France'],"['Farine de blé', 'sucre amandes ', '12,77%', 'oeuf entier beurre', 'eau,huile de tournesol', 'arôme', 'poudre à lever pyrophosphates et carbonate acides de sodium', 'amidon de mais']",[],17 g,en quantité modérée,7.8 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,?,,400,-12%,1674 kj(400 kcal),-12%,17,-4%,"7,8",+53%,54,-12%,21,-43%,"7,6",-10%,0,-100%,0,-100%,15,-11%,D,-11%,89.3%,5.9%,1.9%,1.8%,1.1%,0.0%,35,,"['Gluten', 'Lait']",,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",,4,,,
1314,Miel D'acacia de France - Baptistin Féraud,3183811090631,B,['Baptistin Féraud'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['France'],,,,,,,,
1315,Source ISABELLE,3183820510069,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"12,5",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,Eau de source,3183820510182,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Roquefort -,3183870001401,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],[],31 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,3.1 g,en quantité élevée,?,,365,-1%,1527 kj(365 kcal),-0%,31,-3%,20,-10%,"1,5",+130%,"0,5",+1297%,19,-2%,"3,1",-13%,"1,24",-13%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,
1318,Roquefort Portion Aoc En Barquette,3183871000236,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,31,,20,,"1,5",,"0,5",,19,,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 12203R', 'Roquefort-sur-Soulzon (Aveyron, France)', 'FR 12.203.037 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",
1319,Trio de legumes,3184032840654,,,,['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,"0,5",,"0,1",,"3,2",,"2,8",,"0,8",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Po?l?e Fa?on Sud-ouest - Paysan breton,3184034248182,,['Paysan breton'],,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,?,,1,,?,,"1,7",,5,,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,,,,,,
1321,Gratin Dauphinois - Toupargel,3184034255364,B,['Toupargel'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",['France'],[],[],,,4.9 g,en quantité modérée,1.2 g,en faible quantité,0.44 g,en quantité modérée,?,,134,+13%,561 kj(134 kcal),+14%,?,,"4,9",+36%,?,,"1,2",-25%,"3,8",+11%,"0,44",-38%,"0,176",-38%,,,,,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,,
1322,1KG Brocoli Pays Aber Paysan Breton - 1kg,3184034259874,B,['Paysan breton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Brocolis', 'Brocolis en fleurettes surgelés']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,0.13 g,en faible quantité,?,,29,-3%,121 kj(29 kcal),-2%,"0,5",0%,"0,1",-12%,"2,8",+40%,"1,4",+15%,"2,1",-21%,"0,13",+235%,"0,052",+235%,-6,,A,,67.2%,0.0%,0.0%,13.2%,18.9%,0.6%,98,,,,1 kg,,,,,,,,['Magasins U'],,
1323,Épinards en branches - Toupargel,3184034264526,B,['Toupargel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.23 g,en faible quantité,?,,30,-21%,126 kj(30 kcal),-19%,"0,5",-66%,"0,1",-85%,"1,9",-5%,"0,5",-29%,3,+10%,"0,23",-31%,"0,092",-31%,-5,,A,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,,,,,,,,,,,,,
1324,Poelee gourmande riz petits legumes - Toupargel,3184034271357,,['Toupargel'],,['France'],"['MÉLANGE DE LÉGUMES ET DE RIZ ACCOMPAGNÉ D\'UNE SAUCE À BASE PLANTES AROMATIQUES ET ""\'QICES', 'SURGELÉ', ' en cubes ', 'aubergines', 'huile végétale de tournesol non hydrogénée', 'oignons grillés en cubes', 'courges butternut en bâtonnets', 'pois croquants en morceaux', 'poivrons rouges grillés en cubes', 'riz précuit ', '25,6%', ' ', 'riz', 'eau', 'sel', ""préparation de plantes aromatiques et d'épices "", '3%', ' ', ""purée d'oignons"", 'persil', 'coriandre', 'eau', 'huile végétale de /tournesol non hydrogénée', ""huile d'olive vierge extra"", 'thym', 'sel', 'ail', 'piment Jalapeno', 'jus de citron concentré', 'stabilisant :']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,93,,389 kj(93 kcal),,"4,9",,"0,7",,"9,6",,"2,4",,"1,6",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Gratin de choux fleur PAYSAN BRETON,3184034272323,,['Paysan breton'],,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,?,,"3,5",,?,,"2,4",,"4,3",,"0,52",,"0,208",,,,,,,,,,,,,,,,,,,,,,,,,,
