,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
1766,Vitamines et Mineraux,3222475947469,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Jus d ´oranges - Andros,3608580002895,,,['Andros'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,
1768,emmental de Savoie pointe percée - fromagerie Pichat et Fils - 288g,2430617018699,288 g,['film plastique'],['fromagerie Pichat et Fils'],['France'],"['lait', 'sel', 'ferment', 'pressure animale']",['Non végétalien'],?,?,?,?,?,['Produits laitiers'],['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,['Annecy'],,['Carrefour'],,,['Lait'],['Savoie'],,,
1769,Lungo Crema,27052365,,,,['France'],[],[],?,?,?,?,?,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,06263270,06263270,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,LE CABRO,2488662022895,,,,['France'],[],[],?,314,26,1,20,,,,,,,,,,,,,1314 kj(314 kcal),,,"19,5",,,1,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1772,Pain 5 cereales 4 graines,0250012008536,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,7707280888306,7707280888306,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Pastéis de Nata bio,3254569163554,,,,['France'],[],[],?,183,11,17,3,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Pastel de nata']",['Bio'],11 g,en quantité modérée,5 g,en quantité modérée,9 g,en quantité modérée,0 g,en faible quantité,,-33%,766 kj(183 kcal),-33%,-2%,5,-12%,-54%,9,-57%,-27%,0,-100%,0,-100%,6,-56%,C,-56%,,,,,,,,,,,,,,,,,,,,
1775,"Carotte rapee - Cora - 0,332gramme",2040077013051,"0,332 gramme",,['Cora'],['France'],[],[],?,?,?,?,?,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,['Cora'],,,,,,,
1776,3474393015946,3474393015946,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Instant miso soup,0898216001214,,,,['France'],[],[],?,152,"4,2","19,5","9,5",,,,,,,,,,,,,636 kj(152 kcal),,,"0,5",,,"15,5",,,"10,1",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,
1778,"Mayo’Snack - Metro Chef - 4,7kg - 5L",3439495121186,"4,7 kg - 5 L","['Seau', 'Plastique']","['Metro Chef', 'Metro']",['France'],[],[],1970,479,51,"4,1","1,4","['Epicerie', 'Sauces', 'Mayonnaises']","['Fabriqué en Belgique', 'Produits destinés aux professionnels']",51 g,en quantité élevée,3.8 g,en quantité modérée,1.4 g,en faible quantité,1.5 g,en quantité modérée,-22%,-22%,1970 kj(479 kcal),-23%,-23%,"3,8",-39%,+52%,"1,4",-4%,+14%,"1,5",+13%,"0,6",+13%,14,-22%,D,-22%,D,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Belgique'],,,,,,,,,
1779,Maple&pecan Crisp,20511579,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Poulet fermier bio,0208947081476,,,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Miel de fleurs -  - 1kg,3770002720011,1 kg,,,['France'],[],[],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1782,Noix sèche,8436535080248,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Miel Montagne,3760211930059,,,,['France'],[],[],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1784,Madeleine La bienveillante,3032825910759,,,,['France'],[],[],?,430,20,"55,7","6,1","['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['Bio'],20 g,en quantité modérée,7.7 g,en quantité élevée,25.7 g,en quantité élevée,0.7 g,en quantité modérée,,-2%,1799 kj(430 kcal),-2%,-12%,"7,7",+11%,+5%,"25,7",-7%,+7%,"0,7",-14%,"0,28",-14%,20,+9%,E,+9%,B,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,
1785,Le classique,3701203202051,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Haut de Cuisse de Poulet - La Nouvelle Agriculture - 4,0213323027887,4,['Barquette'],['La Nouvelle Agriculture'],['France'],[],[],?,212,16,0,17,"['Viandes', 'Viandes fraîches', 'Volailles', 'Poulets', 'Cuisses de poulet']",,16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+24%,887 kj(212 kcal),+23%,+50%,"4,3",+5%,-100%,0,-100%,-8%,"0,18",-72%,"0,072",-72%,1,-76%,B,-76%,C,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Argentin les Vallées (79)'],http://www.lanouvelleagriculture.coop/,['Market Lamorlaye (60)'],,,,['France'],"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,
1787,Lupins cuits - 540g,3662444001561,540 g,,,['France'],[],[],?,125,5,"2,2","14,9",,,,,,,,,,,,,523 kj(125 kcal),,,"0,9",,,"0,5",,,"2,88",,"1,152",,,,,,,,,,,,,,,,,,,,,,,,,
1788,Poulet - la nouvelle agriculture - 1,0213320028214,1,['sous vide'],['la nouvelle agriculture'],['France'],[],[],?,179,11,0,20,"['Viandes', 'Volailles', 'Poulets']",,11 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,,+19%,749 kj(179 kcal),+19%,+89%,"2,8",+87%,-100%,0,-100%,-2%,"0,15",-82%,"0,06",-82%,-1,-171%,A,-171%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1789,"Citronelle, Gingembre et Agrumes biologiques",0680275036210,,,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Nanah Mint Grey Thé Vert Menthe Bergamote,3700111084735,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'en:MA-BIO-143']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Werther's Original Eclair,4014400912609,,,"[""Werther's Original""]",['France'],[],[],?,458,"19,4","68,5","3,6",,,,,,,,,,,,,1916 kj(458 kcal),,,"10,9",,,"43,3",,,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,,,,,
1792,Poulet cuit fumé au bois de hêtre,2209621003911,,,,['France'],[],[],?,170,"9,6",1,20,,,,,,,,,,,,,711 kj(170 kcal),,,"2,8",,,"0,9",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
1793,Duo penotti caramel,0066592001405,,,,['France'],[],[],?,575,"37,7","55,2","2,9",,,,,,,,,,,,,2406 kj(575 kcal),,,"9,9",,,"54,6",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1794,Magret de canard - Delpeyrat,2672681124245,,,['Delpeyrat'],['France'],[],[],?,316,28,"0,5",16,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",,28 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,0.93 g,en quantité modérée,,-7%,1322 kj(316 kcal),-7%,-4%,10,0%,-60%,"0,5",-25%,-11%,"0,93",-44%,"0,372",-44%,16,-13%,D,-13%,E,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,"['FR 44.028.1001 CE', 'Cellier (Loire-Atlantique, France)']",,
1795,Moutarde à la salicorne de l'île Madame - Axel mine ocean - 220gr,3700768700477,220gr,,['Axel mine ocean'],['France'],[],[],?,?,?,?,?,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,
1796,Mozzarella,3523230025270,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Plateau spécial Plancha - Maître Coq - 500g,3230890758775,500 g,"['Barquette', 'Frais']",['Maître Coq'],['France'],"['Mini-saucisses de volaille nature ', '50%', ' : viande de dinde 32% ', 'origine : france', 'gras de porc', 'eau', 'fécule de pomme de terre', 'sel', 'fibre de pois', 'sirop de glucose', 'dextrose', 'épices', 'betterave rouge', 'arômes naturels', ""correcteur d'acidité : acétates de sodium"", 'conservateur : lactate de potassium', 'antioxydant : ascorbate de sodium', ' enveloppe végétale : eau', 'acidifiant : lactate de potassium', 'gélifiant : alginate de sodium', 'épaississants : gomme cellulosique', 'gomme guar', ' aiguillettes de poulet marinées ', '25%', ' : aiguillettes de poulet 23% ', 'origine : france', 'eau', 'herbes de provence', 'sel', ""épices et extrait d'épices"", ""poudres d'ail et d'oignon"", 'arôme naturel', ""extrait d'origan"", ' morceaux de filet de poulet marinés ', '25%', ' : morceaux de filet de poulet 23% ', 'origine : france', 'eau', 'herbes de provence', 'sel', ""épices et extrait d'épices"", ""poudres d'ail et d'oignon"", 'arôme naturel', ""extrait d'origan""]","['Non végétalien', 'Non végétarien']",512,?,"6,3","1,2",15,"['Viandes', 'Volailles']","['Viande-francaise', 'Volaille-francaise']",6.3 g,en quantité modérée,2.1 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en quantité modérée,-28%,,512 kj(122 kcal),-23%,-1%,"2,1",+19%,-46%,"0,6",+14%,-26%,"0,9",+0%,"0,36",+0%,1,-57%,B,-57%,,,4,,,,,,,,,,['centre Leclerc'],"['E262 - Acétates de sodium', 'E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E401 - Alginate de sodium', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar']",,,,"['EMB 85065B', 'Chavagnes-en-Paillers (Vendée, France)']",,ARRIVE Chavagnes
1798,Clous de Girofle 150gr,3352394000690,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,,,,,,,
1799,2653000018940,2653000018940,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,2653000018940,2653000018940,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Roter Weinbergpfirsich Likör - 0.5l,4250722200707,0.5 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Rumtopf Likör - 0.5l,4250036510059,0.5 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,0045885407902,0045885407902,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,
1804,Paté au piment - Salaisons de Bourbon,3345100002538,,,['Salaisons de Bourbon'],"['France', 'La Réunion']",[],[],?,174,11,"2,5","16,1",,,,,,,,,,,,,728 kj(174 kcal),,,"4,3",,,"1,3",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
1805,Heidelbeere Likör - 0.7l,20183967,0.7 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Confiture de framboises (Seedless raspberry jam),00176415,,,,['France'],"['glucose-fructose syrup', 'raspberries', 'sugar', 'gelling agent: pectin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,251,"0,5","61,5","0,5","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,0.5 g,en faible quantité,0.1 g,en faible quantité,44.9 g,en quantité élevée,0.18 g,en faible quantité,,+12%,1050 kj(251 kcal),+12%,+85%,"0,1",+116%,+15%,"44,9",-13%,-26%,"0,18",+745%,"0,072",+745%,11,+24%,D,+24%,C,,4,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,['E440 - Pectines'],,,,,,
1807,Mavrodaphne aus Patras - 0.75l,5201006000185,0.75 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Perrier pêche,0074780377522,,,['Perrier'],"['France', 'États-Unis']","['Carbonated mineral water', 'natural flavors']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0,0,0,"['Boissons', 'Eaux']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,Nestle Waters North America Inc./perrier,4,,,,,,,,,,,,,,,,,
1809,Jive - Hibiskusblüte - 0.75l,4002391791105,0.75 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,120g,0161210876080,120 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Roti de porc cuit au four,2497660049209,,,,['France'],[],[],?,160,"7,5","0,2","23,2","['Viandes', 'Porc', 'Rôtis de porc']",,7.5 g,en quantité modérée,3.2 g,en quantité modérée,0.2 g,en faible quantité,2.2 g,en quantité élevée,,+11%,669 kj(160 kcal),+12%,+49%,"3,2",+53%,-76%,"0,2",-68%,+4%,"2,2",+28%,"0,88",+28%,13,+82%,D,+82%,E,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,
1812,Poulet jaune - Maître Coq,0215596034708,,,['Maître Coq'],['France'],[],[],?,171,"9,4","0,6",21,['Viandes'],,9.4 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,0.17 g,en faible quantité,,-24%,715 kj(171 kcal),-23%,-36%,"2,5",-53%,-63%,0,-100%,+10%,"0,17",-91%,"0,068",-91%,-1,-109%,A,-109%,,,,,,,,,,,,,,,,,,,,
1813,Sourz Mango - 0.7l,5060045583024,0.7 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Farine pain 6 céréales & 5 graines,3760157440223,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,2422871028934,2422871028934,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Sourz Tropical - 0.7l,5060045580252,0.7 l,['Flasche'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Poêlée cuisinée festive aux légumes - Thiriet - 450g,3292590838782,450 g,,['Thiriet'],['France'],[],[],?,83,"4,3",4,"5,5",,,,,,,,,,,,,347 kj(83 kcal),,,"1,4",,,"2,9",,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,
1818,Baie deGoji - Bouquet - 65,8412276364915,65,['Barquette'],['Bouquet'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,
1819,Saucices de Montbeliar,2223023036735,,,,['France'],[],[],?,343,"29,6","0,9","19,1",,['Fabriqué en France'],,,,,,,,,,,1435 kj(343 kcal),,,13,,,"0,9",,,"2,51",,"1,004",,,,,,,,,,,,,,,,,,,,,,,,,
1820,Mango,01768763,,,,['France'],[],[],?,101,1,20,0,,,,,,,,,,,,,423 kj(101 kcal),,,0,,,20,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Veloute de champignon - Primeal,3389789074592,,,['Primeal'],['France'],[],[],?,27,"0,9","3,3","0,9",,"['Bio', 'Fabriqué en France']",,,,,,,,,,,113 kj(27 kcal),,,"0,1",,,"0,4",,,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,,
1822,Meersalz grob - Lemar,2009010004105,,,['Lemar'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Epicerie', 'Condiments', 'Sels', 'Sels marins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,
1823,tavuk dilim salam,0087032000086,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Chouquettes,2030500129473,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Palette a la diable,0290704074913,,,,['France'],[],[],?,136,"8,4","1,1",14,,,,,,,,,,,,,569 kj(136 kcal),,,"3,6",,,"0,5",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1826,sibel,7711612036723,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Saucisson de poulet,8711659037706,,,,['France'],[],[],?,235,"19,2","4,2","11,4",,,,,,,,,,,,,983 kj(235 kcal),,,"6,18",,,"0,3",,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,
1828,88434698,88434698,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,10253045,10253045,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Perinteisesti imellytetty Luomumämmi - Kymppi - 550g,6420260810258,550g,,['Kymppi'],"['Finlande', 'France']","['Vesi', 'luomuruisjauho', 'luomuruismallas', 'suola', 'luomupomeranssinkuori']",[],?,160,"0,1",28,5,['Aliments de Pâques'],"['Bio', 'Bio européen', 'FI-EKO-201', 'Riche en fibres', 'Sans sucre ajouté', 'fi:Hyvää Suomesta']",0.1 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.4 g,en quantité modérée,,-71%,669 kj(160 kcal),-71%,-100%,"0,1",-100%,-48%,2,-96%,-24%,"0,4",+102%,"0,16",+102%,-1,-104%,A,-104%,,,3,,,,,,,,['Finland'],,,,,,['Finlande'],,,
1831,Beau côte sans os bio - Carrefour - 1,2409039045989,1,,['Carrefour'],['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1832,Baklavas -  - 120g,5200133530428,120g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Epinards à la creme Bio -,28139522,,,,['France'],[],[],?,70,"2,7","6,2","4,4","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Légumes-feuilles', 'Épinards', 'Épinards surgelés']","['Bio', 'Bio européen', 'AT-BIO-902']",2.7 g,en faible quantité,1.4 g,en faible quantité,3.5 g,en faible quantité,1.1 g,en quantité modérée,,+84%,293 kj(70 kcal),+88%,+84%,"1,4",+113%,+212%,"3,5",+400%,+62%,"1,1",+232%,"0,44",+232%,-2,,A,,B,,,45.1%,0.0%,0.0%,22.1%,31.7%,1.1%,99,,,,,,,,,,
1834,Coeur de bouillon - Maggi,7613032828325,,,['Maggi'],['France'],[],[],?,142,"3,7","22,1","4,3",,,,,,,,,,,,,594 kj(142 kcal),,,"0,7",,,"5,2",,,"6,2",,"2,48",,,,,,,,,,,,,,,,,,,,,,,,,
1835,Pain de seigle 250gr - 250g,3470211003447,250 g,,,['France'],[],[],?,1018,4,49,0,,,,,,,,,,,,,4259 kj(1018 kcal),,,0,,,0,,,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,
1836,Carrefour,2227728024998,,,['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
1837,Domaine Picard,2602659021580,,,['Domaine Picard'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,26003726,26003726,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Moudarde douce Hibiscus,3760226461760,,,,['France'],[],[],?,166,12,"6,2","6,4",,,,,,,,,,,,,695 kj(166 kcal),,,"0,7",,,"4,7",,,"5,3",,"2,12",,,,,,,,,,,,,,,,,,,,,,,,,
1840,poulet fermier de la Drôme - maître bernard - 250g,0275229025329,250 g,['Barquette'],['maître bernard'],['France'],[],[],?,?,?,?,?,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Pasta fresca all'uovo,8057737590375,,,,['France'],[],[],?,270,10,31,12,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes aux œufs']",,10 g,en quantité modérée,3.8 g,en quantité modérée,4.5 g,en faible quantité,1.26 g,en quantité modérée,,-19%,1130 kj(270 kcal),-20%,+142%,"3,8",+236%,-48%,"4,5",+76%,-8%,"1,26",+425%,"0,504",+425%,11,,D,,,,,,,,,,,,,,,,,,,,,
1842,8010521050479,8010521050479,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,"Andouillette au canard - Le Gaulois - 0,254kg",2202063027095,"0,254 kg",,['Le Gaulois'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,
1844,Grains express - Le Forban,3297136004041,,,['Le Forban'],['France'],[],[],?,92,"1,3","10,6","6,6",,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,385 kj(92 kcal),,,"0,2",,,"1,8",,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
1845,Saumon sauvage - Élaboré en Savoie - 4tranches,2258131059239,4 tranches,,['Élaboré en Savoie'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 73179', 'Motte-Servolex (Savoie, France)']",,
1846,4202277801311,4202277801311,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Galettes pur beurre - Beurlay,3229580019623,,,['Beurlay'],['France'],[],[],?,461,17,70,"6,4",,,,,,,,,,,,,1929 kj(461 kcal),,,11,,,37,,,"0,58",,"0,232",,,,,,,,,,,,,,,,,,,,,,,,,
1848,"Chocolat noir, Cranberry Orange & Miel - Frey - 100g",7616500663411,100g,,['Frey'],"['France', 'Suisse']",[],[],?,549,39,37,"7,4",,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,2297 kj(549 kcal),,,24,,,33,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
