,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
1622,Raisins secs Sultanine - Monoprix - 250g,3350030197520,250 g,"['Monoprix', 'Monoprix bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",['Monoprix'],['France'],"['Raisins secs* 99,5%', ""huile de Tournesol* - *ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,?,,337,+9%,1410 kj(337 kcal),+8%,"0,8",+45%,"0,2",+52%,74,+4%,60,-5%,"2,6",-7%,0,-100%,0,-100%,3,-42%,C,-42%,C,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,"['Sachet', 'Plastique', 'Sachet en plastique']","['EMB 47049B', 'Casseneuil (Lot-et-Garonne, France)']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']","['Turquie', 'Agriculture non UE']",,,,,,
1623,Gnocchi à poêler - Monoprix - 300g,3350030202095,300 g,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches', 'Gnocchi', 'Gnocchi de semoule de blé dur', 'Gnocchi de pommes de terre']",['Monoprix'],['France'],"['Eau', 'semoule de blé dur de qualité supérieure 27 %', 'flocons de pommes de terre déshydratés 15 % ', 'pommes de terre déshydraté', 'émulsifiants ', ""mono et diglycérides d'acides gras"", 'stabilisant ', 'diphosphate de sodium', 'acidifiant ', 'acide citrique', 'extrait de curcuma', 'sel', 'huile de tournesol', ' Enrobage : farine de riz']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E100 - Curcumine']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,2.3 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,1.48 g,en quantité modérée,800,,191,+2%,800 kj(191 kcal),+2%,"2,3",+8%,"0,4",+29%,35,+1%,2,+132%,"5,8",+8%,"1,475",+8%,"0,59",+8%,3,-7%,C,-7%,B,['Gluten'],46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,Gnocchi à la semoule de blé dur et aux flocons de pommes de terre,"['Sachet', 'Plastique', 'Frais']","['EMB 73065A', 'Chambéry (Savoie, France)']",['Point Vert'],,['France'],http://courses.monoprix.fr/RIDE/Gnocchi-a-poeler-1860604,,,,
1624,Jus d'orange Monoprix - 1L,3350031523229,1L,['Monoprix'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', ""Jus d'orange"", ""Jus d'orange à base de concentré""]",['Monoprix'],['France'],['Jus d’orange à base de jus d’orange concentré'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,39,-9%,163 kj(39 kcal),-10%,"0,2",+5%,0,-100%,11,+14%,11,+21%,"0,7",+12%,0,-100%,0,-100%,4,+33%,C,+33%,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus d'orange,['Brique'],,['Sans sucre ajouté'],,,,,,,
1625,Huile de pépins de raisin - Monoprix - 1l,3350031657696,1 l,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de pépins de raisins']",['Monoprix'],['France'],['Huile de pépins de raisin'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+2%,900,+2%,3700 kj(900 kcal),+1%,100,+2%,13,+10%,0,,0,,0,,0,,0,,11,+1%,D,+1%,C,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,Huile de pépins de raisin,['Bouteille'],,,,['Italie'],,,,,
1626,Riz pour risotto Arborio Monoprix Gourmet - 500g,3350031662317,500 g,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de variété japonica', 'Riz pour risotto', 'Riz à grain court', 'Riz arborio', 'Riz pour risotto arborio']",['Monoprix'],['France'],"['Riz', 'variété Arborio']",,[],1,1.1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,352,0%,1473 kj(352 kcal),+0%,"1,1",+54%,"0,2",+9%,77,-2%,0,-100%,"7,3",+4%,0,-100%,0,-100%,-1,,A,,C,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,Riz pour risotto Arborio,['Sachet'],"['EMB 59606B', 'Valenciennes (Nord, France)']",,,,,,,,
1627,Chicorée Café - Doux réveil - Monoprix - 250g,3350031675768,250g,['Monoprix'],"['Boissons', 'Boissons chaudes', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Boissons instantanées']",['Monoprix'],['France'],['Chicorée soluble 60 %café soluble 40 %'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,Chicorée Café - Doux réveil,"['Boîte', 'métal', 'Plastique', 'Boîte en carton']",,,,['Allemagne'],,,,,
1628,Chocolat au lait et aux morceaux de noix de pécan caramélisées - Monoprix - 200g,3350031953880,200 g,['Monoprix'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait aux noix de Pécan', 'Chocolats aux noix de Pécan']",['Monoprix'],['France'],"['Sucre - poudre de lait entier - noix de pécan entières et brisées 15% - beurre de cacao - pâte de cacao - sirop de glucose - miel - émulsifiant :lécithines de tournesol - arôme vanille', ' Cacao :30% minimum dans le chocolat au lait seul', "" Traces d'autres fruits à coque et de gluten""]",['E322i - Lécithine'],['Non végétalien'],4,37 g,en quantité élevée,17 g,en quantité élevée,48 g,en quantité élevée,0.17 g,en faible quantité,?,,562,+2%,2351 kj(562 kcal),+2%,37,+7%,17,-13%,48,-8%,48,-2%,"7,7",+7%,"0,17",-27%,"0,068",-27%,24,-6%,E,-6%,E,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,"['Commerce équitable', 'Max Havelaar']",,,,,,,
1629,Orangettes au chocolat noir - Monoprix Gourmet - 200g,3350031958670,200 g,"['Monoprix Gourmet', 'Monoprix']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Orangettes', 'Orangettes au chocolat noir']",['Monoprix'],['France'],"['Chocolat noir 41 % ', 'cacao : 70 % minimum', ' ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', "" - lamelles d'écorces d'oranges confites 38 % "", ""écorces d'oranges 18 %"", 'sirop de glucose-fructose', 'sucre', 'dextrose', ""correcteur d'acidité : acide citrique"", ' - chocolat au lait 21% ', 'cacao : 30 % minimum', ' ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']","['E322i - Lécithine', 'E330 - Acide citrique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,26 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.09 g,en faible quantité,?,,481,+12%,2013 kj(481 kcal),+12%,26,+44%,15,+35%,54,-10%,44,-13%,"4,9",+37%,"0,09",+121%,"0,036",+121%,20,-9%,E,-9%,,"['Lait', 'Soja']",,,,,,,,,"['boîte', 'Carton', 'Plastique', 'Etui en carton']","['EMB 59074', 'Bertry (Nord, France)']",['Point Vert'],,,,,,,
1630,Gorgonzola AOP - Monoprix - 200g,3350031979941,200 g,"['Monoprix', 'Monoprix Gourmet']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",['Monoprix'],['France'],"['lait pasteurisé - sel - ferments lactiques ', 'dont lait', ' - présure animale - Penicillium ', 'dont lait', ' CROUTE NON COMESTIBLE']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,315,-4%,1318 kj(315 kcal),-4%,27,-3%,19,-1%,0,-100%,0,-100%,18,-1%,"1,6",+7%,"0,64",+7%,15,+3%,D,+3%,D,['Lait'],84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,"['barquette plastique', 'film plastique', 'à jeter']",['IT 01-532 CE'],"['Fabriqué en Italie', 'AOP']",,,,,,,
1631,"Pizza cuite sur pierre Margherita (Tomate, Mozzarella) - Monoprix - 350g",3350033006683,350 g,['Monoprix'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas margherita']",['Monoprix'],['France'],"['Farine de blé', 'purée de tomates 30,1 %', 'mozzarella 11,6 %', 'eau', 'fromage 5,2 %', 'huile de colza', 'sel', 'dextrose', 'levure', 'amidon', 'amidon de blé', 'sucre', 'plantes aromatiques', 'oignons rôtis ', 'oignons', 'huile de tournesol', 'jus de légumes concentré ', 'champignons', 'tomates', 'carottes', 'oignons', 'poivrons', 'ail', 'ail', 'épices', 'huile de tournesol']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,5.4 g,en quantité modérée,2.5 g,en quantité modérée,4.4 g,en faible quantité,0.81 g,en quantité modérée,1577,+67%,215,-5%,1577 kj(215 kcal),+66%,"5,4",-28%,"2,5",-29%,31,+7%,"4,4",+64%,"9,3",-1%,"0,81",-36%,"0,324",-36%,0,-100%,B,-100%,B,"['Gluten', 'Lait']",52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,"Pizza cuite sur pierre, garniture à base de purée de tomates, mozzarella et basilic, surgelée","['Surgelé', 'Film plastique à jeter', 'Etui carton à recycler', 'Etui en carton', 'Film en plastique']","['EMB 69194C', ""Saint-Didier-au-Mont-d'Or (Rhône, France)""]","['Tidy man', 'Cuite sur pierre', 'Info-Tri Point Vert']",,,http://courses.monoprix.fr/RIDE/Pizza-cuite-sur-pierre-Margherita-tomate-mozzarella-surgelee-2049135,,,,
1632,Pistaches - MONOPRIX BIO ! - 100g,3350033027039,100 g,['MONOPRIX BIO !'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Fruits à coque salés', 'Pistaches salées']",['Monoprix'],['France'],"[""Pistaches* 98,2%-sel 1,8% Traces d'arachides"", 'de soja', ""de gluten et d'autres fruits à coque *ingrédients issus de l'agriculture biologique"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",,[],,49 g,en quantité élevée,7 g,en quantité élevée,6.4 g,en quantité modérée,1.8 g,en quantité élevée,?,,607,+0%,2540 kj(607 kcal),+0%,49,-1%,7,+0%,12,-13%,"6,4",-6%,"25,2",+11%,"1,8",+35%,"0,72",+35%,6,-1%,C,-1%,C,['Fruits à coque'],80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,['Plastique'],"['EMB 81163', 'Mazamet (Tarn, France)']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1633,Thon crudités pain de mie au blé maltais - Monoprix - 190g,3350033093188,190 g,"['Monoprix', ""Monop' Daily""]","['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au thon', 'en:raw-vegetable-sandwiches']",['Monoprix'],['France'],"['pain de mie au blé malté 42% [farine de blé', 'eau', 'flocons de blé malté toasté 2,9%', 'graines ', 'tournesol', 'millet', 'pavot', 'lin brun', 'gluten de blé', 'huile de colza', 'flocons de seigle malté', 'sel', 'levure', 'dextrose', ""vinaigre d'alcool"", 'sucre', 'émulsifiants: E471 et E472e', ""farine d'orge malté toasté"", 'malté torréfié', 'arôme naturel', 'agent de traitement de la farine : E300] - sauce [morceaux de thon au naturel 10% ', 'morceaux de filets de thon 9,3% ', 'eau ', 'sel', 'mayonnaise allégée en matière grasse ', 'eau', 'huile de colza', ""jaune d'oeuf"", 'amidon transformé', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', ""vinaigre d'alcool"", 'sucre', 'sel', 'épaississant E412', 'arôme naturel de moutarde', 'épice', 'carotte 4,1%', 'courgette 4,1%', 'fromage frais', 'fromage blanc', 'crème fraîche', 'ciboulette', 'amidon transformé', 'sel] - oeufs durs 10% - tomate 8% - salade 4,2% - beurre', ' Fabriqué dans un atelier qui utilise fruits à coque', 'céleri', 'crustacés', 'soja', 'graines de sésame', 'arachides', 'mollusques', 'lupin']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E412 - Gomme de guar']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,9.5 g,en quantité modérée,2.6 g,en quantité modérée,1.6 g,en faible quantité,0.8 g,en quantité modérée,?,,222,-0%,929 kj(222 kcal),-1%,"9,5",+12%,"2,6",+152%,25,-1%,"1,6",-42%,"8,2",-16%,"0,8",-26%,"0,32",-26%,0,-100%,B,-100%,C,"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde']",74.8%,8.9%,5.2%,8.3%,2.3%,0.6%,64,"Sandwich aux filets de thon émincés au naturel, oeuf dur, tomate, carotte, courgette et salade multifeuille verte","['Frais', 'Plastique', 'Carton']","['EMB 91286H', 'Grigny (Essonne, France)']",,,['France'],,,,,
1634,"Haricots verts, extra-fins en conserve - Monoprix Bio - 180g",3350033100916,180 g,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",['Monoprix'],['France'],"['haricots verts', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,0.8 g,en quantité modérée,?,,24,0%,100 kj(24 kcal),+1%,0,-100%,0,-100%,3,+13%,"0,8",+4%,"1,6",+8%,"0,8",+20%,"0,32",+20%,-4,,A,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,['Bocal'],"['56251 E', 'EMB 56251E', 'Theix (Morbihan, France)']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],,,,,,
1635,"Gratin de ravioles aux noix de Saint-Jacques, crème safranée - Monoprix Gourmet - 290g",3350033148611,290 g,"['Monoprix Gourmet', 'Monoprix']","['Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Pâtes farcies', 'Ravioles', 'Gratins de pâtes']",['Monoprix'],['France'],"['Ravioles 38% [pâte ', 'farine de blé tendre', 'eau', 'oeufs frais', 'huile de tournesol', 'farce ', 'emmental', 'fromage blanc frais', 'persil', 'sel', 'aeufs frais', 'beurre', 'eau', '] - eau - crème 15% ', 'crème', 'stabilisant: carraghénanes', '- Noix de Saint-Jacques* ', 'mollusque', ' 10,5% [Zygochlamys patagonica ', 'origine Argentine', ' ou Argopecten purpuratus ', 'origine Pérou', ' ou Chlamys opercularis ', 'origine Royaume Uni', 'Irlande ou lles Féroé', ""] - emmental - échalote - beurre-vermouth - amidon transformé - huile d'olive - sel - épaississant: gomme xanthane - conservateur : sorbate de potassium - poivre-safran 0,005%"", "" *Voir l'espèce figurant près de la DLC"", ' Traces de fruits à coque', 'crustacés et poisson']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,10 g,en quantité modérée,6.9 g,en quantité élevée,2.2 g,en faible quantité,0.96 g,en quantité modérée,?,,182,+14%,761 kj(182 kcal),+16%,10,+36%,"6,9",+62%,15,+3%,"2,2",+22%,8,+8%,"0,96",+24%,"0,384",+24%,12,+144%,D,+144%,C,"['Œufs', 'Lait', 'Mollusques']",64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,,,"['FR 26.057.031 CE', 'Bourg-de-Péage (Drôme, France)', 'EMB 26057', 'Bourg-de-Péage (Drôme, France)']",,,,,,,,
1636,Panettone - Monoprix Gourmet - 1kg,3350033164567,1 kg,"['Monoprix Gourmet', 'Monoprix']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone', 'Brioches pur beurre', 'Brioches aux fruits']",['Monoprix'],['France'],"[""Farine de blé - sucre - raisins secs 8,9 % - écorces d'orange confites 8,9 % "", ""écorces d'orange 7,8 %"", 'sirop de glucose-fructose', 'sucre', ""correcteur d'acidité : acide citrique"", ' - beurre concentré 8,5 % - eau - levain ', 'farine de blé', 'eau', ' - jaune d’œuf - émulsifiant : mono et diglycérides d’acides gras - sel - arômes naturels']","['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,11 g,en quantité modérée,7.4 g,en quantité élevée,28 g,en quantité élevée,0.45 g,en quantité modérée,1456,+0%,346,+1%,1456 kj(346 kcal),+0%,11,-7%,"7,4",+21%,55,+4%,28,+19%,"5,9",-8%,"0,45",-38%,"0,18",-38%,18,+11%,D,+11%,C,"['Œufs', 'Gluten', 'Lait']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,Brioche aux raisins secs et écorces d'orange confites,"['Sachet', 'Carton', 'Plastique', 'Sachet en plastique', 'Etui en carton']","['EMB 75109Z', 'Paris 9e  Arrondissement (Paris, France)']","['Point Vert', 'Fabriqué en Italie', 'Pur beurre']",,['Italie'],,,,,
1637,Sirop de menthe - monoprix - 50cl,3350033181939,50 cl,['Monoprix'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",['Monoprix'],['France'],"['sucre de canne 59,5%', 'eau', 'arôme naturel de menthe']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,34,-86%,142 kj(34 kcal),-86%,0,-100%,0,-100%,"12,83",-79%,"12,83",-78%,0,-100%,0,-100%,0,-100%,,,,,A,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,['Verre'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1638,Filets de maquereaux au poivre - Monoprix - 150g,3350033196995,150 g,['Monoprix'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['Monoprix'],['France'],"['Maquereau ', 'Scomber Scombrus', ' 96,5%', 'sel', 'poivre 1%']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,20 g,en quantité modérée,5 g,en quantité modérée,0.4 g,en faible quantité,3.3 g,en quantité élevée,1107,+29%,266,+20%,1107 kj(266 kcal),+20%,20,+22%,5,+36%,"0,6",-44%,"0,4",-25%,21,+28%,"3,3",+197%,"1,32",+197%,17,+173%,D,+173%,D,['Poisson'],39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,"['Film', 'Plastique']","['FR 76.240.003 CE', 'Épreville (Seine-Maritime, France)', 'EMB 76259', 'Fécamp (Seine-Maritime, France)']",,,,,,,,
1639,2 feuilletés chévre épinards - Monoprix - 300g,3350033203334,300 g,['Monoprix'],,['Monoprix'],['France'],[],,[],,,,,,,,,,?,,296,,1238 kj(296 kcal),,18,,11,,26,,"1,8",,"6,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1640,Lentilles vertes du Berry - Monoprix Gourmet - 500g,3350033210110,500 g,"['Monoprix Gourmet', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentilles vertes du Berry']",['Monoprix'],['France'],['Lentilles vertes'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.3 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,0.02 g,en faible quantité,?,,314,+9%,1314 kj(314 kcal),+8%,"1,3",-4%,"0,2",-7%,41,+6%,"1,3",-2%,24,+9%,"0,02",-86%,"0,008",-86%,-12,,A,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,['boîte en carton'],,"['IGP', 'Label Rouge']",,,,,,,
1641,Gratin de Ravioles aux Morilles - Monoprix Gourmet - 290g,3350033288744,290 g,"['Monoprix Gourmet', 'Monoprix']","['Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Pâtes farcies', 'Ravioles', 'Plats préparés à réchauffer au micro-ondes', 'Gratins de pâtes']",['Monoprix'],['France'],"['Sauce 58', '5% [eau', 'crème 14% ', 'crème', 'stabilisant: carraghénanes', 'morille 4,6%', 'amidon transformé de pomme de terre', 'huile de tournesol', 'arôme naturel de champignon avec autres arômes naturels 0,5%', 'épaississant: gomme xanthane', 'sel', 'conservateur: sorbate de potassium', 'poivre]', ' \rRavioles 41,5% [pâtes ', 'farine de blé tendre', 'eau', 'œufs frais', 'huile de tournesol', 'farce ', 'fromage blanc frais', 'Comté', 'Emmental français Est-Central', 'persil', 'sel', 'œufs frais', 'beurre', 'eau]']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Non végétalien'],4,11 g,en quantité modérée,6.9 g,en quantité élevée,1.8 g,en faible quantité,0.9 g,en quantité modérée,?,,187,+18%,782 kj(187 kcal),+20%,11,+50%,"6,9",+62%,14,-4%,"1,8",0%,"7,3",-1%,"0,9",+16%,"0,36",+16%,11,+124%,D,+124%,C,"['Œufs', 'Gluten', 'Lait']",64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,"spécialité gratinée à base de sauce à la crème, aux morilles, à l'arôme naturel de champignons avec autres arômes naturels, et de ravioles","['Carton', 'Barquette', 'Plastique']","['FR 26.057.031 CE', 'Bourg-de-Péage (Drôme, France)', 'EMB 26057', 'Bourg-de-Péage (Drôme, France)']",,,['France'],http://www.monoprix.fr,,,,
1642,Fourme d’Ambert - Monoprix Gourmet - 200g,3350033382589,200 g,['Monoprix Gourmet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,['France'],"['Lait pasteurisé de vache - sel - présure animale - ferments lactiques ', 'dont lait']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.08 g,en quantité élevée,?,,338,-1%,1414 kj(338 kcal),-1%,28,-1%,20,+1%,"1,5",+52%,"0,5",+44%,20,-1%,"2,075",-7%,"0,83",-7%,18,0%,D,0%,D,['Lait'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,['AOP'],,,,,,,
1643,Confiture Rhubarbe du Nord-Pas-De-Calais - Monoprix gourmet - 325g,3350033436275,325 g,"['Monoprix gourmet', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",['Monoprix'],['France'],['Rhubarbes 65% - sucre - gélifiant : pectines'],['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0 g,en faible quantité,46 g,en quantité élevée,0 g,en faible quantité,?,,198,-10%,828 kj(198 kcal),-10%,"0,8",+285%,0,-100%,46,-15%,46,-13%,"0,5",+7%,0,-100%,0,-100%,8,-5%,C,-5%,C,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['pot verre', 'couvercle métal', 'à recycler']","['EMB 19121', 'Lubersac (Corrèze, France)']",,,,,,,,
1644,Spécialité au soja - Monoprix,3350033446465,,['Monoprix'],"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja', 'Desserts au soja', 'Yaourts soja natures']",['Monoprix'],['France'],"['Jus de soja origine France 97,5% ', 'eau', 'graines de soja 10,4%', ' - amidon de maïs', 'sel', 'épaississant : pectines', 'ferments']",['E440 - Pectines'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,2.6 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,54,+17%,226 kj(54 kcal),+15%,"2,6",+4%,"0,4",+3%,"2,9",+152%,0,-100%,"4,2",-4%,0,-100%,0,-100%,-3,,A,,B,['Soja'],24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,,,,['Bio'],,,,,,,
