,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
1012,Concombres au fromage blanc - Franprix - 300g,3263856484616,['Franprix'],['France'],"['concombres 76%', 'crème fraîche 10% [dont ferments lactiques ', 'contient lait', ']', 'huile de colza', 'eau', ""vinaigre d'alcool"", 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'ciboulette 0,4%', 'sel', ""poudre de jaune d'œuf"", ""émulsifiant : mono - et diglycérides d'acides gras"", 'épaississants : gomme xanthane', 'gomme guar', 'conservateur : E202']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,90,377 kj(90 kcal),"8,5","0,6","1,5","1,5",1,"0,75","0,3",300 g,"['Plats préparés', 'Salades', 'Salades composées', 'Entrées', 'Entrées froides', 'Salades de concombres']",,8.5 g,en quantité modérée,0.6 g,en faible quantité,1.5 g,en faible quantité,0.75 g,en quantité modérée,,-2%,+1%,+10%,-43%,-45%,-31%,-1%,-20%,-20%,1,-63%,B,-63%,,"Salade de concombres à la crème fraîche, assaisonnée","['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']",,"['EMB 29241B', 'Rosporden (Finistère, France)']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,['Franprix'],"['Œufs', 'Lait', 'Moutarde']",,,,
1013,Brioche tressée aux pépites de chocolat - Leader Price - 600g,3263859080112,['Leader Price'],['France'],"['Farine de blé 47,9% - pépites de chocolat 12 % ', 'sucre - pâte de cacao - beurre de cacao - émulsifiant : lécithine de tournesol - arôme', "" - sucre - oeufs frais 9,3% - huile et graisses végétales [huile de colza - émulsifiants : mono et di-glycérides d'acides gras"", 'lécithine de tournesol - arôme ', 'contient lait', '] - levain ', 'farine de blé - eau - sel', ' - sirop de sucre inverti - arômes ', 'contient alcool', "" - levure - sel - émulsifiants : mono et di-glycérides d'acides gras"", 'śtéaroyl-2-lactylate de sodium - gluten de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,345,1443 kj(345 kcal),"9,4","2,7","57,2","14,4","6,7","0,8","0,32",600 g,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,9.4 g,en quantité modérée,2.7 g,en quantité modérée,14.4 g,en quantité élevée,0.8 g,en quantité modérée,,-4%,-4%,-29%,-54%,+13%,-19%,-13%,-6%,-6%,12,-20%,D,-20%,C,Brioche tressée aux pépites de chocolat et aux oeufs frais,['Sachet plastique'],,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,,,['Leader Price'],"['Œufs', 'Gluten', 'Lait']",,,,
1014,Fromages de brebis - Leader Price - 200g,3263859409517,['Leader Price'],['France'],"['Lait de brebis pasteurisé - sel - ferments lactiques ', 'contient lait', ' - coagulant microbien']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,274,1146 kj(274 kcal),23,16,"0,8","0,8",16,"2,8","1,12",200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,23 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en faible quantité,2.8 g,en quantité élevée,,-24%,-24%,-25%,-23%,-11%,+194%,-20%,+13%,+13%,18,+3%,D,+3%,D,Fromage de brebis au lait pasteurisé,"['Feuille plastique à jeter', 'Point vert', 'Pensez au tri!', 'Frais']",['France'],"['EMB 48094', 'Massegros (Lozère, France)', 'FR 48.094.011 CE', 'Massegros (Lozère, France)']",,3,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,['Leader Price'],['Lait'],,,,
1015,Tagliatelles aux œufs frais - Leader Price - 350g (3Pers.),3263859471118,"['Leader Price', 'DLP (Distribution Leader Price)', 'Groupe Casino']",['France'],"['Semoule de blé dur de qualité supérieure', 'eau', 'œufs frais 11 %']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,291,1218 kj(291 kcal),"1,6","0,5","58,3",3,"10,9","0,1","0,04",350 g (3 Pers.),"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Frais', 'Nouilles', 'Pâtes alimentaires', 'Pâtes fraîches', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Tagliatelles', 'Tagliatelles fraîches']","['Point Vert', 'Fabriqué en Italie', 'Eco-Emballages', 'Elaboré en Italie']",1.6 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,,+5%,+6%,-26%,-12%,+11%,+95%,+8%,-22%,-22%,-5,,A,,,Pâtes fraîches aux œufs frais,"['Frais', 'Sachet plastique', 'Sous atmosphère protectrice']",['Italie'],,,1,,,,,,,,,,"['Leader Price', 'Franprix']",['Œufs'],,,,
1016,Gésiers de Volaille confits - Leader Price - 300g,3263859587017,['Leader Price'],['France'],"['Gésiers de poulet : 75%', 'graisse de canard : 15%', 'sel', 'arômes', 'conservateur : sel nitrité', 'antioxydant : érythorbate de sodium']","['Non végétalien', 'Non végétarien']",728,?,728 kj(174 kcal),"9,3","2,4",~ 0,~ 0,"22,5","1,7","0,68",300 g,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers']",,9.3 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,+6%,,-5%,+41%,+11%,-100%,-100%,-18%,+18%,+18%,11,+70%,D,+70%,,"Gésier de volaille confits cuits dans la graisse de canard, traités en salaisons","['Sachet', 'Plastique', 'Etui', 'Carton']",,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",4,,,,,,,,,,"['Franprix', 'Leader Price']",,,,,
1017,Yaourts aux fruits Mixés - Sans Morceaux - Leader Price - 2kg (16x 125g),3263859610616,"['Leader Price', 'Groupe Casino']",['France'],"['Lait entier 82 %', 'sucre 9', '7 %', 'purée de fruits 6 % ', 'fraise ou framboise ou abricot ou pêche ou mangue ou fruits rouges ', 'fraise-cerise-mûre-cassis', 'lactose et protéines de lait', 'amidon modifié', 'arômes naturels', 'concentré des minéraux du lait', 'colorants : anthocyanes', 'paprika', 'curcumine ', ' ferments lactiques', 'correcteurs d’acidité : acide citrique', 'citrate de sodium', 'extrait de paprika', 'vitamine D']",['Non végétalien'],474,?,474 kj(113 kcal),"3,8","2,5",16,15,"3,6","0,16","0,064",2 kg (16 x 125 g),"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aux fruits', 'Yaourts mixés', 'Yaourts sucrés', 'Yaourts entiers', 'Yaourts multifruits', 'Yaourts aux fruits sans morceaux']",['Sans morceaux'],3.8 g,en quantité modérée,2.5 g,en quantité modérée,15 g,en quantité élevée,0.16 g,en faible quantité,,,+32%,+73%,+72%,+27%,+23%,-1%,+32%,+32%,4,+109%,C,+109%,C,"Yaourt au lait entier, sucré, aux fruits et arômes naturels (pêche, framboise, fraise, mangue, abricot, fruits rouges)","['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['Lactalis Nestlé Ultra-Frais Laval - LNUF Laval (Filiale Groupe Lactalis) - Boulevard Arago - ZI des Touches - 53810 Changé', 'Mayenne', 'Pays de la Loire', 'France']","['FR 53.054.005 CE', 'Changé (Mayenne, France)']","['E14XX - Amidons modifiés', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E160c - Extrait de paprika']",4,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,['Leader Price'],['Lait'],,,,
1018,Fromage blanc nature - Leader Price - 800g,3263859710712,['Leader Price'],['France'],"['Lait écremé pasteurisé ', 'origine: France', ' - crème pasteurisée ', 'origine: France', ' - ferments lactiques', "" Contient plus de 82% d'humidité"", ' Produit à 3% de matières grasses sur poids total']",['Non végétalien'],?,70,293 kj(70 kcal),3,2,"4,1","4,1","6,5","0,1","0,04",800 g,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Fromages blancs natures']",['en:lait-francais-french-milk'],3 g,en quantité modérée,2 g,en quantité modérée,4.1 g,en faible quantité,0.1 g,en faible quantité,,-31%,-29%,-41%,-39%,-23%,-17%,-4%,-37%,-37%,-3,-418%,A,-418%,B,,['Pot'],,,,3,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],,['Leader Price'],['Lait'],,,,
1019,Fromage blanc nature - leader price - 1kg,3263859718220,['leader price'],['France'],"['Lait écrémé pasteurisé ', 'origine : France', 'crème pasteurisé ', 'origine : France', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,71,297 kj(71 kcal),"2,8","1,9","5,1","5,1","6,4","0,09","0,036",1kg,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache', 'Fromages blancs natures']",,2.8 g,en faible quantité,1.9 g,en quantité modérée,5.1 g,en quantité modérée,0.09 g,en faible quantité,,-30%,-28%,-45%,-42%,-4%,+3%,-6%,-43%,-43%,-1,-206%,A,-206%,B,,['Pot'],,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",,3,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],,['Leader Price'],['Lait'],,,,
1020,Tarama aux oeufs de cabillaud - Leader Price - 135g,3263859731519,['Leader Price'],['France'],"['Huile de colza - œufs de cabillaud fumés et salés 26% - eau - chapelure ', 'farine de blé - eau - levure sel', ' - jus de citron concentré ', 'contient sulfites', ' - sel - sucre - lactose - protéines de lait - épaississants : gomme guar', 'gomme xanthane - colorans : carmins', 'extrait de paprika - conservateurs : sorbate de potassium', 'benzoate de sodium', 'acétate de sodium']","['Non végétalien', 'Non végétarien']",?,550,2301 kj(550 kcal),"57,9","4,3",1,"0,6","5,9","1,7","0,68",135 g,"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Taramas', 'Taramas au cabillaud']",,57.9 g,en quantité élevée,4.3 g,en quantité modérée,0.6 g,en faible quantité,1.7 g,en quantité élevée,,+6%,+7%,+13%,+6%,-79%,+12%,-12%,+8%,+8%,17,+8%,D,+8%,B,Tarama aux œufs de cabillaud,"['Frais', 'Pot', 'Plastique']",,"['EMB 14712A', 'Troarn (Calvados, France)']","['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E262i - Acétate de sodium']",4,66.5%,16.2%,6.9%,6.0%,3.5%,0.9%,82,,,['Leader Price'],"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,
1021,Pommes de terre Frites au four - Leader Price - 1kg,3263859871710,['Leader Price'],['France'],"['Pommes de terre 90 %', 'huile de tournesol 5 %', 'farine de riz', 'sel', 'amidon de pommes de terre', 'poudres à lever : E450i', 'E500', 'stabilisants : E415', 'E450i', 'dextrose', ""extraits d'épices""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",619,147,619 kj(147 kcal),"5,4","0,6","21,5","0,4","2,3","0,28","0,112",1 kg,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",['en:palm-oil-free'],5.4 g,en quantité modérée,0.6 g,en faible quantité,0.4 g,en faible quantité,0.28 g,en faible quantité,-0%,-3%,-3%,+9%,-8%,-6%,-19%,-8%,-3%,-3%,0,,B,,B,"Pommes frites pour cuisson au four, enrobées, préfrites et surgelées","['Sachet', 'Plastique', 'Surgelé']",,,"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",4,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,"['Franprix', 'Leader Price']",,,,,
1022,Acras de morue - Tendances Océanes - 200g,3264480700059,['Tendances Océanes'],['France'],"['Chair de Morue 50% ', 'Cabillaud ', 'gadus spp', 'eau', 'sel', 'fibres de citron', 'farine de blé', 'eau', 'Flocons de pommes de terre', 'oeuf', 'poivrons rouges', 'sel', 'poudre à lever ', 'E450i', 'E500ii', 'amidon de blé', 'ail', 'échalote', 'oignon', 'persil', 'piment fort', 'poivre', 'huile de friture ', 'tournesol', ' Traces éventuelles de : lait et dérivés', 'crustacés']","['Non végétalien', 'Non végétarien']",768,183,768 kj(183 kcal),"6,2","0,7","19,1","2,4","11,2","1,775","0,71",200 g,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",,6.2 g,en quantité modérée,0.7 g,en faible quantité,2.4 g,en faible quantité,1.77 g,en quantité élevée,-12%,-16%,-16%,-33%,-47%,-7%,-3%,+7%,-1%,-1%,4,-42%,C,-42%,E,Acras de morue,"['Barquette', 'Polystyrène', 'Film en plastique', 'Barquette']","['Carbon-Blanc', 'France']","['FR 33.096.002 CE', 'Carbon-Blanc (Gironde, France)']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,,,['Super U'],"['Œufs', 'Poisson', 'Gluten']",,,,
1023,Acras De Morue Créoles Barquette 200g - Tendances Océanes - 200g,3264480700066,['Tendances Océanes'],['France'],"['Chair de Morue 48%', 'eau', 'farine de blé', 'flocons de pommes de terre', 'œuf', 'ail', 'poudre à lever ', 'E450i', 'E500ii', 'amidon de blé', 'échalote', 'oignon', 'persil', 'sel', 'piment fort 0', '4%', 'poivre', 'thym', 'huile de friture ', 'tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",827,197,827 kj(197 kcal),"6,8","0,8","20,9","2,9","11,2","2,2","0,88",200 g,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Produits panés', 'Acras', 'Acras de morue', 'en:preparations-made-from-fish-meat']","['Point Vert', 'Fabriqué en France']",6.8 g,en quantité modérée,0.8 g,en faible quantité,2.9 g,en faible quantité,2.2 g,en quantité élevée,,-6%,-6%,-30%,-31%,-1%,-14%,+7%,-15%,-15%,11,+40%,D,+40%,E,,"['Frais', 'Plastique']",['France'],"['FR 33.096.002 CE', 'Carbon-Blanc (Gironde, France)']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",4,84.4%,3.6%,2.0%,5.3%,1.0%,3.7%,34,,,,"['Œufs', 'Poisson', 'Gluten']",,,,
1024,Germacafé Mélange Café Et Céréales - Abbaye de sept fons - 100g,3264950120042,['Abbaye de sept fons'],['France'],"['Café arabica* ', '89,6%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,303,1268 kj(303 kcal),"0,1","0,02",49,"0,6",18,"0,28","0,112",100 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Succédané de café']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,,,,,,+518%,+415%,-93%,-98%,+490%,-88%,+842%,+96%,+96%,,,,,,,['pot plastique'],,,,1,,,,,,,,['Agriculture EU/Non Eu'],,['Biocoop'],,,,,
1025,Coeur de Tournesol - Lesieur - 3l,3265471029074,['Lesieur'],['France'],['100% huile de tournesol Origine France'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,900,3700 kj(900 kcal),100,11,~ 0,~ 0,~ 0,~ 0,0,3 l,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+2%,+3%,+2%,+3%,+4%,-100%,-100%,-100%,-100%,-100%,11,0%,D,0%,C,"Huile de tournesol pour assaisonnement, cuisson et friture","['Bouteille', 'Plastique']",['France'],,,2,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,['France'],,"['Netto', 'Magasins U']",,,,,
1026,Moutarde - Lesieur,3265475178006,['Lesieur'],['France'],[],[],?,149,623 kj(149 kcal),11,"0,8","1,8","1,8","7,2",6,"2,4",,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,11 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en faible quantité,6 g,en quantité élevée,,-12%,-12%,+2%,-2%,-74%,-53%,+10%,+27%,+27%,11,-5%,D,-5%,B,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,
1027,Tapenade verte - Puget - 90g,3265477928005,['Puget'],['France'],"['Olives vertes 69,9 %', ""huile d'olive 12,1 %"", 'câpres ', 'câpres', 'eau', 'sel', ""vinaigre d'alcool"", 'sel', ""pâte d'anchois "", 'anchois', 'sel', ""huile d'olive"", 'herbes aromatiques ', 'basilic', 'thym', 'romarin', 'ail', 'sucre', 'poivre', 'acidifiant : acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,237,992 kj(237 kcal),?,"3,8",?,"0,01","1,5","2,8","1,12",90 g,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,,,3.8 g,en quantité modérée,0.01 g,en faible quantité,2.8 g,en quantité élevée,,+7%,+8%,,+18%,,-97%,-8%,-2%,-2%,,,,,C,,['Pot'],,,['E330 - Acide citrique'],3,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,['Magasins U'],['Poisson'],,,,
1028,Isio 4 Vinaigre de Cidre & Pomme Miel - Lesieur - 45cl,3265479127000,['Lesieur'],"['France', 'Polynésie française']","['Huile ISIO 4 ', '31,4%', ' ', 'huile de colza', 'huile de tournesol à haute teneur en acide oléique', 'huile de tournesol', 'huile de pépins de raisin', 'huile essentielle de coriandre', 'vitamine D', 'vinaigres dont vinaigre de cidre ', 'contient lait', ' ', '4,8%', 'eau', 'jus de pomme concentré ', '8,9%', 'miel ', '2,7%', 'sel', 'sucre', 'arôme']",['Non végétalien'],?,328,1372 kj(328 kcal),32,"2,6","9,2","6,8","0,1","2,5",1,45 cl,"['Epicerie', 'Sauces', 'Vinaigres', 'Sauces salades', 'Vinaigrettes', 'Vinaigrettes allégées en matières grasses']","['en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]",32 g,en quantité élevée,2.6 g,en quantité modérée,6.8 g,en quantité modérée,2.5 g,en quantité élevée,,+23%,+24%,+18%,+6%,+120%,+181%,-82%,+37%,+37%,,,,,D,vinaigrette,"['Bouteille', 'Plastique']",,,,4,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,"['Magasins U', 'Carrefour']",['Lait'],,,,
1029,Gratin de Ravioles aux Courgettes sauce Tomate Basilic - SAINT JEAN LA DRÔME - 290g,3266140058081,['SAINT JEAN LA DRÔME'],['France'],"['Sauce tomate et basilic* 47,5 % {eau', 'crème*', 'stabilisant: carraghénanes', 'concentré de tomate* 2,7 %', 'beurre*', 'farine de blé*', 'basilic* 1 %', ""huile d'olive*"", 'sel', 'épaississant: gomme xanthane', 'poivre* ', ' ', 'pourcentages exprimés sur la sauce', '}', 'ravioles* 35 % ', 'pâte : farine de blé tendre*', 'eau', 'œufs*', 'huile de tournesol*', ' Farce : fromage blanc frais*', ' Comté*', 'emmental*', 'persil*', 'sel', 'œufs*', 'beurre*', ' courgettes* 15%', 'emmental*', ""\r* Ingrédients d'origine agricole issus de l'agriculture biologique""]",['Non végétalien'],?,201,841 kj(201 kcal),"12,7","8,5",14,"1,6","7,1","0,9","0,36",290 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Plats à base de pâtes', 'Gratins', 'Pâtes farcies', ""Plats préparés d'origine végétale"", 'Réfrigérés', 'Ravioles', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Gratins de pâtes']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",12.7 g,en quantité modérée,8.5 g,en quantité élevée,1.6 g,en faible quantité,0.9 g,en quantité modérée,,+26%,+29%,+73%,+100%,-4%,-11%,-4%,+16%,+16%,13,+164%,D,+164%,B,"Gratin de ravioles aux courgettes, sauce Tomate Basilic","['Carton', 'Barquette', 'Plastique', 'sous atmosphère protectrice', 'Frais']","['France', 'Drôme']",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",4,64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,,http://www.saint-jean.fr,"['Carrefour', 'Grand Frais']","['Œufs', 'Gluten', 'Lait']",,,,
1030,Boisson au soja Nature - La Vie Claire - 1L,3266191005492,['La Vie Claire'],['France'],"['eau', 'gaines de soja depelicullées 7,5%']",[],?,37,155 kj(37 kcal),"2,1","0,4","0,4","0,4","3,8","0,08","0,032",1 L,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons sans alcool', 'Boissons végétales de soja']","['Bio', 'Bio européen', 'FR-BIO-01', 'Riche en protéines', 'Sans sucre ajouté', 'AB Agriculture Biologique']",2.1 g,en quantité modérée,0.4 g,en faible quantité,0.4 g,en faible quantité,0.08 g,en faible quantité,,-26%,-27%,+8%,+11%,-92%,-90%,+16%,-9%,-9%,-2,,A,,B,,,,,,1,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,,['la vie claire'],['Soja'],,,,
1031,Flocons d'avoine sans Gluten - La Vie Claire - 475g,3266191007427,"['La Vie Claire', 'Myprotein']",['France'],"[""Flocons d'avoine""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1560,370,1560 kj(370 kcal),"6,7","1,1","59,5","0,8","13,2","0,01","0,004",475 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]","['Bio', 'Bio européen', 'Agriculture UE', 'en:gluten-free', 'AB Agriculture Biologique']",6.7 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,+1%,+0%,+1%,-6%,-12%,+0%,-52%,+7%,-67%,-67%,-5,,A,,B,,['sachet plastique'],,,,1,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,['La Vie Claire'],,,,,
1032,Biscottes aux 7 céréales et 4 graines - La vie claire - 280g,3266191007823,['La vie claire'],['France'],"['Farine de blé T65* 62,9%', 'mélange de céréales et de graines* 22,5%  ', 'farine de seigle T130*', 'farine de petit épeautre*', 'graines de lin brun*', 'graines de tournesol*', 'graines de sésame *', 'graines de millet*', 'farine d’orge*', 'farine de sarrasin*', 'flocons d’avoine*', 'flocons de riz*', 'huile de coco non hydrogénée*', 'sucre de canne roux non rafﬁné*', 'levure boulangère', 'sel marin non raffiné de l’île de Ré', ""levain de seigle*\r*Ingrédients agricoles issus de l'Agriculture Biologique""]",[],?,296,1238 kj(296 kcal),8,"6,7","56,6","6,4",8,"1,52","0,608",280 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback', 'Biscottes-aux-cereales']",['Bio'],8 g,en quantité modérée,6.7 g,en quantité élevée,6.4 g,en quantité modérée,1.52 g,en quantité élevée,,-26%,-26%,+1%,+195%,-13%,+20%,-36%,+3%,+3%,12,+40%,D,+40%,A,,"['Film', 'Plastique', 'Etui', 'Carton']",,,,3,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,['La Vie Claire'],"['Gluten', 'Avoine', 'Graines de sésame']",,,,
1033,Galettes de Riz au chocolat noir - La Vie Claire - 90g,3266191008363,['La Vie Claire'],['France'],"['Chocolat noir ', '59%', ' ', 'pâte de cacao', 'sucre de canne', 'beurre de cacao', 'riz complet']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,493,2063 kj(493 kcal),23,14,62,27,"7,2",0,0,90 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']","['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'Point Vert']",23 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+6%,+6%,+0%,+19%,+5%,-100%,-100%,16,-1%,D,-1%,A,,"['Film', 'Plastique']",,,,3,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,['La Vie Claire'],,,,,
1034,Piadina de blé khorasan Kamut - La Vie Claire - 250g,3266191009650,['La Vie Claire'],['France'],"['farine de blé khorasan KAMUT@ ', '65%', '* eau', ""huile d'olive extra vierge première pression à froid*"", 'sel', ""*=lssus de l'agriculture biologique"", ' Peut contenir des traces de sésame et produits laitiers']",[],?,302,1264 kj(302 kcal),"5,2","0,9",53,1,10,"1,4","0,56",250 g,"['Crêpes et galettes', 'Crêpes']","['Bio', 'Bio européen', 'Agriculture non UE', 'IT-BIO-013', 'E non UE']",5.2 g,en quantité modérée,0.9 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,-1%,-2%,-47%,-75%,+17%,-95%,+40%,+72%,+72%,2,-83%,B,-83%,B,,,,,,3,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,['La Vie Claire'],['Gluten'],,,,
