,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
107,Maïs Grillés,4251032610798,['France'],[],[],?,417,14,66,"7,4","1,8","0,72",1745 kj(417 kcal),"1,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chips de banane plantain,11406099,['France'],[],[],?,504,"24,3","68,3","3,2","0,3","0,12",2109 kj(504 kcal),11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Pesto carotte, butternut, parmesan & noix de cajou",3302768300161,['France'],[],[],?,250,25,"2,9","2,1","1,5","0,6",1046 kj(250 kcal),"4,6","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Goodies,4250078960584,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Petits pois doux,3564706626676,['France'],[],[],?,74,"0,5","8,5","6,2",,,310 kj(74 kcal),"0,1","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Mild ssamjang,8801052048192,['France'],[],[],?,207.6,"3,2","37,8","9,1","2,02","0,808",869 kj(207 kcal),"0,5","23,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Camembert di bufala,2059000002703,['France'],[],[],?,125,28,"0,2","12,6","1,3","0,52",523 kj(125 kcal),"20,4","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Loup y est tu,0645760626482,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,3245590006965,3245590006965,['France'],[],[],?,?,?,?,?,,,,,,,"['Bouteille en verre', 'Bouchon en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Picholines de pays,3760035500339,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Champagne Laurent-Perrier,0084878680007,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Bande Flan,0255439029522,['France'],[],[],?,195,8,27,3,"0,32","0,128",816 kj(195 kcal),5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Comté,2264872035487,['France'],[],[],?,427,35,1,27,"0,76","0,304",1787 kj(427 kcal),23,0,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,35 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+1%,+116%,-100%,+0%,-9%,-9%,,,13,0%,D,0%,D,23 g,en quantité élevée,+2%,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
120,Absolu Pomme Gingembre Citron,3760258250684,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Chips artisanales piments d’espelette,3193840585534,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Power Matcha,8718868809094,['France'],[],[],?,279.8,"1,9","36,1","18,3",,,1171 kj(279 kcal),"0,4","10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Ginju.,3943681222385,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Oursons en guimauve et en chocolat au lait , blanc ou noir.",2600689024274,['France'],[],[],?,404,"10,6","73,7","3,6",,,1690 kj(404 kcal),"6,5","56,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Vinaigre balsamique de Modène,8003185010422,['France'],[],[],?,?,?,?,?,0,0,,,,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['Italie'],,,,,,,,,,0 g,en faible quantité,,,,,,,-100%,-100%,,,,,,,B,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,
126,Pain intermarché,3760140694817,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Mini financier framboise,2030000021628,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Corned beef Pimenté,3700739201569,['France'],[],[],?,185,11,"2,5",19,"1,17","0,468",774 kj(185 kcal),"3,9","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Caramelos duros de nata sin azúcares y sin gluten,8433329087711,['France'],[],[],?,263,97,"2,9",0,0,0,1100 kj(263 kcal),"10,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Lait écrémé - Lacinno - 1L,7640153862181,['France'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",138,33,0,"4,8","3,3","0,12","0,048",138 kj(33 kcal),0,"4,8",1 L,"['Brique', 'Carton', 'Tetra Pak']",['Lacinno'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés', 'Laits écrémés UHT']",['France'],,,,['Lait'],1,0 g,en faible quantité,4.8 g,en faible quantité,0.12 g,en faible quantité,-68%,-51%,-100%,-52%,-51%,-47%,-33%,-33%,"['en:FSC', 'FSC Mix', 'Garantie IPLC', 'FSC C014047']","['FR 02.110.001 CE', 'Braine (Aisne, France)', 'FSC-C014047']",-1,,A,,B,0 g,en faible quantité,-55%,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,
131,Palette à la diable,2462972061737,['France'],[],[],?,132,35,"0,5","19,7","1,6","0,64",552 kj(132 kcal),"5,8","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,
132,Sirop de cerise,3437340069867,['France'],[],[],?,315,"0,5",77,"0,5",,,1318 kj(315 kcal),"0,1",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Filet de poulet,2276746030177,['France'],[],[],?,95,"0,6","1,2",21,1,"0,4",397 kj(95 kcal),"0,3",1,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,0.6 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-27%,-79%,+151%,+312%,-8%,+33%,+33%,,,0,,B,,D,0.3 g,en faible quantité,-27%,-60%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
134,Saucisses pur canard,2873914041463,['France'],[],[],?,187,"12,3","1,7","17,4","2,8","1,12",782 kj(187 kcal),"4,05","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bigarreaux confits rouge carmin - EPV - 1kg,3616245074086,['France'],"['Bigarreaux ', 'France', 'Espagne', 'Saccharose', ""correcteur d'acidité : E330"", ' conservateurs : E202', 'E220 ', 'sulfites', ' Colorant : E120']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1350,320,"< 0,5",78,1,"< 0,1","0,04",1350 kj(320 kcal),"< 0,3",67,1 kg,['Plastique'],"['EPV', 'Aptunion Industrie']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Cerises confites']","['France', 'Espagne']","['Provence', 'France']",['Cerf-Dellier'],"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",['Anhydride sulfureux et sulfites'],4,0.5 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,+12%,+14%,+47%,+17%,+22%,+34%,-87%,-87%,['Made in provence'],,8,+10%,C,+10%,,0.3 g,en faible quantité,+14%,+259%,,,,,,,,,,
136,Poulet fermier bio,0226996031686,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Merguez pur canard,2244092044872,['France'],[],[],?,207,"15,1","1,8",16,"2,34","0,936",866 kj(207 kcal),"4,84","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,poulet fermier jaune - Le Janzé - 249g,2200967032542,['France'],[],[],?,?,?,?,?,,,,,,249g,['sous vide'],['Le Janzé'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],['Le Janzé'],['Auchan'],,,,,,,,,,,,,,,,,,['Label Rouge'],"['FR 53.014.002 CE', 'Azé (Mayenne, France)']",,,,,C,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
139,Gomme reglisse,5410404161187,['France'],[],[],?,221,0,"53,6","0,9",3,"1,2",925 kj(221 kcal),0,"53,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Navet blanc,2805958007679,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Terrine de Provence aux herbes de Provence,3700662740005,['France'],[],[],?,314,"27,5","0,9",1,"1,8","0,72",1314 kj(314 kcal),16,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Le Traditionnel  saucisson sec pour porc,2688493034115,['France'],[],[],?,394,16,"3,1",26,"4,53","1,812",1648 kj(394 kcal),"13,3","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Coeur de pomme pétillant sans alcool,3760195902691,['France'],[],[],?,0,"0,5",15,"0,5",,,0 kj(0 kcal),"0,1",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bavarois Alaska-Express Fruits Rouges - Ancel - 1kg,4014826612015,['France'],[],[],1587,374,"0,3",85,"7,1","0,01","0,004",1587 kj(374 kcal),0,74,1 kg,"['Carton', 'Sachet']","['Ancel', 'Condifa']","['Aides culinaires', 'Préparations pour desserts']",,,['Cerf-Dellier'],,,,,,,,,,+5%,+14%,-95%,+51%,+144%,+43%,-98%,-98%,,,,,,,,,,+15%,-100%,,,,,,,,"Préparation pour mousse bavaroise aux fruits rouges, aromatisée, sur base gélatine bovine",,
145,Amandes grillées,3036851866110,['France'],[],[],?,611,49,12,25,0,0,2556 kj(611 kcal),"4,7","3,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Vacqueryas,3760088960067,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Bière artisanale Jacquemart,3770010517030,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Crémeux Chocolat - Ancel - 1kg,3506170019523,['France'],[],[],1794,427,13,67,"5,2","0,14","0,056",1794 kj(427 kcal),"8,1",57,1 kg,"['Carton', 'Sachet']","['Ancel', 'Condifa']","['Aides culinaires', 'Préparations pour desserts']",,['France'],['Cerf-Dellier'],,,,,,,,,,+19%,+30%,+96%,+19%,+88%,+5%,-66%,-66%,['Fabriqué en France'],,,,,,,,,+30%,+186%,,,,,,,,Préparation pour crémeux au chocolat,,
149,"Lieu MSC, concassé de tomate et celeri roti - Seazon",3701456314532,['France'],[],[],?,114,3,12,7,1,"0,4",477 kj(114 kcal),0,1,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Alice Ceylon Tea 12X250G,8690804346149,['France'],[],[],?,30,0,0,0,0,0,126 kj(30 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Baguettes tradition -  - 1kg,3488599003072,['France'],[],[],?,297,"0,5",64,"8,8","1,4","0,56",1243 kj(297 kcal),"0,1","3,1",1 kg,"['Sec', 'Papier']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pains', 'Baguettes', 'Pains de tradition française', 'Baguettes de tradition française']",,,,,,,0.5 g,en faible quantité,3.1 g,en faible quantité,1.4 g,en quantité modérée,,+23%,-58%,+28%,+59%,+12%,+23%,+23%,,,4,+23%,C,+23%,A,0.1 g,en faible quantité,+23%,-31%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,baguette à base de farine de blé tradition,,
152,Mousseline à froid - Ancel - 5kg,3506170088550,['France'],[],[],1916,453,14,73,"8,1","0,76","0,304",1916 kj(453 kcal),13,52,5 kg,['Carton'],"['Ancel', 'Condifa']","['Aides culinaires', 'Préparations pour desserts']",,,['Cerf-Dellier'],,,,,,,,,,+27%,+38%,+111%,+29%,+72%,+64%,+83%,+83%,,,,,,,,,,+39%,+359%,,,,,,,,,,
153,Uova fresche a medie,8004862150264,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Brochette heartrop,3800500099101,['France'],[],[],?,339,"0,08","81,72","3,03","0,13","0,052",1418 kj(339 kcal),"0,04","72,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Comté,2671331045008,['France'],[],[],?,418,35,0,27,"0,9","0,36",1749 kj(418 kcal),23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Mélange tonus,2600285043822,['France'],[],[],?,480,28,26,25,"0,3","0,12",2008 kj(480 kcal),"2,5",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Macaron - Ancel - 5kg,3506170003683,['France'],[],[],1950,464,16,68,10,"0,39","0,156",1950 kj(464 kcal),"2,2",65,5 kg,['Carton'],"['Ancel', 'Condifa']","['Aides culinaires', 'Préparations pour desserts']",,,['Cerf-Dellier'],,,,,,,,,,+29%,+41%,+142%,+21%,+115%,+102%,-6%,-6%,,,,,,,,,,+41%,-22%,,,,,,,,,,
158,Soupe de cresson - Jean d’Audignac - 480g,3700238314142,['France'],"['Eau', 'cresson 15%', 'pomme de terre', 'crème fraîche', 'amidon transformé de mais', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,480g,['Verre'],['Jean d’Audignac'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Cresson']",,,,['E14XX - Amidons modifiés'],['Lait'],4,,,,,,,,,,,,,,,['en:élaboré en France'],,,,,,A,,,,,39.9%,0.0%,0.0%,19.6%,28.0%,12.5%,97,,,
159,Crème pâtissière à froid - Ancel - 5kg,3506170004536,['France'],[],[],1720,406,5,86,"3,9","0,44","0,176",1720 kj(406 kcal),"4,5",57,5 kg,['Carton'],"['Ancel', 'Condifa']","['Aides culinaires', 'Préparations pour desserts']",,,['Cerf-Dellier'],,,,,,,,,,+14%,+23%,-24%,+52%,+88%,-21%,+6%,+6%,,,,,,,,,,+25%,+59%,,,,,,,,,,
160,Viande de porc,2409783057924,['France'],[],[],?,92,"2,1","0,9",17,"3,6","1,44",385 kj(92 kcal),"0,8","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Yuzu Kosho Rouge,3701184000509,['France'],[],[],?,86,"2,5",14,7,20,8,360 kj(86 kcal),"0,6","6,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Gélatine poudre 190-210 Bloom - Briancon - 1kg,3470630310461,['France'],['Gélatine bovine'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,,,1 kg,"['Sachet', 'Plastique']",['Briancon'],"['Additifs alimentaires', 'Gélifiants', 'Gélatine']",,,['Cerf-Dellier'],['E428 - Gélatine'],,4,,,,,,,,,,,,,,,,"['EMB 81105', 'Graulhet (Tarn, France)', 'FR 81.105.010 CE', 'Graulhet (Tarn, France)']",,,,,B,,,,,74.1%,11.3%,5.9%,3.5%,5.2%,0.0%,83,,,
163,Thon albacore,3117751058826,['France'],[],[],?,118,2,"0,5",25,"1,3","0,52",494 kj(118 kcal),"0,6","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Almonds,5706779063615,['France'],[],[],?,612,52,10,21,"0,8","0,32",2561 kj(612 kcal),"4,1","4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Origan,17565073,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Double Dough Brownie,5056379537024,['France'],[],[],?,412,16,40,24,"0,71","0,284",1724 kj(412 kcal),"7,5",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0039047001374,0039047001374,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Tutti frutti,3481010089945,['France'],[],[],?,339,"0,3","84,7","0,3","0,53","0,212",1418 kj(339 kcal),"0,1",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Gésiers confits,3496960002906,['France'],[],[],?,153,"2,5",0,"32,5",0,0,640 kj(153 kcal),"0,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Thé Moringa,4792021033377,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,"['Boissons', 'Boissons chaudes']",,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,0,-100%,B,-100%,,0 g,en faible quantité,-100%,-100%,,,,,,,,,,
171,Kürbiskernöl,9006453111806,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Flammekueche,550000000000589,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Nougasec - Louis François - 1kg,3700434800067,['France'],"['Lactose', 'sirop de glucose']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],"['Aides culinaires', 'Aides à la pâtisserie']",,,['Cerf-Dellier'],,['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Bonbon,8720029021368,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Saucisse,3387620060483,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 11.076.050 CE', 'Castelnaudary (Aude, France)']",,,,,,,,,,,,,,,,,,,
176,Supreme d’asperges,3490211944519,['France'],[],[],?,28,1,"3,8","0,8","0,57","0,228",117 kj(28 kcal),"0,6","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,La milanaise,0247534035492,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Isomalt - Louis François - 1kg,3700434800043,['France'],['Isomalt E953'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],['Additifs alimentaires'],,,['Cerf-Dellier'],['E953 - Isomalt'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Viande séchée,2141511010107,['France'],[],[],?,185,"2,5",0,40,"4,9","1,96",774 kj(185 kcal),1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Gomme de Caroube - Louis François - 1kg,3700434801217,['France'],['Gomme de caroube E410'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],['Additifs alimentaires'],,,['Cerf-Dellier'],['E410 - Gomme de caroube'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epaississant,,
181,Dextrose monohydrate - Louis François - 1kg,3700434800029,['France'],['Dextrose monohydrate'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],['Additifs alimentaires'],,,['Cerf-Dellier'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Apero saint et gourmand poivron paprika,3770014396150,['France'],[],[],?,62.1,"0,4","7,2","6,8","0,9","0,36",260 kj(62 kcal),"0,2","4,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Filet mignon de porc sale,2641199034315,['France'],[],[],?,124,"2,3","1,1","24,8",1,"0,4",519 kj(124 kcal),"0,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Magn Actifs,3701136400135,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Jambon superieur cuit bouillon porc francais - Despi,2228586035096,['France'],[],[],?,?,?,?,?,,,,,,,['Film en plastique'],['Despi'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,
186,Le pâté pur porc,3701203201184,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Salade de pied de veau vinaigrette,0207673044878,['France'],[],[],?,163,"13,5","1,3",9,1,"0,4",682 kj(163 kcal),"1,3","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,,,,,,,,,
188,Cuisse de dinde,2209220002469,['France'],[],[],?,164,"9,4","0,5",20,"0,17","0,068",686 kj(164 kcal),"2,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",,,,,,,,,,,,,,,,,,,
189,Acide tartrique - Louis François - 1kg,3700434801040,['France'],['Acide tartrique E334'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],['Additifs alimentaires'],,,['Cerf-Dellier'],['E334 - Acide L-tartrique'],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Lentilles assaisonnées,0218907016462,['France'],[],[],?,215,"12,1","10,7",10,"0,5","0,2",900 kj(215 kcal),"0,82","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Coca zero,5449000147196,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Pectine Rapid Set 150 SAG - Louis François - 1kg,3700434801309,['France'],"['Pectine E440i', 'saccharose']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,1 kg,['Plastique'],['Louis François'],['Additifs alimentaires'],,,['Cerf-Dellier'],['E440i - Pectine non amidée'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Effol - friend snak,4102460186136,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Hari Chutney,8961005060456,['France'],[],[],?,43.66,"1,14","7,3","0,97","0,26","0,104",183 kj(43 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Baguette onctueuse,3289668202903,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Saucisses de Francfort,2297002032346,['France'],[],[],?,28,25,"1,4",14,"2,8","1,12",117 kj(28 kcal),"8,4","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.181.001 CE', 'Gacé (Orne, France)']",,,,,,,,,,,,,,,,,,,
197,Tchae menthe the vert,3228881034656,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Cucumber tonic water,3770014053022,['France'],[],[],?,71,0,"17,2",0,0,0,297 kj(71 kcal),0,"8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,6 filets de poulet blanc,2600259093877,['France'],[],[],?,?,?,?,?,0,0,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,0 g,en faible quantité,,,,,,,-100%,-100%,,,,,,,D,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
200,Mughetto,2480667019092,['France'],[],[],?,381,31,2,0,"0,2","0,08",1594 kj(381 kcal),22,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Terrine au bleu d'Auvergne AOP,3357149634410,['France'],[],[],?,397,37,2,14,"1,6","0,64",1661 kj(397 kcal),14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ANISOU,0200720030244,['France'],[],[],?,449,"9,1",60,10,"0,7","0,28",1879 kj(449 kcal),"4,5",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
