,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
76,Plateau cocktail,3369580001423,,,['France'],[],[],,,,,,,,,?,,260,,1088 kj(260 kcal),,14,,"2,1",,26,,"1,7",,"7,8",,"1,5",,"0,6",,,,,,,,,,,,,['Point Vert'],,,,,,"['FR 33.013.001 CE', 'Artigues-près-Bordeaux (Gironde, France)']",,,,,,,,,
77,L'huile vierge de colza - La Grande Epicerie de Paris - 250ml,3346041397189,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",['France'],[],[],100 g,en quantité élevée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+4%,100,+3%,7,-2%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,['Fabriqué en France'],250 ml,,['La Grande Epicerie de Paris'],,,,,,,,,,,,
78,Peppermint Crunch Delectably Chocolate,5390394015601,,,['France'],[],[],,,,,,,,,?,,535,,2238 kj(535 kcal),,"32,1",,"19,5",,"50,3",,"0,15",,"7,1",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Velouté tomate basilic,3193840505211,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de tomates']",['France'],[],[],2.4 g,en faible quantité,1.3 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en quantité modérée,?,,50,+22%,209 kj(50 kcal),+25%,"2,4",+97%,"1,3",+224%,"0,8",-86%,"0,1",-97%,"0,8",-2%,"0,7",+9%,"0,28",+9%,-1,,A,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,,,,,,,
80,"Encornets ""à la rochelaise"" -",3760209287431,,,['France'],"['Encornets ', '52%', 'échalotes ', '1,5%', 'crème liquide 30MG ', '37 %', 'farine de blé bio ', '1,8%', 'fumet de poissons ', '0,5%', 'vin blanc ', '1%', 'jus de citrons ', '0,5%', 'estragon ', '1%', 'beurre ', '3%', 'épices ', '1,7%']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Mollusques']",,,,
81,8 marrons glacés - Comtesse du Barry,3660806504507,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",['France'],"['marrons 59,5%', 'sucre', 'sirop de glucose', 'humectant : sorbitol', 'vanille en gousse', 'conservateur: sorbate de potassium']",[],0.9 g,en faible quantité,0.2 g,en faible quantité,46 g,en quantité élevée,0.06 g,en faible quantité,?,,318,+0%,1331 kj(318 kcal),+0%,"0,9",+1%,"0,2",+28%,75,+1%,46,-9%,1,-2%,"0,06",+60%,"0,024",+60%,12,+2%,D,+2%,,,,,,,,,,,['Comtesse du Barry'],,,,"['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,,
82,dés d'ananas - Voie verte - 297g,0234813011483,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",297 g,['barquette plastique semi-rigide'],['Voie verte'],,"['Rhône', 'france']",,,,,,,,,,
83,Soufflé au Homard - Maison Sauveterre - 85g,3701011401912,,,['France'],[],[],,,,,,,,,?,,240,,1004 kj(240 kcal),,"21,3",,"13,8",,"1,4",,"0,8",,"10,6",,"1,4",,"0,56",,,,,,,,,,,,,,85 g,,['Maison Sauveterre'],,,,,,,,,,,,
84,Fruits exotiques,3564884015262,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"5,5",,"4,7",,"80,2",,61,,"0,9",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Vinaigre de cidre au piment d espelette - La cigale provençale,3464930013252,B,"['Vinaigres', 'Vinaigres de cidre']",['France'],"[""Vinaigre de cidre issu de pommes entières de l'Agriculture Biologique 99,97 % poudre de piment dEspelette AOP BIO 0,03""]",[],0.04 g,en faible quantité,0.01 g,en faible quantité,0.09 g,en faible quantité,0.01 g,en faible quantité,?,,3,-80%,13 kj(3 kcal),-78%,"0,04",-62%,"0,01",-61%,"0,6",-60%,"0,09",-88%,"0,01",-93%,"0,01",-43%,"0,004",-43%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['La cigale provençale'],,,,,,,,,,,,
86,4 Saucisses au canard 30%confites,09694606,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,27,,12,,1,,"0,4",,23,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Confit d'Oignons - Saveur d'Auge,3454740002003,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"[""Saveur d'Auge""]",,,,,,,,,,,,
88,Monster zero 50cl édition call of duty,5060335631008,,"['Boissons', 'Boissons énergisantes']",['France'],[],[],3 g,en quantité modérée,3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,2,-94%,8 kj(2 kcal),-95%,3,+4411%,3,+12887%,1,-88%,0,-100%,3,+1969%,0,-100%,0,-100%,2,-81%,C,-81%,,,,,,,,,,,"['Monster', 'Monster Energy Company', 'Monster Energy']",,,,,,,,,,,,
89,Le duo 3 galettes 2 crêpes - Creperie de guerledan,3760080260806,,,['France'],[],[],,,,,,,,,?,,267,,1117 kj(267 kcal),,"7,9",,"2,6",,"43,5",,"14,8",,"6,2",,"1,5",,"0,6",,,,,,,,,,,,,"['Bio', 'en:produced-in-bretagne']",,,['Creperie de guerledan'],,,,,,,,,,,,
90,Véritable andouille de guemené,0211669028148,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],21.2 g,en quantité élevée,10.2 g,en quantité élevée,0.5 g,en faible quantité,2.47 g,en quantité élevée,?,,256,+2%,1071 kj(256 kcal),+3%,"21,2",+5%,"10,2",+1%,"0,5",+33%,"0,5",+78%,"15,7",-4%,"2,47",+3%,"0,988",+3%,23,+6%,E,+6%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,
91,Poids chiches -,3760007220012,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",,,,,,,,,,,,,,,
92,Cou de canard farci au foie de canard,3380241804504,,,['France'],[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,36,,13,,"0,5",,"0,5",,13,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Monkey Poo,5036325567848,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,"19,3",,"11,9",,"64,5",,"55,4",,"5,7",,"1,45",,"0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pain pistolet,0256508015743,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Pavé en tournedos,2889538047033,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bloc de foie gras de canard - Le Pré aux Canards,3277168201120,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,['Le Pré aux Canards'],,,,,,,,,,,,
97,Gomasio - Jardin Bio,3478820302241,,"['Epicerie', 'Condiments', 'Gomasio']",['France'],[],[],48.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,583,+1%,2439 kj(583 kcal),+1%,"48,33",-2%,0,-100%,"16,33",+109%,0,-100%,"20,64",+6%,0,-100%,0,-100%,2,-89%,B,-89%,,,,,,,,['Bio'],,,['Jardin Bio'],,,,,,,,,,,,
98,Sauce Soja Supérieure,3760041270158,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Emmental français,2204350003584,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,369,-3%,1544 kj(369 kcal),-2%,29,-2%,21,+6%,0,-100%,0,-100%,27,-3%,"0,6",+2%,"0,24",+2%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['FR 53.061.001 CE', 'Charchigné (Mayenne, France)']",,,,,,,,,
100,Emmental français,2204350003584,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,369,-3%,1544 kj(369 kcal),-2%,29,-2%,21,+6%,0,-100%,0,-100%,27,-3%,"0,6",+2%,"0,24",+2%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['FR 53.061.001 CE', 'Charchigné (Mayenne, France)']",,,,,,,,,
101,Pormoniers fait maison,2887936039698,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Lachsschinken,4009418228682,,,['France'],[],[],,,,,,,,,?,,122,,510 kj(122 kcal),,2,,"0,9",,1,,1,,25,,"3,5",,"1,4",,,,,,,,,,,,,"['en:German Agricultural Society', 'en:gluten-free', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2017 de la Société Allemande d'Agriculture""]",,,,,,,,,,,,,,,
103,Cassonabe pure canne - Daddy,05565757,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,100,,100,,0,,0,,0,,,,,,,,,,,,,,,,['Daddy'],,,,,,,,,,,,
104,Mélange Japonais,2600153019225,,['Mélanges de biscuits soufflés'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fougasse Lardons - Leclerc - 420g,0209733022963,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux lardons']",['France'],"['FOUGASSE LARDONS fougasse préparelontoug lemre', 'sermoute de BLE,poudre aleer troment sucre poudre de LAIT meeande BLE desbydrele désaci amidon de foment sel émulsifantis', ' 322 e 472 e dextrose', 'res vegetales stablisantis! e 466 epces agentis', ' delatement delalae e 300 erzymes', "" eau hule d'olve"", ' levure de pantcaton sa charomces petevisigell! ardons fumes ', 'pete e poreau sel eckiantes2c Suc SD de gluck0Se cextrosesa cha acormes andome de Lmes antioxydant e316 conservateur e', '00 asse tanc y hoent focons depom 450 e 500 e 341GLUTEN d olor 26 suct emmertal rape']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,420g,['Plastique'],['Leclerc'],,,,,,,,"['Gluten', 'Lait']",,,,
106,M. de Turenne,3339331500598,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['M. de Turenne'],,,,,,,,,,,,
107,Préfou cepes et oignons rouges - Blini - 190g,3292070009190,,"['Snacks', 'Snacks salés', 'Apéritif', 'Préfous']",['France'],[],[],9 g,en quantité modérée,2.1 g,en quantité modérée,1.5 g,en faible quantité,1.3 g,en quantité modérée,?,,268,-20%,1121 kj(268 kcal),-19%,9,-49%,"2,1",-80%,"39,1",+12%,"1,5",-34%,"7,8",+15%,"1,3",-6%,"0,52",-6%,6,-66%,C,-66%,,,,,,,,,190 g,,['Blini'],,,,,,,,,,,,
108,Aiguillette de poulet,2268496059898,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bio'],,,,,,,,,,,,,,,
109,Santé & Bien-être / MIEL - Famille Mary,3760115095687,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,['Famille Mary'],,,,,,,,,,,,
110,Chapon,0276368125161,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Saint nectaire laitier,2467435035621,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",['France'],[],[],27 g,en quantité élevée,17.8 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,336,-1%,1406 kj(336 kcal),-1%,27,-2%,"17,8",-6%,"0,9",-12%,"0,5",+71%,"22,3",+2%,"1,5",+1%,"0,6",+1%,15,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['FR 16.141.001 CE', 'Fontenille (Charente, France)']",,,,,,,,,
112,Sardine dans l'huile - Aurora,0061659001602,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile""]",['France'],[],[],7 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0.27 g,en faible quantité,?,,120,-50%,502 kj(120 kcal),-50%,7,-59%,2,-46%,0,-100%,0,-100%,14,-34%,"0,27",-70%,"0,108",-70%,-2,-138%,A,-138%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,['Aurora'],,,,,,,,,,,,
113,Filet de poulet - La Nouvelle Agriculture,0213400029988,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Barquette'],['La Nouvelle Agriculture'],,,,,,,,,,,,
114,Crousti tenders - Père Dodu - 380g,3596690970039,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,7,,1,,19,,"2,5",,16,,"1,4",,"0,56",,,,,,,,,,,,,,380 g,,['Père Dodu'],,,,,,,,,,,,
115,Chamois d'or - Carrefour,0284938020334,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,32,,28,,1,,1,,18,,1,,"0,4",,,,,,,,,,,,,,,,['Carrefour'],,,,,,,['Carrefour'],,,,,
116,Chocolate Starbrook Bar Milk Hazelnut,0654542223009,,,['France'],[],[],,,,,,,,,?,,556,,2326 kj(556 kcal),,35,,17,,52,,50,,"6,6",,"0,1",,"0,04",,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,
117,Gaufre dunkerquoise au chocolat,3438351359664,,,['France'],[],[],,,,,,,,,?,,496,,2075 kj(496 kcal),,"23,2",,15,,"63,6",,"35,6",,"6,6",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Aromat - Knorr,3011360021496,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,
119,Comté 16-21 mois,0200273030760,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
120,Filet de poulet - Volandry,2860145031035,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,['Volandry'],,,,,,,,,,,,
121,Palet breton,3045050086243,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],[],[],23.6 g,en quantité élevée,15.5 g,en quantité élevée,28.1 g,en quantité élevée,0.73 g,en quantité modérée,?,,491,-1%,2054 kj(491 kcal),-1%,"23,6",-7%,"15,5",-5%,"64,9",+7%,"28,1",+8%,"5,7",-3%,"0,73",-17%,"0,292",-17%,25,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,,,
122,Galette frangipane et framboise,3250391364305,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
123,Confiture de myrtilles bio,3588280000394,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.07 g,en faible quantité,?,,262,+20%,1096 kj(262 kcal),+19%,0,-100%,0,-100%,63,+18%,62,+22%,"0,7",+79%,"0,07",+319%,"0,028",+319%,12,+30%,D,+30%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Bio'],,,,,,,,,,,,,,,
124,Pasta de higo,8421027000248,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Saucisson fumé Lorrain,2223814043560,,,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,"22,7",,"8,65",,"1,5",,"0,8",,20,,"3,67",,"1,468",,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,
126,Danone x4 pot nature - 4x 125g,848830,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",4 x 125 g,['Pot'],['Danone'],,,,,,,,,,,,
127,Truffes - Weiss,3595181910073,,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,"32,4",,"19,6",,"36,7",,"23,4",,"5,8",,"0,02",,"0,008",,,,,,,,,,,,,,,,['Weiss'],,,,,,,,,,,,
128,Keells Chili Paste,4796003690923,,,['France'],[],[],,,,,,,,,?,,554,,2318 kj(554 kcal),,"47,2",,"22,8",,"25,5",,"12,2",,"6,9",,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Cassoulet Landais 400gr,3532820000047,,,['France'],[],[],,,,,,,,,?,,167,,699 kj(167 kcal),,"13,25",,"4,56",,"2,96",,"0,38",,"8,41",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,chorizo de dinde et salami de boeuf,8423759856261,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de dinde']",['France'],[],[],16.6 g,en quantité modérée,6 g,en quantité élevée,2.7 g,en faible quantité,4.3 g,en quantité élevée,?,,275,-14%,1151 kj(275 kcal),-13%,"16,6",-33%,6,-40%,"4,1",+65%,"2,7",+197%,"27,2",+35%,"4,3",+26%,"1,72",+26%,18,-15%,D,-15%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Halal'],,,,,,,,,,,,,,,
131,Couronne des rois à la fleur d'oranger,3760255300269,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,17,,10,,48,,18,,"8,6",,"0,87",,"0,348",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,
132,Le chocolat - Alain Ducasse,3700829006821,,,['France'],[],[],,,,,,,,,?,,565,,2364 kj(565 kcal),,40,,16,,36,,29,,11,,"0,3",,"0,12",,,,,,,,,,,,,,,,['Alain Ducasse'],,,,,,,,,,,,
133,Petit beurre apéritif roquefort et noix,3552085010261,,,['France'],[],[],,,,,,,,,?,,511,,2138 kj(511 kcal),,"29,2",,"15,4",,"49,4",,"4,8",,"11,5",,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,5 nonettes à la confiture d'Orange,3760019597003,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",['France'],[],[],0.9 g,en faible quantité,0.3 g,en faible quantité,35 g,en quantité élevée,1.4 g,en quantité modérée,?,,229,-32%,958 kj(229 kcal),-33%,"0,9",-55%,"0,3",-28%,51,-33%,35,-23%,"4,2",+14%,"1,4",+164%,"0,56",+164%,15,0%,D,0%,,,,,,,,,,,,,,,,,,,,,,,
135,Cantal jeune aop,2488691019422,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal', 'Cantal jeune']",['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,372,+1%,1556 kj(372 kcal),+1%,30,+2%,21,+1%,"1,5",0%,"0,5",+52%,24,0%,"1,9",+2%,"0,76",+2%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
136,Neufchatel,2825281015417,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Neufchâtel']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,
137,Saucisse de Montbéliard crue igp et bcc,3434590313658,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",['France'],[],[],27 g,en quantité élevée,9.9 g,en quantité élevée,0.8 g,en faible quantité,2.3 g,en quantité élevée,?,,319,-2%,1335 kj(319 kcal),-3%,27,-4%,"9,9",-12%,1,+15%,"0,8",+14%,17,+5%,"2,3",+5%,"0,92",+5%,22,-1%,E,-1%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,['IGP'],,,,,,,,,,,,,,,
138,huile d'olive et tomates séchées,3330147100422,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Assortiment de fruits séchés - Daco Bello,3270720014862,,,['France'],[],[],,,,,,,,,?,,273,,1142 kj(273 kcal),,0,,0,,62,,50,,"2,6",,"0,03",,"0,012",,,,,,,,,,,,,,,,['Daco Bello'],,,,,,,,,,,,
140,Eichetti Tiraminelli Tiramisu Confect,4002603080317,,,['France'],[],[],,,,,,,,,?,,580,,2427 kj(580 kcal),,"40,5",,"36,5",,"48,3",,"47,6",,"5,6",,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Vinaigre de xeres,3523680186477,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs', 'Vinaigres de Xérès']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,
142,café - Legal,3227540093430,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Legal'],,,,,,,,,,,,
143,48 escargots de Bourgogne - Croque Bourgogne - 356g,3422867770020,B,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",['France'],"[""Chair d'escargots 50% : Chair Hélix Pomatia Linné "", 'Origine Hongrie', "" cuite dans un bouillon d'aromates "", 'Chablis 1,6%', 'Sel', ' Thym', 'Laurier', 'Piment', ' Farce 50% : Beurre de baratte AOP Charentes-Poitou 79%', 'Persil', 'Ail', 'Sel de Guérande', 'Poivre']","['Non végétalien', 'Non végétarien']",33 g,en quantité élevée,22.7 g,en quantité élevée,0 g,en faible quantité,0.42 g,en quantité modérée,?,,348,+38%,1456 kj(348 kcal),+37%,33,+63%,"22,7",+67%,5,+115%,0,-100%,"7,8",-30%,"0,42",-65%,"0,168",-65%,15,+24%,D,+24%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,['Maître Artisan'],356 g,"['Barquette', 'Plastique', 'Aluminium']",['Croque Bourgogne'],['Hongrie'],"['Bourgogne', 'France']","['FR 89.257.006 CE', 'Migennes (Yonne, France)']",,3,,,,,,,
