,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,manufacturing,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,generic_name,link,palm_ingredients,brand_owner,producer_info
1604,Muesli crujiente chocolate - Alipende,8421691379497,,"['France', 'Espagne']",[],[],?,425,14,"62,3",9,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis au chocolat']",,,-4%,-12%,+1%,-3%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,['Alipende'],,,,1778 kj(425 kcal),7,"23,6","0,13","0,052",,,14 g,en quantité modérée,7 g,en quantité élevée,23.6 g,en quantité élevée,0.13 g,en faible quantité,-4%,+35%,+24%,-47%,-47%,16,+75%,D,+75%,,,,,,,
1605,Fusilli n°98 - Delhaize,5400113531203,,"['Belgique', 'France']",[],[],?,354,"1,3","73,2",11,,,,,,,,,,,,,,,,,['Delhaize'],,,,1481 kj(354 kcal),"0,3","3,2",0,0,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,
1606,Biere blonde artisanale,3760027050545,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Poêlée de pommes de terre sarladaise,3492500051762,,['France'],[],[],?,210,"11,2","23,3","2,5",,,,,,,,,,,,,,,,,,,,,879 kj(210 kcal),"2,8","0,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Chips de patate douce - Continente,5601312074809,,"['France', 'Portugal']",[],[],?,496,25,60,"5,1",,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de patate douce']",,,+2%,-17%,+25%,+19%,,,,,,,,,['Continente'],,,,2075 kj(496 kcal),"4,3",16,"0,7","0,28",,,25 g,en quantité élevée,4.3 g,en quantité modérée,16 g,en quantité élevée,0.7 g,en quantité modérée,+2%,-15%,-14%,-3%,-3%,16,+31%,D,+31%,,,,,,,
1609,Tortelloni ricotta epinards,7610227831177,,['France'],[],[],?,182,"2,2",32,"7,5",,,,,,,,,,,,,,,,,,,,,761 kj(182 kcal),"0,9","1,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Tranché fin jambon sec de savoie fumé - 100g,3034910651004,,['France'],[],[],?,229,13,"0,1",28,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,-2%,+2%,-83%,-3%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,100 g,,,,,958 kj(229 kcal),"5,5","0,1","5,8","2,32",,,13 g,en quantité modérée,5.5 g,en quantité élevée,0.1 g,en faible quantité,5.8 g,en quantité élevée,-3%,+13%,-73%,+16%,+16%,17,+2%,D,+2%,,,,,,,
1611,Le Caillaou d'Escanecrabe,3489180000081,,['France'],[],[],?,315,26,2,20,,,,,,,,,,,,,,,,,,,,,1318 kj(315 kcal),18,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Délice de boeuf charolais - Les Saveurs d'Origine - 100g,8010153005960,['Barquette plastique'],['France'],"['VIANDE DE BOEUF', 'SEL', 'LACTOSE', 'POUDRE DE LAIT ECREME', 'VIN', 'DEXTROSE', 'SIROP DE GLUCOSE', 'EPICES', 'AIL', ' ANTIOXYDANTS : ERYTHORBATE DE SODIUM', 'FERMENTS', ' CONSERVATEURS : NITRATE DE POTASSIUM', 'NITRITE DE SODIUM']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",681,161,"3,1","1,8","31,1",,"['Viandes', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf']",,,-21%,-78%,+669%,+63%,,,,,,,,100 g,"[""Les Saveurs d'Origine""]",['Italie'],['Lait'],4,681 kj(161 kcal),"1,4","1,8","3,7","1,48",,"['E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3.1 g,en quantité modérée,1.4 g,en faible quantité,1.8 g,en faible quantité,3.7 g,en quantité élevée,-20%,-45%,+1046%,+415%,+415%,13,+610%,D,+610%,,['IT R3WSF CE'],"Préparation de Boeuf Charolais finement coupé, assaisonné et séché",,,,
1613,Lardons fumés,12593903,,['France'],[],[],?,253,23,"0,6","15,5",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",,,-5%,+6%,-27%,-5%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,1059 kj(253 kcal),"8,1","0,5","2,18","0,872",,,23 g,en quantité élevée,8.1 g,en quantité élevée,0.5 g,en faible quantité,2.18 g,en quantité élevée,-4%,-2%,-22%,-18%,-18%,20,0%,E,0%,,,,,,,
1614,graine de nigelle - 500g,00043,,['France'],[],[],?,?,?,50,17,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cumin', 'Graines de cumin', 'Graines de nigelle', 'Noir']",,,,,+1153%,+750%,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,500g,,['France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Green Curry Paste - Thai dancer,8852646302275,"['Bocal', 'Glas']","['France', 'Allemagne']",[],[],?,195,14,10,"3,5",,"['Epicerie', 'Sauces', 'Pâtes de curry', 'Pâtes de curry verte']",,,+52%,+110%,-7%,+42%,,,,,,,,,['Thai dancer'],,,,816 kj(195 kcal),2,4,"2,81","1,124",,,14 g,en quantité modérée,2 g,en quantité modérée,4 g,en faible quantité,2.81 g,en quantité élevée,+53%,+28%,-28%,-58%,-58%,13,+19%,D,+19%,,,,,,,
1616,Guacamole -,4260373050491,,['France'],[],[],?,190,"17,4","6,5","1,8",C,"['Epicerie', 'Sauces', 'Guacamoles']",,,+17%,+41%,+7%,+3%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,,,,795 kj(190 kcal),"2,8",0,"0,95","0,38",,,17.4 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,0.95 g,en quantité modérée,+19%,+8%,-100%,-14%,-14%,7,+40%,C,+40%,,,,,,,
1617,Les magerans,3660668137455,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Confiture de pêche de vignes - Esprit Gourmet,3700766410040,,['France'],"['Péche de vigne', 'sucre de canne', 'jus de citron', 'gélifiant: pectine de fruits', 'acidifiant: acide ascorbique']",[],?,227,"0,1",55,"0,35",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",,,+6%,-47%,+5%,-21%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,['Esprit Gourmet'],,,4,950 kj(227 kcal),"0,01",55,"0,01","0,004",,"['E440 - Pectines', 'E300 - Acide ascorbique']",0.1 g,en faible quantité,0.01 g,en faible quantité,55 g,en quantité élevée,0.01 g,en faible quantité,+5%,-50%,+9%,-7%,-7%,7,-24%,C,-24%,,,,,,,
1619,Entre-2-Mers C-S Blanc Mil.75Cl,3222471124123,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Raclette Bio,3060921463244,,['France'],[],[],?,337,26,"1,2",24,,,['Bio'],,,,,,,,,,,,,,,,,,1410 kj(337 kcal),17,"0,5","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Thon à l'huile d'olive -,8009838001489,,['France'],[],[],?,229,"13,7",0,"26,1",E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,-9%,-21%,-100%,+10%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,958 kj(229 kcal),"2,1",0,"1,2","0,48",,,13.7 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,-9%,-31%,-100%,+23%,+23%,4,-26%,C,-26%,,,,,,,
1622,The Ardmore Legacy Whisky 40%,5010019637666,"['card-tube', 'steel-cap']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Mini saucisson sec,3264057564176,,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Banane,2250106001809,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Hauts de cuisse de poulet - La Nouvelle Agriculture,0213323023889,,['France'],[],[],?,212,16,0,17,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Bleu Blanc Cœur', 'Volaille-francaise']",,+11%,+29%,-100%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,887 kj(212 kcal),"4,3",0,"0,18","0,072",,,16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,+11%,+28%,-100%,-76%,-76%,1,-72%,B,-72%,,,,,,,
1626,Filet de poulet - La Nouvelle Agriculture,0213400027359,,['France'],[],[],?,104,"1,3",0,23,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,-21%,-55%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,435 kj(104 kcal),"0,4",0,"0,11","0,044",,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,
1627,Compotée Pomme Coing,3700876988866,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Massalé Kaloupilé,3609906006184,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Abricot,7610173070224,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Linguine n13 - Barilla,8076809547819,,['France'],[],[],?,359,2,"70,9","12,8",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Linguine']",,,+4%,+18%,+5%,+2%,,,,,,,,,['Barilla'],,,,1502 kj(359 kcal),"0,5","3,5","0,013","0,005",,,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,+4%,+37%,+27%,-41%,-41%,-1,,A,,,,,,,,
1631,Pain de mie american sandwich nature,10294291,,['France'],[],[],?,271,"4,1","48,9","7,6",,,,,,,,,,,,,,,,,,,,,1134 kj(271 kcal),"0,4","7,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Yaourt au lait de vache Jersiaise nature,3760260500319,,['France'],[],[],?,72,"2,57","7,38","4,12",,,,,,,,,,,,,,,,,,,,,301 kj(72 kcal),"1,61","4,75","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Boisson végétale quinoa calcium,8412224003873,,['France'],[],[],?,17,"0,2","3,3","0,4",,,,,,,,,,,,,,,,,,,,,71 kj(17 kcal),0,1,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Organic,3256811114246,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Bliss ball Spekulatius style - veganz - 40g,4260402487373,['Stück'],"['France', 'Allemagne']","['Datteln* getrocknet ', '66 %', 'Mandeln* gehackt ', '16 %', 'Weinbeeren getrocknet ', '15%', ' ', 'Weinbeeren*', 'Sonnenblumenöl*', 'Sonnenblumenkernprotein*', 'Gewürze', 'Reismehl*']","['Végétalien', 'Végétarien']",?,352,"8,5",59,"6,3",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Végétarien', 'Végétalien']",,-26%,-59%,-8%,-3%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,40 g,['Veganz'],,,3,1473 kj(352 kcal),"0,7",55,"0,01","0,004",,,8.5 g,en quantité modérée,0.7 g,en faible quantité,55 g,en quantité élevée,0.01 g,en faible quantité,-26%,-93%,+86%,-98%,-98%,6,-70%,C,-70%,,,,,,,
1636,Epices Mechaoui,3760059784029,,['France'],[],[],?,349,"10,3",59,"11,2",,,,,,,,,,,,,,,,,,,,,1460 kj(349 kcal),"1,9","3,9","10,05","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Torréfacteur du sud ouest,3429733222492,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Médaillons de dinde,20263539,,['France'],[],[],?,110,2,0,23,,,,,,,,,,,,,,,,,,,,,460 kj(110 kcal),"0,8",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Boeuf en daube,3582340020612,,['France'],[],[],?,154,"7,8","1,2","19,9",,,,,,,,,,,,,,,,,,,,,644 kj(154 kcal),4,"0,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1640,1 steak - Charal,0292471020339,,['France'],[],[],?,113,"2,3",0,23,,,,,,,,,,,,,,,,,['Charal'],,,,473 kj(113 kcal),"0,8",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Masdarang,8807160301006,,['France'],[],[],?,344,"1,6","0,5","81,8",,,,,,,,,,,,,,,,,['Masdarang'],,,,1439 kj(344 kcal),"0,6",0,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Cuisse de poulet,2600247020731,,['France'],[],[],?,20,15,"0,5",17,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,-90%,+21%,+57%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,84 kj(20 kcal),"4,9","0,5","0,2","0,08",,,15 g,en quantité modérée,4.9 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,-90%,+46%,+223%,-74%,-74%,-1,-128%,A,-128%,,,,,,,
1643,Daregal echalote emincee,3060731006242,,['France'],[],[],?,43,"0,1","7,7","1,7",,,,,,,,,,,,,,,,,,,,,180 kj(43 kcal),"0,05","4,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Yeo Valley Organic S / Skmmed Milk 1 Litre -,5036589201137,,['France'],[],[],?,47,"1,8","4,8","3,6",,,,,,,,,,,,,,,,,,,,,197 kj(47 kcal),"1,1","4,8","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Bridel Emmental Francais,3228022970140,,['France'],[],[],?,369,29,"0,5",27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,-3%,-2%,-18%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,1544 kj(369 kcal),21,"0,5","0,6","0,24",,,29 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,-2%,+6%,+6%,+2%,+2%,11,-2%,D,-2%,,,,,,,
1646,Belvita pépites chocolat -30% de sucres,3257760472890,,['France'],[],[],?,436,14,66,"8,2",,,,,,,,,,,,,,,,,,,,,1824 kj(436 kcal),2,17,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Saucisse de viande,3384080001759,,['France'],[],[],?,212,"15,2","1,5","16,7",,,,,,,,,,,,,,,,,,,,,887 kj(212 kcal),"5,6","1,3","2,22","0,888",,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Rioja Cepa Lebrel,20368364,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Arenas Magdalenas Concha Fragola GR 220,8412997000376,,['France'],[],[],?,444,23,53,"5,5",,,,,,,,,,,,,,,,,,,,,1858 kj(444 kcal),"3,7",23,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Cuisse Volaille Française Poulet blanc,3435660727306,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,"Kivennäisvesi - Kotimaista - 0,5l",6415712613693,,"['Finlande', 'France']","['Vesi ', 'Suomi', 'hiilidioksidi', 'magnesiumsulfaatti', 'kaliumbikarbonaatti', 'kaliumsitraatti']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales gazeuses']",,,,,,,,,,,,,,"0,5l",['Kotimaista'],,,4,,,,,,,['E290 - Dioxyde de carbone'],,,,,,,,,,,,,,0,-100%,A,-100%,['Finlande'],,Kevyesti hiilihapotettu kivennäisvesi,,,,
1652,Tonic water - Red Bull,9002490239015,,['France'],"['Agua', 'Azucar', 'Zumo de Limón Concentrado""', 'Dioxido de Carbone', 'Aromas Naturales de Extractos Vegetales ', '0,32%', ': Cinchona ', 'Quinina']",[],?,37,0,"8,8",0,,"['Boissons', 'Boissons gazeuses']",,,+48%,-100%,+44%,-100%,,,,,,,,,['Red Bull'],,,3,155 kj(37 kcal),0,"8,8",0,0,,,0 g,en faible quantité,0 g,en faible quantité,8.8 g,en quantité élevée,0 g,en faible quantité,+49%,-100%,+49%,-100%,-100%,12,+46%,E,+46%,,,,,,,
1653,Pain Hamburger,3424200000597,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Miel de montagne - PAT’BOUL  de Provence - 250g,3760112141851,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,250 g,['PAT’BOUL  de Provence'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 83003', 'Ampus (Var, France)']",,,,,
1655,Miel biologique Romarin - Perle d'Apis - 500g,3770007545008,['Bocal en verre'],['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",['Bio'],,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,"[""Perle d'Apis""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,luxe Peter poivre,20703677,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Fraicheur de fruits citron vert/menthe,3092718621766,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Pinot Noir,3350781339101,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Jacoby Schwarzer Johannisbeer-nektar,4004661018516,,['France'],[],[],?,38,"0,5","8,4","0,5",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Jus et nectars']",,,-17%,+192%,-20%,+30%,,,,,,,,,['Jacoby'],,,,159 kj(38 kcal),"0,1","8,4","0,01","0,004",,,0.5 g,en faible quantité,0.1 g,en faible quantité,8.4 g,en quantité élevée,0.01 g,en faible quantité,-17%,+252%,-13%,-29%,-29%,12,+118%,E,+118%,,,,,,,
1660,Mini saucisses de lapin - LOEUL ET PIRIOT - 0.630kg,2144582006307,['Barquette polystyrène noire'],['France'],"[""Saucisses de lapin aux herbes de Provence et au piment d'Espelette: Ingrédents: Saucisses de lapin aux herbes de Provence: Viande de lapin "", '84,7%', 'eau', 'gras de lapin', 'boyau naturel de mouton', 'sel', 'herbes de Provence ', '0,13% romarin', 'thym', 'origan', 'basilic', 'marjolaine', 'pcivre', 'épices dextrose', 'aromes naturels', 'vinaigre', ""betterave Viande de lapin issue d'anmaux nourris sans OGM "", '<0,9% ', "" Saucisses de lapin au piment d'Espelette Viande de lapin "", '83,7% ', ' ', 'eau', 'gras de lapin', 'boyau naturel de mouton', 'sel', 'dextrose', ""piment d'Espelette 0,097%"", 'épces et plantes aromatiques', 'exhausteur ce goût monoglutamate de sodium', ""correcteur d'acidité acétate de sodium"", 'antiorydant ascorbate de sodium acide ascorbique', 'acicifiant: lactate de sodium huile de tournesol', 'arôme naturel', "" Viande de lapin issue d'anmaux nourris sans OGM "", '<0,9% ']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,D,"['Viandes', 'Viande de lapin']","['Viande Française', 'Lapin Français']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,0.630 kg,['LOEUL ET PIRIOT'],['Thouars'],['Lait'],4,,,,,,,"['E262i - Acétate de sodium', 'E325 - Lactate de sodium']",,,,,,,,,,,,,,,,,,['Viande de lapin : Origine France'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",Morceaux choisis de lapin,https://www.lapin-et-papilles.fr,,,
1661,SWEET CHILI SAUCE,00163002,,['France'],[],[],?,195,"0,5","38,6","0,5",,,,,,,,,,,,,,,,,,,,,816 kj(195 kcal),"0,1","38,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Sirop cassis,37255329,,['France'],[],[],?,323,"0,5",80,"0,5",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",,,+17%,+310%,+16%,+214%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,1351 kj(323 kcal),"0,1",80,"0,01","0,004",,,,,,,,,,,+9%,+201%,+18%,-58%,-58%,,,,,,,,,,,
1663,Marmelade de mandarine avec du curcuma Bio,8034034860639,,['France'],[],[],?,244,"0,1",60,"0,4",,,['Bio'],,,,,,,,,,,,,,,,,,1021 kj(244 kcal),0,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,MINI-SAUCISSES LAPIN: Herbes Provence + piment d'Espellette - LOEUL ET PIRIOT - 0.400kg,3277820077636,['Barquette polystyrène noire'],['France'],"[""Saucisses de lapin aux herbes de Provence et au piment d'Espelette: ngrédients: Saucisses de lapin aux herbes de Provence: Viande de lapin "", '84,7%', 'eau', 'gras de lapin', 'boyau naturel de mouton', 'sel', 'herbes de Provence ', '0,13% romarin', 'thym', 'origan', 'basilic', 'marjolaine', 'poivre', 'épices', 'dextrose', 'arômes naturels', 'vinaigre', ""betterave Viande de lapin issue d'anmaux nourris sans OGM "", '<0,9%', "" Saucisses de lapin au piment d'Espelette Viande de lapin "", '83,7%', ' ', 'eau', 'gras de lapin', 'boyau naturel de mouton', 'sel', 'dextrose', ""piment d'Espelette 0,097% "", 'épces et plantes aromatiques', 'exhausteur de goût monoglutamate de sodium', ""correcteur d'acidité acétate de sodium"", 'antioxydant ascorbate de sodium acide ascorbique', 'acicifiant: lactate de sodium', 'huile de tournesol', 'aróme naturel', "" Viande de lapin issue d'anmaux nourris sans OGM "", '<0,9%']","['Non végétalien', 'Non végétarien']",?,?,?,?,?,D,"['Viandes', 'Viande de lapin']","['Viande Française', 'Lapin Français']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,0.400 kg,['LOEUL ET PIRIOT'],['Thouars'],['Lait'],4,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E262i - Acétate de sodium', 'E325 - Lactate de sodium']",,,,,,,,,,,,,,,,,,['Viande de lapin : Origine France'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",Morceaux choisis de lapin,https://www.lapin-et-papilles.fr,,,
1665,C4 original - Cellulor - 195,0842595102116,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,195,['Cellulor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Choco Quick,8710671004970,,['France'],[],[],?,369,"3,1","77,6","4,5",,,,,,,,,,,,,,,,,,,,,1544 kj(369 kcal),"1,4",75,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
