,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
1743,BLEDINA BLEDICHEF Fondue de Légumes et Lieu 250g Dès 18 Mois - 250g,3041091436221,,250 g,"['Blédina', 'Bledichef']","['Aliments pour bébé', 'Plats principaux pour bébé']","['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,['France'],"['Eau de cuisson - Riz cuit 16,7 % - Carottes 15,0 % - Lieu 8,40 % ', 'POISSON', ' - Lait écrémé reconstitué à base de lait en poudre 6,00% ', 'LAIT', ' - Courgettes 5,87 % - Pommes de terre - Oignons - Petits pois 4,67 % - Amidon de maïs - Céleri ', 'CELERI', ' - Epinards 2,00 % - Navets - Huiles végétales ', 'colza', 'tournesol', ' - Ail - Sel - Thym - Poivre noir - Laurier - Clou de girofle']",,"['Non végétalien', 'Non végétarien']",3,,,,,,,,,272,+9%,65,+7%,272 kj(65 kcal),+6%,"1,8",-1%,"0,2",-53%,"8,7",+10%,"1,5",-22%,"2,6",+11%,"0,24",+44%,"0,096",+44%,,,,,,,,,,,,,,,,"['Céleri', 'Poisson', 'Lait']",Plat à base de légumes et de poisson adapté à bébé.,,,,,
1744,Passata de tomates bio - Élibio - 680g,3760294960080,A,680 g,['Élibio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate']",,,['France'],"[""Tomates issues de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,4.3 g,en faible quantité,0.01 g,en faible quantité,?,,31,-54%,130 kj(31 kcal),-52%,0,-100%,0,-100%,"4,5",-40%,"4,3",-25%,"1,6",-19%,"0,01",-98%,"0,004",-98%,-6,,A,,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['bouteille en verre'],['Italie'],['Italie'],['Bio'],,,,,,,
1745,Grain d'envie SYRAH -  - 75cl,3175529649195,,75cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Boissons sans alcool', 'Vins sans alcool']","['EMB 21054W', ""Beaune (Côte-d'Or, France)""]",,['France'],"['Vin de cépages Syrah ', 'supérieur à 99%', ' désalcoolisé', 'moût concentré rectifié', 'arômes', 'stabilisant : sorbate de potassium']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",[],4,,,,,,,,,?,,12,-68%,50 kj(12 kcal),-70%,"0,5",+268%,"0,1",+272%,"2,9",-66%,"2,9",-61%,"0,5",+119%,"0,01",-52%,"0,004",-52%,,,,,,,,,,,,['Bouteille en verre'],,,,,,,,,,
1746,Cuir du céréale - Gullón,8410376043679,,,['Gullón'],,,,['France'],"['Cereali integrali 34,5% ', 'farina integrale di frumento', ""fiocchi d'avena"", ""farina integrale d'orzo"", 'farina integrale di segale', 'crema 28% [edulcorante ', 'maltitolo', 'yogurt scremato in polvere 18,5%', 'grasso vegetale ', 'palma e palmisto', 'amido di frumento', 'olio vegetale ', 'girasole altamente oleico', 'latte scremato in polvere', 'emulsionante ', 'lecitina di soia', 'acido lattico', 'edulcorante ', 'maltitolo', 'olio vegetale ', 'girasole altamente oleico', 'farina di frumento', 'fibra vegetale', 'riso soffiato 3% ', 'farina di riso', 'farina di frumento', 'sale', 'latte scremato in polvere', 'agenti lievitanti ', 'carbonato acido di sodio e carbonato acido di ammonio', 'emulsionante ', 'lecitina di soia', 'sale', 'aromi', 'Può contenere tracce di frutta secca', 'Alto contenuto di fibra', 'Contiene naturalmente zuccheri', 'Un consumo eccessivo può avere effetti lassativi', 'ES GALLETA RELLENA DE CREMA SIN AZUCARES AÑADIDOS CON EDULCORANTE', 'Ingredientes: Cereales integrales 34,5% ', 'harina integral de trigo', 'copos de avena', 'harina integral de cebada', 'harina integral de centeno', 'crema 28% [edulcorante ', 'maltitol', 'yogur desnatado en polvo 18,5%', 'grasa vegetal ', 'palma y palmiste', 'almidón de trigo', 'aceite vegetal ', 'girasol alto oleico', 'leche desnatada en polvo', 'emulgente ', 'lecitina de soia', ' ácido lácticol edulcorante ', 'maltitol', ' aceito vogotal ', 'girncol alt ico harinn do trig fihra vogot o7 inflado 20 ', 'h']","['E965 - Maltitol', 'E270 - Acide lactique', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,420,,1757 kj(420 kcal),,17,,"2,2",,65,,"3,8",,7,,"0,6",,"0,24",,,,,,,,,,,,,,,,['Sans sucre ajouté'],"['Gluten', 'Soja']",,,,,,
1747,Salade addict saumon fumé mini blini tzatziki sauce au vinaigre balsamique - U - 320g,3256227549670,,320 g,['U'],"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Plats à base de riz']",,['Magasins U'],['France'],"['Salade composéE 295 g : riz cuisiné 33% [riz long cuit 26% ', 'eau', 'rie long étuvé', 'petits pois doux cuits', 'GRAINES DE SÉSAME noir 0,5%', 'vinaigre d alcool', 'huile de colza', 'sel]', 'salades mélangées verte et rouge 17% ', 'laitue', 'chicorée et roquette', 'préparation à base de FROMAGE blanc', ""de concombres et d'aneth 17% "", 'FROMAGE blanc 7,6%', 'concombres 3,5%', 'CRÈME fraîche fluide', 'huile de colza', 'vinaigre d alcool', 'sel', 'jus de citron concentré', 'aneth 0,1%', 'ail', 'amidon transformé de pomme de terre', 'persil', 'poivre blanc', 'concombres 9,1%', 'SAUMON fumé assaisonné* 8,4% [SAUMON fumé 8,1% ', 'SAUMON Atlantique salmo salar', 'sel', 'huile de colza', 'aneth]', 'tomates cerise', 'citron', 'mini blinis nature 4,5% ', 'farine de BLÉ', 'eau', 'huile de tournesol', 'LACTOSE', 'PROTÉINES DE LAIT', 'LAIT ÉCRÉMÉ en poudre', 'LACTOSÉRUM en poudre', 'OEUF entier et blanc d OEUF déshydratés', 'poudres à lever : carbonates de sodium - diphosphates', 'sel', 'antioxydant : acide ascorbique', ' Pourcentages exprimés sur la salade composée', ' Sauce vinaigrette au vinaigre balsamique ', ' 25g', ' : huile de colza', 'vinaigre balsamique 30% [vinaigre de vin', 'moût de raisins ', 'contient SULFITES', ']', 'huile d olive vierge extra', 'MOUTARDE de dijon ', 'eau', 'graines de MOUTARDE', 'vinaigre d alcool', 'sel', 'sel', 'poivre noir', ' Pourcentage exprimé sur la sauce vinaigrette au vinaigre balsamique', ' Traces éventuelles de céleri et autres céréales contenant du gluten', ' *malgré tous nos soins', ""la présence d'arêtes dans cet ingrédient peut être constatée de manière exceptionnelle""]","['E14XX - Amidons modifiés', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']","['Non végétalien', 'Non végétarien']",4,32 g,en quantité élevée,5.3 g,en quantité élevée,6.7 g,en quantité modérée,2.1 g,en quantité élevée,2084,+273%,500,+223%,2084 kj(500 kcal),+229%,32,+600%,"5,3",+246%,38,+100%,"6,7",+353%,13,+101%,"2,1",+163%,"0,84",+163%,7,+309%,C,+309%,,,,,,,,['Frais'],,,"['Sans arômes artificiels', 'Sans conservateurs', 'Transformé en France', 'Elevage avec une alimentation sans OGM']","['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Graines de sésame', 'Anhydride sulfureux et sulfites', 'GRAINES', 'RUM', 'SAME']",,,,,,
1748,Coulommiers au lait pasteurisé 23% de MG - U - 350g,3256227447037,B,350 g,"['U', 'U Bio']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers', 'Coulomniers']",,"['Magasins U', 'Super U']",['France'],"['Lait de vache pasteurisé* ', 'origine : france', 'sel', 'ferments ', 'dont lait', "" *ingrédient issu de l'agriculture biologique fabriqué dans un atelier utilisant du lait de chèvre""]",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,23 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,1208,+3%,291,+5%,1208 kj(291 kcal),+4%,23,+3%,16,+3%,1,+96%,"0,5",+92%,20,+6%,"1,3",-13%,"0,52",-13%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Frais'],,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Lait Français', 'Transformé en France']",['Lait'],,,,,,
1749,"Darkmilk - Milka - 85g,",7622210642196,E,"85 g,",['Milka'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,,"['Bosnie-Herzégovine', 'Bulgarie', 'Croatie', 'France', 'Macédoine du Nord', 'Roumanie', 'Serbie', 'Slovénie']","['Zahăr', 'masă de cacao', 'unt de cacao', 'lapte praf degresat', 'grăsime din lapte', 'bucățele de zmeură uscată', 'emulsifiant ', 'lecitine din soia', 'aromă naturală de vanilie', 'ulei de rapiță,']",,['Non végétalien'],4,36 g,en quantité élevée,22 g,en quantité élevée,47 g,en quantité élevée,0.1 g,en faible quantité,2320,+2%,557,+1%,2320 kj(557 kcal),+0%,36,+4%,22,+12%,49,-6%,47,-4%,"5,8",-19%,"0,1",-57%,"0,04",-57%,21,-18%,E,-18%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Folie alimentara'],,['Polonia'],,"['Lait', 'Soja']","Milka Darkmilk Ciocolată cu lapte alpin și zmeură uscată, 85g,",,,,,
1750,Luengo Lenteja Pardina - 500g,8410505191110,B,500 g,['Luengo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles brunes']",,,"['France', 'Espagne']",['Lentejas'],,[],,1.9 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0 g,en faible quantité,?,,306,+26%,1280 kj(306 kcal),+25%,"1,9",+29%,"0,3",+15%,36,+9%,"1,2",-3%,24,+35%,0,-100%,0,-100%,-2,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,
1751,Haricot Mungo - les crudettes - 200g,3701035101195,B,200 g,['les crudettes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Frais', 'Légumes secs', 'Aliments à base de plantes frais', 'Pousses', 'Pousses fraîches', 'Pousses de légumineuses fraîches', 'Haricots mungos germés', 'Pousses de haricot mungo frais', 'Haricots mungo']",,['Carrefour'],['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,1.3 g,en faible quantité,0 g,en faible quantité,?,,23,0%,96 kj(23 kcal),+1%,"0,1",-62%,"0,1",+47%,"2,3",-14%,"1,3",+17%,"2,8",+22%,0,-100%,0,-100%,-2,,A,,85.1%,0.0%,0.0%,9.6%,5.3%,0.0%,96,"['barquette plastique', 'Barquette en plastique', 'Film en plastique']",,,"['Bio', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'Bio AB et bio europoéen']",,,http:///www.lescrudettes.com,,,,
1752,4008429089893,4008429089893,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,BLEDICHEF 250g Petites Pâtes et Boeuf Façon Bourguignon Dès 18 mois - 250g,3041091436276,,250 g,"['Blédichef', 'Bledina']","['Plats préparés', 'Plats à base de pâtes']","['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,['France'],"['Eau de cuisson - Carottes 15,0 % - Pâtes cuites 15,0 % ', 'Semoule de blé dur ', 'GLUTEN', ""Blanc d'œuf "", 'OEUFS', ' - Viande de boeuf 8,00 % - Champignons 6,00 % - Oignons - Purée de tomates à base de concentré - Amidon de maïs - Céleri ', 'CELERI', ' - Poireaux - Huiles végétales ', 'colza', 'tournesol', ' - Ail - Persil - Sel - Thym - Laurier - Clou de girofle']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.5 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.25 g,en faible quantité,287,-59%,68,-62%,287 kj(68 kcal),-61%,"2,5",-60%,"0,7",-71%,"8,1",-61%,"0,9",-63%,"2,8",-62%,"0,25",-72%,"0,1",-72%,-1,-127%,A,-127%,,,,,,,,['Plastique'],,,,"['Céleri', 'Œufs', 'Gluten']",Plat à base de légumes et de viande adapté à bébé.,,,,,
1754,Pierogi Russie - Swojska Chata - 400g,5901398069974,,400 g,['Swojska Chata'],['pl:Pierogi'],,['Biedronka'],"['France', 'Pologne']","['mąka pszenna', 'odtworzone ziemniaki z platków ziemniaczanych 26%', 'woda', 'ser twarogowy 10,5 % z mleka', 'cebula smażona 5% ', 'cebula 67%,olej rzepakowy', 'thuszczwieprzowy', 'sól', 'olej rzepakowy', 'pieprz', 'substancja konserwująca: sorbinian potasu', ' Może zawierać soję', 'siarczyny', 'seler', 'gorczycę']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",[],3,4.1 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en faible quantité,0.98 g,en quantité modérée,690,,164,,690 kj(164 kcal),,"4,1",,"0,7",,25,,"1,4",,"5,7",,"0,98",,"0,392",,-1,,A,,,,,,,,,['Plastik'],,,,"['Gluten', 'Lait']",,,,,,
1755,Purées de fruits - Biocoop - 1080g,3760121214089,,1080 g,['Biocoop'],,,"['Biocoop', 'Biocoop Caluire']",['France'],[],,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,"0,5",,"0,1",,12,,11,,"0,5",,0,,0,,,,,,,,,,,,,"['Bouchon en plastique', 'Etui en carton']",,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans conservateurs']",,,,,,,
1756,Préparation pour cookies bonbons,8717163855218,,,,,,,['France'],[],,[],,,,,,,,,,?,,413,,1728 kj(413 kcal),,20,,12,,50,,26,,"6,9",,"0,41",,"0,164",,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
1757,Brie -  - 200g,4061458043250,D,200 g,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,,"['France', 'Allemagne']",[],,[],,32 g,en quantité élevée,22 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,?,,369,+19%,1544 kj(369 kcal),+19%,32,+24%,22,+21%,"0,1",-86%,"0,1",-74%,17,-10%,"1,2",-25%,"0,48",-25%,14,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
1758,Cacahuètes enrobées goût Wasabi - Auchan - 125g,8435177055515,D,125 g,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes']",,['Auchan'],['France'],[],,[],,23 g,en quantité élevée,2.7 g,en quantité modérée,8.4 g,en quantité modérée,3.2 g,en quantité élevée,?,,473,-21%,1979 kj(473 kcal),-20%,23,-50%,"2,7",-63%,49,+212%,"8,4",+46%,14,-42%,"3,2",+236%,"1,28",+236%,3,-50%,C,-50%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,
1759,Yaourts aux fruits ligne fine - Leader Price - 2kg,3263858822812,,2 kg,['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,['Leader Price'],['France'],"['Lait écrémé 81% - fruits ', 'fraise 13% ou pêche 11% ou cerise 11% ou abricot 9,5 % ou ananas 7,9% ou citron 4,3%', ' - poudre de lait écrémé - protéines de lait - amidon transformé de maïs - jus de carotte concentré - épaississants : pectines', ""carraghénanes - arômes naturels - concentré de citrouille - correcteur d'acidité: citrates de sodium - jus de carotte noire et citron concentrés - édulcorants : acésulfame-K"", 'sucralose - jus de citron concentré - concentré de carotte - ferments lactiques ', 'contient lait', '-vitamine D', ' Lait écrémé et poudre de lait écrémé origine : France Traces de fruits à coque', 'céréales contenant du gluten et æufs', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E950 - Acésulfame K', 'E955 - Sucralose']",['Non végétalien'],4,0 g,en faible quantité,0 g,en faible quantité,5.8 g,en quantité modérée,0.15 g,en faible quantité,?,,40,-57%,167 kj(40 kcal),-57%,0,-100%,0,-100%,"6,2",-44%,"5,8",-43%,"3,7",-2%,"0,15",+30%,"0,06",+30%,-1,-133%,A,-133%,,,,,,,,"['Carton', 'Plastique']",,,,['Lait'],,,,,,
1760,Punch Des îles au rhum blanc & au rhum ambré - Old Nick - 70cl,3012993067356,C,70 cl,['Old Nick'],"['Boissons', 'Boissons alcoolisées', 'Punchs', ""Cocktail type punch à 16% d'alcool""]",,['Leclerc'],"['Belgique', 'France']","['Rhum 99,8% du titre volumique ', '94,3% de rhum blanc', '5,5% de rhum ambré', 'jus à base de concentrés ', 'citron vert', 'orange', ' passion', 'ananas', 'sucre', 'arômes', 'émulsifiants E414', 'E445', 'colorants : E102', 'E110']","[""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,26.7%,12.2%,37.2%,15.7%,6.3%,1.7%,53,['Verre'],,['Bardinet S.A.S. 33290 Blanquefort'],,,,,,,,
1761,Cuisine et moi,3576562001009,,,,,"['EMB 47091K', 'Estillac (Lot-et-Garonne, France)']",,['France'],[],,[],,,,,,,,,,?,,169,,707 kj(169 kcal),,16,,"3,2",,"5,9",,"0,5",,"6,6",,0,,0,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France', 'Sans conservateurs']",,,,,,,
1762,Baguette bio - leader price - 250g,3263856511015,B,250 g,['leader price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains de tradition française', 'Baguettes de tradition française']",,['Leader Price'],['France'],"['Farine de blé* - eau - levain de seigle dévitalisé déshydraté* - sel - levure', "" * Ingrédients issus de l'Agriculture Biologique Traces de: soja - sésame - ocuf - lait-fruits à coque""]",,[],3,1 g,en faible quantité,0.18 g,en faible quantité,3.5 g,en faible quantité,1.08 g,en quantité modérée,?,,242,0%,1013 kj(242 kcal),+0%,1,-17%,"0,18",+25%,"49,2",-2%,"3,5",+79%,"8,1",+3%,"1,08",-5%,"0,432",-5%,-1,-131%,A,-131%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,['Baguette'],['Bio'],['France'],['Bio'],['Gluten'],,,,,,
1763,Pains au lait Bio - Pasquier,3256540992849,B,,['Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,['France'],[],,[],,11 g,en quantité modérée,2 g,en quantité modérée,11 g,en quantité modérée,1.1 g,en quantité modérée,?,,349,-1%,1460 kj(349 kcal),-1%,11,-4%,2,-52%,55,+4%,11,-17%,"9,5",+11%,"1,1",+8%,"0,44",+8%,11,-17%,D,-17%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1764,Sel De Mer,3183280020443,,,,,,,['France'],['SEL DE MEBALEIsRANDS ESPAsckD'],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Maxi york - Realvalle,4056489044550,,,['Realvalle'],['es:Embutidos-vegetales'],,,"['France', 'Espagne']","['ES Fiambre de magro de cerdo cocido', 'Ingredientes: 55% paleta de cerdo', 'agua', 'almidón', 'sal', 'gelificante: carrage - nanos', 'estabilizante: trifosfatos', 'aroma', 'concentrado de patata dulce', 'antioxidante: eritorbato sódico', 'conservador: nitrito sódico', 'Puede contener trazas de soja', 'Envasado en atmósfera protectora', 'Conservación: Conservar refrigerado entre 0°C y  5°C', 'Consumir preferentemente antes del:/Lote: ver impresión', 'Envasado en España,']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,2 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en faible quantité,2.3 g,en quantité élevée,?,,93,,389 kj(93 kcal),,2,,"0,8",,"7,7",,"0,7",,11,,"2,3",,"0,92",,11,,D,,,,,,,,,,,,,,,,,,,
1766,Kras Express Choc Drink Mix,3850102111152,,,['Kras'],,,,"['Croatie', 'France']","['Exple Priore Prepa 2-45 promge Pu 24 Vmin D BUZ Bwew Dorutal Kal Expres ideatan je d Vitamins an in 759 - 15gtalEgress 200 minia g bpress 200m PUMR Preporucen unos7 laink 15apes ee poceses nspaces ce', '400 32000 kcal/Rerenusa dasu bu 400 200kPpi s Nabolje upotnebiti do/ uporabno najmanj dol Yourpebnweo Ap 28,04,2021 - L201191 30g/11 wdatinom/ Hraniti na suhem in hladnem/ NETO KOLIČINA/ HETD NET WT,/POIDS ANET ', 'vitamin A', 'vitamin aC d AS prerambena industrija d,d', 'Ravnice 48', 'LWTAMINIMA IKALCIEM', 'Sastojd Secer', 'kakaov vsebuje mieke Pripoa igator sojin lectin', 'aroma', 'vitamini ane Ctamin', 'riboflavin', 'niacin', 'vitamin DADENA MUESAVINA S KAKAOVIM PRAHOM 86', 'pantotenska ial oer a 29%', 'dekstroza', 'minerali ', 'aldjev laktat', 'Expressa v skodelia ap as porekla Hrvaška Uvanl Lubljana Cesta na B 0 Kakai dieiovi min 23%', 'Može PA Jarpet Ka M prema', 'anijea 24 2oce ', '15g', ' Kras PAB CO HAMAN dnog miljeka ', '200ml', 'Zenja Coccojur esep a etegovinu KRAS trgovina AeKCTpo4', 'Mepan']",,[],4,,,,,,,,,?,,349,,1460 kj(349 kcal),,"2,5",,"1,5",,73,,73,,"5,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1767,Crêpe jambon emmental - Auchan - 300g,3596710468683,C,300g,['Auchan'],"['Plats préparés', 'Crêpes jambon fromage champignon']",,['Auchan'],['France'],[],,[],,2 g,en faible quantité,0.8 g,en faible quantité,2.7 g,en faible quantité,0.69 g,en quantité modérée,?,,116,-28%,485 kj(116 kcal),-28%,2,-72%,"0,8",-65%,17,+27%,"2,7",+30%,7,+0%,"0,69",-27%,"0,276",-27%,0,-100%,B,-100%,67.2%,14.4%,5.4%,3.9%,1.9%,7.1%,56,,,,,,,,,,,
1768,Céréales Coco Pop's Original Kellogg's - 2x550g - 1100g,5053827196994,C,1100 g,"[""Kellogg's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales extrudées', 'Céréales soufflées', 'Céréales au chocolat', 'Céréales fourrées', 'en:breakfast-cereals-filled-with-chocolate-or-chocolate-hazelnuts-fortified-with-vitamins-and-chemical-elements']",,,['France'],"['Riz', 'Sirop de glucose', 'Sucre', 'Cacao maigre en poudre', 'Pâte de cacao', 'Sel', ""Extrait de malt d'ORGE"", 'Arômes', ' Vitamines et Minéraux: Vitamines ', 'Niacine', 'B6', 'B2', 'B1', 'Acide folique', 'D', 'B12', ' et Fer']",,['Sans huile de palme'],4,1.9 g,en faible quantité,0.9 g,en faible quantité,17 g,en quantité élevée,0.65 g,en quantité modérée,1621,-1%,382,0%,1621 kj(382 kcal),+1%,"1,9",-34%,"0,9",+8%,84,+6%,17,-24%,"6,3",-17%,"0,65",+73%,"0,26",+73%,3,-48%,C,-48%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Sachets plastiques', 'Boites carton']",,,['Sans colorants'],['Gluten'],"GRAINS DE RIZ SOUFFLÉS AU GOÛT CHOCOLAT, ENRICHIS EN VITAMINES ET EN FER.",,,,,
1769,Mini marbes chocolat - Sondey - 270g,20298784,,270 g,['Sondey'],,,,['France'],[],,[],,,,,,,,,,?,,425,,1778 kj(425 kcal),,22,,"3,6",,50,,24,,"5,5",,"0,65",,"0,26",,,,,,,,,,,,,['Barquette'],,,,,,,,,,
1770,Bio Farro Integrale Fettucia - De Cecco - 500g,8001250009555,,500 g,['De Cecco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'épeautre"", ""Pâtes d'épeautre complètes ou semi-complètes""]",,,['France'],"[""100% farine complete d'épeautre biologique "", 'tricum dicoccum', ' Peut contenir des traces de soja']",,[],1,2.4 g,en faible quantité,0.4 g,en faible quantité,2.6 g,en faible quantité,0 g,en faible quantité,1467,,347,0%,1467 kj(347 kcal),+0%,"2,4",+2%,"0,4",-14%,64,-0%,"2,6",-18%,14,+6%,0,-100%,0,-100%,-6,,A,,,,,,,,,,,,"['Bio', 'Fabriqué en Italie']",,,,,,,
1771,Haricots verts extra fins - U - 4/4445g,3256227458941,,4/4 445 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,['Magasins U'],['France'],"['Haricots verts coupés', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.59 g,en quantité modérée,110,-40%,26,-43%,110 kj(26 kcal),-42%,"0,5",-5%,"0,1",-13%,"3,1",-47%,"0,9",-63%,"1,9",-10%,"0,59",-24%,"0,236",-24%,-7,,A,,,,,,,,,['boîte'],,,"['Fruits et Légumes de France', 'Transformé en France', 'Légumes de France']",,,,,,,
