,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,labels,markets,link,generic_name,palm_ingredients,producer_info,brand_owner
969,Pomme Cassis Framboise - Monoprix - 1L,3350033398207,C,['Monoprix'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']","['EMB 29209D', 'Plouvien (Finistère, France)']",['France'],"['Jus de fruits à base de concentrés 75% ', 'raisin 44%', 'pomme 23%', 'cassis 7%', 'aronia 1%', ' - eau -  purée de fruits à base de concentré 8% ', 'pomme 4%', 'framboise 4%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,48,+14%,201 kj(48 kcal),+14%,0,-100%,0,-100%,12,+20%,10,+5%,0,-100%,0,-100%,0,-100%,4,-63%,C,-63%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,"['Brique', 'Carton', 'Bouchon', 'Plastique']",,,,['Monoprix'],,"Nectar de raisin, de pomme, de cassis, de framboise et d'aronia à base de jus et purées concentrés",,,
970,Rillettes de Connerré - Maison Prunier - 125g,3350240860115,,['Maison Prunier'],,,['France'],"['viande de porc français gras de porc français', 'sel', 'poivre', ' ', '117g de viande de porc pour - 100g de produit fini', ' Poids oméga 3 pour 100g : 1,2g 125ge']",,,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,366,,1531 kj(366 kcal),,32,,12,,"0,5",,"0,5",,19,,"1,4",,"0,56",,,,,,,,,,,,,125 g,,,,"['Viande Française', 'Viande Porcine Française', 'Entrepreneurs + Engagés']",,,,,,
971,Graines de lin,3352396200425,,,,,['France'],[],,,[],,,,,,,,,,?,,528,,2209 kj(528 kcal),,42,,4,,29,,1,,20,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
972,Fraises rondes du Lot et Garonne variété Malling -  - 500g,3356490001056,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,['France'],['fraises'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.02 g,en faible quantité,6.9 g,en quantité modérée,,,?,,36,-80%,151 kj(36 kcal),-80%,"0,5",-31%,"0,02",-87%,7,-81%,"6,9",-75%,"0,7",-55%,,,,,,,,,,,,,,,,500 g,['barquette et film plastique'],,['47190 Aiguillon'],,['Carrefour'],,fraises,,,
973,Tomates cerise à croquer crues 500 g - Kultive - 500g minimum,3361310408151,B,['Kultive'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks salés', 'Apéritif', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches', 'Crudités']","['EMB 89171D', 'Foissy-sur-Vanne (Yonne, France)']",['France'],['Tomate cerise Catégorie Extra'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,500 g minimum,"['Barquette', 'Plastique']","['France', '89190 Foissy-sur-Vanne', 'Bourgogne', 'Yonne']","['89190 Foissy-sur-Vanne', 'Yonne', 'Bourgogne', 'France']","['en:extra-class', 'Origine France']",['Monoprix'],http://www.kultive.fr/site/pages_fr/pg_conv-tomates.asp,Tomates cerise,,,
974,Riz Jasmin Extra Parfume - Oiseaux Celestes - 1kg,3364699010434,C,['Oiseaux Celestes'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",,['France'],['Riz Thaï'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.9 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,338,-3%,1414 kj(338 kcal),-4%,"0,9",-14%,"0,4",+56%,76,+1%,0,-100%,"6,6",-10%,0,-100%,0,-100%,-3,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1kg,['Sachet plastique'],['Mali'],,,,,Riz thaï,,,
975,Saigon Export - Saigon Beer - 355ml,3364699784045,C,['Saigon Beer'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,['France'],"['eau', ""malt d'orge"", 'céréales', 'houblon', 'antioxydants ', 'E300', 'E223', 'E224']","['E300 - Acide ascorbique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,355 ml,"['Bouteille', 'Verre']",,['Vietnam'],,,,Bière,,,
976,Oméga 3 DOUX tartines & cuisson - St Hubert - 255g,3366321051945,C,['St Hubert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées']",,['France'],"['Huiles végétales 50% ', 'colza', 'palmiste', 'lin', 'palme', 'eau', 'émulsifiants ', ""mono et diglycérides d'acides gras"", 'lécithine de soja', 'sel', 'arômes ', 'lait', 'colorant ', 'bêta-carotène', 'vitamine B1']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E160ai - Bêta-carotène']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,50 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,1850,-8%,450,-4%,1850 kj(450 kcal),-5%,50,-3%,14,-5%,0,-100%,0,-100%,0,-100%,"0,4",-31%,"0,16",-31%,10,-9%,C,-9%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,255 g,"['Barquette', 'Plastique']",,['Lorraine'],"['Point Vert', 'Sans matière grasse hydrogénée', 'Sans conservateurs', 'Omega-3', 'Riche en oméga 3 (ALA) : 5.4\xa0%']",,http://www.sthubert.fr/st-hubert-omega-3/les-produits/,"Matière grasse à tartiner et à cuire allégée (50% de MG), enrichie en vitamine B1",['Huile de palme'],,
977,Saisir dorer rôtir - Le Fleurier - 500ml,3366321052256,,['Le Fleurier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",,['France'],"['Huiles végétales 77% ', 'colza', 'colza totalement hydrogénée ', ' en proportion variable', 'eau', 'sel', 'émulsifiants ', 'mono et diglycérides d’acides gras', 'lécithine de tournesol', 'acidifiant ', 'acide citrique', 'arômes', 'vitamine E', 'colorant ', 'bêta-carotène']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E330 - Acide citrique', 'E160ai - Bêta-carotène']",,['Sans huile de palme'],4,69 g,en quantité élevée,7.5 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,625,-25%,2615 kj(625 kcal),-25%,69,-25%,"7,5",-50%,0,-100%,0,-100%,0,-100%,"0,9",+2232%,"0,36",+2232%,11,+33%,D,+33%,,,,,,,,500 ml,"['Flacon', 'Bouteille']",,,"['Sans conservateurs', 'Omega-3', 'Riche en Oméga-3', 'en:palm-oil-free', 'Riche en vitamine E']","['Leclerc', 'Carrefour', 'Géant', 'Cora', 'Intermarché', 'Casino', 'Match']",,Liquide pour cuisson à base de matière grasse 100% végétale,,,
978,Cheese burger - Daunat,3367651006810,E,['Daunat'],"['Sandwichs', 'Cheeseburgers', 'Hamburgers']",,['France'],"['pain 49% ', 'Farine de blé', 'sucre', 'levure', 'sel', 'gluten de blé', 'graines de sésame', 'garniture 28% ', 'Steak haché cuit de viande bovine origine France', 'Sauce 12', '5% ', 'eau', 'sucre', 'concentré de tomates', ""d'alcool"", 'amidon transformé', 'sel', ""d'épices avec autres arômes naturels"", 'moutarde de dijon 7', '5% ', 'eau', 'graines de sel', 'conservateur : sulfite acide de sodium', 'Emmental fondu fabriqué en France 7', '5% ', 'fromages dont emmental 3', '8%', 'eau', 'beurre', 'poudre de lait écrémé', 'protéines de lait', 'épaississants ', 'gomme xanthane et farine de graines de caroube', 'Cornichons saumurés égouttés 3% ', 'cornichons', 'eau', 'vinaigre', 'sel', 'conservateur : metafisulfite de potassium']","['E14XX - Amidons modifiés', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube']","['Gluten', 'Lait', 'Moutarde', 'Graines de sésame']",['Non végétalien'],4,10.8 g,en quantité modérée,1.9 g,en quantité modérée,4.7 g,en faible quantité,1.1 g,en quantité modérée,?,,275,+5%,1151 kj(275 kcal),+6%,"10,8",-13%,"1,9",-64%,"30,6",+31%,"4,7",+8%,"12,9",-3%,"1,1",-16%,"0,44",-16%,4,-69%,C,-69%,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,,,,,"['Viande Française', 'Fabriqué en France', 'Sans additifs', 'Viande-bovine-francaise']",,,,,,
979,Panna Cotta au caramel - U Saveurs - 2x 120g + 1offert,3368952238948,B,"['U Saveurs', 'U']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Panna cottas au caramel']",,['France'],"['Préparation à base de crème 87,5%: crème fraîche ', 'italie', ' 35%', 'sirop de glucose', 'lait écrémé en poudre réhydraté ', 'eau', 'lait écrémé en poudre', 'sucre', 'fibre végétale', 'huile de coco', 'lait écrémé en poudre', 'alcool éthylique', 'épaississants : agar-agar - gomme tara', ""émulsifiant : mono - et diglycérides d'acides gras"", 'arôme', ' sauce au caramel 12,5% : caramel 6,25% ', 'sucre', 'eau', 'eau', 'sirop de glucose', 'amidon de maïs', 'épaississants : gomme xanthane', ' teneur en alcool : 1', '3%', "" certains ingrédients de ce produit ne proviennent pas d'italie"", ""traces éventuelles d'oeufs et de blé""]","['E1510 - Éthanol', 'E406 - Agar-agar', 'E417 - Gomme tara', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,14.3 g,en quantité modérée,10.5 g,en quantité élevée,22.5 g,en quantité élevée,0.08 g,en faible quantité,1139,,273,+30%,1139 kj(273 kcal),+29%,"14,3",+31%,"10,5",+37%,"30,2",+26%,"22,5",+14%,"1,9",-24%,"0,08",-28%,"0,032",-28%,14,+19%,D,+19%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,2 x 120 g + 1 offert,['Frais'],,,"['Sans colorants', 'Sans conservateurs', ""Certains ingrédients ne proviennent pas d'Italie""]",['Magasins U'],,,,,
980,Yaourt Framboise - Marie Morin - 140g,3372900900122,B,['Marie Morin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la framboise']",,['France'],"['lait entier*', 'préparation de fruits* 12% ', 'framboise* 50%', 'sucre de canne*', 'jus de citron concentré*', 'poudre de lait*', 'sucre de canne*', 'ferments lactiques', "" *Issus de l'agriculture biologique"", ' Fabriqué dans un atelier utilisant des oeufs', 'du gluten et des fruits à coques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3.4 g,en quantité modérée,2.2 g,en quantité modérée,17 g,en quantité élevée,0.13 g,en faible quantité,?,,120,+22%,502 kj(120 kcal),+22%,"3,4",+15%,"2,2",+22%,18,+36%,17,+40%,"4,4",+24%,"0,13",+19%,"0,052",+19%,4,+59%,C,+59%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,140 g,,,,"['Bio', 'Bio européen']",,,,,,
981,Yaourts Brassés Bio Abricot de Provence - Marie Morin - 280g (2 * 140g),3372900900269,B,['Marie Morin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', ""Yaourts à l'abricot"", 'Yaourts brassés aux fruits']",,['France'],[],,,[],,3.3 g,en quantité modérée,2.5 g,en quantité modérée,11.8 g,en quantité modérée,0.13 g,en faible quantité,?,,105,+5%,439 kj(105 kcal),+5%,"3,3",+5%,"2,5",+28%,"14,3",+2%,"11,8",-9%,"4,5",+29%,"0,13",+15%,"0,052",+15%,3,-4%,C,-4%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,280 g (2 * 140 g),"['Frais', 'Pot', 'Verre', 'Carton', 'Plastique']","['France', 'Provence']",,"['Bio', 'Bio européen', 'Sans additifs', 'Sans conservateurs', 'AB Agriculture Biologique', 'Tidy man']",['Magasins U'],,,,,
982,Red Curry Paste - Mae Anong Brand - 250g,3379140627116,,['Mae Anong Brand'],"['Epicerie', 'Sauces', 'Pâtes de curry', 'Pâtes de curry rouges']",,['France'],['Oignon-galanga-citronnelle-ail-piment-sel-coriandre-cumin-glutamate-arôme-E621'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,[],4,2.3 g,en faible quantité,0.46 g,en faible quantité,10.2 g,en quantité modérée,8.5 g,en quantité élevée,?,,135,-17%,565 kj(135 kcal),-15%,"2,3",-74%,"0,46",-67%,"23,97",+76%,"10,17",+95%,"5,17",+69%,"8,5",+14%,"3,4",+14%,13,+10%,D,+10%,,,,,,,,250 g,,,,,,,,,,
983,Lait demi ecreme UHT BASQUILAIT,3379760161304,D,['Basquilait'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,['France'],[],,,[],,1.5 g,en faible quantité,1.1 g,en faible quantité,4.5 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,5",-11%,"1,1",+7%,"4,7",-2%,"4,5",-6%,"3,5",+8%,"0,1",-10%,"0,04",-10%,-1,-2120%,A,-2120%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,
984,Coude blé & Quinoa tomate - Primeal - 500g,3380380000522,,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,['France'],"['semoule supérieure de blé dur* ', '83,5%', 'quinoa* ', '10%', 'tomate ', '6%', 'ail*', "" *issus de l'agriculture biologique"", "" Peut contenir des traces d'oeufs""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.3 g,en faible quantité,6.1 g,en quantité modérée,0.1 g,en faible quantité,?,,375,+13%,1569 kj(375 kcal),+13%,"1,5",-42%,"0,3",-57%,"75,6",+22%,"6,1",+120%,"11,4",-2%,"0,1",-53%,"0,04",-53%,-4,,A,,,,,,,,,500 g,"['Sachet', 'Plastique']",,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,
985,Graines de chia - Primeal - 250g,3380380070792,D,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,['France'],[],,,[],,31.6 g,en quantité élevée,3.2 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,?,,450,+0%,1883 kj(450 kcal),+1%,"31,6",+3%,"3,2",+3%,"2,3",-81%,"0,5",-9%,"22,9",+14%,0,-100%,0,-100%,-2,-322%,A,-322%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,250 g,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
986,Flakes quinoa bio - INGRID COSMETICS - 200g,3380380083716,B,['INGRID COSMETICS'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",,"['Belgique', 'France']","['maïs', 'quinoa', '25%', 'sucre de canne roux', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,3 g,en quantité modérée,1 g,en faible quantité,11 g,en quantité modérée,1.3 g,en quantité modérée,?,,375,-10%,1569 kj(375 kcal),-10%,3,-76%,1,-69%,78,+25%,11,-38%,7,-27%,"1,3",+465%,"0,52",+465%,7,+35%,C,+35%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,200 g,['Sachet'],,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Bio'],,Pétales de mais et quinoa (25%),,,
987,Farine de Sarrasin - Primeal - 1kg,3380390121309,A,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,['France'],['Sarrasin complet'],,,[],,3.3 g,en quantité modérée,0.7 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,?,,346,-1%,1448 kj(346 kcal),-1%,"3,3",+20%,"0,7",+32%,"58,2",-14%,"0,8",-41%,"13,8",+19%,"0,01",-36%,"0,004",-36%,-6,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,1 kg,['Sachet'],['France'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture France']",,,,,,
988,Lentilles Corail Bio - Primeal - 500g,3380390202404,B,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",,"['Belgique', 'France']","['lentilles corail*', '*issu', 'e', 's', "" de l'agricu ture biologique""]",,,[],1,1.5 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.03 g,en faible quantité,?,,346,+3%,1448 kj(346 kcal),+3%,"1,5",-7%,"0,2",-19%,"51,5",+6%,"0,9",-50%,27,+8%,"0,03",+6%,"0,012",+6%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,500 g,['Sachet plastique'],['Turquie'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture-turquie']",,,,,,
989,Tartinable fromage de chèvre - Les Bons Mets Bio - 90g,3382564319611,,['Les Bons Mets Bio'],"['Produits à tartiner', 'Produits à tartiner salés']",,['France'],"['Crème fraiche ', 'lait', 'fromage de chèvre ', '25%', ' ', 'lait', 'eau', 'flocon de pomme de terre ', 'pomme de terre', 'extrait de romarin', 'noix ', '4,25%', ' ', 'fruits à coques', 'sel', 'poivre', "" Issus de l'agriculture biologique""]",['E392 - Extrait de romarin'],"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,22 g,en quantité élevée,13 g,en quantité élevée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,244,-18%,1021 kj(244 kcal),-17%,22,-16%,13,+68%,"5,5",+57%,"0,9",-29%,"6,6",-25%,1,-24%,"0,4",-24%,17,+36%,D,+36%,,,,,,,,90 g,['Verre'],,,"['Bio', 'Bio européen', 'FR-BIO-16', 'Fabriqué en France', 'Sans conservateurs', 'Sans colorant ni conservateur ajouté']",,,Spécialité à base de fromage de chèvre et noix,,,
990,Madeleines de Liverdun - J.M. Châtelain - 500g,3383390012509,B,"['J.M. Châtelain', 'Madeleines de Liverdun', 'Biscuiterie Chenel']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],"['Farine de blé', 'sucre', 'œufs frais ', '26 %', 'beurre ', '15 %', 'lait entier', 'sirop de sucre inverti', 'sirop de glucose', 'poudre à lever ', 'diphosphate et carbonate de sodium', 'sel', 'arôme naturel']","['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,18 g,en quantité modérée,11 g,en quantité élevée,36 g,en quantité élevée,0.44 g,en quantité modérée,?,,432,-2%,1807 kj(432 kcal),-2%,18,-21%,11,+59%,60,+14%,36,+31%,"6,6",+16%,"0,44",-46%,"0,176",-46%,23,+25%,E,+25%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,500 g,"['Carton', 'boîte', 'Plastique', 'Sachet']",,"['France', 'Lorraine']","['Fabriqué en France', 'Pur beurre', 'La Lorraine notre signature']",,,,,,
991,Dulce De Leche - Raffolait,3383670001162,,['Raffolait'],,,"['Belgique', 'France']","['Lait entier frais* ', '61%', 'sucre', 'lait écrémé en poudre ', '8,4%', ' arôme naturel', ' Sans gluten/ *origine : France']",,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,288,,1205 kj(288 kcal),,"3,5",,"1,9",,57,,56,,"7,4",,"0,35",,"0,14",,,,,,,,,,,,,,,,,['Sans gluten'],['Delhaize'],,,,,
992,Clusters Amandes - Nestlé - 375g,3387390330533,C,['Nestlé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,"['Belgique', 'France']",[],,,[],,7.3 g,en quantité modérée,1.4 g,en faible quantité,20 g,en quantité élevée,1 g,en quantité modérée,?,,393,-2%,1644 kj(393 kcal),-2%,"7,3",-16%,"1,4",-36%,67,+0%,20,+20%,10,+7%,1,+180%,"0,4",+180%,8,+48%,C,+48%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,375 g,['Carton'],,,,['Delhaize'],,,,,
993,Ovive truite fumée tranche 3x2,3392780002754,E,['Ovive'],"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,['France'],[],,,[],,7.6 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,160,-2%,669 kj(160 kcal),-2%,"7,6",-3%,"1,3",-20%,"0,5",+20%,"0,5",+70%,22,-3%,"2,8",+2%,"1,12",+2%,12,+2%,D,+2%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,
994,Chocolat au lait céréales - bonneterre,3396410024123,D,['Bonneterre'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux céréales', 'en:cereal-milk-chocolates']",,['France'],"['Sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', 'pâte de cacao* ', 'pétales de maïs* 6% ', 'maïs*', 'sel', 'émulsifiant: lécithine de tournesol', 'céréales* 2,4% ', 'farine de riz*', 'farine de maïs*', 'sel', 'vanille moulue*', ' Cacao: 36% minimum dans le chocolat', "" *Ingrédients issus de l'Agriculture Biologique""]",['E322i - Lécithine'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,35 g,en quantité élevée,21 g,en quantité élevée,45 g,en quantité élevée,0.24 g,en faible quantité,?,,547,+4%,2289 kj(547 kcal),+4%,35,+19%,21,+17%,49,-14%,45,-8%,7,-4%,"0,24",-38%,"0,096",-38%,26,-0%,E,-0%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,['Suisse'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lécithine', 'Sans lécithine de soja']",,,,,,
995,CHORIZO SARTA - INGRID COSMETICS - 300g,3396410047467,D,['INGRID COSMETICS'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",,['France'],"['Viande de porc 70%', 'Graisse de porc 30%', 'Ail', 'Paprika', 'Origan', 'Sel marin']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,34 g,en quantité élevée,14 g,en quantité élevée,0.5 g,en faible quantité,3.3 g,en quantité élevée,?,,422,+4%,1766 kj(422 kcal),+3%,34,0%,14,+9%,"1,1",-62%,"< 0,5",-72%,28,+22%,"3,3",-12%,"1,32",-12%,25,+5%,E,+5%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,300 g,['Sachet en plastique'],,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,
996,Dessert De Fruits Pomme - Evernat,3396411217043,,['Evernat'],,,['France'],"['Parba romme sans sacres ajoŒtZs Ingrédient : Purée de pomme* 100%', "" * Ingrédient issu de l'Agriculture Biologique""]",,,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,"0,6",,"0,2",,12,,"10,3",,"0,3",,0,,0,,,,,,,,,,,,,,,,,['Bio'],,,,,,
997,Epicerie / Thé Bio Et équitable / Thé Vert - Pages,3398984505640,B,['Pages'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],"['Thé vert bio 51 Reine des prés bio', 'Arômes naturels', 'Cranberry bio 1 %', 'Pêche bio 1%', 'Pomme bio']",,,[],4,,,,,,,,,?,,1,-92%,4 kj(1 kcal),-92%,"0,1",+2%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-76%,B,-76%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,['Bio'],,,,,,
