,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
1823,Pain Maïs et Graines de Tournesol - 300g,3464387031847,300 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,290,,1213 kj(290 kcal),,"3,3",,"0,5",,55,,"5,4",,"9,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
1824,Riz Long Grain - Graines de Nature Seeds of change - 375,5410673002792,375,,['Graines de Nature Seeds of change'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],['Riz long grain bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,131,-61%,548 kj(131 kcal),-61%,"0,5",-53%,"0,1",-58%,29,-60%,"< 0,5",+74%,"2,8",-62%,"0,01",-47%,"0,004",-47%,0,,B,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
1825,Compote en pot - Andros,3608584513670,,,['Andros'],,"['Sans colorants', 'Sans conservateurs']",,,,['France'],[],[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"0,2",,0,,12,,12,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,
1826,Gerble,4987035035015,,,,,,,,,['France'],[],[],,,,,,,,,,?,,185,,774 kj(185 kcal),,"7,6",,4,,"28,4",,"21,8",,"1,5",,"0,008",,"0,003",,,,,,,,,,,,,,,,,,,,,
1827,Truite au fromage - Guyader,3276770245256,,,['Guyader'],,['Sans colorants'],,,,['France'],[],[],,,,,,,,,,?,,244,,1021 kj(244 kcal),,21,,11,,"2,5",,"2,5",,11,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
1828,Jambon de Bayonne  igp 6 tranches,3289480000213,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne']",,,,,['France'],[],[],,15.3 g,en quantité modérée,6.8 g,en quantité élevée,0.5 g,en faible quantité,4.5 g,en quantité élevée,?,,254,+4%,1063 kj(254 kcal),+3%,"15,3",+9%,"6,8",+14%,"0,5",-21%,"0,5",+8%,"28,5",-3%,"4,5",-6%,"1,8",-6%,19,+6%,E,+6%,E,,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,,
1829,Weigt care,5410063021464,,,,,,,,,['France'],[],[],,,,,,,,,,?,,375,,1569 kj(375 kcal),,12,,"5,1",,38,,23,,24,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1830,Fromage Blanc - La Ferme de Viltain,3760074380572,,,['La Ferme de Viltain'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de vache']",,,,,['France'],[],[],,3.3 g,en quantité modérée,1.9 g,en quantité modérée,3.7 g,en faible quantité,0.03 g,en faible quantité,?,,72,-29%,301 kj(72 kcal),-27%,"3,3",-35%,"1,9",-42%,"4,2",-21%,"3,7",-25%,"6,4",-6%,"0,03",-81%,"0,012",-81%,-2,-312%,A,-312%,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,
1831,Sardines à l huile d'olive extra vierge,20703684,,,,"[""Sardines a l'huile d'olive extra vierge""]",,,,,['France'],[],[],,11.5 g,en quantité modérée,2.3 g,en quantité modérée,0.1 g,en faible quantité,0.93 g,en quantité modérée,?,,203,-10%,849 kj(203 kcal),-10%,"11,5",-15%,"2,3",-34%,"0,5",+294%,"0,1",+266%,"24,3",+8%,"0,93",-4%,"0,372",-4%,3,-42%,C,-42%,,,,,,,,,,,,,,,,
1832,Tarte oignons,20679583,,,,,,,,,['France'],[],[],,,,,,,,,,?,,209,,874 kj(209 kcal),,"11,1",,"6,8",,"20,2",,"3,3",,"6,5",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,
1833,Cookies chocolat,3045470006449,,,,,['Fabriqué en France'],,,,['France'],[],[],,,,,,,,,,?,,508,,2125 kj(508 kcal),,"26,4",,"10,8",,"61,8",,"33,6",,"6,4",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1834,P'tite recette bœuf bourguignon - Nestlé,7613036749664,,,['Nestlé'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']",,,,,['France'],[],[],,1.4 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en faible quantité,0.38 g,en quantité modérée,?,,49,-49%,205 kj(49 kcal),-48%,"1,4",-52%,"0,3",-70%,"6,4",+10%,"1,4",-5%,2,-80%,"0,38",-53%,"0,152",-53%,0,,B,,E,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,,,,,
1835,Mes pépites bio riz soufflé Amande - Aline & Olivier,3760094310801,,,['Aline & Olivier'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['France'],[],[],,,,,,,,,,?,,401,,1678 kj(401 kcal),,"13,4",,"1,7",,"58,3",,"21,8",,"9,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1836,Les petites sardines - Connétable,3263670112320,,,['Connétable'],,,,,,['France'],[],[],,,,,,,,,,?,,223,,933 kj(223 kcal),,15,,"3,3",,0,,0,,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1837,Bergerie - Fermier - 250ml,3760284321204,250ml,,['Fermier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Abricots']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Mousse au fromage frais sur lit de fruits framboises,0201080006436,,,,,,,,,['France'],[],[],,,,,,,,,,?,,58,,243 kj(58 kcal),,"0,5",,"0,1",,"6,3",,"4,5",,"7,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1839,Vin blanc,3251091407071,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1840,Huile d'olive vierge extra,3700073113153,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,['France'],[],[],,100 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,17,+21%,0,,0,,0,,0,-100%,0,-100%,7,+14%,C,+14%,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1841,Apfel & Hagebutte in Birne,4058172095528,,,,,,,,,['France'],[],[],,,,,,,,,,?,,68,,285 kj(68 kcal),,"0,4",,"0,09",,"12,5",,"10,8",,"0,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1842,Burrata,8058151613039,,,,,,,,,['France'],[],[],,,,,,,,,,?,,259,,1084 kj(259 kcal),,23,,15,,2,,"1,8",,10,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,
1843,Domaine de la clemenciere,3452790007382,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1844,Perlé de framboise 12°,3393190001092,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1845,Quelitas Integral - Quely - 203g,8411145201481,203 g,,['Quely'],,['Sans conservateurs'],,,,['France'],[],[],,,,,,,,,,?,,482,,2017 kj(482 kcal),,20,,"1,8",,64,,"4,9",,"8,9",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1846,Rosado Frizzante,20331207,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Steamed Prawn Dim Sun,00709842,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Salmon box - 350g,3760228710477,350 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,149,,623 kj(149 kcal),,"3,6",,"0,6",,22,,"0,5",,"6,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,
1849,Kinder happy moments,8000500314609,,,['Kinder'],,,,,,['France'],[],[],,,,,,,,,,?,,575,,2406 kj(575 kcal),,"37,8",,"17,3",,49,,41,,"8,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,
1850,Ail des ours,3770013144103,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Multi Men 18+ - Prozis,5600499502051,,,['Prozis'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Dulano Kochschinken - 400g,737486611628327,400 g,['Stück'],['Dulano'],,,,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Champignons émincés - 250g,3700758501657,250 g,,,,"['Sans additifs', 'Sans conservateurs']",,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Tesco Dried Fruit Mix,10001158,,,['Tesco'],,,,,,['France'],[],[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,"0,8",,"0,09",,78,,61,,"2,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1855,madeleines aux oeufs - leader Price - 6,3263852669147,6,['Sachets'],['leader Price'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],"['EMB 41059G', 'Contres (Loir-et-Cher, France)']",['leader price'],"['France', 'Guadeloupe']","['oeufs frais 16% Farine de blé-huile de colza - sucre stabilisant glycérol - sirop de glucose-fructose lait demi-écrémé paste urisé - poudres à lever diphosphates', 'carbonates de sodium ', 'contient blé', ' - sel - arôme', ' Contient soja', ' Traces de fruits à coque', ' - NF Les informations en gras sont destinées aux personnes allergiques ou intolérantes', ' oncervation']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,"['Œufs', 'Gluten', 'Soja']",73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,,
1856,Traditional english tea,5013111004176,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Beau et Bon,3088857001101,,,,,"['Sans additifs', 'en:palm-oil-free']",,,,['France'],[],['Sans huile de palme'],,,,,,,,,,?,,318,,1331 kj(318 kcal),,"11,8",,"1,3",,"35,9",,"2,5",,"12,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1858,Jus de pomme,3760187500003,,,,,['Sans conservateurs'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1859,"Familia Choco Crunch + Bits 1.8 kg, 1 Sachet",7610023051700,,,,,,,,,['France'],[],[],,,,,,,,,,?,,434,,1816 kj(434 kcal),,14,,4,,65,,30,,8,,"0,61",,"0,244",,,,,,,,,,,,,,,,,,,,,
1860,Gros sel (recette et piment ),3760199504334,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Pâte à tartiner de Vendée,3760198324537,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Lussac Saint-Emilion,4056489102106,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1863,Cake vanillé sans gluten,3419390407660,,,,,"['Bio', 'en:gluten-free']",,,,['France'],[],[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,20,,10,,49,,22,,"4,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,
1864,Filet poulet - Monoprix,0206975059047,,['Barquette'],['Monoprix'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Bio', 'Bio européen', 'FR-BIO-01']",,,['Monoprix'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1865,Whey Protein - MyProtein,5055936818385,,,['MyProtein'],,['en:gluten-free'],,,,['France'],[],[],,,,,,,,,,?,,413,,1728 kj(413 kcal),,7,,5,,8,,4,,79,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
1866,Impact whey protein - MyProtein - 25g,5055936818590,25 g,,['MyProtein'],,,,,,['France'],[],[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,"7,2",,"4,8",,"7,1",,"7,1",,79,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,
1867,Brioche tressée pur beurre et a la creme fraiche,3760066691785,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées', 'Brioches pur beurre', 'Brioche tressée pur beurre']",['Fabriqué en France'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,
1868,Extra Virgin Olive Oil,8057685120075,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1869,Vegan Protein Pancake Mix Chocolate - MyProtein - 50g,5056281159741,50 g,['Sachet'],['MyProtein'],,"['Végétarien', 'Végétalien']",,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,369,,1544 kj(369 kcal),,"4,1",,"0,4",,"41,6",,"0,7",,"41,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
1870,Mix pancakes protéinés - MyProtein - 50g,5056281159765,50 g,['Sachet'],['MyProtein'],,"['Végétarien', 'Végétalien']",,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,376,,1573 kj(376 kcal),,"3,9",,"0,2",,"41,9",,"0,7",,"43,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,
1871,Vegan proteine coffee & walnut flavour - MyProtein - 30g,5056281159871,30 g,['Sachet'],['MyProtein'],,"['Végétarien', 'Végétalien']",,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,9",,0,,"4,8",,"0,2",,75,,0,,0,,,,,,,,,,,,,,,,,,,,,
1872,Thé vert Touareg - D’Amman - 125g,3259920098865,125g,,['D’Amman'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés à la menthe', 'Thés verts à la menthe']",,,,,['France'],['Thé vert Feuilles de menthe douce et poivrée Arôme naturel de menthe'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
1873,Potón del pacifico en tacos - Isabel,8410111004965,,,['Isabel'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,,,,"['France', 'Espagne']",[],[],,8.7 g,en quantité modérée,1.1 g,en faible quantité,2.7 g,en faible quantité,1.2 g,en quantité modérée,?,,146,-31%,611 kj(146 kcal),-31%,"8,7",-38%,"1,1",-61%,"5,7",+600%,"2,7",+577%,11,-45%,"1,2",+20%,"0,48",+20%,2,-54%,B,-54%,,,,,,,,,,,,,,,,
1874,Jambon Supérieur cuit au bouillon porc français - Despi,2228586033139,,,['Despi'],,,,,,['France'],[],[],,,,,,,,,,?,,145,,607 kj(145 kcal),,"7,9",,"2,9",,"0,5",,"0,5",,"17,9",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
1875,Terrine de campagne - Les Délices de Lyon,3384230030004,,,['Les Délices de Lyon'],"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,['France'],[],[],,19.7 g,en quantité modérée,7.5 g,en quantité élevée,0.8 g,en faible quantité,1.36 g,en quantité modérée,?,,335,+4%,1402 kj(335 kcal),+4%,"19,7",-30%,"7,5",-31%,"1,5",-34%,"0,8",-8%,"14,3",+2%,"1,36",-15%,"0,544",-15%,17,-12%,D,-12%,,,,,,,,,,,,,,,,
1876,Cuisses de pouletroti - Le Gaulois,0217637038119,,,['Le Gaulois'],,['Sans conservateurs'],,,,['France'],[],[],,,,,,,,,,?,,168,,703 kj(168 kcal),,10,,"2,6",,1,,1,,19,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
1877,0216029019354,0216029019354,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1878,Fromage blanc fermier et battu - GAEC d'Arpos - 300g.,3770013182075,300 g.,,"[""GAEC d'Arpos""]","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,,,['France'],"['76% fromage blanc ', 'lait cru entier', 'ferment lactique', 'présure', ' 24% de framboise ', '44g de framboise', '38', '5 g de sucre', 'eau', 'pectine de fruits']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,['Lait'],68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['E440 - Pectines'],,,,,
1879,Sirop Saveur Mimosa,3304950502025,,,,,,,,,['France'],[],[],,,,,,,,,,?,,268,,1121 kj(268 kcal),,0,,0,,67,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1880,VEGBURGERS CRISPY,6430104966911,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,220,,920 kj(220 kcal),,13,,"0,9",,"9,9",,"1,3",,12,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
1881,"Petite purée haricots verts,courgette et sauté de poulet",3760050900732,,,,,,,,,['France'],[],[],,,,,,,,,,?,,34,,142 kj(34 kcal),,"0,3",,"0,09",,"3,1",,"1,2",,"3,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1882,Pesto à la coriandre épicé - Costa Ligure - 135g,8013367029388,135g,,['Costa Ligure'],"['Epicerie', 'Sauces', 'Sauces Pesto']",,,,,['France'],[],[],,44 g,en quantité élevée,8.8 g,en quantité élevée,2.3 g,en faible quantité,2.9 g,en quantité élevée,?,,427,+1%,1787 kj(427 kcal),+2%,44,+7%,"8,8",+46%,"3,8",-43%,"2,3",-26%,2,-55%,"2,9",+24%,"1,16",+24%,19,+4%,E,+4%,C,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,
1883,Premium quality,8414485915407,,,,,,,,,['France'],[],[],,,,,,,,,,?,,370,,1548 kj(370 kcal),,"5,4",,"4,7",,79,,"57,5",,"1,5",,0,,0,,,,,,,,,,,,,,,,,,,,,
1884,Condiment à la truffe en poudre,8025386008947,,,,,,,,,['France'],[],[],,,,,,,,,,?,,212,,887 kj(212 kcal),,"0,4",,0,,45,,"0,9",,6,,"36,3",,"14,52",,,,,,,,,,,,,,,,,,,,,
1885,Protein cookies,4061458094528,,,,,,,,,['France'],[],[],,,,,,,,,,?,,388,,1623 kj(388 kcal),,"10,5",,"9,2",,"24,7",,"4,7",,"54,1",,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,
1886,Nugat,3565300002545,,,,,['en:gluten-free'],,,,['France'],[],[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,"17,7",,"1,5",,64,,61,,8,,"18,5",,"7,4",,,,,,,,,,,,,,,,,,,,,
1887,Alesto,3413910092343,,,['Alesto'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Marbré Griotte,3760024280242,,,,,,,,,['France'],[],[],,,,,,,,,,?,,663,,2774 kj(663 kcal),,"5,2",,"2,2",,"27,2",,"27,2",,"4,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1889,Madeleines citron - Ker Cadelac,3259426039898,,"['Plastique', 'Individuelle']",['Ker Cadelac'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,['France'],[],[],,26 g,en quantité élevée,2.8 g,en quantité modérée,27 g,en quantité élevée,1 g,en quantité modérée,?,,459,+4%,1920 kj(459 kcal),+4%,26,+14%,"2,8",-60%,51,-3%,27,-2%,"4,8",-15%,1,+23%,"0,4",+23%,16,-13%,D,-13%,B,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,Madeleines citron,,,
1890,Linguiça,20922023,,,,,,,,,['France'],[],[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,28,,11,,2,,2,,19,,"3,6",,"1,44",,,,,,,,,,,,,,,,,,,,,
1891,Fleur de sel de Guérande,3760031310130,,,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['France'],,,,,,
1892,Dry gin,3257985190524,,,,,,,,,['France'],[],[],,,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1893,Nautilus - 190g,3329150380252,190 g,,['Nautilus'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Filet de poulet  extra tendre - le gaulois,2424503034900,,['sous vide'],['le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille-francaise']",['France'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Carrefour'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France'],,https://www.legaulois.fr/volailles/le-cru/produits/2-escalopes-de-poulet-extra-tendre,,,,
1895,Pommes de terre de bord de mer,3383187001037,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Hot blood,4260243040133,,,,,,,,,['France'],[],[],,,,,,,,,,?,,57,,238 kj(57 kcal),,0,,0,,14,,14,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1897,"Haribo Cola Serpents, Gommes Aux Fruits, 150 Pièce",4001686378519,,,['Haribo'],,,,,,['France'],[],[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,"0,5",,"0,1",,77,,46,,"6,9",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
1898,3600550808285,3600550808285,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Light taste exotic mango - Coca-Cola,5449000267764,,,['Coca-Cola'],,,,,,['France'],[],[],,,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,0,,0,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1900,Café Crema Lungo - Käfer - 1000g,4037014004508,1000g,,['Käfer'],,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Sirop Au Sucre De Canne Pêche,3760239182584,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],[],,,,,,,,,,?,,326,,1364 kj(326 kcal),,"0,1",,"0,1",,"81,377",,77,,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1902,Café - Nestlé,7630047653094,,,['Nestlé'],,,,,,['France'],[],[],,,,,,,,,,?,,30,,126 kj(30 kcal),,50,,3,,46,,3,,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1903,Bisque de homard - Conserverie BETIKO,3700857600053,,,['Conserverie BETIKO'],"['Produits de la mer', 'Bisques de homard']",['Fabriqué en France'],,,,['France'],[],[],,2.4 g,en faible quantité,0.94 g,en faible quantité,4.5 g,en faible quantité,0.8 g,en quantité modérée,?,,71,+29%,297 kj(71 kcal),+27%,"2,4",-9%,"0,94",+11%,"4,5",+26%,"4,5",+346%,3,-2%,"0,8",-29%,"0,32",-29%,2,-42%,B,-42%,,,,,,,,,,,,,,,,
1904,Barres céréales Chocolat - Carrefour Bio - 138g,03656501,138 g,,['Carrefour Bio'],,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,['Carrefour'],['France'],[],[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,"9,6",,"3,4",,73,,33,,"5,1",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
1905,The noir parfumé  à la rose,3259920080082,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1906,ROMARIN Tisane,3700819704027,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
