,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,additives,nova_score,categories,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,manufacturing,markets,traceability_code,allergens,palm_ingredients,link,ingredients_origins,brand_owner
922,Les Dentelles Cheddar saveur noix - Tante Agathe - 70g,7611736201123,['Tante Agathe'],['France'],"['Huile végétale non hydrogénée ', 'coprah', 'farine de blé', 'maltodextrine', 'poudre de fromages ', '12 %', ' ', '92 % de fromages dont 30 % de cheddar', 'sel', 'poudre de lait entier', 'lactosérum en poudre', 'sirop de glucose', ""extrait de malt d'orge"", 'sel', 'extrait de levure', 'arôme naturel de poivre', 'émulsifiant : lécithine de colza', 'arôme naturel ', '0,10 %', ' ', 'contient noix', 'acidifiant : acide citrique', 'colorant : extrait de paprika']",['Non végétalien'],2380,?,2380 kj(569 kcal),39,33,45,19,9,"0,7","0,28",['Fabriqué en Suisse'],"['E322i - Lécithine', 'E330 - Acide citrique', 'E160c - Extrait de paprika']",4,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Crêpes dentelle salées']",B,39 g,en quantité élevée,33 g,en quantité élevée,19 g,en quantité élevée,0.7 g,en quantité modérée,,,+3%,+8%,+90%,-5%,+28%,+6%,-61%,-61%,24,-10%,E,-10%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Crêpes fourrées à la poudre de cheddar et à la saveur noix,70 g,['Carton'],['Suisse'],['Carrefour'],,"['Gluten', 'Lait', 'Fruits à coque']",,,,
923,Les Dentelles - Cacahuètes - Tante Agathe - 70g e,7611736201130,['Tante Agathe'],"['France', 'Suisse']","['Farine de blé', 'pâte de cacahuètes ', '20%', 'maltodextrine', 'huiles végétales non hydrogénées ', 'coprah', 'palme', 'lactosérum en poudre', 'poudre de lait entier', 'sirop de glucose', ""extrait de malt d'orge"", 'sel', 'arôme naturel ', 'contient _arachide', 'sésame', 'émulsifiant: lécithine de colza', 'acidifiant: acide citrique', 'colorant: extrait de paprika']","['Huile de palme', 'Non végétalien']",2080,?,2080 kj(497 kcal),26,14,54,21,11,"1,2","0,48","['Point Vert', 'Fabriqué en Suisse', 'Triman']","['E322i - Lécithine', 'E330 - Acide citrique', 'E160c - Extrait de paprika']",4,"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Apéritif', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits apéritifs', 'Crêpes dentelle']",C,26 g,en quantité élevée,14 g,en quantité élevée,21 g,en quantité élevée,1.2 g,en quantité modérée,+3%,,+3%,+35%,+23%,-22%,-51%,+86%,+84%,+84%,25,-1%,E,-1%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Crêpes fourrées à la pâte de cacahuètes,70 g e,"['Boîte', 'Carton', 'Plastique']",['Suisse'],['Carrefour'],,"['Gluten', 'Lait', 'Arachides', 'Graines de sésame']",['Huile de palme'],,,
924,Grapex Bio 33% Flacon Pet - 50 ML - Grapex,7611779010027,,['France'],[],[],?,302,1264 kj(302 kcal),"0,4","0,1","74,3",0,"0,3",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,SWISS CHOCO ROC NOIR NOUGATS,7611851002391,,['France'],[],[],?,574,2402 kj(574 kcal),"39,3","23,1","48,9","45,9","3,9","0,1","0,04",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Chocolat Au Lait De Riz Fourre Noisette Vegan -,7611851118832,,['France'],[],[],?,598,2502 kj(598 kcal),"42,3","21,5","51,3","39,8","2,4",0,0,['Bio'],,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au riz', 'Chocolats au lait au riz']",E,42.3 g,en quantité élevée,21.5 g,en quantité élevée,39.8 g,en quantité élevée,0 g,en faible quantité,,+11%,+12%,+35%,+13%,-7%,-15%,-65%,-100%,-100%,25,-3%,E,-3%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,
927,Chocolat doux amer fourré,7611851118849,,['France'],[],[],?,491,2054 kj(491 kcal),"32,8","19,6","50,5",45,"2,3","0,08","0,032",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,"Schokolade Vegan-hell Mit Haselnüssen 35,5% - Schönenberger",7611851121856,['Schönenberger'],['France'],"['sucre de canne brut*', 'beurre de cacao*', 'sirop de glucose de riz séché* 15 0%', 'NOISETTES* 14 0%', 'pâte de cacao', 'sel marin*', 'extrait de vanille*', ' *production biologique contrôlée', ' Cacao : 35,5 % min', ' Peut contenir des traces de composants du lait', ""d'autres fruits à coque et d'arachides"", ' Conserver au frais et au sec', '16-18 oc']","['Végétalien', 'Végétarien']",?,582,2435 kj(582 kcal),"40,4","20,3","51,3","37,4","3,3","0,2","0,08","['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,
929,Chocolat blanc - Schonenberger,7611851121863,['Schonenberger'],['France'],"['sucre de canne brut*', ' beurre de cacao*', 'AMANDES 14 Yc sirop de glucose de riz séché* 13,5 96 sel marin*', 'extrait de vanille?', ' *production biologique contrôlée', ' Cacao : 35 % min', ' Peut contenir des traces de composants du lait', ""d'autres fruits à coque et d'arachides""]",[],?,604,2527 kj(604 kcal),"42,9","21,7","51,8","42,1","3,1","0,18","0,072",['Bio'],,3,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",E,42.9 g,en quantité élevée,21.7 g,en quantité élevée,42.1 g,en quantité élevée,0.18 g,en faible quantité,,+7%,+7%,+19%,+0%,-3%,-17%,-54%,-30%,-30%,25,-6%,E,-6%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,['Fruits à coque'],,,,
930,Poe N°15 changement d'âge MENOLIGO  100 ML - Laboratoires Bioligo - Laboratoires BIOLIGO SA,7611883002338,['Laboratoires BIOLIGO SA'],['France'],"['Eau / Water Sirop de Maltose / Maltose Siroop Alcool / Alcohol 44770', 'Arôme Cassis / Zwarte Bes Havour 07270', 'Sulfate de manganèse / Mangaansutfaat', 'Sul- fate de zinc / Zinksulfaat', 'Iodure de potassium / Kaliumjodide']",[],?,136,569 kj(136 kcal),"0,1","0,01","27,72",0,"0,03",0,0,['Bio'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Bonbons du Père Michel,7611883232452,,['France'],[],[],?,393,1644 kj(393 kcal),0,0,"98,2",0,0,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Chewing-gum dental protect white - Doc's,7612034004478,"[""Doc's""]",['France'],[],[],?,166,695 kj(166 kcal),"0,7","0,5",66,"0,5",0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Ovomaltine Wander 2 KG,7612100001974,"['Wander', 'Ovomaltine']","['France', 'Suisse']","[""65% extrait de malt d'orge"", 'lait écrémé condensé', 'cacao fortement dégraissé', 'œufs', 'sels minéraux ', 'phosphate de calcium et de fer', 'carbonate de magnésium', 'levure', 'huile végétale', '13 vitamines ', 'A', 'D', 'E', 'C', 'K', 'BI', '82', 'niacine', 'B6', 'acide folique', 'B12', 'biotine', 'acide pantothénique', 'sel de cuisine', 'arôme vanilline']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,371,1552 kj(371 kcal),"2,8","1,6","70,4","40,3","13,6","0,225","0,09",,,4,"['Boissons', 'Boissons instantanées']",,2.8 g,en quantité modérée,1.6 g,en quantité modérée,40.3 g,en quantité élevée,0.225 g,en quantité modérée,,+41%,+35%,-26%,-34%,+45%,+10%,+134%,-27%,-27%,,,,,,,,,,,,Boisson instantanée à base de malt et de cacao,2 kg,,,,,['Œufs'],,,,
934,Caotina Original Sticks 10X15G - 10x 15g,7612100029541,,['France'],[],[],?,389,1628 kj(389 kcal),"3,5",2,"81,3","77,6",5,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 x 15 g,,,,,,,,,
935,Ovomaltine Flakes,7612100038321,['Ovomaltine'],['France'],"['42% riz', 'sucre', '10% blé complet', '9', ""5% aliment de complément à base d'extrait de malt Ovomaltine "", ""extrait de malt d'orge"", 'lait écrémé concentré', 'sérum de lait concentré', 'cacao fortement dégraissé', 'sucer', 'fructose', 'carbonate de magnésium', 'phosphate de calcium', 'huile de colza', 'vitamines [A', 'E', 'B1', 'B2', 'acide pantothénique', 'B6', 'acide folique', 'B12', 'C', 'biotine', 'niacine]', 'sel de cuisine', 'arôme vanilline', 'gluten de blé', ""malt d'orge en poudre"", 'sirop de glucose et fructose', 'cacao fortement dégraissé', 'sel de cuisine', 'carbonate de magnésium', 'phosphate de calcium', 'sucre vanilliné', 'vitamines ', 'E', 'BI', 'B2', 'acide pantothénique', 'B6', 'acide folique', 'B12', 'biotine', 'niacine', 'antioxydants ', 'lécithine', ""palmitate d'ascorbyle"", 'alpha-tocophérol', ' Peut contenir: noisette', 'amande', 'soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,378,1582 kj(378 kcal),"1,9","0,7","79,2","26,3","9,3","1,5","0,6",,"['E322i - Lécithine', ""E304i - Palmitate d'ascorbyle"", 'E307 - Alphatocophérol']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],"[""E304 - Palmitate d'ascorbyle""]",,,
936,Chocolat - Ovomaltine,7612100038567,['Ovomaltine'],['France'],[],[],?,522,2184 kj(522 kcal),"29,4","18,9","56,7","48,7","6,8","0,2","0,08",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,29.4 g,en quantité élevée,18.9 g,en quantité élevée,48.7 g,en quantité élevée,0.2 g,en faible quantité,,-5%,-5%,-19%,-10%,+23%,+18%,-6%,+44%,+44%,26,+11%,E,+11%,,,,,,,,,,,,,,,,,,
937,Belgian Choc,7612100054017,,['France'],[],[],?,365,1527 kj(365 kcal),"7,3","4,8",59,45,"8,9","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Ovaltine Choc 300g,7612100056318,['Ovaltine'],['France'],"['MILK serum BARLEY malt extract ', '42%', 'sugar', 'fat-reduced cocoa powder ', '17%', 'minerals ', 'calcium', 'magnesium', 'iron', 'zinc', 'rapeseed oil', 'vitamins ', 'C', 'E', 'macin', 'A', 'pantothenic acid', 'B12', 'B6', 'B2', 'BI', 'folic acid', 'biotin', ' For aller ens', 'seein redientsinBOLD']",[],?,373,1561 kj(373 kcal),"3,1","1,2","76,5","56,4","6,5","0,4","0,16",['Entrepreneurs + Engagés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,
939,Crunchy biscuit - ovomaltine - 250g,7612100058046,['Ovomaltine'],"['France', 'Allemagne', 'Suisse']","['Farine de blé', ""18% consent de complément à base d'extrait de malt Ovomaltine "", ""extrait de  malt d'orge"", 'lait écrémé concentré', 'sérum de lait concentré', 'cacao fortement dégraissé', 'sucre', 'fructose', 'carbonate de magnèsium', 'phosphate de calcium', 'huile de colza', 'vitamines [A,E,B1,B2', 'acide pantothénique', 'B6', 'acide folique', 'B12', 'C', 'biotine', 'niacine]', 'sel de cuisine', 'arôme vanilline', 'graisse de palme', 'sucre', ""extrait de  malt d'orge"", 'lactose', 'lait écrémé en poudre', ""huile d' arachide"", 'cacao fortement dégraissé', 'moisettes', 'œuf en poudre', 'émulsifiant lécithine de soja', 'poudre à lever phosphate de sodium et carbonate de sodium', 'maltodextrine', 'sel de cuisine', 'arôme']","['Huile de palme', 'Non végétalien']",2096,?,2096 kj(501 kcal),"23,5","14,2","63,5",33,"7,5","0,6","0,24","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']","['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium']",4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",C,23.5 g,en quantité élevée,14.2 g,en quantité élevée,33 g,en quantité élevée,0.6 g,en quantité modérée,+6%,,+6%,+22%,+67%,-5%,0%,+29%,+8%,+8%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,250g,,,,,"['Gluten', 'Lait']",['Huile de palme'],,,
940,Caotina Blanc - 300g,7612100061602,['Caotina'],"['France', 'Suisse']","['Sirop de glucose', 'sucre', 'chocolat blanc en poudre ', '17 %', ' ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'poudre de lait écrémé', 'émulsifiant: lécithine de soja', 'arôme vanilline', 'épaississant gomme xanthane', 'sel', 'phosphate de calcium', 'aromes', 'colorant : bêta-carotène', 'émulsifiant: lécithine de soja', 'matière grasse végétale', 'vitamines ', 'vitamine B1', 'vitamine B2', 'niacine', 'acide pantothénique', 'vitamine B6', 'acide folique', 'vitamine B12']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,416,1741 kj(416 kcal),"7,5","4,7","84,8",49,0,"0,43","0,172",['en:gluten-free'],"['E322i - Lécithine', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène']",4,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",D,,,,,,,,,,+25%,+22%,+74%,+84%,+34%,-13%,-100%,+106%,+106%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,Chocolat blanc en poudre,300 g,"['boîte', 'Plastique']",,,,"['Lait', 'Soja']",,,,
941,Twinings Ovaltine Light 500G,7612100064009,['Ovaltine'],['France'],"['BARLEY malt extract ', '46%', 'skinmed MILK concentrate', 'glucose syrup', 'vegetable oil ', 'coconut and rapeseed', 'fat-reduced cocoa powder ', '6%', 'whole MILK powder', 'salt', 'minerais ', 'calcium', 'iron', 'stabilisers ', 'E340', 'E452', 'proteins', 'vitamins ', 'C', 'E', 'niacin', 'A', 'II pantothenic acid', 'B12', 'B6', 'B2', 'BI', 'folic acid', 'biotin', 'magnesium carbonate', 'sweetener ', 'acesulfame K', 'emulsifier ', 'E471', 'anti-caking agent ', 'E551']","[""Pourrait contenir de l'huile de palme""]",?,412,1724 kj(412 kcal),"9,5","6,8","68,7","40,4","11,5","1,3","0,52","['Agriculture durable', 'en:UTZ Certified', 'Entrepreneurs + Engagés']","['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E551 - Dioxyde de silicium']",4,"['Boissons', 'Boissons instantanées']",,9.5 g,en quantité modérée,6.8 g,en quantité élevée,40.4 g,en quantité élevée,1.3 g,en quantité élevée,,+57%,+50%,+152%,+179%,+41%,+10%,+98%,+323%,+323%,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,
942,6 Schweizer Eier -,7612131320006,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Karton'],,,,,,,,
943,Cielos Crunchy Olives - Dumet - 60g e,7612188002252,['Dumet'],"['France', 'Suisse']","[""Olives d'Espagne "", '49 %', 'manteau de riz ', '46 % - farine de riz', 'amidon de riz', 'glucose', 'concentré acétique de poire ', 'concentré de jus de poire', 'vinaigre de vin', 'moût de raisin', 'colorant: E150d', 'sel marin', ""mélange d'épices"", 'huile de tournesol', 'paprika', 'colorant: E160c', 'agent antioxydant: extraits de romarin', 'E220', 'agent acidifiant : acide citrique']",[],1992,?,1992 kj(476 kcal),"23,5","9,9","60,8","17,3","4,1","2,9","1,16",,"[""E150d - Caramel au sulfite d'ammonium"", 'E160c - Extrait de paprika', 'E392 - Extrait de romarin', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",4,"['Snacks', 'Snacks salés']",,23.5 g,en quantité élevée,9.9 g,en quantité élevée,17.3 g,en quantité élevée,2.9 g,en quantité élevée,+2%,,+3%,-3%,+134%,+27%,+429%,-52%,+88%,+88%,26,+113%,E,+113%,,,,,,,,Olives séchées Cielos,60 g e,"['Doypack', 'Sachet', 'Plastique']",['Suisse'],,,,,,['Espagne'],
944,Brusketteria Di Parma - Bruschetta Poivrons - Deluna - 290g,7612195000364,"['Deluna', 'Italmex']",['France'],"['Poivrons grillés et en poudre 14%', ' pulpe de tomate 9%', 'sucre', 'oignon', 'huile végétale', 'vinaigre de vin blanc', 'sel', 'vinaigre balsamique', 'ail', ""huile d'olive extrait vierge"", 'piment 2%', ""correcteur d'acidité "", 'acide citrique', 'antioxydant ', 'acide ascorbique', 'arôme']","[""Pourrait contenir de l'huile de palme""]",?,81,339 kj(81 kcal),"5,5",,"5,4",,"1,8",,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",4,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces aux légumes', 'Sauces tomates pimentées', 'Sauces tomate aux petits légumes']",A,5.5 g,en quantité modérée,,,,,,,,+35%,+36%,+189%,,-25%,,+26%,,,,,,,55.2%,17.7%,10.0%,9.7%,4.3%,3.0%,88,,290 g,"['Bocal', 'Verre']",,['Noz'],,,,,,
945,Saumon ecosse bio,7612228028082,,['France'],[],[],?,148,619 kj(148 kcal),"6,3","1,1","0,7","0,1",23,"2,5",1,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Bärlauch salatsauce,7612232023004,,['France'],[],[],?,342,1431 kj(342 kcal),36,4,3,"2,5","1,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Tessiner Polenta - 410g,7612275022934,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410 g,['Beutel'],,,,,,,,
948,MAYO light,7612293118190,,['France'],[],[],?,346,1448 kj(346 kcal),36,"4,3",49,"0,78","1,2","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Picot mes cereales biscuit,7612367006101,['Picot'],['France'],"['Farines partiellement hydrolysées de céréales ', '87,6 %', ' ', 'blé ', '62,4 %', 'maïs ', '10,4 %', 'riz ', '10,4 %', 'avoine ', '1 %', 'orge 1 %', 'seigle ', '1 %', 'sarrasin ', '1 %', 'millet ', '0,4 %', 'sucre', 'fibres solubles ', 'fructooligosaccharides', 'vanilline', 'minéraux ', 'phosphate tricalcique', 'sulfate ferreux', 'arôme naturel', 'vitamines ', 'C', 'E', 'PP', 'A', 'D', 'B5', 'B2', 'B6', 'B12', 'B1', 'B9', 'B8']",[],?,373,1561 kj(373 kcal),"1,3","0,2","77,9",25,"9,5","0,02","0,008",,,4,"['Aliments pour bébé', 'Céréales pour bébé']",,,,,,,,,,,+5%,+18%,-43%,-73%,+23%,+81%,+29%,-63%,-63%,,,,,,,,,,,,,,,,,,"['Gluten', 'Avoine']",,,,
950,Gressini Arôme Truffe - Casa azzurra,7612376001289,['Casa azzurra'],['France'],[],[],?,412,1724 kj(412 kcal),1,1,1,1,1,"10,2","4,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Gressini Avec Graines De Sésame - Casa azzurra,7612376006352,['Casa azzurra'],['France'],"['Vitamin A 0% Vitamin C 0% Calcium Less Than 1 % • Iron 2% *Percent Daily values are based on a 2,000 calone diet Your daily values may be higher or Iower depending on your calorie needs:']",[],?,522,2184 kj(522 kcal),"8,7","3,3",72,"4,5","10,5","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Chipolata De Veau,7612462872533,,['France'],[],[],?,233,975 kj(233 kcal),20,"7,5",1,"0,5",12,"1,75","0,7",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",E,20 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,1.75 g,en quantité élevée,,-3%,-2%,+6%,+4%,-15%,-21%,-22%,-3%,-3%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
953,Chipolatas lardées,7612462874001,,['France'],[],[],?,277,1159 kj(277 kcal),25,9,1,"0,5",12,"1,65","0,66",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",E,25 g,en quantité élevée,9 g,en quantité élevée,0.5 g,en faible quantité,1.65 g,en quantité élevée,,+16%,+16%,+32%,+25%,-15%,-21%,-22%,-8%,-8%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
954,La Tomme Vaudoise - Val d'Arve - 100g,7612464336835,"[""Val d'Arve""]",['France'],"['Lait de vache pasteurisé', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,265,1109 kj(265 kcal),21,13,"0,1","0,1",19,"1,2","0,48",['Fabriqué en Suisse'],,3,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Suisse']",D,21 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,,-27%,-27%,-29%,-36%,-92%,-67%,-16%,-26%,-26%,13,-16%,D,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,100g,,,,['CH-2430'],,,,,
955,Tomme Light - Jean-Louis - 100g,7612464610966,['Jean-Louis'],"['France', 'Suisse']","['Fromage suisse à pâte molle', 'demi-gras', 'au lait pasteurisé']",['Non végétalien'],800,?,800 kj(191 kcal),10,7,0,"0,1",26,"1,3","0,52",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de Suisse', 'Fromages de montagne', 'Tommes']",D,10 g,en quantité modérée,7 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,-49%,,-52%,-70%,-64%,-100%,+50%,-1%,-18%,-18%,8,-48%,C,-48%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,100 g,['Frais'],,,['CH 2430'],,,,,
956,Tome de Geneve - Val D’Arve,7612464630643,['Val D’Arve'],['France'],"['Tomme de Genève 100ge Fromage suisse à pâte molle au lait de vache pasteunsé avec colorant de croûte : E160a', ' El 60c', ' Schweizer Weichkàse aus pasteurisierter Kuhmilch lit Farbstoffen in der Rinde E160a', ""El 60œ consommer jusqu'au t"", ' +20C bis +8 C mind hattbar bis']","[""Pourrait contenir de l'huile de palme""]",?,265,1109 kj(265 kcal),21,"13,2","0,5","0,1",19,"1,25","0,5",['Fabriqué en Suisse'],['E160a - Carotènes mélangés'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Yaourt de geneve - 500g,7612464712820,,"['France', 'Suisse']","['Lait entier ', 'homogénéisé', 'pasteurisé [Suisse ', 'Genève', ']', 'protéines lactiques', 'ferments lactiques']",['Non végétalien'],290,?,290 kj(69 kcal),"3,5",2,5,5,4,"0,1","0,04",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,['Lait'],,,,
958,Yogourt de Genève Miel - Nutrifrais SA - 1,7612464712882,['Nutrifrais SA'],['France'],[],[],?,?,,?,,?,,?,,,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
959,Yogourt - Balko,7612464716149,['Balko'],['France'],"['lait', 'lait écrémé concentré', 'sucre', 'crème', 'protéines actiques', 'extrait de café 0,5%', 'amidon de maïs cireux modifié', 'arôme', 'jus de citron', 'laleurs nutritives pour 100 g: Energie: 460 kJ ']",['Non végétalien'],?,110,460 kj(110 kcal),3,2,17,17,"3,5","0,1","0,04",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,
960,Yogourt balko - Yoplait - 150g,7612464717061,['Yoplait'],"['France', 'Suisse']","['Lait', 'lait écrémé concentré', 'sucre', 'fraises 8%', 'crème', 'protéines lactiques', 'amidon modifié de maïs', 'concentré de jus de betterave rouge', 'arôme', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",430,?,430 kj(103 kcal),3,2,15,15,"3,5","0,1","0,04",,['E14XX - Amidons modifiés'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,['Lait'],,,,
961,yaourt Citron - Yoplait,7612464731043,['Yoplait'],['France'],[],[],?,100,418 kj(100 kcal),3,2,14,14,"3,5","0,1","0,04",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au citron']",C,3 g,en quantité modérée,2 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,,-6%,-5%,-27%,-24%,+4%,+11%,+1%,-17%,-17%,3,-17%,C,-17%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,['CH-2430'],,,,,
962,Lait du genevois savoyard,7612464753748,,['France'],[],[],?,48,201 kj(48 kcal),"1,6",1,"4,8","4,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Chocolatier suisse,7612562132568,,['France'],[],[],?,550,2301 kj(550 kcal),"37,1",18,"46,9","41,4","6,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Läderach Flakes Milch Snacking,7612562150760,,['France'],[],[],?,518,2167 kj(518 kcal),"26,4","15,8","63,4","38,8",0,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,7612820009304,7612820009304,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
