,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
1111,Creme pistache,3483130046433,,,,['France'],[],[],?,,266,,22,,13,,"4,1",,,,,,,,,1113 kj(266 kcal),13,12,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Soupe potiron coco et citronelle - Knorr - 500ml,8714100767214,,['Knorr'],,"['Belgique', 'France']",[],[],?,,53,,"2,7",,"6,2",,"0,9",,,,,,,,,222 kj(53 kcal),"0,6","3,4","0,66","0,264",500ml,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
1113,Champignon bio blond - ChamPicarde - 200g,3700789600091,,['ChamPicarde'],,['France'],[],[],?,,21,,"0,36",,"1,33",,"2,62",,,,,,,,,88 kj(21 kcal),"0,067","1,06","0,039","0,016",200 g,,,,,,,,,,,,,,,,,,['Sachet'],,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,
1114,Ile de beauté I.G.P. - Bag-in-Box® - Marque Repère - 3l,3564700490693,C,"['Marque Repère', 'Terres Ocrées']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],['Contient des sulfites'],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,3 l,,,,,,,,,,,,,,,,,,['Cubis'],['Anhydride sulfureux et sulfites'],3,['IGP'],['Leclerc'],,['France'],,,,,,,
1115,2627210717870,2627210717870,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Gommes Acérola Goji - Floressance,3456300007473,,['Floressance'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,
1117,Bonbons au miel tranches orange citron LES RUCHERS DE BOURGOGNE,3263620475765,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",['France'],[],[],?,,396,+3%,"0,5",+79%,97,+3%,"0,5",+19%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1657 kj(396 kcal),"0,1",65,0,0,,0.5 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,+3%,+13%,-6%,-100%,-100%,14,+1%,D,+1%,,,,,,,,,,,,,,
1118,Himalayan Pink Salt Crystals,5060218989950,B,,"['Epicerie', 'Condiments', 'Sels', ""Sels de l'Himalaya""]",['France'],[],[],?,,?,,?,,?,,?,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,05407552,05407552,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,"Krystal - Cocacola - 1,5litre",8412996232013,,['Cocacola'],,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,0 kj(0 kcal),0,0,0,0,"1,5litre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Bio-Crunchy-Müsli Mandel-Orange,20228071,,,,['France'],[],[],?,,453,,"19,5",,"56,8",,"9,1",,,,,,,,,1895 kj(453 kcal),"6,6","20,8","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1122,Poulet blanc eco+,3450970163576,,['Eco+'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Knoblauch,4311527596409,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']","['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Harris brioche tranchée light -,2228818000878,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Sauce oseille aux petites echalottes - La p'tite sauce - 120g,3368270869961,,"[""La p'tite sauce""]",,['France'],[],[],?,,566,,13,,"2,9",,"1,4",,,,,,,,,2368 kj(566 kcal),"9,3","2,3","1,2","0,48",120 g,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans conservateurs']",,,,,,,,,,
1126,Apurna proteines 35% - 45g,3288111156114,,['APURNA'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['France'],"['Extrudés de soja 37% ', 'isolat de protéines de soja', 'amidon de tapioca', 'farine de riz', ""extrait de malt d'orge"", 'sel', ""sirop d'oligofructose"", 'chocolat de couverture de lait 15% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""stabilisants : glycérine et fibre d'acacia"", 'protéines de blé', 'huile de colza', 'noisettes hachées grillées 3', '4%', 'protéines de lait', 'poudre de cacao 2', '1%  maltodextrine', 'émulsifiant : lécithine de soja', 'vitamines ', 'C', 'B3', 'E', 'B2', 'B6', 'B1', 'B9', 'D3', 'B12', ' blé', 'minéraux ', 'zinc', 'sélénium', ' blé']",['Non végétalien'],?,,386,+4%,"14,1",+8%,"21,4",-35%,"35,7",+22%,,,,,,,,1615 kj(386 kcal),"4,5","10,2","0,98","0,392",45 g,14.1 g,en quantité modérée,4.5 g,en quantité modérée,10.2 g,en quantité modérée,0.98 g,en quantité modérée,+4%,-24%,-23%,+100%,+100%,9,-13%,C,-13%,['Plastique'],"['Gluten', 'Lait']",4,"['Fabriqué en France', 'Anti Dopage']",,"['E322i - Lécithine', 'E422 - Glycérol']",,,,Apurna proteines 35% choco noisettes,,,,
1127,Yaourt au Lait de Chèvre - Kerguillet - 250g (2 * 125g),3442310016703,B,['Kerguillet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Réfrigérés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de chèvre']",['France'],"['Lait entier de chèvre pasteurisé* ', '96 %', 'poudre de lait écrémé de chèvre* ', '3% ', 'ferments lactiques', "" *Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],330,-7%,?,,"4,9",+16%,"6,1",-25%,"4,6",+14%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,330 kj(79 kcal),"3,8","5,4","0,11","0,044",250 g (2 * 125 g),4.9 g,en quantité modérée,3.8 g,en quantité modérée,5.4 g,en quantité modérée,0.11 g,en faible quantité,-12%,+33%,-26%,+16%,+16%,2,-4%,B,-4%,"['Frais', 'Carton', 'Plastique']",['Lait'],3,"['Bio', 'Ecocert', 'Bio européen', ""Informations incorrectes sur l'emballage"", 'FR-BIO-01', 'Point Vert', ""Informations nutritionnelles incorrectes sur l'emballage"", 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique', 'Be Reizh']",,,['France'],"['France', 'Bretagne', 'Plouay', 'Plouay 56240']",,,,,,
1128,Nouilles instantanees saveur boeuf - 425g,6091091010928,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],[],?,,460,+54%,18,+55%,66,+63%,9,+42%,,,,,,,,1925 kj(460 kcal),9,4,"17,4","6,96",425 g,,,,,,,,,+53%,+71%,+65%,+567%,+567%,,,,,,,,,,,,,,,,,,
1129,Mon haché cuisine bolognaise - Bigard - 55billes,3273230050238,,['Bigard'],,['France'],"['VIANDE BOVINE 83% ORIGINE FRANCE', 'EAU', 'TOMATE EN POUDRE 28%', 'FIBRE DE BAMBOU', 'SEL', 'AMIDON', 'AROME NATUREL', 'OIGNON DESHYDRATE', 'SUCRE FIBRE DE POIS', 'BETTERAVE ROUGE EN POUDRE', 'FIBRE DE RIZ', 'PLANTES AROMATIQUES FIBRE DE PLANTAIN', 'ANTIOXYDANTS ACIDE ASCORBIQUE ASCORBATE DE SODIUM']","['Non végétalien', 'Non végétarien']",?,,189,,12,,"1,7",,17,,,,,,,,,791 kj(189 kcal),"5,3","1,7","1,3","0,52",55 billes,,,,,,,,,,,,,,,,,,,,4,,,,,,"['EMB 13083B', 'Rognonas (Bouches-du-Rhône, France)', 'FR 13.083.001 CE', 'Rognonas (Bouches-du-Rhône, France)']",,,,,
1130,Cafe,6111232000974,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Dômes Gourmets à la Provençale - Biocoop - 400g,3760121213624,,['Biocoop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Réfrigérés', 'Plats préparés réfrigérés']",['France'],"['Légumes* cuisinés ', '40 %', ' : légumes* 30,2 % ', 'courgette*', 'tomate*', 'aubergine*', 'oignon*', 'eau', 'concentré de tomates 1,8 %', ""huile d'olive*"", 'vierge extra', 'ail*', 'sel de Guérande', 'basilic*', 'fibres de soja*', 'amidon de pomme de terre*', 'sucre* blond', 'poivre* blanc', '\rPurée de haricots blancs* ', '35 %', ' : haricot blanc* cuit 29,2 %', 'eau', 'sel de Guérande', 'amidon de pomme de terre*', '\rCéréales* cuites ', '25 %', "" : boulgour de blé d'épeautre* cuit 16,7 %"", 'millet* blond cuit 7,3 %', 'graines de chanvre* 0,6 %', ""huile d'olive* vierge extra"", 'sel de Guérande', ""\r * Ingrédients issus de l'agriculture biologique""]","['Végétalien', 'Végétarien']",400,-35%,?,,"2,2",-65%,13,-17%,4,-35%,,,,,,,,400 kj(96 kcal),"0,4","1,9","0,75","0,3",400 g,2.2 g,en faible quantité,0.4 g,en faible quantité,1.9 g,en faible quantité,0.75 g,en quantité modérée,-40%,-60%,-22%,-17%,-17%,1,+326%,B,+326%,"['Carton', 'Plastique', 'Frais']","['Gluten', 'Soja']",3,"['Bio', 'Végétarien', 'Bio européen', 'Union Végétarienne Européenne', 'Végétalien', 'Union Végétarienne Européenne - Vegan', 'AB Agriculture Biologique']",['Biocoop'],,,['France'],,"Préparation cuisinée végétale à base de légumes, de haricot blanc, d'épeautre et de millet, pasteurisée, issue de l'agriculture biologique.",,,,
1132,Frantoio di santa tea - 500ml,8009345130016,,['Frantoio di Santa Tea'],,['France'],[],[],?,,885,,98,,0,,0,,,,,,,,,3703 kj(885 kcal),16,0,0,0,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Schöfferhofer - Hefeweizen Alkoholfrei,4053400257181,,,,"['France', 'Allemagne']",[],[],?,,18,,"0,1",,"3,3",,"0,6",,,,,,,,,75 kj(18 kcal),"0,1","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Buddha bowl potimarron - Monoprix,3350033573291,,['Monoprix'],"['Plats préparés', 'Salades', 'Salades composées', 'Buddha Bowl']",['France'],[],[],?,,147,+1%,"8,6",+31%,11,-19%,"4,1",-19%,,,,,,,,615 kj(147 kcal),"1,1","4,1",1,"0,4",,8.6 g,en quantité modérée,1.1 g,en faible quantité,4.1 g,en faible quantité,1 g,en quantité modérée,+2%,+3%,+44%,+58%,+58%,4,+233%,C,+233%,,,,,['Monoprix'],,,,,,,,,
1135,potage instantané poireau - comme j'aime - 20g,0307,,"[""comme j'aime""]",['Potages'],['France'],"['Ingredients matodextrine', 'fecule de pomme de tere poEAR shya ', '12 %', ' sek epices et aromates épinard ardmes lait reme enpode tarine a ble Anti-mottantcarbonate de magndsum Analyse nutritionnelle movenne Pour 100 a Par nertion /90 a']",[],?,,63,-32%,"0,1",-94%,14,+13%,1,-44%,,,,,,,,264 kj(63 kcal),"0,1","1,6","1,4","0,56",20g,0.1 g,en faible quantité,0.1 g,en faible quantité,1.6 g,en faible quantité,1.4 g,en quantité modérée,-18%,-83%,-33%,-11%,-11%,5,+196%,C,+196%,['Sachet'],,,,,,,,,,,,,
1136,Spiral Flow - Akal Food - 100g,3760246000406,,['Akal Food'],,['France'],"['Spiruline ', '38%', 'acérola', 'grande ortie', 'banane', 'tulsa rama', 'gingembre', 'cannelle', 'cardamome', 'poivre noir et clous de girofle']","['Végétalien', 'Végétarien']",1414,,?,,"3,9",,"38,1",,"31,6",,,,,,,,,1414 kj(338 kcal),1,"15,5","1,3","0,52",100 g,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['Coop 5 pour 100'],,,,,,,,,
1137,Jus de carotte  bio - Bio Sonne - 1l,20220808,B,['Bio Sonne'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de carotte']","['Autriche', 'France', 'Allemagne']","['Karottensaft 99,9%', 'Zitronensaftkonzentrat 0,1%', 'Antioxidationsmittel: Ascorbinsäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,31.2,+4%,0,-100%,6,-12%,"0,8",+51%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,130 kj(31 kcal),0,6,"0,1","0,04",1 l,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.1 g,en faible quantité,+1%,-100%,-1%,+5%,+5%,-2,,B,,"['Kartonage', 'Faltkarton', '84 C/PAP']",,1,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung', 'en:FSC', 'FSC Mix', 'Sans OGM', 'en:Ohne Gentechnik', 'en:fsc-c081801']",['Norma'],['E300 - Acide ascorbique'],,,,Karottensaft,,,,
1138,Poire-panais - Exki - 120g,,,['Exki'],['Desserts'],['France'],[],[],?,,114,-36%,3,-56%,"14,7",-38%,"3,7",+17%,,,,,,,,477 kj(114 kcal),"0,44","10,3","0,1","0,04",120 g,3 g,en quantité modérée,0.44 g,en faible quantité,10.3 g,en quantité modérée,0.1 g,en faible quantité,-35%,-88%,-44%,-25%,-25%,-2,-130%,A,-130%,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,
1139,Infusion Bio Jeune maman,3401520341210,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
1140,Blanquette de veau aux girolles - Pierre Champion - 400g,3529670501633,E,['Pierre Champion'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats au veau', 'Blanquettes de veau']",['France'],"['Sauté de veau assaisonné [sauté de veau 47%', 'eau', 'sel', 'épaississant : amidon modifié ', 'E1422', 'sucre', 'poivre', 'sauce [eau', 'crème fraîche', 'fond blanc de volaille [sirop de glucose', 'sel', 'farine de blé', 'poule ', 'graisse de poule', 'viande de poule', 'arôme', 'oignon', 'extrait de poireau et de céleri', ""extraits d'épices et de plantes aromatiques"", ' épaississant: amidon modifié ', 'E1422', 'arômes', 'exhausteurs de goût : glutamate monosodique et inosinate disodique ', 'dérivé de blé et de soja', 'sel', 'poivre]', 'girolles saumurées [girolles 2,3 %', 'eau', 'sel', 'acidifiant : acide citrique', 'oignons émincés préfrits ', 'oignons', 'huile de tournesol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,126,+11%,8,+63%,"3,3",-56%,10,+23%,91.9%,3.2%,1.1%,1.1%,0.6%,2.2%,20,527 kj(126 kcal),"3,3","1,8","1,3","0,52",400 g,8 g,en quantité modérée,3.3 g,en quantité modérée,1.8 g,en faible quantité,1.3 g,en quantité modérée,+11%,+43%,+87%,+73%,+73%,4,+239%,C,+239%,['Conserve boîte métal'],"['Céleri', 'Gluten', 'Lait', 'Soja']",4,,,"['E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E330 - Acide citrique']",,,,,,,,
1141,Crispy & Fruity - Nectaflor,7610184016327,,['Nectaflor'],,['France'],[],"['Végétalien', 'Végétarien']",?,,353,,"1,5",,74,,4,,,,,,,,,1477 kj(353 kcal),"0,2",73,0,0,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
1142,Bloc de foie gras de canard au muscat - Larnaudie,3113010143210,B,['Larnaudie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['Foie gras de canard', 'eau', 'sel', 'Muscat ', '0,49%', 'poivre', 'sucre', 'antioxydant: acide ascorbique ', 'E300', 'conservateur: nitrite de sodium ', 'E250']","['Non végétalien', 'Non végétarien']",?,,494,+1%,51,+1%,2,-6%,5,-18%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,2067 kj(494 kcal),50,1,1,"0,4",,51 g,en quantité élevée,50 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,+1%,+133%,-25%,-18%,-18%,20,-2%,E,-2%,,,3,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,
1143,Moelleux Bio Noisette Praliné - happy go - 60g,3770006030048,,['happy go'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",['France'],"['Sucre de canne Ecosocial', ""blanc d'œuf 23,6%"", 'farine de riz', 'huile de tournesol', 'pralin noisette 11,3% ', 'noisette 50%', 'sucre de canne roux', 'eau', ""poudre d'amandes"", ""farine d'amandes"", ""sirop d'agave"", 'farine de psyllium', 'poudre à lever ', 'acide citrique', 'bicarbonate de sodium']",['Non végétalien'],?,,419,+4%,"21,1",+8%,"49,1",-1%,7,+29%,,,,,,,,1753 kj(419 kcal),"1,6","36,2","0,128","0,051",60g,21.1 g,en quantité élevée,1.6 g,en quantité modérée,36.2 g,en quantité élevée,0.128 g,en faible quantité,+4%,-79%,+30%,-79%,-79%,11,-39%,D,-39%,['sachet unitaire'],"['Œufs', 'Fruits à coque']",3,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Sans huile de palme', 'AB Agriculture Biologique']",,"['E330 - Acide citrique', 'E500ii - Carbonate acide de sodium']",['AB'],['41700 Contres'],,,,,,
1144,Carambars magicolor - Carambar,3664346303996,,['Carambar'],,['France'],[],[],?,,382,,"4,2",,85,,"0,6",,,,,,,,,1598 kj(382 kcal),"2,2",56,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
1145,Sel de Guérande - Delhaize,5400113526070,B,['Delhaize'],"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']","['Belgique', 'France']",[],[],?,,?,,?,,?,,?,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,['France'],,,,,,,
1146,Fruit to go,4008596501891,,,,['France'],[],[],?,,67,,"0,1",,14,,"0,4",,,,,,,,,280 kj(67 kcal),"0,1",14,0,0,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,
1147,Les 6 Oeufs d'Erwan,3435760963062,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Chips naturel - Snack day - 50g,20961459,B,['Snack day'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],[],[],?,,547,+2%,35,+5%,51,+0%,"5,7",-3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,2289 kj(547 kcal),"3,5","0,5","1,2","0,48",50g,35 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,+2%,+18%,-61%,-9%,-9%,14,+28%,D,+28%,,,,['en:gluten-free'],,,,,,,,,,
1149,Light Honey & Mustard Dressing,,D,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Sauces salades', 'en:Sauces with mustard', 'en:Honey mustard dressings', 'Moutardes au miel']",['France'],[],[],?,,98,-54%,"3,4",-66%,"15,6",-10%,"0,5",-91%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,410 kj(98 kcal),"0,9","14,8","0,98","0,392",,3.4 g,en quantité modérée,0.9 g,en faible quantité,14.8 g,en quantité élevée,0.98 g,en quantité modérée,-54%,+24%,+2%,-73%,-73%,8,-44%,C,-44%,,,,,,,,,,,,,,
1150,CAMPONESA - Pingo Doce,5601009978991,,['Pingo Doce'],,['France'],"['Batatas ', '58,2%', 'óleo vegetal de girassol alto oleico ', '33%', 'aroma de tomate', 'vegetais e especiarias ', '8,8%', ' [açúcar', 'cebola em pó', 'sal', 'dextrose ', 'contém trigo', 'intensificador de sabor ', 'glutamato monossódico', 'hidrolisado de proteína de soja e milho', 'tomate em pó', 'alho em pó', 'acidificantes ', 'ácido cítrico', 'ácido málico', 'aromas ', 'contém lactose', 'especiarias ', 'pimentão', 'salsa', 'pimento verde', 'edulcorante ', 'aspartame*', 'corante ', 'extrato de pimentão', 'aroma de fumo]', 'Contém uma fonte de fenilalanina,']",[],?,,521,,"30,9",,"52,4",,"5,8",,,,,,,,,2180 kj(521 kcal),"3,1","3,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,4,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E951 - Aspartame']",,,,,,,,
1151,Délice Thon piquant - Odyssee,3250392599263,,['Odyssee'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Pasas sultanas ecológicas - Campomar Nature - 250g,8436530670291,C,['Campomar Nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']","['France', 'Espagne']",['pasas Sultanas'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,250g,,,,,,,,,,,,,,,,,,,,1,"['Bio', 'Bio européen', 'ES-ECO-020-CV']",,,,,,,,,,
1153,Halls,7622210831866,,['Halls'],,['France'],[],[],?,,384,,0,,96,,0,,,,,,,,,1607 kj(384 kcal),0,75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Maxi-flore - 30 Comprimés - Synergia,3401579194102,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,250G Ail Sachet Zip Gyma,3661346000504,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Ognions en cubes - Thiriet,3292590830540,,['Thiriet'],,['France'],[],[],?,,3,,0,,"1,5",,"1,5",,,,,,,,,13 kj(3 kcal),0,"1,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,
1157,Air fruit - Verquin - 125g,3116420011032,E,['Verquin'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sirop de glucose', 'sucre', 'graisse végétale totalement hydrogénée ', 'coprah', 'gélatine', 'acidifiant: acide citrique', 'arômes', ' émulsifiants: E322', 'E471', ' colorants : E100', 'E160c', 'E163', "" Conserver à l'abri de la chaleur et de l'humidité""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,395,+11%,"6,8",+266%,81,-3%,"1,8",-15%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1653 kj(395 kcal),"6,7","56,1","0,03","0,012",125g,6.8 g,en quantité modérée,6.7 g,en quantité élevée,56.1 g,en quantité élevée,0.03 g,en faible quantité,+10%,+532%,-3%,-75%,-75%,20,+39%,E,+39%,['Plastique'],,4,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E163 - Anthocyanes']",,['France'],,,,,,
1158,Velouté carottes et potiron - Priméal - 1L,3380380086458,A,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de carottes', 'Veloutés de potiron']",['France'],"['Légumes ', 'potiron 25 %', 'carottes 14 %', 'pommes de terre', 'oignons', 'eau', ""huile d'olive vierge extra"", 'amidon de riz', 'sel', 'cumin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,30,-19%,"0,9",-47%,"4,4",+3%,"0,6",-12%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,126 kj(30 kcal),"0,1","1,4","0,48","0,192",1 L,0.9 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,0.48 g,en quantité modérée,-24%,-90%,-23%,-21%,-21%,2,0%,B,0%,['Brique'],,3,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,,['France'],,,,,,
1159,Complexe vision,3700211192286,,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Pomme de terre d'Auvergne AGATA 5,3760129890032,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Sirop - Monin,3052911250583,,['Monin'],['Sirops'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
