,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
754,Purée onctueuse pommes et de pêches - Mon panier minceur - 400g,0660989030834,B,"['Mon panier minceur', 'Qilibri']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes pêche']",['France'],"['Purée de pommes 69,1%', 'purée de pêches 30%', 'antioxydant: acide ascorbique']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité modérée,0.01 g,en faible quantité,247,-4%,59,-3%,247 kj(59 kcal),-4%,"0,5",+79%,"0,1",+3%,12,-13%,"9,5",-26%,"0,5",+17%,"0,01",+75%,"0,004",+75%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,400 g,,,,,,"['Plastique', 'Carton']","['Cuisiné en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",['France'],,"['EMB 19121', 'Lubersac (Corrèze, France)']",,https://qilibri.fr/contents/produit-puree-onctueuse-pommes-et-peches,,
755,Hachis végétarien - Mon panier minceur - 300g,0660989030735,,"['Mon panier minceur', 'Qilibri']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés à réchauffer au micro-ondes', 'Hachis']",['France'],"['Purée de pomme de terre et hachis à base de protéines de pois', 'de tomates et de légumes', ' Pommes de terre précuites 40%', 'eau', 'protéines de pois 9%', 'tomates 8%', 'oignons', 'double concentré de tomates 1,5%', 'huile de colza', 'carottes', 'navets', 'arômes naturels', 'sel', 'oignons déshydratés', 'fibres de pois et amidon de pois', 'ail en poudre', 'épices', ' Total légumes mis en oeuvre : 17% Ne contient aucun allergène soumis à déclaration']",['Sans huile de palme'],2.5 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en faible quantité,0.86 g,en quantité modérée,348,-37%,83,-38%,348 kj(83 kcal),-37%,"2,5",-54%,"0,5",-76%,"8,6",-33%,"0,9",-49%,"5,5",-18%,"0,86",+11%,"0,344",+11%,1,-29%,B,-29%,,,,,,,,300 g,,,,"['Gluten', 'Lait']",4,"['Carton', 'Plastique']","['Cuisiné en France', 'Riche en protéines', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Sans colorant ni conservateur', 'Source de fibres']",['France'],,,,https://qilibri.fr/contents/produit-hachis-vegetarien,,
756,Valencianas free - Codan,8410368021616,,['Codan'],,"['France', 'Espagne']",[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,24,,"3,9",,53,,27,,"4,8",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
757,Salchichón extra lonchas sin gluten -,8433329011204,,,"['Viandes', 'Charcuteries']","['France', 'Espagne']",[],[],21 g,en quantité élevée,8.1 g,en quantité élevée,2.8 g,en faible quantité,3.6 g,en quantité élevée,?,,297,+14%,1243 kj(297 kcal),+15%,21,+9%,"8,1",+11%,"2,8",+90%,"2,8",+252%,25,+34%,"3,6",+51%,"1,44",+51%,21,+31%,E,+31%,,,,,,,,,,,,,,,,,,,,,,
758,Cacahuètes torréfiées et caramélisées - 150g,3760115260566,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,150 g,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
759,Chorizo de pavo,8425545151703,,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,17,,"5,2",,"1,8",,"1,3",,24,,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Croque pain doré - General Mills,0065633279438,,['General Mills'],,['France'],"['whole grain corn', 'sugar and/or golden sugar', 'degermed corn meal', 'corn syrup', 'high monounsaturated canola oil', 'salt', 'calcium carbonate', 'golden syrup', 'monoglycerides', 'colour ', 'caramel colour', 'annatto', 'turmeric', 'cinnamon', 'natural flavour ', 'includes stevia leaf extract', ' vitamins & minerals: iron', 'niacinamide ', 'vitamin b3', 'calcium pantothenate ', 'vitamin b5', 'pyridoxine hydrochloride ', 'vitamin b6', 'folate']",[],,,,,,,,,?,,393.9394,,1648 kj(393 kcal),,"4,546",,"0,606",,"84,848",,"30,303",,"6,061",,"1,288",,"0,515",,,,,,,,,,,,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160b - Rocou']",,4,,,,,,,,,
761,Basic seed lychee,8717624009051,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"10,5",,10,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Huile vierge Lin - Le moulin de mon père - 250ml,3760047720091,D,['Le moulin de mon père'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de lin']","['France', 'Suisse']",['Huile Vierge de Lin Biologique'],[],100 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+6%,3766 kj(900 kcal),+6%,100,+6%,10,+0%,0,,0,,0,,0,-100%,0,-100%,11,+2%,D,+2%,95.3%,1.2%,1.7%,0.9%,0.9%,0.0%,26,250 ml,,['Leclerc'],,,,,"['Bio', 'Bio européen', 'Omega-3', 'AB Agriculture Biologique', 'FR-BIO-01', 'Riche en Oméga-3']",,,,,,,
763,L'escalope Cordon Bleu Dinde - Le Gaulois - 600g (3x200g),3266980030414,D,['Le Gaulois'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']",['France'],"['Viande de filets de dinde traitée en salaison et reconstituée', ""fourrée au jambon de dinde fumé et à l'emmental fondu"", 'panée et cuite\r', 'A la mise en œuvre', ' : Viande de filets de dinde traitée en salaison : 58% ', 'viande de filets de dinde : 48%', 'eau', 'fibres de BLE', 'sel', 'dextrose de blé', 'sucre', 'arômes naturels ', 'dont LAIT', 'panure : 22% ', 'eau', 'farine de BLE', 'levure', 'sel', 'épices', 'jambon de dinde standard fumé : 10% ', 'viande de dinde : 8%', 'eau', 'arômes naturels ', 'dont CELERI', 'dextrose de blé', 'sel', 'ferments', 'antioxydant : ascorbate de sodium', 'emmental fondu : 10% ', 'EMMENTAL : 5%', 'FROMAGES', 'protéines de LAIT', 'BEURRE', 'sel', 'sels émulsifiants : citrates de sodium', 'polyphosphates', '\rHuile de tournesol']","['Non végétalien', 'Non végétarien']",10 g,en quantité modérée,3.1 g,en quantité modérée,1.9 g,en faible quantité,0.99 g,en quantité modérée,896,-2%,214,-4%,896 kj(214 kcal),-4%,10,-18%,"3,1",-3%,14,-3%,"1,9",+8%,16,+27%,"0,99",-26%,"0,396",-26%,4,-44%,C,-44%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,600 g (3x200 g),,,"['E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Céleri', 'Gluten', 'Lait']",4,,"['Expérimentation Nutriscore', 'Expérimentation Nutriscore B']",,,,,,,
764,Prosecco,8000368918742,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Riz et lentilles corail à  l'indienne,3380380088247,,,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"7,9",,"1,3",,59,,"3,4",,15,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,
766,Civet de canard aux cèpes,3432770048680,,,,['France'],[],[],,,,,,,,,?,,132,,552 kj(132 kcal),,"7,4",,"2,5",,"2,3",,0,,14,,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Aceite de oliva virgen extra -,8437002590123,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['France', 'Espagne']",[],[],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
768,Biscuits chocolat et graines - Nature Bio,3257986253129,,['Nature Bio'],,['France'],[],[],,,,,,,,,?,,517,,2163 kj(517 kcal),,27,,10,,59,,27,,"7,8",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
769,Yoghurt chocolat - M Classic,7613404169001,,['M Classic'],,['France'],[],[],,,,,,,,,?,,117,,490 kj(117 kcal),,"4,2",,"2,5",,16,,16,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,
770,Mermeladas de frutas surtidas de - St. Dalfour,3492390000086,,['St. Dalfour'],,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,"0,5",,"0,01",,52,,46,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Barre céréales cranberries,3494690060388,,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['France'],[],[],16 g,en quantité modérée,1.9 g,en quantité modérée,35 g,en quantité élevée,0.08 g,en faible quantité,?,,430,+2%,1799 kj(430 kcal),+1%,16,+1%,"1,9",-68%,57,-5%,35,+29%,11,+47%,"0,08",-80%,"0,032",-80%,13,-2%,D,-2%,,,,,,,,,,,,,,,,,,,,,,
772,Pâte à tartiner - Melo'dises - 570g,3700774300876,D,"[""Melo'dises""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['France'],"['Sucre', 'cacao', 'huile de tournesol', 'beurre de cacao', '13% noisettes', 'sucre', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de tournesol', 'vanilline']","['Sans huile de palme', 'Non végétalien']",41 g,en quantité élevée,6.6 g,en quantité élevée,45 g,en quantité élevée,0.11 g,en faible quantité,?,,586,+7%,2452 kj(586 kcal),+7%,41,+20%,"6,6",-14%,46,-11%,45,-6%,"6,7",-2%,"0,11",+7%,"0,044",+7%,20,-3%,E,-3%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,570 g,,['Intermarché lyon 8'],['E322i - Lécithine'],,4,['Plastique'],,['Civens'],,,,,,
773,Huile d'olive Rosetta,3770004673049,,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,"99,8",,"15,1",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Poivre noir moulin 170 grammes - The Spice Emporium - 170g,5060265323981,B,['The Spice Emporium'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",['France'],"['Poivre noir ', '100%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3.26 g,en quantité modérée,1 g,en faible quantité,0.6 g,en faible quantité,0.11 g,en faible quantité,?,,255,+1600%,1067 kj(255 kcal),+1649%,"3,26",+3160%,1,+10901%,"64,81",+2859%,"0,6",+450%,"10,95",+1781%,"0,11",,"0,044",,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,170 g,,,,"['Moutarde', 'Soja', 'Anhydride sulfureux et sulfites']",1,,,,,,,,,
775,Petti L'essenziale - 200g,8003496041054,,['Petti'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates', 'Jus de tomates à base de concentré']","['France', 'Italie']","['poomodoro biologico ', '99,50%', 'sale iodato']",[],1 g,en faible quantité,0.2 g,en faible quantité,14.5 g,en quantité élevée,1.09 g,en quantité élevée,?,,91,+237%,381 kj(91 kcal),+234%,1,+488%,"0,2",+260%,"14,5",+179%,"14,5",+274%,"4,8",+452%,"1,09",+75%,"0,436",+75%,10,,E,,,,,,,,,200 g,,,,,3,,"['Bio', 'Bio européen', 'IT-BIO-006', 'Fabriqué en Italie']",,,,,,,
776,Pennoni Lisci n 38 - De Cecco,8001250120380,,['De Cecco'],,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,"1,5",,"0,03",,69,,"3,4",,14,,0,,0,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
777,Philadelphia snack - Light & tasty -,7622210606631,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],[],[],11 g,en quantité modérée,7.9 g,en quantité élevée,3.3 g,en faible quantité,0.94 g,en quantité modérée,?,,242,-26%,1013 kj(242 kcal),-26%,11,-59%,"7,9",-56%,26,+2049%,"3,3",+345%,"7,9",-61%,"0,94",-28%,"0,376",-28%,10,-27%,C,-27%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
778,Acerola 1000,3401554444345,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Adore Pure,8719326320519,,,,['France'],[],[],,,,,,,,,?,,31,,130 kj(31 kcal),,0,,0,,"7,1",,"7,1",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Taylors of Harrogate Yorkshire Tea Teabags   50% Free,0615357121713,,,,['France'],"['black tea,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,['card-box'],,,,,,,,
781,Le lait,3412290031744,,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"1,5",,1,,48,,48,,33,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Chocolate para fundir cobertura repostería - Pedro Mayo,8426175094057,,['Pedro Mayo'],,['France'],[],[],,,,,,,,,?,,549,,2297 kj(549 kcal),,"37,2",,"23,52",,"40,56",,"37,4",,"7,74",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Oignon au vinaigre,3441260004938,,,,['France'],[],[],,,,,,,,,?,,199,,833 kj(199 kcal),,"6,6",,"0,7",,32,,30,,"1,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Staedtler Textsurfer Classic - Dr. Oetker,10078174,,['Dr. Oetker'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
785,Clarkys Erdnüsse - 200g,4316268460590,D,['Clarkys'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']","['France', 'Allemagne']",[],[],31.5 g,en quantité élevée,4.3 g,en quantité modérée,8.5 g,en quantité modérée,2.5 g,en quantité élevée,?,,511,-16%,2138 kj(511 kcal),-16%,"31,5",-36%,"4,3",-40%,"40,6",+236%,"8,5",+62%,"14,1",-46%,"2,5",+153%,1,+153%,11,+84%,D,+84%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,200 g,,['Netto'],,,,['Folie'],,,,,,,,
786,Weizen (Blé) - Alnatura,4104420182998,,['Alnatura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains']","['France', 'Allemagne']",[],[],1.8 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,0.02 g,en faible quantité,1378,-3%,326,-4%,1378 kj(326 kcal),-3%,"1,8",-64%,"0,3",-56%,60,+4%,"0,7",-28%,11,+17%,"0,02",-75%,"0,008",-75%,-6,,A,,,,,,,,,,,['Alnatura'],,,,,"['Bio', 'de:Bio 7 Initiative', 'en:Bioland']",,,,,,,
787,Brassé lait de coco - Charles Et Alice,3297760093558,,['Charles Et Alice'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['France'],[],[],8.1 g,en quantité modérée,7.3 g,en quantité élevée,0.8 g,en faible quantité,0.03 g,en faible quantité,?,,97,+5%,406 kj(97 kcal),+6%,"8,1",+148%,"7,3",+256%,"4,7",-57%,"0,8",-92%,"0,8",-79%,"0,03",-74%,"0,012",-74%,8,+161%,C,+161%,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
788,Rovellons al natural,8411162505111,,,,['France'],[],[],,,,,,,,,?,,21,,88 kj(21 kcal),,0,,0,,3,,0,,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Boisson d'hibiscus-gingembre,3000012300003,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"0,1",,"0,1",,"8,59",,"8,59",,"0,11",,12,,"4,8",,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
790,Lait coco,7061257574709,,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,17,,"14,4",,"2,8",,2,,"2,02",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
791,Damhert Afslank Proteinereep Chocolade,5412158022028,,['Damhert'],,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,"10,5",,5,,"37,7",,32,,"27,7",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Tarte 3 fromaged - 360g,3420130071454,,,,['France'],[],[],,,,,,,,,?,,299,,1251 kj(299 kcal),,"14,1",,9,,"28,5",,"2,2",,"14,2",,"1,5",,"0,6",,,,,,,,,,,,,360 g,,,,,,,['Sans colorants'],,,,,,,
793,Angelo Poretti - Birrificio Angelo Poretti - 66cl,8007950015247,C,['Birrificio Angelo Poretti'],"['Boissons', 'Boissons alcoolisées', 'Bières']","['France', 'Italie']","['Acqua', 'Malto d’orzo', 'orzo', 'luppolo']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,184,-5%,?,,184 kj(44 kcal),-1%,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,66cl,,,,['Gluten'],3,['Bottiglia'],,,,,,,,
794,Farce à legumes - L'étal du boucher - 500g,4056489049180,,"[""L'étal du boucher""]","['Viandes', 'Viandes fraîches', 'Préparations de viande', 'Porc', 'Préparations de viande fraîches', 'Préparations de viande hachée', 'Préparations de viande hachées fraîches']",['France'],[],[],30 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,1376,+77%,333,+56%,1376 kj(333 kcal),+62%,30,+105%,11,+92%,"1,1",-52%,"< 0,5",-27%,15,-3%,"1,4",+25%,"0,56",+25%,20,+103%,E,+103%,,,,,,,,500 g,['France'],['LIDL'],,,,"['Film en plastique', 'Barquette']",,['Belgique'],,['BE 93-H EC'],,,,
795,Filetes de merluza del cabo sin piel - El Corte Ingles,8433329089982,,['El Corte Ingles'],,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,"1,2",,"0,3",,"0,6",,0,,16,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Brassé lait de coco - Charles & Alice,3297760093589,,['Charles & Alice'],,['France'],[],[],,,,,,,,,?,,88,,368 kj(88 kcal),,"3,9",,"3,4",,12,,"8,7",,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Pérail Bio - Lou Pérac,3023260032205,C,"['Lou Pérac', 'Lactalis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages de brebis', 'Pérail']",['France'],[],[],26.3 g,en quantité élevée,18.7 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,1266,,306,+2%,1266 kj(306 kcal),+0%,"26,3",+4%,"18,7",+7%,"0,2",-74%,"0,2",-24%,17,0%,"1,5",+9%,"0,6",+9%,14,+2%,D,+2%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,['Frais'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
798,Fromage blanc avec morceaux de fraise - 500g,26016184,,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"5,1",,"3,4",,13,,13,,"4,3",,"0,1",,"0,04",,,,,,,,,,,,,500 g,,,,,,,,,,"['FR 14.366.001 CE', 'Lisieux (Calvados, France)']",,,,
799,Yaourt nature - Leader Price - 4x 125g,3330268010112,,['Leader Price'],,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,1,,"0,6",,"5,6",,"5,6",,"4,1",,"0,13",,"0,052",,,,,,,,,,,,,4 x 125 g,,['Leader Price'],,,,,,,,,,,,
800,Biocacao,8436542194945,,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,21,,13,,"12,4",,"0,3",,23,,0,,0,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,
801,Pan tostado con tomate & orégano - El Corte Inglés,8433329077675,B,['El Corte Inglés'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']","['France', 'Espagne']",[],[],26 g,en quantité élevée,3.5 g,en quantité modérée,3.1 g,en faible quantité,1.4 g,en quantité modérée,?,,503,+29%,2105 kj(503 kcal),+28%,26,+252%,"3,5",+123%,58,-12%,"3,1",-43%,"8,7",-21%,"1,4",+14%,"0,56",+14%,15,+170%,D,+170%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,,,,,,,,,,,
802,Mélange peps,2600697025065,,,,['France'],[],[],,,,,,,,,?,,575,,2406 kj(575 kcal),,46,,"4,5",,20,,19,,18,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Velouté tomates - Franprix,3263850566493,,['Franprix'],,['France'],[],[],,,,,,,,,?,,32,,134 kj(32 kcal),,"0,6",,"0,3",,"4,9",,"2,4",,"0,9",,"0,5",,"0,2",,,,,,,,,,,,,,,['Franprix'],,,,,,,,,,,,
804,Jamón curado gran reserva lonchas finas,8433329079297,,,,['France'],[],[],,,,,,,,,?,,234,,979 kj(234 kcal),,12,,4,,"1,5",,"1,5",,30,,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Baguette Bio - 250g,3760109058162,,,,['France'],[],[],,,,,,,,,?,,246,,1029 kj(246 kcal),,"1,6",,"0,2",,49,,"1,2",,"7,4",,"2,67",,"1,068",,,,,,,,,,,,,250 g,,,,,,,['Bio'],,,,,,,
806,Tonic fleur de sureau,3439495405941,,,,['France'],[],[],,,,,,,,,?,,29,,121 kj(29 kcal),,0,,0,,"7,3",,"7,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Pur Arabica Classique - CORA - 250g,3257984433103,,['CORA'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250g,,['Cora Houdemont'],,,,['Sous vide Plastique'],,,,"['EMB 26362A', 'Valence (Drôme, France)']",,,,
808,Pascual V. L. F S / Berry X4,8410128114015,,['Pascual'],,['France'],[],[],,,,,,,,,?,,24,,100 kj(24 kcal),,"0,3",,"0,2",,10,,"7,8",,"3,5",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Bonne maman Myrtille Intense,3608580893295,,['Bonne Maman'],,['France'],[],[],,,,,,,,,?,,6,,25 kj(6 kcal),,"0,2",,0,,39,,39,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,,
810,miel de manuka actif lAA 15 +,3664492000664,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Arroz Supremo 500G,8410901209051,,,,['France'],[],[],,,,,,,,,?,,358.5,,1500 kj(358 kcal),,"1,2",,"0,13",,"80,3",,"0,1",,"6,5",,"0,006",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Beignet de pommes x 10,,,,,['France'],[],[],,,,,,,,,?,,289,,1209 kj(289 kcal),,8,,"1,2",,47,,18,,"6,1",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Fromage frais,3254550043087,,,,['France'],[],[],,,,,,,,,?,,87,,364 kj(87 kcal),,4,,"2,7",,"4,7",,"4,7",,8,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
