,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
1525,Légumes et riz avec veau bio - Hipp,4062300333734,,,['Hipp'],"['France', 'Suisse']","['Eau', 'légumes* 32% ', 'carottes*', 'choufleur*', 'oignons*', 'riz* cuit 19%', 'viande de veau* 8%', 'huile de colza* 2%', 'sel de cuisine iodé', 'épices* ', 'poivre*', "" Sans gluten*Issu de l'agriculture biologique""]",,,"['Non végétalien', 'Non végétarien']",,277,66,277 kj(66 kcal),"2,7","0,5","7,5","1,3","2,4","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans gluten']",,,,,,
1526,Yaourt Fruit 1kg Cerise - 1kg,4062800000839,1 kg,,,['France'],[],,,[],,?,109,456 kj(109 kcal),"3,2","2,1","16,6","15,9","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Kaffesahne - Omira,4062800006206,,,['Omira'],"['France', 'Hongrie']",[],,,[],,?,120,502 kj(120 kcal),10,"6,2","4,3","4,3","3,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,['DE BY-715 EG'],,
1528,Mignon mit Vollmilch-schokolade -,4062800008262,,,,"['France', 'Espagne']",[],,,[],,?,565,2364 kj(565 kcal),"37,2","24,7","51,6","37,4","4,8","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,37.2 g,en quantité élevée,24.7 g,en quantité élevée,37.4 g,en quantité élevée,0.2 g,en faible quantité,,+13%,+12%,+36%,+64%,-7%,-17%,-30%,-38%,-38%,25,+2%,E,+2%,,,,,,,,,,,,,,
1529,Lait entier - Lactose free - 1L,4062800011675,1 L,,['Lactose free'],['France'],[],,,[],,?,67,280 kj(67 kcal),"3,8","2,5","4,8","4,8","3,3","0,1","0,04",D,,"['Produits laitiers', 'Laits', 'Laits entiers']",,3.8 g,en quantité modérée,2.5 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,,+2%,+0%,+2%,+5%,+0%,+1%,0%,-15%,-15%,1,-37%,B,-37%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Sans lactose'],['Magasins U'],,,['DE BY 104 EG'],,
1530,Minus L lait uht 1/2 ecreme sans lactose,4062800011682,,,['Minus L'],['France'],[],,,[],,?,47,197 kj(47 kcal),"1,5",1,"4,9","4,9","3,4","0,13","0,052",D,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits à teneur réduite en lactose']",,1.5 g,en faible quantité,1 g,en faible quantité,4.9 g,en faible quantité,0.13 g,en faible quantité,,+7%,+6%,+19%,+22%,+0%,+1%,+5%,+24%,+24%,-1,,A,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Magasins U'],,,,,
1531,Fromage blanc à 40% - Minus L,4062800015123,,,['Minus L'],"['France', 'Allemagne']","['Speisequark', 'Joghurt mild', 'Laktase']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,?,144,602 kj(144 kcal),"9,9","6,5","4,3","4,3","9,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Chips à base de pomme de terre goût crème aigre & oignon - Popchips - 23g,4064222302706,23 g,"['Sachet', 'Plastique']",['Popchips'],['France'],"['67 % ingrédients à base de pomme de terre ', 'pomme de terre déshydratée', 'fécule de pomme de terre', 'huile de tournesol', 'assaisonnement ', 'farine de riz', 'sel', 'babeurre en poudre', 'oignon en poudre', 'crème aigre en poudre', 'sucre', 'arômes', 'ail en poudre', 'herbes aromatiques', 'épice', 'farine de riz']",,['Lait'],['Non végétalien'],4,1741,414,1741 kj(414 kcal),14,2,"62,6","4,2","6,5","2,3","0,92",B,Chips à base de pomme de terre goût crème aigre et oignon,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,14 g,en quantité modérée,2 g,en quantité modérée,4.2 g,en faible quantité,2.3 g,en quantité élevée,-22%,-22%,-22%,-57%,-35%,+22%,+200%,+9%,+77%,+77%,12,+6%,D,+6%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
1533,Salvator doppelbock - Paulaner - 500ml,4066600641803,500ml,['Bottle'],['Paulaner'],['France'],[],,,[],,?,?,,?,,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières allemandes']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,['München'],,,
1534,Jägermeister - 1.75l,4067700008046,1.75 l,"['Bottle', 'Glass']",['Jägermeister'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,"Jägermeister - 1,0L",4067700013002,"1,0 L",,['Jägermeister'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Poivre noir moulu - Columbia,4068300277269,,,['Columbia'],['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,
1537,Curry en pate - Flichs - 65g,4068300562013,65 g,,['Flichs'],['France'],"['FUCHS Assaisonnement en pâte au Curry Idéal pour les plats à base de poulet', 'riz', 'viandes', 'poisson moules', 'œufs et la cuisine indienne', ' Rapide et prati que dtufllisation', 'il suffit de faire fomtre la pâte dans votre préli *ration et de mélanger', ' Ingl édients eau', 'graisse végétNe totalement hydrogénée ', 'colzas ', 'alme', 'curry 13 % ', 'curcuma', 'cumin', 'coriandre', 'fenugrec persil', 'piment fort', 'ail', 'fenouil', 'épices', 'sucre', 'mangue', 'confiture d abricot', ""vinaigre d'alcool"", 'malto«extrine', 'miel', ""émulsifiant : mono - et diglycérides d'acides gras"", 'dextrose', 'arôme', 'anti-oxydant ', ' acide ascorbique', ' Tiaces éventuelles de blé', 'céleri', 'lait', 'moutarde', 'oeuf', 'sésame', 'soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Céleri', 'Œufs', 'Lait', 'Moutarde', 'Graines de sésame', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,376,1573 kj(376 kcal),"21,9","3,6","41,2",33,"1,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Ail Assaisonnement en Pâte - Fuchs,4068300562068,,"['Tube', 'Plastique']",['Fuchs'],['France'],"['Graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'ail en poudre 10 %', 'dextrose', ' sel', 'arôme', 'sirop de caramel déshydraté']",,,"['Huile de palme', 'Non végétalien']",4,?,773,3234 kj(773 kcal),"79,2",12,"13,2",8,"1,6",4,"1,6",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Assaisonnements']",['Huile de palme'],79.2 g,en quantité élevée,12 g,en quantité élevée,8 g,en quantité modérée,4 g,en quantité élevée,,+681%,+614%,+2430%,+2827%,+3%,+212%,-59%,+285%,+285%,25,,E,,,,,,,,,,,,,,,
1539,Pepsi,40608020,,['pet-bottle'],['Pepsi'],['France'],[],,,[],,?,44,184 kj(44 kcal),0,0,11,11,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,
1540,Früchte Freund Zebra Himbeere In Banane-apfel - Hipp - 23g,40623818,23 g,['Kunststoff'],['Hipp'],['France'],"['29% Bananenflocken', '29% mildes Apfelsaftkonzentrat', 'Hafervollkornmehl', 'Weizenflocken vermahlen', 'pflanzliches Öl ', 'Palmöl', 'Oblaten ', 'Weizenmehl', 'Stärke', 'Karottensaftkonzentrat', '3% Himbeersaftkonzentrat', '2% Aroniasaftkonzentrat']",,['Gluten'],['Huile de palme'],3,?,354,1481 kj(354 kcal),"5,5","2,2","68,9","41,1","4,6","< 0,05","0,02",,,"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts au fruit pour bébé']",,,,,,,,,,,+500%,+500%,+1344%,+1937%,+456%,+281%,+896%,+166%,+166%,,,,,,,,,,,,,,,,['DA31362'],,
1541,Hipp Müesli Freund Butterkeks In Apfel-vanille,40623962,,,['Hipp'],['France'],[],,,[],,?,380,1590 kj(380 kcal),"9,1","2,2","65,8","36,2","5,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,"Jägermeister - 0,04l",40677040,"0,04 l",['Glas'],['Jägermeister'],"['France', 'Allemagne']",[],,,[],,?,1,4 kj(1 kcal),1,1,1,1,1,,,E,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,-99%,-99%,-88%,-29%,-95%,-91%,-10%,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,['Deutschland'],,,
1543,Beurre tendre Doux - BEURRE DE HOLLANDE - 250g,4070000006933,250 g,['Papier'],['BEURRE DE HOLLANDE'],['France'],"['Beurre fin ', 'lait']",,['Lait'],['Non végétalien'],2,3061,744,3061 kj(744 kcal),82,57,"0,9","0,9","0,7",0,0,D,Beurre fin doux pasteurisé,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres pasteurisés', 'Beurres de crème douce']",,82 g,en quantité élevée,57 g,en quantité élevée,0.9 g,en faible quantité,0 g,en faible quantité,+1%,+1%,+0%,+1%,+3%,+33%,+46%,+0%,-100%,-100%,19,-12%,E,-12%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,"['Hollande', 'Pays-Bas']",['NL Z 0051 EG'],,
1544,Vital + Fit,4071800039107,,,['Vital+fit'],['France'],[],,,[],,?,262,1096 kj(262 kcal),"5,2","0,7","41,6","3,2","9,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,
1545,Isobolic - Addict Sport Nutrition,4072418601441,,,['Addict Sport Nutrition'],['France'],[],,,[],,?,378,1582 kj(378 kcal),1,0,2,"0,05",92,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Topping Sauerkirsch (Culinaria) - 250ml,4073400535263,250 ml,['Flasche'],,"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Aceto balsamico - 1l,4073400555377,1l,,,"['France', 'Allemagne']",[],,,[],,?,74,310 kj(74 kcal),0,0,13,0,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,
1548,Gemüse Maultaschen - Bürger - 360g,4075600059082,360g,,['Bürger'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,['de:Gemüse Maultaschen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Ravioles aux légumes,4075600194288,,,,['France'],[],,,[],,?,177,741 kj(177 kcal),"2,1","0,4","32,7",3,"6,9","1,1","0,44",,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",,2.1 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,1.1 g,en quantité modérée,,-30%,-31%,-79%,-93%,+13%,+82%,-37%,-16%,-16%,2,-84%,B,-84%,,,,,,,,,,,,['DE BW-01188 EG'],,
1550,Gnocchi à l'alsacienne,4075600194349,,,,['France'],[],,,[],,?,181,757 kj(181 kcal),"1,6","0,4","36,5","4,4","5,2",1,"0,4",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",,1.6 g,en faible quantité,0.4 g,en faible quantité,4.4 g,en faible quantité,1 g,en quantité modérée,,+8%,+8%,+17%,+7%,+10%,+267%,+24%,-12%,-12%,3,-16%,C,-16%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,
1551,Balsamico Sherry - 250g,40737799,250 g,['Flasche'],,"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Pate à tartiner - Grano Vita,4083900010115,,,['Grano Vita'],"['France', 'Luxembourg', 'Espagne']","['sucre', 'noisettes 25%1 huiles végétales ', 'huile de colza', 'huile de palme', ' poudre de cacao fortement dégraissée', 'perméat de lactosérum', 'émulsifiant lécithine', 'extrait de vanille Bourbon', ' Peut contenir des traces de soja et de autres fruits à coque']",['E322i - Lécithine'],['Fruits à coque'],"['Huile de palme', 'Non végétalien']",4,?,581,2431 kj(581 kcal),"40,3","5,2","47,3","45,6","5,1","0,1","0,04",D,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['Huile de palme'],40.3 g,en quantité élevée,5.2 g,en quantité élevée,45.6 g,en quantité élevée,0.1 g,en faible quantité,,+6%,+6%,+18%,-32%,-8%,-4%,-25%,-3%,-3%,22,+6%,E,+6%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
1553,Pâte vegetal champignon - GranoVita,4083900013345,,,['GranoVita'],['France'],[],,,"['Végétalien', 'Végétarien']",,?,227,950 kj(227 kcal),"18,5","8,7","8,3","1,7","5,3","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,,
1554,Bircher Müsli - GranoVita,4083900042406,,,['GranoVita'],['France'],[],,,[],,?,352,1473 kj(352 kcal),"7,3",1,"55,4","20,3","10,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,
1555,Bio Soya-Drink Unsweetened - GranoVita,4083900047524,,,['GranoVita'],['France'],[],,,[],,?,40,167 kj(40 kcal),"2,3","0,4","0,9","0,8","3,7",0,0,D,,"['Produits laitiers', 'Laits']",,2.3 g,en faible quantité,0.4 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,,-39%,-39%,+12%,-66%,-85%,-85%,+4%,-100%,-100%,-2,-448%,A,-448%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Bio'],,,,,,
1556,Granovita Muesli Onze Beste Suikervrij,4083900273923,,,['GranoVita'],['France'],"[""Flocons d'avoine complet"", 'fruits secs 35% ', 'raisins ', 'raisins', 'huile de tournesol', 'Morceaux de dattes', 'Morceaux de fraises lyophilisées ', 'Morceaux de fraises lyphisées huile de palme', 'Morceaux de pommes', 'poires', 'abricots', 'pêches et prunes', 'amandes 6%', 'flocons de blé complet', 'graines de lin', 'graines de toumesol flocons de coco', 'flocons de blé crunchy ', 'du blé complet moulu', 'farine de blé', 'jus de maracuja en poudre ', 'maltodextrine', 'jus concentré de maracuia', ""jus d'orange en poudre "", 'maltodentine', ""jus concentré d'orange"", 'acidfiant acide citrique', 'germes de blé', 'amidon de blé', 'farine de riz']",,"['Gluten', 'Fruits à coque']",[],,?,385,1611 kj(385 kcal),"12,2","2,3","52,3","23,1","10,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,
1557,"Fresubin Original Easy Bag 0,5L",4086000006996,,,,['France'],[],,,[],,?,100,418 kj(100 kcal),"3,4","0,3","13,8","0,85","3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,
1558,Fresubin Drink - Fresenius Kabi,4086000016094,,,['Fresenius Kabi'],['France'],[],,,[],,?,200,837 kj(200 kcal),"7,9",0,"21,8",0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,
1559,Fresubin Energy drink - Fresenius Kabi,4086000016599,,,['Fresenius Kabi'],['France'],[],,,[],,?,150,628 kj(150 kcal),"5,8","0,5","18,5","5,8","5,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Jucy Appel,4086000016636,,,,['France'],[],,,[],,?,150,628 kj(150 kcal),0,0,"33,5",8,4,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Fresubin Protein Energy Drink 4 x 200 ML Vanille,4086000016841,,,,['France'],[],,,[],,?,200,837 kj(200 kcal),"7,8","0,6","22,5","5,8",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Smooth peanut butter,4088600008110,,,,['France'],"['peanut ', '100%', 'allergy advice: for allergens', 'see ingredients in bold', 'may also contain nuts', 'sesame and gluten sources', 'natural source of protein', 'naturally high in fibre', 'no added palm oil', 'salt or sugar']",,['Arachides'],[],,?,624,2611 kj(624 kcal),50,"9,2","9,6","3,1",30,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Kühne Roasted Garlic - 250ml,40804064,250 ml,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Grünkohl - Kühne - 660g,40804095,660g,"['Glas', 'Product']",['Kühne'],"['France', 'Allemagne', 'Suisse']","['Grünkohl ', '80%', 'Wasser', 'Zwiebeln', 'Ganseschmalz', 'Salz', 'Senfsaat', 'Branntweinessig', 'Zucker', 'Gewürze', 'modifizierte Stärke', 'Würzmischung ', 'enthält Sellerie', 'Aroma', 'Raucharoma', 'Hefeextrakt']",['E14XX - Amidons modifiés'],['Moutarde'],[],4,?,44,184 kj(44 kcal),"2,1","0,6","2,3","1,1","2,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,"Carbonated Orange Flavour Soft Drink Fanta,",40822419,,,['Fanta'],['France'],['n/n t50 ml lounpplace nw mos xphn nd v the coc-cola company a x/a catpoonh amaddm ana 100 ml rapad 06 12 06f1i27 142j'],,,[],,?,44,184 kj(44 kcal),0,0,8,8,"0,02",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,capuccino - Fresenius Kabi,40860695,,,"['Fresenius Kabi', 'Fresubin']",['France'],[],,,[],,?,200,837 kj(200 kcal),"7,8","0,55","22,5","13,4",10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Fresubin,40860732,,,['Fresubin'],['France'],[],,,[],,?,200,837 kj(200 kcal),"7,8","0,55","22,5","13,3",10,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Filet de colin d'alaska à la florentine - Ocean sea,40875521,,,['Ocean sea'],['France'],"[""51 % filet de colin d'Alaska "", 'poisson', '21 % épinards', 'eau', '6 % crème ', 'lait', 'fromage ', '1,7 % Emmental ', 'lait', '1,5 % Cheddar ', 'lait', 'lait écrémé en poudre', 'amidon modifié de mais', 'huiles végétales ', 'tournesol', 'colza', 'sel', 'ail', 'vin blanc', 'amidon de pomme de terre', 'sucre', 'légumes en poud re ', 'céleri', 'oignons', 'panais', 'carottes', 'épices', 'maltodextrine', 'cèpes en poudre', 'plantes aromatiques', ' Traces éventuelles de céréales contenant du gluten', ""d'eufs"", 'de soja', 'de moutarde et de mollusques', "" Colin d'Ala Pacifique Nord-Est www"", ' A conserve préférence']",['E14XX - Amidons modifiés'],"['Céleri', 'Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",4,?,91.5,383 kj(91 kcal),"3,9",2,"3,2","1,4","10,6","0,66","0,264",,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Colins', 'Filets de colin']",,3.9 g,en quantité modérée,2 g,en quantité modérée,1.4 g,en faible quantité,0.66 g,en quantité modérée,,-29%,-28%,-8%,+263%,-54%,+119%,-26%,+21%,+21%,-1,,A,,,,,,,,,,['Lidl'],,,,,
1569,Sour Party Mix,40875538,,,,['France'],[],,,[],,?,336,1406 kj(336 kcal),0,0,77,51,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Papua New Guinea - Bellarom,40876245,,,['Bellarom'],"['France', 'Espagne']",[],,,[],,?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,['es:procesado'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-99%,-99%,-100%,-100%,-98%,-100%,-96%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,
1571,Confiture de cerises noires - Italiamo - 250g,40877488,250 g,,['Italiamo'],['France'],[],,,[],,?,252,1054 kj(252 kcal),"0,1","0,1","57,2",51,"0,4","0,02","0,008",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,0.1 g,en faible quantité,0.1 g,en faible quantité,51 g,en quantité élevée,0.02 g,en faible quantité,,+14%,+13%,-59%,+122%,+6%,-1%,-38%,-24%,-24%,8,-19%,C,-19%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,['Lidl'],,,,,
1572,Confiture extra de raisin - Italiamo - 250g,40877495,250 g,"['Bocal', 'Verre']",['Italiamo'],['France'],"['50 % raisins', 'sucre', 'sirop de glucose-fructose', '5 % Grappa', 'acidifiant : acide citrique', 'gélifiant : pectines']","['E330 - Acide citrique', 'E440 - Pectines']",,[],4,?,243,1017 kj(243 kcal),"0,1","0,1","55,6","50,7","0,2",0,0,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de raisins']",,0.1 g,en faible quantité,0.1 g,en faible quantité,50.7 g,en quantité élevée,0 g,en faible quantité,,+9%,+10%,-62%,+101%,+4%,-1%,-61%,-100%,-100%,12,+29%,D,+29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"[""Contient de l'alcool""]",['LIDL'],,,,,
1573,Linguine orange flavored - Italiamo - 400g,40877914,400 g,,['Italiamo'],['France'],[],,,[],,?,352,1473 kj(352 kcal),"1,5","0,3",70,"3,7","12,5",0,0,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Linguine']",,1.5 g,en faible quantité,0.3 g,en faible quantité,3.7 g,en faible quantité,0 g,en faible quantité,,+2%,+2%,-11%,-18%,+4%,+34%,0%,-100%,-100%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,
1574,Emmental - Etoile D’or,40878683,,,['Etoile D’or'],['France'],"['Lait pasteurisé de vache*', 'sel', 'ferments lactiques', 'coagulant', "" *issu de l'agriculture biologique""]",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,373,1561 kj(373 kcal),29,"19,1","0,1","0,1",28,1,"0,4",C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",,29 g,en quantité élevée,19.1 g,en quantité élevée,0.1 g,en faible quantité,1 g,en quantité modérée,,-1%,-1%,-1%,-3%,-85%,-76%,+1%,+54%,+54%,13,+14%,D,+14%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,,,,,
1575,Fromage de chèvre - Milbona,40879208,,,['Milbona'],['France'],[],,,[],,?,392,1640 kj(392 kcal),"32,2","21,9",0,0,"29,3","1,73","0,692",E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,32.2 g,en quantité élevée,21.9 g,en quantité élevée,0 g,en faible quantité,1.73 g,en quantité élevée,,+38%,+39%,+41%,+37%,-100%,-100%,+69%,+28%,+28%,16,+20%,D,+20%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['IGP'],,,,,,
1576,Iogurte - Milbona,40881416,,,['Milbona'],['France'],[],,,[],,?,30,126 kj(30 kcal),"0,1","0,1","4,4","4,1","2,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Iogurte èremoso - Milbona,40881430,,,['Milbona'],['France'],[],,,[],,?,79,331 kj(79 kcal),"1,1","0,8","14,4","14,2","2,7","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Super Cookies Chia & Berries - Sondey,40881591,,,['Sondey'],"['France', 'Espagne']",[],,,[],,?,470,1966 kj(470 kcal),22,11,57,24,"8,1","0,8","0,32",,,['es:galletas-de-tipo-digestive'],,22 g,en quantité élevée,11 g,en quantité élevée,24 g,en quantité élevée,0.8 g,en quantité modérée,,0%,-0%,+11%,+62%,-11%,+30%,+13%,-11%,-11%,23,+36%,E,+36%,,,,,,,,,,,,,,
