,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
25,Kombu Breton - Marinoë - 50g,3565840401501,,50 g,"['Sachet', 'Plastique']",['Marinoë'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Algues et dérivés', 'Algues sèches', 'Algues kombu', 'Algues kombu sèches']","['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture France']",,['France'],"['Kombu Breton ', 'Laminaria digitata']",,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,C,['Bio14'],,53.0%,42.3%,1.8%,1.5%,1.4%,0.0%,25,,,['France'],['France'],,,
26,Chocolat de menage au Lait et aux Noisettes brisées - Auchan - 400g e (4 * 100g),3596710339006,,400 g e (4 * 100 g),"['Sachet', 'Plastique']",['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",,,['France'],"['Sucre', 'poudre de lait entier 15%', 'lactosérum en poudre ', 'lait', 'pâte de cacao', 'beurre de cacao', 'noisettes brisées 7,5% ', 'fruits à coque', 'matière grasse de lait anhydre', 'émulsifiants : lécithines ', 'tournesol', ' - polyricinoléate de polyglycérol', ""Z/ôme vanille Traces éventuelles d'autres fruits à coque et de gluten"", ' Cacao : 24% minimum dans le chocolat seul']","['Lait', 'Fruits à coque']",['Non végétalien'],4,25 g,en quantité élevée,13 g,en quantité élevée,59 g,en quantité élevée,0.41 g,en quantité modérée,?,,499,-12%,2088 kj(499 kcal),-12%,25,-34%,13,-26%,59,+27%,59,+34%,"8,3",-1%,"0,41",+117%,"0,164",+117%,27,+10%,E,+10%,E,['Auchan'],"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
27,Fromage râpé pour pâtes - Auchan - 350g,3596710389018,Mélange de trois fromages au lait pasteurisé. Emmental - mozzarella - Maasdam,350 g,"['Sachet', 'Plastique']",['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",['Point Vert'],,['France'],"['Emmental 33% : lait pasteurisé de vache ', 'origine France', 'sel', 'ferments lactiques', 'coagulant ', ' mozzarella 33% : lait pasteurisé de vache ', 'origine UE', 'sel', 'ferments lactiques ', ' coagulant ', ' maasdam - fromage à pâte pressée non cuite 32% : lait pasteurisé de vache ', 'origine France', 'sel', 'ferments lactiques', 'colorant : rocou', ' coagulant ', ' anti-agglomérant : fécule de pomme de terre 2%']",['Lait'],['Non végétalien'],4,26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,346,-7%,1448 kj(346 kcal),-7%,26,-10%,18,-7%,2,+107%,"0,5",+39%,26,-5%,1,0%,"0,4",0%,13,+1%,D,+1%,B,['Auchan'],['E160b - Rocou'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['France', 'Union européenne']",,,,
28,Confiture de myrtilles allégée en sucres - Auchan - 340g,3596710409471,confiture de myrtilles allégée en sucre,340 g,"['Verre', 'métal']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles', 'Confiture de fruits allégée en sucres']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,"['France', 'Suisse']",[],,[],,3 g,en quantité modérée,0 g,en faible quantité,35.4 g,en quantité élevée,0 g,en faible quantité,?,,177,+9%,741 kj(177 kcal),+8%,3,+1155%,0,-100%,42,+8%,"35,4",-6%,"0,3",-41%,0,-100%,0,-100%,6,-9%,C,-9%,D,['Auchan'],,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
29,Double Concentre De Tomates - Auchan - 150g,3596710434824,,150 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,,['France'],[],,[],,1 g,en faible quantité,0.2 g,en faible quantité,14 g,en quantité élevée,1.5 g,en quantité modérée,?,,91,-2%,381 kj(91 kcal),-2%,1,+58%,"0,2",+64%,14,-8%,14,+1%,"4,8",+7%,"1,5",+85%,"0,6",+85%,3,,C,,B,['Auchan'],,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,,,
30,Mon plus activité - Auchan,3596710441518,,,,['Auchan'],,"['Kascher', 'Fabriqué en France', 'en:Orthodox Union Kosher']",,['France'],"['source de maonésium* et de andes', ""de Il est important d'avoir une var\\ée ex Le magnésium contribue à réduire Le phosphore contribue à un métabolisme ingrédients Raisins secs "", 'raisins', ' huile de tournesol', 'amandes ', 'fruits à coque', ' de ca:ou ', 'fruits coqueà']",['Fruits à coque'],[],,,,,,,,,,?,,471,,1971 kj(471 kcal),,26,,"3,2",,46,,38,,12,,"0,2",,"0,08",,,,,,,['Auchan'],,,,,,,,,"['EMB 38085', 'Charvieu-Chavagneux (Isère, France)']",,,,,,
31,Macédoine de légumes - Auchan,3596710443178,,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes', 'en:canned-drained-diced-mixed-vegetables']",,,['France'],"['carottes', 'haricots verts', 'navets', 'petits pois', 'flageolets', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.7 g,en quantité modérée,?,,38,-59%,159 kj(38 kcal),-59%,"0,3",-95%,"0,1",-80%,51,+773%,"1,1",-32%,"2,1",-11%,"0,7",-10%,"0,28",-10%,-6,-2827%,A,-2827%,,['Auchan'],,,,,,,,,,,,,,,
32,Petits Pois à l'étuvée Extra Fins - Auchan - 560g,3596710443307,,560 g,"['Conserve', 'Boîte', 'Couvercle', 'Métal']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve', 'Pois']","['Point Vert', 'Triman']",,['France'],"['Petits pois', 'eau', 'sucre', 'sel', 'arôme naturel']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.9 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.53 g,en quantité modérée,?,,88,-7%,368 kj(88 kcal),-5%,"0,9",+20%,"0,2",+18%,11,-15%,"3,7",+10%,"5,8",+4%,"0,53",+22%,"0,212",+22%,-10,,A,,A,['Auchan'],,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,['France'],,,,
33,Trio de raisins moelleux - Auchan,3596710452361,,,,['Auchan'],,,,['France'],[],,[],,,,,,,,,,?,,269,,1125 kj(269 kcal),,"0,5",,"0,2",,"61,8",,"51,8",,"2,1",,"0,03",,"0,012",,,,,,,['Auchan'],,,,,,,,,,,,,,,
34,Pizza jambon fromage cuite sur pierre - Auchan - 450G,3596710456000,Pizza Jambon Fromage,450 G,"['blister plastique', 'plaque carton']",['Auchan'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizzas au jambon', 'Pizza au jambon']",['Nutriscore'],,['France'],"['Pâte cuite 40,84% ', 'farine de blé ', 'contient gluten', 'eau', 'levure', 'sel', 'sucre', 'sauce tomate cuisinée 22', '22% ', 'eau', 'purée de tomates double concentrée', 'farine de blé ', 'contient gluten', ""huile d'olive vierge extra"", 'oignons déshydratés', 'sucre', 'arôme', 'ail déshydraté', 'piment doux', 'jambon cuit standard 17,11 % ', 'jambon de porc ', '13,68%', 'eau', 'sel', 'sirop de glucose', 'arôme', 'émulsifiant : diphosphates', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'emmental ', 'contient lait', ' 13,11%', 'mozarella ', 'confient lait', ' 4,44%', 'olives noires entières confites 2,22% ', 'olives avec noyau', 'eau', 'sel', 'acidifiant : acide lactique', 'stabilisant : gluconate ferreux', 'basilic déshydraté', 'origan déshydraté']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,7 g,en quantité modérée,3.9 g,en quantité modérée,2.2 g,en faible quantité,1.6 g,en quantité élevée,?,,238,+9%,996 kj(238 kcal),+9%,7,-1%,"3,9",+12%,30,+15%,"2,2",-18%,13,+24%,"1,6",+17%,"0,64",+17%,11,+64%,D,+64%,C,['Auchan'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E579 - Gluconate de fer']",65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,"['EMB 80664A', 'Rancourt (Somme, France)']",,,,,,
35,Biscuits epeautre sesame - auchan - 150g,3596710459308,,150g,,['Auchan'],['Biscuits épeautre sésame'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Produit en braille', 'AB Agriculture Biologique']",,['France'],"['Farine de blé ', 'contient gluten', '"" 39 % ', 'sucre""', 'farine de petit épeautre ', 'contient gluten', '* 16 % ', 'huile de tournesol""', 'graines de sésame 11% ', 'amidon de blé ', 'contient gluten', '""', 'poudre de lait écrémé""', ""poudres à lever : carbonates d'ammonium carbonates de sodium"", ' sel', 'arôme naturel vanille', 'antioxydant: extrait de romarin"" biologiques', ' Traces éventuelles de fruits à coque', ""de soja et d'oeufs"", ' ']","['Gluten', 'Graines de sésame']",['Non végétalien'],4,23 g,en quantité élevée,2.8 g,en quantité modérée,20 g,en quantité élevée,0.5 g,en quantité modérée,?,,507,,2121 kj(507 kcal),,23,,"2,8",,64,,20,,"8,5",,"0,5",,"0,2",,10,,C,,,['Auchan'],"[""E503 - Carbonates d'ammonium"", 'E392 - Extrait de romarin']",,,,,,,,,,,['01250 ceyzeriat'],,,
36,Fraîcheur de mangues - Andros - 240g (2x120g),3608580910251,Dessert fruitier,240g (2x120g),['Frais'],['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Mangues au sirop']",['Produit pasteurisé'],,['France'],"['Mangues ', 'morceaux et purée', ' 50%\rEau\rSucre\rJus de fruits de la passion 4%\rGélifiant : pectines de fruits', 'antioxydant : acide ascorbique', 'correcteur d’acidité : citrates de calcium', ' Produit pasteurisé']",,[],4,0.2 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0.03 g,en faible quantité,?,,73,-15%,305 kj(73 kcal),-11%,"0,2",+35%,0,-100%,17,+8%,16,+12%,"0,3",-26%,"0,03",+86%,"0,012",+86%,-2,,A,,,['Géant casino'],"['E440 - Pectines', 'E300 - Acide ascorbique', 'E333 - Citrates de calcium']",,,,,,,,,,,['46130 biars sur cère'],,,
37,Fraîcheur de myrtilles - Andros - 240g,3608580910268,,240g,['2x120g'],['Andros'],['Dessert fruitier'],['Produit pasteurisé'],,['France'],"['myrtilles ', 'baies et purée', ' 50 %', 'eau', 'sucre', 'purée de cassis 4 %', 'jus de citrons', 'gélifiant : pectines de fruits', 'antioxydant : acide ascorbique', ' Produit pasteurisé']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.167 g,en faible quantité,0 g,en faible quantité,14.2 g,en quantité élevée,0 g,en faible quantité,?,,62.5,,262 kj(62 kcal),,"0,167",,0,,"14,2",,"14,2",,"0,417",,0,,0,,2,,B,,,['Cora'],"['E440 - Pectines', 'E300 - Acide ascorbique']",,,,,,,,,,,,,,
38,Douceur Cajou - na - 750ml,3609200008426,,750 ml,,['Na'],,,,['France'],"['Eau de source', 'noix de cajou griller 2', '7%', 'sucre de canne', 'farine de riz', 'extrait de vanille', 'sel de mer']",,[],,,,,,,,,,?,,31,,130 kj(31 kcal),,"1,3",,"0,3",,"3,8",,"3,1",,"0,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,
39,Tomates cerises allongées - Etoile du Sud - 250g,3700344600535,,250 g,"['Barquette', 'Plastique']","['Etoile du Sud', 'Idyl']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,"['Estonie', 'France']",['Tomates cerises allongées'],,[],,0.4 g,en faible quantité,0.09 g,en faible quantité,0.82 g,en faible quantité,0 g,en faible quantité,?,,19,+36%,79 kj(19 kcal),+36%,"0,4",-54%,"0,09",-20%,3,+24%,"0,82",-23%,"0,8",-21%,0,-100%,0,-100%,-5,,A,,B,,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,['Maroc'],,,,
40,Mousse chocolat au lait - Doux Secrets - 240g (4 * 60g),3701002400221,,240 g (4 * 60 g),,['Doux Secrets'],"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",,,['France'],"['Dessert lacté : mousse au chocolat au lait : lait entier ', 'origine France', ' ', ' sucre ', "" l'it : 8,2îs "", 'sucre', 'pâte de cacao', 'poudre de lait poudre de lait é', 'rémé', ' ', ' poudre de cacao ', ' lait ', ' gélatine ', ' épaississants : alginatedes&q ', 'êTaghénanes ', "" émulsifiants esters ladiques des moroet d'acides gras "", ' poudre de lait écrémé ', ' de lait', ' Peut contenir des traces de soja', ' Poids']",['Lait'],"['Non végétalien', 'Non végétarien']",4,8.2 g,en quantité modérée,5.3 g,en quantité élevée,20.5 g,en quantité élevée,0.2 g,en faible quantité,?,,179,-35%,749 kj(179 kcal),-34%,"8,2",-50%,"5,3",-48%,"21,1",-4%,"20,5",+3%,"4,3",-27%,"0,2",-9%,"0,08",-9%,11,-17%,D,-17%,D,,['E428 - Gélatine'],86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,
41,Soja saveur vanille - Le fromager des halles - 400g,3701002400399,,400 g,,['Le fromager des halles'],"['Desserts', 'Desserts végétaliens', 'Desserts au soja', 'Dessert au soja aromatisé', 'Desserts de soja à la vanille']",['Sans OGM'],,['France'],"['jus de soja 86% ', 'eau - graines de soja* 6,6%', ' sucre 9,5% ', ' amidons modifiés de manioc ', ' phosphate tricalcique ', ' arômes vanille ', ' épaississant : carraghénanes ', ' sel ', "" correcteur d'acidité : hydroxyde de sodium "", ' colorant: lutéine', ' *sans OGM']",['Soja'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1.6 g,en faible quantité,0.3 g,en faible quantité,10 g,en quantité modérée,0.1 g,en faible quantité,?,,85,-1%,356 kj(85 kcal),-3%,"1,6",-10%,"0,3",-5%,14,-3%,10,-3%,3,-3%,"0,1",-26%,"0,04",-26%,2,+37%,B,+37%,B,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E524 - Hydroxyde de sodium', 'E161b - Lutéine']",53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,,,,,,,
42,Crabe cocktail - delicemer traiteur  - 120g,3760036824694,,120g,,['delicemer traiteur'],,,,['France'],[],,[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,"28,3",,"2,2",,"9,4",,"4,7",,"6,7",,"2,025",,"0,81",,,,,,,,,,,,,,,,,,,,,,
43,Graines de tournesol - bio par nature - 250g,3760211821197,,250g,,['bio par nature'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol', 'Graines de tournesol décortiquées', 'Graines de tournesol bio']",['Bio'],,['France'],['100% graines de tournesol*\r*produit issu de l’agriculture biologique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,47.5 g,en quantité élevée,5.3 g,en quantité élevée,1.7 g,en faible quantité,0.08 g,en faible quantité,?,,593,-1%,2481 kj(593 kcal),-1%,"47,5",-5%,"5,3",-6%,"18,6",+66%,"1,7",-33%,"19,8",-10%,"0,08",-72%,"0,032",-72%,7,-23%,C,-23%,C,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,
44,Sucre muscovado - Ail ! Ail ! Ail ! - 500g,3760245510081,,500 g,"['Sachet', 'Plastique']",['Ail ! Ail ! Ail !'],"['Édulcorants', 'Sucres', 'Sucres de canne']",,,['France'],['sucre Muscovado'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,94 g,en quantité élevée,0 g,en faible quantité,?,,393,+1%,1644 kj(393 kcal),+0%,0,-100%,0,,98,+0%,94,-3%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,B,,,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,['Maurice'],,,,
45,Skittles chewies - 45g,4009900526982,Bonbons tendres aux goûts fruits,45 g,['Plastic'],"['Skittles', 'Mars']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,"['Finlande', 'France', 'Irlande']","['SUGAR', 'GLUCOSE SYRUP', 'PALM FAT', 'ACIDS MALIC ACID', 'CITRIC ACID', ' DEXTRIN', 'MODIFIED STARCH', 'MALTODEXTRIN', 'FLAVOURINGS', 'EMULSIFIER LECITHIN', 'COLOURS E163', 'E162', 'E160a', 'E141', 'E153', ' PALM KERNEL OIL', 'CONCENTRATES ', 'SWEET POTATO', 'CARTHAMUS', 'RADISH']",,['Huile de palme'],4,5.9 g,en quantité modérée,3.3 g,en quantité modérée,85.4 g,en quantité élevée,0 g,en faible quantité,1705,+10%,403,+13%,1705 kj(403 kcal),+14%,"5,9",+217%,"3,3",+211%,"86,2",+3%,"85,4",+47%,0,-100%,0,-100%,0,-100%,18,+25%,D,+25%,E,"['SuperValu', 'Karkki & Herkku']","['E296 - Acide malique', 'E330 - Acide citrique', 'E1400 - Dextrines', 'E14XX - Amidons modifiés', 'E322i - Lécithine', 'E163 - Anthocyanes', 'E162 - Rouge de betterave', 'E160a - Carotènes mélangés', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E153 - Charbon végétal médicinal']",90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
46,Surimi,40882963,,,,,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']","['Pêche durable', 'Pêche durable MSC']",,['France'],[],,[],,14 g,en quantité modérée,12 g,en quantité élevée,3.5 g,en faible quantité,1.8 g,en quantité élevée,?,,196,+65%,820 kj(196 kcal),+65%,14,+197%,12,+1749%,11,-4%,"3,5",+22%,"6,6",-12%,"1,8",+5%,"0,72",+5%,19,+331%,E,+331%,B,,,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,
47,Company Goji Berry Juice Drink - The berry company - 1litre,5034525006686,Boisson aux fruits,1 litre,"['Brique', 'tetra pak']",['The berry company'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons sans alcool', 'Boissons sans sucre ajouté']","['en:gluten-free', 'Sans arômes artificiels', 'Sans conservateurs']",http://www.theberrycompany.co.uk,"['Belgique', 'France']","['Eau', 'Jus de fruits à base de concentré et jus de fruits pressés 12% ', 'raisin', 'jus de baie de Goji pressée 2%', 'fruits de la passion', 'sucres naturels', 'pectine de fruits', 'acide malique', 'concentrés ', 'citrouille', 'carotte', 'arôme naturel', 'antioxydant ', 'acide ascorbique']",,[],4,0 g,en faible quantité,0 g,en faible quantité,10.4 g,en quantité élevée,0 g,en faible quantité,?,,44,+16%,184 kj(44 kcal),+10%,0,-100%,0,-100%,"10,5",+21%,"10,4",+41%,"0,1",-56%,0,-100%,0,-100%,14,+99%,E,+99%,B,['Auchan'],"['E440 - Pectines', 'E296 - Acide malique', 'E300 - Acide ascorbique']",36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,"['The berry company', 'UK']",,,
48,Apfel & Mango - Innocent - 330ml,5038862134415,,330 ml,['Stück'],['Innocent'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,"['Autriche', 'France', 'Suisse']",[],,[],,20.5 g,en quantité élevée,0.1 g,en faible quantité,9.6 g,en quantité élevée,0.01 g,en faible quantité,197,+2%,44,-4%,197 kj(44 kcal),+3%,"20,5",+12030%,"0,1",+256%,11,+4%,"9,6",-1%,"0,5",+28%,"0,01",+1%,"0,004",+1%,4,+5%,C,+5%,D,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
49,Trésor goût chocolat noisettes - Kellogg's - 1kg,5050083544972,,1 kg,"['Carton', 'Sachet', 'Plastique', 'Boite', 'Etui']","[""Kellogg's"", 'Trésor']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Céréales fourrées']",,,"['Belgique', 'France']","['Farines de céréales ', 'blé {26%}', 'avoine complète {17%}', 'riz {12%}', 'fourrage au goût chocolat noisettes ', 'sucre', 'huiles végétales [colza', 'palme]', 'chocolat {4%} [sucre', 'pâte de cacao]', 'maltodextrine', 'noisettes {2%}', 'cacao maigre en poudre', 'petit-lait en poudre', 'lait écrémé en poudre', 'émulsifiant [lécithine de tournesol]', 'arôme naturel', 'sucre', 'sel', 'colorant ', 'caroténoïdes', 'rocou', 'antioxydant ', ""palmitate d'ascorbyle"", 'alpha-tocophérol']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine']","['Huile de palme', 'Non végétalien']",4,16 g,en quantité modérée,4 g,en quantité modérée,29 g,en quantité élevée,1.13 g,en quantité modérée,?,,450,+3%,1883 kj(450 kcal),+3%,16,+16%,4,+6%,68,0%,29,+1%,"6,9",-8%,"1,13",+77%,"0,452",+77%,16,+23%,D,+23%,D,['Delhaize'],"['E322i - Lécithine', 'E160 - Caroténoïdes', 'E160b - Rocou', ""E304i - Palmitate d'ascorbyle"", 'E307 - Alphatocophérol']",74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,"['Huile de palme', ""E304 - Palmitate d'ascorbyle""]",,,,,
