,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
94,Aiguillettes saumon mariné,3444940004358,['France'],[],[],?,191,799 kj(191 kcal),13,"2,5",1,"0,5","18,5","2,5",1,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Andouillette de jargeau,0241138059564,['France'],[],[],?,259,1084 kj(259 kcal),21,10,"1,1","1,1",17,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.405.004 CE', 'Servas (Ain, France)', 'FR 01.405.001 CE', 'Servas (Ain, France)']",,,,,,,,,,,,,,,,,
96,Rillettes de maquereaux,3760012692200,['France'],[],[],?,214,895 kj(214 kcal),"16,2",6,"2,5","0,2","14,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Torpédo surimpression breaded,8713913089087,['France'],[],[],?,158,661 kj(158 kcal),"1,4","0,5",25,0,"9,1","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Gratons,2424910017589,['France'],[],[],?,715,2992 kj(715 kcal),65,26,"4,7","0,5",28,"1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Crackers emmental -,3760020821852,['France'],[],[],?,520,2176 kj(520 kcal),28,"5,5",53,"6,2",13,"1,5","0,6","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",28 g,en quantité élevée,5.5 g,en quantité élevée,6.2 g,en quantité modérée,,+12%,+11%,+41%,+1%,-11%,+58%,+31%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,1.5 g,en quantité modérée,-25%,-25%,,18,+17%,D,+17%,,,,,
100,Caramels Rose-Litchi,3770014819314,['France'],[],[],?,546,2284 kj(546 kcal),35,21,55,44,"2,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Biscuit epautre,7613312315514,['France'],[],[],?,432,1807 kj(432 kcal),12,"1,2",65,"2,5",13,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Vinaigre de cidre bio au piment d’Espelette,3760197502011,['France'],[],[],?,23,96 kj(23 kcal),"0,05","0,01","1,3","0,8","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Perene multicereale 400gr,3276555332331,['France'],[],[],?,265,1109 kj(265 kcal),3,"0,4",48,"1,3","9,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Croissant jambon fromage,3664335052379,['France'],[],[],?,281,1176 kj(281 kcal),16,10,21,"4,6",11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Rôti cuit,3396410240561,['France'],[],[],?,122,510 kj(122 kcal),4,"1,6","0,5","0,5",21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Citron zestes confits,2007358007352,['France'],[],[],?,134,561 kj(134 kcal),"7,6","5,1","12,7","11,8","2,7","0,11","0,044","['Sans arômes artificiels', 'Sans colorants']",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits']",7.6 g,en quantité modérée,5.1 g,en quantité élevée,11.8 g,en quantité modérée,,-52%,-52%,+2129%,+6000%,-81%,-79%,+261%,,,,,,,,,,,,,,,,0.11 g,en faible quantité,-85%,-85%,,2,-72%,B,-72%,,,,,
107,Chips Poppées -,3291960016676,['France'],[],"['Végétalien', 'Végétarien']",?,128,536 kj(128 kcal),"11,9","0,3",69,"6,5",6,8,"3,2","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien']",,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de panais']",11.9 g,en quantité modérée,0.3 g,en faible quantité,6.5 g,en quantité modérée,,-75%,-75%,-60%,-90%,+28%,+177%,+5%,,,,,,,,,,,,,,,,8 g,en quantité élevée,+502%,+502%,,12,+3%,D,+3%,,,,,
108,Découpe de dinde bio,2220532038182,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",,,,,,,,,,,,,,,,,
109,Jambon cuit,3523680461093,['France'],[],[],?,450,1883 kj(450 kcal),"2,2","0,8","0,5","0,5",22,2,"0,8",,,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",2.2 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en faible quantité,,+241%,+244%,-54%,-57%,-25%,-16%,+4%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,2 g,en quantité élevée,+7%,+7%,,13,+84%,D,+84%,,,,,
110,Aperidouille de l'argoat,2265470000006,['France'],[],[],?,252,1054 kj(252 kcal),20,"9,6",0,0,13,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,
111,La tisane du futur,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,KRUPKY Soufflé de maïs,8594038975956,['France'],[],[],?,508,2125 kj(508 kcal),27,"3,7",55,"8,1","5,5","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Livarot,2260011026378,['France'],[],[],?,294,1230 kj(294 kcal),22,0,"0,6",0,24,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 45.083.001 CE', 'Château-Renard (Loiret, France)']",,,,,,,,,,,,,,,,,
114,Saveur Mozza,0628250985863,['France'],[],[],?,297,1243 kj(297 kcal),23,"20,1",22,"4,4","0,42","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Tuile de noix de coco,4035532328229,['France'],[],[],?,534,2234 kj(534 kcal),"34,57","23,65","49,36","33,35","6,18","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Concombre,3564706669390,['France'],[],[],?,68,285 kj(68 kcal),6,"0,5",2,2,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 29241B', 'Rosporden (Finistère, France)']",,,,,,,,,,,,,,,,,
117,Dymatize protein powder,0705016353200,['France'],[],[],?,110,460 kj(110 kcal),0,0,2,1,25,"0,275","0,11",['Sans gluten'],,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,,-69%,-69%,-100%,-100%,-92%,-91%,-33%,,,,,,,,,,,,,,,,0.275 g,en faible quantité,-48%,-48%,,-3,-137%,A,-137%,,,,,
118,Carbonade de bœuf,2450022032011,['France'],[],[],?,767,3209 kj(767 kcal),13,"5,7","2,5","1,3",14,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,
119,Sorbet litchi - Histoires De Glaces - 750ml,3267180090154,['France'],"['Purée de litchi de Madagascar 53%', 'eau', 'sucre', 'dextrose', 'jus de citron jaune avec pulpe', ""émulsifiant mono et diglycérides d'acides gras "", ""issus d'huiles végétales"", 'stabilisants : farine de graines de caroube', 'méthylcellulose', 'carraghénanes ', ""extrait d'algues"", 'pectine', 'antioxydant : acide ascorbique']",[],?,132,552 kj(132 kcal),"0,6","0,4","30,1","30,1","0,5",0,0,"['Sans gluten', 'Sans colorants']",['Histoires De Glaces'],C,750 ml,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets']",0.6 g,en faible quantité,0.4 g,en faible quantité,30.1 g,en quantité élevée,,+8%,+8%,+110%,+334%,+6%,+24%,+10%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,4,,,,,0 g,en faible quantité,-100%,-100%,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E461 - Méthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E300 - Acide ascorbique']",6,+14%,C,+14%,,,,,
120,Axmed Donjoy Bombe De Froid - 400 ML,3401072645873,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Aceite de oliva virgen extra,8437018032020,['France'],[],[],?,900,3766 kj(900 kcal),100,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Champignons noirs séchés,0745114589644,['France'],[],[],?,255,1067 kj(255 kcal),5,2,"14,5","10,5",18,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Coppa,5498634010635,['France'],[],[],?,209,874 kj(209 kcal),15,6,4,4,18,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.907.002 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,
124,Les glaces du Canigou,3760299290601,['France'],[],[],?,361,1510 kj(361 kcal),"0,5","0,2",87,85,"1,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Le capri bleu,3269010000050,['France'],[],[],?,1322,5531 kj(1322 kcal),25,17,"2,5",,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 48.086.011 CE', 'Luc (Lozère, France)']",,,,,,,,,,,,,,,,,
126,Magret de canard,2851344166550,['France'],[],[],?,?,,?,,?,,?,0,0,['IGP'],,E,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,"['FR 46.128.002 CE', 'Gramat (Lot, France)']",,,,0 g,en faible quantité,-100%,-100%,,,,,,,,,,
127,Thé Noir Parfumé Quatre Fruits Rouges,3259920067496,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Lentilles. Rouge,0200226009058,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Pasta Salat,4388860480641,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Jambon,2440515020939,['France'],[],[],?,112,469 kj(112 kcal),"3,5","1,3",0,0,20,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Negroamaro,8008530006235,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Mounthagen - Demeter,400799109829,['France'],[],[],?,?,,?,,?,,?,,,,['Demeter'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Le clafoutis au lait fermier,3593551177026,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Pain cereales,3700581205326,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bikaji,8906005503268,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Buchweizen-couscous,8018699019588,['France'],[],[],?,352,1473 kj(352 kcal),"1,79","0,4","71,4",1,"9,99",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Amande decortiquée,2609849052805,['France'],[],[],?,645,2699 kj(645 kcal),"49,9","3,8","21,5","4,2","21,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,pain libanais,8720256733003,['France'],[],[],?,212,887 kj(212 kcal),"0,6","0,1","44,3","2,4","6,8","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Monte Choco Balls,4014500510620,['France'],[],[],?,214,895 kj(214 kcal),"13,8",9,"18,9","15,5","3,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Uova all terra lx,8057737590061,['France'],[],[],?,128,536 kj(128 kcal),"8,7","3,2",0,0,"12,4","0,34","0,136","['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Brie de Meaux aop,2286630002340,['France'],[],[],?,263,1100 kj(263 kcal),20,14,"0,9",0,20,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Ribs à griller,2606165038704,['France'],[],[],?,243,1017 kj(243 kcal),18,"6,8","3,7","2,5",17,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Étui orangettes enrobées,3700840183341,['France'],[],[],?,501,2096 kj(501 kcal),"28,2","18,1",62,"61,6",11,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Andros,3608580063094,['France'],[],[],?,203,849 kj(203 kcal),"0,2",0,12,12,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Carciofini delicati in olio extra vergine di oliva,8001876050009,['France'],[],[],?,327,1368 kj(327 kcal),"31,3",5,9,0,"0,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,ÇICOLATA,8690526077536,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Bonbons halal - Chayma,3700952001878,['France'],"['Sirop de glucose', 'Sucré', 'Eau', 'Gélatine', 'Amidon modifié de pomme de terre', 'Acidifiants : E330', 'E270', 'Pectine', 'Arôme artificiel', 'colorants : E129', 'E163', 'E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,371.13,1553 kj(371 kcal),0,0,"88,41","51,25","3,42",,,,['Chayma'],E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,51.2 g,en quantité élevée,,+4%,+4%,-100%,-100%,+6%,-12%,+61%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,4,,,,,,,,,"['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E440 - Pectines', 'E129 - Rouge allura AC', 'E163 - Anthocyanes', 'E160a - Carotènes mélangés']",,,,,,,,,
148,Chips à la truffe,8025386000613,['France'],[],[],?,160,669 kj(160 kcal),10,1,16,0,2,"0,188","0,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Pain au chocolat,0260207011487,['France'],[],[],?,2,8 kj(2 kcal),12,12,13,12,12,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Agour,2481339065928,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Crème glacée artisanale,3495040341782,['France'],[],[],?,220,920 kj(220 kcal),"13,1","12,5",17,"14,1","2,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Amandes,2609849049072,['France'],[],[],?,645,2699 kj(645 kcal),"49,9","3,8","21,5","4,2","21,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Têtes brûlées (jungle barres ),3501275112056,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Delizie Di Calabria - Sundried Tomatoes,8007548001676,['France'],[],[],?,992,4151 kj(992 kcal),19,5,12,10,0,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Chocolat noir coeur menthe,3564884025155,['France'],[],[],?,480,2008 kj(480 kcal),"30,5","18,5","44,9","39,4","5,3",,,"['Bio', 'Bio européen', 'FR-BIO-12']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Mini muffins,5906660721505,['France'],[],[],?,428,1791 kj(428 kcal),19,2,58,35,"4,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Feodora - prinzessin - 450gr,4000323085209,['France'],"['Fève de cacao', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'émulsifiant: lécithine', 'extrait de vanille de bourbon']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,574,2402 kj(574 kcal),42,26,39,36,"7,7","0,06","0,024",,['Prinzessin'],,450gr,,,,,,,,,,,,,,,,,,,,,,,,['Allemagne'],,4,,,,['Noz'],,,,,['E322i - Lécithine'],,,,,,,,,
158,Gelules minceur,3683080478517,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Tarte a la myrtille,0268726050512,['France'],[],[],?,179,749 kj(179 kcal),"5,3","3,5",29,11,"2,7","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Chocolatines x12 e.leclerc,0297963029524,['France'],[],[],?,470,1966 kj(470 kcal),17,11,69,28,"8,9","0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Fraisier 12pers,0208353110869,['France'],[],[],?,294,1230 kj(294 kcal),"9,9","3,8",44,33,"6,1","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bloc de foie gras de canard,3760074800278,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Farine de blé complète type T150,3347431444605,['France'],[],[],?,337,1410 kj(337 kcal),"1,46","0,3","64,6","1,77","12,8",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Stevia,3400930223154,['France'],[],[],?,2,8 kj(2 kcal),1,"0,8",99,"2,5",0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Caca,0032805320052,['France'],[],[],?,2,8 kj(2 kcal),0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Celebration chocolat,0064042490847,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Coco Fresh,8936143036243,['France'],[],[],?,31,130 kj(31 kcal),0,0,"7,7","7,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Chocblop Getreidekost, Schokolade",23636040,['France'],[],[],?,382,1598 kj(382 kcal),"3,7","1,4","74,7",23,"9,4","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,cacahuete bio,2227149017326,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Vin du sud-ouest GAILLAC,3420254137395,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,AROY-D Coconut Milk (Nuoc Cot Dua),0016229005337,['France'],[],[],?,204.81927710843,857 kj(204 kcal),"20,482","19,277","4,819","2,41","1,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0042272006434,0042272006434,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Cuisse de Poulet,2287470002781,['France'],[],[],?,2,8 kj(2 kcal),"14,3","3,4","0,5",0,18,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Berry Smoothie,9339687174966,['France'],[],[],?,47,197 kj(47 kcal),"0,2",0,"9,9","9,2","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Electrolytes,3288111360337,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Mélange tonus,2600285021325,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Yaourtes fermier rubarbes,3760174651756,['France'],[],[],?,86.099998474121,360 kj(86 kcal),"0,37","0,13","7,26","3,89","3,6","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Palmiers,0205502022967,['France'],[],[],?,422,1766 kj(422 kcal),27,19,40,14,"4,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Caram.saila Spice GR80 Bipack,80513124,['France'],[],[],?,382,1598 kj(382 kcal),0,0,95,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Tatlicilar,4260143890029,['France'],[],[],?,373.5,1563 kj(373 kcal),"20,7","6,9","43,7","30,2","3,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Confiture d'abricots,3330724200507,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Tomate,3700007901115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Jus de pomme,3760244856029,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6 crêpes tradition,3459071260061,['France'],[],[],?,243,1017 kj(243 kcal),"3,3","1,5","45,5","21,7",7,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Croissant,0207105014769,['France'],[],[],?,395,1653 kj(395 kcal),20,14,43,"6,6","9,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Confiture,3608580057857,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Légumes pour wok,3292590831899,['France'],[],[],?,108,452 kj(108 kcal),0,0,"3,2","2,9","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Miel de ronce,3760155471366,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Café,3770003870043,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Saucisson brioché,3760276950030,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Oat sandwich cookies,8713305812811,['France'],[],[],?,529,2213 kj(529 kcal),30,17,59,16,"5,5","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Confiture abricot,11237150,['France'],[],[],?,231,967 kj(231 kcal),"0,2","0,1","55,4","55,1","0,01",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Caramel beurre salé au sel de Guérande,3770004925810,['France'],[],[],?,432,1807 kj(432 kcal),30,17,39,32,"1,2","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Huile d'olive vierge extra,5214000175001,['France'],[],[],?,124,519 kj(124 kcal),20,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Pate a tartiner Mercier,3395250600306,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,100% clémentines pressées - Tropicama,0424144811245,['France'],[],[],?,?,,?,,?,,?,,,,['Tropicama'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
