,name,bar_code,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,markets,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info,brand_owner,origin_detail
40,Fleischersatz für Ente - Wu Chung Brand - 280g,4710597100828,280 g,"['Conserve', 'métal', 'Sec']","['Wu Chung Brand', 'Paris Store']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Plats préparés', 'Substituts de viande', ""Plats préparés d'origine végétale"", 'Plats préparés en conserve']","['Végétarien', 'Halal', 'Fabriqué à Taïwan']",['France'],"['Gebratenes Gluten [Weizen', 'Wasser', '_Sojabohnen_öl] 64%', 'Wasser', 'Sojabohnensoße [Wasser', 'Sojabohnen', 'Weizen', 'Salz]', 'Zucker', 'Salz']",,['Végétarien'],,2.73 g,en faible quantité,0.44 g,en faible quantité,2.72 g,en faible quantité,1.2 g,en quantité modérée,?,88,368 kj(88 kcal),"2,73","0,44","2,87","2,72","13,04","1,2","0,48",1,B,,,-46%,-45%,-57%,-56%,-82%,+12%,+110%,+32%,+32%,+326%,+326%,,,,,,,,Plat Végétarien Imitation Canard,['Taïwan'],,['Paris Store'],"['Gluten', 'Soja', 'Sojabohnen', 'Weizen']",['Taiwan'],,,,,
41,Preparation pour the vert,4710960908167,,,,,,['France'],[],,[],,,,,,,,,,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Japanese mochi ""Red bean"" 210G - Taiwan Dessert",4711931018427,,"['Carton', 'Plastique']",['Taiwan Dessert'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",['HACCP'],['France'],"['Maltose ', '25 %', 'riz gluant ', '25 %', 'pâte de haricots rouges ', '20 %', ' [haricots rouges ', '60,6 %', 'sucre', 'maltose', 'huile de palme', 'sucre', 'stabilisateur : ', 'E1442', 'huile de palme', 'conservateur: ', 'E200']","['E1442 - Phosphate de diamidon hydroxypropyle', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",['Huile de palme'],4,2 g,en faible quantité,1 g,en faible quantité,35.6 g,en quantité élevée,0.77 g,en quantité modérée,?,308,1289 kj(308 kcal),2,1,"70,5","35,6","2,1","0,77","0,308",13,D,,,+2%,-0%,-50%,-29%,+7%,+19%,-17%,+328%,+328%,+27%,+27%,,,,,,,,,['Taïwan'],,,,,,['Huile de palme'],,,
43,Yuki & Love Japanese Style Taro Mochi - 210g,4712905016081,210 g,"['Carton', 'Plastique']",['Yuki & Love'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",,['France'],"['Maltose', 'pâte de taro ', 'haricot sabre', 'huile soja', 'taro', 'saveur artificielle', 'sucre', 'poudre visqueuse de riz', 'poudre de pomme de terre', 'poudre visqueuse pourpre de riz', 'eau', 'conservateur ', 'sorbate de potassium', ""ester d'acide gras de glycérine "", 'E471', 'gomme de xanthane']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane']","[""Pourrait contenir de l'huile de palme""]",4,3 g,en quantité modérée,3 g,en quantité modérée,15 g,en quantité élevée,0 g,en faible quantité,?,360,1506 kj(360 kcal),3,3,81,15,3,0,0,8,C,,,+19%,+17%,-25%,+113%,+23%,-50%,+18%,-100%,-100%,-22%,-22%,,,,,,,,Mochis au taro - Japanese Style Taro Mochi,['Taïwan'],,,['Soja'],,,,,,
44,Elephant House Necto (1.5LT) - 1.5l,4791066003093,1.5l,['plastic bottle'],['Elephant House'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons plates aux fruits', 'Boissons plates aux fruits sucrées']",['en:made in Sri Lanka'],['France'],"['Eau gazéifiée', 'sucre', 'acide ', 'acide citrique', 'polydextrose', 'Artificial saveur de framboise ', '0,05 %', 'Edulcorant ', 'Stéviol glycoside', 'permise conservateur ', 'E211', 'permise Couleurs ', 'E122', 'E133', "" E122 peuvent avoir un effet défavorable sur l'activité et l'attention chez les enfants"", ' Conservez dans un endroit frais', 'sec lieu et hors de lumière directe du soleil', ' Une fois ouvert conserver au réfrigérateur et consommer dans les 03 jours', ' Meilleur avant fin: Voir goulot de la bouteille', ' DE: Zutaten: Kohlensäurehaltiges Wasser', 'Zucker', 'Zitronensäure', 'Polydextrose', ' Himbeergeschmack', '0,05%', 'Süßstoff ', 'Steviol-Glykosid,']","['E330 - Acide citrique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E124 - Ponceau 4R', 'E122 - Azorubine carmoisine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,7.3 g,en quantité élevée,0 g,en faible quantité,?,19.200000762939,80 kj(19 kcal),0,0,"7,3","7,3",0,0,0,8,D,C,,-57%,-57%,-100%,-100%,-30%,-24%,-100%,-100%,-100%,+19%,+19%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,['Sri Lanka'],,,,,
45,Creme De Coco 200G - Renuka - 200g,4792038411908,200 g,,['Renuka'],,"['Sans arômes artificiels', 'Sans conservateurs']",['France'],"['noix de coco 100%', 'Sans arome artificiel ni conservateur', ' Tenir au réfrigérateur']",,[],,,,,,,,,,?,350,1464 kj(350 kcal),34,32,4,"3,7",4,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Agua de coco ecológica - Cocomi - 330ml,4792038504006,330 ml,['Tetrapack'],['Cocomi'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons à base de végétaux', 'Eaux de coco', 'Aliment']","['Bio', 'LK-BIO-149']",['France'],['Eau de noix de coco biologique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,0.01 g,en faible quantité,?,14,59 kj(14 kcal),0,0,"3,6","2,4",0,"0,01","0,004",-6,B,,,-26%,-29%,-100%,-100%,-21%,-34%,-100%,-85%,-85%,-344%,-344%,,,,,,,,Eau De Coco,['Sri lanka'],http://www.cocomibio.com/range/coconut-water.html,['Magasins bio'],,,,,,,
47,Nestle Cereal Milo,4800361002974,,,['Nestlé'],,,['France'],"['Céréales {[Farine de blé à grains entiers ', '30,0%', 'farine de blé ', 'gluten', ']', 'semoule de maïs}', 'sucre', ""extrait de malt d'orge "", 'orge maltée ', 'gluten', 'amidon de tapioca', 'poudre de cacao allégée', 'huile de palme ', 'avec Antioxydant: Ascorbyl Palmitate', 'poudre de lait écrémé ', 'lait de vache', 'sels minéraux ', 'carbonate de calcium', 'fer réduit', 'sel iodé ', 'chlorure de sodium', 'iodate de potassium', 'poudre de lactosérum ', 'lait de vache', 'émulsifiant ', 'lécithine de soja E322', 'substance de synthèse ', 'Vanilline', 'Substance aromatisante naturelle ', 'chocolat', 'tocophérols et vitamines ', 'B3', 'B5', 'B6', 'B2 et B9']","[""E304i - Palmitate d'ascorbyle"", 'E322i - Lécithine', 'E307c - Tocophérol']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,371,1552 kj(371 kcal),"2,9",1,"78,1","29,2","8,1","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,['Huile de palme'],,,
48,S&B golden curry fort - 220g,4901002075439,220 g,"['Carton', 'Barquette en plastique']",['S&B'],"['Epicerie', 'Sauces', 'Sauces au curry']",,['France'],"['farine de blé', 'huiles végétales ', 'huile de palme', 'huile de colza', 'sel', 'poudre de curry 9,5% ', 'curcuma', 'coriandre', 'poivre', 'cumin', 'fénugrec', ""zeste d'orange"", 'paprika', 'épices', 'sucre', 'exhausteurs de goût ', 'E621', 'E627', 'E631', 'colorant E150a', 'épices ', 'poivre', 'piment', 'ail', 'graine de céleri', 'moutarde', 'acide malique']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E150a - Caramel E150a', 'E296 - Acide malique']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,28 g,en quantité élevée,17 g,en quantité élevée,9.8 g,en quantité modérée,10.4 g,en quantité élevée,1983,476,1983 kj(476 kcal),28,17,45,"9,8","7,3","10,4","4,16",27,E,B,+159%,+104%,+115%,+53%,+403%,+329%,+63%,+356%,+519%,+519%,+131%,+131%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,Mélange pour curry japonais en morceaux,['Japon'],,['Supermarché Asie'],"['Céleri', 'Gluten', 'Moutarde']",,,['Huile de palme'],,,
49,Sauce De Soja BIO - Kikkoman,4901515120411,,,['Kikkoman'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['Bio'],['France'],"['Eau', 'graines de soja', 'blé', 'sel']",,[],,0 g,en faible quantité,0 g,en faible quantité,2.1 g,en faible quantité,15.8 g,en quantité élevée,?,94,393 kj(94 kcal),0,0,14,"2,1","9,8","15,75","6,3",11,D,B,,-15%,-14%,-100%,-100%,-21%,-83%,+53%,+31%,+31%,-2%,-2%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,
50,Sangaria Asian Grape Ramu Bottle,4902179014290,,,['Sangaria'],['Boissons'],,['France'],"['Eau', ' sirop de Inaïs à haute teneur en fructose', 'acide citrique ', 'E330', 'arôme']",['E330 - Acide citrique'],[],4,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,49,205 kj(49 kcal),0,0,"12,2",12,0,0,0,15,E,,,-12%,-15%,-100%,-100%,+8%,+27%,-100%,-100%,-100%,+96%,+96%,,,,,,,,,,,,,,,,,,
51,Thunfisch Pikant - Vier Diamanten - 185g,4902950115093,185g,"['Dose', 'Dose(n)']",['Vier Diamanten'],,,"['Autriche', 'France', 'Allemagne']",[],,[],,,,,,,,,,?,101,423 kj(101 kcal),"2,2","0,4",6,"4,5",14,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,So Simple Original Porridge - Quaker,5000108686682,,,['Quaker'],,,['France'],[],,[],,,,,,,,,,?,370,1548 kj(370 kcal),"1,7","1,3",59,"2,4",11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Coca - Cola light  taste koffeinfrei - 1,5l",5000112548389,"1,5 l","['PET', 'Einwegpfand', '♳']",['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola', 'Boissons avec sucre ajouté']",,"['France', 'Allemagne']","['Wasser', 'Kohlensäure', 'Farbstoff E150d', 'Säuerungsmittel Phosphorsäure und Citronensäure', 'Süßungsmittel ', 'Natriumcyclamat', 'Acesulfam K', 'Aspartam', 'Aroma']","['E290 - Dioxyde de carbone', ""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E950 - Acésulfame K', 'E951 - Aspartame']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en quantité modérée,?,0.2,1 kj(0 kcal),0,0,0,0,0,"0,2","0,08",1,B,,,-99%,-99%,-100%,-100%,-100%,-100%,-100%,+1752%,+1752%,-86%,-86%,,,,,,,,"koffeinfreies, kalorienfreies Erfrischungsgetränk mit Pflanzenextrakten, mit Süßungsmitteln",,,,,,,,,,
54,Rice Krispies Squares Cereal Bar - Kellogg's - 28g,5000127731257,28 g,['mixed plastic-packet'],"[""Kellogg's""]",,,['France'],"[""Kellogg's Toasted Rice Cereal "", '3596', 'Rice Sugar', 'Salt', 'Barley Ma Flavouring', 'Niacin', 'Iron', 'Vitamin B6', 'Vitamin B2', 'Riboflavin', ',Vitamin B1 Thiamin', 'Folic Acid Vitamin D', 'Vitamin B12', ' Marshmallow ', '33%', 'Glucose Syrup', 'Sugar', 'Beef Gelatin', 'Flavouring', 'Fructose Palm Oil,Invert Sugar Syrup', 'Glucose Syrup', ' Humectant', 'Glycerol', ' Flavouring ', 'contains Milk', 'Emulsifier ', 'E472e', 'E472a', 'Antioxidant', 'E320']","['E428 - Gélatine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E472a - Ester diacétyl-acétique d'acides gras"", 'E320 - Butylhydroxyanisol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,424,1774 kj(424 kcal),12,7,76,32,3,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,,,
55,Barritas FROSTIES - Kellogg's,5000127770065,,"['card-box', 'mixed plastic-wrapper']","[""Kellogg's""]",,,['France'],"['%NRV', ' = % Nutrient Reference Value/', '%VRN', '=%Valor de Referencia de Nutrientes/ ', '%VRN', '= % Valor de Referência do Nutriente * Reference intake Ofan average adult ', '8400 kJ/2000 Ingesta de referenda de un adulto medio ', '8400 kJ/']",,[],,,,,,,,,,?,400,1674 kj(400 kcal),"9,2","6,4",72,26,"5,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Italian Green Pesto - Co-op - 190g,5000128602556,190 g,,['Co-op'],"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",['Fabriqué en Italie'],"['France', 'Royaume-Uni']",[],,[],,47 g,en quantité élevée,6 g,en quantité élevée,1.8 g,en faible quantité,1.24 g,en quantité modérée,?,486,2033 kj(486 kcal),47,6,"9,1","1,8","5,7","1,24","0,496",15,D,C,,+8%,+9%,+6%,-8%,+54%,-21%,+20%,-50%,-50%,-23%,-23%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,
57,M &M'S Cacahuète - 45g,5000159460293,45 g,,"[""M&M's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",,['France'],[],,[],,26 g,en quantité élevée,11 g,en quantité élevée,53 g,en quantité élevée,0.1 g,en faible quantité,?,516,2159 kj(516 kcal),26,11,58,53,10,"0,1","0,04",26,E,E,,+1%,+1%,+2%,+1%,-2%,-1%,+13%,-26%,-26%,+3%,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,,,,,,,,,,,
58,MaltEaster - Maltesers,5000159508599,,['wrapper'],['Maltesers'],,,['France'],[],,[],,,,,,,,,,?,539,2255 kj(539 kcal),31,18,57,53,"7,1","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Mars Bites - 293g,5000159509831,293 g,['Kunststoff'],['Mars'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,"['France', 'Allemagne', 'Grèce', 'Pologne', 'Espagne', 'Royaume-Uni']","['Zucker', 'Glukosesirup', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Sonnenblumenöl', 'Magermilchpulver', 'Milchzucker', 'Süßmolkenpulver ', 'aus Milch', 'fettarmer Kakao', 'Butterreinfett ', 'aus Milch', 'Gerstenmalzextrakt', 'Emulgator ', 'Sojalecithin', 'Salz', 'Hühnerei-Trockeneiweiß', 'Palmfett', 'Milcheiweiß', 'natürlicher Vanilleextrakt']",,"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,17 g,en quantité modérée,8.3 g,en quantité élevée,62 g,en quantité élevée,0.41 g,en quantité modérée,1883,448,1883 kj(448 kcal),17,"8,3",70,62,4,"0,41","0,164",24,E,,-16%,-15%,-15%,-47%,-52%,+34%,+31%,-32%,+168%,+168%,-2%,-2%,,,,,,,,Milchschokolade gefüllt mit feiner Candy-Creme (32%) und Karamell (27%),,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,,
60,Digestive - McVities,5000168022192,,,"['McVities', 'United Biscuits']",,,['France'],[],,[],,,,,,,,,,?,474,1983 kj(474 kcal),"21,3","10,1","62,9","16,5","7,1","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Salted tortilla chips - Waitrose,5000169288832,,,['Waitrose'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']","['Végétarien', 'Végétalien']","['France', 'Royaume-Uni']","['Maize flour', 'high oleic sunflower oil', 'salt']",,"['Végétalien', 'Végétarien']",,24 g,en quantité élevée,2.2 g,en quantité modérée,1.1 g,en faible quantité,0.73 g,en quantité modérée,?,501,2096 kj(501 kcal),24,"2,2","63,6","1,1","5,2","0,73","0,292",11,D,B,,+4%,+4%,+6%,-25%,+5%,-42%,-19%,-38%,-38%,+14%,+14%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,['Waitrose'],,,,,,,
62,London Dry Gin - Tanqueray - 0.7l,5000281005904,0.7l,"['Bouteille', 'Verre', 'Glasflasche', 'Bottle']",['Tanqueray'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Gins']",['Point Vert'],"['France', 'Allemagne']",['100% alcool de grain neutre'],,[],,,,,,,,,,1087,?,1087 kj(260 kcal),0,,"0,1",,0,,,,,C,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,['United Kingdom'],,['Kaufland'],,,,,,,
63,RITZ crackers - Happy Crackers - 200g,5000396021189,200g,,"['Happy Crackers', 'Crackers']",,,"['France', 'Italie']","['CRACKERS Ingredienti: farina di FRUMENTO', 'olio di palma', 'zucchero', 'agenti lievitanti ', 'carbonati di ammonio', 'fosfati di calcio', 'carbonati di sodio', 'carbonati di potassio', 'sciroppo di glucosio - fruttosio', 'sale', ""farina di malto d'ORZO"", "" PUO' CONTENERE UOVA"", 'LATTE', 'SEMI Dl SESAMO']",,[],,,,,,,,,,?,483,2021 kj(483 kcal),22,"2,1",62,"8,7","7,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sparkling LemonadeBottle - Tesco,5000436882763,,['pet-bottle'],['Tesco'],"['Boissons', 'Boissons avec sucre ajouté']",['Végétarien'],"['France', 'Royaume-Uni']","['carbonated water', 'sugar', 'lemon juice from concentrate ', '2%', 'citric acid', 'flavourings', 'acidity regulator ', 'sodium citrate', 'preservative ', 'potassium sorbate', 'sweetener ', 'sucralose']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']","['Sans huile de palme', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,2.9 g,en quantité modérée,0.1 g,en faible quantité,?,12,50 kj(12 kcal),0,0,"2,9","2,9",0,"0,1","0,04",4,C,,,-86%,-86%,-100%,-100%,-85%,-84%,-100%,+167%,+167%,-66%,-66%,,,,,,,,"carbonated lemonade soft drink with lemon juice from concentrate, sugar and sweetener",,,,,,,,,,
65,Frylight Better Than Butter Oil Spray,5000442007570,,['hdpe-bottle'],,,,['France'],"['sunflower oil ', '51%', 'water', 'emulsifier: sunflower lecithin', 'alcohol', 'natural flavourings', 'thickener: xanthan gum,']","['E322i - Lécithine', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,516,2159 kj(516 kcal),"53,4","6,1","0,3","0,2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Rescue Pastillen Orange - Bach - 50g,5000488104288,50 g,,['Bach'],,['Fabriqué en Suisse'],"['France', 'Suisse']","['édulconn6 ', 'sorbitol', 'maltitol', 'isomalg xylitol', 'agent épaississant ', 'gomme viùlba', 'Impaüens glandulifera', 'Prunus cerasifera', 'Ornithogalum umbellatum', ' Peut avoir des effe6 laxatives en cas de consommation excessive', ' RESCUE@ ist eine Mischung aus den Original Bach-BlütenessenzenO', ' Rock Rose', 'Clematis', 'Impatiens', 'Cherry?lum', 'Star of B8hlehem', ' Art No', "" 4714 RESCUE@ est un mélange d'essences de Fleurs de Bach R Original: Rock Rose"", '3000854 Clematis', 'Impatiens', 'Cherry Plum', 'Star of Bethlehem', ' Vertrieb/Distribution: Nelsons GmbH', 'Heegbarg 2', 'D-22391 Hamburg / Hânseler AG', 'CH-9101']","['E420 - Sorbitol', 'E965 - Maltitol']",[],4,,,,,,,,,863,206,863 kj(206 kcal),"0,5","0,2",50,0,"1,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Blue Dragon Thai Green Curry Paste 285G,5010338206093,,"['glass-jar', 'aluminium-lid']","['Blue dragon', 'Schwartz']",,,['France'],"['astl Water', 'Garlic Pué Sugar', 'Oil', 'Onion', 'GlËen BirdsEye Chillies ', '5%', 'Minced Galangal', 'Modified Maize Starch', 'Xaff Lime Leaves Basil ', '1', '2%', 'Corianderlmf ', '0', '5%', 'YeastExtract Powder', 'Ground Coriander', 'Acidity Regulator ', 'Citric Acid', 'Colour ', 'Chlorophylls', ' Allerg Advice: llay contain peanuts and nuts']","['E330 - Acide citrique', 'E140i - Chlorophylles']","[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,127,531 kj(127 kcal),"6,3","0,7","15,2","9,7","1,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,
68,Family Pan Premium White Bread - Brennans - 800g,5011059000014,800 g,,['Brennans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains blancs', 'Pains de blé']",['Sans sucre ajouté'],"['France', 'Irlande']","['wheat flour ', 'wheat', 'calcium carbonate', 'iron', 'oil ', 'rapeseed', 'soya flour', 'emulsifier: e472e', 'thiamin', 'niacin', 'water', 'yeast', 'salt', 'vegetable flour treatment agent: ascorbic acid ', 'vitamin allergy advice: for allergens', 'including cereals each 40g slice eontains c', 'vegetable fat ', 'palm', 'containing gluten', 'see ingredients in bold', 'energy']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Huile de palme'],4,1.4 g,en faible quantité,0.4 g,en faible quantité,2.42 g,en faible quantité,1.1 g,en quantité modérée,?,220,920 kj(220 kcal),"1,4","0,4",43,"2,42","8,7","1,1","0,44",1,B,,,-28%,-28%,-79%,-73%,-16%,+14%,+2%,-16%,-16%,-81%,-81%,,,,,,,,White Bread,,,['SuperValu'],"['Gluten', 'Soja']",,,,,,
69,Boule Magique Jawbreaker Colac,5011061140234,,,['Jawbreaker'],,,['France'],"['DEXTRÔSE', 'GLUCOSE', 'SYRUP', 'GUM ACID: MALIC ACID', 'HUMECTANT: GLYCÉRINE', 'COLORANTS: E150d', 'CONCENTRÉ DE']","['E296 - Acide malique', 'E422 - Glycérol', ""E150d - Caramel au sulfite d'ammonium""]",[],4,,,,,,,,,?,0,0 kj(0 kcal),18,10,55,26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pure Original Basmati - Tilda - 500g,5011157630175,500g,"['Sachet', 'Tüte']",['Tilda'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,"['Autriche', 'France', 'Allemagne']",['Basmati Reis'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.8 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,1491,351,1491 kj(351 kcal),"0,8","0,2","77,7","0,5","7,8","< 0,01","0,004",-1,A,C,+6%,+7%,+7%,-23%,-17%,+9%,+105%,+3%,-72%,-72%,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,
71,Buckwud Canadian Maple Syrup 250g - 250g,5011273014903,250 g,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,"['France', 'Royaume-Uni']","['100% pure', 'drawn from organic maple trees! typical values per 1000']",,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,64 g,en quantité élevée,0 g,en faible quantité,?,271,1134 kj(271 kcal),"0,5","0,1",67,64,"0,5",0,0,13,D,,,-1%,-1%,+735%,+217%,-2%,+5%,+927%,-100%,-100%,-2%,-2%,,,,,,,,,,,,,,,,,,
