,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
977,Yogourt - Cremo,7610434012178,['Cremo'],,['France'],[],,,,[],,,,,,,,,,?,,117,,490 kj(117 kcal),,"0,01",,"0,01",,17,,17,,"3,9",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,
978,Thé vert vrais fruits grenade & framboise - Piramide,8711812421489,['Piramide'],,"['France', 'Pays-Bas']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05']",['Ekoplaza'],,,['FSC-C012293'],,,,,,
979,Beurre de cacahuete,5941828010022,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de cacahuètes']",['France'],[],,,,[],,49.1 g,en quantité élevée,10.9 g,en quantité élevée,9.1 g,en quantité modérée,0.0009 g,en faible quantité,?,,653,+9%,2732 kj(653 kcal),+9%,"49,1",+2%,"10,9",+31%,"23,2",+61%,"9,1",+43%,"25,1",+2%,"0,001",-100%,0,-100%,20,+82%,E,+82%,C,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
980,Pate a tartinee noisette cacao,3330729937361,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['France'],[],,,,['Sans huile de palme'],,32 g,en quantité élevée,10 g,en quantité élevée,50 g,en quantité élevée,0.16 g,en faible quantité,?,,540,-2%,2259 kj(540 kcal),-2%,32,-6%,10,+30%,54,+5%,50,+5%,"8,4",+23%,"0,16",+55%,"0,064",+55%,25,+21%,E,+21%,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,['en:palm-oil-free'],,,,,,,,,,
981,Jus 100% pommes,3000031020241,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,
982,Capsule cappuccino,8718657493039,,,['France'],[],,,,[],,,,,,,,,,?,,34,,142 kj(34 kcal),,"1,5",,"0,9",,"3,6",,"3,6",,"1,5",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,
983,Baguette Carrefour aux céréales,3123456008752,['Carrefour'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
984,12413980,12413980,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,"['EMB 39198E', 'Dole (Jura, France)']",,,,,,
985,Hummus bowl - Delhaize,5400119520218,['Delhaize'],['en:Delhaize'],"['Belgique', 'France']",[],,,,[],,6.7 g,en quantité modérée,0.7 g,en faible quantité,8.2 g,en quantité modérée,0.58 g,en quantité modérée,?,,156,-34%,653 kj(156 kcal),-34%,"6,7",-44%,"0,7",-71%,"16,8",-9%,"8,2",+289%,"4,3",-20%,"0,58",-29%,"0,232",-29%,2,-62%,B,-62%,,,,,,,,,,['Nutriscore'],['Delhaize'],,,,,,,,,
986,Fenchel-Anis-Kümmel Kräuterteemischung - Lebensbaum - 50g,4012346277004,['Lebensbaum'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']","['France', 'Allemagne']","['Fenchel*', 'Anis*', 'Kümmel* *AUS ÖKOLOGISCHEM LANDBAU']",,,,[],1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,50 g,"['Bio', 'Bio européen', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung']",,['karton(s)'],,,,,,,,
987,Shirataki,6933362464781,,,['France'],[],,,,[],,,,,,,,,,?,,10,,42 kj(10 kcal),,"0,5",,"0,1",,"0,8",,"0,5",,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
988,8410417500024,8410417500024,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['France', 'Espagne']","[""Huile d'olive vierge extra""]",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,800,-7%,3350 kj(800 kcal),-6%,"93,3",-2%,"13,3",-5%,0,,0,,0,,0,-100%,0,-100%,5,-19%,C,-19%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
989,Savoiardi Balocco Ladyfingers Biscuits Aux Oeufs,8001100016023,['Balocco'],,['France'],[],,,,[],,,,,,,,,,?,,130,,544 kj(130 kcal),,"1,5",,"0,4",,26,,14,,3,,"0,035",,"0,014",,,,,,,,,,,,,,,,,,,,,,,,,
990,Cannelle bio moulue BIO WAGNER,4001639183917,['Wagner'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
991,Biscuit Citron orange douce,3760272820030,,,['France'],[],,,,[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,19,,10,,71,,32,,8,,"1,3",,"0,52",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-15', 'en:fr-bio-18']",,,,,,,,,,
992,Samur champigny,3250391948239,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Rosinen extra Hofgut,4306205076922,,,"['France', 'Allemagne']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Sauce picadeli à la moutarde,7340138804020,,"['Epicerie', 'Sauces', 'Sauces salades']",['France'],[],,,,[],,28.5 g,en quantité élevée,2 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en quantité élevée,?,,262,-22%,1096 kj(262 kcal),-21%,"28,5",-14%,2,-41%,"0,9",-84%,"0,8",-79%,"0,9",+36%,"2,5",+32%,1,+32%,14,-3%,D,-3%,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,
995,Fresh Squeezed Organic Orange Juice,0700846900648,,,['France'],[],,,,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,0,,0,,26,,21,,2,,0,,0,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,
996,Pommes boskoop,26087498,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Dark chocolate,5712870686929,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],,,,[],,32 g,en quantité élevée,20 g,en quantité élevée,50 g,en quantité élevée,0.02 g,en faible quantité,?,,536,-4%,2243 kj(536 kcal),-3%,32,-19%,20,-13%,53,+37%,50,+58%,"5,6",-27%,"0,02",-57%,"0,008",-57%,26,+23%,E,+23%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
998,Vegetable quinoa,7613413496822,,,['France'],[],,,,[],,,,,,,,,,?,,125,,523 kj(125 kcal),,"8,8",,"1,5",,12,,"3,4",,5,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
999,75CL Lambrusco Amabile Rouge - 75cL,8002550500254,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,75 cL,,,,,,,,,,,
1000,Soupe tomates,3020816291116,,,['France'],[],,,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,"0,59",,"0,02",,"6,18",,"1,57",,"1,3",,"0,3",,"0,12",,,,,,,,,,,,,,,['Sans colorants'],,,,"['EMB 59460', 'Petite-Synthe (Nord, France)']",,,,,,
1001,VS Cognac - Hubert Prince de Polignac - 70cl,3250510101095,['Hubert Prince de Polignac'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Cognac']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,70 cl,,,"['Bouteille verre', 'Boite carton', 'Point vert']",,,,,,,,
1002,Gressins à l'ancienne,5201825200018,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,,,
1003,Cidre de la flaguerie - Les vergers de Ducy - 75cl,3760067850235,['Les vergers de Ducy'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres bouchés']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75cl,,,['Bouteille en verre'],,,,,,,,
1004,Schizo Disk - byodo,4018462251201,['Byodo'],,['France'],[],,,,[],,,,,,,,,,?,,456,,1908 kj(456 kcal),,19,,11,,65,,22,,"6,6",,"0,03",,"0,012",,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,
1005,Pop Cashew au wasabi,8991002505254,,,['France'],[],,,,[],,,,,,,,,,?,,594,,2485 kj(594 kcal),,31,,"9,6",,49,,"9,3",,14,,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,
1006,Softy'z Halal Confiserie,8410525195983,,,['France'],[],,,,[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,0,,0,,78,,0,,"5,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Riz et quinoa - Uncle Ben's,3487400002594,"[""Uncle Ben's""]",,['France'],[],,,,[],,,,,,,,,,?,,222,,929 kj(222 kcal),,1,,0,,"47,7",,"0,4",,"4,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Confiture Marlene,20103439,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Yoghurttje fruit - Jumbo,8718452252152,['Jumbo'],,['France'],[],,,,[],,,,,,,,,,?,,194,,812 kj(194 kcal),,"5,6",,"3,6",,27,,27,,"7,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
1010,Bœuf cuit,0208062014304,,"['Viandes', 'Bœuf']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Olio Extra Vergine di Oliva,8032715351285,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],,,,[],,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,820,-4%,3431 kj(820 kcal),-4%,92,-4%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
1012,Vinaigre de cidre - Pommia,3224344000046,['Pommia'],"['Vinaigres', 'Vinaigres de cidre']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,['Bio'],,,,,,,,,,
1013,Sésame torréfié - Terre exotique,3760063320251,['Terre exotique'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Croissant,4823054604415,,,['France'],[],,,,[],,,,,,,,,,?,,430,,1799 kj(430 kcal),,24,,13,,48,,24,,6,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1015,granola cannelle - Cinq Sans - 300,3760263730508,['Cinq Sans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis aux fruits à coque']",['France'],"[""Flocons d'avoine"", 'amandes', 'noisettes', 'noix de cajou', 'Sucre coco', 'Huile de tournesol désodorisée', 'Abricots secs', 'Raisins secs', 'Farine de coco', 'Noix de coco râpée', 'Graines de tournesol', 'Graines de courges', 'Dattes', 'Cannelle', 'Cranberries', 'Fleur de sel de Guérande']",,,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,14.6 g,en quantité modérée,5.5 g,en quantité élevée,18.8 g,en quantité élevée,0.3 g,en quantité modérée,?,,510,+16%,2134 kj(510 kcal),+15%,"14,6",-14%,"5,5",+75%,"43,6",-24%,"18,8",+31%,"7,1",-30%,"0,3",+86%,"0,12",+86%,11,+181%,D,+181%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,300,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",['magasins spécialisés'],['Paquet'],,,,['France'],,,,
1016,Granola cacao gingembre - Cinq Sans,3760263730492,['Cinq Sans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Mueslis aux fruits à coque']",['France'],[],,,,"['Végétalien', 'Végétarien']",,14.6 g,en quantité modérée,5.5 g,en quantité élevée,18.8 g,en quantité élevée,0.3 g,en quantité modérée,?,,510,+16%,2134 kj(510 kcal),+15%,"14,6",-14%,"5,5",+75%,"43,6",-24%,"18,8",+31%,"7,1",-30%,"0,3",+86%,"0,12",+86%,16,+308%,D,+308%,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,
1017,Brownie noix et noix de pecan - Auchan,2030506462680,['Auchan'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1018,Cassoulet pur porc - Charles Christ - 1640g,3022825850124,['Charles Christ'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Porc', 'Plats à base de haricots', 'Cassoulets']",['France'],"['Sauce cuisinée ', 'eau', 'concentré de tomates', 'amidon transformé de pomme de terre', 'sel', 'arômes naturels', 'saindoux', ' — Haricots blancs réhydratés 31%', ' — Charcuterie et viande pur porc français 24% : saucisses et saucisson ', 'viande de porc', 'maigre de tête de porc', 'eau', 'gras et tissus conjonctif de porc', 'sel', 'plasma de porc ', ' stabilisants : di et tri-phosphates ', ' conservateur : nitrite de sodium ', ' antioxydant : ascorbate de sodium ', ' épices et plantes aromatiques', 'arômes et arômes de fumée', 'viande de porc traitée en salaison ', 'viande de porc', 'eau', 'sel ', ' stabilisants : di et tri-phosphates ', ' acidifiant : citrate de sodium ', ' gélifiants : carraghénanes ', ' arômes ', ' conservateur : nitrite de sodium']","['E14XX - Amidons modifiés', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.6 g,en quantité modérée,1.7 g,en quantité modérée,1.5 g,en faible quantité,0.96 g,en quantité modérée,?,,108,-23%,452 kj(108 kcal),-23%,"4,6",-33%,"1,7",-33%,"7,5",-7%,"1,5",+92%,"7,6",-20%,"0,96",+9%,"0,384",+9%,-1,-256%,A,-256%,A,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,1640 g,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'en:palm-oil-free']",['Intermarché'],"['bocaux en verre recyclable', 'couvercle métal recyclable', 'film plastique']",['Viande francaise'],"['FR 72.090.011 CE', 'Connerré (Sarthe, France)']",,,,,,
1019,JURANÇON As de coeur - domaine cauhape - 750ml,3473932900163,['domaine cauhape'],"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],['gros manseng 100%'],,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,750ml,['Appellation jurancon contrôlée'],['Lidl'],['Bouteille'],,,,,,,,
1020,Mango machine,8422174360537,,,['France'],[],,,,[],,,,,,,,,,?,,52,,218 kj(52 kcal),,0,,0,,13,,11,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Fructal superior,3838945509022,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Orange de table naveline catégorie 1,8412276294151,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Taco shells - Amaizin Organic,8718976017060,['Amaizin Organic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]","['France', 'Allemagne', 'Espagne']",[],,,,"['Végétalien', 'Végétarien']",,27 g,en quantité élevée,2.4 g,en quantité modérée,1.3 g,en faible quantité,0.1 g,en faible quantité,?,,511,+76%,2138 kj(511 kcal),+80%,27,+148%,"2,4",+24%,60,+81%,"1,3",-87%,7,+24%,"0,1",-78%,"0,04",-78%,4,+18%,C,+18%,,,,,,,,,,"['Végétarien', 'Sans gluten', 'Végétalien']",,,,,,,,,,
1024,"La Trufflina, Belgisk Chokolade",5410976579014,,,['France'],[],,,,[],,,,,,,,,,?,,587,,2456 kj(587 kcal),,41,,28,,45,,44,,"7,1",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,
1025,Chocolate - Arluy,8412674104250,['Arluy'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']","['France', 'Espagne']",[],,,,[],,23 g,en quantité élevée,11 g,en quantité élevée,38 g,en quantité élevée,0 g,en faible quantité,?,,494,-2%,2067 kj(494 kcal),-2%,23,-3%,11,-24%,65,+1%,38,+2%,6,-12%,0,-100%,0,-100%,24,-1%,E,-1%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,
1026,Gâteau de riz à la crème de soja,5999884913016,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Nectar d'abricot -,3770008897014,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1028,Fougasse aux lardons,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux lardons']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,
1029,Café Moulu Bourbon,3760079560016,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Houmous - Goulettoise - 200g,3760024849449,['Goulettoise'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],,,,[],,26.2 g,en quantité élevée,3.5 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,287,+9%,1201 kj(287 kcal),+9%,"26,2",+30%,"3,5",+42%,"3,9",-63%,"0,5",-63%,"3,4",-48%,3,+188%,"1,2",+188%,16,+221%,D,+221%,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,200 g,,,,,,,,,,,
1031,Filet de poulet - La Nouvelle Agriculture,0213311074657,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,109,-17%,456 kj(109 kcal),-16%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1032,Infusion detox,3760143920692,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
1033,Fraîcheur Créole - Leader Price,3760096960820,['Leader Price'],,['France'],[],,,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"10,6",,"10,6",,0,,0,,0,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",['Leader Price'],,,,,,,,,
1034,Italian passata with garlic & herbs - Tesco,5000436266044,['Tesco'],,['France'],[],,,,[],,,,,,,,,,?,,22,,92 kj(22 kcal),,"0,2",,"0,1",,"2,9",,"2,9",,"1,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1035,Moutarde monique la diabolique,3760108020962,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],,,,[],,29 g,en quantité élevée,3 g,en quantité modérée,14 g,en quantité élevée,3.48 g,en quantité élevée,?,,340,+100%,1423 kj(340 kcal),+100%,29,+169%,3,+266%,17,+146%,14,+263%,4,-39%,"3,475",-26%,"1,39",-26%,19,+64%,E,+64%,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,
1036,Bourgogne aligoté,26011882,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins blancs', 'Bourgogne aligoté']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,['France'],,,,,,,
1037,Lait demi-écréme -,3700468700180,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['France'],[],,,,[],,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,5",-11%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,11",-1%,"0,044",-1%,0,-100%,B,-100%,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Enrichi en vitamines'],,,,,,,,,,
1038,Crock et gusta - Scotti,8001860228186,['Scotti'],,['France'],[],,,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,358,,1498 kj(358 kcal),,"1,2",,"0,3",,80,,"0,6",,"5,1",,"1,2",,"0,48",,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
1039,Aiguillettes de poulet grillé,0217966021653,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],,,,[],,1.1 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,1.5 g,en quantité modérée,?,,121,-4%,506 kj(121 kcal),-3%,"1,1",-41%,0,-100%,"3,2",+254%,"1,3",+335%,25,+10%,"1,5",+243%,"0,6",+243%,2,,B,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1040,Comté bio Auchan - Auchan Bio,2600468017251,"['Auchan Bio', 'Auchan']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],,,,[],,34.5 g,en quantité élevée,22.4 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,419,+6%,1753 kj(419 kcal),+6%,"34,5",+6%,"22,4",+3%,0,-100%,0,-100%,"27,2",+8%,"1,1",+13%,"0,44",+13%,14,+4%,D,+4%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['Auchan'],,,,,,,,,
1041,Biscuit collection choco grains,7622210837875,,,['France'],[],,,,[],,,,,,,,,,?,,500,,2092 kj(500 kcal),,24,,12,,60,,30,,8,,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
1042,Pesto all'aglio selvatico - Sacla,8001060014039,['Sacla'],,['France'],[],,,,[],,,,,,,,,,?,,384,,1607 kj(384 kcal),,"38,9",,"5,1",,"4,2",,"1,9",,3,,"1,5",,"0,6",,,,,,,,,,,,,,,['AOP'],,,,,,,,,,
1043,La frappadingue - Brasserie des garrigues - 75cl,3760281010170,['Brasserie des garrigues'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,75cl,"['Bio', 'Agriculture UE']",,,,,,,,,,
1044,"Poêlée soja, Algue dulse & Patate douce",3770008754270,,,['France'],[],,,,[],,,,,,,,,,?,,158,,661 kj(158 kcal),,"6,1",,"0,8",,13,,"3,2",,"9,7",,"0,06",,"0,024",,,,,,,,,,,,,,,"['Bio', 'Nutriscore']",,,,,,,,,,
