,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
24,Vin rouge Cabernet Merlot Club des sommeliers 1 x - Casino,3222472262237,C,,,,['Casino'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,['Casino'],['France'],"[""L17 15:54 DES CLUB D SOMME LIERS Cabernet Sauvignon - Merlof PAYS D'OC INDICATION GEOGRAPHIQUE PROTÉGÉE SOUFIE"", 'ÉQUILIBRÉ LE CABERNET SAUVIGNON ET MERLOT SONT LES VARIÉTÉS DE RAISIN NOR PLUS RÉPANDUES DANS LE MONT E EN ASSEMBLAGE', 'LES VỊNS', ""GÉNÉRALEMENTER COULEUR INTENSE ET STRUCTUK DEVELOPPENT DES ARÔMÉS DE FRUITS ROUGE D'EUCALYPTUS"", ""DE VIOLET CES VINS ALLIENT PUISSANCE ETVELOUTE S'APPRÉCIERA ÁVEC DES BARCUES DES VIANDES ROUGES ET DU FROM A DÉGUSTER ENTRE +14°C ET+16'C"", ' REPEREZ LA COULEUR DE LA BAGUE SUR LE COL DE LA BOUTELLE LÉGER', 'FRUITÉ PUISSANT', 'CORS SOUPLE', 'ÉQUILIBRÉ PRODUIT DE FRANCE Mis en bouteille par Moncigale BP132 à F30300 Beaucaie 13,5%ml 758']",,[],,,,,,,,,,?,,68,+62%,285 kj(68 kcal),+72%,0,-100%,0,-100%,"0,2",-95%,"0,05",-97%,"0,1",-95%,0,-100%,0,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],,,
25,20 Oeufs frais datés du jour de ponte - moyen - Casino - x20,3222472262701,B,"20 Oeufs frais, de catégorie A, datés du jour de ponte, de poules élevées en cage",x20,"['Carton', 'Plastique']",['Casino'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']","['Point Vert', 'Origine France', 'Eco-Emballages']","['Domaine de Sommery - Sommery', '71220 Vaudebarrier', 'Saône-et-Loire', 'Bourgogne', 'France']","['FR 71.562.001 CE', 'Vaudebarrier (Saône-et-Loire, France)']",,['Casino'],['France'],"['20 œufs frais', 'datés du jour de ponte', 'de poules élevées en cage ', 'code commençant par 3 sur les œufs']",,[],,10 g,en quantité modérée,2.7 g,en quantité modérée,0.7 g,en faible quantité,0.32 g,en quantité modérée,586,-1%,141,-1%,586 kj(141 kcal),-2%,10,0%,"2,7",+14%,"0,7",+5%,"0,7",+29%,12,-4%,"0,32",+14%,"0,128",+14%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['France'],,,
26,Fromage de tête persillé - Casino - 180g,3222472272441,,Fromage de tête persillé,180 g,,['Casino'],['Fromage de tête persillée'],"['Viande Française', 'Viande Porcine Française']",,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,['Casino'],['France'],"['Tête de porc 90% ', 'origine : france', ' - eau - vinaigre - sel - épice et plantes aromatiques déshydratées ', 'dont persil 0,12%', ' - arôme naturel - conservateur : nitrite de sodium - colorant : carmins', 'traces de gluten', 'de lait', ""d'œufs et de moutarde""]",,"['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5.1 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,910,,219,,910 kj(219 kcal),,17,,"5,1",,"0,5",,"0,5",,16,,"1,6",,"0,64",,14,,D,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,,
27,Cordons Bleus de Dinde - Casino - 400g,3222472342830,D,"Viande de dinde reconstituée traitée en salaison garnie au jambon de dinde standard et au fromage fondu, panée, cuite et surgelée",400 g,"['Surgelé', 'Boîte', 'Carton', '4 Sachets individuels']","['Casino', 'Groupe Casino']","['Viandes', 'Surgelés', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Dindes', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']","['en:palm-oil-free', 'Alimentation de la volaille garantie 100\xa0% végétaux - minéraux et vitamines']","[""Arrivé Sainte-Hermine (Filiale Groupe Lambert Dodard Chancereul - LDC) - Avenue des Frênes - Parc d'Activités Vendée Atlantique - 85210 Saint-Jean-de-Beugné"", 'Vendée', 'Pays de la Loire', 'France']","['FR 85.233.001 CE', 'Saint-Jean-de-Beugné (Vendée, France)']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47227-viandes-surgelees/P-54087-casino-cordons-bleus-de-dinde,['Casino'],['France'],"['Viande de dinde reconstituée traitée en salaison 53 % : viande de dinde 46 %', 'eau', 'viande de poulet', 'protéines de soja', 'amidon transformé de tapioca', 'sirop de glucose', 'sel', 'arôme naturel ', 'contient gluten', ' Pourcentage exprimé sur la viande de dinde', '\rPanure 27 % : chapelure ', 'farine de blé', 'sel', 'levure', 'épices', 'farine de blé', 'huile de tournesol', 'sel', '\rJambon de dinde cuit standard 10 % : viande de dinde 73 %', 'eau', 'sirop de glucose', 'protéines de soja', 'sel', 'arômes naturels ', 'contient gluten', 'triphosphates et polyphosphates de sodium', 'carraghénanes', 'nitrite de sodium', 'érythorbate de sodium', '\rFromage fondu 10 % : fromages', 'eau', 'amidons transformés de maïs et/ou pomme de terre', 'beurre', 'lait écrémé en poudre', 'lactosérum en poudre', 'citrate de sodium', 'acide citrique', 'polyphosphates', 'carraghénanes']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,4 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,928,+2%,?,,928 kj(222 kcal),-0%,12,-2%,4,+26%,16,+11%,"1,9",+8%,12,-5%,"1,4",+5%,"0,56",+5%,10,+41%,C,+41%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,"['E14XX - Amidons modifiés', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452i - Polyphosphate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,,
28,Sauce aigre-douce - Casino Saveurs d'Ailleurs - 350g,3222472364863,A,"Sauce à base de légumes, d'ananas au sirop léger, de tomates, et d'épices.",350 g,['bocal en verre'],"[""Casino Saveurs d'Ailleurs"", 'Casino']","['Epicerie', 'Sauces', 'Sauces aigre-douces']",,,,,['Casino'],['France'],"[""Eau - sucre - oignons 10,3% - vinaigre d'alcool -  ananas au sirop léger 6% "", 'ananas 61,4% - eau - sucre - acide citrique', ' - carottes 5,1% - amidon transformé de maïs - double concentré de tomates 3% - poivron rouge 2,7% - poivron vert 2,7% - celéri 2,7% - pousses de bambou 2% - bouillon de légumes [sel - sirop de glucose - oignon en poudre - extrait de levure - dextrose - huiles végétales ', 'colza - tournesol', ' - épices', 'carotte en poudre - poireau en poudre - arôme naturel] - antioxydant: acide ascorbique - sel - arôme naturel - épice - colorant: extrait de paprika']",['Céleri'],[],4,0.1 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,0.4 g,en quantité modérée,352,-21%,?,,352 kj(84 kcal),-32%,"0,1",-70%,"0,1",+81%,20,-24%,17,-23%,"0,5",+0%,"0,4",-66%,"0,16",-66%,0,-100%,B,-100%,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,"['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika']",,,,
29,Sorbet au citron jaune avec morceaux de citron - Casino - 1l,3222472387411,B,Sorbet au citron,1 l,['Bac plastique'],['Casino'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au citron']",,,"['EMB 29181', 'Plouédern (Finistère, France)']",,['Casino'],['France'],"['Sorbet citron jaune 94% : eau - jus de citron jaune à base de concentré 24% - sucre - sirop de glucose-fructose - gélifiants ', 'pectine de fruits - gomme tara - gomme xanthane', ' - protéines de pois hydrolysées ', 'protéines de pois - sucre', ' - arôme naturel - arôme naturel citron - colorant ', 'curcumine', '\rPréparation de morceaux de citron jaune 6% : sucre - morceaux de citrons jaunes semi-confits 30% ', ""citron - sirop de glucose-fructose - sucre - correcteur d'acidité : acide citrique"", "" - eau - citrons jaunes morceaux 14% - jus concentré de citron 1% - correcteur d'acidité : acide citrique - gélifiants : pectines de fruits - gomme xanthane - colorant : lutéine""]",,[],4,0.03 g,en faible quantité,0.02 g,en faible quantité,27.9 g,en quantité élevée,0.0254 g,en faible quantité,?,,120,+1%,502 kj(120 kcal),+0%,"0,03",-83%,"0,02",-59%,"29,6",+4%,"27,9",+17%,"0,2",-38%,"0,025",-20%,"0,01",-20%,7,+21%,C,+21%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E440 - Pectines', 'E417 - Gomme tara', 'E415 - Gomme xanthane', 'E100 - Curcumine', 'E330 - Acide citrique', 'E161b - Lutéine']",,,,
30,Bonbons Acidulés - Goûts Cassis Citron Fraise Orange Poire - Casino - 400g,3222472388814,,"Bonbons acidulés goûts cassis, citron, fraise, orange, poire",400 g,['Sachets'],['Casino'],['Bonbons acidulés aromatisés'],,,,,['Casino'],['France'],"['Sirop de glucose ', 'dont conservateur anhydride sulfureux', "" - sucre - acidifiant : acide lactique - correcteur d'acidité : lactate de sodium - arômes - colorants : complexes cuivre-chlorophyllines"", 'extrait de paprika', 'lutéine', 'anthocyanes', 'traces de fruits à coque et de lait', ' ou allergique']",['Anhydride sulfureux et sulfites'],[],4,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0.24 g,en faible quantité,1605,,378,,1605 kj(378 kcal),,0,,0,,93,,60,,0,,"0,24",,"0,096",,15,,D,,,,,,,,,"['E270 - Acide lactique', 'E325 - Lactate de sodium', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E163 - Anthocyanes']",,,,
31,Caramels enrobés de chocolat - Chocolat noir - Casino - 280g,3222472388883,,bonbons de chocolat noir fourrés au caramel,280 g,"['Sachet', 'Plastique']",['Casino'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Caramels']","['Point Vert', 'Aucun']",['EMB 59090'],"['EMB 59090', 'Bondues (Nord, France)']",,['Casino'],['France'],"['Caramel 75% : sirop de glucose-fructose de blé - sucre - lait écrémé concentré - graisse végétale ', 'palme', "" - sel - émulsifiants : mono - et diglycérides d'acides gras"", 'lécithine de soja - arôme', "" Chocolat noir d'enrobage 25% "", 'cacao : 43% minimum', ' : sucre - pâte de cacao - beurre de cacao - matière grasse de lait - émulsifiant : lécithine de soja', ' Traces de fruits à coque']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,17 g,en quantité modérée,10 g,en quantité élevée,58 g,en quantité élevée,0.5 g,en quantité modérée,1855,+14%,441,+15%,1855 kj(441 kcal),+16%,17,+75%,10,+61%,69,-5%,58,+14%,"3,1",+68%,"0,5",-23%,"0,2",-23%,25,+19%,E,+19%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']",,['Huile de palme'],,
32,Bâtonnets chocolat - Casino - 10x 60ml,3222472388975,B,"10 Bâtonnets de crème glacée au chocolat 68,6% avec un enrobage au cacao maigre 26,6% et morceaux de noisettes caramélisées 4,8%",10 x 60 ml,['Surgelés'],['Casino'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat']",,,,,['Casino'],['France'],"['Eau - crème - graisse végétale de coco - lait écrémé réhydraté - sucre - sirop de glucose-fructose - chocolat en poudre 6,8% ', 'sucre - cacao en poudre 2,1%', "" - lactose et protéines de lait - noisettes - cacao en poudre 1,9% - lactosérum - cacao maigre en poudre 1,1% - émulsifiants : mono - et diglycérides d'acides gras"", ""esters citriques des mono - et diglycérides d'acides gras - gélifiants: farine de graines de caroube"", 'gomme guar', ""traces d'autres fruits à coque"", 'arachide', 'soja', 'oeuf et blé']","['Lait', 'Fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,20 g,en quantité modérée,16 g,en quantité élevée,24 g,en quantité élevée,0.15 g,en faible quantité,1337,+2%,320,-1%,1337 kj(320 kcal),-2%,20,-3%,16,+15%,32,+6%,24,-11%,"3,1",-16%,"0,15",-13%,"0,06",-13%,18,-4%,D,-4%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",,,,
33,Crackers Tomate Olive - Casino - 75g,3222472449850,,Biscuits salés a l'olive et à la tomate,75 g,,['Casino'],,['en:palm-oil-free'],,,,['Casino'],['France'],"['Farine de blé - huiles végétales hydrogénées et non hydrogénées ', 'tournesol - colza - coprah - émulsifiant: e471 - acidifiant : e270 - arôme', ' - fromages déshydratés ', 'lait - sel - ferments lactiques - présure - conservateur : e251 - colorant : e160b', "" - préparation à base d'olive "", ""olives vertes 5,8% - sel - correcteur d'acidité: e330"", ' - préparation à base de tomate ', ""concentré de tomate 1,5% - tomate séchée 1% - basilic - sel - huile d'olive - épaississant : e1442 - sucre - acidifiant : e330"", ' - levure - lait en poudre partiellement écrémé - sel 1,4% - chapelure ', 'farine de blé - sel - levure - colorant : e160b', ' - amidon transformé de pomme de terre - arôme - plantes aromatiques ', 'origan', 'basilic', ' - émulsifiant : e471 - colorant : e160c - antioxydant : e306', ""traces d'' et fruits à coque""]","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,2071,,495,,2071 kj(495 kcal),,26,,12,,47,,"1,7",,16,,"3,6",,"1,44",,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E330 - Acide citrique', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E306 - Extrait riche en tocophérols']",,,,
34,Velouté Poireaux Pommes de terre - Casino - 2x25cl,3222472465812,A,,2x25 cl,"['Brique', 'Carton']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de poireaux']","['Sans colorants', 'Sans conservateurs']",,"['EMB 29209D', 'Plouvien (Finistère, France)']",,['Casino'],['France'],"['Eau', 'poireaux 16 %', 'pommes de terre 14 %', 'oignons', 'amidon de riz', 'beurre', 'épinards', 'crème fraîche', 'lactose et protéines de lait', 'sel', 'persil 0,1 %', 'arôme naturel', 'extrait de levure', 'arôme naturel de poivre']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.1 g,en faible quantité,0.6 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en quantité modérée,159,,38,+6%,159 kj(38 kcal),+5%,"1,1",-21%,"0,6",-17%,"5,8",+26%,"1,1",-13%,"0,7",-27%,"0,5",-24%,"0,2",-24%,1,-60%,B,-60%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['France'],,,
35,Velouté Potiron - Casino - 50cl (2x25cl),3222472465942,A,,50 cl (2x25 cl),"['Brique', 'Carton']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']","['Sans colorants', 'Sans conservateurs']",['France'],"['EMB 29209D', 'Plouvien (Finistère, France)']",,['Casino'],['France'],"['Légumes 54 % ', 'dont potiron 30,3 %', 'carottes 10 %', 'oignons 5,1 %', 'pommes de terre 5,1 %', 'purée de tomates reconstituée', 'eau', 'crème fraiche', 'beurre', 'amidon modifié de maïs', 'sel', 'sucre', 'extrait de levure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1.7 g,en faible quantité,1.2 g,en faible quantité,2.2 g,en faible quantité,0.508 g,en quantité modérée,155,+4%,?,,155 kj(37 kcal),+3%,"1,7",+16%,"1,2",+39%,"4,5",-1%,"2,2",+4%,"0,7",+1%,"0,508",-19%,"0,203",-19%,2,+6%,B,+6%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['E14XX - Amidons modifiés'],,,,
36,"Lasagnes Chèvre-Épinards, Surgelées - Casino - 450g (2Portions)",3222472475866,C,Lasagnes chèvre épinards,450 g (2 Portions),"['Surgelé', 'Boîte', 'Carton', 'Ouverture facile', 'Barquette micro-ondable', 'Plastique']","['Casino', 'Groupe Casino']","['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Lasagnes végétariennes', 'Lasagnes surgelées', 'Lasagnes au fromage de chèvre et aux épinards', 'Lasagne Chèvre Épinards']","['Point Vert', 'Eco-Emballages', 'Elaboré au Luxembourg']",['Luxembourg'],"['LU 12 EC', 'EMB 57463R', 'Metz (Moselle, France)']",,['Casino'],"['France', 'Guadeloupe']","['Lait écrémé réhydraté ', 'eau - poudre de lait écrémé', ' - eau - caillé de chèvre 11 % - semoule de blé dur - fromage de chèvre affiné 8,1 % - épinards 7,7 % - farine de blé ', 'agent de traitement de la farine : acide ascorbique', ' - margarine végétale ', ""matière grasse végétale et huile végétale de colza - eau - émulsifiant : mono et diglycérides d'acides gras - correcteur d'acidité : acide citrique - arôme naturel"", ' - emmental 2,8 % ', 'lait de vache - sel - présure animale - épaississant : chlorure de calcium - amidon de pomme de terre', "" - blancs d'œufs - amidon transformé de mais - œufs entiers - sel - arôme naturel - macis - maltodextrine - poivre""]","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,7.5 g,en quantité modérée,3.9 g,en quantité modérée,1.9 g,en faible quantité,0.66 g,en quantité modérée,629,,?,,629 kj(150 kcal),+9%,"7,5",+13%,"3,9",+6%,13,+2%,"1,9",-1%,"6,9",+13%,"0,66",-14%,"0,264",-14%,1,-72%,B,-72%,75.0%,14.1%,3.6%,3.9%,2.0%,1.4%,58,"['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E14XX - Amidons modifiés']",,,,
37,Cannelloni Pur Boeuf - Sauce italienne - Casino - 800g,3222472498940,,Cannelloni,800 g,['Conserve'],['Casino'],"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés', 'Cannelloni au boeuf', 'Cannelloni à la bolognaise']",,,,,['Casino'],"['France', 'Guadeloupe', 'La Réunion']","['_sauce ', '68%_', ' : eau - concentré de tomate 6,5% - oignon - viande de bœuf 2,2% ', 'origine ue', "" - huile de colza - sucre - amidon transformé de pommes de terre - sel - poudre d'ail - arômes"", ' farce : viande de bœuf 10,9% ', 'origine ue', ' - chapelure ', 'farine de blé - sel - huile de colza - levure - paprika', ' - carottes - sel - oignon déshydraté', ' pâte : semoule de blé dur - eau']","['Gluten', 'Farce', 'Pâte', 'Farce', 'Pâte']","['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.4 g,en faible quantité,2.8 g,en faible quantité,0.7 g,en quantité modérée,496,+2%,90,-24%,496 kj(90 kcal),-1%,4,-6%,"1,4",-12%,15,+6%,"2,8",-4%,5,-9%,"0,7",-14%,"0,28",-14%,1,-40%,B,-40%,,,,,,,,['E14XX - Amidons modifiés'],,,,
38,Gourmandise viennoise saveur vanille sur lit de caramel - Casino - 8x 100g,3222472586906,,Dessert lacté saveur vanille sur lit de caramel,8 x 100 g,,['Casino'],,,,,,['Casino'],['France'],"['lait entier 60% - crème légère à 27% de matières grasses 16% - sucre - caramel 8,7% ', 'sucre - eau - amidon transformé de pomme de terre - épaississants: gomme cellulosique', 'pectines', ' - amidon transformé de maïs - gélifiants : carraghénanes', 'gomme xanthane - gélatine bovine - arôme - lactose et protéines de lait - colorants ', 'contiennent lait', ': lutéine', ""extrait de paprika - arôme naturel de vanille avec d'autres arômes naturels""]",['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,614,,146,,614 kj(146 kcal),,"5,8",,"3,8",,21,,17,,"2,5",,"0,1",,"0,04",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E466 - Carboxyméthylcellulose', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E428 - Gélatine', 'E161b - Lutéine', 'E160c - Extrait de paprika']",,,,
