,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
1779,100% PUR JUS DE POMELO FRAIS - Monoprix,3350033476417,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,['Monoprix'],,,,
1780,Auchan Lingot Du Nord Label Rouge -,3521230001904,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,['Auchan'],,,,
1781,Puree bio,3506070065118,['France'],[],[],?,373,"1,18","78,6","0,1",1561 kj(373 kcal),"0,42","26,9","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'en:USDA Organic', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,,,
1782,Danonino - Danone,0034360004385,['France'],[],[],?,88,"2,8","12,2","3,6",368 kj(88 kcal),"1,8","10,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Danone'],,,,,,,,,,,,
1783,GACHE PUR BEURRE ET A LA CREME FRAICHE - MALINE THOMAS - 400g,,['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'sucre', 'beurre 13%', 'crème fraiche 6,5%', 'levain 3', '5% ', 'farine de blé', 'eau', 'levure', 'sel', 'arôme']","['Sans huile de palme', 'Non végétalien']",1615,?,"15,9","52,6","8,9",1615 kj(386 kcal),"11,6","16,2","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['MALINE THOMAS'],"['Sans additifs', 'Sans colorants', 'Sans conservateurs']",400g,,,"['Œufs', 'Gluten', 'Lait', 'Oeufs lait']",,['85084B'],,,['VENDEE'],,
1784,Jambon aux épices - Migros Bio,2163541007056,['France'],[],[],?,237,18,1,18,992 kj(237 kcal),7,1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros Bio'],['Bio'],,,,,,,,,,,
1785,Tomate,3352397169028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,
1786,Chocolats belge,5411333998257,['France'],[],[],?,566,36,54,"4,7",2368 kj(566 kcal),21,53,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Comté Bio,2496159035099,['France'],[],[],?,418,35,0,27,1749 kj(418 kcal),23,0,"0,9","0,36","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,13,D,C,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,-3%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,
1788,Poulet bio blanc pac - Carrefour,0287527112373,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],"['Bio', 'Point Vert']",,,,,,,['Carrefour'],,,,
1789,Marshmallow ghosts - Peeps,0070970541773,"['France', 'États-Unis']","['Potassium sorbate ', 'a preservative', 'natural flavors', 'carnauba wax']",[],?,344,0,"87,5","3,12",1439 kj(344 kcal),0,"81,25","0,078","0,031","['Snacks', 'Snacks sucrés', 'Confiseries']",0 g,en faible quantité,0 g,en faible quantité,81.2 g,en quantité élevée,0.0775 g,en faible quantité,14,D,,,-18%,-18%,-100%,-100%,+31%,+64%,-26%,-47%,-47%,-23%,-23%,,,,,,,,4,['Peeps'],"['en:gluten-free', 'Arômes naturels']",,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E903 - Cire de carnauba']",,,,,"Sugar, corn syrup, gelatin, contains less than 0.5% of the following",,"Just Born, Inc.",
1790,Crevettes,0292152047952,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Micellar Caseine Native,3662072016500,['France'],[],[],?,368,"1,5","6,08","82,31",1540 kj(368 kcal),"0,9","4,09","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Palette à la diable,0286052043497,['France'],[],[],?,128,"7,2",1,"14,9",536 kj(128 kcal),"2,5","0,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Crostatina alla Ciliega,7597393163953,['France'],[],[],?,410,"12,1","68,5","5,9",1715 kj(410 kcal),7,"35,9","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en Italie', 'Sans colorants']",,,,,,,,,,,
1794,oat meal caramel,5310099017977,['France'],[],"['Végétalien', 'Végétarien']",?,392,7,67,"10,5",1640 kj(392 kcal),"1,3","0,05","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
1795,Flocons de châtaignes,3760032466010,['France'],[],[],?,367,"2,6","80,6","5,3",1536 kj(367 kcal),"0,7","26,1","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans colorants']",,,,,,,,,,,
1796,Remoulade,8422470302927,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Total Mass Matrix - The Protein Works,5060385444191,['France'],[],[],?,413,"9,3","54,7","26,2",1728 kj(413 kcal),"5,5","12,5","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Protein Works'],,,,,,,,,,,,
1798,Yop Fruit Sensation,2600155009583,['France'],[],[],?,69,"1,1","11,3","2,5",289 kj(69 kcal),"0,8","10,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Azeite virgem extra - Monterosa - 500ml,5602343008733,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monterosa'],,500ml,,,,,,,,,,
1800,"Cabillaud, riz, courgettes au curry et citron - Par Ici Cuisine",3701138134885,['France'],"['Riz 33,9% ', 'eau', 'riz', 'curcuma', 'courgettes 30% [courgettes', 'sel', 'curry ', 'épices', 'plantes aromatiques', 'sel', 'ail', ']', 'cabillaud 27%', 'citron 6,9%', ""huile d'olive vierge"", 'sel', 'curry 0,04% ', 'épices', 'plantes aromatiques', 'sel', 'ail', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,83,"1,4","11,2","6,7",347 kj(83 kcal),"0,2","0,5","1,2","0,48","['Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz', 'Plats au cabillaud']",1.4 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en quantité modérée,2,B,,,-26%,-26%,-70%,-88%,+9%,-67%,-1%,+83%,+83%,+755%,+755%,,,,,,,,3,"['Par Ici Cuisine', ""L'Esprit Frais""]",,,,,['Poisson'],,"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",,,,,
1801,Morceaux choisis de poulet,0211993054127,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,
1802,Haricots verts extra fins,3450791418916,['France'],[],[],?,14,"0,5","0,9","1,2",59 kj(14 kcal),"0,1","0,9","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1803,Escalopes de dinde,2142434002842,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,D,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
1804,MINI DOON'YS SUCRE OU CHICO X10 DECONGELES - Leclerc,3802150005518,['France'],[],[],?,420,24,43,"7,1",1757 kj(420 kcal),13,12,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,
1805,VODKA,5010677858977,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Farine,5411866957776,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Baguettine lardon fromage,3000010002114,['France'],[],[],?,256,"7,1",36,12,1071 kj(256 kcal),"3,8","1,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,San Benedetto,8001620016299,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['San Benedetto'],,,,,,,,,,,,
1809,Duo de choux,0264976010696,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Tartelette framboise - Leclerc,,['France'],[],[],?,172,"5,9",26,"2,4",720 kj(172 kcal),"3,7",15,"0,22","0,088","['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",5.9 g,en quantité modérée,3.7 g,en quantité modérée,15 g,en quantité élevée,0.22 g,en faible quantité,7,C,D,,-52%,-52%,-55%,-46%,-52%,-49%,-39%,-4%,-4%,-56%,-56%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,['Leclerc'],,,,,,,,,,,,
1811,Confit de foie de porc à l'ancienne,2871754014692,['France'],[],[],?,315,"26,5","1,4","17,8",1318 kj(315 kcal),"10,3","1,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 22.272.028 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,,
1812,Escalope de poulet,0276580030502,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,,,,,,,,,,D,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1813,Pain aux 6 céréales,0230220008863,['France'],[],[],?,288,"4,3",51,"9,2",1205 kj(288 kcal),"0,3","2,2","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,PECHALOU,3339528062021,['France'],[],[],?,103,3,"15,2","3,8",431 kj(103 kcal),"1,9","14,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Rosette Pierre Bertrand,2212398012079,['France'],[],[],?,367,"30,2","1,4","24,7",1536 kj(367 kcal),"11,6",1,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,,,,
1816,Blueberry flax seeds granola,4891444002219,['France'],[],[],?,455,"14,5","72,7","9,1",1904 kj(455 kcal),"1,8","25,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Pâté de campagne landais,3497150000283,['France'],[],[],?,204,14,"1,1",18,854 kj(204 kcal),"4,8","0,2","1,7","0,68","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",14 g,en quantité modérée,4.8 g,en quantité modérée,0.2 g,en faible quantité,1.7 g,en quantité élevée,13,D,D,,-34%,-34%,-48%,-52%,-54%,-78%,+27%,+2%,+2%,-32%,-32%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
1818,La NO Ambre,3770006496097,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Comté,0208603023093,['France'],[],[],?,418,35,0,27,1749 kj(418 kcal),23,0,"0,82","0,328","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,13,D,D,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-16%,-16%,-3%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1820,Riz au lait caramel,3701138142736,['France'],[],[],?,143,"6,4","18,4",3,598 kj(143 kcal),"4,2",14,"0,37","0,148","['Desserts', 'Puddings', 'Riz au lait']",6.4 g,en quantité modérée,4.2 g,en quantité modérée,14 g,en quantité élevée,0.37 g,en quantité modérée,8,C,B,,-1%,-0%,+71%,+84%,-19%,+4%,-12%,+187%,+187%,+99%,+99%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,,,
1821,Gourmand & végétal,0211130011495,['France'],[],[],?,94,"3,1",16,"0,4",393 kj(94 kcal),"2,8","9,1","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Kub or - Maggi,05959655,['France'],[],[],?,179,"8,5",20,"4,9",749 kj(179 kcal),"5,1","9,5","61,6","24,64","['Produits déshydratés', 'Produits lyophilisés à reconstituer']",,,,,,,,,,,,,-25%,-26%,+37%,+88%,-44%,+52%,-20%,+875%,+875%,,,,,,,,,,,['Maggi'],,,,,,,,,,,,
1823,Energy drink Avec taurine,3700897600013,['France'],[],[],?,47,0,"10,6","0,4",197 kj(47 kcal),0,"10,6","0,225","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Mini Beignets,0202072017713,['France'],[],[],?,429,24,46,"6,7",1795 kj(429 kcal),"9,3",20,"0,79","0,316","['Snacks', 'Snacks sucrés', 'Beignets sucrés']",24 g,en quantité élevée,9.3 g,en quantité élevée,20 g,en quantité élevée,0.79 g,en quantité modérée,21,E,,,+21%,+20%,+52%,+168%,+2%,+23%,+6%,+7%,+7%,+75%,+75%,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,"['EMB 62820', 'Tincques (Pas-de-Calais, France)']",,,,,
1825,saucisse dinde,4011259041337,['France'],[],[],?,94,1,"1,1",20,393 kj(94 kcal),"0,3","0,9","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Vinaigre de vin blanc à l'estragon - Auchan,3596710060788,['France'],[],[],?,?,?,?,?,,,,,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,,,,,,,,,,B,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['Auchan'],['Fabriqué en France'],,,,,,"['EMB 51454', 'Reims (Marne, France)']",['Auchan'],,,,
1827,Chunky peanut butter,0753656701486,['France'],[],[],?,240,9,23,20,1004 kj(240 kcal),3,0,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Filet tranchet de dinde,2850393033394,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Assortiment de guimauves,2600689015098,['France'],[],[],?,404,"10,6","73,7","3,6",1690 kj(404 kcal),"6,5","56,7","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Soja fruits rouges,14586781,['France'],[],[],?,54,"1,5","6,8","2,6",226 kj(54 kcal),"0,3",6,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
1831,Jambon Serrano - Chiffonnade - Charcuterie des Papes,2449469024147,['France'],[],[],?,272,"15,9","0,5","31,8",1138 kj(272 kcal),"7,2","0,2","5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Charcuterie des Papes', 'Maison Filliere']",,,,,,,,,,,,
1832,Moutarde,31654357,['France'],[],[],?,159,12,"4,4","7,1",665 kj(159 kcal),"0,7","2,3","6,3","2,52","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",12 g,en quantité modérée,0.7 g,en faible quantité,2.3 g,en faible quantité,6.3 g,en quantité élevée,11,D,B,,-6%,-6%,+11%,-15%,-36%,-40%,+8%,+34%,+34%,-5%,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
1833,Caramchoc - Auchan - 400g,3596710725953,['France'],[],[],?,380,"2,6",78,"8,3",1590 kj(380 kcal),"1,3",31,"0,63","0,252","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",2.6 g,en faible quantité,1.3 g,en faible quantité,31 g,en quantité élevée,0.63 g,en quantité modérée,13,D,C,,-5%,-5%,-70%,-41%,+17%,+86%,-11%,+76%,+76%,+141%,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Auchan'],,400 g,,,,,,['Auchan'],,,,
1834,Pomelo - Bouquet,8412276669485,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bouquet'],,,,,,,,,,,,
1835,Fourme d'Ambert,2281798018899,['France'],[],[],?,338,28,"1,5",20,1414 kj(338 kcal),20,"0,5","2,1","0,84","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,18,D,D,,-1%,-1%,-1%,+1%,+52%,+44%,-1%,-5%,-5%,0%,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1836,Boudin oignon,0245902030902,['France'],[],[],?,316,"30,8","26,1","5,8",1322 kj(316 kcal),"26,1","0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,"['FR 24.520.004 CE', 'Sarlat-la-Canéda (Dordogne, France)']",,,,,
1837,Rôti cuit ficelle,0259331013580,['France'],[],[],?,119,"2,8",1,23,498 kj(119 kcal),"1,1",1,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 95.018.022 CE', ""Argenteuil (Val-d'Oise, France)""]",,,,,
1838,Pieds cuits cochon,2433416047624,['France'],[],[],?,179,"12,8",0,16,749 kj(179 kcal),"3,91",0,"1,39","0,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.259.002 CE', 'Ghissignies (Nord, France)']",,,,,
1839,Sun,6194004008101,['France'],[],[],?,120,"7,5",21,"2,5",502 kj(120 kcal),"1,5",11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,L'escalope - Le Gaulois,2205344024660,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,D,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Le Gaulois'],,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,
1841,Galette frangipane,0200403013120,['France'],[],[],?,?,?,?,?,,,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,,,,,D,,,,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
1842,50G Persil Surgele,8003495070031,['France'],[],[],?,36,9,"1,9","3,7",151 kj(36 kcal),0,1,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Yaourt au lait jour de nos vaches fraise,8350079998022,['France'],[],[],?,105,"2,7",16,"4,3",439 kj(105 kcal),"1,4",16,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Coco,0742782620921,['France'],[],[],?,445,0,"11,5",0,1862 kj(445 kcal),0,"11,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Boudin blanc forestier,2212359017457,['France'],[],[],?,170,13,"1,4",11,711 kj(170 kcal),"5,6","1,4","2,1","0,84","['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",13 g,en quantité modérée,5.6 g,en quantité élevée,1.4 g,en faible quantité,2.1 g,en quantité élevée,16,D,D,,-30%,-30%,-36%,-28%,-67%,-29%,+7%,+41%,+41%,0%,0%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,"['FR 72.181.005 CE', 'Mans (Sarthe, France)']",,,,,
1846,Orange,3661030018389,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Fit whey - Women's Best,9010128002375,['France'],[],[],?,375,"3,9","2,8",82,1569 kj(375 kcal),"2,3","2,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Women's Best""]","['en:gluten-free', 'Fabriqué en Allemagne']",,,,,,,,,,,
1848,Saucisson Le Montagnard,2462772040673,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Madeleines choconoir,,['France'],[],[],?,102,"5,4","11,7","1,3",427 kj(102 kcal),"1,3","6,5","0,13","0,052","['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",5.4 g,en quantité modérée,1.3 g,en faible quantité,6.5 g,en quantité modérée,0.13 g,en faible quantité,3,C,B,,-77%,-77%,-76%,-81%,-78%,-76%,-77%,-84%,-84%,-84%,-84%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,,
1850,Organic freeze-dried roasted corn,0705586363715,['France'],[],[],?,368,"4,2","63,5","12,7",1540 kj(368 kcal),"1,3","21,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1851,Edel nougat variation,4013031055594,['France'],[],[],?,564,"36,5","48,9","7,7",2360 kj(564 kcal),"10,9","48,4","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Comté - JuraFlore,2671353043105,['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,418,"34,6",0,"26,7",1749 kj(418 kcal),"22,5",0,"0,817","0,327","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.817 g,en quantité modérée,13,D,D,,+5%,+6%,+6%,+4%,-100%,-100%,+6%,-16%,-16%,-3%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,3,['JuraFlore'],['Sans lactose'],,,,['Lait'],,,,,,,
1853,Tripes à  la provençale mijotée 18h,3445420027966,['France'],[],[],?,103,"3,2","0,5",19,431 kj(103 kcal),"1,6","0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 76.400.001 CE', 'Luneray (Seine-Maritime, France)']",,,,,
1854,Apple Orange,7613413356133,['France'],[],[],?,44,0,11,0,184 kj(44 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,Sliced mango,0655852003596,['France'],[],[],?,350,0,65,0,1464 kj(350 kcal),0,27,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Bonbons eucalyptus au miel,3562510512031,['France'],[],[],?,393,"0,5",98,"0,5",1644 kj(393 kcal),"0,5",79,"0,01","0,004","['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0.5 g,en faible quantité,0.5 g,en faible quantité,79 g,en quantité élevée,0.01 g,en faible quantité,14,D,E,,+2%,+2%,+79%,+464%,+4%,+14%,+19%,-50%,-50%,+1%,+1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
