,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
69,Filet de poulet - Le Gaulois,2276755021845,,['Le Gaulois'],['France'],[],[],?,107,448 kj(107 kcal),"1,3","0,4",23,0,23,"0,2","0,08",D,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Filets de poulet', 'Escalopes de poulet']","['Nutriscore', 'Nutriscore A']",,,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-19%,-19%,-52%,-45%,+557%,-100%,+6%,-54%,-54%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
70,Les recettes de l'Atelier - 78% cacao - Équateur,3478920009057,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Comida Para Perros Mediano / Maxi Ultima Nature De Pollo 3 KG,8410650220291,,,['France'],[],[],?,0,0 kj(0 kcal),19,0,0,0,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Chicken kebab,5425038428117,,,['France'],[],[],?,236,987 kj(236 kcal),"13,9","4,26",5,"0,7","22,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10 steaks hachés super tendres - Leaderprice,3263859860127,,['Leaderprice'],['France'],[],[],?,203,849 kj(203 kcal),15,"7,5",1,1,16,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Regal bisk adult - Auchan,3596710380077,,['Auchan'],['France'],[],[],?,?,,?,0,?,,?,,,,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chiens']",,,,['Auchan'],,,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,
75,Keto Pro,0084087915891,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Confiture Pomme Genepi,3448550006061,,,['France'],[],[],?,237,992 kj(237 kcal),"0,06","0,01","58,4","57,9","0,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,croissants fourrés cacao noisette - intermarché - 320g,2849170019683,320g,['intermarché'],['France'],[],[],?,452,1891 kj(452 kcal),25,13,48,17,"7,3","0,96","0,384",,['Plastique'],"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,['France'],['Coudekerque-Branche'],['intermarché'],,,25 g,en quantité élevée,13 g,en quantité élevée,17 g,en quantité élevée,0.96 g,en quantité modérée,,+24%,+24%,+60%,+48%,0%,+6%,0%,+21%,+21%,22,+28%,E,+28%,,,,,,,,['2849170019683'],,,,,
78,Mini saucisson galibier,3375220201818,,['Galibier'],['France'],[],[],?,544,2276 kj(544 kcal),46,14,3,1,29,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rosé Gris de gris,3250392921989,,,['France'],[],[],?,?,,?,0,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,['France'],,,,,,,,,,,,,,,,,-100%,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,
80,Baguettes céréales biologique,2030508039965,,,['France'],[],[],?,301,1259 kj(301 kcal),"6,1","0,9",50,"1,4","9,1","1,2","0,48",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,La chips de ble noir - Les galettes de floranges - 100g,3770000704068,100g,['Les galettes de floranges'],['France'],"['Farine de blé noir', 'sel de guerande ', 'beurre', 'eau', 'basilic']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,49,205 kj(49 kcal),"0,9",0,"0,7",0,"9,6","2,2","0,88",B,['Plastique'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,['Lait'],3,0.9 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.2 g,en quantité élevée,,-89%,-90%,-95%,-100%,-99%,-100%,-3%,+10%,+10%,4,-74%,C,-74%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,
82,3 saucissons secs artisanaux,3760090371875,,,['France'],[],[],?,463,1937 kj(463 kcal),38,15,"1,2","0,6",27,"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,moutarde - Lidl kania - 200g,04821892,200g,['Lidl kania'],['France'],[],[],?,?,,?,,?,,?,,,A,['pot verre'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",,['France'],['France'],['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,,,,,,
84,Pomme de terre nouvelle recolte,26026404,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Pruneaux,3663559100347,,,['France'],[],[],?,241,1008 kj(241 kcal),"0,3","0,1",54,35,2,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Alpilles domaine de Lagoy,3760063300321,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Backhefe - 42.0g,76406997,42.0 g,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,['Beutel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bonbon - Snickers,5000159522885,,['Snickers'],['France'],[],[],?,486,2033 kj(486 kcal),23,"9,1",61,53,"8,1","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Fusilli tomate et sauce au basilic - Thiriet,3292590882617,,['Thiriet'],['France'],[],[],?,185,774 kj(185 kcal),"7,8","3,4",23,"1,2","5,1","0,59","0,236",,,"['Plats préparés', 'Plats à base de pâtes']",,,,['Thiriet'],,,7.8 g,en quantité modérée,3.4 g,en quantité modérée,1.2 g,en faible quantité,0.59 g,en quantité modérée,,+3%,+4%,+24%,+40%,+10%,-50%,-31%,-35%,-35%,3,-19%,C,-19%,,,,,,,,,,,,,
90,The vert digestion,3456300012903,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Yakaboir a la paille,3412290004243,,,['France'],[],[],?,70,293 kj(70 kcal),"1,2","0,8",12,11,"2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,mini ficelles chorizo doux,3250392970017,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Douceur a base d’ «aceto balsamico di modena igp» - Monoprix Gourmet,3350033761421,,"['Monoprix Gourmet', 'Monoprix']",['France'],[],[],?,246,1029 kj(246 kcal),0,0,57,57,"1,1","0,07","0,028",,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,,['Monoprix'],,,0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0.07 g,en faible quantité,,+16%,+16%,-100%,-100%,+14%,+36%,+65%,-45%,-45%,11,+1%,D,+1%,,,,,,,,,,,,,
94,Pea-nut square choco berry,5056307346377,,,['France'],[],[],?,464,1941 kj(464 kcal),27,"8,4",26,17,25,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Torsade au chocolat,,,,['France'],[],[],?,369,1544 kj(369 kcal),15,"9,3",50,20,"6,7","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3564700718520,3564700718520,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Les mini buchettes - Henri Raffin,3375220202167,,['Henri Raffin'],['France'],[],[],?,521,2180 kj(521 kcal),43,15,3,"2,5",31,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Collagen max,3760289220250,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Olive grecques verte et noires kalamata - Puget,3265470041688,,['Puget'],['France'],[],[],?,209,874 kj(209 kcal),21,"2,5","1,2","0,5","1,3","2,9","1,16",,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Les Chèvres Chauds,2950650064005,,,['France'],[],[],?,333,1393 kj(333 kcal),25,14,13,"1,8",13,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Verrines apéro - Guyader,3276770247762,,['Guyader'],['France'],[],[],?,229,958 kj(229 kcal),20,"3,6","3,3","1,3","8,7","0,51","0,204",,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,gel toilette intime - labell - 250ml,3250392113841,250 ml,['Labell'],['France'],"['Ultwendig gebruik', ' Zorgvuldig afspoelen', ' NPEDENTS AQUA', 'SODIUM LAURETH SULFATE', 'SODIUM CHLORIDE', 'GLYCERIN', 'DISODIUM COCOAMPHODIACETATE', 'DISC UALRETH SULFOSUCCINATE', 'PEG-200 HYDROGENATED GLYCERYL PALMATE', 'CITRIC ACID', 'PARFUM', 'SODIUM BENZOÁTE', 'F GLYCERN', 'COCOATE', 'POTASSIUM SORBATE ALLANTOIN', 'HAMAMELIS VRGNANA LEAF WATER', 'LACTIC ACID', 'TETRASOC BITA SODIUM HYDRDADE', 'PEG-150 PENTAERYTHRITYL TETRASTEARATE', 'PEG-6 CAPRYLIC/CAPRIC GLYCERIDES', ' IMP: TM Alimentaire Belgium sa - B-1348 Louvain-la-Neuve 250m Flacon plastique']",[],?,?,,?,,?,,?,,,,"['Plastique', 'Flacon en plastique']",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E422 - Glycérol', 'E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E452i - Polyphosphate de sodium']",,,,
103,5900471002167,5900471002167,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Acerola,3664359000202,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Café CHICORÉE - U - 250g,16378643,250 g,['U'],['France'],"['chicorée soluble 60%', 'café soluble 40%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,['Poudre chicorée-café'],,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Melange pour salade graines de courge, ail et persil - Ducros",3166296400157,,['Ducros'],['France'],[],[],?,448,1874 kj(448 kcal),20,"2,5",49,"1,9",14,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Saveurs classiques - Maison de la Glace,3760124194418,,['Maison de la Glace'],['France'],[],[],?,155,649 kj(155 kcal),"5,8","3,4",21,19,"4,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,MILTAI,4770107249638,,,['France'],[],[],?,350,1464 kj(350 kcal),"1,3","0,2",74,"0,5",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Terrine de camagne,3770012878009,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 73.313.004 CE', 'Verthemex (Savoie, France)']",,,,,
110,Moules sauce vieira - La Bodega,3700972900236,,['La Bodega'],['France'],[],[],?,198,828 kj(198 kcal),"15,7","2,5","3,2","0,3","16,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,DELIZIOSO 5,2959849164119,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Betterave,3523680426078,,,['France'],[],[],?,47,197 kj(47 kcal),"0,1","0,1","8,6",8,8,"0,2","0,08",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves']",,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,8 g,en quantité modérée,0.2 g,en faible quantité,,+4%,+5%,-69%,+80%,+13%,+18%,+385%,-26%,-26%,-8,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,"['EMB 45270', 'Saint-Benoît-sur-Loire (Loiret, France)']",,,,,
113,Coleslaw à la moutarde à l'ancienne,3346650213719,,,['France'],[],[],?,195,816 kj(195 kcal),19,"1,3",7,"4,2","1,4",1,"0,4",B,,"['Plats préparés', 'Entrées', 'Coleslaw']",,,,,,,19 g,en quantité modérée,1.3 g,en faible quantité,4.2 g,en faible quantité,1 g,en quantité modérée,,+50%,+53%,+90%,+48%,+12%,-16%,+26%,+26%,+26%,7,+103%,C,+103%,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,,,,,
114,U,3256221116816,,['U'],['France'],['60% saumon27% céréales13% légumes'],[],?,?,,?,,?,,?,,,,['Plastique'],"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture sèche pour animaux']",,['Non indiquée'],['France'],['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Granola Noisettes, Graines de lin & Miel",3770013022340,,,['France'],[],[],?,349,1460 kj(349 kcal),"12,5","1,1","48,8","20,5","10,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Salade du soleil au poulet et petites tomates - Comme j'aime - 300g,3700977700077,300 g,"[""Comme j'aime""]",['France'],"['Oignons 18', '6%', 'tomates 18%', 'eau', 'poivrons rouges 16%', 'pâtes 13% ', 'semoule de blé dur', ""poudre de blanc d'œuf"", 'poulet origine France 10% ', 'haut de cuisse de poulet', 'eau', 'amidon de tapioca', 'sel', 'huile de colza', ""vinaigre d'alcool"", 'fécule de manioc', 'origan', 'sel', 'piment doux', ""piment d'Espelette""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",608,146,608 kj(146 kcal),"4,5","0,46",14,"2,8","4,9","0,74","0,296",C,"['Film en plastique', 'Etui en carton']","['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']","['Viande Française', 'Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A', 'Volaille-francaise']",,,,"['Œufs', 'Gluten']",3,4.5 g,en quantité modérée,0.46 g,en faible quantité,2.8 g,en faible quantité,0.74 g,en quantité modérée,+4%,-2%,-1%,-24%,-73%,+2%,+44%,-39%,-12%,-12%,-1,-170%,A,-170%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,
117,Merguez intermarche,0200197034837,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,La poelee parisienne - Bonduelle,3083681119565,,['Bonduelle'],['France'],[],[],?,9,38 kj(9 kcal),"4,2","0,8","9,3","1,4","2,6","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Albert Heijn Vrije Uitloop Eieren,8710400376590,,['Albert Heijn'],['France'],[],[],?,130,544 kj(130 kcal),9,3,"0,2","0,2",12,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Croissant beurre pâtissier droit,7610381115908,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Magret de Canard - L'étal du Volailler - 386g,01116878,386 g,"[""L'étal du Volailler""]",['France'],"['100% magret de canard ', 'Origine : France', ' Produit frais - Classe A CONSERVATI']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,C,,"['Viandes', 'Volailles', 'Canards']",,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,
122,46427687,46427687,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Saucisson sec Nature (format familial) - Henri Raffin,3375220202273,,['Henri Raffin'],['France'],[],[],?,384,1607 kj(384 kcal),"29,5",11,4,2,26,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Pointe de sel 70% cacao - Belvas,5425007884098,,['Belvas'],['France'],[],[],?,570,2385 kj(570 kcal),"41,5","24,7","33,7","29,1",8,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sauce,3683080541891,,,['France'],[],[],?,497,2079 kj(497 kcal),11,"7,3",4,"1,2","1,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Cookie gingembre,3760253520386,,,['France'],[],[],?,347.64001464844,1455 kj(347 kcal),"14,87","1,65","54,6","24,64","6,04",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Coeurs de palmier,3309015900129,,,['France'],[],[],?,24,100 kj(24 kcal),"0,5","0,5","3,8","1,3","0,9","0,8","0,32",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,,,,,,0.5 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en faible quantité,0.8 g,en quantité modérée,,-17%,-17%,+37%,+626%,+25%,+77%,-61%,+6%,+6%,3,+221%,C,+221%,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,,,,,,
128,Tomates sechees,8001310011061,,,['France'],[],[],?,622,2602 kj(622 kcal),10,"1,1","8,7","5,1","3,4","2,3","0,92",E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",,,,,,,10 g,en quantité modérée,1.1 g,en faible quantité,5.1 g,en quantité modérée,2.3 g,en quantité élevée,,+199%,+200%,-13%,-22%,-44%,-53%,-11%,-23%,-23%,12,+120%,D,+120%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,
129,Ketjap - Boni,5400141290509,,['Boni'],['France'],[],[],?,182,761 kj(182 kcal),"1,7","0,3",39,34,2,"5,2","2,08",,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Yaourt Bio Sucré arôme café,3770000402803,,,['France'],[],[],?,89,372 kj(89 kcal),"3,29",0,"10,54",7,"3,22","0,12","0,048",,,,"['Bio', 'Bio européen', 'FR-BIO-12', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Oranges,8435281400157,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Crousti nature,3560071301477,,,['France'],[],[],?,543,2272 kj(543 kcal),34,"3,1",51,"0,5","5,5","1,1","0,44",,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Lays,8710398518316,,,['France'],[],[],?,522,2184 kj(522 kcal),32,"3,9",50,3,"6,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Rhum blanc agricole,3012993070776,,,['France'],[],[],?,?,,?,0,?,,?,,,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums français', 'Rhums blancs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,
135,Chutney de peche de grece au pain d epice,3272640500074,,,['France'],[],[],?,184,770 kj(184 kcal),0,0,"44,5","42,1","0,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Liquide vaisselle,3256227892349,,,['France'],[],[],?,474,1983 kj(474 kcal),19,"5,2",68,38,"5,4","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Alter Eco,30021271,,['Alter Eco'],['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Yaourt au lait entier parfum coco - U - 4x 125g,3256228408136,4 x 125 g,['U'],['France'],"['LAIT entier 85% ', 'origine : France', 'sucre 9,9%', 'ferments ', 'dont LAIT', 'poudre de LAIT ÉCRÉMÉ ', 'origine : France', 'arôme naturel de noix de coco']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",376,89,376 kj(89 kcal),"2,8","1,9",13,13,3,"0,12","0,048",A,"['pot verre', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache']","['Lait Français', 'Arômes naturels', 'Sans colorants', 'Nutriscore', 'Nutriscore C', 'Transformé en France']",,,['Magasins U'],['Lait'],4,2.8 g,en faible quantité,1.9 g,en quantité modérée,13 g,en quantité élevée,0.12 g,en faible quantité,+1%,-2%,-1%,+1%,+9%,+5%,+10%,-16%,+5%,+5%,3,-11%,C,-11%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,
139,Pomme Myrtille Bio,3423182962619,,,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,8","10,5","0,1",0,0,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2 filets,0217247043237,,,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,15","0,06",,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Morceaux de filets de poulet panés - U,3256228120533,,['U'],['France'],[],[],?,230,962 kj(230 kcal),"9,2","1,4",21,"0,6",15,1,"0,4",D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']","['Nutriscore', 'Nutriscore B']",,,,,,9.2 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,-18%,-30%,+25%,-54%,+17%,-15%,-15%,2,-46%,B,-46%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,
142,Salade Cesar,2007338013328,,,['France'],[],[],?,140,586 kj(140 kcal),"7,6","1,4","9,9","1,3","7,5","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Jade Blonde,3272460123750,,['Jade'],['France'],[],[],?,?,,?,0,?,,?,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Florentins chocolat noir et orange,3664335002770,,,['France'],[],[],?,550,2301 kj(550 kcal),32,15,57,44,"6,3","0,5","0,2",C,"['Barquette', 'Film en plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Florentins']",,,,,,,32 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.5 g,en quantité modérée,,+4%,+4%,+5%,+15%,+6%,+4%,-17%,+151%,+151%,27,+15%,E,+15%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,
145,Purée de cajou 100%,3760294960578,,,['France'],[],[],?,625,2615 kj(625 kcal),"48,8","9,3","21,5","6,3","23,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,appétit light - forte pharma - 60gélules,3700221313176,60 gélules,['forte pharma'],['France'],"['Pectirégul: Nopal pectine de pomme Chondrus crispus Gomme guar Fructo-oligosaccharides Laminaire Guarana Maté Thiamine ', 'vitamine B1', ' Niacine ', 'vitamine B3', ' Vitamine B6 Acide pantothénique ', 'vitamine B5', ' Zinc Chrome lode** 260mg 160 mg 10mg 280mg 200 mg 40mg 80 mg 80 mg 1,4mg 18 mg 2 mg 6 mg 14 mg 25µg 150 pg 127% 112% 142% 100 % 140 % 62% 100 % *VNR:']",[],?,?,,?,,?,,?,,,,['gélules 60'],['Diététique'],,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['K APL079'],,,,,
147,Merlot,3222476598295,,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
