,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
1490,Thé vert aromatisé â l'orange,66944607,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Sélection du fromager,2232000002137,,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,30,,21,,"1,3",,"0,5",,22,,"1,58",,"0,632",,,,,,,,,,,,,,,,,,,,,,,,,
1492,Burger buns,27161142,,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,19,,"0,98",,45,,"7,1",,11,,"5,7",,"2,28",,,,,,,,,,,,,,,,,,,,,,,,,
1493,Flan,0208698015096,,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,"7,4",,"4,5",,29,,19,,"3,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
1494,BQ 6 filets de poulet sat kercha,2667212061144,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1495,Pez espada,8410547940950,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Café au Lait,5410658904295,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,21,,"8,6",,53,,3,,20,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,
1497,Complement coco,0206246011859,,,,['France'],[],[],,,,,,,,,?,,84,,351 kj(84 kcal),,"6,1",,"5,7",,6,,"0,6",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Délice de châtaignes aux écorces d'orange confites,3760239570282,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,"0,7",,"0,1",,"51,7",,"37,9",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Crema di Pistacchio,8028447100710,,,,['France'],[],[],,,,,,,,,?,,512,,2142 kj(512 kcal),,"29,3",,"3,75",,"13,11",,"5,26",,"15,31",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
1500,Nougat,3490451035312,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,['France'],[],[],16 g,en quantité modérée,1.3 g,en faible quantité,62 g,en quantité élevée,,,?,,446,-0%,1866 kj(446 kcal),-0%,16,-3%,"1,3",-34%,65,-1%,62,+14%,"8,2",+15%,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
1501,Biscuits sables au sesame,0200441000007,,,,['France'],[],[],,,,,,,,,?,,469,,1962 kj(469 kcal),,"19,4",,10,,"59,8",,"17,1",,"10,5",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,
1502,Seasalt chips,5414359811050,,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,"25,6",,"2,3",,60,,"0,6",,6,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
1503,Pave de saumon,2891260027757,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
1504,Beignet,3316370000005,,,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,18,,2,,47,,19,,"6,5",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,
1505,escalope de poulet,2276754012141,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Milk tea powder brown sugar,4897099870012,,,,['France'],[],[],,,,,,,,,?,,306.29998779297,,1282 kj(306 kcal),,"1,4",,0,,"56,9",,"0,1",,"2,4",,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,,,,,
1507,Brassés aux fruits exotiques,3564706578111,,,,['France'],[],[],,,,,,,,,?,,108,,452 kj(108 kcal),,3,,"2,1",,16,,15,,"3,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1508,Boutargue,2382888001743,,,,['France'],[],[],,,,,,,,,?,,406,,1699 kj(406 kcal),,"27,06",,"6,45",,"2,18",,"0,8",,"39,08",,"4,38",,"1,752",,,,,,,,,,,,,,,"['FR 40.224.001 CE', 'Peyrehorade (Landes, France)']",,,,,,,,,,
1509,La tartinade à la truffe noire,3700509200440,,,,['France'],[],[],,,,,,,,,?,,242.61999511719,,1015 kj(242 kcal),,"21,49",,"2,98",,"1,25",,"1,19",,"0,48",,"1,06",,"0,424",,,,,,,,,,,,,,,,,,,,,,,,,
1510,Nocciolata,8001505445855,D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",,['France'],[],[],32 g,en quantité élevée,5 g,en quantité modérée,34 g,en quantité élevée,0.19 g,en faible quantité,?,,535,-3%,2238 kj(535 kcal),-3%,32,-7%,5,-34%,46,-9%,34,-27%,13,+88%,"0,19",+83%,"0,076",+83%,17,-17%,D,-17%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,,,
1511,Soupe de homard,3295982120021,,,,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,"2,2",,"0,46",,"3,6",,"0,5",,"4,4",,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,
1512,Anaikotti,8906113470148,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Tarte pomme vergeoise,0202465045262,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Miel d’eucalyptus,3368800002516,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'eucalyptus""]",,['France'],[],[],,,0 g,en faible quantité,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1515,Jus de fruit basque,3770015265240,,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,0,,0,,19,,14,,0,,0,,0,,,,,,,,,,,,,,,"['EMB 64304', 'Lahonce (Pyrénées-Atlantiques, France)']",,,,,,,,,,
1516,Le france,3259920060602,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1517,"Magrets de canard - Itinéraire des Saveurs - 0,512kg",2846265043493,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']","['Nutriscore', 'Nutriscore D']",['France'],"['magret de canard 94%', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",32.2 g,en quantité élevée,11.1 g,en quantité élevée,0 g,en faible quantité,0.87 g,en quantité modérée,1450,+2%,351,+3%,1450 kj(351 kcal),+2%,"32,2",+10%,"11,1",+11%,0,-100%,0,-100%,"15,2",-15%,"0,87",-47%,"0,348",-47%,17,-8%,D,-8%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Itinéraire des Saveurs'],['Barquette'],,,"0,512 kg",,,,3,,,,
1518,Jambon noir du perigord,2418318093740,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,['France'],[],[],12.4 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,5.8 g,en quantité élevée,?,,230,-4%,962 kj(230 kcal),-4%,"12,4",-8%,"4,6",-11%,"0,5",-23%,"0,5",+15%,"29,4",+2%,"5,8",+18%,"2,32",+18%,16,-6%,D,-6%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,
1519,Agua e sal,5604260032150,,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,11,,"5,5",,75,,8,,10,,"1,06",,"0,424",,,,,,,,,,,,,,,,,,,,,,,,,
1520,Mini viennoiseries panachées x15,0202157023943,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Royal cocktail tropical,3262720330226,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,10,,10,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Tarte fruits rouge 6 parts,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Nutriluxe Paris,3760094590012,,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,0,,0,,"15,2",,"12,4",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Baron Philippe de rothschild,3262156023150,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Sasa,3038359010163,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Prime,8606014102062,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"7,5",,"7,5",,0,,0,,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Escalope sous noix de veau,2305550007300,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Cheveux et Ongles,3525722017039,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Papaye lamelle deshydratee,2600432016600,,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,0,,0,,85,,76,,0,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,
1530,Brips bread chips,4620757013953,,,,['France'],[],[],,,,,,,,,?,,488,,2042 kj(488 kcal),,"23,7",,"3,6",,"56,7",,"3,8",,9,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
1531,Protein water zero,5999076233229,,,,['France'],[],[],,,,,,,,,?,,69,,289 kj(69 kcal),,0,,0,,5,,5,,4,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1532,Propolettes,3455270810168,,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,"0,13",,0,,"59,4",,6,,"0,72",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Brownie,0208395020997,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Pate au thon et poivre vert,3760309670164,,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,50,,21,,12,,3,,2,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
1535,Mayonnaise bio,3334603005122,,,['Bio'],['France'],[],[],,,,,,,,,?,,646,,2703 kj(646 kcal),,71,,"8,1",,"2,3",,"1,4",,"1,4",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
1536,Le Poulet du Rotisseur,0215231063506,,,"['Nutriscore', 'Nutriscore B']",['France'],[],[],,,,,,,,,?,,167,,699 kj(167 kcal),,"2,3",,"2,3",,0,,0,,"0,87",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,
1537,"Carotte, riz, courge butternut et dinde - Auchan",3596710475001,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,56,,234 kj(56 kcal),,"1,5",,"0,3",,"7,2",,"3,2",,"2,5",,"0,1",,"0,04",,,,,,,,,,,,,['Auchan'],,,,,,,,,,['Auchan'],,
1538,Saucisse francfort bio x 4,2443810037657,,,['Bio'],['France'],[],[],,,,,,,,,?,,187,,782 kj(187 kcal),,13,,"5,2",,"0,6",,"0,6",,17,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1539,Sushi box découverte,3760301891116,C,"['Plats préparés', 'Sushis et makis', 'Sushis', 'Assortiments de sushi']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.8%,1.2%,4.6%,6.7%,2.2%,1.6%,62,,,,,,,,,,,,,
1540,Pied de porc cuit pané,2424004020204,,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,10,,3,,7,,0,,13,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
1541,Filets de poulet rôtis,0202800032476,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,['France'],[],[],4.3 g,en quantité modérée,1.1 g,en faible quantité,0.6 g,en faible quantité,1.1 g,en quantité modérée,?,,141,-3%,590 kj(141 kcal),-3%,"4,3",-20%,"1,1",-19%,"0,6",+4%,"0,6",+39%,25,+6%,"1,1",-18%,"0,44",-18%,1,-61%,B,-61%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1542,Saucisse au pommes de terre,2294951039693,,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,"8,7",,"8,2",,12,,9,,12,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1543,Jambon cuit super u,2871621030909,,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,3,,"1,2",,1,,"0,5",,20,,"2,1",,"0,84",,,,,,,,,,,,,,,"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,
1544,Lot de 2 pâtes - Garofalo,3700935390272,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,1,,"0,2",,70,,3,,14,,,,,,,,,,,,,,,,,['Garofalo'],,,,,,,,,,,,
1545,Champignons émincés,3700758501817,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1546,AOP bleu d'Auvergne,3271560001616,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",,['France'],[],[],28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,334,-3%,1397 kj(334 kcal),-3%,28,-2%,19,-5%,"0,6",-17%,"0,5",+67%,20,-3%,"2,8",+4%,"1,12",+4%,19,0%,E,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
1547,Choco time,5202659741142,,,,['France'],[],[],,,,,,,,,?,,555,,2322 kj(555 kcal),,"33,4",,"32,1",,"60,6",,"53,9",,"2,4",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,
1548,Yaourt brassé,3770011182183,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Glace banane caramel - Auchan,3596710470334,,,"['Nutriscore', 'Nutriscore D']",['France'],[],[],,,,,,,,,?,,315,,1318 kj(315 kcal),,18,,12,,35,,30,,"2,9",,"0,18",,"0,072",,,,,,,,,,,,,['Auchan'],,"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,['Auchan'],,
1550,9000451004030,9000451004030,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Quetsches d’alsace,3541600006230,,,,['France'],[],[],,,,,,,,,?,,86,,360 kj(86 kcal),,0,,0,,20,,20,,"0,5",,,,,,,,,,,,,,,,,,['Couvercle en métal'],,,,,,,,,,,
1552,Mélange mexicain,2600692011544,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Sencha Ariake - Palais des Thés,2700302003324,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
1554,Huile d'olive,3700238381601,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],99.8 g,en quantité élevée,13.8 g,en quantité élevée,0.1 g,en faible quantité,0.1 g,en faible quantité,?,,898.2,+5%,3758 kj(898 kcal),+5%,"99,8",+5%,"13,8",-1%,"0,1",,"0,1",,"0,1",,"0,1",+198313%,"0,04",+198313%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
1555,Filet de poulet blanc,0253071044217,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1556,Infusion Tilleul Mélisse Lavande Goût mandarine,9782290133811,,['Non alimentaire'],,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,"0,2",-99%,"0,1",-99%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,
1557,Flocons d'avoine,3760092216402,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",,['France'],[],[],9.4 g,en quantité modérée,2.5 g,en quantité modérée,1.5 g,en faible quantité,,,?,,396,+7%,1657 kj(396 kcal),+7%,"9,4",+33%,"2,5",+100%,"58,7",-1%,"1,5",-9%,"12,9",+5%,,,,,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,,
1558,Saucisson pur porc a salameria,2258100020864,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Carnet marmottes des recettes de viande,3661872040753,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Bière,5056225900101,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Saint nectaire,0207526016335,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,28,,18,,"1,7",,0,,23,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
1562,Maasdam Président,0208891018894,,,,['France'],[],[],,,,,,,,,?,,356,,1490 kj(356 kcal),,27,,19,,0,,0,,32,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
1563,Fanta exotique,3292090444254,,,,['France'],[],[],,,,,,,,,?,,26,,109 kj(26 kcal),,"6,5",,0,,"6,5",,0,,0,,0,,0,,,,,,,,,,,,,['Fanta'],,,,,,,,,,,,
1564,Soufflés de maïs avec cacahuetes,5941868204061,,,,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,25,,"3,4",,52,,"2,5",,13,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
1565,"BISCUITS (Assortiment : biscuits au pommes , aux amandes",5410471904991,,,,['France'],[],[],,,,,,,,,?,,468,,1958 kj(468 kcal),,"17,5",,0,,"71,7",,"71,7",,"5,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
1566,La haute Loire saucisse sèche supérieur,2602602036081,,,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,15,,15,,"4,3",,"3,32",,"28,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Nectar de Mangue,3439495404784,,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,5",,"0,1",,12,,12,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Sauce salsa,2564744211736,,,,['France'],[],[],,,,,,,,,?,,31,,130 kj(31 kcal),,"0,5",,"0,1",,6,,4,,"1,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1569,Gouda vieix aop,0212431023422,,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,36,,24,,0,,0,,28,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1570,Confiture peches,2045384315119,,,,['France'],[],[],,,,,,,,,?,,167,,699 kj(167 kcal),,"0,2",,0,,40,,40,,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Gemüsebereitung,3800740027155,,,,['France'],[],[],,,,,,,,,?,,143,,598 kj(143 kcal),,"8,3",,"0,9",,15,,13,,"1,6",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
1572,Palette demi-sel,2600185047432,,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,"3,3",,"1,3",,1,,"0,5",,17,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Citron d'Afrique du Sud,8422737000030,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Jambon a l ancienne,2264757032402,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,['France'],[],[],7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,161,+6%,674 kj(161 kcal),+6%,"7,9",+28%,"2,9",+20%,"0,5",+1%,"0,5",+3%,22,-1%,"1,9",-3%,"0,76",-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
1575,Juvet - Juver,8410707005765,,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,0,,11,,9,,"0,6",,,,,,,,,,,,,,,,,['Juver'],,,,,,,,,,,,
1576,"Delice de thon au fromage frais, ail et fines herbes - Jean d'Audignac",3700238328965,,,,['France'],[],[],,,,,,,,,?,,211,,883 kj(211 kcal),,16,,9,,"1,5",,"1,5",,15,,"1,8",,"0,72",,,,,,,,,,,,,"[""Jean d'Audignac""]",,,,,,,,,,,,
1577,Pétillant pommes fraises,3760111100170,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Molho de alho com pimenta,7896330532563,,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,0,,0,,20,,0,,0,,"2,51",,"1,004",,,,,,,,,,,,,,,,,,,,,,,,,
1579,Crema bio con Parmigiano Reggiano e Tartufo,8026379004212,,,['Bio'],['France'],[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,"36,4",,"18,9",,"5,2",,"0,1",,"6,9",,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,
1580,Chips de légumes,2800749027812,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Mon goûter - Auchan - 300g,3596710483211,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']","['Nutriscore', 'Nutriscore D']",['France'],[],[],19 g,en quantité modérée,6.1 g,en quantité élevée,32 g,en quantité élevée,0.55 g,en quantité modérée,?,,475,+1%,1987 kj(475 kcal),+1%,19,-1%,"6,1",-28%,71,+6%,32,-3%,"5,1",-12%,"0,55",-1%,"0,22",-1%,17,-14%,D,-14%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Auchan'],,,,300 g,,,,,,['Auchan'],,
1582,3020190032374,3020190032374,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,0227745603598,0227745603598,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Fruit-O-Long,0065633110144,,,,['France'],[],[],,,,,,,,,?,,380.95238095238,,1594 kj(380 kcal),,"4,762",,"2,381",,"80,952",,"47,619",,0,,"0,595",,"0,238",,,,,,,,,,,,,,,,,,,,,,,,,
1585,Poivre long de java,3265960513985,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Nems au crevettes surgelés,3760168340185,C,"['Plats préparés', 'Nems']",,['France'],[],[],5.1 g,en quantité modérée,0.6 g,en faible quantité,3.5 g,en faible quantité,1.5 g,en quantité modérée,?,,124,-39%,519 kj(124 kcal),-39%,"5,1",-43%,"0,6",-63%,"16,5",-27%,"3,5",+25%,"8,2",+19%,"1,5",+15%,"0,6",+15%,2,-62%,B,-62%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,
1587,Oeufs,3477400704772,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Pitted prunes,4099100146004,,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,0,,0,,60,,35,,"2,5",,0,,0,,,,,,,,,,,,,,"['paper-tub', 'ldpe-lid']",,,,,,,,,,,
