,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
67,Profiteroles à la Crème Pâtissière et Sauce au Chocolat - Excellence - 500g e,26045030,C,500 g e,['Excellence'],"['Biscuits et gâteaux', 'Pâtisseries', 'Réfrigérés', 'Profiteroles']",,['France'],"['Eau', 'sirop de glucose', 'lait entier', 'lait écrémé en poudre', ""jaune d'œuf 6,7%"", 'choux ', 'œuf', 'farine de blé', 'huile de coco', 'sel', ""poudre à lever : carbonates d'ammonium"", 'crème', 'huile de coco', 'sucre', 'chocolat en poudre 4,2 % ', 'sucre', 'cacao 1,34 %', 'stabilisant : sorbitols', 'cacao maigre', 'alcool', 'chocolat noir 0,6 % ', 'pâte de cacao', 'sucre', 'cacao maigre', 'beurre de cacao', 'émulsifiant lécithines ', 'soja', 'gousses de vanille', 'amidon de maïs', 'caramel ', 'sucre', 'eau', 'épaississant: carraghénanes', ""émulsifiant mono- et diglycérides d'acides gras "", 'de palme', 'arôme naturel']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,12 g,en quantité modérée,9 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,?,,264,-8%,1105 kj(264 kcal),-7%,12,-17%,9,+0%,30,-1%,20,+4%,"6,3",+24%,"0,2",-28%,"0,08",-28%,15,+3%,D,+3%,74.4%,15.8%,4.8%,2.5%,2.6%,0.0%,65,"['Carton', 'Plastique', 'Frais']",,,"[""E503 - Carbonates d'ammonium"", 'E420 - Sorbitol', 'E322 - Lécithines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait', 'Soja']",,,,"Choux 6,6% à la crème pâtissière 40% recouverts d'une sauce au chocolat 53,4%.",,,,
68,Donut nature sucre decongele -,,B,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,
69,Tomates séchées,3760023453685,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée']",,['France'],[],[],,2.9 g,en faible quantité,0.49 g,en faible quantité,37.5 g,en quantité élevée,0.617 g,en quantité modérée,?,,258,+24%,1079 kj(258 kcal),+25%,"2,9",-75%,"0,49",-65%,"43,4",+180%,"37,5",+244%,"14,1",+271%,"0,617",-79%,"0,247",-79%,3,-45%,C,-45%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,['Bocal'],,,,,,,,,,,,
70,Vita d'or,16710437,,,,,,['France'],[],[],,,,,,,,,,?,,828,,3464 kj(828 kcal),,92,,"7,3",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
71,Filets de poulet,2424503022969,D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,0.6 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,1 g,en quantité modérée,?,,95,-27%,397 kj(95 kcal),-27%,"0,6",-79%,"0,2",-73%,"1,2",+151%,"0,2",-18%,21,-8%,1,+33%,"0,4",+33%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,
72,Sauce a l'ail - Heinz - 400ml,8715700110080,,400 ml,['Heinz'],,,['France'],[],[],,,,,,,,,,?,,371,,1552 kj(371 kcal),,35,,"2,9",,11,,"8,4",,"1,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
73,Pudding au chocolat - Ursi - 460g,27057421,,460 g,['Ursi'],"['Desserts', 'Desserts au chocolat']",,['France'],"['Lait entier 81 %', 'sucre', 'chocolat 3,5% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'amidon modifié', 'cacao maigre', 'crème', 'poudre de lait écrémé', 'gélifiant ', 'carraghénanes', 'arôme naturel', ' Peut contenir des traces de soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.91 g,en quantité modérée,2.43 g,en quantité modérée,12.2 g,en quantité modérée,0.087 g,en faible quantité,?,,112,-43%,470 kj(112 kcal),-42%,"3,91",-59%,"2,43",-57%,"16,5",-19%,"12,2",-31%,"3,13",-30%,"0,087",-50%,"0,035",-50%,4,-53%,C,-53%,,,,,,,,['Plastique'],,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,
74,Framboises -,8718226442017,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Framboises', 'Framboises fraîches']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,,,,,,,,,,,,,
75,Colorant alimentaire rasila classique,6111077004854,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Terrine saumon rouge  Pacifique + fèves,3356993481201,,,,"['Terrines', 'Terrines de poisson', 'Terrines de saumon']",,['France'],[],[],,17 g,en quantité modérée,3.5 g,en quantité modérée,1 g,en faible quantité,1 g,en quantité modérée,?,,239,+17%,1000 kj(239 kcal),+17%,17,+10%,"3,5",+0%,"6,4",+51%,1,-28%,14,+26%,1,-12%,"0,4",-12%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,,,,
77,Panettone - Valentino,0029981008065,C,,['Valentino'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],[],[],,14.3 g,en quantité modérée,9.6 g,en quantité élevée,21.7 g,en quantité élevée,0.3 g,en quantité modérée,?,,373,-0%,1561 kj(373 kcal),+0%,"14,3",-5%,"9,6",+7%,"53,1",+3%,"21,7",-16%,"6,1",-11%,"0,3",-32%,"0,12",-32%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
78,Vinegre de pomme,5407003032727,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Légumes pour potée - Priméale,3663362003859,,,['Priméale'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['EMB 50151A', 'Créances (Manche, France)']",,,,,,,,,,
80,Sorbet Citron - La Fruitière de Colpo - 310g / 500ml,3438751720026,C,310 g / 500 ml,['La Fruitière de Colpo'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']",['Sans gluten'],['France'],"['Purée de citron ', '40%', 'purée de pomme ', '20%', 'sucre', 'eau', 'sirop de glucose', 'gélifiant et épaississants : pectine de pomme', 'gomme xanthane', 'E464', 'farine de graines de guar', 'dextrose', 'farine de graines de carou be', ' Sans gluten']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,"['E440 - Pectines', 'E415 - Gomme xanthane', 'E464 - Hydroxypropylméthylcellulose', 'E412 - Gomme de guar']",,,,,Sorbet au citron et à la pomme,,,,
81,Quinoa blanc bio - Philia,3520831630124,B,,"['Philia', 'Quinoa blanc', 'Quinoa']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa', 'Quinoa blanc']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,1.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.34 g,en quantité modérée,?,,372,+13%,1556 kj(372 kcal),+13%,"1,6",-70%,0,-100%,70,+27%,0,-100%,"13,6",+15%,"0,34",+109%,"0,136",+109%,0,,B,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,,,,,,
82,Tricolor Quinoa - Delhaize - 500gr,5400113610885,,500gr,['Delhaize'],,['Nutriscore'],"['Belgique', 'France']",[],[],,,,,,,,,,?,,370,,1548 kj(370 kcal),,"5,8",,"0,8",,64,,"3,5",,12,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
83,Sardinas en aceita de oliva con límon,8411555060845,,,,,['Point Vert'],['France'],[],[],,,,,,,,,,?,,973,,4071 kj(973 kcal),,"16,5",,4,,"0,5",,0,,"20,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
84,Brochettes saveurs du sud,3100150646695,,,,,,['France'],[],[],,,,,,,,,,?,,205,,858 kj(205 kcal),,14,,"5,4",,"2,5",,"2,1",,17,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
85,Galettes blé noir,3353630000023,B,,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,['France'],[],[],,1.5 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,168,-5%,703 kj(168 kcal),-5%,"1,5",-61%,"0,3",-81%,32,+17%,"0,5",-30%,"5,1",-25%,"1,6",+21%,"0,64",+21%,6,+17%,C,+17%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,,,,,,,,,
86,Ti choco - Leader Price,3760050922383,,,['Leader Price'],,,['France'],[],[],,,,,,,,,,?,,450,,1883 kj(450 kcal),,"22,8",,"3,9",,54,,"38,3",,"5,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,
87,Champignons ail et fines herbes - La Belle Henriette,3342280892089,,,['La Belle Henriette'],,,['France'],[],[],,,,,,,,,,?,,130,,544 kj(130 kcal),,12,,"0,9",,"2,5",,"1,8",,"1,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
88,Crack or Délices,3413910092220,,,,,,['France'],[],[],,,,,,,,,,?,,415,,1736 kj(415 kcal),,"4,85",,3,,"88,2",,56,,"4,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
89,Mousse liegoise - U,3256224605188,,,['U'],,,['France'],[],[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"9,6",,"6,1",,20,,19,,"4,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
90,Pain,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,['France'],[],[],,7.2 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,288,-12%,1205 kj(288 kcal),-13%,"7,2",+17%,"0,9",-23%,44,-20%,"0,6",-85%,10,+5%,"1,3",+2%,"0,52",+2%,3,-41%,C,-41%,,,,,,,,,,,,,,,,,,,,
91,Walnut kernels noix - Meray - 200g,4251032601819,,200 g,['Meray'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,['France'],[],[],,64.3 g,en quantité élevée,5.8 g,en quantité élevée,2.6 g,en faible quantité,0.008 g,en faible quantité,?,,683,+22%,2858 kj(683 kcal),+22%,"64,3",+49%,"5,8",+4%,"3,4",-82%,"2,6",-72%,"19,6",+22%,"0,008",-98%,"0,003",-98%,13,+102%,D,+102%,,,,,,,,,,,,,,,,,,,,
92,guimauve cricks,2600687025587,,,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,,?,,433,,1812 kj(433 kcal),,19,,13,,61,,51,,4,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
93,Crevettes,2020001650231,D,,,"['Produits de la mer', 'Crustacés', 'Crevettes']",['Bio'],['France'],[],[],,1.5 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,0.55 g,en quantité modérée,?,,0,-100%,0 kj(0 kcal),-100%,"1,5",-32%,"0,6",+31%,0,-100%,0,-100%,22,+21%,"0,55",-63%,"0,22",-63%,-3,-220%,A,-220%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,,,
94,Sauce Morilles - maison potier - 180,3302768100105,A,180,['maison potier'],"['Epicerie', 'Sauces', 'Sauces aux champignons']",['Fabriqué en France'],['France'],"['eau', 'crème 20%', 'porto blanc et rouge ', 'contient sulfites', 'beurre', 'vin blanc', 'morilles 3%', 'échalotes', 'amidon modifié de maïs', 'trompettes des maures', 'fond de volaille ', 'eau', 'concentré de volaille', 'vin rouge', 'sel', 'extrait de boeuf', 'carotte', 'oignon', 'poireau', 'cognac', 'ail', 'thym', 'romarin', 'sel', 'poivre', 'epaississant : gomme xanthane']","['Non végétalien', 'Non végétarien']",4,10 g,en quantité modérée,7.1 g,en quantité élevée,1.6 g,en faible quantité,1.1 g,en quantité modérée,?,,117,+7%,490 kj(117 kcal),+10%,10,+23%,"7,1",+99%,"5,1",-15%,"1,6",-9%,"1,3",-27%,"1,1",-21%,"0,44",-21%,12,+48%,D,+48%,48.9%,25.3%,10.1%,8.4%,4.3%,3.0%,88,['bocal verre'],['Monteux'],['L18263'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Lait', 'Anhydride sulfureux et sulfites']",,['France'],['grand frais'],,,,,
95,Schinken Teewurst fein - Böklunder,22122704,,,['Böklunder'],"['Viandes', 'Charcuteries', 'Saucisses']",,['France'],[],[],,26 g,en quantité élevée,9.3 g,en quantité élevée,1 g,en faible quantité,2.7 g,en quantité élevée,?,,302,+18%,1264 kj(302 kcal),+18%,26,+25%,"9,3",+17%,1,-30%,1,+33%,16,+6%,"2,7",+38%,"1,08",+38%,22,+26%,E,+26%,,,,,,,,,,,,,,,,,,,,
96,Croustilles De Céréales Enrobees,3392070011213,,,,,,['France'],[],[],,,,,,,,,,?,,537,,2247 kj(537 kcal),,31,,17,,55,,43,,"7,8",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
97,Cookies tout chocolat,3226219004388,,,,,,['France'],[],[],,,,,,,,,,?,,482,,2017 kj(482 kcal),,22,,11,,63,,34,,"6,5",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,,,,,,
98,Gâteau aux pruneaux,3760050921485,,,,,,['France'],[],[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,"19,3",,"1,5",,"48,7",,"23,6",,"6,2",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
99,Sandwich nata - Tirma,8410085885010,,,['Tirma'],,,['France'],[],[],,,,,,,,,,?,,327,,1368 kj(327 kcal),,21,,12,,60,,31,,"7,6",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
100,Soy Pro 910G - Chocolat,0728633104499,,,,,,['France'],[],[],,,,,,,,,,?,,379,,1586 kj(379 kcal),,"2,5",,"0,7",,18,,17,,71,,"3,9",,"1,56",,,,,,,,,,,,,,,,,,,,,,,,,
101,Biscotte bio dorée vegan - Bio Dorées,3273670003108,,,['Bio Dorées'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",['France'],"['Farine de blé T65*', 'sésame* ', '10%', ""farine d'épeautre* "", '8%', 'matière végétale* ', 'coprah', 'tournesol', 'levure boulangère', 'sucre de canne*', 'sel', 'gluten de blé*', 'antioxydant : tocophérols', 'agent de traitement de la farine : acide ascorbique', '  *produits issus de l‘agriculture biologique', ' Fabriqué dans un atelier qui utilise des œufs', 'du soja et des produits laitiers']","['Végétalien', 'Végétarien']",4,,,,,,,,,?,,435,,1820 kj(435 kcal),,12,,"3,4",,63,,"1,3",,15,,"0,47",,"0,188",,,,,,,,,,,,,,,,"['E307c - Tocophérol', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']",,,,,,,,
102,Confiture Fraise - 230g,3770005480196,D,230 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
103,mimolette jeune - eco+ - 330g,2860132011613,C,330 g,['eco+'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,['France'],"['Lait pasteurisé de vache ', 'origine : Pays-Bas', 'sel', 'ferments lactiques', 'coagulant', 'colorant : E160b']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,24 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,?,,320,-0%,1339 kj(320 kcal),-0%,24,-0%,16,-2%,"0,5",+56%,"0,5",+59%,26,+1%,"2,6",+2%,"1,04",+2%,18,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['France'],['Pays-Bas'],"['FR 13.105.001 CE', 'Sénas (Bouches-du-Rhône, France)']",['E160b - Rocou'],['Lait'],,['Pays-Bas'],['E.Leclerc'],,,,,
104,Biscotte bio - Bio Dorées,3273670003092,B,,['Bio Dorées'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:rusk', 'en:zwieback', 'Biscottes-au-froment']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Farine de froment* ', '84%', 'levure boulangère', 'matières grasses végétales* ', 'coprah', 'tournesol', 'sucre*', 'gluten de blé*', 'sel', 'antioxydant: tocophérols', ' produits issus de l’agriculture biologique', '  Fabriqué dans un atelier qui utilise du sésame', 'des œufs', 'du soja et des produits laitiers']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,7.1 g,en quantité modérée,4.15 g,en quantité modérée,6.3 g,en quantité modérée,1.2 g,en quantité modérée,?,,407,+4%,1703 kj(407 kcal),+3%,"7,1",+5%,"4,15",+63%,"71,9",+5%,"6,3",+8%,"11,2",-1%,"1,2",-7%,"0,48",-7%,10,+31%,C,+31%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,['E307c - Tocophérol'],['Gluten'],,,,,,,,
105,Cidre biologique - La Ribaude,3302791240182,C,,['La Ribaude'],"['Boissons', 'Boissons alcoolisées', 'Cidres']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,
106,Les Milanaises de Poulet Fromage Frais - Le Gaulois,2481831032541,D,,['Le Gaulois'],"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,['France'],[],[],,6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,?,,165,+25%,690 kj(165 kcal),+26%,6,+285%,"3,2",+502%,11,+60%,"1,9",+3%,16,-25%,"1,4",+55%,"0,56",+55%,11,+1501%,D,+1501%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
107,De-icer - Sainsbury's,01774207,A,,"[""Sainsbury's"", ""By Sainsbury's"", 'Tesco']","['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']",,"['France', 'Royaume-Uni']",[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,2.9 g,en faible quantité,0.15 g,en faible quantité,?,,95,-12%,397 kj(95 kcal),-12%,"0,5",+191%,"0,1",+63%,3,-86%,"2,9",-85%,"0,5",-62%,"0,15",-91%,"0,06",-91%,1,-91%,B,-91%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['pp-bottle'],,,,,,,,,,,,
108,Épices à steak,3340790100069,,,,,['Sans colorants'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Terrine de boeuf fermier -  - 190g,3770005102050,,190g,,,"['Sans additifs', 'Sans conservateurs']",['France'],"[""Viande de boeuf blonde d'aquitaine"", 'gorge de porc', 'sel,foie de porc,sucre', ""piment d'espelette vin blanc"", 'ail', 'Sans additifs,ni conservateur']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Roses des sables -,3760200921730,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Roses des sables']",,['France'],[],[],,21.7 g,en quantité élevée,13 g,en quantité élevée,27 g,en quantité élevée,0.65 g,en quantité modérée,?,,422,+12%,1766 kj(422 kcal),+12%,"21,7",+29%,13,+60%,"48,8",+2%,27,-8%,"6,1",+14%,"0,65",+57%,"0,26",+57%,22,+29%,E,+29%,,,,,,,,,,,,,,,,,,,,
111,Steah haché façon authentique - Charal,3181238966126,,,['Charal'],,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],,,,,,,,,,?,,215,,900 kj(215 kcal),,15,,6,,0,,0,,20,,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,
112,Château Peylaby,3520721575108,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Café deluxe corsé - 700grammes,5410658006418,,700 grammes,['café deluxe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,['France'],['100 dosettes de café moulu'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['sac de 100 dosetts'],,,,,,,,,,,,
114,Gondino Stagionato,0701197223318,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'DE-ÖKO-039', 'IT-BIO-007']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,254,,1063 kj(254 kcal),,17,,"14,7",,"20,3",,"0,06",,"4,8",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
