,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,ingredients_origins,markets,palm_ingredients,producer_info,origin_detail
1388,Sauce De Soja au Champignon - Jia,3379140191426,,,,,['Jia'],,,['France'],"['Eau', 'Sel', 'soja 13%', 'Farine de blé Sucre', 'Champignon ', '2%', 'Colorant ', 'E150a', 'Exhausteur de goût ', 'E621', 'E635', 'Colorant ', 'E150a', 'Conservateur ', 'E202']","['E150a - Caramel E150a', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Soja']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,76,,318 kj(76 kcal),,0,,0,,"14,1",,"8,1",,"4,6",,12,,"4,8",,,,,,,,,,,,,,,,,,,,
1389,Chataigne D'eau 567G,3379140197466,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,32,,134 kj(32 kcal),,0,,0,,"9,1",,"0,7",,"0,8",,0,,0,,,,,,,,,,,,,,,,,,,,
1390,Nouille Séchée 200G - Eaglobe - 200g,3379140202504,,,200 g,,['Eaglobe'],,,['France'],"['Farine de blé', 'Eau', 'Amidon de maïs', 'Sel', 'Acidifiants ', 'E500', 'E501', "" Conseils de l'allerqie: Ce produit contient céréales contenant du qluten""]","['E500 - Carbonates de sodium', 'E501 - Carbonates de potassium']",['Gluten'],[],,,,,,,,,,?,,378,,1582 kj(378 kcal),,"1,6",,"0,3",,78,,"2,4",,"13,8",,"0,375",,"0,15",,,,,,,,,,,,,,,,,,,,
1391,Farine de riz gluant - EAGLOBE - 400g,3379140602465,,,400g,,['EAGLOBE'],,,['France'],"['FARINE DE RIZ GLUANT 88%', 'EAU 12% INGREDIENTS : GLUTINOUS RICE FLOUR 88%', 'WATER 12% POIDS NET/ NET / 400g PRODUIT DE THAILANDE PRODUCT OF THAILAND a A CONSOMMER DE PREFERENCE AVANT FIN / BEST BEFORE 02 2017 LOTNO']",,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,0,,0,,80,,0,,7,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,
1392,Longans au sirop - PSP - 565g (230g égoutté),3379140604933,,,565 g (230 g égoutté),['Conserve'],['PSP'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Longanes au sirop']",,['France'],"['Longan', 'eau', 'sucre']",,,[],3,0 g,en faible quantité,0 g,en faible quantité,19.6 g,en quantité élevée,0 g,en faible quantité,?,,82,+12%,343 kj(82 kcal),+16%,0,-100%,0,-100%,"19,6",+27%,"19,6",+40%,"0,3",-23%,0,-100%,0,-100%,0,,B,,,,,,,,,,['Thaïlande'],,,['Supermarché Asie'],,,
1393,Piment Séché - Thaï Top Choice - 100g,3379140605633,,,100 g,,['Thaï Top Choice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,['France'],[],,,[],,5 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,?,,340,+160%,1423 kj(340 kcal),+146%,5,+48%,1,+57%,47,+142%,3,-59%,21,+453%,"0,1",-98%,"0,04",-98%,,,,,,,,,,,,,,,,,,,
1394,Lait de coco - Eaglobe - 400ml,3379140618367,B,Lait de Coco,400 ml,['Conserve'],['Eaglobe'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco', 'Boissons sans sucre ajouté']",,['France'],"['extrait de noix de coco', 'eau']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,18.6 g,en quantité élevée,16.5 g,en quantité élevée,1.62 g,en faible quantité,0 g,en faible quantité,?,,183,+16%,766 kj(183 kcal),+17%,"18,6",+19%,"16,5",+21%,"2,22",-20%,"1,62",-4%,"1,75",+38%,0,-100%,0,-100%,11,+16%,D,+16%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,['Thailande'],,,['G20'],,,
1395,Kishimen,3379141606646,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,1,,"0,3",,73,,"1,7",,12,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1396,Galettes de riz,3379141811521,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,341,,1427 kj(341 kcal),,"0,39",,"0,12",,"83,8",,0,,"0,51",,"1,98",,"0,792",,,,,,,,,,,,,,,,,,,,
1397,Riz gluant noir - 1kg,3379148807220,,,1 kg,['Emballage'],,,,['France'],[],,,[],,,,,,,,,,?,,200,,837 kj(200 kcal),,0,,0,,44,,0,,4,,0,,0,,,,,,,,,,,,,,,,,,,,
1398,Couscous légumes,3379670015339,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,127,,531 kj(127 kcal),,"1,1",,"0,2",,"22,3",,"2,8",,"4,7",,1,,"0,4",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1399,"Onetik, Ossau iraty, la portion de 200 gr - 200g",3379760853278,E,,200g,"['Frais', 'Sous atmosphère protectrice']",['Onetik'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,['France'],"['Lait de brebis pasteurisé', 'sel', 'ferments', 'présure']",,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,37 g,en quantité élevée,25 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,421,-0%,1761 kj(421 kcal),+0%,37,+3%,25,+1%,"1,3",+38%,"0,5",+71%,22,-6%,"1,8",+2%,"0,72",+2%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,['AOP'],,"['FR 64.364.100 CE', 'Macaye (Pyrénées-Atlantiques, France)']",,,,,
1400,Sablés à la fleur de sel de Noirmoutier - 150g,3380033501833,,,150 g,,,,,['France'],[],,,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,22,,15,,65,,28,,"6,4",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,
1401,Boc de foie gras de canard -  - 90g,3380241003501,B,,90 g,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,['France'],"['Foie gras de canard reconstitué : 88%', 'eau', 'sel', 'poivre blanc', 'sucre', 'conservateur : nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,49 g,en quantité élevée,20 g,en quantité élevée,1.7 g,en faible quantité,1.4 g,en quantité modérée,?,,477,-3%,1996 kj(477 kcal),-2%,49,-3%,20,-7%,"2,3",+8%,"1,7",+28%,"6,7",+9%,"1,4",+15%,"0,56",+15%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,
1402,Polenta Bio à La Méditerranéenne - Primeal,3380380052187,,,,,['Primeal'],,,['France'],"['Basisrecept: strooi 2 0 g bereiding in ko en water', ' Kook ongeveer min', ' voortdurend omroerend', 'totdat het ingedikt is', ' ln Frankrijk vervaardigd eigen afdelingen', ' Analyse type pour 100 g de produit sec / Voedingswaarde voor 100 g droog product:']",,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,8",,"0,3",,"73,6",,"2,1",,"7,7",,"2,4",,"0,96",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'Union Végétarienne Européenne', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,
1403,Riz rond de Camargue Primeal - 1kg,3380380055218,B,,1 kg,"['Sachet', 'Plastique']",['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz à grain court', 'Riz de Camargue']",,['France'],"['Riz de Camargue IGP** rond blanc*', "" *issu de l'agriculture biologique"", ' **Indication Géographique Protégée', ' Prénaratio']",,,[],,1.1 g,en faible quantité,0.3 g,en faible quantité,0.2 g,en faible quantité,0.02 g,en faible quantité,?,,351,0%,1469 kj(351 kcal),-0%,"1,1",+35%,"0,3",+49%,"79,2",+2%,"0,2",-11%,"6,6",-6%,"0,02",+285%,"0,008",+285%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Bio', 'Bio européen', 'FR-BIO-01', 'IGP']",,,,,,,
1404,LES PATINETTES MINI COQUILLAGES - Priméal - 250g,3380380056994,B,,250g,"['Sachet', 'Plastique']",['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",,['France'],"['semoule supérieure de blé dur*', "" *issue de l'agriculture biologique""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.6 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,1486,-2%,350,-2%,1486 kj(350 kcal),-1%,"1,6",-20%,"0,4",-10%,70,+0%,3,-4%,"12,5",0%,0,-100%,0,-100%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],,,,,,
1405,Mix pain de mie quinoa,3380380082771,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,"0,9",,"0,3",,77,,"1,3",,"4,1",,"1,6",,"0,64",,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,
1406,Les minis galettes de maïs aux pois cassés - Priméal - 90g,3380380084454,B,,90 g,['Sachet'],['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",,['France'],"['mais ', '69%', 'pois cassés ', '30%', 'huile de germe de mais', 'sel marin', '\rPeut contenir des traces de lait et de soja']",,,[],3,1.8 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0.5 g,en quantité modérée,?,,379,-4%,1586 kj(379 kcal),-4%,"1,8",-56%,"0,3",-63%,"74,4",-6%,"1,2",-31%,"13,6",+76%,"0,5",+17%,"0,2",+17%,-4,-368%,A,-368%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['en:gluten-free'],,,,,,,
1407,Flocons De Riz Bio - Primeal - 500g,3380390066402,B,,500 g,"['Sachet', 'Plastique']",['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', 'Flocons de riz']",,['France'],['riz complet*'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.4 g,en faible quantité,0.6 g,en faible quantité,0.9 g,en faible quantité,0.02 g,en faible quantité,?,,363,+1%,1519 kj(363 kcal),+1%,"2,4",+3%,"0,6",+20%,"76,5",+12%,"0,9",+16%,"7,7",+2%,"0,02",,"0,008",,-2,,A,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,,,,
1408,Farine Kamut - Primeal,3380390135405,,,,,['Primeal'],,,['France'],[],,,[],,,,,,,,,,?,,341,,1427 kj(341 kcal),,"2,5",,"0,5",,"62,8",,"2,7",,"12,9",,"0,01",,"0,004",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1409,Graines Lin Brun - Primeal,3380390223409,D,,,,['Primeal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Lins', 'Graines de lin brun']",,['France'],"['PRIMéAL Graines de lin brun Bruin lijnzaad Awputerouà/harporerdansdespêtesàpain', ' R/the en fibres et en oméga 3 03 380390 223409 Ayicdture Inde']",,,[],,40.4 g,en quantité élevée,4.3 g,en quantité modérée,1.2 g,en faible quantité,0.02 g,en faible quantité,?,,514,+4%,2151 kj(514 kcal),+4%,"40,4",+8%,"4,3",+31%,"4,2",-55%,"1,2",+24%,"20,5",0%,"0,02",-74%,"0,008",-74%,0,-100%,B,-100%,87.9%,0.0%,4.6%,2.5%,3.1%,1.9%,35,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1410,Croquants creme de myrtille - Apiflor,3380840101707,,,,,['Apiflor'],,,['France'],[],,,[],,,,,,,,,,?,,455.39999389648,,1905 kj(455 kcal),,"13,5",,"8,8",,"77,9",,"30,6",,"6,7",,"0,087",,"0,035",,,,,,,,,,,,,['Bio'],,,,,,,
1411,Nature demi écremé - Bio Gam,3382323160003,,,,,['Bio Gam'],,,['France'],"[""lait partiellementéa'bk pasteurisé 96%"", 'lait écrémé en ferments lactiques', "" *issus de l'Agriculture Biologique""]",,,[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"2,5",,"1,7",,"4,9",,"4,9",,4,,"0,1",,"0,04",,,,,,,,,,,,,['Bio'],,,,,,,
1412,Olives vertes denoyautes à l'ail - Tropic Apero,3382510032304,,,,,['Tropic Apero'],,,['France'],"['Olive du Maroc 77%', 'huile de touynesol', 'ail ', 'Yq oignon', 'sel', 'rnenthe', 'basilic', 'acidifiants ', 'vinaigre', 'E330', ' / traces éventuelles : anchois', 'IGpjm amande', ' Malgré les contrôles', 'des noyaux']",['E330 - Acide citrique'],,[],,,,,,,,,,?,,229,,958 kj(229 kcal),,23,,"3,8",,"3,6",,"0,3",,"1,5",,3,,"1,2",,,,,,,,,,,,,,,"['EMB 13044B', 'Grans (Bouches-du-Rhône, France)']",,,,,
1413,Jambon serrano - Charcuterie Serres - 250g,3385570076417,E,,250 g,"['Barquette', 'Plastique']",['Charcuterie Serres'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,['France'],"['Jambon de porc origine Espagne', 'sel', 'dextrose', 'antioxygène E301', 'conservateur E252']","['E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,10.1 g,en quantité modérée,4 g,en quantité modérée,0.8 g,en faible quantité,4.5 g,en quantité élevée,?,,222,-7%,929 kj(222 kcal),-7%,"10,1",-20%,4,-14%,"1,1",+53%,"0,8",+79%,"31,8",+5%,"4,5",-4%,"1,8",-4%,15,-9%,D,-9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['AOP'],,,['Espagne'],,,,
1414,Jambon sec supérieur de l'andour -,3385570077346,E,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,['France'],[],,,[],,12 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,3.88 g,en quantité élevée,?,,927,+286%,3879 kj(927 kcal),+288%,12,-11%,"4,4",-15%,"0,5",-23%,"0,5",+15%,"28,4",-1%,"3,88",-21%,"1,552",-21%,24,+41%,E,+41%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Qualité supérieure'],,,,,,,
1415,Fraise entiere surgele - Fruits Rouges & Co,3385630114431,,,,,['Fruits Rouges & Co'],,,['France'],[],,,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"0,5",,0,,"4,1",,"4,1",,"0,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,
1416,Cocktail exotique DELICES D'ORIENT - 500grammes,3386030001536,,,500 grammes,['Sachet'],['Delices d orient'],['Cocktail exotique'],,['France'],"['Nems ', '80g', ' : eau', 'farine de riz', 'crevette ', 'CRUSTACE', ' 14% ', 'crevette', 'eau', 'sel', 'acidifiant : E331', 'vermicelle réhydraté ', 'eau', 'amidon de pois', 'carotte', 'oignon', 'calmar géant ', 'MOLLUSQUE', 'poireau', 'protéine de SOJA', 'huile de tournesol', 'champignon noir', ""châtaigne d'eau"", 'chou', 'sauce SOJA ', 'eau', 'graine de SOJA', 'sel', 'farine de BLE', 'ail', 'sucre', 'sel', 'épices', 'colorant : caramel ordinaire ', ' épaississant : gomme guar', ' Beignets de crevette ', '120g', ' : crevette ', 'CRUSTACE', ' 36% ', 'crevette', 'sel', 'acidifiant : E331', 'eau', 'farine de BLE', 'fécule', 'huile de tournesol', 'poudres à lever : diphosphates', 'carbonates de sodium ', ' amidon de BLEI sauce nuoc-mâm ', 'POISSON', 'sel', 'eau', 'sel', 'poivre', 'épaississants : gomme guarj gomme xanthane', ' Samoussas ', '120g', ' : farine de BLE', 'eau', 'manioc', 'champignon noir', 'shiitake', 'taro', 'vermicelle réhydraté ', 'eau', 'farine de haricot mungo', 'farine de pomme de terre', 'sel', 'coriandre', 'huile de soja', 'amidon', 'ail', 'sucre', 'sel', ' poivre', 'huile de tournesol', ' Acras de morue ', '80g', ' : chair de morue ', 'POISSON', ' 36%', 'eau', 'farine de BLEI oignon', 'huile de tournesol', 'persil', 'poudres à lever : diphosphatesj carbonates de sodium ', ' amidon de BLE', 'ail', 'sel', 'piment', 'épaississants : gomme guar', 'gomme xanthane', ' Sauce nuoc mam ', '2x25g', ' : eau', 'sucre', 'sauce POISSON préparée 13% ', 'eau', 'POISSON', 'sel', ""vinaigre d'alcool"", 'sel', ' Sauce au piment ', '2x25g', ' : eau', 'sirop de glucose-fructose', 'sucre', ""vinaigre d'alcool"", 'concentré de tomate', 'sel', 'amidon modifié de maïs', 'poivron', 'épices', 'piment 0,18%', ' Traces éventuelles de lait', 'œuf', 'grainde de sésame', 'moutarde', ' A consommer chaud', ' Mode de réchauffage Préchauffer le four à 2200C', ' Placer les produits dans un plat sans les sauces et mettre au four pendant 10 min']","['E331 - Citrates de sodium', 'E150a - Caramel E150a', 'E412 - Gomme de guar', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés']","['Crustacés', 'Poisson', 'Gluten', 'Mollusques', 'Soja']","['Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.27 g,en quantité modérée,?,,240,,1004 kj(240 kcal),,13,,"1,4",,22,,"0,5",,"6,5",,"1,275",,"0,51",,0,,B,,,,,,,,,['Point Vert'],,"['EMB 36231A', 'Velles (Indre, France)']",,,,,
1417,Assortiment Délices d'Asie à la vapeur DELICES D'ORIENT - Saveur Du Monde,3386030001772,,,,,['Saveur Du Monde'],,,['France'],[],,,[],,,,,,,,,,?,,142,,594 kj(142 kcal),,3,,"0,8",,22,,"0,3",,"6,1",,"0,93",,"0,372",,,,,,,,,,,,,,,"['EMB 36231A', 'Velles (Indre, France)']",,,,,
1418,4 Saveurs D'orient 260g - Delices d orient,3386030002885,,,,,['Delices d orient'],,,['France'],[],,,[],,,,,,,,,,?,,250,,1046 kj(250 kcal),,14,,"1,5",,23,,"0,3",,"6,7",,"1,7",,"0,68",,,,,,,,,,,,,['Sans colorants'],,"['FR 36.231.017 CE', 'Velles (Indre, France)', 'EMB 36231A', 'Velles (Indre, France)']",,,,,
1419,Beignets de morue au piment frais antillais,3386030004834,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,331,,1385 kj(331 kcal),,20,,"1,7",,27,,"1,6",,10,,2,,"0,8",,,,,,,,,,,,,,,,,,,,
1420,Mini bhajis - Délices D'Orient,3386030004841,,,,,"[""Délices D'Orient""]",,,['France'],"['oignon 30%', 'farine de blé', 'poireau', 'farine de pois chiches', 'chou', 'eau', 'menthe', 'sucre', 'épices', 'sel', 'poudres à lever: diphosphates', 'carbonates de sodium ', 'amidon de BLE', 'piment', 'arômes', 'tomate déshydratée', ""huile d'olive"", ' sucre caramélisé', 'colorant: extrait de paprika', 'plantes aromatiques', 'huile de tournesol']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160c - Extrait de paprika']",['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,229,,958 kj(229 kcal),,11,,1,,25,,"4,4",,"5,4",,"2,45",,"0,98",,,,,,,,,,,,,,,,,,,,
1421,Lasagnes aux legumes - Landreau - 400g,3386750000468,B,,400 g,,['Landreau'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes', 'Lasagnes aux légumes']",,['France'],"['eau', 'semoule de blé dur de qualité supérieure', 'aubergines grillées 11%', 'lait', 'concentré de tomate', 'emmental', 'oignons frits ', 'huile de tournesol', 'œufs frais', 'huiles végétales', 'sucre', 'sel', 'ail', 'épices', 'herbes aromatiques']",,"['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",3,4 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,0.33 g,en quantité modérée,117,-76%,117,-8%,117 kj(117 kcal),-77%,4,-24%,1,-46%,14,+8%,3,-4%,4,-10%,"0,33",-54%,"0,132",-54%,-1,-152%,A,-152%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,"['FR 31.557.001 CE', 'Tournefeuille (Haute-Garonne, France)']",,,,,
1422,Rogeret de brebis - Gerentes,3387270120780,,,,,['Gerentes'],,,['France'],[],,,[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,25,,18,,"2,6",,"0,1",,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1423,Yaourt Nature Brebis -,3387270642183,B,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de brebis']",,['France'],[],,,[],,7.5 g,en quantité modérée,4.9 g,en quantité modérée,5.6 g,en quantité modérée,0.11 g,en faible quantité,?,,110,+5%,460 kj(110 kcal),+4%,"7,5",+47%,"4,9",+47%,"5,6",-41%,"5,6",-31%,"4,9",+1%,"0,11",+3%,"0,044",+3%,3,+16%,C,+16%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,
1424,Farine de ble noir - Harpe Noire,3387720000020,B,,,,['Harpe Noire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,['France'],"[""Tenir à Itécart de la chaleur et de l'humidité Poidsnet:""]",,,[],,3 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,?,,344,-1%,1439 kj(344 kcal),-2%,3,+9%,"0,6",+13%,64,-5%,"0,8",-41%,13,+12%,"0,01",-36%,"0,004",-36%,-6,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,
1425,Sirop de banane verte MONIN - 33cl,3388690001116,,,33 cl,"['Verre', 'Bouteille']",['Monin'],['Sirops'],,['France'],"['Sucre', 'eau', 'jus concentré de banane', 'arôme', 'colorant bleu brillant FCF', ' Jus de banane : 10 %']","['E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,[],4,0 g,en faible quantité,0 g,en faible quantité,82.3 g,en quantité élevée,0.03 g,en faible quantité,?,,335,+30%,1402 kj(335 kcal),+27%,0,-100%,0,-100%,"82,3",+26%,"82,3",+34%,0,-100%,"0,03",-20%,"0,012",-20%,14,+14%,D,+14%,,,,,,,,"['Point Vert', 'Sans alcool']",,,,,,,
1426,Arachides coques,3388920005129,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,625,,2615 kj(625 kcal),,"48,5",,"7,8",,"18,7",,"3,2",,"29,6",,0,,0,,,,,,,,,,,,,,,,,,,,
1427,Vignol bananes séchés,3388920005303,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,501,,2096 kj(501 kcal),,"26,59",,"24,5",,"17,45",,0,,"1,85",,"9,9",,"3,96",,,,,,,,,,,,,['Sans colorants'],,,,,,,
1428,Soupe de poisson,3389090000518,E,,,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,['France'],[],,,[],,1.1 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en quantité modérée,?,,53,+10%,222 kj(53 kcal),+12%,"1,1",-42%,"0,5",+11%,"2,2",+21%,"1,3",+100%,"8,4",+62%,"1,2",+36%,"0,48",+36%,0,-100%,B,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,
1429,Rillette De St Jacques Au Poivre De Sichuan -  - 100g,3389090011507,,,100 g,,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de Saint-Jacques']",,['France'],[],,,[],,7 g,en quantité modérée,4.6 g,en quantité modérée,0.8 g,en faible quantité,0.9 g,en quantité modérée,?,,127,-24%,531 kj(127 kcal),-24%,7,-37%,"4,6",-29%,"2,9",-19%,"0,8",-36%,13,+3%,"0,9",-15%,"0,36",-15%,3,-69%,C,-69%,,,,,,,,,,,,,,,
1430,Rillettes de dorade aux oignons et au miel TY GWENN,3389090015963,D,,,,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",,['France'],[],,,[],,6.3 g,en quantité modérée,3.9 g,en quantité modérée,3.6 g,en faible quantité,1 g,en quantité modérée,?,,139,-37%,582 kj(139 kcal),-37%,"6,3",-63%,"3,9",-31%,"4,1",+82%,"3,6",+261%,16,+17%,1,-8%,"0,4",-8%,3,-69%,C,-69%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,
