,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
47,Fluo colorant alimentaire en poudre - Scrapcooking,3700392440848,,,['Scrapcooking'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pain tranche,3700531263444,,,,,,,,,['France'],[],,[],?,272,1138 kj(272 kcal),"8,5","1,2","42,8","4,5","1,41","0,564","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
49,Compotée de cerise et griotte - L'Atelier du Primeur,3700876900493,,,"[""L'Atelier du Primeur""]",,,,,,['France'],"['Griotte*', '50%', 'purée de cerise ', '45,7%', 'mure*']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,81,339 kj(81 kcal),"0,3",0,"17,5","1,3",0,0,"17,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",0.3 g,en faible quantité,0 g,en faible quantité,17.4 g,en quantité élevée,0 g,en faible quantité,,+21%,+22%,-8%,-100%,+20%,+31%,+211%,-100%,-100%,-1,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Bio'],,1,,,,,
50,Tranches de pomme façon Tatin,3700876900516,,,,,,,,,['France'],[],,[],?,88,368 kj(88 kcal),0,0,22,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
51,Hoolala,3760002250144,,,,,,,,,['France'],[],,[],?,446,1866 kj(446 kcal),12,1,77,"7,6","0,08","0,032",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Soupe de poisson,3760002252230,,,,,,,,,['France'],[],,[],?,37,155 kj(37 kcal),"1,1","0,1","2,2","4,1","0,9","0,36","0,8",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.9 g,en quantité modérée,,-23%,-22%,-42%,-78%,+21%,+23%,-21%,+2%,+2%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,
53,Les Loustiks - Carabreizh,3760029249053,,,['Carabreizh'],,,,,,['France'],[],,[],?,390,1632 kj(390 kcal),"6,1",3,83,"0,86",0,0,"64,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Confiture extra a la cassonade fruits rouges,3760058112564,,,,,,,,,['France'],[],,[],?,225,941 kj(225 kcal),0,0,54,"0,5","0,005","0,002",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fusilli supreme de dinde,3760076161490,,,,,,,,,['France'],[],,[],?,130,544 kj(130 kcal),"2,9","0,7",17,"7,3","0,92","0,368","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
56,Miel,3760146780354,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Boisson cappuccino,3760160410497,,,,,,,,,['France'],[],,[],?,46,192 kj(46 kcal),"0,4","0,25","1,9","8,5","0,2","0,08","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Miel de Framboisier - Bruno Laurent - 250g,3760189240075,250 g,,['Bruno Laurent'],['France'],,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de framboisier']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",,,,,,,
59,Guarana blanc - Sol semilla,3760213860255,,,['Sol semilla'],,,,,,['France'],[],,"['Végétalien', 'Végétarien']",?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,
60,Terrines de caille du Père Louis,3760236945250,,,,,,,,,['France'],[],,[],?,295,1234 kj(295 kcal),24,"8,6","0,1",21,"1,2","0,48","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,
61,Sandwich,3581084101007,,,,,,,,,['France'],[],,[],?,216,904 kj(216 kcal),"5,4","1,1",31,"10,3","1,4","0,56","2,1",,['Sandwichs'],5.4 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en faible quantité,1.4 g,en quantité modérée,,-10%,-10%,-48%,-68%,+24%,-36%,-3%,+6%,+6%,4,-48%,C,-48%,,,,,,,,,,,,,,,
62,Bento classic,3760278202212,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sirop de curcuma,3770003427728,,,,,,,,,['France'],[],,[],?,206,862 kj(206 kcal),"0,47","0,15","49,5","0,37",0,0,"49,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Velouté de st-jacques,3770008516212,,,,,,,,,['France'],[],,[],?,103,431 kj(103 kcal),"6,8","1,3","5,2","4,6","1,1","0,44","1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Les gourmandes - 100g,3770009212038,100 g,,,,,,,,['France'],[],,[],?,560,2343 kj(560 kcal),38,21,46,"7,4","0,2","0,08",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Chaï authentique - HoliChai - 80g,3770011278008,80g,['Sachet'],['HoliChai'],['Inde'],['France'],,,,['France'],"['Thé noir', 'cannelle', 'cardamome', 'clous de girofle', 'poivre noir', 'gingembre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,?,,,,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés chaï']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",Chaï Authentique,1,,,,,
67,Ice tea (lemon),3800003308854,,,,,,,,,['France'],[],,[],?,1218,5096 kj(1218 kcal),0,0,3,15,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ruf Unsere Brownies - 420g,4002809036170,420g,,['Ruf'],,,,,,"['France', 'Allemagne']",[],,[],?,433,1812 kj(433 kcal),25,15,46,"5,4","0,4","0,16",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Cashews - Rapunzel,4006040134763,,,['Rapunzel'],,,,,,['France'],[],,[],?,100,418 kj(100 kcal),51,11,19,19,"1,4","0,56","5,4",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",51 g,en quantité élevée,11 g,en quantité élevée,5.4 g,en quantité modérée,1.4 g,en quantité modérée,,-83%,-83%,+11%,+29%,-26%,-17%,+2%,+123%,+123%,8,+6%,C,+6%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,
70,Hawesta Muscheln in Arrabbiata-Sauce,4006922005341,,,['Hawesta'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,
71,Muscheln in Tomaten-Sauce - Hawesta - 110g,4006922005747,110 g,['Dose'],['Hawesta'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,C,"['Produits de la mer', 'Mollusques', 'Moules']",,,,,,,,,,,,,,,,,,,,,,,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,"['Pêche durable', 'Pêche durable MSC']",,,,,,,
72,Meeresfrüchte „Italia“ - Werner Lauenroth - 170g,4011420029393,170 g,['Kunststoff'],['Werner Lauenroth'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,['Produits de la mer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Gâteau sable bio au cacao et à l'orange sans gluten,4022993045840,,,,,,,,,['France'],[],,[],?,402,1682 kj(402 kcal),"20,3","9,7","48,7","5,2","0,38","0,152","28,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,
74,Kühlmann - 300g,4051009005493,300 g,,['Kühlmann'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Tagliatelle Fungo Porcino - Wajos - 250g,4051159029493,250 g,['Tüte'],['Wajos'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Tagliatelles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pesto tartufo - DeWi - 135g,4059598600518,135 g,['Glas'],['DeWi'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,C,"['Epicerie', 'Sauces', 'Sauces Pesto']",,,,,,,,,,,,,,,,,,,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,
77,Coupe de salade,4061458018821,,,,,,,,,['France'],[],,[],?,141,590 kj(141 kcal),9,"2,5","11,7","2,6","1,6","0,64","5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Wellfit zitrone & buttermilch - Kühne,40737065,,,['Kühne'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Hähnchen-kochschinken - 200g,4101820444060,200 g,,,,,,,,['France'],[],,[],?,105,439 kj(105 kcal),2,"0,8",1,20,"2,3","0,92","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Smoothie en poudre Rouge - Alnavit - 145g,42297680,145 g,,['Alnavit'],,,,,,"['France', 'Suisse']",[],,[],1427,?,1427 kj(341 kcal),"3,1","0,6",62,"6,7","0,26","0,104",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
81,Müller Mix - 150g,42343660,150 g,,['Muller'],,,,,,['France'],[],,[],?,155,649 kj(155 kcal),"6,7","4,4","18,5","4,4","0,16","0,064","16,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Holunderbeeren Chutney - Valenbrook - 210g,4260072387928,210 g,['Dose'],['Valenbrook'],,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Sauces', 'Chutneys de fruit']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4260176723028,4260176723028,,,,,,,,,['France'],[],,"['Végétalien', 'Végétarien']",?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
84,"Studentenfutter, Nussmischung mit Sultanien - Tegut",4305720036565,,,['Tegut'],,,,,,['France'],[],,[],?,544,2276 kj(544 kcal),"38,7","4,5","33,4","11,8","0,03","0,012","24,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Dessert chocolat vanille - Système U,46650511,,,['Système U'],,,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,,['France'],[],,[],?,0,0 kj(0 kcal),3,"1,9","19,8","2,9","0,1","0,04","18,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Knife Pare Noodles,4712765200569,,,,,,,,,['France'],[],,[],?,83,347 kj(83 kcal),"1,1",0,"71,4","13,9","0,6","0,24",3,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",1.1 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.6 g,en quantité modérée,,-76%,-76%,-81%,-100%,+21%,-47%,+47%,+99%,+99%,-2,-223%,A,-223%,,,,,,,,['Sans conservateurs'],,,,,,,
87,Kilikia Feuille Vigne Nature 720 ML,4850024000878,,,,,,,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,"0,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Knorr Fleischsuppe - 352g,4038700100078,352 g,,,,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Tesco Toasted Flaked Almonds 100G,5000119790545,,,['Tesco'],,,,,,"['France', 'Royaume-Uni']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Yorkshire Tea Hard Water,5010357112054,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ginger garlic paste,5020580551964,,,,,,,,,['France'],[],,[],?,24,100 kj(24 kcal),1,1,2,0,"2,9","1,16",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,finger foods,5024121378119,,,,,,,,,['France'],[],,[],?,22,92 kj(22 kcal),"3,5","0,1","0,4","0,3","0,1","0,04","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Yaourt a boire - Asda,5054781047773,,,['Asda'],,,,,,['France'],[],,[],205,49,205 kj(49 kcal),"1,4","0,2","6,2","2,6","0,08","0,032","4,3",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",1.4 g,en faible quantité,0.2 g,en faible quantité,4.3 g,en quantité modérée,0.08 g,en faible quantité,-33%,-32%,-33%,-7%,-79%,-45%,-60%,-10%,-25%,-25%,9,-44%,D,-44%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,,
94,Superberries Red,5060148350035,,,,,,,,,['France'],[],,[],?,20,84 kj(20 kcal),0,0,"4,4",0,0,0,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Emmental,5202336076246,,,,,,,,,['France'],[],,[],?,395,1653 kj(395 kcal),31,"22,5",0,29,"0,8","0,32",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Truffles - Excelcium - 150g,5400265034140,150 g,,['Excelcium'],,,,,,['France'],"['graisses végétales ', 'palme', 'palmiste', ' en proportion variable', 'sucre', 'cacao maigre 13%', 'lactosérum en poudre ', 'lait', 'cacao en poudre 1%', 'arômes: amande et vanille', 'émulsifiant: lécithine de soja', "" Peut contenir des traces d'arachides"", 'autres fruits à coque et gluten']",['Lait'],"['Huile de palme', 'Non végétalien']",?,628,2628 kj(628 kcal),47,35,45,"4,9","0,27","0,108",34,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",47 g,en quantité élevée,35 g,en quantité élevée,34 g,en quantité élevée,0.27 g,en faible quantité,,+7%,+8%,+8%,+7%,+11%,-8%,+4%,+106%,+106%,25,+5%,E,+5%,,,,,,,,"['Agriculture durable', 'Fabriqué en France', 'en:UTZ Certified']",,4,['E322i - Lécithine'],,,,
97,Escalope tomate et basilic - Céréal,5410063034334,,,['Céréal'],,,,,,['France'],[],,"['Végétalien', 'Végétarien']",?,231,967 kj(231 kcal),9,"0,9",20,16,"1,7","0,68","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,
98,Coupes Caramel x14,5410498072086,,,,,,,,,['France'],[],,[],?,273,1142 kj(273 kcal),"13,8","9,7","34,5","2,6","0,3","0,12","29,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Soucoupes,5411136000089,,,,,,,,,['France'],[],,[],?,361,1510 kj(361 kcal),"0,1",0,90,"0,1","0,88","0,352","52,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Corné,5412351343012,,,,,,,,,['France'],[],,[],?,536,2243 kj(536 kcal),"33,7","15,88","48,56","6,64","0,1","0,04","45,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,RIBS DE PORC À LA MEXICAINE,2245061037659,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Mistura oriental,5602003000510,,,,,,,,,['France'],[],,[],?,25,105 kj(25 kcal),"0,2","0,1","2,1","1,5","0,05","0,02","2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
103,Bombom Lindor Sabores Diversos Pote - Lindt,7610400084789,,,"['Lindt', 'Lindor']",,,,,,['France'],[],,[],?,621,2598 kj(621 kcal),47,35,44,"4,4","0,1","0,04",42,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",47 g,en quantité élevée,35 g,en quantité élevée,42 g,en quantité élevée,0.1 g,en faible quantité,,+17%,+18%,+47%,+101%,-16%,-12%,-25%,-35%,-35%,26,+7%,E,+7%,,,,,,,,,,,,,,,
104,Delizie d'Italia,8013108054983,,,,,,,,,['France'],[],,[],?,340,1423 kj(340 kcal),0,0,85,0,"0,25","0,1",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Italie']",,,,,,,
105,Almondegas com jardineira,8410867403647,,,,,,,,,['France'],[],,[],?,163,682 kj(163 kcal),"8,9","2,9","13,1","7,5","0,92","0,368",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jambon a l'ancienne - Tallec,2264752036474,,,['Tallec'],,,,,,['France'],[],,[],?,161,674 kj(161 kcal),"7,9","2,9","0,4",22,"1,9","0,76","0,4",,"['Viandes', 'Charcuteries', 'Jambons']",7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.4 g,en faible quantité,1.9 g,en quantité élevée,,-5%,-4%,+3%,-0%,-39%,-25%,-6%,-34%,-34%,12,+13%,D,+13%,,,,,,,,,,,,,,,
107,Pancakes nature - Kitchendiet,84505965,,,['Kitchendiet'],,,,,,['France'],[],,[],?,283,1184 kj(283 kcal),"6,3","1,88","48,6","7,3","0,67","0,268","21,2",,['Pancakes'],6.3 g,en quantité modérée,1.88 g,en quantité modérée,21.2 g,en quantité élevée,0.67 g,en quantité modérée,,-7%,-7%,-32%,-6%,+18%,+31%,-21%,-34%,-34%,6,-45%,C,-45%,,,,,,,,,,,,,,,
108,Le ravioli bolognaise - Panzani,3261052885046,,,['Panzani'],,,,,,['France'],[],,[],?,97,406 kj(97 kcal),"3,4","1,3","11,3","4,9","0,9","0,36","1,7",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli à la bolognaise']",3.4 g,en quantité modérée,1.3 g,en faible quantité,1.7 g,en faible quantité,0.9 g,en quantité modérée,,-10%,-10%,-1%,+1%,-12%,-24%,-1%,+3%,+3%,2,-6%,B,-6%,,,,,,,,,,,,,,,
109,Steak de boeuf a griller,0208235048877,,,,,,"['FR 57.463.001 CE', 'Metz (Moselle, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Smiley Cereal,3460516317752,,,,,,,,,['France'],[],,[],?,385,1611 kj(385 kcal),"0,5","0,1",86,"7,3","0,4","0,16",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Escalopes de dinde les extra fines du chefas - 0,247kg",0212693028999,"0,247 kg",,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
112,Animal pasta shapes,5060185130706,,,,,,,,,['France'],[],,"['Végétalien', 'Végétarien']",?,210,879 kj(210 kcal),2,0,14,7,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Italie']",,,,,,,
113,Munster,2825651055692,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Munsters']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
114,Thé arome cardamome,6091010994681,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Epicerie / Epicerie Sucrée / Gâteaux, Biscuits, Encas",3258260001238,,,,,,,,,['France'],[],,[],?,379,1586 kj(379 kcal),3,"0,6",75,9,"0,09","0,036",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,,,,
116,Mini samoussas au poulet créole sauce salsa,3663219000444,,,,,,,,,['France'],[],,[],?,295,1234 kj(295 kcal),"17,2","3,7","23,9","9,7","1,18","0,472","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
117,Saucisse de volaille,2250337044934,,,,,,,,,['France'],[],,[],?,119,498 kj(119 kcal),"2,8","0,7","3,5",20,"1,4","0,56","0,3",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",2.8 g,en faible quantité,0.7 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en quantité modérée,,-34%,-35%,-76%,-81%,+180%,-42%,+21%,-21%,-21%,2,-80%,B,-80%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'Volaille-francaise']",,,,,,,
118,Salade Tomate exquise,2244447024474,,,,,,,,,['France'],[],,[],?,83,347 kj(83 kcal),"7,59","2,69","1,28","2,28","0,43","0,172","0,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cuisses de poulet roties - Le Gaulois,0217618030767,,,['Le Gaulois'],,,,,,['France'],[],,[],?,173,724 kj(173 kcal),"10,3","2,8","0,8","19,2","1,5","0,6","0,8",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10.3 g,en quantité modérée,2.8 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en quantité modérée,,-9%,-10%,-17%,-16%,+152%,+416%,+4%,+97%,+97%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,
120,Morwa Biala,5903018051130,,,,,,,,,['France'],[],,[],?,526,2201 kj(526 kcal),"36,3","19,9",45,"6,2","0,02","0,008","32,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Ravioli ricotta épinard sauce tomate - 300g,2745341577931,300 g,,,,,,,,['France'],[],,[],?,121,506 kj(121 kcal),"4,9","2,4","13,5","4,9","0,8","0,32","3,3",B,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Tortellini', 'Ravioli ricotta & épinards']",4.9 g,en quantité modérée,2.4 g,en quantité modérée,3.3 g,en faible quantité,0.8 g,en quantité modérée,,-44%,-43%,-22%,-21%,-55%,+16%,-41%,-23%,-23%,3,-45%,C,-45%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,,,,,,
122,Erwan Carpentier - Le Gaulois,0217638029659,,,['Le Gaulois'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Pave  cereales,0200624008202,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Saucisses pur canard,2873914049070,,,,,,,,,['France'],[],,[],?,187,782 kj(187 kcal),"12,3","4,05","1,7","17,4","2,18","0,872","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Energy drink,5902047140211,,,,,,,,,['France'],[],,[],?,46,192 kj(46 kcal),0,0,"11,5",0,"0,01","0,004","11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Oats ready to mix,5601607073937,,,,,,,,,['France'],[],,[],?,374,1565 kj(374 kcal),"7,2","1,4",62,14,"0,05","0,02","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Lemonade tropical,4260243040201,,,,,,,,,['France'],[],,[],?,60,251 kj(60 kcal),0,0,15,0,"0,013","0,005",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Haribo stromf,3103440339710,,,['Haribo'],,,,,,['France'],[],,[],?,332,1389 kj(332 kcal),5,1,75,"6,6","0,03","0,012",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Terrine forestière,3227820153205,,,,,,,,,['France'],[],,[],?,234,979 kj(234 kcal),19,12,10,"4,1",1,"0,4","1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
