,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
19,Peppermint liqueur de menthe 17° - Whist Club - 70cl,3564700658802,70 cl,"['Whist Club', 'Marque Repère']",['Leclerc'],['France'],"['Eau ', ' sucre ', ' alcool ', ' arôme naturel de menthe ', ' colorants : E102', 'E131']","['E102 - Tartrazine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,Peppermint,"['Bouteille', 'Verre']",['France'],,,,,,,
20,Sachet cuisson poulet ail oignon - Rustica - 36g,3564700674000,36 g,"['Rustica', 'Marque Repère']",['Leclerc'],['France'],"['Ail ', 'dont sulfites', ' 35 %', 'maltodextrine', 'sel', 'pomme de terre', 'tomate', 'oignon 6,2 %', 'navet', 'coriandre', 'gingembre ', 'dont sulfites', 'sucre', 'marjolaine', 'basilic', 'persil', 'jus concentré de citron', 'poivre', 'curcuma', 'piment de Cayenne', ' Traces de céleri', 'gluten', 'crustacés', 'fruits à coque', 'lait', 'œufs', 'poissons et soja']",,,['Sans huile de palme'],,1238,?,1238 kj(296 kcal),"0,6","0,1",54,"8,8",10,"12,5",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Spaghetti cuisson rapide - Turini - 1kg,3564700674079,1 kg,"['Turini', 'Marque Repère']",['Leclerc'],['France'],"['Semoule de blé dur de qualité supérieure', "" Traces d'œufs""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1518,?,1518 kj(363 kcal),2,"0,4",72,2,12,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,2 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,+9%,,+9%,-23%,-43%,+17%,-28%,+3%,-100%,-100%,-3,,A,,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,,
22,"Cidre rosé 2,5 % - Les Goelleries - 75cl",3564700679449,75 cl,"['Les Goelleries', 'Marque Repère']",['Leclerc'],['France'],['Contient des sulfites'],,['Anhydride sulfureux et sulfites'],[],3,?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres rosés']",,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,
23,Dosettes café arabica classique x 18 - Marque Repère - 125g,3564700702055,125 g,"['Marque Repère', 'Plantation']",['Leclerc'],['France'],[],,,[],,?,2,8 kj(2 kcal),0,0,"0,3","0,3","0,2",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,-96%,-97%,-100%,-100%,-96%,-94%,-90%,,,,,,,,,,,,,,,,,,,,,,,
24,Douceur satinée coco - Délisse - 4x 125g,3564700704745,4 x 125 g,"['Délisse', 'Marque Repère']",['Leclerc'],['France'],"['Lait écrémé ', 'origine : france', ' 62 % ', ' creme', 'origine : france', ' ', ' lait de coco reconstitué ', 'dont lait', ' 4,4 % ', ' sucre 4,4 % ', ' sirop de glucose-fructose ', ' amidons de maïs et de pomme de terre ', ' noix de coco râpée 0,7 % ', ' lactose et protéines de lait ou lait écrémé en poudre ', 'origine : france', ' ', ' amidon modifié de maïs ', ' arôme ', ' épaississants : gomme guar', 'carraghénanes ', ' conservateur : e202 ', ' ferments lactiques']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,604,?,604 kj(144 kcal),"9,9","6,6",11,"9,7",3,"0,1","0,04",A,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la noix de coco']","['Nutriscore', 'Nutriscore C']",9.9 g,en quantité modérée,6.6 g,en quantité élevée,9.7 g,en quantité modérée,0.1 g,en faible quantité,,,+21%,+63%,+59%,-11%,-16%,-9%,-12%,-12%,8,+57%,C,+57%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"Spécialité laitière fermentée, sucrée, à la noix de coco","['Carton', 'Pot', 'Plastique', 'Opercule', 'Papier']",['France'],"['FR 45.187.001 CE', 'Lorris (Loiret, France)']",http://www.marquerepere.com,,,,,
25,Capsules de café équilibre x 10 - Plantation - 52g,3564700710883,52 g,"['Plantation', 'Marque Repère']",['Leclerc'],"['France', 'La Réunion']",['Café torréfié et moulu'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso', 'Boissons sans sucre ajouté']","['Point Vert', 'Fabriqué en France', 'Nouveau']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Carton', 'boîte', 'Aluminium', 'métal']",['France'],,,,,,,
26,Capsules de café intense x 10 - Plantation - 52g,3564700710920,52 g,"['Plantation', 'Marque Repère']",['Leclerc'],['France'],['Café torréfié et moulu'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Point Vert', 'Fabriqué en France', 'Nouveau']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café en capsules,"['Boîte', 'Carton']",['France'],,,,,,,
27,Capsules de café intense décaféiné x 10 - Plantation - 52g,3564700711002,52 g,"['Plantation', 'Marque Repère']",['Leclerc'],['France'],"['Café décaféiné', 'torréfié et moulu']",,,[],1,?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Point Vert', 'Fabriqué en France', 'Nouveau']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Carton', 'boîte']",['France'],,,,,,,
28,Concentré saveur orange - Frucci - 50cl,3564700715598,50 cl,"['Frucci', 'Marque Repère', 'Frucci Soda']",['Leclerc'],['France'],"['Sucre ', ' eau ', "" jus d'orange à base de concentré 12 % "", ' acidifiant : acide citrique ', "" arôme naturel d'orange avec autres arômes naturels "", "" arôme naturel d'orange "", ' édulcorants : acésulfame-K', 'sucralose ', ' stabilisant : E445 ', ' antioxydant : acide ascorbique ', ' conservateur : E202 ', ' colorant : caroténoïdes']","['E330 - Acide citrique', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E445 - Esters glycériques de résine de bois', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1089,?,1089 kj(260 kcal),"0,5","0,1",63,63,"0,5",0,0,,"['Boissons', 'Boissons édulcorées']",,0.5 g,en faible quantité,0.1 g,en faible quantité,63 g,en quantité élevée,0 g,en faible quantité,+2692%,,+1746%,+517%,+288%,+2242%,+2592%,+294%,-100%,-100%,19,+341%,E,+341%,,,,,,,,,,,,,,,,,
29,"Poêlée penne, boulettes de viande - Côté Table - 1,4kg",3564700743119,"1,4 kg","['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['Penne 47 % ', 'eau', 'semoule de blé dur', 'boulettes de viande de bœuf 14 % ', 'bœuf ', 'origine : UE', 'fibres alimentaires ', 'pois', 'bambou', 'sel', 'amidon de pois', 'protéines bovines', 'dextrose', 'farine de riz', 'épices et herbes', ""extraits d'épices"", 'pulpe de tomates 10 %', 'eau', 'tomates en dés 6 %', 'double concentré de tomates 5,7 %', 'oignons préfrits ', 'oignons', 'huile de tournesol', ""huile d'olive vierge extra"", 'sel', 'sucre', 'ail', 'persil', 'amidon de tapioca', 'Traces de céleri', 'crustacés', 'mollusques', 'moutarde', 'œufs', 'lait', 'poissons', 'graines de sésame et soja']",,,"['Non végétalien', 'Non végétarien']",4,579,?,579 kj(138 kcal),"4,3","1,4",18,"2,6","6,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Assiette de de charcuterie espagnole - Saint-Azay - 150g,3564700745328,150 g,"['Saint-Azay', 'Marque Repère']",['Leclerc'],['France'],"['Jambon Serrano ', 'Jamon Serrano ETG', ' ', '50g - 3 tranches', ' : jambon de porc ', 'origine : Espagne', ' ', ' sel ', ' antioxydant : ascorbate de sodium ', ' conservateurs : E250 ', 'E252', ' Traces de lait', ' 145g de jambon de porc ont été utilisés pour fabriquer 100g de jambon Serrano', '\rJambon Serrano certifié par ICC N° Exp', ' JS-005/18', '\rChorizo ', '50g - 8 tranches', ' : viande de porc ', 'origine : Espagne', ' ', ' sel ', ' dextrine ', ' piment 1,3% ', ' dextrose ', ' lactose ', ' protéines de lait ', ' ail ', ' antioxydant: E316 ', ' noix de muscade ', ' conservateurs : E250 ', 'E252 ', ' origan ', ' colorant: E120 ', ' ferments', ' 125g de viande de porc ont été utilisés pour fabriquer 100g de chorizo', '\rLomo ', 'longe de porc séchée', ' ', '50g - 8 tranches', ' : longe de porc ', 'origine : Espagne', ' ', ' sel ', "" huile d'olive "", ' ail ', ' piment ', ' antioxydant: ascorbate de sodium ', ' conservateurs: E250 ', 'E252', ' Traces de lait', ' 150g de longe de porc ont été utilisés pour fabriquer 100g de lomo']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E1400 - Dextrines', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']",['Lait'],"['Non végétalien', 'Non végétarien']",4,1043,?,1043 kj(249 kcal),"18,7","7,6","1,8","1,1","28,7","4,1","1,64",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Saucissons', 'Jambons', 'Jambons crus', 'Chorizo', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'Jambons ibériques', 'en:raw-cured-ham']",['STG'],18.7 g,en quantité modérée,7.6 g,en quantité élevée,1.1 g,en faible quantité,4.1 g,en quantité élevée,,,-17%,-5%,+5%,+331%,+223%,-5%,+1%,+1%,20,+1%,E,+1%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,assortiment de charcuteries espagnoles pré-tranchées,"['Plastique', 'sous atmosphère protectrice']",['Espagne'],['ES 10.13604/GE CE'],http://www.marquerepere.com,['Espagne'],,,,
31,Snacks soufflés tornades goût fromage - Marque Repère - 85g,3564700755457,85 g,"['Marque Repère', 'Tokapi']",['Leclerc'],['France'],"['Farine de maïs 35%', 'huile de tournesol', 'farine de riz', ""farine d'avoine complète"", 'farine de blé', 'assaisonnement goût fromage ', 'poudre de petit-lait', 'sel', 'arôme naturel', 'fromage fondu en poudre', 'sucre', 'lait écrémé en poudre', 'oignon en poudre', 'chlorure de potassium', 'plantes aromatiques et épices', 'sucre', 'sel', 'poudre à lever : E500', "" Traces d'arachides "", ""de crustacés et d'oeufs""]",['E500 - Carbonates de sodium'],['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2233,?,2233 kj(534 kcal),30,"2,6","59,2","6,2","5,6","2,4","0,96",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs fourrés au fromage']",,30 g,en quantité élevée,2.6 g,en quantité modérée,6.2 g,en quantité modérée,2.4 g,en quantité élevée,+0%,,+1%,-7%,-87%,+28%,-5%,-43%,+32%,+32%,17,-25%,D,-25%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,
32,Gratin d'endives au jambon - Côté Table - 280g,3564700768730,280 g,"['Côté Table', 'Marque Repère']",['Leclerc'],['France'],"['endive émincée 37%', 'lait demi-écrémé', 'jambon cuit choix 14% [jambon de porc ', 'origine : ue', ' ', ' eau ', ' dextrose ', ' sel ', ' arômes naturels ', ' stabilisants : e450', 'e451 ', ' antioxydant : ascorbate de sodium ', ' conservateur : e250', ']', 'crème fraîche 9', '7%', 'préparation laitière en poudre ', 'lactose', 'protéines de lait', 'crème', 'farine de blé', 'emmental 2', '1%', 'sel', 'épaississant : gomme xanthane', 'muscade', 'poivre', 'paprika', 'colorant : caramel ordinaire', 'curcuma', 'endives 41%', '{allergene}lait{/allergene}', 'jambon de porc standard 14% ', 'jambon de porc 8,2%', 'eau', 'couenne de porc', 'sirop de glucose', 'sel', 'stabilisants: e450 - e451-e452-e508', 'aromes', 'gelifiant: carraghenanes-e407a-farine de graines de caroube-gomme xanthane', 'dextrose', 'exhausteur de gout: e621', 'antioxydants: e262-e301-e316', 'conservateurs:e250-e326,gelatine de porc', 'bouillon ', 'eau', 'os et viande de porc', 'creme fraiche 10%', '{allergene}emmental{/allergene} 4,5%', '{allergene}fromages{/allergene} fondus ', '{allergene}fromages{/allergene}', 'eau', 'amidons modifies', '{allergene}beurre{/allergene}', 'proteines de {allergene}lait{/allergene}', 'sels de fonte: e331-e452 ', ' {allergene}oeuf{/allergene}', '{allergene}beurre{/allergene}', 'farine de {allergene}ble{/allergene}', 'sel', 'epaississant: gomme xanthane', 'muscade et poivre', ' {traces}traces de soja', 'celeri', 'moutarde', 'mollusques', 'crustaces et poissons', '{/traces}']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E150a - Caramel E150a', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E326 - Lactate de potassium', 'E428 - Gélatine', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium']","['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,493,?,493 kj(118 kcal),"5,9","3,7","3,6","3,3","5,2","0,8","0,32",C,"['Plats préparés', 'Gratins', 'Endives au jambon', ""Gratins d'endives au jambon""]","['Viande Française', 'Viande Porcine Française']",5.9 g,en quantité modérée,3.7 g,en quantité modérée,3.3 g,en faible quantité,0.8 g,en quantité modérée,+16%,,+13%,-1%,+17%,-36%,+29%,-15%,+5%,+5%,3,+9%,C,+9%,71.8%,15.1%,6.0%,3.7%,2.0%,1.4%,57,,,,,,,,,,
33,Tyrolia vanille et fruits rouges - Eskiss - 350g,3564700798997,350 g,"['Eskiss', 'Marque Repère']",['Leclerc'],['France'],"['eau ', ' sirop de glucose-fructose ', ' matières grasses végétales ', 'coprah', 'coco', 'palme', ' ', ' sucre ', ' purée de framboise 10 %* ', ' lait écrémé reconstitué ', ' concentré de protéines de lactosérum ', ' jus de cassis à base de concentré 0,4 %* ', ' morceaux de fruits rouges 1,8 % ', 'groseille rouge', 'mûre', 'myrtille', ' ', ' farine de maïs et de riz ', ' colorants : rouge de betterave', 'anthocyanes', 'caroténoïdes', 'rocou', 'E120 ', ' purée de fraises 0,3 %* ', ' stabilisants : gomme guar', 'farine de graines de caroube', 'pectines', 'carraghénanes ', ' émulsifiants : E471', 'lécithines de soja ', ' purée de framboise concentrée 0,2 % ', ' arôme naturel de cassis ', ' purée de cassis concentrée 0,7 % ', "" correcteurs d'acidité : acide citrique"", 'E331 ', ' extrait de vanille ', ' dextrose ', ' arômes naturels ', ' amidon modifié de maïs ', ' protéines de pois hydrolysées ', ' jus concentré de citron ', ' sel ', ' épaississant: alginate de sodium ', ' jus de cassis concentré 0,01 % ', ' concentré de sureau ', ' arôme naturel de vanille ', ' jus de carotte noire concentré ', ' arôme ', ' concentrés de pomme et de spiruline', 'Traces de fruits à coque', '*30 % de fruits rouges dans le sorbet aux fruits rouges']","['E162 - Rouge de betterave', 'E163 - Anthocyanes', 'E160 - Caroténoïdes', 'E160b - Rocou', 'E120 - Acide carminique', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E14XX - Amidons modifiés', 'E401 - Alginate de sodium']",['Soja'],"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1000,?,1000 kj(239 kcal),12,11,31,23,"1,3","0,1","0,04",E,"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,12 g,en quantité modérée,11 g,en quantité élevée,23 g,en quantité élevée,0.1 g,en faible quantité,+27%,,+20%,+48%,+103%,+8%,-7%,-44%,-19%,-19%,17,+50%,D,+50%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,['Huile de palme'],,,
34,Capsules de café Ristretto x 10 - Plantation - 52g,3564700814741,52 g,"['Plantation', 'Marque Repère']",['Leclerc'],['France'],['Café torréfié et moulu'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Point Vert', 'Nouveau']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capsules,"['Carton', 'boîte']",,,,,,,,
35,Mon petit dessert - Mots d'Enfants,3564700818190,,"[""Mots d'Enfants"", 'Marque Repère']",['Leclerc'],['France'],"['ALIMENT POUR BÉBï: DESSERT LACTÉ AU BISCUIT ET À LA VANILLE ingrédients Lait entier 83 % ', ' sucre ', ' biscuit 4,8 % ', 'farines de maïs et de riz', 'sucre', 'huile de tournesol', ' ', ' crème ', ' amidon de maïs ', ' épaississant : gomme xanthane ', ' arôme naturel de vanille ', "" correcteur d'acidité : citrate de sodium""]","['E415 - Gomme xanthane', 'E331 - Citrates de sodium']",['Lait'],['Non végétalien'],4,?,107,448 kj(107 kcal),"5,4","3,4",16,11,3,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Crème aux oeufs au chocolat - Délisse - 4x 100g,3564700829394,4 x 100 g,"['Délisse', 'Marque Repère']",['Leclerc'],['France'],"['Lait entier 63%', 'œufs entiers extra-frais 12%,sucre', 'crème 6', '1%', 'chocolat 2', '5% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithines ', 'soja', 'cacao maigre en poudre', 'amidon de riz', 'lait écrémé en poudre', 'Traces de gluten']",['E322i - Lécithine'],"['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,668,?,668 kj(160 kcal),6,"3,8",21,17,"4,8","0,1","0,04",,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat', 'Desserts lactés aux œufs']",,6 g,en quantité modérée,3.8 g,en quantité modérée,17 g,en quantité élevée,0.1 g,en faible quantité,+6%,,+7%,+11%,+23%,+4%,-6%,+13%,-32%,-32%,5,-13%,C,-13%,,,,,,,,,,,,,,,,,
37,Vrac gourmand vanille speculoos - Eskiss - 480g,3564700832967,480 g,"['Eskiss', 'Marque Repère']",['Leclerc'],['France'],"['Crème glacée à la cannelle avec morceaux de speculoos 49,9% : lait écrémé reconstitué ', ' crème ', ' eau ', ' sucre ', ' lactose et protéines de lait ', ' sirop de glucose ', ' morceaux de speculoos 2% ', 'farine de blé', 'sucre', 'margarine ', 'huiles végétales ', 'coco', 'tournesol', 'eau', 'cannelle 0,03%', 'colorant : E150b', 'sel', 'poudre à lever : E503', 'arôme naturel', ' ', ' sirop de sucre caramélisé ', ' stabilisants : gomme guar', 'farine de graines de caroube', 'carraghénanes ', ' émulsifiant : E471 ', ' arômes naturels ', ' cannelle 0,11%', 'Crème glacée à la vanille 31,9% : lait écrémé reconstitué ', ' crème ', ' eau ', ' sucre ', ' lactose et protéines de lait ', ' sirop de glucose ', ' stabilisants : gomme guar', 'farine de graines de caroube', 'carraghénanes ', ' émulsifiant : E471 ', ' arôme naturel de vanille', 'Sauce caramel 16,2% : sirop de glucose-fructose', 'lait concentré sucré', 'eau', 'sucre', 'amidon de manioc', 'sucre caramélisé 0,32%', 'arôme naturel', 'épaississant : gomme xanthane', 'colorant : caroténoïdes', 'Morceaux de speculoos 2% : farine de blé', 'sucre', 'margarine ', 'huiles végétales ', 'coco', 'tournesol', 'eau', 'cannelle 0,03%', 'colorant : E150b', 'sel', 'poudre à lever : E503', 'arôme naturel', 'Les pourcentages sont exprimés sur le produit total', ""Traces d'oeufs et de fruits à coque""]","['E150b - Caramel de sulfite caustique', ""E503 - Carbonates d'ammonium"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane', 'E160 - Caroténoïdes']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,898,?,898 kj(215 kcal),"7,8","5,2",33,26,"2,7","0,1","0,04",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['Point Vert'],7.8 g,en quantité modérée,5.2 g,en quantité élevée,26 g,en quantité élevée,0.1 g,en faible quantité,-0%,,-2%,-28%,-24%,+26%,+16%,-19%,-34%,-34%,12,-5%,D,-5%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"Crème glacée à la cannelle avec morceaux de speculoos, crème glacée à la vanille, sauce caramel et morceaux de speculoos.","['Bac', 'Plastique', 'surgelé']",,,,,,,,
