,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
85,Lasagnes à garnir,['France'],[],[],?,348,1456 kj(348 kcal),"1,1","0,1",71,"3,5",12,0,0,3564709913049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bananes bio,['France'],[],[],?,?,,?,,?,,?,,,2184435001257,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Commerce équitable', 'Max Havelaar']",,,B,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,
87,Emmental grand cru igp,['France'],[],[],?,407,1703 kj(407 kcal),"31,5","18,8",1,1,29,"0,4","0,16",2488746026634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Somen,['France'],[],[],?,343,1435 kj(343 kcal),"2,1","0,33","72,9","3,2","8,1","4,6","1,84",4992432000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,La ratatouille et confit de canard - Maison Rivière,['France'],[],[],?,?,,?,,?,,?,,,3375644008512,,,,['Maison Rivière'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1 faux filet - Charal,['France'],[],[],?,148,619 kj(148 kcal),"6,7","1,7",0,0,22,"0,16","0,064",0292452024806,,,,['Charal'],,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,
91,Oro les fruités,['France'],[],[],?,43,180 kj(43 kcal),"0,1",0,"9,6","8,2","0,3","2,5",1,3348630006076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bio harina de arroz ecológica - Santiveri,['France'],[],[],?,346,1448 kj(346 kcal),"0,6","0,2","76,9","0,8","7,5",0,0,8412170014688,,,,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
93,Les cocottes de Clarisse Soupe courge- chataigne,['France'],[],[],?,?,,?,,?,,?,,,3770005485047,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,,,,,,,,,,,,,
94,Huile d'olive,['France'],[],[],?,?,,?,,?,,?,,,3760118830032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Millefeuille de Pintade au Foie de Canard,['France'],[],[],?,370,1548 kj(370 kcal),36,14,1,0,11,"1,74","0,696",3461950021915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Moelleux au chocolat,['France'],[],[],?,?,,?,,?,,?,,,0261308025588,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,D,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,
97,La goudale IPA,['France'],[],[],?,?,,?,,?,,?,,,30092013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Chaussons au pommes,['France'],[],[],?,?,,?,,?,,?,,,0204021019687,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,,,,,,,,,,,,,,,,,,,B,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,
99,Fromage blanc au lait demi écrémé,['France'],[],[],?,?,,?,,?,,?,,,3760046155122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Chaussons au pommes,['France'],[],[],?,?,,?,,?,,?,,,0204021019687,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,,,,,,,,,,,,,,,,,,,B,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,
101,Fromage blanc au lait demi écrémé,['France'],[],[],?,?,,?,,?,,?,,,3760046155122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Carottes finemenr râpées,['France'],[],[],?,104,435 kj(104 kcal),"7,4","0,5",7,"6,4",1,"0,69","0,276",2237284008660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Soupe de poissons de Provence,['France'],[],[],?,27,113 kj(27 kcal),"0,7","0,142","2,2","0,7","2,9","0,91","0,364",3520760000852,,,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",0.7 g,en faible quantité,0.142 g,en faible quantité,0.7 g,en faible quantité,0.91 g,en quantité modérée,,-44%,-43%,-63%,-68%,+21%,+8%,-44%,+3%,+3%,3,+244%,C,+244%,"['Sans colorants', 'Sans conservateurs']",,,E,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,
104,Mousse de foie forestière,['France'],[],[],?,333,1393 kj(333 kcal),"30,6","11,8","1,7","1,5","12,6","1,78","0,712",0211178015745,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']","['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,,,,,,,,,,,,
105,Tapette,['France'],[],[],?,720,3012 kj(720 kcal),1,1,1,1,1,1,"0,4",3366440001890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Château Baret 2012 Grand Vin de Bordeaux,['France'],[],[],?,?,,?,,?,,?,,,3182520197556,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jambon à l'ancienne,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",2470526039491,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,['Sans conservateurs'],,,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,
108,Carottes aux graines d'Aneth,['France'],[],[],?,20,84 kj(20 kcal),"0,2","0,05","0,5",0,"1,33","0,8","0,32",3770005640101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4 croissants + 4 pains au chocolat - Leclerc - 515g (8viennoiseries),['France'],"['pains au chocolat ', 'Farine de BLE', 'beurre', 'eau', 'chocolat ', 'sucre', 'pâte de cacao', 'émulsifiant : lécithine de Soja', 'BEURRE de cacao', 'arôme', 'LAIT entier', 'sucre', ""jaune d'œufs"", 'levure', 'GLUTEN DE BLE', 'sel', ""jaune d'œuf"", 'stabilisant E422', ""extrait d'acerola "", 'maltodextrine de maïs', 'colorant E160ai', 'enzynes fongiques', 'croissant ', 'farine de BLE', 'BEURRE frais', 'eau', 'sucre', 'LAIT entier', 'Œufs', 'levure', ""jaune d'œufs"", 'GLUTEN DE BLE', 'sel', 'stabilisant E422', ""extrait d'acerola "", 'maltodextrine de maïs', 'colorant E160ai', 'enzynes fongiques', ""jaune d'œuf "", ""jaune d'OEUF sans OGM""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1709,?,1709 kj(408 kcal),24,15,40,10,"7,8","0,9","0,36",0203027018694,,515 g (8 viennoiseries),"['Barquette', 'plastique']",['Leclerc'],"['Snacks', 'Snacks sucrés', 'Viennoiseries']",24 g,en quantité élevée,15 g,en quantité élevée,10 g,en quantité modérée,0.9 g,en quantité modérée,+12%,,+12%,+54%,+71%,-17%,-38%,+7%,+13%,+13%,20,+16%,E,+16%,['Point Vert'],,4,,,,,,,,,['Leclerc'],,"['E322i - Lécithine', 'E422 - Glycérol', 'E160ai - Bêta-carotène']","['Œufs', 'Gluten', 'Lait']",,,
110,L'original cacao en poudre,['France'],[],[],?,366,1531 kj(366 kcal),21,13,"8,7","0,5",20,"0,08","0,032",3517760001217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Pop'onnaise à l'ail,['France'],[],[],?,542,2268 kj(542 kcal),57,0,"3,7","3,4","1,7",1,"0,4",3545360020574,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
112,Mélange canneberge / cranberry mix,['France'],[],[],?,425,1778 kj(425 kcal),25,"3,75","52,5",35,"12,5","0,25","0,1",0069467747552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Pate de campagne a l ancienne,['France'],[],[],?,200,837 kj(200 kcal),"24,8","9,35",3,"1,3","16,4","1,5","0,6",3346650217175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,
114,Thé vert hibiscus gingembre,['France'],[],[],?,?,,?,,?,,?,,,5420051401413,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'ES-ECO-020-CV']",,,,,,,,,,,,,,,,,
115,Croquant wakamé,['France'],[],[],?,?,,?,,?,,?,,,0634438274735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Brandade de Morue - A la table de Mathilde,['France'],[],[],?,458,1916 kj(458 kcal),47,4,3,"0,5","5,7",1,"0,4",3760172956648,,,,['A la table de Mathilde'],"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",47 g,en quantité élevée,4 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,,+107%,+108%,+183%,+90%,-62%,-30%,-16%,+15%,+15%,12,+183%,D,+183%,,,,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,
117,Mallow mix,['France'],[],[],?,334,1397 kj(334 kcal),0,0,79,71,"3,6","0,02","0,008",5411178451351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Gezuckerte Lakritze,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,8710452212815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Epice,['France'],[],[],?,?,,?,,?,,?,,,5711812000465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,la tablette de fruits,['France'],[],[],?,?,,?,,?,,?,,,3103200006401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Aiguillettes de poulet - La Nouvelle Agriculture,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",0213329027034,,,,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-17%,-17%,-30%,-16%,-100%,-100%,+1%,-75%,-75%,-4,,A,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
122,Pesto Blanc,['France'],[],[],?,357,1494 kj(357 kcal),37,"5,8","1,6","0,9","3,5","1,4","0,56",3302766330405,,,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",37 g,en quantité élevée,5.8 g,en quantité élevée,0.9 g,en faible quantité,1.4 g,en quantité modérée,,-20%,-20%,-16%,-11%,-73%,-61%,-26%,-43%,-43%,15,-23%,D,-23%,,,,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,
123,Chapaghetti,['France'],[],[],?,438,1833 kj(438 kcal),15,"5,9",68,"4,4","7,8","2,1","0,84",0645175525233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bisqui,['France'],[],[],?,?,,?,,?,,?,,,3337442018629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Filet mignon de porc,['France'],[],[],?,111,464 kj(111 kcal),"3,6","1,3","0,6","0,5",19,"1,4","0,56",0291562087114,,,,,"['Viandes', 'Porc', 'Filets mignons de porc']",3.6 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-4%,-13%,+121%,+179%,-12%,+262%,+262%,3,,C,,,,,,,,,,,,,,,,,,,
126,Donuts,['France'],[],[],?,572,2393 kj(572 kcal),35,17,56,22,"6,6","1,3","0,52",2010896000006,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",35 g,en quantité élevée,17 g,en quantité élevée,22 g,en quantité élevée,1.3 g,en quantité modérée,,+40%,+40%,+54%,+60%,+25%,+31%,+11%,+37%,+37%,26,+33%,E,+33%,,,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,
127,Volage,['France'],[],[],?,?,,?,,?,,?,,,3231230200572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Pimento stuffed olives - Waitrose,['France'],[],[],?,190,795 kj(190 kcal),"18,3","5,2","1,2",0,4,"2,82","1,128",5000169542538,,,,['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Moinillons au miel,['France'],[],[],?,?,,?,,?,,?,,,3700389000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Caillasse de Savoie,['France'],[],[],?,?,,?,,?,,?,,,2309617003724,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
131,Une nuit étoilée,['France'],[],[],?,?,,?,,?,,?,,,3760091871992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,So Good Protein Bar 60 g Chocolat Blanc - Noix De Coco,['France'],[],[],?,482,2017 kj(482 kcal),"22,8","13,9","39,9","34,5",30,"0,08","0,032",5425002406592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Snack' choc - Le Comptoir de Mathilde,['France'],[],[],?,?,,?,,?,,?,,,3700961301808,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Nitro Pure Whey , Hazelnut - BiotechUSA",['France'],[],[],?,372,1556 kj(372 kcal),"1,6",1,"5,2","0,8",84,"0,71","0,284",5999076213573,,,,['BiotechUSA'],,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
135,Tasty Delights : Pav Bhaji - 300g,['France'],[],[],?,91,381 kj(91 kcal),5,5,10,"0,2","1,5","1,4","0,56",8901042957340,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Brioche Delaire aux pralines,['France'],[],[],?,379,1586 kj(379 kcal),"11,4","6,48","63,6","33,4","6,2",0,0,3760051090050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,SOYBEAN PASTE - 450g,['France'],[],[],?,158,661 kj(158 kcal),"3,07",0,21,16,"10,5",11,"4,4",8801052733609,,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Coca cola zero 2L -,['France'],[],[],"1,4",0.3,"1,4 kj(0 kcal)",0,0,0,0,0,0,0,7440500131843,,,,,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-30%,-70%,-30%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,1,+2%,B,+2%,,,,,,,,,,,,,,,,,,
139,Ailes de poulet,['France'],[],[],?,?,,?,,?,,?,,,2208747035554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Queijo da ilha - Pingo Doce,['France'],[],[],?,413,1728 kj(413 kcal),"32,6","20,1","3,2","1,3","26,6","1,8","0,72",5601009933297,,,,['Pingo Doce'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",32.6 g,en quantité élevée,20.1 g,en quantité élevée,1.3 g,en faible quantité,1.8 g,en quantité élevée,,+26%,+26%,+23%,+13%,+164%,+75%,+30%,+38%,+38%,17,+24%,D,+24%,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
141,Tony's chocolonely,['France'],[],[],?,?,,?,,?,,?,,,8719956490309,,,,"[""Tony's Chocolonely""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Méga nichons,['France'],[],[],?,398,1665 kj(398 kcal),"0,2","0,1",99,66,"0,1","0,1","0,04",3660273027974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Choco-mo,['France'],[],[],?,506,2117 kj(506 kcal),"25,1","20,23","64,83","40,33","5,28","0,181","0,072",4792192526203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Miel de Lavande -  - 350g,['France'],[],[],?,?,,?,,?,,?,,,3263623812062,,350 g,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
145,Assortiment noix déguisées,['France'],[],[],?,469,1962 kj(469 kcal),"22,7","2,3","58,4","55,5","7,4","0,05","0,02",3760036353279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,3760192128209,['France'],[],[],?,?,,?,,?,,?,,,3760192128209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Charbon actif,['France'],[],[],?,?,,?,,?,,?,,,5056049513600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Soir,['France'],[],[],?,?,,?,,?,,?,,,3515450040430,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,
149,Original sweet chilli,['France'],[],[],?,230,962 kj(230 kcal),"0,7","0,1","55,1","54,7","0,6","4,5","1,8",5010338220716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Equilibre Digest,['France'],[],[],?,?,,?,,?,,?,,,3701163900158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Balance Maltitol Bâtons Noir 20X35G - 20x 35g,['France'],[],[],?,470,1966 kj(470 kcal),36,"22,6","39,7","0,1",5,"0,01","0,004",5412860110068,,20 x 35 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Aged fermented kimchi,['France'],[],[],?,33,138 kj(33 kcal),"0,3",0,"5,6","2,4","2,2","0,9","0,36",8801024110155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Fromage blanc ciboulette -  - 180g,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,5420069706623,,180 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,,,,,,,,,,,,,,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
154,Hachés de saumon - 12x 100g,['France'],[],[],?,132,552 kj(132 kcal),"4,8","0,6","0,1",0,21,1,"0,4",3760288070344,,12 x 100 g,,,['Haché de saumon'],4.8 g,en quantité modérée,0.6 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,,,,,,,,,,0,,B,,,,,,,,,,,,,,,,,,,
155,Miel Fleurs Sauvages -,['France'],[],[],?,?,,?,,?,,?,,,3263621913563,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,
156,2000000003917,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Confiture d'abricot - 250g,['France'],[],[],?,261,1092 kj(261 kcal),"0,26","0,1",64,52,"0,4","0,01","0,004",3330790007475,,250 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.26 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.01 g,en faible quantité,,+19%,+19%,+15%,+134%,+20%,+3%,-20%,-55%,-55%,8,-11%,C,-11%,,,,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
158,Walkers Rich Fruit Pudding - 227g,['France'],[],[],?,300,1255 kj(300 kcal),"3,9","2,4","62,1","43,8","2,4","0,21","0,084",0039047037137,,227 g,,['Walkers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Croissants Les trois meuniers (E. Leclerc),['France'],[],[],?,383,1602 kj(383 kcal),21,14,40,"6,9","6,8","0,91","0,364",0202258014437,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",21 g,en quantité élevée,14 g,en quantité élevée,6.9 g,en quantité modérée,0.91 g,en quantité modérée,,-0%,-1%,-3%,-1%,-2%,-2%,-9%,-8%,-8%,19,+2%,E,+2%,,,,C,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,
160,Cioccolato,['France'],[],[],?,393,1644 kj(393 kcal),"5,7","4,3","75,6","69,9","7,5","0,9","0,36",8052870940285,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,
161,0289054023689,['France'],[],[],?,?,,?,,?,,?,,,0289054023689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,boudins blancs,['France'],[],[],?,189,791 kj(189 kcal),16,"6,1",1,0,10,"1,4","0,56",2299507015091,,,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",16 g,en quantité modérée,6.1 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,,-22%,-22%,-21%,-22%,-77%,-100%,-3%,-6%,-6%,14,-12%,D,-12%,,"['FR 61.181.001 CE', 'Gacé (Orne, France)']",,D,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,
163,Melmelada De Pruna Amb Xarop De Agave Eco Veritas 300G,['France'],[],[],?,164,686 kj(164 kcal),"0,1","0,02",40,40,"0,3",0,0,8435173005163,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-025-NA']",,,,,,,,,,,,,,,,,
164,0290088031090,['France'],[],[],?,?,,?,,?,,?,,,0290088031090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Diversity,['France'],[],[],?,800,3347 kj(800 kcal),0,0,15,8,0,57,"22,8",9782091780603,,,,,['Non alimentaire'],0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité modérée,57 g,en quantité élevée,,+276%,+275%,-100%,-100%,-34%,-13%,-100%,+6240%,+6240%,,,,,,,,,,,,,,,,,,,,,,
166,Cereales croustillantes - Antton - 130g,['France'],[],[],?,515,2155 kj(515 kcal),"28,1","17,2","57,3",49,7,"0,3","0,12",3514962921343,,130 g,,['Antton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Filet de poulet - Le Gaulois,['France'],[],[],?,95,397 kj(95 kcal),"0,6","0,1","1,2",1,21,1,"0,4",2424503045852,,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",0.6 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-27%,-27%,-79%,-87%,+151%,+312%,-8%,+33%,+33%,0,,B,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Auchan'],,,,,,
168,Brioche Nanterre - Leclerc,['France'],[],[],?,348,1456 kj(348 kcal),12,"4,1",52,11,"7,1","0,72","0,288",,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Saucisses de Francfort x4 - Pierre Schmidt - 220g,['France'],[],[],?,256,1071 kj(256 kcal),22,"8,2",1,1,14,"1,8","0,72",3237550029411,,220 g,,['Pierre Schmidt'],,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 67529', 'Weyersheim (Bas-Rhin, France)', 'FR 67.529.001 CE', 'Weyersheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,
170,Spaghetti courgette,['France'],[],[],?,15,63 kj(15 kcal),"0,5","0,01","1,8","0,3","1,3","0,01","0,004",2868039008996,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,
171,Pastilles Cannelle Boite Metal Vintage,['France'],[],[],?,?,,?,,?,,?,,,8005028112010,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
