,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
1849,Il Forte the brave,8032591990158,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Entremets tiramisu - Hafner - 195g,3567741002061,,,['France'],[],[],?,,333,,1393 kj(333 kcal),,19,,"9,8",,35,,27,,"3,8",,"0,36",,"0,144",,,,,,,,,,,,,195 g,,,,,,,,,,,['Hafner'],,,,,,,,,,,,,
1851,Vinaigrette aux agrumes,3013160000879,D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",['France'],[],[],?,,467,+29%,1954 kj(467 kcal),+30%,51,+39%,"5,6",+49%,"0,5",-89%,"0,5",-85%,"0,5",-15%,"2,8",+46%,"1,12",+46%,20,+34%,E,+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,51 g,en quantité élevée,5.6 g,en quantité élevée,0.5 g,en faible quantité,2.8 g,en quantité élevée,,,,,,,,,,,,,,
1852,Emietté de Maquereau façon Basquaise - La Perle des Dieux - 80g,3760148291049,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Emietté']",['France'],"['Maquereaux 50% ', 'maquereaux', 'sel', 'épices et aromates', ""huile d'olive vierge extra"", 'poivrons rouges 9,5%', 'eau', 'olives noires 6% ', 'olives noires', 'sel', 'eau', 'citron', 'tomate en poudre', 'jus de citron', 'sucre', ""piment d'Espelette 0,4%"", 'sel', ' \rTraces de fruits à coques', 'moutarde et lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1133,+32%,274,+23%,1133 kj(274 kcal),+23%,"23,4",+43%,"3,9",+6%,"4,6",+326%,"2,5",+371%,"11,2",-32%,"0,8",-28%,"0,32",-28%,4,-36%,C,-36%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,80g,['Conserve'],,23.4 g,en quantité élevée,3.9 g,en quantité modérée,2.5 g,en faible quantité,0.8 g,en quantité modérée,['La Perle des Dieux'],"['Boutiques La Perle des Dieux', 'Web']",,,,,['Poisson'],3,,,['Saint-Gilles-Croix-de-Vie'],https://www.laperledesdieux.com/emiettes/83-emiette-de-maquereau-facon-basquaise.html?search_query=emiette&results=21,,
1853,Riz au lait caramel - Ker Ronan - 4x105g,3760176401632,B,"['Desserts', 'Puddings', 'Riz au lait']",['France'],"['Lait entier 74,4% ', 'origine : France', 'Morbihan', ' Riz rond de Camargue 9%', ' Caramel au beurre salé 8% ', 'sirop de glucose-fructose', 'sucre', 'lait concentré sucré', 'crème', 'beurre doux', 'beurre salé', 'sel de Guérande', 'eau', ' Crème', ' Caramel ', 'sucre', 'eau', ' Sucre', ' Arôme naturel', ' Sel de Guérande']","['Sans huile de palme', 'Non végétalien']",?,,140,-3%,586 kj(140 kcal),-2%,"5,3",+41%,"2,7",+18%,"19,7",-13%,"12,1",-10%,"3,3",-4%,"0,1",-22%,"0,04",-22%,3,-26%,C,-26%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,4x105g,['4x105g'],"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs', 'en:produced-in-bretagne']",5.3 g,en quantité modérée,2.7 g,en quantité modérée,12.1 g,en quantité modérée,0.1 g,en faible quantité,['Ker Ronan'],,,,"['FR-56-198-501', 'Rohan (Morbihan, France)']",,['Lait'],4,,,['Morbihan'],,['France'],
1854,ProteinNut2 - Powerbar,4029679673397,,,['France'],[],[],?,,374,,1565 kj(374 kcal),,17,,"9,3",,29,,"2,9",,34,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,['Powerbar'],,,,,,,,,,,,,
1855,Sirop Goût Chocolat,7290002781264,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,Lasagne bolognese - Come a casa,5413848197668,C,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']","['Belgique', 'France']","['LAIT partiellement écrémé', 'viande de porc ', '18%', 'tomates', 'eau', 'semoule de BLE dur', 'FROMAGE', 'concentré de tomates', 'huile de colza', 'amidon modifié de mais', 'carottes', 'farine de froment ', 'BLE', 'oignons', ""OEUFS d'élevage au sol"", 'CELERI-rave', 'courgettes', 'sel', 'épices et plantes aromatiques', 'vin rouge', 'fécule', 'ail', 'aromes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,136,+1%,569 kj(136 kcal),+2%,"6,4",+5%,"2,3",-9%,12,-4%,"2,3",-15%,"7,2",+14%,"0,8",+2%,"0,32",+2%,2,-13%,B,-13%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,['Carton'],,6.4 g,en quantité modérée,2.3 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,['Come a casa'],,,,,,"['Céleri', 'Œufs', 'Gluten', 'Lait']",4,['E14XX - Amidons modifiés'],,,,,
1857,Thai Nouilles - 400g,5413110012002,,,['France'],[],[],?,,206,,862 kj(206 kcal),,"9,9",,"1,9",,"19,7",,"7,4",,"8,6",,"1,1",,"0,44",,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,
1858,Kaas ham rolletjes - Colruyt - 200g,5425016614020,,,"['Belgique', 'France']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,['Colruyt'],['Colruyt'],,,,,,,,,,,,
1859,Domaine du Seminaire,3760164012963,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Pain,3250392744090,,,['France'],[],[],?,,284,,1188 kj(284 kcal),,"1,1",,"0,3",,"57,6",,"3,1",,"9,7",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Rivière Saint Jean,3147690027003,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums français']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,['Rivière Saint Jean'],,,,,,,,,,,,,
1862,Redbreast - 700ml,5011007008345,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky irlandais']",['France'],"['TASTING NOTES NOSE: A COMPLEX', 'piy AND FRUITY Aroma WITH TOASTED WOOD NOTES EVIDENT', ' TASTE: FULL FLAVOURED AND COMPLEX', ' A Harmonious BALANCE OF piy CREAMY', 'FRUITY', 'SHERRY AND TOASTED NOTES', ' FINISH:atiyingy ong', ' THE COMPLEX FLAVOURS LINGER ON THE PALATE', ' SINGLE POT STILL IRISH WHISKEY Single Pot Still Irish Whiskey is unique to Ireland', ' It is regarded as the quintessential style of Irish whiskey', 'safeguarded and nurtured under the watchful eye of the Midleton Distillery for almost two hundred years', ' Single Pot Still Irish Whiskey is made from a mash of malted and unmalted barley and then triple distilled in traditional copper pot stills', ' Pot Still Irish whiskeys are characterised by full', 'complex flavours and a wonderful', 'creamy mouthfeel', ' POT This mark arlifies this wheskey as from the renowned Midleton Distillry Ptill lahiskey County Cork Iredand 00ml']",[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,700ml,,,,,,,,,,,['Redbreast'],,,,,,,,,,,,,
1863,Short breads - McVitie's,5000168008967,,,['France'],[],[],?,,517,,2163 kj(517 kcal),,"27,4",,17,,"60,4",,"15,2",,"6,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's"", 'McVities']",,,,,,,,,,,,,
1864,Parmalat Bechamèl Chef Light (500 ML),8002580015414,B,"['Epicerie', 'Sauces', 'Sauces béchamel']",['France'],[],[],?,,114,-37%,477 kj(114 kcal),-36%,5,-36%,"3,3",-23%,"13,6",-23%,"3,8",-26%,"3,7",+1%,"0,8",-53%,"0,32",-53%,5,-34%,C,-34%,66.1%,14.4%,8.0%,5.6%,3.4%,2.4%,81,500 mL,,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse']",5 g,en quantité modérée,3.3 g,en quantité modérée,3.8 g,en faible quantité,0.8 g,en quantité modérée,['Parmalat'],,,,,,,,,,,,,
1865,Feuilleté au fromage de chèvre nature -,20521745,,"['Plats préparés', 'Feuilleté salé', 'Friands']",['France'],[],[],?,,327,+7%,1368 kj(327 kcal),+7%,24,+30%,"18,2",+75%,"14,8",-44%,"0,3",-88%,"11,6",+47%,"0,9",-26%,"0,36",-26%,17,+1%,D,+1%,,,,,,,,,,,24 g,en quantité élevée,18.2 g,en quantité élevée,0.3 g,en faible quantité,0.9 g,en quantité modérée,,,,,,,,,,,,,,
1866,Marzipan Eier - Zentis,4002575015454,,,['France'],[],[],?,,447,,1870 kj(447 kcal),,17,,"4,3",,66,,65,,"5,8",,"0,01",,"0,004",,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,['Zentis'],,,,,,,,,,,,,
1867,BLEDINA COUPELLES FRUITS Fruits du Verger / Pommes Poires Vanille 12x100g Dès 6 Mois - 1200g,3041091401250,,,['France'],"['BLEDINA COUPELLES FRUITS Fruits du Verger Dès 6 Mois : Pommes 49,0 % - Poires 24,0 % - Pêches 16,0 % - Abricots 11,0 % - Vitamine C - Jus de citron concentré*', "" * présence en fonction de l'acidité des fruits"", 'BLEDINA COUPELLES FRUITS Pommes Poires Vanille Dès 6 Mois : Pommes 59,9 % - Poires 40,0 % - Arôme naturel de vanille - Jus de citron concentré* - Vitamine C', "" * présence en fonction de l'acidité des fruits""]",[],199,,47,,199 kj(47 kcal),,"0,2",,"0,03",,"9,9",,"8,5",,"0,4",,"0,006",,"0,002",,,,,,,,,,,,,1200 g,,,,,,,,,,,"['Blédina', 'Coupelles fruits']",,Purée de fruits adaptée à bébé.,,"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,4,,,,,,
1868,Bofferding Beer,5450154058016,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,biscoito Doce globo - 30g,7898939265026,,"['Snacks', 'Snacks sucrés']",['France'],"['POLVILHO AZEDO', 'ÁGUA', 'GORDURA VEGETAL', 'ovos', 'LEITE', 'SAL E AÇÚCAR']",[],?,,403,-10%,1690 kj(403 kcal),-10%,"12,7",-37%,"1,67",-83%,70,+22%,,,0,-100%,"0,318",-17%,"0,127",-17%,,,,,,,,,,,,30g,,,12.7 g,en quantité modérée,1.67 g,en quantité modérée,,,0.318 g,en quantité modérée,['Globo'],,,,,,,,,,,,,
1870,Café Cantares Brasil Præmium - 250g,7898915573312,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café', 'Grains de café torréfiés']",['France'],['specially selected beans carefully roasted'],[],?,,125,+381%,525 kj(125 kcal),+386%,"1,25",-19%,,,6,+297%,,,"5,5",+566%,"0,023",-69%,"0,009",-69%,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,250g,,,,,,,,,,,['Cantares'],,,,,,,,,,,,,
1871,Creamy snack amandes - runakay - 80g,8425402309827,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Boisson protéinée']",['France'],"['Wasser', 'Dattelsaftkonzentrat*', 'Grasas Fette gemahlene Mandeln* ', '8%', 'gemahlene Chia* - Samen ', 'saluia gesättic hispánica', ' ', '2%', 'Quinoa*-Mehl', ' ', '*Stammt aus ökologischem Anbau', ' Hidratos de las c Kohlehyc Conseruar en lugar fresco y seco Bei Raumtemperatur küh! und trocken lagern', ' de los davon Fibra ali Ond uez abierto conservar 24h en frigorifico', '/ Nach dem Offnen Ballastst Proteína Sal für 24 Std', ' im Kühlschrank haltbar', ' Agitar', 'abrir y beber Schütteln', 'öffnen und trinken', ' Sin gluten/ sin azúcar añadido Glutenfrei/Ohne Zuckerbeigabe Eiweiß Salz nours naturalmente presentes uckerarcher FOTM uorhandene Distribuido por: Vertrieben von: - Runakay Plus S', 'L', ' Plaza Preciosa 2 10 cia']","['Végétalien', 'Végétarien']",?,,132,-35%,552 kj(132 kcal),-30%,"5,4",+102%,"0,4",-53%,17,+153%,14,+291%,"2,7",-90%,"0,07",-80%,"0,028",-80%,1,+257%,B,+257%,,,,,,,,80g,['Gourde'],"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'ES-ECO-020-CV', 'Migros Bio']",5.4 g,en quantité modérée,0.4 g,en faible quantité,14 g,en quantité élevée,0.07 g,en faible quantité,['Runakay'],,,,,,,,,,,,,
1872,Baguette de pain campagne,0206070004263,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Fraise,8717496042002,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Pasen: Dragee Eitjes Zakje 250 Gram (zenopra),27051221,,,['France'],[],[],?,,526,,2201 kj(526 kcal),,"29,6",,"13,3",,"62,4",,"60,4",,"4,6",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,Riz à poêler doré et moelleux - Lustucru,65455692,,,['France'],[],[],?,,356,,1490 kj(356 kcal),,"1,8",,"0,2",,76,,"0,8",,"8,5",,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,['Lustucru'],,,,,,,,,,,,,
1876,Fuet tranché - Auchan,3596710460281,,"['Viandes', 'Charcuteries', 'Saucissons']",['France'],"['Viande de porc', 'sel', 'lactose ', 'lait', 'lait en poudre', 'poivre noir', ""correcteur d'acidité: lactate de sodium"", 'conservateurs: acide lactique', 'nitrate de potassium', 'nitrite de sodium ', ' antioxydant erythorbate de sodium', 'colorant: carmins', ' Boyau naturel de porc', ' 161g de viande de porc mis en ceuvre pour 100g', ' Elaboré à partir de porc origine Espagne']","['Non végétalien', 'Non végétarien']",?,,419,+9%,1753 kj(419 kcal),+8%,33,+7%,11,-8%,"2,4",+11%,"1,7",+28%,28,+11%,"4,6",+10%,"1,84",+10%,25,+7%,E,+7%,,,,,,,,,,"['Nutriscore', 'Nutriscore E']",33 g,en quantité élevée,11 g,en quantité élevée,1.7 g,en faible quantité,4.6 g,en quantité élevée,['Auchan'],['Auchan'],,,,,['Lait'],4,"['E325 - Lactate de sodium', 'E270 - Acide lactique', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']",,,,,
1877,Yaourt aux fruits,3760093510028,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 18.115.001 CE', 'Ivoy-le-Pré (Cher, France)']",,,,,,,,,
1878,tartines craquantes sarrasin - Terres et céréales bio - 150g,11630319,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",['France'],"['Sarrasin* 82%', 'riz*', 'sucre de canne* non raffiné', 'sel', "" * Ingrédients issus de l'agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,360,-6%,1506 kj(360 kcal),-6%,"2,5",-45%,"0,6",-42%,72,+2%,3,-46%,12,+21%,"0,5",-43%,"0,2",-43%,-3,-198%,A,-198%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,150g,['carton et plastique'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:gluten-free', 'Fabriqué en France', 'AB Agriculture Biologique']",2.5 g,en faible quantité,0.6 g,en faible quantité,3 g,en faible quantité,0.5 g,en quantité modérée,['Terres et céréales bio'],['Magasin U'],,,['50082C'],,,3,,,['France'],http://www.terres-et-cereales.fr/produits/tartines-craquantes-au-sarrasin-2/,['France'],
1879,Pommes du Limousin Golden Delicious - Limdor - 8fruits,3701201349574,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",['France'],"['Pommes Golden Delicious du Limousin ', 'France', ' biologiques']",[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,8 fruits,"['barquette carton', 'sachet plastique']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'AOP', 'Agriculture France']",,,,,,,,,['Limdor'],,,,,,,,,,,,"['France', 'Limousin']",
1880,Trinaranjus Llimona - trina,8411800376905,,"['Boissons', 'Boissons avec sucre ajouté']","['France', 'Espagne']",[],[],?,,40,-53%,167 kj(40 kcal),-55%,0,-100%,0,-100%,"9,5",-52%,"9,2",-50%,0,-100%,3,+7921%,"1,2",+7921%,23,+93%,E,+93%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,9.2 g,en quantité élevée,3 g,en quantité élevée,['Trina'],,,,,,,,,,,,,
1881,27072141,27072141,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Oshee - 750ml,5908260251987,,"['Boissons', 'Boissons édulcorées']","['France', 'Pologne', 'Espagne']",[],[],?,,24,+60%,100 kj(24 kcal),+69%,0,-100%,0,-100%,"5,7",+112%,4,+71%,0,-100%,"0,12",+244%,"0,048",+244%,7,+62%,D,+62%,,,,,,,,750 ml,['Plastik'],,0 g,en faible quantité,0 g,en faible quantité,4 g,en quantité modérée,0.12 g,en faible quantité,['Oshee'],,,,,,,,,,,,,
1883,Chataigne,3180336220307,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,Snaks,8425408244535,,,['France'],[],[],?,,63,,264 kj(63 kcal),,"51,5",,"8,4",,"9,3",,0,,28,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Le Conserve Org P / Sce Basil - Le conserve della nonna,8005360000075,,,['France'],[],[],?,,54,,226 kj(54 kcal),,"2,3",,"0,3",,6,,"4,7",,"1,6",,"0,7",,"0,28",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,['Le conserve della nonna'],,,,,,,,,,,,,
1886,Punch Planteur Madras,3290940002425,,['Punch planteur'],['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,Super Pops,8719831321308,,,['France'],[],[],?,,400,,1674 kj(400 kcal),,0,,0,,98,,79,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Crousti caramel - Protifast - 7barres,3770008383418,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées au caramel']",['France'],"['Protéine de lait ', ' protéine de soja ', ' gélatine hydrolysée ', ' polydextrose ', ' oligofructose ', 'extrait de racine de chicorée', ' ', ' huiles végétales ', 'huile de palme RSPO*', 'huile de karité', 'huile de tournesol', ' ', ' humectant : glycérine ', ' poudre de cacao ', ' arômes ', ' beurre de cacao ', ' émulsifiants : lécithine de soja', 'mono et diglycérides ', ' colorant : caramel ', ' sel ', ' édulcorants : sucralose', 'acésulfame de potassium']","['Huile de palme', 'Non végétalien']",1448,-24%,348,-22%,1448 kj(348 kcal),-23%,"13,8",-22%,"7,5",-16%,"11,4",-83%,"3,7",-93%,34,+662%,"0,84",+96%,"0,336",+96%,9,-62%,C,-62%,,,,,,,,7 barres,['Etui carton'],"['en:gluten-free', 'Huile de palme durable', 'RSPO']",13.8 g,en quantité modérée,7.5 g,en quantité élevée,3.7 g,en faible quantité,0.84 g,en quantité modérée,['Protifast'],"['Pharmacie', 'Parapharmacie']",barre chocolatée saveur caramel,,"['FR 07.102.001 CE', 'Guilherand-Granges (Ardèche, France)']",,"['Lait', 'Soja']",4,"['E428 - Gélatine', 'E1200 - Polydextrose', 'E422 - Glycérol', 'E322i - Lécithine', 'E150 - Caramel', 'E955 - Sucralose', 'E950 - Acésulfame K']",['Huile de palme'],['France'],https://www.protifast.com/barres-hyperproteinees-regime/barres-crousti-caramel.html,['France'],
1889,Chocolat Noir Amande,7640140090290,,,['France'],[],[],?,,573,,2397 kj(573 kcal),,"42,2",,12,,"38,3",,"19,7",,"14,6",,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
1890,Chateau de ragon,3251091804757,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,Cervelas - Auchan,3596710450718,,,['France'],[],[],?,,230,,962 kj(230 kcal),,19,,0,,"1,3",,0,,13,,"1,6",,"0,64",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,['Auchan'],['Auchan'],,,"['EMB 67348B', 'Obernai (Bas-Rhin, France)']",,,,,,,,,
1892,Baguette L'Excellente,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,
1893,Barquillos al chocolate,4894133670140,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Chipolata de campagne - Lidl,20855116,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],?,,239,0%,1000 kj(239 kcal),0%,19,+1%,8,+11%,"1,3",+11%,"0,2",-68%,16,+4%,"1,5",-17%,"0,6",-17%,15,-10%,D,-10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,19 g,en quantité modérée,8 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,['Lidl'],,,,,,,,,,,,,
1895,Fitness breakfast cereal bar pêches et abricot - Nestlé - 23.5g,5900020029454,C,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits', ""Barres de céréales à l'abricot""]","['Belgique', 'France', 'Italie']",[],[],?,,40,-89%,167 kj(40 kcal),-89%,"11,2",+53%,"7,7",+207%,"64,2",-6%,"27,1",+6%,"6,5",+19%,"0,66",+42%,"0,264",+42%,10,+26%,C,+26%,80.5%,10.3%,4.6%,2.5%,2.1%,0.0%,56,23.5 g,,,11.2 g,en quantité modérée,7.7 g,en quantité élevée,27.1 g,en quantité élevée,0.66 g,en quantité modérée,['Nestlé'],,,,,,,,,,,,,
1896,Wasa fibres - Barilla,7300400585996,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains croustillants']",['France'],[],[],?,,339,-10%,1418 kj(339 kcal),-10%,7,-8%,"1,5",+9%,42,-26%,2,-28%,"12,5",+10%,"1,1",-14%,"0,44",-14%,4,+10%,C,+10%,,,,,,,,,,['Riche en fibres'],7 g,en quantité modérée,1.5 g,en quantité modérée,2 g,en faible quantité,1.1 g,en quantité modérée,['Barilla'],,,,,,,,,,,,,
1897,3400936707580,3400936707580,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Moka chocolat,2020003549656,,,['France'],[],[],?,,508,,2125 kj(508 kcal),,38,,17,,37,,29,,"4,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Espàrragos blanco,8421251913062,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",['France'],[],[],?,,28,+47%,117 kj(28 kcal),+52%,"0,77",+209%,0,-100%,"2,3",+18%,"0,77",-34%,"2,3",+56%,1,+27%,"0,4",+27%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,0.77 g,en faible quantité,0 g,en faible quantité,0.77 g,en faible quantité,1 g,en quantité modérée,,,,,,,,,,,,,,
1900,Amandes décortiquées - 700g,3760023450578,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,700 g,,,,,,,,,,,,,,,,,,,,,,,,
1901,6 layer bar,5056281161959,,,['France'],[],[],?,,365,,1527 kj(365 kcal),,13,,4,,27,,4,,33,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Escalope extra-fine de dinde - Monoprix - 0.260kg,2201273027291,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,0.260 kg,,['Bleu Blanc Cœur'],2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,['Monoprix'],['Monoprix'],,,"['FR 72.175.001 CE', 'Luché-Pringé (Sarthe, France)']",,,,,,,,,
1903,Gelée extra de pommes,3264950130133,,,['France'],[],[],?,,261,,1092 kj(261 kcal),,"0,5",,"0,1",,64,,60,,"0,4",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
