,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
49,Aachi Lime Pickle 300Gm,8906021122023,['Aachi'],['France'],"['lime en morceaux', 'huile végétale raffinée', 'sel', 'piment en poudre', 'moutarde', ""fénugrec en poudret ase-fétide et régulateur de l'acidité E260"", ' Allergen Advice?', ' Contain Mustard', ' Klay Contain TreeNts', 'Peanutst G!uten', 'Soya', 'Sesame', ""Milk Products and Sulpt'ilte"", ' CONTAY PERMITTED CLASS 11 PRESERVATIVE ssat Lic', ' No', ' 2415023000259 OPENING IF BOTTLE ts PUFFED 1 LEAKING ORY spooN']",,"[""Pourrait contenir de l'huile de palme""]",,?,150,628 kj(150 kcal),7,1,0,0,"1,3","0,6","0,24",['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Moutarde', 'Graines de sésame', 'Soja']",,,,,,,,,,,,,,,,
50,Soupe Nouille Poulet Curry Vifon 70G Vietnam,8934561241089,['Vifon'],['France'],"['Nouilles ', '91%', ' : farine de blé', 'tapioca', ' huile de palme', 'sel', 'sucre', 'curcuma ', 'E100ii', 'stabiliseurs : carbonate de sodium ', 'E500i', 'carbonate de potassium ', 'E501i', 'tripolyphosphate de sodium ', 'E451i', ' Assaisonnement ', '5%', ' : sel', 'sucre', 'exhausteur de goût :glutamate de sodium ', 'E621', ""disodium 5'-guanylate "", 'E627', ""disodium 5'-inosinate "", 'E631', 'poivre', 'ail', 'ciboule sèches', 'caramel ', 'E150a', "" sachet d'huile "", '3%', ': huile de palme raffinée', 'piment', 'arôme artificiel de poulet', ' Sachet de légumes ', '1%', ' : carotte', 'ciboule', 'panichaut']","['E500i - Carbonate de sodium', 'E501i - Carbonate de potassium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E451i - TPP', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E150a - Caramel E150a']",['Huile de palme'],4,?,414,1732 kj(414 kcal),18,10,53,20,"8,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,,,,['Huile de palme'],,
51,"Instant Nudeln, Hühnerfleisch",8934563158163,,['France'],[],,[],,?,453,1895 kj(453 kcal),"17,5","9,9","63,5","7,5","8,8","7,8","3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,De Nhat MI Gia Hot & Sour Shrimp Flavor - Acecook - 82g,8934563789169,"['Acecook', 'Dê nhât mì gia']",['France'],"['NOUILLES DE BLÉ', 'HUILE O ANTS', 'HYVROXYANISOL OEP HYDROXYTOUJENE 1', 'TWNGOO TES', 'E451 ', ""JACIDITÉ ES CRBONA SDEPOTASSU',1 1"", 'CARBONATES IWE', 'E621 21', ' ASSAISONNEMENT SUCRE', 'SEL EXHAUSTEURS DE ', 'EBI', 'GUANYLA M PabREDECREVETTEOSh PARAPENAEOPSlS', 'tmnRE POISSON STOLEPHORUSSP IDE CITRIQUE ORANT', ' G MES']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E502 - Carbonates', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",[],4,?,447,1870 kj(447 kcal),"17,4","9,8","63,3","14,3","7,8","5,9","2,36",,82 g,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Poisson', 'Gluten']",,,,,,,,,,,,,,,,
53,Ail frit - Vinawang,8935000902073,['Vinawang'],['France'],[],,[],,?,444,1858 kj(444 kcal),"25,43","13,3","45,62","1,25","8,35",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sauce Pour Rouleaux De Printemps - PSP - 380ml,8935000903063,"['PSP', 'Paris Store']",['France'],"['Eau', ""Extrait d'anchois "", 'Poisson', 'Sel', 'Sucre', 'Vinaigre', 'Piment', 'Ail', 'Papaye', 'Carotte']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,93,389 kj(93 kcal),"0,1","0,1","21,9","20,7","1,3","3,8","1,52",,380 ml,"['Epicerie', 'Sauces']",0.1 g,en faible quantité,0.1 g,en faible quantité,20.7 g,en quantité élevée,3.8 g,en quantité élevée,,-61%,-61%,-99%,-95%,+121%,+220%,-52%,+57%,+57%,15,+29%,D,+29%,"['Bocal', 'Verre', 'métal']",,,['Poisson'],,,,,,,,,,,,,,,,
55,Nuoc mam - Vinawang - 500ml,8935000903117,"['Vinawang', 'Phú Quốc']",['France'],"['ANCHOVY EXTRACT', 'SALT', "" EXTRAIT D'ANCHOIS"", 'SEL', ' ANSJOVISEXTRAKT', 'ZOUT']",,[],,?,88,368 kj(88 kcal),0,0,0,0,22,20,8,,500 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Phú Quốc - Vinawang,8935000903131,['Vinawang'],['France'],"[""ANCHOVY ext nacri EXTRAIT D'ANCHOIS"", 'ANSJOVISEXTRAKT', 'tour FISCHEXTRAKT']",,[],,?,88,368 kj(88 kcal),0,0,0,0,22,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,,,,,,,,,,,,,,,
57,Ail Frits 150g - Fraternity,8935005301642,['Fraternity'],['France'],['Calones I Caloncs 00 Total Fat I Lipides 50mq Saturated I Saturés 0 g + Trans / Trans 0 g Cholesterol / Cholestérol 0 mg Sodium / Sodium 10 mg Carboh drate / Glucides I Dieta Fibre / Fibres 0 Su ars / Sucres 0 Protein / Protéines 0 g Vitamin A / Vitamine A Vitamin C / Vitamine C Calcium / Calcium Iron / Fer'],['E302 - Ascorbate de calcium'],[],,?,0,0 kj(0 kcal),5,0,10,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fruit Food Mischung Von Gemuesechips 5 In 1 - 250g,8935034312114,"['Fruit Food', 'Minh Phat Food']",['France'],"['Patate douce', 'taro', 'banane', 'ananas', 'huile de maïs', 'fruit de jacquier', 'sel']",,[],3,?,487,2038 kj(487 kcal),"20,8","9,3","72,4","27,2","2,63","0,04","0,016",,250 g,"['Snacks', 'Snacks sucrés', 'Chips de fruits']",20.8 g,en quantité élevée,9.3 g,en quantité élevée,27.2 g,en quantité élevée,0.04 g,en faible quantité,,+9%,+8%,+2%,-7%,+26%,-23%,-56%,-90%,-90%,21,+11%,E,+11%,"['Sachet', 'Plastique']",,['Vietnam'],,,,,,,,,,,,,,,,,
59,THÉ MINCIL,8935115770116,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Choco Pie - Orion - 33g / 1,16oz",8936036023633,['Orion'],"['France', 'Viêt Nam']","['Isotretinoine oligo sirup', 'plantes de cacao', 'huile de soja', 'carbonate de sodium', 'benzoate de sodium ', 'E503', "" Hydroxypropyl phosphate d'amidon "", 'E1442', 'gomme de xanthane ', 'E415', 'poudre de cacao et liqueur de cacao', 'écithine de chutney ', 'E322', ' ', ""les esters de l'acide ricinoléique avec polyglycérol "", 'E476', 'le blanc de vanille', 'la protéine süra', 'ne sont pas destinés à être utilisés par des personnes des types suivants: sourate', 'lua', 'trung et sauc']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E428 - Gélatine', 'E341i - Phosphate monocalcique', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E415 - Gomme xanthane', 'E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","['Non végétalien', 'Non végétarien']",4,711,424.2424,711 kj(424 kcal),"15,152","10,606","66,667","42,424","3,03","0,606","0,242",,"33g / 1,16 oz","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",15.2 g,en quantité modérée,10.6 g,en quantité élevée,42.4 g,en quantité élevée,0.606 g,en quantité modérée,-58%,+5%,-58%,-22%,+39%,+34%,+52%,-44%,-0%,-0%,23,+28%,E,+28%,,,,,,,,,,,,,,,,,,,,
61,H &S Reispapier Für Frühlingsrollen 22 CM (500G Packung) -  - 500g,8936044400020,,['France'],"['Amidon de tapioca', 'farine de riz 16 %', 'eau', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,340,1423 kj(340 kcal),"0,17","0,12",84,"2,8","0,4","0,68","0,272",,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",0.17 g,en faible quantité,0.12 g,en faible quantité,2.8 g,en faible quantité,0.68 g,en quantité modérée,,-21%,-21%,-99%,-98%,+18%,-78%,-95%,+274%,+274%,7,-17%,C,-17%,['Plastique'],,['Vietnam'],,,B,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,
62,'Prodhead'>roasted Peanuts - MHY VIETNAM,8938502623378,['MHY VIETNAM'],['France'],"['CACAHUETES ', '97,7%', 'SEL', ' ', ' 97', '770', ' ', 'È', ' INGREDIENTS : PEANUTS ', '97,7%', ',']",,[],,?,626,2619 kj(626 kcal),"48,33","6,49","21,58","6,5","24,51","1,68","0,672",['Entrepreneurs + Engagés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Arachides'],,,,,,,,,,,,,,,,
63,Vermicelle De Riz Bo Hue Vietnam - PCK,8938504434125,['PCK'],['France'],[],,[],,?,450,1883 kj(450 kcal),0,0,1,1,2,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,,+35%,+35%,-100%,-100%,-99%,+142%,-59%,-100%,-100%,4,+103%,C,+103%,,,,,,,,,,,,,,,,,,,,
64,Sauce Chili Au Gingembre,8995899451212,,['France'],[],,[],,?,157,657 kj(157 kcal),1,"0,5","36,8","24,4","0,4","3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Knorr Basis Rahmschnitzel - 51g,9000275486715,,['France'],[],,[],,?,123,515 kj(123 kcal),"5,9",2,"2,6","0,6",15,"0,65","0,26",,51 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Schoko-bananen,9000332811283,,['France'],[],,[],,?,387,1619 kj(387 kcal),12,"7,2",67,53,"1,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Delikatessen gurken - Efko - 330g,9000451003101,['Efko'],"['Autriche', 'France', 'Allemagne']",[],,[],,?,17,71 kj(17 kcal),"0,5","0,1","1,3",1,"1,7","1,4","0,56",,330g,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,,,,,,,,,
68,Darbo Holunderblütensirup 500 ML - 500ml,9001432018138,['Darbo'],"['France', 'Allemagne']",[],,[],,?,51,213 kj(51 kcal),0,0,13,13,0,0,0,,500ml,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,,-9%,-12%,-100%,-100%,+15%,+38%,-100%,-100%,-100%,17,+122%,E,+122%,,,,,,,,,,,,,,,,,,,,
69,Dinkel Vollkornbrot (mühlviertler Schnittbrot),9001624236050,,['France'],[],,[],,?,251,1050 kj(251 kcal),"4,5","0,5",39,"3,7","9,8","1,3","0,52",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",4.5 g,en quantité modérée,0.5 g,en faible quantité,3.7 g,en faible quantité,1.3 g,en quantité modérée,,0%,0%,+31%,-7%,-8%,+2%,+12%,+11%,+11%,3,+352%,C,+352%,,,,,,,,,,,,,,,,,,,,
70,PAGO orange - 1l,9002515428295,['Pago'],['France'],['100% jus de fruit'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,43,180 kj(43 kcal),"0,5","0,1","8,8","8,8","0,7",0,0,,1 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pago Nectar Orange 20CL (Pack De 12),9002515552099,['Pago'],['France'],[],,[],,?,49,205 kj(49 kcal),"0,5","0,1",11,11,"0,5",0,0,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'orange""]",0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,+26%,+26%,+194%,+320%,+21%,+29%,+37%,-100%,-100%,15,+49%,E,+49%,,,,,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
72,Moule à l'escabèche - Don Fernando,9002859051791,['Don Fernando'],['France'],[],,[],,?,256,1071 kj(256 kcal),23,"2,8","0,5","0,3",12,"1,7","0,68",['Fabriqué en Espagne'],,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",23 g,en quantité élevée,2.8 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,+29%,+28%,+69%,+34%,-84%,+108%,-24%,+26%,+26%,12,+116%,D,+116%,,,,,,D,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,
73,"Instant Nudeln ""rind"" 60g Beutel Asia Gold",9002859063183,['Asia'],['France'],[],,[],,?,72,301 kj(72 kcal),3,"1,5","9,8","0,7","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Instant Nudeln "" - asia gold - 60g",9002859063244,['asia gold'],['France'],"['nt Nudeln mit Schvimps Aroma und Gewürzen', 'Zutaten: Weizenmehl', 'Palmöl', 'Sal up', 'Geschmacksverstarker', 'E621', 'E635', 'Chilli Pulver', 'Gewürze', 'ganz gehärtetes Palmöl', 'Saueru stoffe: E171', 'E150a', 'E160c getrocknete Frühlingszwiebeln', 'Säureregulatoren: ES00', 'E451', 'Ve 66', 'hydrolisierte Pflanzenproteine ', 'Wasser', 'Mais', 'Soja', 'Milchprotein', 'Aroma', 'Schrimps-Pu on Eiera', 'Fischen', 'Sellerie und Sesam enthalten', 'Zubereitung: Die Nudeln und Gewü geben und mit 320ml kochendem Wasser übergieGen', 'Zugedeckt 3 Minuten ziehen lassen', 'um en', 'Hergestellt in Ungam', 'F', "" Nouilles instantanées à l'arôme crevette et aux épices"", 'Inc - blé', 'huile de palme', 'sel', 'sucre', 'sirop de glucose', 'exhausteurs de goût: E621', 'E635', 'piment uile de palme entièrement hydrogénée', 'acidifiant: E330', 'colorants: E171', 'E150a', ""E160c oign rrecteurs d'acidité: E500"", 'E451', 'épaississant: E466', 'protéines végétales hydrolysées ', 'eau', 'm de lait', 'arôme', 'crevettes en poudre', ""Peut contenir des traces d'eufs"", 'de poissons', ""de ce Préparation: disposer les nouilles et les épices dans un plat et les mouiller de 320ml d'eau l Bisser reposer pendant 3 minutes"", 'bien remuer et déguster', 'Fabriqué en Hongrie', '1', ' Pasta is ma di gambero e spezie', 'Ingredienti: farina di frumento', 'olio di palma', 'sale', 'zucchero s esaltatori di sapidità: E621', 'E635', 'peperoncino in polvere', 'spezie', 'olio di palma idrogenato', 'au oranti: E171', 'E150a', 'E160c dipolline essiccate', 'correttori di acidità: ES00', 'E451', 'addensau vegetal idrolizzate ', 'acqua', 'mais', 'soia', 'proteina del latte', 'aroma', 'gamberi in polvere', 'Pub ova', 'pesci', 'sedanoe sesamo', 'Preparazione: mettere gli spaghetti e le spezie in una ciotola di acqua bollente', 'Lasclare riposare coperti tre minuti', 'mescolare e guistare', 'Prodotto in Unu rigo', 'scel de palma', 'sal', 'azucar', 'jarabe de glucosa', 'potendadere F160']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E171 - Oxyde de titane', 'E150a - Caramel E150a', 'E160c - Extrait de paprika', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E466 - Carboxyméthylcellulose']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,72,301 kj(72 kcal),"3,1","1,5","9,5","1,2","1,4",1,"0,4",,60g,,,,,,,,,,,,,,,,,,,,,,,,['sachet plastique'],,,"['Gluten', 'Soja']",,,,,,,,,,,,,,['Huile de palme'],,
75,Mini Sandwich - feny biscuits - 180g,9002859069024,['feny biscuits'],['France'],"['farine de blé 54,6%', 'crème au cacao 25% [sucre', 'graisse de palme', 'poudre de cacao maigre 4%', 'poudre de lactosérum', 'émulsifiant: E322', 'arôme]', 'graisses végétales ', 'palme', 'oléine de lme', ' sucre', 'sirop de glucose-fructose', 'poudre à lever: ES00li', 'ES03i', 'poudre de lactosérum', 'sel', 'arôme', 'antioxydant: E223 ', 'sulfite', ',']","['E322 - Lécithines', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien']",4,?,458,1916 kj(458 kcal),17,9,71,28,0,"0,82","0,328",['Fabriqué en Espagne'],180 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",17 g,en quantité modérée,9 g,en quantité élevée,28 g,en quantité élevée,0.82 g,en quantité modérée,,-3%,-4%,-18%,-11%,+11%,-5%,-100%,+39%,+39%,22,+11%,E,+11%,,,,"['Gluten', 'Anhydride sulfureux et sulfites']",,D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,['Franprix'],['Huile de palme'],,
76,Caramel Sesam Riegel Von Ivanka In Der 60g Packung - Ivanka Delikatessen - 60g,9002859071768,['Ivanka Delikatessen'],"['France', 'Suisse']","['Sésame 60 % ', 'sucre', 'sirop de glucose']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,2358,566,2358 kj(566 kcal),"34,6","5,9",46,"26,5","14,4","0,1","0,04",,60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Graines de sésame'],,,,,,,,,,,,,,,,
77,Zuccherati - Fine Biscuits - 1kg,9002859074455,['Fine Biscuits'],['France'],"['farine de bié72%', 'glucose', 'poudre à lever', ' E500ji', 'E503', ' sel', 'de malt ', 'le blé et Peut contenir des traces de à coque', ""d'Qufs et de lait"", ' jroitsec', ""à l'abri de la chaleur"", ' ', 'l', ' frumento', "" icct'?ro"", 'clio di palma', 'scroppo di@ucosio', 'agenti iievitanti: 600', 'E503', ' pumento e orzo', 'emulsij', 'ilante: 822 ', 'sola', ' aïomi', 'Pub contenere di frutta a gusciot vae/atte', ' Conservare in luogo asciutto e lontano da fonti di alore', 'destens fraÌtbarbls:/À consommer deptéf9eneeavaat IVIDa ren mlnste houdbaarÎ0t? / Best before: / Miniméln{ do', ' 1 tes def / Bist fire: i De CC11Stlmat de preferinr de?', ' I I']","[""E503 - Carbonates d'ammonium""]",[],4,?,460,1925 kj(460 kcal),16,"7,6",71,19,"7,2","0,5","0,2","[""Appellation d'origine""]",1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,,,,,,,,,,,
78,Waffelröllchen Kakao Im 160g Blister Von Fine Biscuits,9002859076510,,['France'],[],,[],,?,486,2033 kj(486 kcal),25,10,58,40,"6,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Zuckerwatte 50g Eimer Sweets & Candy - Woogie,9002859082979,['Woogie'],['France'],"['sucre', 'arômes', 'colorants: El 00', 'El 33', 'El 72', ' À conserver UE']",,[],4,?,405,1695 kj(405 kcal),0,0,"99,5","99,5",0,0,0,"[""Fabriqué dans l'UE""]",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,99.5 g,en quantité élevée,0 g,en faible quantité,,+14%,+13%,-100%,-100%,+19%,+72%,-100%,-100%,-100%,15,+4%,D,+4%,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
80,Jaffa Sandwich Sahne / Blaubeere 380G Packung Fine Biscuits,9002859088490,,['France'],[],,[],,?,473,1979 kj(473 kcal),21,11,68,50,"3,6","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Schlau-kakao - Sonnentor,9004145009424,['Sonnentor'],"['France', 'Irlande', 'Suisse']",[],,[],,?,375,1569 kj(375 kcal),"4,9","3,1",64,61,11,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sauerrahm,9004584004042,,['France'],[],,[],,?,162,678 kj(162 kcal),15,10,"3,2","3,2",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Verival Mohn-zwetschke Porridge - Bio,m - 450g",9004617063947,['Verival'],"['France', 'Allemagne']","[""son d'avoine*"", 'raisins secs* ', 'raisins secs* 99,5%', 'huile de toufmesol*', 'morceaux de prunes* 7,8% ', 'fruit* ', 'prunes* 12,5% * ', 'prunes séchées* 12%', 'concentré de compote de pommes*', 'sirop de fructose*', 'sucre de canne*', 'farine de riz*', 'beurre de cacao*', 'gélifiant: pectine', ' concentré de jus de citron*', 'pavot* 7,8%,morceaux de prunes* 4,5% ', 'prunes* 97%', 'farine de riz*', 'sucre vanillé de bourbon*', ' *', "" Issus de l'agriculture biologique contrôlée""]",['E440 - Pectines'],[],4,?,363,1519 kj(363 kcal),"8,6","1,4",56,17,10,0,0,['Bio'],450g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",8.6 g,en quantité modérée,1.4 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,-9%,-9%,-19%,-48%,-9%,-6%,+4%,-100%,-100%,-7,-304%,A,-304%,['Karton'],,,['Gluten'],,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,
84,Verival Pronurel Bio Mais Quinoa Waffeln,9004617065026,['Verival'],['France'],[],,[],,?,385,1611 kj(385 kcal),"2,1","0,3","0,5","0,5","7,4","0,5","0,2","['Bio', 'Bio européen', 'IT-BIO-014']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Nuss Strudel,9005300006197,,['France'],[],,[],,?,351,1469 kj(351 kcal),13,"1,7",49,18,"7,4","0,6","0,24",,,"['Biscuits et gâteaux', 'Gâteaux']",13 g,en quantité modérée,1.7 g,en quantité modérée,18 g,en quantité élevée,0.6 g,en quantité modérée,,-13%,-13%,-33%,-78%,-1%,-35%,+36%,-1%,-1%,6,-66%,C,-66%,,,,,,,,,,,,,,,,,,,,
86,Crique ardéchoise,9007337000001,,['France'],[],,[],,?,171,715 kj(171 kcal),"11,6","6,7","11,3","1,2","3,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Organic Food Bar Bio Protein, 6 X",9008535070117,['Organic Food Bar'],['France'],"['Protéine de riz brun 27%*', 'Sirop de tapioca*', 'Dattes*', 'Amandes 17%*', 'Raisins secs*', 'Graines de lin*', 'Graines de sésame*', "" *=Issus d'Agriculture Biologique F Συστατικά: Πρωτείνη Καφέ Ρυζιού 27% *"", 'Σιρόπι Ταπιόκας *', 'φοινίκια *', 'Αμύγδαλα 17% *', 'Σταφίδες*', ""Λάχανα'"", ""οργανικό σουσάμι'"", ' * = Βιολογική καλλιέργεια GR %3D Nutrition Facts/Nährwerte/Voedingsinformatie/Valeures nutritionnelles/Naeringsindhold/ Næringsindhold/Näringsinnehåll/Ravintosisältö/Hranilne vrednosti/AiatpoQiKń Afia Energy/Energie/Energi/Energiaa/Energijska vrednost/Evépyɛia Fat/Fett/Vetstoffen/Lipides/Fedt/Fett/Rasvaa/Maščobe/Autapá Thereof saturates/davon gesättigte Fettsäuren/waarvan verzadigd vet/']",,"['Végétalien', 'Végétarien']",,?,440,1841 kj(440 kcal),12,2,44,24,29,"0,012","0,005","['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE']",,"['Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",12 g,en quantité modérée,2 g,en quantité modérée,24 g,en quantité élevée,0.012 g,en faible quantité,,+19%,+19%,-8%,-66%,+35%,+80%,-1%,-98%,-98%,6,-42%,C,-42%,,,,"['Fruits à coque', 'Graines de sésame']",,,,,,,,,,,,,,,,
88,Bravo uva rossa,9008700125154,,['France'],[],,[],,?,60,251 kj(60 kcal),"0,1","0,1","14,6","14,6","0,1","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Rauch Happy Day, Rote Traube - 1L",9008700149082,['Rauch'],['France'],"['F', ' 100% Jus de raisin rouge']",,[],,?,290,1213 kj(290 kcal),"0,5","0,1","15,5","15,4","0,6","0,01","0,004",,1 L,['Boissons'],0.5 g,en faible quantité,0.1 g,en faible quantité,15.4 g,en quantité élevée,0.01 g,en faible quantité,,+418%,+403%,+44%,-15%,+37%,+63%,+21%,-76%,-76%,20,+161%,E,+161%,['brique carton'],,,,,,,,,,,,,,,,,,,
