,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
1688,Vinaigre Balsamic Di Modena - 500ml,8016017000195,B,,500 ml,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],,,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,
1689,Kerst: Dessertglaasje Pure Chocolade 60 Gram (delicieux) - deluxe - 60g,20437343,,,60 g,['Verona'],['Deluxe'],,,"['France', 'Italie']","['sucre', 'crème ', 'lait', 'lait écrémé', 'pâte de cacao', 'huiles végétales ', 'palme', 'palmiste', 'eau', '2% alcool', 'sirop de sucre inverti', 'amidon de mais', 'cacao maigre en poudre', 'émulsifiants: lécithines ', 'soja', ""mono - et diglycérides d'acides gras"", ' sel de cuisine', 'arôme naturel de vanille', 'beurre concentré ', 'lait', "" *d'origine végétale"", 'Peut contenir des traces de céréales contenant du gluten', ""d'eufet de fruits à coque "", 'CH: noix', ' Non ouvert,']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,345,,1443 kj(345 kcal),,"22,4",,"15,5",,"27,8",,"25,5",,"3,2",,"0,17",,"0,068",,,,,,,,,,,,,['Huile de palme'],"['Agriculture durable', 'Fabriqué en Belgique', 'en:UTZ Certified']",,,,,,,
1690,Les gingembrettes - Chevaliers d'Argouges - 160g,3421371521302,,,160 g,,"[""Chevaliers d'Argouges""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Gingembrettes']",,['France'],[],,,[],,17 g,en quantité modérée,10 g,en quantité élevée,58 g,en quantité élevée,0.04 g,en faible quantité,?,,430,-1%,1799 kj(430 kcal),-1%,17,-3%,10,-7%,60,+0%,58,+3%,"5,1",+17%,"0,04",+44%,"0,016",+44%,24,+4%,E,+4%,,,,,,,,,,,,,,,,
1691,Eau,6191577600046,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Croquettes Special Four - McCain - 750g e,8710438104813,B,Croquettes de pommes de terre surgelées - Croquettes Special Four,750 g e,"['Sachet', 'Plastique', 'surgelé']",['McCain'],"['Surgelés', 'Plats préparés', 'Pommes de terre préfrites surgelées', 'Plats préparés surgelés', 'Croquettes de pommes de terre surgelées']",['Delhaize'],"['Belgique', 'France']","['Purée de pommes de terre', 'pommes de terre déshydratées', 'huile de tournesol ', '6 %', 'lait écrémé en poudre', 'sel', ""extraits d'épices"", 'émulsifiant: E471', 'stabilisants E464-E450', 'dextrose', 'antioxydant: disulfite de sodium']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E464 - Hydroxypropylméthylcellulose', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Lait', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,6 g,en quantité modérée,0.7 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,?,,165,-4%,690 kj(165 kcal),-4%,6,-10%,"0,7",-13%,24,+1%,2,+157%,"2,5",-2%,"0,8",-8%,"0,32",-8%,4,+100%,C,+100%,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,"[""À l'huile de tournesol""]",,,,,,,
1693,"Tarte à la Viande de Canard, aux Champignons et aux Châtaignes - Pâte Pur Beurre - Monoprix Gourmet - 550g",3350033567689,C,"Tarte à base de viande de canard, de champignons et de châtaignes, précuite, surgelée. Tarte à la Viande de Canard, aux Champignons et aux Châtaignes - Pâte Pur Beurre",550 g,"['Carton', 'Plastique', 'surgelé']",['Monoprix Gourmet'],"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard', 'Pizzas et tartes surgelées', 'Quiches', 'Tartes salées surgelées']",['Monoprix'],['France'],"['Viande de canard cuit 18 % [viande de canard 17,8 % ', 'origine : France', 'sel]', 'lait écrémé frais', 'farine de blé', 'crème fraîche', 'œufs entiers frais de poules élevées en plein air 10 %', 'beurre 7,1 %', 'châtaignes 6 %', 'eau', 'amidon de riz', 'bolets jaunes 2,4%', 'cèpes 1,4% ', 'pholiotes 1,4% ', 'shiitaké 1 %', 'sel', 'lactaires  0', '7%,farine de riz', 'persil', 'ail', 'poivre blanc']",,"['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",3,13 g,en quantité modérée,7.8 g,en quantité élevée,2.1 g,en faible quantité,1.1 g,en quantité modérée,944,-3%,226,-4%,944 kj(226 kcal),-3%,13,+2%,"7,8",+19%,17,-22%,"2,1",-32%,"9,5",+35%,"1,1",+16%,"0,44",+16%,12,+15%,D,+15%,80.1%,13.0%,2.0%,3.0%,1.1%,0.8%,38,,"['Plein air', 'Œufs de poules élevées en plein air', 'en:FSC', 'FSC Mix', 'Fabriqué en France', 'Fait avec des œufs de poules élevées en plein air', 'Pur beurre']","['EMB 17300W', 'Rochelle (Charente-Maritime, France)', 'FR 17.300.105 CE', 'Rochelle (Charente-Maritime, France)']",https://www.monoprix.fr/courses/tarte-a-la-viande-de-canard-champignons-et-chataignes-monoprix-gourmet-3331320-p,['France'],['France'],,,
1694,Arroz tres delicias y pollo con almendras envase 350 g - Ta-Tung,8437000752462,,,,,['Ta-Tung'],,,['France'],[],,,[],,,,,,,,,,?,,191,,799 kj(191 kcal),,7,,"0,9",,20,,"1,1",,"8,6",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1695,Noni Vitalité,3760118113623,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,21,,88 kj(21 kcal),,"5,2",,"0,01",,"5,2",,"2,82",,"0,31",,"2,6",,"1,04",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1696,Pois casses filet - CondiChef - 500g,3180504400524,B,,500g,,['CondiChef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois cassés secs']",,['France'],[],,,[],,1.44 g,en faible quantité,0.23 g,en faible quantité,2.75 g,en faible quantité,0.05 g,en faible quantité,?,,344,+3%,1439 kj(344 kcal),+3%,"1,44",-5%,"0,23",+1%,52,+7%,"2,75",-22%,"22,8",+2%,"0,05",+121%,"0,02",+121%,-1,,A,,64.4%,0.0%,18.1%,9.3%,5.1%,3.1%,95,,,,,,,,,
1697,Box légumes du soleil -  - 200g,3250392735319,,,200 g,,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,132,,552 kj(132 kcal),,"5,6",,"1,3",,"14,2",,2,,"4,3",,"0,88",,"0,352",,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan']",,,,,,,
1698,Panaki - Naturhouse,8423263915126,,,,,['Naturhouse'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Boulgour courgettes et falafels,3399130020451,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"10,3",,"1,4",,"18,4",,"1,6",,"3,7",,"0,57",,"0,228",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'Point Vert', 'AB Agriculture Biologique']","['EMB 60139A', 'Chambly (Oise, France)']",,,,,,
1700,Power fuel crunchy 7 nut & seed butter - Nuttzo,0894697002184,,,,,['Nuttzo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques']",,['France'],[],,,[],,,,,,,,,,?,,180,,753 kj(180 kcal),,15,,2,,8,,1,,6,,"0,136",,"0,054",,,,,,,,,,,,,,"['Bio', 'en:USDA Organic', 'Sans sucre ajouté']",,,,,,,
1701,Or blanc,6111245340470,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Risotto Safran 210G Riso Scotti,8001860257810,,,,,['Riso Scotti'],"['Plats préparés', 'Plats à base de riz', 'Risottos']",,['France'],[],,,[],,2.1 g,en faible quantité,0.6 g,en faible quantité,1 g,en faible quantité,2.1 g,en quantité élevée,?,,345,+53%,1443 kj(345 kcal),+59%,"2,1",-48%,"0,6",-66%,74,+103%,1,-35%,"6,8",+14%,"2,1",+127%,"0,84",+127%,13,+183%,D,+183%,,,,,,,,,['en:gluten-free'],,,,,,,
1703,Abricots séchés - Delhaize - 200g,5400112321188,D,,200 g,['Plastique'],['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['Delhaize'],"['Belgique', 'France']",['Abricots: 100%'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.2 g,en faible quantité,53 g,en quantité élevée,0.0254 g,en faible quantité,?,,253,-4%,1059 kj(253 kcal),-4%,"0,5",+3%,"0,2",+230%,55,-5%,53,+17%,"3,4",+10%,"0,025",-28%,"0,01",-28%,1,-71%,B,-71%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Biogarantie', 'IT-BIO-009']",,,,['Turquie'],,,
1704,Maltodextrine - Apurna,3288111359621,,,,,['Apurna'],,,['France'],[],,,[],,,,,,,,,,?,,373,,1561 kj(373 kcal),,0,,0,,93,,15,,"0,1",,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,
1705,Filet de merlan La barquette de 250 g - Intermarché,3250392049126,,,,['Barquette en plastique'],['Intermarché'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Gelée Royale Bio - Ballot-Hurin,3760016580930,,,,,['Ballot-Hurin'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,
1707,Houmous fines herbes - Delhaize - 200g,5400112388921,B,,200 g,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['Delhaize'],"['Belgique', 'France']",[],,,[],,21.4 g,en quantité élevée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,267,+2%,1117 kj(267 kcal),+2%,"21,4",+6%,"2,2",-11%,"9,7",-8%,"0,5",-63%,"6,3",-3%,"1,1",+6%,"0,44",+6%,6,+20%,C,+20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,
1708,Trockenhefe - Naturaplan - 9g,7613379673015,C,,9g,"['Carton', 'packet', 'pack']",['Naturaplan'],"['Additifs alimentaires', 'Levures de boulanger']",,"['France', 'Allemagne', 'Suisse']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,
1709,Gingembre - Ethiquable,3760091728616,B,,,,['Ethiquable'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Producteurs-paysans']",,,,,,,
1710,Organic - Kellogg's,5053827188142,C,,,,"[""Kellogg's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,['France'],"['Wholewheat ', '74%', 'Raisins*', '23%', 'Humectant ', 'Glycerol', '*', ' *Organic']",['E422 - Glycérol'],,[],4,2 g,en faible quantité,0.4 g,en faible quantité,13 g,en quantité élevée,0.08 g,en faible quantité,?,,345,-14%,1443 kj(345 kcal),-14%,2,-77%,"0,4",-82%,69,+3%,13,-22%,9,-4%,"0,08",-78%,"0,032",-78%,1,-81%,B,-81%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Sans sucre ajouté'],,,,,,,
1711,Soupe de saumon bio - Gastromer,3269660017316,E,,,,['Gastromer'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,['France'],[],,,[],,9.5 g,en quantité modérée,3.1 g,en quantité modérée,1.6 g,en faible quantité,1.04 g,en quantité modérée,?,,111,+131%,464 kj(111 kcal),+133%,"9,5",+400%,"3,1",+590%,2,+10%,"1,6",+146%,"4,2",-19%,"1,04",+18%,"0,416",+18%,6,+588%,C,+588%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,['Bio'],,,,,,,
1712,Haricots cornille,3700483800063,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Pâté de canard d'Amiens - Conserverie St Christophe,3565700000400,,,,,['Conserverie St Christophe'],"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,['France'],[],,,[],,10.9 g,en quantité modérée,4 g,en quantité modérée,0.3 g,en faible quantité,1.31 g,en quantité modérée,?,,172,-41%,720 kj(172 kcal),-40%,"10,9",-56%,4,-57%,"0,3",-83%,"0,3",-62%,18,+20%,"1,31",-33%,"0,524",-33%,5,-73%,C,-73%,,,,,,,,,,,,,,,,
1714,Peanutbutter CUPS,9002859104510,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,25,,105 kj(25 kcal),,34,,17,,46,,45,,10,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
1715,"MOULES de bouchot,1 kg",3250390834281,C,,,,,"['Produits de la mer', 'Mollusques', 'Moules', 'Moules de Bouchot']",,['France'],[],,,[],,3.1 g,en quantité modérée,,,0.85 g,en faible quantité,,,?,,115,+8%,481 kj(115 kcal),+8%,"3,1",+48%,,,"3,1",-30%,"0,85",+143%,19,+23%,,,,,,,,,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,,,
1716,Patè di Olive Taggiache - Crai,8002895096047,,,,,['Crai'],,['Crai'],"['France', 'Italie']",[],,,[],,,,,,,,,,?,,378,,1582 kj(378 kcal),,"39,2",,"5,7",,"4,1",,"4,1",,"1,4",,"2,9",,"1,16",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
1717,Thon albacore en morceaux au naturel - 650g,3289131220120,E,,650 g,,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",,['France'],[],,,[],,0.9 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,106,-8%,444 kj(106 kcal),-8%,"0,9",-40%,"0,4",-14%,0,-100%,0,-100%,"24,5",-2%,1,-4%,"0,4",-4%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,,,,,,,
1718,Belvas cocoa heart,5425007882674,,,,,['Belvas'],,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,531,,2222 kj(531 kcal),,"44,1",,19,,7,,"4,8",,"7,2",,"0,02",,"0,008",,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,,,,
1719,Dos de cabillaud Atlantique nord-est,3521047118048,E,,,,,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,['France'],[],,,[],,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,?,,73,-69%,305 kj(73 kcal),-68%,"0,5",-97%,0,-100%,0,-100%,0,-100%,17,+39%,"0,5",-41%,"0,2",-41%,-3,-161%,A,-161%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,
1720,Novi Nocciolato Bianco GR. 130,8006380217160,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Italie']",,,,,,,
1721,10 Chicken Franks - Doux - 340g,3280316022447,D,"Préparation à base de viande séparée mécaniquement de poulet halal (72%) marinée (28%), cuite et congelée.",340 g,"['Sachet', 'Plastique', 'surgelé']",['Doux'],"['Viandes', 'Surgelés', 'Charcuteries', 'Saucisses', 'Viandes surgelées', 'Préparations de viande', 'Volailles', 'Poulets', 'Préparations de viande surgelées', 'Préparations de viande hachée', 'Préparations de viande hachées surgelées', 'Saucisses de volaille', 'Saucisses de poulet']",,['France'],"['Viande séparée mécaniquement de poulet', 'eau', 'amidon de blé', 'épices 2 % ', 'dont cumin', 'paprika', 'poivre', ' et plantes aromatiques', 'farine de blé', 'sel', 'émulsifiants : E451', 'E450', 'exhausteur de goût : E621', 'antioxydant : E301', 'conservateur : E250', ' Traces éventuelles de : lait', 'soja']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Gluten'],[],4,14.8 g,en quantité modérée,3.5 g,en quantité modérée,1.5 g,en faible quantité,1.8 g,en quantité élevée,?,,195,-6%,816 kj(195 kcal),-6%,"14,8",-4%,"3,5",-20%,4,+83%,"1,5",+125%,11,-18%,"1,8",-6%,"0,72",-6%,12,-6%,D,-6%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,"['Halal', 'Fabriqué en France']","['FR 29.232.020 CE', 'Quimper (Finistère, France)']",,['France'],['France'],,,
1722,Miel du Dauphiné -  - 1kg,3425662111043,B,,1 kg,"['Pot', 'Plastique']",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français']",,['France'],['Miel'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['Point Vert', 'Récolté en France']",,,['France'],['France'],,,
1723,Miel de tilleul 375g AB - le manoir des abeillles - 375g,3335440136802,A,,375 g,['bocal en verre'],['le manoir des abeillles'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,['France'],"[""miel originaires de l'UE 100%""]",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
1724,"Pavé de dinde, brocolis sautés à l'ail et fondant de chou - fleur - Kitchen Diet - 280g",3700569001704,C,,280 g,['Carton'],['Kitchen Diet'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Plats à la dinde']",['Kitchendiet'],['France'],"['Pavé de haut de cuisse de dinde 29% [origine : France]', 'brocoli 24%', 'eau', 'chou-fleur 9,5%', 'ŒUF 4,4%', 'CREME ', 'LAIT', ' 3,0%', 'arôme naturel type jus de poulet rôti', 'petit pois', 'fève de SOJA', 'oignon ', 'caséinate de calcium ', 'LAIT', 'farine de BLE ', 'GLUTEN', ' ', ""huile d'olive"", 'ail 0,5%', 'amidon de maïs', 'BEURRE ', 'LAIT', 'caramel 0', '2% ', 'sucre,eau', ' ', 'gélifiant végétal : agar-agar', 'menthe']",['E406 - Agar-agar'],"['Œufs', 'Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']","['Végétalien', 'Végétarien']",4,6.3 g,en quantité modérée,2.2 g,en quantité modérée,1.3 g,en faible quantité,0.7 g,en quantité modérée,494,-20%,118,-28%,494 kj(118 kcal),-27%,"6,3",-20%,"2,2",-7%,"4,8",-47%,"1,3",+10%,10,-7%,"0,7",-26%,"0,28",-26%,-1,-136%,A,-136%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,"['Végétarien', 'Végétalien', 'Riche en protéines']",,https://www.kitchendiet.fr/menu-minceur/plats-minceur-frais/pave-dinde-flan-chou-fleur.html,['France'],,,,
1725,5 endives - Notre Jardin,3564706527126,B,,,,"['Notre Jardin', 'Marque Repère']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Endives', 'Endives', 'Endives fraîches']",['Leclerc'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.9%,0.0%,0.0%,11.3%,16.2%,3.6%,96,,,,,,,,,
1726,AZINC - Arkopharma - 25g,3401520289598,,,25 g,['30 comprimés'],['Arkopharma'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Alubias Con Verduras -,8410505066623,,,,,,"['Plats préparés', 'Légumes préparés', 'Haricots aux légumes']",,"['France', 'Espagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,?,,66,-27%,276 kj(66 kcal),-26%,0,-100%,0,-100%,0,-100%,0,-100%,"4,7",+128%,"0,5",-31%,"0,2",-31%,0,-100%,B,-100%,,,,,,,,,,,,,,,,
1728,Kashir isla delice gout cheese - 500g,3512690004574,,Id saveurdelice gout cheese 500g,500 g,,['Isla Délice'],,,['France'],"['Viande séparée mécaniquement de dinde halal ', 'origine UE', ' 53,8%', 'eau', 'fécule de pomme de terre', 'emmental 3,7%', 'sel', 'stabilisants ', 'E451 E450', 'arôme fromage ', 'lait', 'dextrose', 'épices', 'exhausteur de goût ', 'E621', 'antioxydants ', 'E300 E301', 'conservateur ', 'E250', ' Traces éventuelles de soja', 'fruits à coques']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],['Non végétalien'],4,,,,,,,,,716,,172,,716 kj(172 kcal),,"10,8",,"3,9",,"9,5",,"0,5",,"9,1",,2,,"0,8",,,,,,,,,,,,,,['Halal'],,,,,,,
1729,Végétal coco mangue passion - Monoprix,3350033568037,,,,,['Monoprix'],,['Monoprix'],['France'],[],,,[],,,,,,,,,,?,,124,,519 kj(124 kcal),,"9,6",,"9,1",,"8,2",,"4,3",,"1,1",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,
1730,Rolo - Nestlé,8593893763838,,,,['rolle(n)'],['Nestlé'],,,['France'],[],,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,"26,6",,16,,"60,1",,"51,2",,"4,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
1731,Mayonnaise,6130234004971,D,,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",,['France'],[],,,[],,71 g,en quantité élevée,4.33 g,en quantité modérée,1 g,en faible quantité,1.5 g,en quantité modérée,?,,651,+6%,2724 kj(651 kcal),+6%,71,+7%,"4,33",-30%,"2,21",-18%,1,-32%,"0,85",-31%,"1,5",+13%,"0,6",+13%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
1732,Chutney de figues et éclats de noix - Maison Montfort - 50G,3104544019249,,,50G,['Verre'],['Maison Montfort'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Confits de figues']",,['France'],"['figues ', '62,1%', 'sucre de canne', ""huile d'olive"", 'vinaigre de cidre', 'noix ', '1,55%', 'acidifiant : jus concentré de citron', 'sel', 'poivre', 'romarinn', 'thym']",,['Fruits à coque'],[],3,6.8 g,en quantité modérée,0.9 g,en faible quantité,37 g,en quantité élevée,0.55 g,en quantité modérée,?,,214,+11%,895 kj(214 kcal),+11%,"6,8",+1139%,"0,9",+516%,37,-15%,37,-11%,"0,9",+4%,"0,55",+28%,"0,22",+28%,7,-12%,C,-12%,,,,,,,,,,,,,['France'],,,
1733,Sardines,3410280007304,B,,,,,"['Produits de la mer', 'Poissons', 'Sardines']",,['France'],[],,,[],,15.4 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,0.67 g,en quantité modérée,?,,231,+0%,967 kj(231 kcal),+1%,"15,4",-3%,"2,4",-33%,"0,5",-12%,"0,5",+67%,"22,9",+11%,"0,67",-27%,"0,268",-27%,1,-80%,B,-80%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,,,,
1734,Saucisson sec Artisanal Beaufort,3375220201429,D,,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,['France'],[],,,[],,34.2 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,3.54 g,en quantité élevée,?,,419,+4%,1753 kj(419 kcal),+4%,"34,2",+8%,14,+14%,1,-55%,1,-27%,28,+1%,"3,54",-24%,"1,416",-24%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,"['en:gluten-free', 'Sans colorants']","['FR 73.215.001 CE', 'Rochette (Savoie, France)']",,,,,,
