,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
1574,Sot l'y laisse Tandoori,3760252554023,,['France'],[],[],?,173,724 kj(173 kcal),7,"1,5","2,4","1,1",25,"1,2","0,48",,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,biere du compté - Brasserie du Comté - 33cl,3760252660014,['Brasserie du Comté'],['France'],[],[],?,?,,?,,?,,?,,,,33 cl,,"['Bio', 'Bio européen', 'FR-BIO-15']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,La Cé'Zée Blanche - Brasserie La Vallière - 33cl,3760252690028,['Brasserie La Vallière'],['France'],"['Eau', ""malts d'orge"", 'froment', 'houblon', 'zestes de combava', 'levures']",[],?,?,,?,,?,,?,,,C,33 cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blanches']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],3,"['Bouteille', 'Verre']","['Ain', 'France']",,,,,,,,,
1577,La Cé'Zée Ambrée - Brasserie La Vallière - 33cl,3760252690042,['Brasserie La Vallière'],['France'],"['Eau', ""malts d'orge"", 'houblon', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,33 cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']",['Déconseillé aux femmes enceintes'],['France'],,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],3,"['Bouteille', 'Verre']","['Ain', 'France']",,,,,,,['Gamm Vert'],,
1578,3760252690059,3760252690059,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Morgan Stout - Brasserie La Vallière - 33cl,3760252690097,['Brasserie La Vallière'],['France'],"['Eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,33 cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières noires', 'Bières artisanales', 'Bières brunes']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],3,"['Bouteille', 'Verre']","['Ain', 'France']",,,,,,,,,
1580,Jus de pomme,3760252710092,,['France'],[],[],?,6,25 kj(6 kcal),"0,02",0,"1,13","1,13","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Terrine de Lièvre au Calvados - Le Père Roupsard,3760252721128,"['Le Père Roupsard', 'Traiteur Roupsard']",['France'],"['gorge de porc VPF', 'lièvre s/os', 'calva 5%', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,"['Terrines', 'Terrines de lièvre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,['Verre'],,,,,,,,,,
1582,Terrine de lapin et pommeau - Le Père Roupsard,3760252721241,"['Le Père Roupsard', 'Traiteur Roupsard']",['France'],"['gorge de porc VPF', 'lapin/os VVF', '5% pommeau', 'sel', 'poivre']",[],?,?,,?,,?,,?,,,D,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",['Viande Française'],,,,,,,,,,,,,,,,,,,,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,3,['Verre'],,,,,,,,,,
1583,"Tartinable au reblochon, lardons et oignons - Les Cols Rouges - 90g",3760252750005,['Les Cols Rouges'],['France'],"['Ingrédients Crème', 'eau', 'reblochon fermier ', '15%', 'lardons ', 'Poitrine de porc 84%', 'saccharose', 'acidifiants ', 'acétate de sodium', 'lactate de potassium', 'antioxydant ', 'érythorbate de sodium', 'ascorbate de sodium', 'conservateur ', 'nitrite de sodium', 'dextrose', 'amidon de mais modifié', 'oignons', 'vin blanc de savoie ', 'sulfites', 'sel', 'agar-agar']","['Non végétalien', 'Non végétarien']",?,221,925 kj(221 kcal),"15,1","9,5","8,6","1,6","6,7","1,4","0,56",,90 g,"['Produits à tartiner', 'Produits à tartiner salés']",,,15.1 g,en quantité modérée,9.5 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,,-25%,-25%,-42%,+23%,+145%,+26%,-23%,+6%,+6%,,,,,,,,"['E262i - Acétate de sodium', 'E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar']",['Anhydride sulfureux et sulfites'],4,,,,17,+36%,D,+36%,,,,
1584,Tartinable au beaufort - Les Cols Rouges - 90g,3760252750012,['Les Cols Rouges'],['France'],"['Crème', 'eau', 'beaufort ', '16%', 'oignons', 'vin blanc de savoie sulfites', ' lardons ', 'Poitrine de porc 84%', 'saccharose', 'acidifiants ', 'acétate de sodium', 'lactate de potassium', 'antioxydant ', 'érythorbate de sodium', 'ascorbate de sodium', 'conservateur ', 'nitrite de sodium', 'dextrose', 'amidon de mais modifié', 'sel', 'agar-agar']","['Non végétalien', 'Non végétarien']",?,220,920 kj(220 kcal),"17,1","10,6",7,"1,7","6,5","1,3","0,52",,90 g,"['Produits à tartiner', 'Produits à tartiner salés']",,,17.1 g,en quantité modérée,10.6 g,en quantité élevée,1.7 g,en faible quantité,1.3 g,en quantité modérée,,-26%,-25%,-35%,+37%,+99%,+34%,-26%,-2%,-2%,,,,,,,,"['E262i - Acétate de sodium', 'E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar']",['Lait'],4,,,,17,+36%,D,+36%,,,,
1585,Soupette apéritive courgette et beaufort - Les Cols Rouges,3760252750050,['Les Cols Rouges'],['France'],"['Eau', 'courgette ', '24,5%', 'pomme de terre', 'oignon', 'crème', 'Beaufort AOP ', '1,1%', 'ail', 'sel de mer']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,28,117 kj(28 kcal),"1,2","0,8",3,"0,9",1,"0,5","0,2",,,"['Plats préparés', 'Soupes']",,,1.2 g,en faible quantité,0.8 g,en faible quantité,0.9 g,en faible quantité,0.5 g,en quantité modérée,,-51%,-51%,-38%,+32%,-48%,-48%,-55%,-42%,-42%,,,,,,,,,['Lait'],3,,,,2,+22%,B,+22%,,,,
1586,Soupette apéritif tomate et serpolet - Les Cols Rouges,3760252750159,['Les Cols Rouges'],['France'],"['Eau', 'tomate ', '35', '9 %', 'pomme de terre', 'sel de mer', 'sucre', 'serpolet ', '0,3%']",[],?,18,75 kj(18 kcal),"0,1",0,"3,3","1,3","0,6","0,6","0,24",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de tomate']",,,0.1 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0.6 g,en quantité modérée,,-57%,-57%,-94%,-100%,-41%,-57%,-43%,-19%,-19%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,3,,,,2,+33%,B,+33%,,,,
1587,Foie gras de canard entier au figues - Paysan Gersois - 180g,3760252810105,['Paysan Gersois'],['France'],"['Foie gras de canard entier', 'figues', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,445,1862 kj(445 kcal),42,18,8,"5,4",7,1,"0,4",B,180 g,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['Sans additifs', 'Sans conservateurs', 'Sans nitrite de sodium']",,42 g,en quantité élevée,18 g,en quantité élevée,5.4 g,en quantité modérée,1 g,en quantité modérée,,-16%,-16%,-23%,-22%,+231%,+300%,-7%,-17%,-17%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,3,,,,20,-3%,E,-3%,,,,
1588,Marinade tex mex - Levante,3760252900011,['Levante'],['France'],[],[],?,743,3109 kj(743 kcal),"78,4","8,3","4,3","0,7","3,8",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Ch'ti miel de forêt,3760252930100,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1590,Ch'ti miel de thym,3760252930377,,['France'],[],[],?,304,1272 kj(304 kcal),0,0,82,82,"0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Ch'ti pain d'épices nature au miel - Le royaume des abeilles,3760252931008,['Le royaume des abeilles'],['France'],[],[],?,?,,?,,?,,?,,,B,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,
1592,Whey myrtille - Prestigious,3760253010092,['Prestigious'],['France'],"['do do 95,38 0', '738?', ' do goar', 'gomnv de 2', '306ËS', ' colorants ', 'betterave tcuce ', 'E 162', ' sirop do caramel', ' édulcorants : K ', 'E950', 'sucralose ', 'E955', ' chlorure de Na Soiae lait', ' lactose', "" Mélanger 309 de poudre dans 200m1 d'eau tempérée""]",['Non végétalien'],?,406,1699 kj(406 kcal),"8,1","5,9","6,3",5,76,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E162 - Rouge de betterave', 'E950 - Acésulfame K', 'E955 - Sucralose']",['Lait'],4,,,,,,,,,,,
1593,Protéine Vegan,3760253010962,,['France'],[],"['Végétalien', 'Végétarien']",?,364,1523 kj(364 kcal),"6,75","4,42","6,75","0,1","78,7","3,26","1,304",,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Saumon fumé superieur - Armoric,3760253170468,['Armoric'],['France'],"['Saumon Atlantique ', 'Salmo salar', "" issu d'animaux nourris sans OGM conformément au cahier des charges Saumon Supérieur "", '972 %', 'sel ', '2,8 0%', ',']","['Non végétalien', 'Non végétarien']",?,205,858 kj(205 kcal),13,"1,9","< 0,5","< 0,5",22,"2,8","1,12",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['en:produced-in-bretagne'],,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,,+7%,+8%,+17%,-12%,+1%,+40%,-0%,-3%,-3%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,3,,,,13,-4%,D,-4%,,,,
1595,Saumon fumé de Norvège - Armoric,3760253170499,['Armoric'],['France'],"['Saumon Atlantique ', 'Salmo sa/ar', ' ', '97,8%', 'sel ', '2,2']","['Non végétalien', 'Non végétarien']",?,205,858 kj(205 kcal),13,"1,9","0,5","0,5",22,"2,2","0,88",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['en:produced-in-bretagne'],,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en quantité élevée,,+11%,+11%,+24%,-8%,+1%,+50%,-0%,-22%,-22%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,['Poisson'],,,,,12,-8%,D,-8%,,,,
1596,Saumon Atlantique fumé,3760253170857,,['France'],[],[],?,210,879 kj(210 kcal),13,"1,9","0,5","0,5",22,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+11%,+11%,+20%,-11%,-6%,+47%,-0%,+7%,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,13,-3%,D,-3%,,,,
1597,Saumon atlantique fumé bio -,3760253170901,,['France'],[],[],?,201,841 kj(201 kcal),12,"2,4","0,5","0,5",22,"2,8","1,12",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']","['Bio', 'Agriculture UE/Non UE']",,12 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,,+6%,+6%,+11%,+12%,-6%,+47%,-0%,0%,0%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,14,+4%,D,+4%,,,,
1598,Specialité végétale au lair d'amande,3760253220088,,['France'],[],[],?,349,1460 kj(349 kcal),36,21,6,"0,35","1,14","0,44","0,176",,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Le José - Jay & Joy,3760253220125,['Jay & Joy'],['France'],"['Noix de cajou bio ', '58%', '*', 'chanvre décortiqué bio', 'eau', 'ferment bio', 'sel de Guérande', 'fleurs de bleuet bio', ' *peut contenir des allergènes', "" traces éventuelles d'amandes""]","['Végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),35,6,17,4,19,1,"0,4",,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:The Vegan Society']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Le José - Jay & Joy,3760253220125,['Jay & Joy'],['France'],"['Noix de cajou bio ', '58%', '*', 'chanvre décortiqué bio', 'eau', 'ferment bio', 'sel de Guérande', 'fleurs de bleuet bio', ' *peut contenir des allergènes', "" traces éventuelles d'amandes""]","['Végétalien', 'Végétarien']",?,472,1975 kj(472 kcal),35,6,17,4,19,1,"0,4",,,,"['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:The Vegan Society']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,José Cumin - Jay& Joy,3760253220149,['Jay& Joy'],['France'],"['Noix de cajou bio* ', '58%', 'graines de tournesol bio', 'eau', 'chanvre décortiqué bio', 'ferments bio', 'sel de Guérande', 'cumin bio,curcuma bio', 'poivre noir bio', ' *peut contenir des allergènes', ""traces éventuelles d'amandes""]","['Végétalien', 'Végétarien']",?,466,1950 kj(466 kcal),35,6,18,5,18,1,"0,4",,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Jeta Jalisco,3760253220217,,['France'],[],"['Végétalien', 'Végétarien']",?,349,1460 kj(349 kcal),36,21,6,"0,35","1,44","0,44","0,176",,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Jeta,3760253220224,,['France'],[],"['Végétalien', 'Végétarien']",?,349,1460 kj(349 kcal),36,21,6,"0,35","1,14","0,44","0,176",,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Cookie nougat de Montélimar,3760253290036,,['France'],[],[],?,476,1992 kj(476 kcal),"24,2","12,6","56,2","32,2","7,2","0,5","0,2",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,24.2 g,en quantité élevée,12.6 g,en quantité élevée,32.2 g,en quantité élevée,0.5 g,en quantité modérée,,+6%,+7%,+47%,+536%,-14%,-41%,+1%,+565%,+565%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,24,+50%,E,+50%,,,,
1605,Speculoos - La Fabrique A Cookies,3760253290043,['La Fabrique A Cookies'],['France'],"['B_EURRE SUCRE', 'VERGEOISE', 'ŒUFS', ' LNT']",['Non végétalien'],?,479,2004 kj(479 kcal),"24,5","14,49","58,3","34,7","5,8","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Œufs'],,,,,,,,,,,,
1606,Le browkie - La Fabrique - Cookies,3760253290067,['La Fabrique - Cookies'],['France'],"['Chocolats 20,9 % ', 'pâte de cacao', '53', '5 %', 'sucre', 'beurre de cacao', 'lait en poudre', 'émulsifiant : lécithine de soja', 'arôme de vanille', 'beurre', 'farine de _blé', 'sucre', 'œufs', 'vergeoise', 'noix 5,5 %', 'lait ', 'amandes', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,490,2050 kj(490 kcal),"29,5","15,59","47,7",31,"7,3","0,314","0,126",D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,29.5 g,en quantité élevée,15.6 g,en quantité élevée,31 g,en quantité élevée,0.314 g,en quantité modérée,,+12%,+12%,+25%,+96%,-3%,+1%,+27%,-40%,-40%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"['Sachet', 'Plastique']",,,23,+24%,E,+24%,,['La Fabrique - Cookies'],,
1607,Penne Rigate - Italians Do It Better,3760253400091,['Italians Do It Better'],['France'],"[""SEMOULE DE DUR DE QUALITE SUPÉRIEURE ET EAU DE SOURCE / INGRE - GRIESMEEL VAN HARDE VAN SUPERIEURE KWALITEIT EN BRONWATER 11 PUO' CONTENERE TRACCE Dl UOVA E SOtA 1 PEUT CONTENIR OES TRACES D'OEUFS ET DE SOIA KAN SPOREN BEVATTEN VAN EIEREN EN / CONSERVER DANS UN ENDROIT FRAIS ET SEC 1 CONSÉRVARE IN LUOGO FRESCO E ASCIUTTO / OP EEN DROGE EN KOELE PLAATS BEWAREN 1""]",[],?,351,1469 kj(351 kcal),"1,2","0,2",72,4,12,"0,06","0,024",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,1.2 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.06 g,en faible quantité,,-0%,-1%,-29%,-46%,+3%,+37%,0%,+413%,+413%,,,,,,,,,"['Œufs', 'Soja']",,,,,-4,,A,,,,,
1608,Fusilli - Italians Do It Better,3760253400107,['Italians Do It Better'],['France'],['SEMOULE DE BLÉ DUR DE QUALITE SUPERIEURE ET EAU DE SOURCE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,351,1469 kj(351 kcal),"1,2","0,2",72,4,12,"0,06","0,024",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']",,,1.2 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.06 g,en faible quantité,,-0%,-1%,-39%,-52%,+6%,+43%,-2%,+128%,+128%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,"['Œufs', 'Gluten', 'Soja']",1,,,,-4,,A,,,,,
1609,Spaghetti - Italians do it better,3760253400114,['Italians do it better'],['France'],[],[],?,351,1469 kj(351 kcal),"1,2","0,2",72,4,12,"0,06","0,024",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,1.2 g,en faible quantité,0.2 g,en faible quantité,4 g,en faible quantité,0.06 g,en faible quantité,,0%,-1%,-31%,-46%,+4%,+35%,+2%,+149%,+149%,,,,,,,,,,,,,,-1,,A,,,,,
1610,Les Poissons Sauvages Thon blanc Germon fumé - Petit Navire - 120g,3760253430050,['Petit Navire'],['France'],"['Thon germon ', 'Thunnus alalunga', ' 97%', 'sel 3%']",[],487,?,487 kj(116 kcal),"< 0,5","< 0,1","< 0,5","< 0,5",28,3,"1,2",E,120 g,"['Produits de la mer', 'Poissons', 'Thons', 'Poissons fumés', 'Thons blancs', 'Thons fumés']","['Fabriqué en France', 'en:produced-in-bretagne', 'Pêche durable', 'Pêche durable MSC']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,3 g,en quantité élevée,,,-2%,-73%,-78%,-63%,-13%,+20%,+24%,+24%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,['Poisson'],,"['Carton', 'Plastique', 'Barquette', 'décongelé']",['France'],"['FR 29.232.500 CE', 'Quimper (Finistère, France)']",11,+34%,D,+34%,,['Cora'],,
1611,Les Poissons Sauvages Cabillaud Fumé - Petit Navire - 120g,3760253430067,['Petit Navire'],['France'],"['Cabillaud ', 'Gadus morhua', ' 97%', 'sel 3%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",375,?,375 kj(90 kcal),"0,7","0,2","< 0,5","< 0,5",21,3,"1,2",E,120 g,"['Produits de la mer', 'Poissons', 'Frais', 'Morues', 'Poissons fumés', 'Cabillaud fumé']","['Fabriqué en France', 'en:produced-in-bretagne', 'Pêche durable', 'Pêche durable MSC', 'MSC-C-50496']",,0.7 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,3 g,en quantité élevée,-54%,,-61%,-96%,-93%,-85%,+55%,+72%,+252%,+252%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,['Poisson'],3,"['Frais', 'Barquette', 'Plastique', 'Décongelé']","['Quimper', 'Bretagne', 'France', 'Finistère']","['FR 29.232.500 CE', 'Quimper (Finistère, France)', 'MSC-C-50496']",11,+125%,D,+125%,Tranches de cabillaud fumé,['Cora'],,
1612,Emincés de saumon fumé nature - Petit Navire,3760253430074,['Petit Navire'],['France'],"['Emincés de Norvège', 'fumé', ' Produit']",[],?,205,858 kj(205 kcal),13,"1,9","0,5","0,5",22,3,"1,2",D,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['en:produced-in-bretagne'],,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+11%,+11%,+24%,-8%,+1%,+50%,-0%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,13,-1%,D,-1%,,,,
1613,Saumon d'Alaska Fumé - Petit navire,3760253430449,['Petit navire'],['France'],"['Saumon rouge du Pacifique ', 'Oncorhynchus nerka', ' 97 %', 'sel 3 0%']","['Non végétalien', 'Non végétarien']",?,145,607 kj(145 kcal),"4,7",1,1,"0,5",25,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['Pêche durable', 'Pêche durable MSC']",,4.7 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,3 g,en quantité élevée,,-22%,-21%,-55%,-51%,+102%,+50%,+13%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,1,,,"['FR 29.232.500 CE', 'Quimper (Finistère, France)', 'MSC-C-50496']",11,-16%,D,-16%,,,,
1614,Palets au thon dorés - Petit Navire,3760253430487,['Petit Navire'],['France'],[],[],?,257,1075 kj(257 kcal),19,"2,6","8,2","1,7",12,"0,9","0,36",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Palets au colin d'Alaska - Petit Navire,3760253430494,['Petit Navire'],['France'],[],[],?,271,1134 kj(271 kcal),21,"2,7","7,1","1,5",12,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Saumon D'Alaska Fumé - Petit Navire,3760253430586,['Petit Navire'],['France'],[],[],?,145,607 kj(145 kcal),"4,7",1,1,"0,4",25,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['en:produced-in-bretagne', 'Pêche durable', 'Pêche durable MSC']",,4.7 g,en quantité modérée,1 g,en faible quantité,0.4 g,en faible quantité,3 g,en quantité élevée,,-22%,-21%,-55%,-51%,+102%,+20%,+13%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,11,-16%,D,-16%,,,,
1617,Saumon fumé Norvège - Petit Navire,3760253430647,['Petit Navire'],['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97%', 'sel 3%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",857,?,857 kj(205 kcal),13,"1,9","< 0,5","< 0,5",22,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']","['Aquaculture responsable', 'Aquaculture responsable ASC', 'en:produced-in-bretagne']",,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,+11%,,+11%,+24%,-8%,+1%,+50%,-0%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,['Poisson'],3,,"['Bretagne', 'France']",,13,-1%,D,-1%,,,,
1618,Saumon fumé Ecosse - Petit Navire,3760253430654,['Petit Navire'],['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97%', 'sel 3%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,185,774 kj(185 kcal),11,"2,2","0,8","0,5",22,3,"1,2",E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage"", 'en:smoked-salmons-from-scotland']",['Fabriqué en France'],,11 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+3%,+3%,+12%,+11%,+47%,+52%,+1%,+6%,+6%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,3,,,,14,+6%,D,+6%,,,,
