,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
1677,Chaussons aux pommes,0205460019689,['France'],[],[],?,336,1406 kj(336 kcal),20,14,34,11,"4,1","0,6","0,24",,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,20 g,en quantité modérée,14 g,en quantité élevée,11 g,en quantité modérée,0.6 g,en quantité modérée,,+7%,+7%,+11%,+22%,+3%,+4%,+5%,+0%,+0%,18,+6%,D,+6%,,,,B,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,
1678,"Seazon Poulet, écrasé de pomme de terre & chou",0748367062964,['France'],[],[],?,99,414 kj(99 kcal),4,1,7,1,9,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Saucisses de Strasbourg intermarché,0211185019026,['France'],[],[],?,297,1243 kj(297 kcal),"27,1",11,1,"0,9","12,3","1,96","0,784",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,,,,,27.1 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.96 g,en quantité élevée,,+8%,+8%,+12%,+19%,-30%,-20%,-2%,+1%,+1%,21,+10%,E,+10%,,,,E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,
1680,Raviolis artisanaux épinards & basilic - SEAZON,0748367062599,['France'],[],[],?,173,724 kj(173 kcal),8,2,19,2,6,1,"0,4",,,['SEAZON'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Filet de poulet,2860148043561,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1682,Nougats,3760115960374,['France'],[],[],?,397.9,1665 kj(397 kcal),"1,7","1,7",92,83,"3,3","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Calabresi,8032793500025,['France'],[],[],?,356,1490 kj(356 kcal),"1,5","0,3","71,7",3,"11,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Temple du ciel,6971588950022,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Galettes Bretonnes,3700754780018,['France'],[],[],?,482,2017 kj(482 kcal),"19,9","13,8","70,3","27,1","6,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Nougats,3760115960046,['France'],[],[],?,3,13 kj(3 kcal),"1,7","1,7",92,83,"3,3","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Grisbi Hazelnut,03051061,['France'],[],[],?,16.700000762939,70 kj(16 kcal),"31,9","12,6","56,2",30,"6,1","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,La Brandade de Morue,0208978045850,['France'],[],[],?,156,653 kj(156 kcal),"9,6","0,9","10,1","0,3","7,2","0,8","0,32",,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,,,,,9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,-29%,-29%,-42%,-57%,+28%,-58%,+6%,-8%,-8%,0,-100%,B,-100%,,,,E,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,
1689,Red Tea,0613008754686,['France'],[],[],?,70,293 kj(70 kcal),0,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Framboizettes,3286110002616,['France'],[],[],?,549,2297 kj(549 kcal),35,13,48,44,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,DOUBLE MINT HERBAL INFUSION,5054781308423,['France'],[],[],?,22,92 kj(22 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,8423759050645,8423759050645,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Poivre Noir Cubèbe Bio,3760162881646,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Boulots cuits,3250392886448,['France'],[],[],?,99,414 kj(99 kcal),"1,1","0,5","3,5",0,"18,9","1,57","0,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Confiture 4 fruits rouges - Eco+,3450970176880,['France'],[],[],?,246,1029 kj(246 kcal),"0,5","0,1",60,50,"0,5","< 0,01","0,004",,,"['Eco+', 'Leclerc']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']","['Nutriscore', 'Nutriscore D']",,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,50 g,en quantité élevée,0.01 g,en faible quantité,,+13%,+12%,+97%,+119%,+15%,-1%,-8%,-51%,-51%,11,+16%,D,+16%,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
1696,Chicken caesar,5425015408910,['France'],[],[],?,177,741 kj(177 kcal),"11,6","3,1","5,5","0,6","11,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Kiri snack,3073781093872,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Tempero para frango,5605458200870,['France'],[],[],?,49,205 kj(49 kcal),"0,5","0,1",10,"2,6","2,2",12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Polenta bergamasca come una volta,8000113003402,['France'],[],[],?,?,,1,"0,2","77,3","0,4","7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Miel de l’apiculteur de Normandie,3088541006405,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Croissant,0201347008203,['France'],[],[],?,381,1594 kj(381 kcal),21,15,40,"7,1",7,"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Paris,0636046355240,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Yaourt,3302010100228,['France'],[],[],?,262,1096 kj(262 kcal),3,"2,2","5,9","3,1",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Berlingots,3700345907343,['France'],[],[],?,396,1657 kj(396 kcal),"1,5","0,1",97,65,2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Tarallini,5060198644139,['France'],[],[],?,483,2021 kj(483 kcal),21,"2,6",66,"1,3",8,"1,39","0,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,pain farine locale,3276556564519,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,What i drink,5420051402052,['France'],[],[],?,21,88 kj(21 kcal),0,0,"5,3","5,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Creme d’Isigny AOP,0200521005908,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,The vert a la menthe a l’arome naturel de rose,3585810087399,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Creme fraiche fermière,3760071180168,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Proscuitto cotoo,8007141512463,['France'],[],[],?,154,644 kj(154 kcal),"8,2","2,9",1,1,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Découpe de poulet fermier bio élevé en plein air,0213044063638,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Yaourt à la grecque,7840000000050,['France'],[],[],?,95,397 kj(95 kcal),"7,3","4,8",4,4,"3,5","0,13","0,052",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,,,,7.3 g,en quantité modérée,4.8 g,en quantité modérée,4 g,en faible quantité,0.13 g,en faible quantité,,-19%,-19%,+6%,+8%,-54%,-50%,-21%,+12%,+12%,3,-26%,C,-26%,,,,,,,,,,,,,,,
1714,Comte aop,2411860027713,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
1715,Pain complet,3461181513081,['France'],[],[],?,848,3548 kj(848 kcal),11,"0,2",10,"2,7",75,11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Croustilles choc noisette biovvrac,0206154035497,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Grissani fiocchi d'orzo con faro integrale da appassionare,8006837002516,['France'],[],[],?,426,1782 kj(426 kcal),10,"2,1",69,2,1,"2,28","0,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Yopa,0209994006238,['France'],[],[],?,97,406 kj(97 kcal),"2,1","1,4","11,3","10,8","7,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Jus de pomme - Franprix,3263857283416,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,10,0,0,0,,,['Franprix'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']","['Nutriscore', 'Nutriscore C']",,['Franprix'],,,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,+1%,-3%,-100%,-100%,-100%,4,-3%,C,-3%,,,,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,
1720,DJ galette,3760269154230,['France'],[],[],?,482,2017 kj(482 kcal),"19,9","13,8","70,3","27,1","6,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Duo choco 6 parts,,['France'],[],[],?,400,1674 kj(400 kcal),24,13,40,35,"5,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,3 mini préfous fromager,16336063,['France'],[],[],?,347,1452 kj(347 kcal),19,11,35,"2,4","7,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Capsule Twinings GREEN TEA & MINT,1063940336348,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Huile d’olive - Viv'olio,3445020006804,['France'],[],[],?,819,3427 kj(819 kcal),91,15,0,0,0,0,0,,,"[""Viv'olio""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Born of rage,3525722022637,['France'],[],[],?,32,134 kj(32 kcal),0,0,"4,3","0,4","3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Sablés aux flocons d'avoine - McVitie's,5000396051742,['France'],[],[],?,494,2067 kj(494 kcal),"23,3","11,5","61,4","32,3",7,"0,75","0,3",,,"[""McVitie's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Prosciutto cotto -,8004263682852,['France'],[],[],?,121,506 kj(121 kcal),3,"0,7","0,6","0,5",23,"1,4","0,56",,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,,3 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-8%,-7%,-38%,-62%,-10%,-16%,+9%,-25%,-25%,2,-72%,B,-72%,,,,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,
1728,Prosciutto cotto,8004263694930,['France'],[],[],?,170,711 kj(170 kcal),10,"4,1","0,9","0,8",19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Energy drink,4313042780714,['France'],[],[],?,3,13 kj(3 kcal),0,0,14,"0,11",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,CACAOTINES,3770008976412,['France'],[],[],?,370,1548 kj(370 kcal),19,0,46,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Oeufs,8004263690437,['France'],[],[],?,126,527 kj(126 kcal),"8,7","3,2","3,2","3,2",12,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Merguez,3018170402880,['France'],[],[],?,301,1259 kj(301 kcal),27,13,"0,9","0,9",13,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Poitrine de porc fumée,2238769024731,['France'],[],[],?,312,1305 kj(312 kcal),28,11,1,1,14,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Latticino fresco -30%,4019300053063,['France'],[],[],?,160,669 kj(160 kcal),13,9,3,3,7,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,Potlatch Seasoning Salmon & Seafood Spice Rub,6818918,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Vinaigre balsamique a la figur,3700600308014,['France'],[],[],?,121,506 kj(121 kcal),"0,1",0,"27,9",27,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Escalope de dinde,2600277022569,['France'],[],[],?,109,456 kj(109 kcal),"0,8","0,4","0,5","0,5",25,"0,1","0,04",,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,0.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-10%,-10%,-39%,-1%,-83%,-35%,+9%,-82%,-82%,-4,,A,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,
1738,Sel De Mer Grossier,0066010079702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Crazy Roll Chewing-Gum,6931925806542,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Tressée tranchée pur beurre,3284234447146,['France'],[],[],?,348,1456 kj(348 kcal),13,"8,2",48,14,"8,3","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Poulet,2701391004865,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Steak hache,3039050335227,['France'],[],[],?,207,866 kj(207 kcal),15,"6,2",0,0,18,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Mini toasts grillés,3760293200309,['France'],[],[],?,408,1707 kj(408 kcal),"6,2","0,9",72,"2,8",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Fraise Melba,0209459019353,['France'],[],[],?,216,904 kj(216 kcal),"0,8",0,49,22,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Picoussels à la noisette de Flagnac,3770013656347,['France'],[],[],?,93.7,392 kj(93 kcal),"5,44","1,13","6,6","3,34","5,04","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Chocolate whey balls dark chocolate,000111106,['France'],[],[],?,940,3933 kj(940 kcal),22,"13,8","47,5","19,1","4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Porc pané,3434100077421,['France'],[],[],?,281,1176 kj(281 kcal),18,"5,6","14,5","1,6",14,"1,59","0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Cuisse de poulet rôti - Le Gaulois,0217637027168,['France'],[],[],?,699,2925 kj(699 kcal),10,"2,6",0,0,19,"1,4","0,56",,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,+266%,+265%,-19%,-22%,-100%,-100%,+3%,+84%,+84%,16,+353%,D,+353%,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1749,Hob’Nobs,05834792,['France'],[],[],?,504,2109 kj(504 kcal),"26,5","15,4","57,1","5,5","6,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Viande haché,990530101017007159,['France'],[],[],?,125,523 kj(125 kcal),5,"2,2","0,5","0,5",20,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Huile au basilic,8010835001327,['France'],[],[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Forêt noire,3021990096306,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Les pepites,3700829007873,['France'],[],[],?,583,2439 kj(583 kcal),45,17,31,28,"9,5","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Wrap Porc Sauce Barbecue à la Japonaise,29076444,['France'],[],[],?,203,849 kj(203 kcal),"6,6","1,4","26,9","6,9","8,1","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Lupins en saumure,2600174009977,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Tête roulée bardee,3254560553699,['France'],[],[],?,241,1008 kj(241 kcal),19,"6,8","0,3","0,3",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Jambon sans sel nitrité,3760077001405,['France'],[],[],?,501,2096 kj(501 kcal),"3,6","1,2","3,6","0,8","20,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Fleur de sel de guérande,3700116102144,['France'],[],[],?,37,155 kj(37 kcal),"0,98","0,91","5,78","5,07","1,35",12,"4,8",,,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']",,,,,,0.98 g,en faible quantité,0.91 g,en faible quantité,5.07 g,en quantité modérée,12 g,en quantité élevée,,,+15400%,+791%,+1254%,+5107%,+4468%,+1116%,-81%,-81%,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,
1759,Miel,3770008880108,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Crème de Mûre,3032230113523,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Gnocchetti,8009344202837,['France'],[],[],?,122,510 kj(122 kcal),"0,8","0,1",23,"4,4","3,6","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2 cuisses de Poulet Rôties,12336869,['France'],[],[],?,172,720 kj(172 kcal),"9,9","7,6","0,6","0,4","20,1","1,34","0,536",,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,9.9 g,en quantité modérée,7.6 g,en quantité élevée,0.4 g,en faible quantité,1.34 g,en quantité modérée,,-10%,-10%,-20%,+127%,+89%,+158%,+9%,+76%,+76%,14,+297%,D,+297%,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
1763,Poulet,0211993050440,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Magret,3515810202423,['France'],[],[],?,300,1255 kj(300 kcal),"25,6","8,1","0,7","0,6","17,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Mini beignet fourrres,0202179022306,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Thé Noir Parfumé Macaron,3457041146445,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Mayo poivron & piment d'espelette,3760226461845,['France'],[],[],?,640,2678 kj(640 kcal),"70,1","5,9","1,3","1,2",1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Olio di semi di arachide,8002210112865,['France'],[],[],?,823,3443 kj(823 kcal),91,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Lentille au chocolat,4043651146402,['France'],[],[],?,464,1941 kj(464 kcal),16,"9,9",76,75,"2,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Gouda holland au cumin,2274502017714,['France'],[],[],?,375,1569 kj(375 kcal),"30,8",21,"0,5","0,5","23,7","1,9","0,76",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",,,,,,30.8 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+0%,+1%,0%,0%,+122%,+131%,0%,+4%,+4%,17,+3%,D,+3%,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
1771,Brassé saveur banane bio,3250392914257,['France'],[],[],?,90,377 kj(90 kcal),"3,2","2,2","12,6","9,6","2,5",,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Chocolat Madagascar 100% - Reine Astrid,3760257890065,['France'],[],[],?,621,2598 kj(621 kcal),53,20,"17,5",1,12,"0,2","0,08",,,['Reine Astrid'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,53 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,0.2 g,en faible quantité,,+12%,+12%,+35%,-13%,-55%,-97%,+57%,+328%,+328%,12,-43%,D,-43%,,,,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,
1773,Route 11 Potato Chips Barbeque,0044935000223,['France'],[],[],?,529.1005,2214 kj(529 kcal),"28,219","1,764","56,437","3,527","7,055","1,146","0,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,2 escalopes de dinde,2600499028011,['France'],[],[],?,105,439 kj(105 kcal),"0,5","0,5","0,5","0,5",25,"0,1","0,04",,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-13%,-13%,-62%,+24%,-83%,-35%,+9%,-82%,-82%,-4,,A,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,
1775,Vin,8414319002297,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Biocola,8020033000855,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Farine de riz blanc,3266191037349,['France'],[],[],?,351,1469 kj(351 kcal),"0,8","0,2",80,0,"5,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,Véritable merguez,2676379022509,['France'],[],[],?,202,845 kj(202 kcal),15,"5,8",24,"1,8",14,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
