,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
55,Tradition - McCain - 2.47kg,8710438115505,B,['McCain'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Sans conservateurs', 'en:peanut-free', 'Pommes de terre de France']",['Géant'],['France'],"['Pommes de terre ', '96%', 'huile de tournesol ', '4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,559,-10%,133,-12%,559 kj(133 kcal),-13%,4,-19%,"0,4",-39%,"20,5",-10%,"0,5",+1%,"2,5",0%,"0,1",-65%,"0,04",-65%,-2,,A,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,2.47 kg,3,['Sachet plastique opaque'],,,['France'],,,,,,,,
56,Halo top birthday cake -  - 473ml,1230000022071,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,"['France', 'en:Vereinigtes Königreich']",[],[],2 g,en faible quantité,1 g,en faible quantité,5.1 g,en quantité modérée,0.17 g,en faible quantité,?,,59,-75%,247 kj(59 kcal),-75%,2,-83%,1,-87%,12,-57%,"5,1",-78%,4,+27%,"0,17",+13%,"0,068",+13%,-1,-107%,A,-107%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,473 ml,,,,,,,,,,,,,
57,Single orign Columbia medium roast - Starbucks,7613036963039,,['Starbucks'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['mixedPlasticFilm-packet'],,,,,,,,,,,
58,Biscuits noisettes & Raisins - Bio Soleil - 130g,3423720032019,C,['Bio Soleil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']","['Bio', 'Bio européen', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],"['Farine de blé T80*', 'flocons d’avoine*', 'raisins* ', '15%', ' ', 'raisin sultanine*', 'huile de tournesol*', 'noisettes* ', '9%', 'huile de tournesol oléique désodorisée* ', 'antioxydant : extrait de romarin*', 'pâte de dattes*', 'poudres à lever ', 'bicarbonate de sodium', 'bicarbonate d’ammonium', 'sel de mer non raffiné']",['Sans huile de palme'],15.3 g,en quantité modérée,1.9 g,en quantité modérée,13.2 g,en quantité élevée,0.42 g,en quantité modérée,1771,-5%,422,-6%,1771 kj(422 kcal),-6%,"15,3",-6%,"1,9",-69%,"58,4",-12%,"13,2",-58%,"9,7",+32%,"0,42",-11%,"0,168",-11%,-1,-106%,A,-106%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,130 g,3,"['Carton', 'Plastique']","['E392 - Extrait de romarin', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Gluten', 'Fruits à coque']",['Estrablin'],,,Nature&Bienfaits Biscuits Noisettes & Rasins,,,,,
59,Pur jus de Pamplemousse rose - Pouce - 1L,3596710473137,C,"['Pouce', 'Auchan']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['Auchan'],['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,7.6 g,en quantité élevée,0.01 g,en faible quantité,?,,34,-13%,142 kj(34 kcal),-13%,"0,5",+142%,"0,1",+194%,"7,6",-13%,"7,6",-5%,"0,5",+3%,"0,01",+17%,"0,004",+17%,1,-46%,B,-46%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,,,,,,,,,,,,,
60,oeufs fermiers label rouge -,3701002403291,D,,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules']",['Label Rouge'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,
61,Yaourt à la grecque vanille - Auchan - 600g (4x150g),3596710472970,,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de vache', 'Yaourts à la grecque', 'Yaourts vanille']",,['Auchan'],['France'],[],[],7.3 g,en quantité modérée,4.7 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,527,+40%,126,+30%,527 kj(126 kcal),+30%,"7,3",+108%,"4,7",+109%,13,+9%,12,+8%,"2,5",-35%,"0,1",-7%,"0,04",-7%,6,+123%,C,+123%,,,,,,,,600 g (4x150g),,,,,,,,,,,,,
62,Délice soja mousse au chocolat - Nat & Vie - 2x 70g,3564706562462,,"['Nat & Vie', 'Marque Repère']",,"['Végétarien', 'Végétalien']",['Leclerc'],['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,180,,753 kj(180 kcal),,"9,5",,"6,6",,19,,18,,"3,4",,"0,2",,"0,08",,,,,,,,,,,,,2 x 70 g,,,,,,,,,,,,,
63,couronne de crevettes sauce fines herbes - delpierre - 130g,13363703,D,['Delpierre'],"['Produits de la mer', 'Crustacés', 'Crevettes']",,['Geant'],['France'],"['Couronne de crevettes decortiquees cuites refrigerees et sauce aux fines herbes ingredients,Crevettes 75% ', 'Penseus vernamei', ' sel', 'Conservateur E202', 'antioxydant: E223 sulfites', ' acidifiant E330 Sauce fines herbes 23% Eau', 'creme fraiche', ' fromage frais', 'huile de colza amidon modifie de pomme de terre', 'vinaigre', 'Sucre', ' ciboulette 2', '5%', ""jaune d'œuf sel moutarde de Dijon "", 'eau', ' graines de moutarde vinaigre sel', 'antioxydant E224 ', 'sulfites', ' acidifiant E330', 'persil 1%', ' epaississants E412-E415-E466 ail', 'acidifiant E330', 'conservateur: E202', 'epice Contient crustaces sulfites lait oeuf et moutarde', ' Traces possibles de rmollusques poisson soja gluten']","['Non végétalien', 'Non végétarien']",4.3 g,en quantité modérée,1.4 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,113,+7%,473 kj(113 kcal),+8%,"4,3",+95%,"1,4",+205%,2,+83%,"0,9",+158%,17,-7%,"1,8",+22%,"0,72",+22%,4,+61%,C,+61%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,130 g,4,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose']","['Crustacés', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']",,,,,,,
64,Nectar De Melocoton Jumex,7501013122053,D,['Jumex'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons avec sucre ajouté']",['100% naturel'],,"['France', 'Mexique', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,12.4 g,en quantité élevée,0.0589 g,en faible quantité,211,+12%,?,,211 kj(50 kcal),+4%,0,-100%,0,-100%,"12,4",+9%,"12,4",+16%,0,-100%,"0,059",+514%,"0,024",+514%,17,+25%,E,+25%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
65,"Tropicana Pure premium orange sans pulpe lot de 6 x 1,5 L dont 1 L offert - 9000ml",3502110010759,D,['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sans pulpe""]","['Point Vert', 'Sans sucre ajouté']",,['France'],"[""Jus d'orange""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,8.9 g,en quantité élevée,0 g,en faible quantité,182,,43,-2%,182 kj(43 kcal),-1%,0,-100%,0,-100%,"8,9",-6%,"8,9",-1%,"0,8",+21%,0,-100%,0,-100%,3,+6%,C,+6%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,9000 ml,1,,,,,,,Jus d'orange,,,,,
66,Sauce tomates poivrons aubergines - Franprix - 190g,3263850667299,,['Franprix'],"['Epicerie', 'Sauces', 'Sauces pour pâtes']",,['Franprix'],['France'],"['poivrons rouges et jaunes 29% - tomates concassées 29% ', 'tomates - jus de tomates', "" - aubergines 12% - double concentré de tomates 9% - huile d'olive vierge extra 5% - crème - oignons - persil - ail - sel - origan - fibre d'agrumes - jus de citron concentré - thym - poivre""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",6.8 g,en quantité modérée,2 g,en quantité modérée,3.7 g,en faible quantité,0.9 g,en quantité modérée,?,,94,-31%,393 kj(94 kcal),-30%,"6,8",-26%,2,+16%,5,-24%,"3,7",-21%,"1,7",-49%,"0,9",-29%,"0,36",-29%,-3,-159%,A,-159%,,,,,,,,190 g,3,,,['Lait'],,"['EMB 84080I', 'Monteux (Vaucluse, France)', 'EMB 84080', 'Monteux (Vaucluse, France)']",,,,,,,
67,BLEDINER 210g Riz Carottes Dès 6 mois - Blédina - 210g,3041091470386,,"['Blédina', 'Blediner']","['Aliments pour bébé', 'Dès 6 mois']","['en:gluten-free', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,['France'],"['Farine de riz 50,3 % - Maltodextrine - Sucre - Amidon de maïs - Carotte en poudre 5,00 % - Tomate en poudre - Huile de palme - Oignon en poudre - Emulsifiant : Lécithine de soja ', 'SOJA', ' - Antioxydant : Acide ascorbique - Vitamine B1']",['Huile de palme'],,,,,,,,,1566,+440%,369,+284%,1566 kj(369 kcal),+331%,"2,3",+45%,"0,8",+25%,"81,5",+504%,"13,8",+84%,"4,3",+101%,"0,06",+2%,"0,024",+2%,,,,,,,,,,,,210 g,4,,"['E322i - Lécithine', 'E300 - Acide ascorbique']",['Soja'],,,,Préparation à base de céréales instantanées adaptée à bébé.,['Huile de palme'],,,,
68,Bière blanche pasteurisée - Lidl - 50cl,20703592,C,['Lidl'],"['Boissons', 'Boissons alcoolisées', 'Bières']","['Fabriqué en Allemagne', 'Déconseillé aux femmes enceintes', 'en:Drinkaware']",['Ikea'],['France'],"['eau', 'malt de blé', ""malt d'orge"", 'extrait de houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,50 cl,3,"['Ecoponto Amarelo', 'Alu 41', 'Point vert', 'Tidyman wastebasket', 'Can - widely recycled']",,['Gluten'],['Allemagne'],,,"Bière blanche, pasteurisée",,,,,
69,Risotto cremeux,3770013496110,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"4,9",,"2,4",,"14,7",,"1,1",,4,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mélange classique pour salade - Auchan - 150g,8435177055300,,['Auchan'],,"['Nutriscore', 'Nutriscore A']",['Auchan'],['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,39,,"3,2",,32,,24,,14,,"0,01",,"0,004",,,,,,,,,,,,,150 g,,,,,,,,,,,,,
71,Calin - Yoplait,3297560240565,B,['Yoplait'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']",,,"['France', 'La Réunion']",[],[],3.2 g,en quantité modérée,2.1 g,en quantité modérée,4 g,en faible quantité,0.1 g,en faible quantité,?,,79,-13%,331 kj(79 kcal),-12%,"3,2",-21%,"2,1",-20%,4,-39%,4,-34%,"8,4",+30%,"0,1",-7%,"0,04",-7%,-3,-1145%,A,-1145%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,['Opercule en aluminium'],,,,,,,,,,,
72,"Thé matcha - Volvic - 0,75l",3057640531668,B,['Volvic'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,"['France', 'Allemagne']","['Zutaten Natürliches Mineralwasser Volvic ', '95%', 'Bio-Rohrzucker', 'Bio-Zitronensaft aus Zitronensaftkonzentrat', 'konzentrierter Bio - Grüntee-Aufguss ', '0,08%', 'Bio Matcha - Pulver ', '0,01%', 'natürliches Himbeer-Aroma mit anderen natürlichen Aromen', 'natürliches Aroma', 'Antioxidationsmittel: Ascorbinsäure,']",[],,,,,,,,,?,,13,+8%,54 kj(13 kcal),+12%,0,-100%,0,-100%,3,+34%,3,+148%,0,-100%,"0,01",-32%,"0,004",-32%,4,-5%,C,-5%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"0,75 l",4,,['E300 - Acide ascorbique'],,,,,,,,,,
73,Bombay Sapphire Distilled London Dry Gin,7640175740030,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Le hache pur boeuf - Carrefour,3245415788076,,['Carrefour'],,,['Carrefour'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Choco Mix - Boni,5400141247688,,['Boni'],,"['Végétarien', 'Végétalien', 'Nutriscore', 'Nutriscore A']",,"['Belgique', 'France']",[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,76,,318 kj(76 kcal),,"1,6",,1,,12,,12,,"3,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
76,3600550937367,3600550937367,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Granini 100% Natural piña pera manzana,8431707077200,D,['Granini'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['Sans colorants', 'Sans conservateurs']",,"['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,9.2 g,en quantité élevée,0 g,en faible quantité,?,,44,-4%,184 kj(44 kcal),-4%,"0,5",+196%,"0,1",+256%,"10,1",-5%,"9,2",-5%,"0,5",+28%,0,-100%,0,-100%,4,+5%,C,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
78,Noix de cajou grillées et salées auchan,8435177058691,E,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']","['Nutriscore', 'Nutriscore C']",['Auchan'],['France'],[],[],48 g,en quantité élevée,8.5 g,en quantité élevée,5.3 g,en quantité modérée,0.8 g,en quantité modérée,?,,607,-1%,2540 kj(607 kcal),-1%,48,-0%,"8,5",-7%,22,-8%,"5,3",-16%,19,-1%,"0,8",-10%,"0,32",-10%,9,+10%,C,+10%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,['Sachet'],,,,,,,,,,,
79,Pétales de blé Bran Flakes - Auchan - 375g,3596710475513,C,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Fabriqué en France', 'Nutriscore', 'Nutriscore C']",['Auchan'],['France'],"['Blé complet 63 %', 'son de blé 16 %', 'sucre', ""extrait de malt d'orge"", 'sel', 'miel', "" Traces éventuelles d'arachides"", 'de fruits à coque', 'de produits laitiers', 'de produits à base de soja', ""de graines de sésame et d'autres céréales contenant du gluten"", ' Le blé complet et le son de blé ne proviennent pas de France']",['Non végétalien'],2.6 g,en faible quantité,0.8 g,en faible quantité,19 g,en quantité élevée,0.88 g,en quantité modérée,?,,359,-10%,1502 kj(359 kcal),-10%,"2,6",-70%,"0,8",-64%,63,-6%,19,+14%,11,+18%,"0,88",+146%,"0,352",+146%,6,+11%,C,+11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,375 g,3,,,['Gluten'],,"['EMB 63430F', 'Thiers (Puy-de-Dôme, France)']",,,,,,,
80,"Yaourt brassé sucré, au citron, aromatisé - Yoplait - 480g",3329770064508,C,"['Yoplait', 'Les Laitiers Responsables', 'Llr aro']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts au lait de vache', 'Yaourts au citron']",,,['France'],"['Yaourt ', 'LAIT entier* 77', '8% - Poudre de LAIT écrémé - Ferments lactiques ', 'LAIT', ' - Sucre 8', '6% - Eau - Citron 2% - Amidon modifié de maïs - Concentrés des minéraux du LAIT - Arôme', ""LAIT D'ORIGINE FRANCE*Lait entier Les Laitiers Responsables""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2.7 g,en faible quantité,1.8 g,en quantité modérée,12 g,en quantité modérée,0.13 g,en faible quantité,389,-15%,92,-13%,389 kj(92 kcal),-12%,"2,7",-34%,"1,8",-32%,"12,8",-4%,12,-5%,"3,3",-5%,"0,13",+8%,"0,052",+8%,2,-45%,B,-45%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,480 g,4,,['E14XX - Amidons modifiés'],['Lait'],,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,"Yaourt brassé sucré, au citron, aromatisé",,,,,
81,Thé noir bio English Breackfast - Clipper,5021991942136,,['Clipper'],,"['Bio', 'Bio européen', 'Agriculture non UE', 'GB-ORG-05']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pur jus fruits du verger - Auchan - 1l,3596710475285,C,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D', 'Triman']",['Auchan'],['France'],"['Jus de pomme', 'purée de poire', 'purée de pêche*', ""purée d'abricot""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,51,+6%,213 kj(51 kcal),+6%,"0,5",+160%,"0,1",+252%,12,+8%,11,+6%,"0,5",+16%,"0,01",+25%,"0,004",+25%,6,+34%,D,+34%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 l,1,"['Bouteille', 'Verre']",,,['France'],,,,,,,,
83,Water+ essential minéral magnésium lime,5449000267399,,,,,,['France'],[],[],,,,,,,,,?,,14,,59 kj(14 kcal),,0,,0,,"3,3",,"3,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Tiramisu - Via Bio - 2x 80g,3760099538774,,['Via Bio'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-007']",,['France'],[],[],,,,,,,,,?,,277,,1159 kj(277 kcal),,14,,9,,29,,24,,"5,1",,"0,17",,"0,068",,,,,,,,,,,,,2 x 80 g,,,,,,,,,,,,,
85,Boisson avoine calcium - Source végétale,3760159103690,B,['Source végétale'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]","['Bio', 'Bio européen', 'IT-BIO-007', 'Sans sucre ajouté', 'Sans lactose']",,['France'],[],[],1.4 g,en faible quantité,0.3 g,en faible quantité,7.7 g,en quantité élevée,0.1 g,en faible quantité,?,,53,+10%,222 kj(53 kcal),+10%,"1,4",+9%,"0,3",+45%,"9,3",+18%,"7,7",+50%,"0,4",-48%,"0,1",+6%,"0,04",+6%,1,+87%,B,+87%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,,,,,,,,,,,
86,Pruneaux d'Agen - La Compagnie des Pruneaux - 500g,3663559100286,E,['La Compagnie des Pruneaux'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['Sans conservateurs'],['Grand Frais'],['France'],"[""Pruneaux d'Agen"", 'eau ', 'humidité maximum 35%']",[],0.3 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,0.01 g,en faible quantité,992,-3%,234,-3%,992 kj(234 kcal),-2%,"0,3",-17%,"< 0,1",-12%,54,+1%,35,-4%,2,+7%,"< 0,01",-28%,"0,004",-28%,-2,-191%,A,-191%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,500g,1,['Sachet plastique'],,,,,,"Pruneaux d'Agen, 33/44 fruits aux 500g",,,,,
87,Marmelade d'orange,8033650183689,,,,,,['France'],[],[],,,,,,,,,?,,143,,598 kj(143 kcal),,"0,2",,"0,05",,"35,1",,"32,1",,"0,3",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
88,Miel Brut de Ruche - Franprix,3263850565410,B,['Franprix'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['Franprix'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
89,Tortellini boeufs petits légumes - Lustucru,3240931545301,,['Lustucru'],"['Plats préparés', 'Plats à base de pâtes']","['Viande Française', 'Viande-bovine-francaise']",,['France'],[],[],11 g,en quantité modérée,3.6 g,en quantité modérée,2.3 g,en faible quantité,1 g,en quantité modérée,?,,279,+55%,1167 kj(279 kcal),+57%,11,+74%,"3,6",+48%,34,+63%,"2,3",-5%,10,+35%,1,+10%,"0,4",+10%,5,+34%,C,+34%,,,,,,,,,,,,,,,,,,,,,
90,Purée légumes du marché - Ferme d'Anchin,3490213600024,,"[""Ferme d'Anchin""]",,['Fabriqué en France'],,['France'],[],[],,,,,,,,,?,,92,,385 kj(92 kcal),,"4,8",,"3,2",,"9,1",,"3,2",,"2,1",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,,
91,8715342030258,8715342030258,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Pepinillos sabor anchoa - Rioverde,11121121,,['Rioverde'],,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Bio Energy Balls,4260593956771,,,,"['Bio', 'en:gluten-free']",,"['France', 'Suisse']",[],[],,,,,,,,,?,,430,,1799 kj(430 kcal),,"16,3",,"5,8",,"52,9",,"34,5",,"12,2",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,
94,3-saaten - Edeka - 200g,4311501662236,,['Edeka'],,,,"['France', 'Allemagne']","['Weizenvollkornmehl', '10% Sonnenblumenkerne', '7,3% Sesam', 'Roggenvollkorkmehl', '5,9% Leinsamen', 'Rapsöl', 'Roggenmehl', 'Hefe', 'Meersalz', 'Gerstenmalzmehl', ' Kann Spuren von Soja', 'Milch und Lupine enthalten']",[],,,,,,,,,?,,466,,1950 kj(466 kcal),,"22,3",,"3,1",,"46,3",,2,,"14,2",,"1,4",,"0,56",,,,,,,,,,,,,200 g,,,,['Gluten'],,,,,,,,,
95,Grill Vegetal Émincés soja et blé Curry - Céréal,3175681250987,,"['Céréal', 'Céréal bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande']","['Bio', 'Végétarien', 'Végétalien', 'Nutriscore', 'Nutriscore A']",,['France'],[],"['Végétalien', 'Végétarien']",4.3 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,141,-27%,590 kj(141 kcal),-26%,"4,3",-51%,"0,6",-56%,"2,8",-73%,"0,5",-69%,20,+41%,"1,9",+76%,"0,76",+76%,-1,-195%,A,-195%,,,,,,,,,,,,,,,,,,,,,
96,3660005574011,3660005574011,,,,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pulpe de tomates Datterini - Mutti - 300g,8005110000416,,['Mutti'],,['Sans sucre ajouté'],,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,2",,"0,1",,"5,3",,"3,9",,"1,2",,"0,2",,"0,08",,,,,,,,,,,,,300 g,,['boîte'],,,,,,,,,,,
98,Granola graines gourmandes et noisettes - Biocoop - 500g,3760121214478,B,['Biocoop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['Bio'],['Biocoop'],['France'],[],[],15 g,en quantité modérée,2.2 g,en quantité modérée,12 g,en quantité modérée,0.01 g,en faible quantité,?,,438,+5%,1833 kj(438 kcal),+5%,15,+15%,"2,2",-34%,60,-1%,12,-29%,11,+12%,"0,01",-94%,"0,004",-94%,-1,-120%,A,-120%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,500 g,,,,,,,,,,,,,
99,Barilla Specialita'spagh. rigati GR. 500 - 500g,8076809569552,,['Barilla'],,,,['France'],[],[],,,,,,,,,?,,15,,63 kj(15 kcal),,2,,"0,4",,"70,2",,"3,5",,"13,5",,"0,013",,"0,005",,,,,,,,,,,,,500 g,,,,,,,,,,,,,
