,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
25,Escalope de poulet acidulée endives à l'orange et chou romanesco - Très bien merci! - 380g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['39', '5% de poulet au citron : poulet traité en salaison 66% ', 'filet de poulet 98%', 'sel', 'sirop de glucose', 'amidons de riz', 'eau', 'amidons de riz', 'crème fraîche', 'citron 1', '6%', 'échalotes', 'poudre de lait écrémé', 'vinaigre de vin blanc', 'sel', 'zestes de citrons confits 0', '2% ', 'citron', 'vinaigre', 'sel', 'sucre', 'sucre', 'poivre', 'curcuma', 'paprika', 'piment', '\r34', ""2% d'endives à l'orange : endives 93%"", ""jus d'orange 6%"", 'sel', '\r26', '3% de chou romanesco : chou romanesco 99%', 'sel']","['Non végétalien', 'Non végétarien']",58,-92%,?,,"1,4",-83%,"3,2",-81%,"8,1",+8%,,,,,,,,380g,,,['Lait'],4,Escalope de poulet acidulée endives à l'orange et chou romanesco,1.4 g,en faible quantité,,,,,0.63 g,en quantité modérée,58 kj(14 kcal),-92%,,,,,"0,63",-38%,"0,252",-38%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
26,Poulet teriyaki et wok de légumes - Très bien merci! - 350g,,['Frais'],['Très bien merci!'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['57', '1% de légumes : carottes 17%', 'courgettes 17%', 'choux blanc 17%', 'champignons 15% ', 'champignons', 'sel', 'maïs ', 'épis de maïs', 'eau', ""vinaigre d'alcool"", 'sucre', 'sel ', ' acidifiant : acide citrique', 'poivrons rouges 6', '5%', 'pousse de bambou', 'oignons', 'huile de sésame', 'huile de colza', 'sel', 'poivre', '\r42', '9% de poulet teriyaki : poulet 66% ', 'haut de cuisse de poulet 98%', 'sirop de glucose', 'sel', 'fécule de manioc', 'saké ', 'eau', 'riz', 'sauce soja 9', '4% ', 'eau', 'soja', 'blé', 'sel', 'mirin 8', '3% ', ""sirop d'amidon glutineux"", 'extrait de riz fermenté ', 'riz', 'sel', 'sirop de mélasse', 'alcool ', ' acidifiant : acide citrique', 'sucre 1', '9%', 'gingembre', 'amidon de riz', 'huile de colza', 'huile de sésame', 'gélatine de volaille']","['Non végétalien', 'Non végétarien']",86,-88%,?,,"3,6",-57%,6,-64%,"7,4",-1%,,,,,,,,350g,,"['E330 - Acide citrique', 'E428 - Gélatine']","['Gluten', 'Graines de sésame', 'Soja']",4,Poulet teriyaki et wok de légumes,3.6 g,en quantité modérée,,,,,0.8 g,en quantité modérée,86 kj(21 kcal),-89%,,,,,"0,8",-21%,"0,32",-21%,,,,,,"['FR 85.182.005', 'Pouzauges (Vendée, France)']",https://www.tresbienmerci.fr/,,
27,Bière belge - Abbaye Mont St.Jean - 25cl,C,['Bouteille en verre brune'],['Abbaye Mont St.Jean'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières belges']",['Point Vert'],['Belgique'],['France'],"['eau', ""malt d'orge"", 'sucre candi', 'houblon', 'curaçao', 'réglisse', 'antioxygène ', 'acide ascorbique ', 'E300', 'alginates']",[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,,"['E300 - Acide ascorbique', 'E400 - Acide alginique']",['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Confiture de melons à l'orange - Péchés Gourmands - 335g,C,"['Verre', 'Bocal']",['Péchés Gourmands'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de melon']",,"['France', 'Provence']",['France'],"['melons', 'sucre de canne blanc', ""restes d'oranges "", '2,7%', 'jus concentré de citron']",[],?,,?,,?,,?,,?,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,335 g,['Péchés Gourmands'],,,3,Confiture extra de melons à l'orange,,,,,,,,,,,,,,,,,,,,,,,,,http://www.peches-gourmands.fr/,,
29,Confiture de cerises noires - Péchés Gourmands - 335g,C,"['Verre', 'Bocal']",['Péchés Gourmands'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,"['France', 'Provence']",['France'],"['cerises', 'sucre de canne blanc', 'jus concentré de citron', 'pectines de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,335 g,['Péchés Gourmands'],['E440 - Pectines'],,4,Confiture extra de cerises noires,,,,,,,,,,,,,,,,,,,,,,,,,http://www.peches-gourmands.fr/,,
30,"IGP Ardèche, cuvée la Phaline 2014, Vignerons de Montfleury - 75cl",C,['Bouteille'],['Vignerons de Montfleury'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Ardèche']",['Déconseillé aux femmes enceintes'],['Ruoms'],['France'],['Sulfites'],['Sans huile de palme'],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,['Caveau de Montfleury'],,['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Ardèche']",,,,
31,Fougasse 3 fromage,B,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses au fromage']",,,['France'],[],[],?,,285,-1%,"6,7",-17%,43,+20%,12,-1%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,6.7 g,en quantité modérée,3.8 g,en quantité modérée,1.1 g,en faible quantité,1.6 g,en quantité élevée,1192 kj(285 kcal),-1%,"3,8",-3%,"1,1",+4%,"1,6",+7%,"0,64",+7%,13,+2%,D,+2%,,,,,
32,Miel Italien de Fleurs Bio - Mielizia - 1kg e,A,"['Bocal', 'Verre', 'métal']","['Mielizia', 'Mielizia Bio']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels italiens', 'Miels crémeux', 'Miels bio']","['Bio', 'Bio européen', 'IT-BIO-009', 'Fabriqué en Italie', 'AB Agriculture Biologique', 'Agriculture Italie']",['Italie'],['France'],['Miel Italien de Fleurs'],[],1408,+4%,331,+4%,0,-100%,"82,5",+2%,"0,3",+11%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,1 kg e,,,,,,0 g,en faible quantité,,,,,,,1408 kj(331 kcal),+5%,,,,,,,,,,,,,['Italie'],,,,
33,Boisson lactée à base de yaourt aromatisée fraise-banane - Milbona - 750g,E,['Bouteille plastique'],['Milbona'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté']",['Eco Emballage'],"['ALLEMAGNE', 'Molkerei Gropper GMBH & CO KG Am Mühlberg 2 -D-86657 BISSINGEN']",['France'],"['yaourt ', 'lait', 'eau', 'sucre', 'lait écrémé en poudre', 'sirop de glucose-fructose', 'jus de fraises à base de concentré ', '0,5%', 'jus de banane à base de concentrè ', '0,5%', 'amidon modifié de mais cireux', 'arôme', 'concentré de jus de betterave rouge']",['Non végétalien'],341,+11%,?,,"0,9",-40%,"14,2",+26%,"3,3",+14%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,750 g,"['Lidll', 'Lidl']",['E14XX - Amidons modifiés'],['Lait'],4,Boisson aromatisée à base de yaourt,0.9 g,en faible quantité,0.5 g,en faible quantité,13.8 g,en quantité élevée,0.15 g,en quantité modérée,341 kj(82 kcal),+12%,"0,5",-47%,"13,8",+29%,"0,15",+42%,"0,06",+42%,20,+25%,E,+25%,,['DE BY 77723 EG'],,,
34,Cerise lisse - Le p'tit friquet - 500g,E,"['Sachet', 'Plastique']","[""Le p'tit friquet"", 'Dorcer']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,['France'],"['Sirop de glucose', 'sucre', 'gélifiants : carraghénanes', 'gomme gellane', ""correcteur d'acidité : citrate de sodium"", 'acidifiant : acide citrique', 'arôme', 'colorants : E160c', 'E163', 'extrait de curcuma', ""extrait d'ortie"", ""extrait d'épinard"", 'huile végétale de coco', ""agent d'enrobage : cire de carnauba"", 'amidon de BLÉ']",['Sans huile de palme'],?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,500 g,['Noz'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E903 - Cire de carnauba']",['Gluten'],4,Confiserie gélifiée aromatisée,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,86 feuilletés apéritif - Sans marque - 731g,,"['Sachet', 'Plastique', 'surgelé']",['Sans marque'],"['Surgelés', 'Plats préparés', 'Feuilleté salé', 'Plats préparés surgelés']",,,['France'],"['Pâte dorée ', '63%', ' : farine de BLE ', 'GLUTEN de blé', ' margarine ', 'huiles et graisses végétales de palme et colza', 'eau', 'sel', ""émulsifiant : mono- et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'eau', 'sel', 'LACTOSE', 'protéines de LAIT', 'CREME en poudre', 'OEUFS en poudre', '\rGarniture ', '37%', ' : Apéritif Champignons : eau', 'champignons ', '5', '4%', 'cèpes ', '4', '6%', 'CREME fraîche', 'amidons modifiés de pomme de terre', 'préparation pour béchamel en poudre ', 'LACTOSERUM', 'amidon modifié de pomme de terre', 'LACTOSE', 'CREME en poudre', 'LAIT écrémé en poudre', 'farine de BLE', 'sel', 'poivre', 'muscade', 'arôme naturel ', 'contient BLE', 'sel', 'ail', 'persil', 'poivre', ' Apéritif lardons / oignons : eau', 'lardons cuits salés ', '7', '2%', ' ', 'poitrine de porc', 'sel', 'dextrose de blé', ""correcteur d'acidité : acide citrique"", 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'CREME fraîche', 'préparation pour béchamel en poudre ', 'LACTOSERUM', 'amidon modifié de pomme de terre', 'LACTOSE', 'CREME en poudre', 'LAIT écrémé en poudre', 'farine de BLE', 'sel', 'poivre', 'muscade', 'EMMENTAL râpé', 'oignons rissolés ', '3', '4%', ' ', 'oignons', 'huile végétale de tournesol', 'LACTOSERUM', 'LAIT écrémé en poudre', 'amidon modifié de pomme de terre', 'OEUFS en poudre', 'arôme naturel ', 'contient LAIT', ' Apéritif Chorizo : purée de tomate', 'poivrons', 'eau', 'double concentré de tomate', 'chorizo précuit ', '3', '5%', ' ', 'viande de porc', 'épices et plantes aromatiques', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', 'préparation pour béchamel en poudre ', 'LACTOSERUM', 'amidon modifié de pomme de terre', 'LACTOSE', 'CREME en poudre', 'LAIT écrémé en poudre', 'farine de BLE', 'sel', 'poivre', 'muscade', 'amidon modifié de pomme de terre', 'OEUFS en poudre', 'ail', 'sucre', 'sel', 'poivre', '\rSaupoudrage : mix paprika ', ""épices et extraits d'épices dont paprika"", 'sel']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,,?,,?,,?,,?,,,,,,,,,731 g,['Noz'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.282.001 CE', 'Meyzieu (Rhône, France)']",,['Huile de palme'],
36,Premium light  lager - Cracked Canoe - 341ml,C,['Bouteille en verre verte'],"['Cracked Canoe', 'Moosehead']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,"['Moosehead Breweries Ltd', 'Saint John', 'New Brunswick']",['France'],[],[],?,,26.4,-36%,0,-100%,"1,76",-49%,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,341ml,,,,,,,,,,,,,,111 kj(26 kcal),-36%,,,,,,,,,,,,,,,,,
37,Riz parfume jasmin,,,,,,,['France'],[],[],?,,360,,"0,7",,"82,4",,3,,,,,,,,,,,,,,,,,,,,,,,1506 kj(360 kcal),,0,,0,,,,,,,,,,,,,,
38,Doony's chocolat - Leclerc,B,,['Leclerc'],"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,['France'],[],[],?,,442,+8%,26,+14%,45,+0%,"6,2",+5%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,26 g,en quantité élevée,12 g,en quantité élevée,15 g,en quantité élevée,0.62 g,en quantité modérée,1849 kj(442 kcal),+8%,12,+13%,15,-11%,"0,62",-35%,"0,248",-35%,20,+3%,E,+3%,,,,,
39,Moricette,,,,,,,['France'],[],[],?,,285,,"5,5",,51,,"8,3",,,,,,,,,,,,,,,,,,,,,,,1192 kj(285 kcal),,"0,4",,"4,3",,"1,2",,"0,48",,,,,,,,,,
40,Pains au chocolat tournesol - Leclerc,,['Plastique'],['Leclerc'],,,,['France'],"['Farine de BLÉ', 'eau', 'margarine végétale 21,5% ', 'huiles et graisses végétales non hydrogénées et hydrogénées ', 'tournesol 51%', 'palme', 'eau', 'sel', ' E471', 'chocolat 9%', ' ', 'sucre', 'masse de cacao', 'beurre de cacao', ' lécithine de SOJA', 'sucre', 'levure', 'GLUTEN DE BLÉ', 'ŒUFS', 'sel', ' E471', 'E300', 'enzyme']","['Huile de palme', 'Non végétalien']",?,,485,,28,,47,,10,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Soja']",4,pains au chocolat,,,,,,,,,2029 kj(485 kcal),,13,,13,,"1,3",,"0,52",,,,,,,,,['Huile de palme'],
41,280 sauce Moutarde de Dijon - McDonald's - 305g,,['Carton'],"[""McDonald's""]","['Sandwichs', 'Hamburgers']",,['France'],['France'],"['Un pain ciabatta cuit sur pierre', ""de l'emmental et du cheddar fondu"", ""deux rondelles de tomate et un steak haché généreux accompagné d'une sauce à la moutarde de Dijon"", ' Allergènes présents : Sulfites', 'Fruits à coques ', 'noisettes', 'Gluten ', 'blé', 'orge', 'seigle', 'Graines de sésame', 'Lait', 'Moutarde', 'Oeufs et Soja']",['Non végétalien'],?,,258,+4%,14,+12%,18,-12%,15,+15%,,,,,,,,305 g,"[""McDonald's""]",,"['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",4,,14 g,en quantité modérée,6 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,1079 kj(258 kcal),+3%,6,+28%,1,-68%,1,-15%,"0,4",-15%,11,+10%,D,+10%,,,,,
42,Petits pois forestiers pomme de terre - Sans marque - 1part,,"['Barquette', 'Plastique']",['Sans marque'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,['France'],['France'],"['Petits pois', 'champignons', 'oignons', 'bouillon', 'eau', 'persil', 'assaisonnement', 'pomme de terre']",['Sans huile de palme'],?,,?,,?,,?,,?,,,,,,,,,1 part,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.560.119 CE', 'Seclin (Nord, France)']",,,
43,Duo de pois chiche et tomate - Sans marque - 1part,,"['Barquette', 'Plastique']",['Sans marque'],"['Plats préparés', 'Frais', 'Plats préparés frais']",,,['France'],"['Tomate', 'pois chiches', 'persil']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,1 part,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.560.119 CE', 'Seclin (Nord, France)']",,,
44,Smart Burger Chicken - Quick - 202g,C,"['Barquette', 'Carton']",['Quick'],"['Sandwichs', 'Hamburgers', 'Burger au poulet']",['Halal'],['France'],['France'],"['Pain', 'préparation panée de poulet', 'sauce légèrement poivrée', 'salade', 'tomate', 'fromage fondu', 'oignons', ' Allergènes présents : Sulfites', 'Lait', 'Gluten', 'Graines de sésame', 'Moutarde', 'Oeuf']",['Non végétalien'],1050,+3%,?,,"14,8",+35%,"15,7",-26%,"14,2",+15%,73.8%,12.6%,3.0%,3.4%,1.5%,5.7%,47,202 g,['Quick'],,"['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Graines de sésame', 'Anhydride sulfureux et sulfites']",4,"Burger accompagné d'une préparation panée de poulet, sauce, tomate, oignons, fromage fondu et salade",14.8 g,en quantité modérée,4.16 g,en quantité modérée,2.48 g,en faible quantité,0.842 g,en quantité modérée,1050 kj(251 kcal),+4%,"4,16",+58%,"2,48",-20%,"0,842",-32%,"0,337",-32%,5,-23%,C,-23%,,,http://www.quick.fr/fr/burgers/smart-poulet,,
45,Poivre - Flunch - 18g,B,['Plastique'],['Flunch'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres moulus']",,"['Bedarrides', 'France']",['France'],['Poivre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,18 g,['Flunch'],,,1,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 84016K', 'Bédarrides (Vaucluse, France)']",,,
46,Sauce Barbecue - Quick - 25g,B,"['Coupelle', 'Plastique', 'Sous atmosphère protectrice']",['Quick'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces barbecue']",,,['France'],"['Eau', 'sucre', 'vinaigre concentré de tomates', 'sel amidon modifié de maïs', 'colorant : E150a', 'arôme et arôme de fumée', 'ail', 'épices', 'épaississant : gomme de xanthane', 'conservateur : sorbate de potassium']",[],508,-16%,?,,"0,4",-58%,28,-10%,"0,8",-11%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,25 g,['Quick'],"['E150a - Caramel E150a', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,Sauce Barbecue,0.4 g,en faible quantité,0 g,en faible quantité,25.2 g,en quantité élevée,1.2 g,en quantité modérée,508 kj(121 kcal),-23%,0,-100%,"25,2",-3%,"1,2",-41%,"0,48",-41%,11,-24%,D,-24%,,"['EMB 35041', 'Brie (Ille-et-Vilaine, France)']",,,
47,YouBurger Sauce Béarnaise - Quick - 221g,,"['Barquette', 'Carton']",['Quick'],"['Sandwichs', 'Hamburgers']",,['France'],['France'],"['Pain aux graines de sésame et farine de blé', 'steak haché 100% pur bœuf', 'cheddar fondu', ""pousses d'épinard"", 'laitue blonde', 'chicorée', 'sauce Béarnaise', ' Allergènes présents : Sulfites', 'Lait', 'Gluten', 'Moutarde', 'œuf']",['Non végétalien'],1100,+5%,?,,"14,2",+14%,"18,5",-10%,15,+15%,,,,,,,,221 g,['Quick'],,"['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,"Hamburger à base de pain aux graines de sésame accompagné d'un steak haché, salade, fromage et sauce Béarnaise",14.2 g,en quantité modérée,4.12 g,en quantité modérée,2.22 g,en faible quantité,0.86 g,en quantité modérée,1100 kj(263 kcal),+5%,"4,12",-12%,"2,22",-30%,"0,86",-26%,"0,344",-26%,5,-50%,C,-50%,,,http://www.quick.fr/fr_fr/burgers/youburger,,
48,Cheesy Trio - Quick - 56g (x 6),,"['Sachet', 'Papier']",['Quick'],['Produits panés'],['Halal'],['France'],['France'],"['Boules de fromage panées et frites ', 'Raclette', 'Brie et Emmental', ' Allergènes présents : Lait', 'Gluten', 'Oeuf']",['Non végétalien'],1360,+51%,?,,"17,5",+65%,30,+94%,"10,9",-14%,,,,,,,,56 g (x 6),['Quick'],,"['Œufs', 'Gluten', 'Lait']",4,Boules de fromage panées et frites,17.5 g,en quantité modérée,7.14 g,en quantité élevée,1.79 g,en faible quantité,1.61 g,en quantité élevée,1360 kj(325 kcal),+52%,"7,14",+231%,"1,79",+21%,"1,61",+42%,"0,643",+42%,18,+338%,D,+338%,,,http://www.quick.fr/fr_fr/finger-food/cheesy-trio-x6,,
49,fruits de mer - JD GOSS - 250gr,,['Carton'],['JD GOSS'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,['Allemagne'],['France'],"['A-_1   X-,']",[],?,,?,,?,,?,,?,,,,,,,,,250 gr,['LIDL'],,,,chocolat fouré praliné,,,,,,,,,,,,,,,,,,,,,,,['Allemagne'],,,,
50,Epaule Serrana - Sans marque - 4kg,E,"['Plastique', 'Sous-vide']","['Sans marque', 'Industrias Cárnica Tello']","['Viandes', 'Porc', 'Epaules de porc']",,['Espagne'],['France'],"['Epaule séchée de porc', 'sel', 'dextrose', 'antioxydants ', 'E316', 'conservateurs ', 'E252', 'E250']",[],"1067,6",+38%,?,,17,+52%,"0,8",-10%,25,+26%,77.7%,16.7%,3.3%,1.3%,0.8%,0.2%,27,4 kg,['Noz'],"['E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,17 g,en quantité modérée,6.8 g,en quantité élevée,0.8 g,en faible quantité,4.3 g,en quantité élevée,"1067,6 kj(255 kcal)",+35%,"6,8",+58%,"0,8",+30%,"4,3",+125%,"1,72",+125%,19,+71%,E,+71%,,['ES 10.4481/TO CE'],,,
51,Yaourt nature issu de l'agriculture biologique - PaysageBio,B,['Plastique'],"['PaysageBio', 'Laiterie Carrier']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],202,-27%,?,,1,-72%,"4,93",+1%,4,-3%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,"['La Terrasse', ""Caverne du Pont d'Arc""]",,,,,1 g,en faible quantité,0.66 g,en faible quantité,4.93 g,en faible quantité,0.133 g,en faible quantité,202 kj(48 kcal),-32%,"0,66",-72%,"4,93",+11%,"0,133",+11%,"0,053",+11%,-1,-277%,A,-277%,,"['FR 07.331.001 CE', 'Vals-les-Bains (Ardèche, France)']",,,
52,"12 Bouchées à Garnir  - Narvik - 300g [Même code barre 26017020pour 8Bouchées en forme de Poisson à Garnir, voir 26017020]",,"['Boîte', 'Carton', 'Sachet plastique', 'Emballées par 3 pièces']","['Narvik', 'Aldi Einkauf GmbH & Compagnie-oHG', 'Distribution Pidy France (DPF)']","['Bouchées', 'Feuilletés à garnir']","['Point Vert', 'Eco-Emballages']",['Belgique'],['France'],"['Farine de blé ', 'gluten', 'margarine ', 'matière grasse végétale ', 'palme', 'eau', 'sel', 'émulsifiant : E 471', ""correcteur d'acidité : E 330"", 'colorant : E160a', 'arôme', 'eau', 'sel']",['Huile de palme'],2307,,?,,"36,2",+36%,48,+29%,"7,6",+19%,,,,,,,,"300 g [Même code barre 26017020 pour 8 Bouchées en forme de Poisson à Garnir, voir 26017020]",['Aldi'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés']",['Gluten'],4,Feuilletés à garnir,36.2 g,en quantité élevée,19.2 g,en quantité élevée,1.2 g,en faible quantité,1.4 g,en quantité modérée,2307 kj(551 kcal),+20%,"19,2",+38%,"1,2",-2%,"1,4",+19%,"0,56",+19%,22,+41%,E,+41%,,,,,
