,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
1053,Tapenade Verte,3760024849319,['France'],[],[],?,257,1075 kj(257 kcal),26,4,2,0,1,"3,5","1,4",,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,C,26 g,en quantité élevée,4 g,en quantité modérée,0 g,en faible quantité,3.5 g,en quantité élevée,,+16%,+17%,+20%,+24%,-10%,-100%,-39%,+22%,+22%,16,+18%,D,+18%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,
1054,Tête et pattes de calamars - La Table des Pêcheurs,3270120536278,['France'],[],[],?,51,213 kj(51 kcal),"1,1","0,1","1,9","0,1","8,5","1,4","0,56",,['La Table des Pêcheurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Sauce Kimchi -  - 100ml,4901108005033,['France'],[],[],?,?,,?,,?,,?,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Les délices à tartiner  Thon,3353820011570,"['Afghanistan', 'France']",[],[],?,223,933 kj(223 kcal),"17,6","1,6","2,9","1,9","12,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Les Galettes Caramel,3760231700076,['France'],[],[],?,479,2004 kj(479 kcal),27,17,52,28,6,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Noix de cajou,6132501840091,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,E,,,,,,,,,,,,,,,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,
1059,Vanilla ice,9020200019665,['France'],[],[],?,160,669 kj(160 kcal),"8,86","0,5",21,15,2,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Compote de Pomme -,3760262840321,['France'],[],[],?,57,238 kj(57 kcal),"0,4","0,1","12,2","11,1","0,4","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature', 'Compotes à boire']",,B,0.4 g,en faible quantité,0.1 g,en faible quantité,11.1 g,en quantité modérée,0.01 g,en faible quantité,,-11%,-11%,+35%,+46%,-14%,-17%,+36%,+51%,+51%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,"['Bio', 'en:gluten-free', 'Sans sucre ajouté', 'Sans conservateurs']",,,,,,,,,,,
1061,Crackers,8005030970103,['France'],[],['Sans huile de palme'],?,433,1812 kj(433 kcal),11,"5,1",70,"1,9",12,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,
1062,Caramel au beurre salé vanille pécan - Adélie,3250391754618,['France'],[],[],?,206,862 kj(206 kcal),"8,2","5,3","30,9","27,3","1,8","0,31","0,124",,['Adélie'],"['Desserts', 'Surgelés', 'Aliments et boissons de Noël', 'Desserts glacés', 'Bûches de Noël', 'Bûches glacées']",['France'],B,8.2 g,en quantité modérée,5.3 g,en quantité élevée,27.3 g,en quantité élevée,0.31 g,en quantité modérée,,+3%,+4%,+1%,-2%,+8%,+11%,-22%,+150%,+150%,14,+24%,D,+24%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['surgelé', 'Carton']",['Fabriqué en France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",,['Intermarché'],,,,,,,,
1063,Clémentine - Monoprix,3350030212780,['France'],[],[],?,?,,?,,?,,?,,,,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Clémentines', 'Clémentines fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,
1064,Tonkatsu sauce - Obento,9310432420156,"['Australie', 'France']",[],[],?,200,837 kj(200 kcal),0,0,"47,9","33,2","0,6","6,4","2,56",,['Obento'],"['Epicerie', 'Sauces', 'en:Tonkatsu sauce']",,,0 g,en faible quantité,0 g,en faible quantité,33.2 g,en quantité élevée,6.4 g,en quantité élevée,,-16%,-15%,-100%,-100%,+383%,+414%,-78%,+164%,+164%,19,+64%,E,+64%,,,,,,,,,['en:gluten-free'],,,['Woolworths'],,,,,,,,
1065,Pepsi,8581110008329,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,9","10,9",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Baked Beans - Asda,5052449167726,['France'],[],[],?,165,690 kj(165 kcal),1,"0,2",27,"7,7","8,4","0,98","0,392",,['Asda'],"['Plats préparés', 'Légumes préparés', 'Haricots à la tomate']",,B,1 g,en faible quantité,0.2 g,en faible quantité,7.7 g,en quantité modérée,0.98 g,en quantité modérée,,+81%,+89%,+75%,+75%,+120%,+213%,+69%,+28%,+28%,2,,B,,17.3%,37.5%,18.0%,13.6%,7.9%,5.7%,96,,,,,,,,,,,,,
1067,Liquiriza di Calabria,80583349,['France'],[],[],?,343,1435 kj(343 kcal),"0,01",0,78,"3,4","8,3","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,8001090227669,8001090227669,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Carte D'or Inspiration Buche Glacée Fruits Rouges Façon Vacherin 8 parts 750ml - Côte d'Or - 420g,8714100633762,['France'],"['LAIT écrémé en poudre réhydraté', 'eau', 'purée de framboise ', '11%', 'sucre liquide ', 'sucre', 'eau', 'sucre de glucose - fructose', 'BEURRE concentré', 'sucre glace', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'LAIT entier en poudre', 'émulsifiant', 'arôme naturel de vanille', 'LACTOSE et protéines de LAIT', 'CRÈME fraîche', ""blanc d'ŒUF liquide"", 'purée de fraise ', '1 %', ""émulsifiant mono - et diglycérides d'acides gras"", 'purée de mûre ', '0,2%', 'gélifiants ', 'pectines', 'carraghénanes', ' purée de cassis ', '0,1%', 'épaississants ', 'farine de graines de caroube', 'gomme de guar', 'gomme xanthane', 'jus de citron concentré', ""blanc d'ŒUF en poud re"", 'arôme naturel de framboise', 'arômes', 'protéines de pois hydrolysées', 'stabilisant gomme Tara', ' Peut contenir fruits à coque', 'gluten', 'graines de sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",745,177,745 kj(177 kcal),"6,6",4,27,26,"2,3","0,1","0,04",420 g,"[""Côte d'Or""]","['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,D,6.6 g,en quantité modérée,4 g,en quantité modérée,26 g,en quantité élevée,0.1 g,en faible quantité,-5%,-12%,-10%,-19%,-26%,-6%,+5%,-1%,-19%,-19%,9,-20%,C,-20%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,['Point Vert'],,,,4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E417 - Gomme tara']",,"['Œufs', 'Lait']",Buche Glacée aux fruits rouges.,,,
1070,Trakya Beyaz Peynir,4260193512919,['France'],[],[],?,310,1297 kj(310 kcal),28,"18,5","1,5","1,5",13,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Bûche citron meringué - Thiriet - 576g,3292590701352,['France'],"['lait écrémé réhydraté', 'crème fraîche 18,7% ', 'sucre', 'jus de citron à base de concentré 6,4%', 'farine de blé ', 'agent de traitement: acide ascorbique', 'mascarpone 4,7 % ', 'crème', 'lait', ""correcteur d'acidité: acide citrique"", 'sirop de glucose', 'beurre pâtissier ', 'colorant: caroténoïde', 'eufs de poules élevées en plein air', 'beurre', 'amidon de blé', ""jaune d'oeuf de poules élevées en plein air"", 'sucre glace', ""blanc d'euf de poules élevées en plein air en poudre"", ""poudre d'amandes"", 'sirop de sucre inverti', 'beurre de cacao', 'poudre à lever: diphosphates - carbonates de sodium', 'lait entier en poudre', 'amidon transformé', 'poudre de cacao', 'sel', ""émulsifiants : mono - et diglycérides d'acides gras - esters lactiques des mono - et diglycérides d'acides gras - esters polyglycériques d'acides gras"", 'épaississants: farine de graines de caroube - gomme de xanthane - gomme de guar', 'gélifiant : pectine', 'gélatine de porc', 'huile essentielle de citron', 'arôme naturel de vanille', 'arômes naturels', 'colorant : caroténoïdes', 'concentrés végétaux : carotte - pomme - radis - cassis', ' Pourcentages exprimés sur le produit total', "" Présence éventuelle de soja et d'autres fruits à coque""]","['Non végétalien', 'Non végétarien']",?,280,1172 kj(280 kcal),15,"9,8",32,23,"4,1","0,17","0,068",576 g,['Thiriet'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,D,15 g,en quantité modérée,9.8 g,en quantité élevée,23 g,en quantité élevée,0.17 g,en faible quantité,,+40%,+41%,+85%,+81%,+12%,-7%,+77%,+37%,+37%,17,+50%,D,+50%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,"['FR 88.158.001 CE', 'Éloyes (Vosges, France)']",,['Thiriet'],4,"['E330 - Acide citrique', 'E160 - Caroténoïdes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E475 - Esters polyglycériques d'acides gras"", 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E440 - Pectines', 'E428 - Gélatine']",,"['Gluten', 'Lait', 'Fruits à coque']",,,,
1072,Star Sugo Basilico,8000050021828,['France'],[],[],?,63,264 kj(63 kcal),"3,4","0,6","6,2","5,7","1,4","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Rôti de porc façon Orloff - Marque Repère - 800g,3661112085940,['France'],"['Carre', 'filet', 'pointe de porc ', '75%', '{allergene}emmental{/allergene} ', '11%', ' ', '{allergene}lait{/allergene}', 'barde de porc', 'bacon de porc ', '3,5%', ' ', 'viande de porc', 'sel', 'dextrose', 'aromes', 'aromes de fumee', 'antioxydant : e316', 'ferments', 'conservateur : e250', ' {traces}traces de soja', 'gluten', ' viande origine france', '{/traces}']","['Non végétalien', 'Non végétarien']",803,?,803 kj(192 kcal),12,"5,7","0,1","0,1",21,"0,3","0,12",800 g,"['Marque Repère', 'Férial']","['Viandes', 'Porc', 'Rôtis de porc']",,E,12 g,en quantité modérée,5.7 g,en quantité élevée,0.1 g,en faible quantité,0.3 g,en quantité modérée,+48%,,+35%,+139%,+173%,-88%,-84%,-6%,-83%,-83%,3,-58%,C,-58%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,['100% filet'],,,['Leclerc'],4,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,['Lait'],,,,
1074,Équateur 70% - Max Vauché,3760268910554,['France'],[],[],?,?,,?,,?,,?,,,,['Max Vauché'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,E,,,,,,,,,,,,,,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,
1075,L'AUTHENTIQUE - MIEL DE MONTAGNE,3770011028078,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,B,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1076,baguette chia pep's,2030000027941,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,biorepair,8017331060384,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Classic nourishing and vitaminising milk - Doina - 200ml,5943000032709,['France'],[],[],?,?,,?,,?,,?,,,200ml,['Doina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Goji bio - Fructivia,3760159370313,['France'],[],[],?,242,1013 kj(242 kcal),"0,8",0,"58,6",0,"0,8",0,0,,['Fructivia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1080,Pimentón picante - Ducros,8410219857135,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Paprika']",,B,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,
1081,Lentilles Vertes Du Puy - Celnat - 500g,3273120012513,['France'],[],[],?,309,1293 kj(309 kcal),"1,6","0,3",43,"2,5",20,"0,005","0,002",500 g,['Celnat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']",,B,1.6 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0.005 g,en faible quantité,,+6%,+6%,+30%,+34%,+9%,+94%,-12%,-97%,-97%,-7,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,"['Bio', 'Bio européen', 'AOP', 'AB Agriculture Biologique', 'Agriculture France']",,['France'],,,,,,,,,
1082,Splendide - Daco Bello,3270720013049,['France'],[],[],?,284,1188 kj(284 kcal),0,0,64,49,"2,3","0,13","0,052",,['Daco Bello'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Zurrapa de Higado -  - 500g,8420884150042,['France'],"['Ingredientes Higado ', '50%', 'y nantoca foérica ', '46 %', ' de cerdo', 'sel especias', 'colorante E-160c', ' alo', ' potenciadar del sabor ', 'E-621', 'antioxidantes 3041', 'E-392', ' E-320', 'E-306,']",[],?,648,2711 kj(648 kcal),62,25,1,"0,5","9,2","2,2","0,88",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin', 'E320 - Butylhydroxyanisol', 'E306 - Extrait riche en tocophérols']",,,,,,
1084,Waitrose Lemon Curd Jam,5000169012604,"['France', 'Royaume-Uni']","['Sugar', 'pasteurised free range egg SALTED BUTTER ', 'butter milk', 'salf', ' concentrated lemon juice ', '8%', 'water', 'lemon oil', 'geling agent agar', 'preservative sulphur dioxide']",[],?,355,1485 kj(355 kcal),"10,6","6,3","61,8","60,8",3,"0,25","0,1",,['Waitrose'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de fruits à tartiner', 'Crèmes de citron']",,,10.6 g,en quantité modérée,6.3 g,en quantité élevée,60.8 g,en quantité élevée,0.25 g,en faible quantité,,+5%,+6%,+2%,+11%,+6%,+15%,+45%,+62%,+62%,21,+12%,E,+12%,,,,,,,,,,,,['Waitrose'],4,"['E406 - Agar-agar', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,
1085,Bâtons de cannelle - Coop,7610827333583,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,['Coop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bocal'],"['Commerce équitable', 'Max Havelaar']",,,,,,,,,,,
1086,Confiture Pêche Abricot Romarin - Les Confitures de Mél,3276220002941,['France'],"['Pêche', 'Abricot', 'Sucre', 'Romarin', 'Pectine Préparé avec 70g de fruits pour 100g de produit fini']","['Sans huile de palme', 'Végétalien', 'Végétarien']",959,?,959 kj(229 kcal),"0,1",0,55,49,"0,5",0,0,,['Les Confitures de Mél'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",,D,0.1 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,+3%,,+5%,-67%,-100%,+6%,-3%,-9%,-100%,-100%,10,+5%,C,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,4,['E440 - Pectines'],,,,,,
1087,Pomelo rouge  variété star ruby,8400035015000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Hidro Fugal Duschgel - 250ml,4005900561138,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Stück', 'Stück']",,,,,,,,,,,,
1089,Tobigo -,6111262380022,['France'],"['Graisse végétale', ' Farine de blé ', ' Sucre', ' Cacao en poudre', ' Sirop de glucose-fructose', ' Lait écrémé en poudre', ' Lactosérum en poudre', ' Amidon', ' Huile végétale', ' Sel', ' Saveur de chocolat', ' Bicarbonate de sodium', ' Glucose', ' Lécithine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,512,2142 kj(512 kcal),"30,2","21,3",52,28,"5,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']",,['Gluten'],,,,
1090,Feuilles de ravintsara -  - 50g,3770007752031,['France'],['Feuilles de Ravintsara'],[],?,?,,?,,?,,?,,,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Poulet au Curry et Riz Cuisiné au Lait de Coco - A Table - 300g,3270120559079,['France'],[],[],?,140,586 kj(140 kcal),"4,5","2,9",18,2,"6,7","0,52","0,208",300 g,['A Table'],"['Viandes', 'Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Poulets au curry']",,D,4.5 g,en quantité modérée,2.9 g,en quantité modérée,2 g,en faible quantité,0.52 g,en quantité modérée,,+3%,+7%,-2%,+60%,+30%,+11%,-6%,-33%,-33%,1,-27%,B,-27%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,"['Carton', 'Barquette', 'Plastique', 'Surgelé']",,,,,,,,,,,,
1092,Emporio Armani Parfum - 30ml,3614272324329,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,30 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,
1093,Miswak,8026365721147,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,
1094,Bloc Emmental,2227421020457,['France'],[],[],?,368,1540 kj(368 kcal),29,19,0,0,28,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Miel d'acacia - Apidis - 360g,3263623700314,['France'],[],[],?,?,,?,,?,,?,,,360 g,['Apidis'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,B,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique', 'Agriculture Roumanie']",,,,,,,,,,,
1096,Caffè Moretto - Espresso all‘ Italiana - 1000g,7610925602055,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,1000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Duo de carotte et céléri finement râpés,2253026009252,['France'],[],[],?,132,552 kj(132 kcal),12,"0,9",4,"2,6",1,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Sodastream saveur limonade,15378460,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,63","0,252",,['Sodastream'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,
1099,Poelee de demi grenaille,3760032004656,['France'],[],[],?,154,644 kj(154 kcal),"7,6","2,2","17,4","0,5","2,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Poelee de demi grenaille,3760032004656,['France'],[],[],?,154,644 kj(154 kcal),"7,6","2,2","17,4","0,5","2,8","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Clever Topf-Reiniger,9003740066832,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,
1102,Kitekat,3065890042773,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Yaourt,28273141,['France'],[],[],?,99,414 kj(99 kcal),"2,9","1,9","12,5","11,5","5,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],['DE BY-7 EG'],,,,,,,,,,
1104,Tagliatelles à la carbonara - Auchan,3596710464043,['France'],[],[],?,167,699 kj(167 kcal),"9,7","4,5",15,"1,1",5,"0,66","0,264",,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Produit en braille', 'Nutriscore', 'Nutriscore C']",,,['Auchan'],,,,,,,,
1105,Cake aux noix de saint Jacques,3263858787616,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Champs élysées,8595234326351,['France'],[],[],?,564,2360 kj(564 kcal),36,19,53,51,4,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,"Orange ""Navelina"" (à jus)",8436555160524,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Rigatoni n18,8011780909188,['France'],[],[],?,353,1477 kj(353 kcal),"1,3","0,3",72,"3,6","12,5","0,002","0,001",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Rigatoni']",,,1.3 g,en faible quantité,0.3 g,en faible quantité,3.6 g,en faible quantité,0.002 g,en faible quantité,,+1%,+0%,-8%,+2%,+3%,+27%,-3%,-87%,-87%,-1,,A,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,
1109,Huile De Tournesol Aromatisée à L'ail -,26044484,['France'],"['Huile de tournesol', ""2% arôme naturel de l'ail""]",[],3404,828,3404 kj(828 kcal),92,10,0,0,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,D,92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-6%,-5%,-6%,-5%,-6%,-100%,-100%,-100%,-100%,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,2,,,,,,,
1110,Côtes du Rhône Villages Sainte Cécile 2017 - 75cl,3760093632690,['France'],[],[],?,?,,?,,?,,?,,,75 cl,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Côtes du Rhône', 'Côtes du Rhône Villages']",,B,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['bouteille verre'],,,['France'],,,,,,,,,
1111,Secondelijm Loctite Perfect Pen 3GR,5410091323455,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Coeurs de guimauve,3564365056487,['France'],[],[],?,360,1506 kj(360 kcal),9,"5,5","65,78","59,1","3,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Royal Canin Renal Canine,3182550710992,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Pasta Al Peperoncino e Basilico - Dalla Costa - 500g,8016419020005,"['Belgique', 'France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,357,1494 kj(357 kcal),"1,6","0,4",73,"3,9",12,"0,01","0,004",500 g,['Dalla Costa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",,,1.6 g,en faible quantité,0.4 g,en faible quantité,3.9 g,en faible quantité,0.01 g,en faible quantité,,+1%,+1%,-10%,+6%,+5%,+23%,-3%,-58%,-58%,-1,,A,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
