,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
55,Choucroute garnie,2141055005102,,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,,,,,,,,,,,,,,,,,,,,,,,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,,
56,Saucisse sèche,2292296034311,,['France'],[],[],?,296,1238 kj(296 kcal),16,"5,4","2,9","1,9",35,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Comté - JuraFlore,2671331025529,['JuraFlore'],['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['Lait'],3,,,,,,,,,
58,Foie gras de canard entier - Lafitte - 400g,3410841167881,['Lafitte'],['France'],[],[],?,?,,?,,?,,?,,,400 g,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']","['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 40.191.001 CE', 'Montaut (Landes, France)']",,,,,,,,,,,
59,Jus de poires fermier,3760085150027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Carenero noir 70% - A. Morin - 100g,3760264290285,['A. Morin'],['France'],[],[],?,584,2443 kj(584 kcal),"43,2","26,56","34,6",30,"8,7",0,0,100 g,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,43.2 g,en quantité élevée,26.6 g,en quantité élevée,30 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,+10%,+15%,-10%,-5%,+14%,-100%,-100%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,
61,Le petit nîmois -  - 75grs,3420430000253,,['France'],[],[],?,?,,?,,?,,?,,,75 grs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Yaourt fermier nature,0101807124637,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Yaourt lait de brebis fraise - Lait'Age d'Or - 250g (2x125g),3760274150845,"[""Lait'Age d'Or""]",['France'],"[""LAIT de brebis issu de l'agriculture biologique"", "" préparation de fruits issus de l'agriculture biologique "", 'fraise bio', 'sucre de canne bio agar-agar bio', ' Ferments LACTIQUES']",['Non végétalien'],?,101,423 kj(101 kcal),"4,71","3,222","9,3","8,09","4,2","0,12","0,048",250 g (2x125g),B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts brassés aux fruits', 'Yaourts au lait de brebis', 'Yaourts à la fraise']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:lait-francais-french-milk']",4.71 g,en quantité modérée,3.22 g,en quantité modérée,8.09 g,en quantité modérée,0.12 g,en faible quantité,,+3%,+4%,+58%,+70%,-30%,-35%,+14%,+12%,+12%,3,+12%,C,+12%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,['Lait'],3,,,,,,,,,
64,Lait fermier entier - Ferme des loges - 1L,3760204420130,['Ferme des loges'],['France'],['Lait entier'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,1L,D,"['Produits laitiers', 'Laits', 'Laits entiers']",['Pasterisé à la ferme'],,,,,,,,,,,,,,,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,"['FR 62.085.009 CE', 'Basseux (Pas-de-Calais, France)']",['Lait'],1,Lait entier,"['Bouteille', 'Plastique']",,,,,,,
65,Foie gras de canard,2553863005142,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 40.076.001 CE', 'Cauna (Landes, France)']",,,,,,,,,,,
66,6957342910471,6957342910471,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bouchées traiteur - Metro Chef,3439495204070,"['Metro Chef', 'Metro']",['France'],[],[],?,581,2431 kj(581 kcal),44,31,39,"0,5","5,9","0,8","0,32",,,,['Produits destinés aux professionnels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mini pâté en croûte aux noisettes - 200g,3287360768253,,['France'],[],[],?,302,1264 kj(302 kcal),19,"7,9",22,"1,6",10,"1,8","0,72",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bloc de foie gras de canard mi-cuit - Larnaudie,3113010137264,['Larnaudie'],['France'],[],[],?,?,,?,,?,,?,,,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
70,Rahmjoghurt mild kirsche,4056489009245,,['France'],[],[],?,127,531 kj(127 kcal),8,"5,5","10,4","9,7","2,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,16888926,16888926,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Foie gras de canard - Larnaudie,3113010144286,['Larnaudie'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Le saumon écosse - Delpeyrat,3067163637297,['Delpeyrat'],['France'],[],[],?,200,837 kj(200 kcal),12,"2,71","0,51","0,44","22,4","2,54","1,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Truffles - Mathez,3481290040858,['Mathez'],['France'],[],[],?,590,2469 kj(590 kcal),44,37,43,41,"3,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Cote fumée cuite,0247974026043,,['France'],[],[],?,176,736 kj(176 kcal),11,"4,5","0,6","0,6",19,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Coq au vin de Bergerac,3700238356647,,['France'],[],[],?,111,464 kj(111 kcal),11,"3,2","1,3","0,9",12,1,"0,4",,D,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés en conserve', 'Coq au vin']",,11 g,en quantité modérée,3.2 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,,-17%,-17%,+112%,+118%,-67%,+6%,+13%,+5%,+5%,3,+110%,C,+110%,80.7%,12.7%,1.9%,2.8%,1.1%,0.8%,36,,,,,,,,,,,,,
77,Disney La Reine Des Neiges Multivitamines En Gommes,8718503019710,,['France'],[],[],?,?,,?,,?,,?,,,,,['Produits sous license'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,03975004,03975004,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mackintosh's Quality Street,7613032929206,,['France'],[],[],?,1,4 kj(1 kcal),20,"2,3","68,1",10,"0,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Papier azyme comestible,8024622050252,,['France'],[],[],?,375,1569 kj(375 kcal),0,0,"85,6","0,1","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Cuillère pour chocolat chaud,3368952498120,,['France'],[],[],?,592,2477 kj(592 kcal),42,25,46,44,"6,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bonbon cola,5430000111058,,['France'],[],[],?,307,1284 kj(307 kcal),"0,2","0,2",70,50,"6,3","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Roquefort AOP Bio,0297063023484,,['France'],[],[],?,366,1531 kj(366 kcal),32,24,"0,5",0,19,"3,5","1,4",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['Bio'],32 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,3.5 g,en quantité élevée,,-0%,+0%,+0%,+8%,-23%,-100%,-2%,-2%,-2%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,
84,Lumières de Noël - La Route des Comptoirs,3760011218814,['La Route des Comptoirs'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Escargots de Bourgogne,3576280303225,,['France'],[],[],?,330,1381 kj(330 kcal),31,21,3,"1,5",9,"1,3","0,52",,C,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,31 g,en quantité élevée,21 g,en quantité élevée,1.5 g,en faible quantité,1.3 g,en quantité modérée,,+30%,+30%,+53%,+54%,+29%,+118%,-19%,+9%,+9%,19,+57%,E,+57%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,,,
86,5203156009162,5203156009162,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Foie gras de canard entier du sud-ouest - Itinéraire des Saveurs,3250392701482,['Itinéraire des Saveurs'],['France'],"['Foie gras de canard du Sud-Ouest', 'sel', 'poivre', 'sucre', 'conservateurs: ascorbate de sodium et nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,533,2230 kj(533 kcal),"54,8","26,9","2,2","0,7","7,7","1,1","0,44",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,54.8 g,en quantité élevée,26.9 g,en quantité élevée,0.7 g,en faible quantité,1.1 g,en quantité modérée,,+1%,+1%,+1%,+16%,-8%,-47%,+2%,-8%,-8%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Intermarché'],,,3,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
88,Soufflé au bleu,3181580280598,,['France'],[],[],?,296,1238 kj(296 kcal),21,13,13,"8,3",11,"1,2","0,48",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Truffes fantaisies -,3481290034031,,['France'],"['graisses végétales ', 'coprah', 'palmiste', 'sucre', 'cacao maigre en poudre', 'lactosérum en poudre', 'brisures de crêpe dentelle 5% ', 'farine de blé', 'sucre', 'beurre pâtissier', 'lait écrémé en poudre', ""malt d'orge"", 'sel', 'cacao en poudre', 'émulsifiant lécithines de soja', ' Traces éventuelles de noisettes', 'amandes', 'pistaches et ceurs']","['Huile de palme', 'Non végétalien']",?,591,2473 kj(591 kcal),44,37,43,39,"4,2","0,17","0,068",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",,44 g,en quantité élevée,37 g,en quantité élevée,39 g,en quantité élevée,0.17 g,en faible quantité,,+1%,+1%,+1%,+13%,+6%,+6%,-11%,+30%,+30%,25,+5%,E,+5%,,,,,,,,,,"['Gluten', 'Lait']",4,,,,['Huile de palme'],,,,,
90,Château Célestin Lalande - Medoc - 75,3295890180780,['Medoc'],['France'],[],[],?,?,,?,,?,,?,,,75,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Terrine de porc au magret de canard - Les Recettes Gourmandes,3269617107046,['Les Recettes Gourmandes'],['France'],[],[],?,323,1351 kj(323 kcal),28,"9,5","2,1","0,4",16,"1,9","0,76",,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de foie', 'Terrines de porc']","['Fabriqué en France', 'Sans colorants']",28 g,en quantité élevée,9.5 g,en quantité élevée,0.4 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+6%,-3%,+5%,-37%,+10%,+23%,+23%,21,+13%,E,+13%,,,,,,,,,,,,,"['Bocal', 'Verre']",,,,,,,
92,Mousse de canard à la figue -  - 170g,3266110501760,,['France'],[],[],?,337,1410 kj(337 kcal),31,11,"6,3","3,3","7,8","1,6","0,64",170 g,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard', 'Mousse de canard à la figue']",,31 g,en quantité élevée,11 g,en quantité élevée,3.3 g,en faible quantité,1.6 g,en quantité élevée,,-16%,-16%,-20%,-22%,+98%,+71%,-16%,+9%,+9%,21,+3%,E,+3%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,,,,,,,,,,,
93,Saucisson du marin (pièce de porc séchée et fumée),3272550000824,,['France'],[],[],?,342,1431 kj(342 kcal),23,"9,9","0,7","0,3",33,"5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gaufrettes apéritives poivron piment - les gaufrettes apéritifs aux poivrons et piment - 50g,3700254081752,['les gaufrettes apéritifs aux poivrons et piment'],['France'],[],[],?,477,1996 kj(477 kcal),23,14,57,15,9,"2,1","0,84",50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['poches plastique'],,,,,,,
95,Tempo céréales,0208953017711,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Assortiments de praliné,3760044310653,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,St Jacques,3551610009220,,['France'],[],[],?,222,929 kj(222 kcal),"14,6","4,4","16,5","1,1","5,6","0,845","0,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Baguette,0207030005900,,['France'],[],[],?,271,1134 kj(271 kcal),"1,3","0,2",55,"1,5","8,8",0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans additifs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Pulpe de tomates bio - Dia,8480017017475,['Dia'],"['France', 'Espagne']",[],[],?,27,113 kj(27 kcal),"0,2",0,4,"3,5","1,1","0,05","0,02",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",['Bio'],0.2 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.05 g,en faible quantité,,0%,+3%,-17%,-100%,-4%,-1%,-8%,-75%,-75%,-5,,A,,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,,,,,,,,,,,,
100,Pulpe de tomates bio - Dia,8480017017475,['Dia'],"['France', 'Espagne']",[],[],?,27,113 kj(27 kcal),"0,2",0,4,"3,5","1,1","0,05","0,02",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Pulpes de tomates']",['Bio'],0.2 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.05 g,en faible quantité,,0%,+3%,-17%,-100%,-4%,-1%,-8%,-75%,-75%,-5,,A,,22.3%,36.4%,17.3%,10.4%,8.3%,5.3%,94,,,,,,,,,,,,,
101,Pâte,3660861024330,,['France'],[],[],?,360,1506 kj(360 kcal),"1,9","0,3",70,7,13,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sucre aromatisé fraise - Légendes Gourmandes,3760155980059,['Légendes Gourmandes'],['France'],[],[],?,398,1665 kj(398 kcal),"0,5","0,1","99,6",99,"0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Terrine d'oie aux girolles - Tallec,3268680019232,['Tallec'],['France'],[],[],?,311,1301 kj(311 kcal),27,10,2,"1,2",16,"1,2","0,48",,,['Terrines'],,27 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,1.2 g,en quantité modérée,,+3%,+4%,+5%,+5%,-8%,+53%,+14%,-22%,-22%,17,-4%,D,-4%,,,,,,,,,,,,,,,,,,,,
104,Delice au faisan,3301091900000,,['France'],[],[],?,391,1636 kj(391 kcal),24,12,30,"2,4",14,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Violette,3389689002527,,['France'],[],[],?,400,1674 kj(400 kcal),0,0,98,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Muesli junior - Holle,7640161872271,['Holle'],['France'],[],[],?,361,1510 kj(361 kcal),"4,7",1,"65,2","1,1","10,6","0,018","0,007",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Bio-dynamie', 'Demeter']",4.7 g,en quantité modérée,1 g,en faible quantité,1.1 g,en faible quantité,0.018 g,en faible quantité,,-13%,-13%,-64%,-70%,+8%,-93%,+8%,-90%,-90%,-1,-120%,A,-120%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,,
107,Foie Gras de Canard - L'Atelier des gastronomes - 90g,3380241001613,"[""L'Atelier des gastronomes""]",['France'],"['foie gras de canard', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,90 g,A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 12.133.002 CE', 'Luc-la-Primaube (Aveyron, France)']",,3,,['Bocal en verre'],,,,,,,
108,3515450009666,3515450009666,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mini cake jambon et olives,2274539039291,,['France'],[],[],?,335,1402 kj(335 kcal),"26,3","4,7","12,2","0,8","12,3","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Le trouvillais,1226053446032,,['France'],[],[],?,491,2054 kj(491 kcal),21,15,69,32,"5,5","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Miel,3760152681805,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dulce de leche - Carrefour,7798159713614,['Carrefour'],"['Argentine', 'France']",[],[],?,340,1423 kj(340 kcal),"9,5",5,60,60,"5,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,
113,Chocolat de Communion,3107468800962,,['France'],[],[],?,431,1803 kj(431 kcal),"21,9","13,2","52,4","43,6",4,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Fourme d'Ambert AOP - Nos régions ont du talent,2860084016209,"['Nos régions ont du talent', 'Leclerc']",['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Leclerc'],"['FR 15.162.001 CE', 'Riom-ès-Montagnes (Cantal, France)']",,,,,,,,,,,
115,Bouchées fruits de mer - Leader Price,3263858788019,['Leader Price'],['France'],[],[],?,239,1000 kj(239 kcal),"14,1","8,3","21,4","1,9","6,7","0,93","0,372",,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,
116,Bûchettes glacées - Monoprix Gourmet - 140g,3350033581012,"['Monoprix Gourmet', 'Monoprix']",['France'],"[""Crème glacée à la vanille 74%: lait entier-sucre-crème fraiche-beurre concentré-sirop de glucose déshydraté-lait écrémé en poudre-jaune d'oeuf-émulsifiant:mono-et diglycérides d'acides gras-stabilisants: farine de graines de caroube"", 'gomme guar-arôme naturel de vanille 0,1%-gousse de vanille épuisée en poudre', ' \rEnrobage au chocolat noir 18,8% : chocolat noir à 70% de cacao 13,2% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithines de soja', 'arôme naturel de vanille', '-beurre concentré-huile de tournesol', ' \rInclusions et décor 7,2 % : éclats de cacao en grains caramélisés ', 'cacao 5%', 'sucre cristallisé', ' Traces de céréales contenant du gluten et de fruits à coque Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",[],?,277,1159 kj(277 kcal),18,11,24,20,"3,7","0,1","0,04",140 g,D,"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,18 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,,+38%,+40%,+122%,+103%,-16%,-19%,+59%,-19%,-19%,17,+50%,D,+50%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,['Monoprix'],"['EMB 68201A', 'Masevaux (Haut-Rhin, France)']",,4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E322i - Lécithine']",,,,,,
117,Blanquette de veau à l'ancienne pommes natures,5410953999644,,['France'],[],[],?,106,444 kj(106 kcal),"4,9","1,9","9,5","1,6","5,2","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Chocolat blanc - Callebaut,5410522516753,['Callebaut'],['France'],[],[],?,569,2381 kj(569 kcal),36,22,55,55,6,"0,21","0,084",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",,36 g,en quantité élevée,22 g,en quantité élevée,55 g,en quantité élevée,0.21 g,en faible quantité,,+1%,+1%,-0%,+2%,+3%,+9%,-10%,-18%,-18%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,,,,,,,,,,
119,Moroccan couscous - Sainsbury's,00272582,"[""Sainsbury's""]","['France', 'Royaume-Uni']",[],[],?,203,849 kj(203 kcal),"4,7","0,4","33,1","10,3","5,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Orangettes,3421375509757,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Chokao lait,3760044310462,,['France'],[],[],?,487,2038 kj(487 kcal),"33,5","20,7","54,9","13,95","5,71","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Birds Instant Custard -,5000354700187,,['France'],[],[],?,65,272 kj(65 kcal),"0,9","0,7","13,6","8,3","0,7","0,13","0,052",,B,"['Epicerie', 'Produits laitiers', 'Sauces', 'Sauces dessert', 'Crème pâtissière']",,0.9 g,en faible quantité,0.7 g,en faible quantité,8.3 g,en quantité modérée,0.13 g,en faible quantité,,-62%,-61%,-47%,-34%,-59%,-8%,-68%,+7%,+7%,1,-64%,B,-64%,57.5%,19.3%,8.5%,8.4%,4.9%,1.3%,91,,,,,,,,,,,,,
123,Riz au lait nature à l'ancienne - Ferme de la poterie - 500g,3309070000154,['Ferme de la poterie'],['France'],"['lait cru', 'riz rond', 'sucre', 'vanille', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,500 g,B,"['Desserts', 'Puddings', 'Riz au lait']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,"['FR 50.592.002 CE', 'Tessy-sur-Vire (Manche, France)']",['Lait'],3,,"['Frais', 'Sous atmosphère protectrice']",,,,,,,
124,Sauce BBQ Erable,0652118503197,,['France'],[],[],?,54,226 kj(54 kcal),9,9,"12,5",10,0,0,0,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,9 g,en quantité modérée,9 g,en quantité élevée,10 g,en quantité modérée,0 g,en faible quantité,,-65%,-66%,+840%,+6518%,-60%,-62%,-100%,-100%,-100%,10,-31%,C,-31%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,
