,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
1502,"Pain d'épices Gourmet foie gras, figues et raisins en tranches - le temps des cerises - 210",3517471221003,B,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]",['France'],"['Sirop de sucre inverti', 'miel 20%', 'farine de seigle ', 'gluten', 'oeufs entierS', 'Confiture de figues figues violette de Provence', 'sucre de canne acidifiant: jus de citron', 'farine de froment ', 'gluten figues 5% ', 'farine de riz', 'raisins secs 5% ', 'huile de coton', ""jaunes d'oeufs"", 'epices 0', '4% ', 'cannelle', 'anis', ' poudre à lever ', 'carbonate acide de sodium', 'sel']",['Non végétalien'],2.7 g,en faible quantité,0.8 g,en faible quantité,40.3 g,en quantité élevée,0.62 g,en quantité modérée,?,,329,+2%,1377 kj(329 kcal),+2%,"2,7",+42%,"0,8",+80%,"71,4",-0%,"40,3",-7%,"4,9",+34%,"0,62",+30%,"0,248",+30%,15,+8%,D,+8%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,['le temps des cerises'],['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten']",4,,,,210,,,,,,,
1503,Coulis de framboise - Collines En Limousin - 220g,3517830000041,,['Bouteille verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aides culinaires', 'Aides à la pâtisserie', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de framboise', 'Aide culinaire sucrée']",['France'],"['75% de purée de framboises', 'sucre de canne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,31 g,en quantité élevée,0 g,en faible quantité,?,,144,+10%,602 kj(144 kcal),+9%,0,-100%,0,-100%,35,+25%,31,+18%,1,+13%,0,-100%,0,-100%,2,-22%,B,-22%,,,,,,,,['Collines En Limousin'],,,3,['Fabrication artisanale'],['Carrefour Market'],,220 g,,['La Jarrige - 23320 St-Vaury'],,,,,
1504,Confiture de myrtilles - Collines en Limousin - 340g,3517830342103,C,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",['France'],"['myrtilles* 60%', 'sucre* 40%', 'pectine ', 'gélifiant', "" si les fruits n'en contenaient pas suffisamment"", "" *issu de l'agriculture biologique""]",[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,?,,210,-4%,879 kj(210 kcal),-4%,0,-100%,0,-100%,48,-10%,48,-6%,0,-100%,0,-100%,0,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Collines en Limousin'],['E440 - Pectines'],,4,"['Bio', 'Bio européen', 'FR-BIO-01']",,,340 g,,,,,,,
1505,Pure Isolate 100% Whey Chocolate 750G - Eafit - 750g,3518681004691,,['Plastique'],['Compléments alimentaires'],['France'],[],[],1.6 g,en faible quantité,0.7 g,en faible quantité,1 g,en faible quantité,0.59 g,en quantité modérée,?,,361,+24%,1510 kj(361 kcal),+25%,"1,6",-75%,"0,7",-72%,"4,5",-76%,1,-86%,81,+137%,"0,59",+6%,"0,236",+6%,-2,-130%,A,-130%,,,,,,,,['Eafit'],,,,,,,750 g,,,,,,,
1506,Eafit Protivegan Vanille - Caramel 450G,3518681009504,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"4,3",,"0,5",,"5,9",,"0,3",,72,,3,,"1,2",,,,,,,,,,,,,['Eafit'],,,,,,,,,,,,,,
1507,Saucisson sec,3519530000482,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],25 g,en quantité élevée,0.9 g,en faible quantité,2.2 g,en faible quantité,6.4 g,en quantité élevée,?,,357,-11%,1494 kj(357 kcal),-12%,25,-21%,"0,9",-93%,5,+124%,"2,2",+61%,17,-38%,"6,4",+37%,"2,56",+37%,14,-42%,D,-42%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,
1508,SAUCE TOMATE AUX PIQUILLOS,3519622530002,,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,2,,2,,8,,7,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Haricots verts extra fins ANNE ROZES - 660g poid net egouter345g,3519622610001,A,['Bocal en  verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",['France'],"['Haricots verts', 'jus ', 'eau', 'sel 1%']",['Sans huile de palme'],0.5 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en faible quantité,0.72 g,en quantité modérée,?,,22,-19%,92 kj(22 kcal),-16%,"0,5",+97%,"0,5",+831%,"1,5",-50%,"1,1",+17%,"1,5",-5%,"0,72",+39%,"0,288",+39%,-2,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,"['Anne Rozes', 'Haricots vert extra-Fin']",,,3,,['carrefour contact'],,660 g poid net egouter345 g,,['64240 Briscous'],,,['Inconnue'],,
1510,Mont d'or - Napiot - 1Pièce,3520115810174,D,"['Frais', 'Bois', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or"", 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['LAIT cru entier', 'sel', 'présure', 'ferments LACTIQUES']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",25 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,303,+2%,1268 kj(303 kcal),+3%,25,+1%,16,-4%,0,-100%,0,-100%,18,+2%,"1,4",-1%,"0,56",-1%,14,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Napiot'],,['Lait'],3,"['Point Vert', 'AOC']",['Intermarché'],Mont d'Or,1 Pièce,,['France'],"['FR 25.282.002 CE', 'Goux-les-Usiers (Doubs, France)']",,,,
1511,Royal cornetto,3520740999947,,,,['France'],[],[],,,,,,,,,?,,316,,1322 kj(316 kcal),,18,,13,,34,,24,,"4,2",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Mélange nature - Philia,3520831330789,,,,['France'],"['raisin sultanine* ', 'raisin*', 'huile de tournesol', ' ', 'Turquie', '30% amande* ', 'Italie', '20% noix de cajou* 10% noisette*', 'ltalie', "" * issus de t'agriajlture biologque Présence frtÀts à""]",[],,,,,,,,,?,,495,,2071 kj(495 kcal),,31,,"3,4",,"33,9",,"29,8",,"14,5",,"0,5",,"0,2",,,,,,,,,,,,,['Philia'],,,,['Bio'],,,,,,,,,,
1513,Arachides coque - Philia,3520831330994,,,,['France'],"[' arachide* ', 'Egypte', '* produits issus de ragricutture biobgique Traces possible de fruits coque', 'arachides', 'gluten,sésame et soja ? EMB:13216F']",[],,,,,,,,,?,,636,,2661 kj(636 kcal),,50,,"10,3",,"14,9",,"4,72",,"24,9",,"0,025",,"0,01",,,,,,,,,,,,,['Philia'],,['Arachides'],4,['Bio'],,,,,,,,,,
1514,MIX ANTIPASTI - Philia,3520832130500,,,,['France'],[],[],,,,,,,,,?,,81,,339 kj(81 kcal),,"5,98",,"0,65",,"4,3",,"1,83",,"1,37",,"2,09",,"0,836",,,,,,,,,,,,,['Philia'],,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,,,
1515,Riz de Camargue rond blanc spécial risotto - Riz Canavere,3520991500114,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']",['France'],"[""Cuisson à la créole : Verser un volume de Riz dans 10 volumes d'eau bouillante"", ' Laisser cuire à petits bouillons', ' Egoutter et servir']",[],0.9 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.005 g,en faible quantité,?,,348,-1%,1456 kj(348 kcal),-1%,"0,9",-51%,"0,2",-52%,"77,6",+3%,"0,5",+8%,"7,1",-5%,"0,005",-40%,"0,002",-40%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,['Riz Canavere'],,,,,,,,,,,,,,
1516,Taureau - Le Batistou,3521831707779,,,,['France'],[],[],,,,,,,,,?,,289,,1209 kj(289 kcal),,24,,9,,3,,"0,5",,16,,"1,5",,"0,6",,,,,,,,,,,,,['Le Batistou'],,,,,,,,,,,,,,
1517,Jambon blanc superieur - Leforgeais - 180g,3521921000018,E,"['Frais', 'Plastique']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],"['Jambon de porc ', ' sel ', ' arômes ', ' sirop de glucose ', ' anti oxydant : E316 : conservateur E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4.5 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,2.2 g,en quantité élevée,?,,120,-9%,502 kj(120 kcal),-8%,"4,5",-6%,"4,5",+145%,"5,5",+722%,1,+68%,2,-91%,"2,2",+18%,"0,88",+18%,14,+99%,D,+99%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Leforgeais'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,['Qualité supérieure'],"[""Épicerie L'escale - Regnéville-sur-mer""]",,180 g,,,"['FR 50.499.001 CE', 'Saint-Laurent-de-Cuves (Manche, France)']",,,,
1518,Farine blé t65 - minoterie Dupuy couturier - 1kg,3522080000321,A,['sac papier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65']",['France'],['Farine de blé T65'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.9 g,en faible quantité,0 g,en faible quantité,2.3 g,en faible quantité,0 g,en faible quantité,?,,347,+1%,1452 kj(347 kcal),+1%,"1,9",+61%,0,-100%,72,+3%,"2,3",+32%,"9,9",-12%,0,-100%,0,-100%,-3,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['minoterie Dupuy couturier', 'Ensemble', 'Biocoop']",,,1,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert', 'Certifiėe-par-fr-bio-01-agriculture-france']",['Biocoop'],,1kg,,"[""minoterie Dupuy couturier L'état 42""]",['72318'],,['France'],,
1519,Chevre,3523230038683,,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,26,,16,,1,,1,,20,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,,,,
1520,Terrine de canard à l'Armagnac - So délice,3525167113181,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],20 g,en quantité modérée,7.6 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,259,-15%,1084 kj(259 kcal),-15%,20,-24%,"7,6",-20%,"0,6",-65%,"0,1",-84%,17,+20%,"1,4",-8%,"0,56",-8%,16,-11%,D,-11%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,['So délice'],,,,,,,,,,"['FR 71.004.001 CE', 'Allériot (Saône-et-Loire, France)']",,,,
1521,"High Protein, Cranberry White Chocolate",3525722017084,,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"10,8",,"3,8",,"30,9",,"12,2",,"32,1",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Crème de chataigne vanille - Les Confitures Demelin,3525830000855,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",['France'],"['Châtaigne* 49%', 'sucre de canne blond', 'extrait de vanille Bourbon de Madagascar 1%', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,241,-4%,1008 kj(241 kcal),-4%,0,-100%,0,-100%,57,-5%,53,+6%,1,-9%,0,-100%,0,-100%,11,-4%,D,-4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,['Les Confitures Demelin'],,,3,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
1523,Petits Pâtés De Pezenas - Leader Price,3527170000069,,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,"19,6",,"7,8",,"52,5",,"19,1",,"7,4",,"1,8",,"0,72",,,,,,,,,,,,,['Leader Price'],,,,,['Leader Price'],,,,,,,,,
1524,Terrine à la bière d'Alsace - Produits de la Cigogne,3527480100077,,,['Terrines'],['France'],[],[],27 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,313,+4%,1310 kj(313 kcal),+5%,27,+5%,"9,7",+2%,2,-8%,0,-100%,15,+7%,"1,5",-2%,"0,6",-2%,18,+2%,D,+2%,,,,,,,,['Produits de la Cigogne'],,,,,,,,,,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",,,,
1525,Nougat de montélimart - Les ruches Montiliennes - 200g,3527690001447,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",['France'],[],[],15.6 g,en quantité modérée,1.3 g,en faible quantité,56.3 g,en quantité élevée,0.02 g,en faible quantité,?,,431,-5%,1803 kj(431 kcal),-5%,"15,64",-7%,"1,3",-25%,"67,72",+2%,"56,27",-1%,"7,36",-5%,"0,02",-44%,"0,008",-44%,16,+1%,D,+1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['Les ruches Montiliennes'],,,,,,,200 g,,,,,,,
1526,Confiture d'abricot bio - verfeuille - 360g,3527860001628,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],"['Abricot', 'sucre de canne', 'jus de citron', 'gélifiant: pectine de fruit']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.2 g,en faible quantité,59.2 g,en quantité élevée,0.04 g,en faible quantité,1041,+14%,?,,1041 kj(249 kcal),+14%,"0,3",+33%,"0,2",+368%,"60,2",+13%,"59,2",+17%,"0,5",-0%,"0,04",+82%,"0,016",+82%,12,+33%,D,+33%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Verfeuille'],['E440 - Pectines'],,4,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,360 g,,,,,,,
1527,Mogette de vendee,3528302012257,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Mogette de Vendée']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,102,-33%,427 kj(102 kcal),-34%,"0,5",-53%,0,-100%,"16,9",-9%,0,-100%,7,-31%,1,+97%,"0,4",+97%,-4,,A,,,,,,,,,,,,,,,,,,,,,,,
1528,Cantal entre deux - Fromapac,3529380007210,,,,['France'],[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,30,,22,,"1,5",,"0,5",,25,,2,,"0,8",,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,
1529,Maasdam (27 % MG) - Fromapac - 200g,3529380007326,C,"['Frais', 'Film plastique soudé']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Maasdam']",['France'],"['Lait pasteurisé de vache', 'sel', 'ferments lactiques', 'coagulant', 'conservateur E251']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Fromapac', 'Savencia']","['E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],3,"['Point Vert', 'Eco-Emballages', 'Fabriqué en Hollande']",['Super U'],"Fromage des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache",200 g,,"['Hollande', 'Pays-Bas']","['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,
1530,Jus de pomme - Ferme du Theil - 100cL,3529950000207,A,"['Bouteille', 'Bouteille en verre', 'Verre']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['France'],['Pur jus de pommes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0.1 g,en faible quantité,10.2 g,en quantité élevée,0 g,en faible quantité,?,,48,+4%,201 kj(48 kcal),+5%,"0,2",+22%,"0,1",+212%,"10,6",-3%,"10,2",-1%,"0,2",-6%,0,-100%,0,-100%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,['Ferme du Theil'],,,1,,,,100 cL,,['France'],,,['France'],,
1531,Foies confits de volaille - Père Dodu - 300g,3531937495005,,['Etui'],"['Poissons et viandes et oeufs', 'Abats', 'Confits']",['France'],"['Foies de poulet 90%', 'graisse de canard 5%', 'sel', 'arômes', 'conservateur: nitrite de sodium', 'antioxydant : érythorbate de sodium', ' foies de poulet origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",6.8 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,598,-15%,143,,598 kj(143 kcal),-19%,"6,8",-9%,"2,3",+18%,"1,4",-86%,"0,5",-94%,19,+51%,"1,2",+11%,"0,48",+11%,3,-59%,C,-59%,,,,,,,,['Père Dodu'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,4,"['Sans colorants', 'Sans exhausteur de goût', 'Sans huile de palme', 'Nutriscore', 'Nutriscore C']",,"Foies de poulet traités en salaison, confits dans la graisse de canard",300 g,,"['Galliance Elaborés 6 Allée des Penières', '85670 FALLERON']","['FR 85.086.001 CE', 'Falleron (Vendée, France)']",https://www.peredodu.fr/la-volaille-deja-cuite/les-cuisines/les-confits/,['France'],,
1532,Barbe a papa - Calelia - 10g,3532090009467,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Barbes à papa']",['France'],['Papa SAVEUR FRAISE Ambiance Fête'],[],0 g,en faible quantité,0 g,en faible quantité,99.8 g,en quantité élevée,0 g,en faible quantité,?,,404,+9%,1690 kj(404 kcal),+7%,0,-100%,0,-100%,"99,8",+6%,"99,8",+6%,0,-100%,0,-100%,0,-100%,15,+7%,D,+7%,,,,,,,,['Calelia'],,,,,,,10 g,,,,,,,
1533,Chocolat noir ouganda 80%de cacao - Réauté Chocolat,3532100000002,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Pâte de cacao', 'sucre', 'beurre de cacao', ""arôme naturel de vanille Peut contenir des traces d'arachides"", 'de fruits ù coques', 'de gluten', 'de soja', ""de lait et d'oeufs Cacao : 80% minimum "", 'chocolat noir']",[],47.8 g,en quantité élevée,28.9 g,en quantité élevée,19.4 g,en quantité élevée,0 g,en faible quantité,?,,589,+6%,2464 kj(589 kcal),+6%,"47,8",+21%,"28,9",+25%,"25,1",-35%,"19,4",-39%,"8,6",+12%,0,-100%,0,-100%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Réauté Chocolat'],,['Arachides'],4,,,,,,,,,['Ouganda'],,
1534,Chocolat noir 64% de cacao PÉROU PURE ORIGINE - Réauté Chocolat - 85g,3532300000000,E,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Pâte de cacao', 'sucre', 'beurre de cacao', 'arôme naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",39.4 g,en quantité élevée,23.8 g,en quantité élevée,34.6 g,en quantité élevée,0.025 g,en faible quantité,?,,538,-3%,2251 kj(538 kcal),-3%,"39,4",0%,"23,8",+3%,"39,1",+1%,"34,6",+9%,"6,8",-11%,"0,025",-46%,"0,01",-46%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Réauté Chocolat', 'Réauté']",,,4,['Fabriqué en France'],,,85 g,,['France'],,,['Pérou'],,
1535,Tuile pépites saveur framboise,3532420543227,,,,['France'],[],[],,,,,,,,,?,,465,,1946 kj(465 kcal),,18,,13,,69,,45,,6,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,"Mendiants, Chocolat Noir 70% De Cacao - Réauté Chocolat",3533200000008,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],43.4 g,en quantité élevée,22.3 g,en quantité élevée,24.6 g,en quantité élevée,0.1 g,en faible quantité,?,,565,+2%,2364 kj(565 kcal),+2%,"43,4",+10%,"22,3",-3%,"28,1",-27%,"24,6",-22%,"9,3",+21%,"0,1",+114%,"0,04",+114%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Réauté Chocolat'],,,,,,,,,,,,,,
1537,Crêpe dentelle au chocolat noir à l'orange GAVOTTES,3535800113515,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,21,,14,,67,,44,,"5,5",,"0,24",,"0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Toastinade - La Bastide,3536840021013,,,,['France'],"['Pensez au tri ! > bac ou container vert sans le couvercle logréglients Tomates séchées réhydratées•', ""huile de tournesol,emu huile d'olive "", '7', '6%', 'ail', 'de basdic Conserver au frais aprés ouverture et consommer sous t semaine Ce produit peut contenir des traces ', 'W±luten et fruits à coque']",[],,,,,,,,,?,,416,,1741 kj(416 kcal),,"39,02",,"4,54",,"10,87",,"8,56",,"3,62",,"0,008",,"0,003",,,,,,,,,,,,,['La Bastide'],,,,,,,,,,,,,,
1539,3537580705065,3537580705065,,,,['France'],[],[],,,,,,,,,?,,313,,1310 kj(313 kcal),,27,,10,,"2,4",,"1,1",,15,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Les Rillettes saveur Chorizo piment fumé d'Espagne -,3537580705867,,,,['France'],"['tir saveur Chorizo aijilett63 porc ', '86%', ' gras dc porc', 'piments ', '3,8%', '""Picer„ qarlii}l —adon nutritionnello pour i 00 g / nutrltlon Informatif guc$l•Matières grasses/ Fat : 38 g ', ' dont acides gras 0', 'w g ']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,408,,1707 kj(408 kcal),,38,,15,,"1,5",,"0,5",,15,,1,,"0,4",,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,,,,,,,,,
1541,Terrine Forestière -,3537580706871,,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,26,,10,,"2,5",,"1,3",,14,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Style Chlorophylle Sans Sucres - Hollywood - 27g,3538280035605,,"['Carton', 'Film', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Suisse']","['Edulcorants ', 'Sorbitol', 'Sirop de maltitol', 'Xylitol', 'Maltitol', 'Aspartame', 'Acésulfame K', 'Sucralose', 'Gomme base', 'Arômes', 'Agent de charge ', 'E170', 'Humectant ', 'E422', 'Emulsifiant ', 'Lécithine de tournesol', 'Antioxydant ', 'E321', 'Colorants ', 'E141', 'E133']",['Sans huile de palme'],2.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,170,+6%,711 kj(170 kcal),+6%,"2,5",+1169%,"0,3",+159%,"60,9",-3%,0,-100%,"0,5",+288%,0,-100%,0,-100%,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E170 - Carbonates de calcium', 'E422 - Glycérol', 'E322i - Lécithine', 'E321 - Butylhydroxytoluène', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,4,"['Peu ou pas de sucre', 'Labels liés à la santé des dents', 'Sans sucre', 'Union française pour la santé bucco-dentaire']",,Chewing-gum sans sucres avec édulcorants parfum menthe verte.,27 g,,,,,,,
1543,Nonnettes Au Miel Et à L'orange x 6 - 150g,3540860005472,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",['France'],[],[],2.3 g,en faible quantité,0.38 g,en faible quantité,45 g,en quantité élevée,0.38 g,en quantité modérée,?,,338,-0%,1414 kj(338 kcal),-0%,"2,3",+16%,"0,38",-9%,75,-1%,45,-0%,"3,4",-8%,"0,38",-28%,"0,152",-28%,14,-7%,D,-7%,,,,,,,,,,,,,,,150 g,,,,,,,
