,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,labels,allergens,ingredients_origins,manufacturing,link,palm_ingredients,markets,generic_name,brand_owner,traceability_code
1290,Knekkebrød - Sigdal,7071848004492,['Sigdal'],['France'],[],[],?,488,2042 kj(488 kcal),"26,6","3,4","37,1","1,8","18,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Fröknäcke - Sigdal,7071848005567,['Sigdal'],['France'],[],[],?,488,2042 kj(488 kcal),"26,6","3,4","37,1","1,8","18,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Pain D'avoine - Sigdal bakeri,7071848006984,['Sigdal bakeri'],['France'],[],[],?,475,1987 kj(475 kcal),26,3,38,2,17,"1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,
1293,Pain craquant épeautre et miel - Sigdal,7071848007790,['Sigdal'],['France'],[],[],?,412,1724 kj(412 kcal),?,"2,4",?,"7,3","14,6","0,7","0,28",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",,,2.4 g,en quantité modérée,7.3 g,en quantité modérée,0.7 g,en quantité modérée,,+53%,+54%,,+550%,,+249%,+51%,-43%,-43%,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,
1294,Fröknäcke - Sigdal,7071848020119,['Sigdal'],['France'],[],[],?,529,2213 kj(529 kcal),"33,5",4,"33,3","1,8","18,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Muffin Caramel - Aunt Mabel's,7071864003752,"[""Aunt Mabel's""]",['France'],"['Farine de blé', 'sucre', 'huile de colza', 'œufs', 'fourrage caramel 10% ', 'sirop de glucose', 'lait concentré sucré', 'eau', 'sucre', 'beurre', 'amidon modifié', 'émulsifiant ', 'E471', 'lécithine de soja', 'arôme', ""régulateur d'acidité "", 'E331ii', 'sel', 'conservateur ', 'E202', 'acidifiant ', 'E334', 'épaississant ', 'E440', 'chocolat au lait 5,1% ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiant ', 'lécithine de soja', 'arome naturel de vanille', 'eau', 'amidon modifié ', 'E1422', 'humectant ', 'E422', 'sel', 'poudre à lever ', 'E450', 'E500', 'émulsifiant ', 'E471', 'gluten de blé', ""blanc d'oeuf en poudre"", 'stabilisant ', 'E415', 'conservateur ', 'E202', 'arôme', ""Peut contenir des traces d'amandes"", 'de noix de pécan', 'de noix et de noisettes', ' DO nOn roconaeler', 'A consormmer de préférence']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,367,1536 kj(367 kcal),"19,3","3,1","43,4","26,2",5,"0,9","0,36",,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'en:Caramel muffin']",19.3 g,en quantité modérée,3.1 g,en quantité modérée,26.2 g,en quantité élevée,0.9 g,en quantité modérée,,-7%,-7%,-4%,-17%,-11%,-3%,-4%,+21%,+21%,15,-3%,D,-3%,,,,,,,,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E331ii - Citrate disodique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E334 - Acide L-tartrique', 'E440 - Pectines', 'E1422 - Adipate de diamidon acétylé', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",4,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,,,['Carrefour'],,,
1296,Farfalline - Barilla,7076843765591,['Barilla'],['France'],"['semoule de blé dur', 'eau', "" Peut contenir des traces d'eufs si produit dans l'établissement indiqué avec la lettre "", 'A', "" Modalité de cuisson pour 1 oog de pâtes : 1 litre d'eau ? 7g de sel"", "" Faire bouillir l'eau et ajouter le sel"", ' Verser les pâtes et remuer de temps en temps', ' Temps de cuisson 8 min', ' Egoutter les pâtes', ' Conserver dans un endroit frais et sec', ' Barilla G', ' e R', ' Fratelli - Società per Azioni - Via Mantova 1 66', 'Parma - Italy', ' Produit dans ie pays indiqué par la lettre entre parenthèses à côté de la date : ', 'A', ' ITALIE - ', 'F', ' ITALIE - ', 'E', ' ITALIE', ' *Marque NOI des ventes en Italie']",[],?,359,1502 kj(359 kcal),2,"0,5","72,2","3,5","11,5","0,013","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],['Fruits à coque'],,,,,,,,
1297,Maccheroni n. 44 - Barilla - 1000g,7076848514422,['Barilla'],['France'],"['Semoule de blé dur', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,356,1490 kj(356 kcal),"1,5","0,3","72,2","3,5",12,"0,005","0,002",1000 g,"['Boîte', 'Carton']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Macaroni de blé dur']",1.5 g,en faible quantité,0.3 g,en faible quantité,3.5 g,en faible quantité,0.00508 g,en faible quantité,,-1%,-1%,-16%,-19%,+2%,+1%,-1%,-72%,-72%,-4,,A,,,,,,,,,,1,['N° 1 in Italia'],['Gluten'],,['Italie'],http://www.barilla.fr/produits/Pates/Classiques/Maccheroni.htm,,,Pâtes alimentaires au blé dur,,
1298,Mulino Bianco,7076848517706,"['Mulino Bianco', 'Barilla']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,7076848570657,7076848570657,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,Soupe chinoise - Maggi,70998283,['Maggi'],['France'],['Versez /e contenu du sachet dans 750 d froide - et portez à ébu//ition'],[],?,29,121 kj(29 kcal),"0,4",0,"4,8","0,8","0,9","0,6","0,24",,,,"['Plats préparés', 'Soupes']",0.4 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,0.6 g,en quantité modérée,,-49%,-49%,-79%,-100%,-17%,-54%,-59%,-31%,-31%,2,+22%,B,+22%,,,,,,,,,,['Sans conservateurs'],,,,,,,,,
1301,7100004500001,7100004500001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,
1302,7101917713014,7101917713014,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,7102018708558,7102018708558,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,"['EMB 48094', 'Massegros (Lozère, France)']"
1304,Eau de coco royale - gingembre et citronnelle - Base Organic Food,7108811320386,['Base Organic Food'],['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,1","4,6","4,6","0,5","0,03","0,012",,,,['Boissons'],0.5 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en quantité modérée,0.03 g,en faible quantité,,-64%,-65%,+44%,-15%,-59%,-51%,+1%,-28%,-28%,7,-9%,D,-9%,,,,,,,,,,['Bio'],,,,,,,,,
1305,Sleep Well - Panda Tea - 42g,7108811566340,['Panda Tea'],['France'],"['Rooibos', 'Pomme', 'Verveine', 'Feuilles de Mûres', 'Arômes naturels']",[],?,1,4 kj(1 kcal),"0,1",0,0,0,0,0,0,42 g,"['Sachet', 'Plastique']",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Infusions Bonne Nuit', 'Boissons sans sucre ajouté']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-50%,-50%,+1699%,,-100%,-100%,-100%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,4,"['Bio', 'Bio européen', '1% pour la planète', '100% naturel', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,
1306,Huile de coco vanille - organic food - 200ml,7108812174193,['organic food'],['France'],[],[],?,899,3761 kj(899 kcal),99,"92,9",0,0,0,0,0,200ml,['pot en verre'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huile de coco vanille']",99 g,en quantité élevée,92.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+2%,+10%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Sri Lanka'],['agriculture non UE'],,,['Nouri bio market'],,,
1307,Barre Vegan Amandes,7108814991262,,['France'],[],"['Végétalien', 'Végétarien']",?,450,1883 kj(450 kcal),"21,7",4,47,"25,7","11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique']",,,,,,,,,
1308,Eau de coco royal,7108815019231,,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,1","4,6","4,6","0,5","0,03","0,012",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",0.5 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en quantité modérée,0.03 g,en faible quantité,,+5%,+1%,+481%,+224%,+1%,+27%,+339%,-54%,-54%,7,+185%,D,+185%,,,,,,,,,,['Bio'],,,,,,,,,
1309,Huile de coco Ail&Chili,7108815966689,,['France'],[],[],?,895,3745 kj(895 kcal),"99,1","92,3",0,0,0,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",99.1 g,en quantité élevée,92.3 g,en quantité élevée,0 g,en faible quantité,,,,+4%,+4%,+2%,+9%,-100%,-100%,-100%,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1310,Barré aux céréales aux bouts d'fraises,7108816955446,,['France'],[],[],?,425,1778 kj(425 kcal),15,"1,1",63,23,"7,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs']",,,,,,,,,
1311,BIWI,7110531649210,,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,1",5,5,"0,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Biwi drink,7110539652717,,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,1",5,5,"0,5","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Bonbons au miel de savoie,7111602737706,,['France'],[],[],?,402,1682 kj(402 kcal),"0,05",0,"98,9",81,"0,06","0,015","0,006",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0.05 g,en faible quantité,0 g,en faible quantité,81 g,en quantité élevée,0.015 g,en faible quantité,,+5%,+4%,-82%,-100%,+5%,+17%,-86%,-25%,-25%,15,+8%,D,+8%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1314,Grill végétal steaks soja et blé  - Cereal  - 180g,7111617788441,['Cereal'],['France'],[],[],?,?,,?,,?,,?,,,180g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,
1315,7127182728959,7127182728959,,['France'],"['Lait écrémé réhydraté ', 'origine : France', 'fromages ', 'dont 13% de chèvre dans la variété Chèvre', 'beurre', 'protéines de lait', 'sels de fonte : polyphosphates', 'citrates de sodium', 'acide citrique', 'diphosphates et phosphates de sodium', 'arôme naturel', 'arômes ', 'poissons', 'arômes de fumée', 'arôme naturel ail avec autres arômes naturels', 'exhausteur de goût : glutamate monosodique', 'sel', 'épaississants : carraghénanes et farine de graine de caroube', 'conservateurs : sorbate de potassium et nisine']",['Non végétalien'],?,258,1079 kj(258 kcal),"21,5","14,5","4,5","4,5","11,5","1,8","0,72",,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fondue', 'Fromages apéritif', 'Cubic-appetizer-cheese']",21.5 g,en quantité élevée,14.5 g,en quantité élevée,4.5 g,en faible quantité,1.8 g,en quantité élevée,,-9%,-8%,-12%,-10%,+4%,+17%,+8%,+11%,+11%,15,0%,D,0%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E450i - Pyrophosphate de sodium acide', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E234 - Nisine']",4,,"['Poisson', 'Lait']",['Fabriqué dans le Jura'],['Fabriqué dans le Jura'],,,,,,"['FR 39.198.001 CE', 'Dole (Jura, France)', 'FR 39.300.001 CE', 'Lons-le-Saunier (Jura, France)']"
1316,7132827411806,7132827411806,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,7154728213020,7154728213020,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Beurre d'Isigny AOP de Baratte Extra-Fin Demi-Sel - REFLET DE FRANCE - 250g,7171328887888,['REFLET DE FRANCE'],['France'],"['Crème de lait', 'sel de Guérande 2%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2980,725,2980 kj(725 kcal),81,57,"0,6","0,6","0,7",2,"0,8",250 g,"['Frais', 'Plastique', 'Carton']",D,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres français', 'Beurres demi-sel', ""Beurre d'Isigny""]",81 g,en quantité élevée,57 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,,-1%,-2%,-0%,+3%,+20%,+20%,0%,+116%,+116%,26,+19%,E,+19%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,2,"['AOP', 'Point Vert', 'Fabriqué en France', 'Triman']",['Lait'],['France'],"['France', 'Normandie']",,,['Carrefour'],,,"['FR 14.342.001 CE', 'Isigny-sur-Mer (Calvados, France)']"
1319,Boîte Plastique Magdalenas  - Serebis - 350g,7171918008617,['Serebis'],['France'],"['Farine de blé', 'sucre', 'huile végétale ', 'tournesol', 'soja', ' en proportion variable', 'œuf', 'stabilisants ', 'glycérine', 'E420ii', 'poudre à lever ', 'carbonate acide de sodium', 'eau', 'sirop de glucose et fructose', 'acidifiant ', 'E334', 'conservateurs ', 'E202', 'E282', 'sel et arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1853,444,1853 kj(444 kcal),"24,4","4,1","52,2","25,3","4,7","0,8","0,32",350 g,"['Boîte plastique', 'Plastique']",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",24.4 g,en quantité élevée,4.1 g,en quantité modérée,25.3 g,en quantité élevée,0.8 g,en quantité modérée,-1%,+1%,+1%,+7%,-41%,-1%,-8%,-17%,-1%,-1%,17,-8%,D,-8%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['E422 - Glycérol', 'E420ii - Sirop de sorbitol', 'E500ii - Carbonate acide de sodium', 'E334 - Acide L-tartrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']",4,"['Point Vert', 'Fabriqué en Espagne']","['Œufs', 'Gluten', 'Soja']",,['Espagne'],,,['Auchan'],,,
1320,Laitue Iceberg - Leader Price - 300g,7172827818397,['Leader Price'],['France'],['Laitue iceberg'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",59,?,59 kj(14 kcal),~ 0,~ 0,2,2,"0,9","0,03","0,012",300 g,"['Frais', 'Sachet plastique']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Laitues', 'Laitue iceberg']",0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.03 g,en faible quantité,-11%,,-11%,-100%,-100%,-2%,+41%,+5%,-33%,-33%,-6,,A,,41.5%,0.0%,0.0%,19.1%,27.3%,12.1%,97,,1,"['Point Vert', 'Sans conservateurs', 'Eco-Emballages']",,['France'],"[""Florette France GMS - FFG (Filiale Agrial) - Espace d'activités Fernand Finel - 50430 Lessay"", 'Manche', 'Basse-Normandie', ""Florette France GMS - FFG (Filiale Agrial) - 1595 Avenue des Deux Vallées - Zone d'activité A2 Actipôle - 59554 Raillencourt-Sainte-Olle"", 'Nord', 'Nord-Pas-de-Calais', ""Florette France GMS - FFG (Filiale Agrial) - Route du Thor - ZI Petite Marine - 84800 L'Isle-sur-la-Sorgue"", 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']",,,"['Franprix', 'Leader Price']",Laitue iceberg,,"['EMB 50267', 'Lessay (Manche, France)', 'EMB 59488AD', 'Raillencourt-Sainte-Olle (Nord, France)', 'EMB 84054H', 'Isle-sur-la-Sorgue (Vaucluse, France)', 'EMB 50207', 'Golleville (Manche, France)']"
1321,Haricots verts - Marsil Fresh - 250g,7174000196001,['Marsil Fresh'],['France'],"['haricots verts', 'calibre très fin']",[],?,?,,?,,?,,?,,,250 g,['Plastique'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Haricots verts', 'Légumineuses frais', 'Légumes frais', 'Haricots verts frais']",,,,,,,,,,,,,,,,,,,,,,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,1,['Catégorie I'],,['Kenya'],,,,['Marché de Beynost'],Haricots verts,,
1322,Mixed Pickle - Pasco,7178600000218,['Pasco'],['France'],[],[],?,205,858 kj(205 kcal),"17,1",0,"9,1",0,"2,8",7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Pasco Mango & Lime Pickles,7178600001628,['Pasco'],['France'],[],[],?,249,1042 kj(249 kcal),"31,8",1,"10,1","2,1","1,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,Jus de pomme - Paquito - 1L,71782584,"['Paquito', 'Refresco']",['France'],[],[],?,46,192 kj(46 kcal),"0,5","0,1","11,1",10,"0,5","0,01","0,004",1L,['Brique'],C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,0%,+1%,+205%,+212%,+2%,-3%,+135%,-8%,-8%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,['Fabriqué en France'],,,"['France', 'Marges']",,,['Intermarché'],,,"['EMB 26174B', 'Margès (Drôme, France)']"
1325,pains au chocolat Bio - Bien - 6,7184628604086,['Bien'],['France'],[],[],?,?,,?,,?,,?,,,6,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,['Bio'],,,,,,,,,
1326,Best products,7187916185540,['Best'],['France'],"['Eau', 'pulpe de goyave', 'jus concentré de pomme', 'ananas', 'fraise et carotte', ' Sucre acide citrique', ' Acidifiant', 'arome sans conservateur']",[],?,66,276 kj(66 kcal),"0,1",0,0,0,"0,1",0,0,,,,['Boissons'],0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+18%,+15%,-71%,-100%,-100%,-100%,-80%,-100%,-100%,10,+31%,E,+31%,,,,,,,,,1,,,,,,,,,,
1327,Magret de Canard du Sud-Ouest Fumé - Reflets de France - 90g,7231326087878,"['Reflets de France', 'Carrefour']",['France'],"['Magret de canard', 'sel', 'poivre', 'coriandre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'ferments']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1513,365,1513 kj(365 kcal),31,10,"1,5","0,8",20,"3,4","1,36",90 g,"['Carton', 'Frais', 'Plastique']",D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magrets de canard fumés', 'Viandes fumées']",31 g,en quantité élevée,10 g,en quantité élevée,0.8 g,en faible quantité,3.4 g,en quantité élevée,,+4%,+3%,+4%,-4%,+29%,+10%,+2%,+13%,+13%,22,-6%,E,-6%,78.4%,9.2%,2.0%,2.1%,1.0%,7.2%,27,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,['Point Vert'],,"['France', 'Sud-Ouest de la France']","['France', 'Sud-Ouest de la France']",https://www.refletsdefrance.fr/produits/boucherie-francaise/canard/magret-de-canard-du-sud-ouest-igp-fume,,['Carrefour'],,,
1328,Citronade - Natalie'S - 25cl,7253415558458,"[""Natalie'S""]","['France', 'États-Unis']","['Eau', 'pur jus de citron pressé ', '20 %', 'sucre de canne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),0,0,13,12,0,0,0,25 cl,"['Bidon', 'Plastique', 'surgelé']",,"['Boissons', 'Boissons avec sucre ajouté', 'Citronnades']",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,,+50%,+48%,-100%,-100%,+62%,+60%,-100%,-100%,-100%,15,+49%,E,+49%,,,,,,,,,3,"['Kascher', 'Point Vert', 'Sans conservateurs', 'en:Orthodox Union Kosher']",,,['États-Unis'],,,,,,
1329,pointe de brie  - carrefour - 200g,7271610870007,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,200g,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,['Carrefour'],,,
1330,Lasagnes aux œufs - Fiorini - 500g,7274726638813,['Fiorini'],['France'],[],[],?,?,,?,,?,,?,,,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,Pulco orange sanguine  - 70cl,7281357490840,['Pulco'],['France'],[],[],?,?,,?,,?,,?,,,70cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,Knedala - Knorr,7290000118277,['Knorr'],['France'],"['tlatzc flour ', '70%', ' ', 'contains Wheat :lMten', 'maltodextrin', 've eiable oil', 'flavour enhancer ', 'mono{odium glutamate', 'Salt', 'leavening agdnts ', 'E450', 'E500', 'stabilizer flavouring', ' Allergen liformation: Contains: Wheat ', 'lute', ' ', 'from matzo flour', ' May contam:k i', 'celery', 'eggs Directions 1', ' Beat 2 eggs lightl With a fork Ac']",[],?,390,1632 kj(390 kcal),"9,5","6,2",66,"2,5","10,1","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,['Sans conservateurs'],['Céleri'],,,,,,,,
1333,Saucisses viennoises - Hod Lavan,7290000155937,['Hod Lavan'],['France'],[],[],?,217,908 kj(217 kcal),17,7,6,"0,5",10,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,Escalopes de Poulet Barbecue - Of Tov - 350g,7290000156439,"['Of Tov', 'sans conservateurs ajoutés']",['France'],"['Poitrine de poulet ', '90%', 'eau ', '5%', 'glucides ', '1%', 'sel', 'isolat de protéine de_ soja_ / pois', 'amidon modifié', 'E1420', 'stabilisants ', 'E450', 'E451', 'E452', 'E407', 'E415', 'poivre', 'ail', 'paprika', ""huile d'épices "", 'paprika', 'poivre', 'extrait de romarin', 'arôme fumée', ' Préfrit dans l’huile de soja']","['Non végétalien', 'Non végétarien']",540,?,540 kj(129 kcal),3,1,"1,5",1,24,"1,13","0,452",350 g,"['Sachet', 'Plastique', 'Surgelé']",D,"['Viandes', 'Surgelés', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",3 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,1.13 g,en quantité modérée,,,-2%,+11%,+37%,-57%,+85%,+10%,+157%,+157%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E14XX - Amidons modifiés', 'E1420 - Amidon acétylé', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E392 - Extrait de romarin']",4,"['Kascher', 'Sans conservateurs']",['Soja'],,['Israël'],http://www.maayane.fr/node/53,,['Franprix'],,,
