,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
1873,Brie l’intense - Président - 200g,3228024170043,,200g,,['Président'],,,,['Delhaize'],"['Belgique', 'France']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Sucre de fleur de coco bio -,26075907,B,,,,"['Édulcorants', 'Sucres', 'Sucres de coco']",,,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,83 g,en quantité élevée,0.29 g,en faible quantité,?,,389,+2%,1628 kj(389 kcal),+2%,"0,5",+22%,"0,1",-34%,95,+1%,83,-1%,"1,4",+21%,"0,29",+47%,"0,116",+47%,15,+7%,D,+7%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,['Bio'],,,,,,,
1875,Heineken - 6x25cl,3119780268306,,6x25cl,"['Bouteille', 'Verre']",['Heineken'],"['Boissons', 'Boissons alcoolisées', 'en:Bieres', 'en:Boissons', 'en:Boissons-alcoolisees']",,,['Monoprix'],['France'],"['eau', ""malt d'orge"", 'extraits de houblon', ""levure '"", ""A'""]",,[],3,,,,,,,,,?,,42,+20%,176 kj(42 kcal),+19%,0,-100%,0,-100%,"3,2",-58%,0,-100%,0,-100%,"0,01",-80%,"0,004",-80%,,,,,,,,,,,,,,,,,['Gluten'],https://www.heinekenfrance.fr/nos-produits/nos-marques/heineken/,,
1876,Emmental - President,3228024180035,C,,,['President'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",,"['FR 53.061.001 CE', 'Charchigné (Mayenne, France)']",,['France'],[],,[],,29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,369,-2%,1544 kj(369 kcal),-2%,29,-1%,21,+7%,0,-100%,0,-100%,27,-2%,"0,6",-8%,"0,24",-8%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Bio', 'Bio européen']",,,,,,,
1877,Cantal A.O.P Jeune râpé,20291952,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal']",,,,['France'],[],,[],,30 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,372,+1%,1556 kj(372 kcal),+1%,30,+2%,22,+7%,"1,5",+11%,"0,5",+22%,24,-2%,"1,9",-3%,"0,76",-3%,17,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['AOP'],,,,,,,
1878,Curly donuts cacahuètes - 100g,3336971807049,B,100 g,['sachet en plastique'],['Curly'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']",,,,['France'],"['Semoule de mais', 'ARACHIDES 29% sUcre', 'huile de tournesol', 'sel', 'sucre caramélisé 0,6%', 'arôme naturel', 'tomate', ' Traces éventuelles de LAIT', 'FRUITS A COQUE']",,[],4,21.4 g,en quantité élevée,3.1 g,en quantité modérée,14.6 g,en quantité élevée,1.55 g,en quantité élevée,?,,476,-5%,1992 kj(476 kcal),-5%,"21,4",-15%,"3,1",-12%,"56,8",0%,"14,6",+317%,"11,6",+30%,"1,55",-18%,"0,62",-18%,17,+15%,D,+15%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,['Arachides'],,,
1879,3600541599062,3600541599062,,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
1880,Sauce tomate classique bio,26054216,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"3,5",,"0,3",,"9,8",,8,,"1,7",,"1,2",,"0,48",,,,,,,,,,,,,,['Bio'],,,,,,,
1881,Pâtes d'Alsace IGP Corolles - reflets de France - 250g,3560071086084,B,250g,['Plastique'],['reflets de France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes aux œufs', 'Pâtes sèches aux œufs']","['Alsace -  France valfleuri 5 rue de la Charente', '68271 Wittenheim']",['68376A'],['Carrefour'],['France'],"['Semoule de blé dur de qualité supérieure', 'oeufs frais de poules élevées en plein air 30% ', 'soit 320 g par kilo de semoule', "" 100% de ces ingrédients sont d'origine française"", ""Préparation: Versez les pâtes dans l'eau boullante salée "", ""1 litre d'eau pour 100 g de pâtes"", ' Remuez en cours de cuisson', ' Laisez cuire 7 minutes pour des pâtes al dente', ' Égouttez', 'accommodez à votre goût et servez']",,['Non végétalien'],,4.6 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,?,,363,-0%,1519 kj(363 kcal),-1%,"4,6",+9%,"1,2",+9%,64,-2%,3,+7%,15,+3%,"0,1",+4%,"0,04",+4%,-3,,A,,63.3%,21.1%,6.6%,5.4%,2.9%,0.8%,75,,['IGP'],,['France'],,"['Œufs', 'Gluten']",,,
1882,Chocolat céréale bars coconut - Aptonia,3583787995914,D,,,['Aptonia'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",,,['Décathlon'],['France'],"['CÉRÉALES 30', '5% ', ""FLOCONS D'AVOINE* FARINE DE BLE*"", 'FARINE DE RIZ', 'CHOCOLAT AU LAIT 30% ', 'SUCRE ', 'BEURRE DE CACAO', 'LAIT ENTIER EN POUDRE', 'PAÂTE DE CACAO', 'EMULSIFIANT: LÉCITHINES DE SOJA ET DE TOURNESOL', 'EXTRAIT DE VANILLE', 'SIROP DE RIZ', 'NOIX DE COCO 7%', 'HUILE DE TOURNESOL', 'DEXTROSE', 'SUCRE', 'SEL', 'AROME NATUREL', 'EMULSIFIANT: LECITHINES DE SOJA', 'ANTIOXYDANT: EXTRAIT RICHE EN TOCOPHÉROLS CONTIENT DU GLUTEN', ' PEUT CONTENIR DES TRACES EVENTUELLES DE SULFITES', 'ARACHIDES', 'FRUITS A COQUE']",['E322i - Lécithine'],"['Sans huile de palme', 'Non végétalien']",4,20 g,en quantité modérée,13 g,en quantité élevée,32 g,en quantité élevée,0.21 g,en faible quantité,?,,459,+4%,1920 kj(459 kcal),+2%,20,+3%,13,+30%,62,+5%,32,-1%,"5,9",-17%,"0,21",-44%,"0,084",-44%,22,+27%,E,+27%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,,['en:palm-oil-free'],,,,['Gluten'],,,
1883,Milka oreo - 100g,7622210834751,E,100 g,['Plastic'],['Milka Oreo'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolat au lait en tablette']",,,,"['France', 'Maroc', 'en:Maroc']","['سكر، زبدة الكاكاو، مسحوق الحليب خالي الدسم، مستحلب ليستين الصوجا ،نكهات صناعية ', 'فانيلا']",,[],,35 g,en quantité élevée,19 g,en quantité élevée,50 g,en quantité élevée,0.45 g,en quantité modérée,?,,559,+5%,2339 kj(559 kcal),+5%,35,+11%,19,+7%,56,+2%,50,-2%,5,-19%,"0,45",+50%,"0,18",+50%,27,+5%,E,+5%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,
1884,Stick lèvres anti dessèchement BIO - Dermophil - 4g,3415900031486,,4 g,,['Dermophil'],,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,
1885,"Monster munch ketchup - Vico - 200g ℮, 2sachets de 100g",3336971807025,,"200 g ℮, 2 sachets de 100 g","['Point vert', 'Pensez au tri!', 'Sachet plastique à jeter']",['Vico'],"['Snacks', 'Snacks salés']",,,,['France'],"['pomme de terre en poudre', 'huile de tournesol', 'amidon de maïs', 'chapelure de blé', 'farine de blé', 'amidon de pomme de terre', 'sucre', 'sel', 'arôme naturel', 'tomate', 'oignon', 'ail', ""émulsifiant: mono - et diglycérides d'acides gras"", 'paprika']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,22.4 g,en quantité élevée,2.6 g,en quantité modérée,6.5 g,en quantité modérée,2.01 g,en quantité élevée,?,,479,+4%,2004 kj(479 kcal),+4%,"22,4",-7%,"2,6",-39%,"65,8",+38%,"6,5",+99%,"4,2",-51%,"2,01",+31%,"0,804",+31%,16,+31%,D,+31%,,,,,,,,"Produit soufflé à base de pomme de terre, goût ketchup","['Fabriqué en France', 'Sans colorants']",,,,['Gluten'],,,
1886,Mélange de fruits - Carrefour,3560071194055,,,,['Carrefour'],,,,['Carrefour'],['France'],[],,[],,,,,,,,,,?,,69,,289 kj(69 kcal),,0,,0,,17,,17,,0,,0,,0,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,
1887,Moutarde de Dijon - U - 17cl 150g,3256227741791,B,17 cl 150 g,['verre cannelé'],['U'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,,['Magasins U'],['France'],"['Eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'antioxydant : DISULFITE de potassium', 'acidifiant : acide citrique']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,11.5 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,619,-4%,149,-6%,619 kj(149 kcal),-7%,"11,5",0%,"0,8",+5%,"3,2",-12%,"2,7",+20%,"7,2",+0%,"6,5",+10%,"2,6",+10%,9,-17%,C,-17%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Certains ingrédients ne proviennent pas de France', 'Transformé en France']",,,,"['Moutarde', 'Anhydride sulfureux et sulfites']",,,
1888,Haricots rouge - U - 450g,3256227443497,,450 g,['boîte'],"['U', 'U Bio']",['Plats préparés'],,,"['Magasins U', 'Super U']",['France'],"['Haricots rouges* ', 'origine: France', "" *Produit issu de l'agriculture biologique"", ' Traces éventuelles de céréales contenant du gluten et de soja']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.1 g,en faible quantité,0.2 g,en faible quantité,2.1 g,en faible quantité,0.03 g,en faible quantité,1330,+105%,314,+95%,1330 kj(314 kcal),+99%,"1,1",-85%,"0,2",-91%,46,+243%,"2,1",+1%,23,+229%,"0,03",-97%,"0,012",-97%,-7,-278%,A,-278%,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Récolté en France', 'Transformé en France', 'AB Agriculture Biologique']",,,,,,,
1889,Chalet crème de gruyère - 6portions de 140g net,7610900045747,D,6 portions de 140g net,['boîte'],['Chalet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,"['Belgique', 'France']","['Fromage 52% ', 'Gruyère 20%', 'eau', 'beurre', 'babeurre en poudre', 'sels émulsifiants ', 'E331', 'E 333', 'lait en poudre écrémé', 'sel']","['E331 - Citrates de sodium', 'E333 - Citrates de calcium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,24 g,en quantité élevée,14 g,en quantité élevée,2.5 g,en faible quantité,3.3 g,en quantité élevée,1220,-2%,249,-24%,1220 kj(249 kcal),-11%,24,-10%,14,-21%,"2,5",+107%,"2,5",+237%,17,-17%,"3,3",+154%,"1,32",+154%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Produit Suisse'],,,,['Lait'],,,
1890,Gruyère -,20295561,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Gruyères français']",,,,['France'],"['lait cru de vache', 'sel', 'ferments lactiques ', 'lait', 'présure']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,33 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,405,+2%,1695 kj(405 kcal),+2%,33,+2%,21,-1%,"0,5",+52%,"0,5",+99%,27,+7%,"0,8",-12%,"0,32",-12%,13,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['IGP'],,,,['Lait'],,,
1891,Salad bowl Maori - Sodébo - 315g,3242275003356,,315 g,,['Sodébo'],"['Plats préparés', 'Plats préparés au poisson', 'Plats au saumon']",,,,['France'],"['Riz cuit ', 'eau,riz', 'sel', 'fèves de soja', 'concombres', 'ananas boulgour cuit ', 'eau', 'blé dur concassé', 'sel', 'saumon fumé', 'quartier de citron', 'betteraves 5%', 'huile de colza', 'yaourt maigre', ""jaune d'ceuf"", 'purée de citron', 'oignons', 'lait de coco', 'eau', ""vinaigre d'alcool"", 'semoule de blé dur', 'graines de moutarde', 'amidon de maïs', 'sel', 'sésame', 'persil', 'gingembre', 'poivre']",,"['Non végétalien', 'Non végétarien']",3,4.9 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en faible quantité,0.7 g,en quantité modérée,?,,134,-10%,561 kj(134 kcal),-8%,"4,9",-31%,"0,7",-71%,16,+31%,"2,1",+17%,"5,6",-20%,"0,7",-4%,"0,28",-4%,1,-55%,B,-55%,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,"['Poisson', 'Moutarde', 'Graines de sésame']",,,
1892,Grimbergen - 25cl grimbergen pale ale - 5.50 degre alcool - 250ml,3080216052533,C,250 ml,['Bouteille'],['Grimbergen'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,['France'],"['Eau', ""MALT D 'ORGE"", 'sirop de glucose', 'MALT DE BLÉ', 'caramel aromatique', 'sucre', ""EXTRAIT DE MALT D'ORGE"", 'houblons et extraits de houblon']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,200,+3%,48,+9%,200 kj(48 kcal),+8%,0,-100%,0,-100%,"3,9",+0%,0,-100%,"0,4",0%,"0,01",-37%,"0,004",-37%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,bière,"['Déconseillé aux femmes enceintes', 'Triman']",,,,['Gluten'],,,
1893,"Houmous extra, pois chiches, graines de sésame - Blini",3292070009428,B,,,['Blini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,['France'],"['Pois chiches 49% - huile de colza - eau - pâte de sésame 11% - graines de sésame 1,2% - sel - acidifiant : E330 - conservateur : E202 Traces éventuelles de céréales contenant du gluten', 'crustacés', 'oeufs', 'poissons', 'soja', 'lait', 'moutarde et mollusques']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,27.9 g,en quantité élevée,2.6 g,en quantité modérée,0.3 g,en faible quantité,1.08 g,en quantité modérée,?,,326,+24%,1364 kj(326 kcal),+24%,"27,9",+38%,"2,6",+6%,"9,7",-8%,"0,3",-78%,"6,3",-3%,"1,08",+4%,"0,432",+4%,7,+40%,C,+40%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,['Graines de sésame'],,,
1894,Shoyu traditionnel - autour du riz - 600ml,3760275570727,A,600 ml,"['Bouteille', 'Verre']",['autour du riz'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,,['France'],"['Sauce de soja Ingrédients Eau', 'soja* 18 %', 'sel de gemme', 'riz* 3%', 'ferment: aspergillus oryzae']",,"['Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,13.8 g,en quantité élevée,?,,67,-39%,280 kj(67 kcal),-39%,"0,5",+307%,"0,1",+327%,"6,6",-63%,"0,7",-94%,"9,8",+53%,"13,8",+15%,"5,52",+15%,5,-55%,C,-55%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,"['Bio', 'Végétarien', 'Bio européen', 'Commerce équitable', 'Végétalien', 'AB Agriculture Biologique', 'FR-BIO-10']",,,,['Soja'],,,
1895,Chocolat au lait avec raisins secs - Choco Moment - 275g,8711299020090,,275 g,['Tablette'],['Choco Moment'],"['Snacks', 'en:Bonbons de chocolat', 'en:Confiseries', 'en:Confiseries chocolatées', 'en:Fruits enrobés de chocolat', 'en:Raisins secs enrobés de chocolat', 'en:Snacks sucrés']",,,,['France'],"['54 % chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant [lécithine de soja', 'arome naturel de vanille', '44 % raisin sec', 'huile végétale ', 'coco', 'tournesol', 'amidon modifié de tapioca', 'sirop de glucose', ""agent d'enrobage "", 'shellac', 'émulsifiant ', 'lécithine de tournesol', ""correcteur d'acidité "", 'acide citrique', 'Conservateur ', 'E220', ' Chocolat au lait : cacao: 30 % minimum', "" Peut contenir d'arachides"", 'de sésames et de fruits à coque']","['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E904 - Gomme-laque', 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,16.5 g,en quantité modérée,9.8 g,en quantité élevée,55.7 g,en quantité élevée,0.2 g,en faible quantité,?,,439,-11%,1837 kj(439 kcal),-11%,"16,5",-31%,"9,8",-22%,"66,1",+8%,"55,7",+1%,"4,4",-1%,"0,2",+38%,"0,08",+38%,23,-6%,E,-6%,,,,,,,,,,,,,['Soja'],,,
1896,Milbona bio frischkäse - 160h,4056489014133,C,160 h,['Pot'],['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,,,"['France', 'Allemagne']",[],,[],,28.7 g,en quantité élevée,20 g,en quantité élevée,2.2 g,en faible quantité,0.67 g,en quantité modérée,?,,288,+95%,1205 kj(288 kcal),+92%,"28,7",+171%,20,+188%,"2,2",-59%,"2,2",-54%,"5,3",-21%,"0,67",+101%,"0,268",+101%,12,+193%,D,+193%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['Bio', 'Bio européen', 'Sans gluten', 'DE-ÖKO-001']",,,,,,,
1897,Chocolat mignonnette noir bio - Côte d'Or,7622210607966,D,,,"[""Côte d'Or""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats salés', 'Chocolats noirs salés']",,,,"['Belgique', 'France']","['Pâte de cacao #', 'sucre de canne #', 'beurre de cacao #', ""sel de mer d'Anglesey "", '0,4 %', 'émulsifiant ', 'lécithines de soja #', 'extrait de vanille #', ' Peut contenir fruits à coque et lait', "" # = Ingrédients issus de l'agriculture biologique"", "" Cacao : 60 % minimum dans le chocolat noir issu de l'agriculture biologique""]",['E322i - Lécithine'],[],4,37 g,en quantité élevée,22 g,en quantité élevée,38 g,en quantité élevée,0.5 g,en quantité modérée,?,,552,-1%,2310 kj(552 kcal),0%,37,-2%,22,-2%,44,+5%,38,+4%,"7,4",+6%,"0,5",+22%,"0,2",+22%,21,-9%,E,-9%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'PL-EKO-07']",,,,['Soja'],,,
1898,Pain rustique céréales et graines - Auchan - 400g,3596710469840,,400 g,['Sachet'],['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,['Auchan'],['France'],"['Farine de blé', 'mélange de céréales 20% ', ""flocons d'avoine"", 'farine de seigle', 'farine de seigle complet', 'farine de triticale complet', ""farine d'avoine"", ""farine d'orge malté"", 'semoule de mais', 'son de soja', 'farine de sarrasin', 'farine de riz pré-gélatinisee', ""ble d'épeautre"", 'millet', 'farine de blé khorasan', 'levain de seigle déshydraté', 'millet écorcé', ""farine d'orge malté grillé"", 'eau', 'mélange de graines 3% ', 'graines de lin', 'graines de tournesol', 'graines de sésame', 'sucre', 'sel', 'levure', ""huile d'olive vierge extra"", 'gluten de blé ', ' conservateurs: E-200 et E-282', 'arômes et arôme de fumée et huile de tournesol', ' Peut contenir des traces de amandes', 'noisettes', 'oeufs', 'lait et/ou produits dérivés']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']",[],4,4.4 g,en quantité modérée,0.8 g,en faible quantité,5.3 g,en quantité modérée,1 g,en quantité modérée,?,,266,-19%,1113 kj(266 kcal),-19%,"4,4",-28%,"0,8",-32%,44,-20%,"5,3",+35%,"9,5",-0%,1,-22%,"0,4",-22%,-2,-139%,A,-139%,,,,,,,,,"['Sans huile de palme', 'Nutriscore', 'Nutriscore A']",,,,"['Gluten', 'Avoine', 'Graines de sésame', 'Soja']",,,
1899,Filets de Maquereaux au citron et aux olives - Auchan - 169g,3596710470150,B,169 g,"['Boite', 'Conserve', 'métal', 'Sec', 'Couvercle en métal']",['Auchan'],"['Epicerie', 'Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Poissons et viandes et oeufs', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Maquereau', 'Filets de maquereaux citron-olive', 'Maquereaux en conserve']",['France'],"['FR 62.448.100 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)"", 'EMB 62448', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",['Auchan'],['France'],"['Filets de maquereaux ', 'poisson', ' 60%', 'eau', 'huile de colza', 'zestes de citron 4,1 %', ""vinaigre d'alcool"", 'olives vertes en rondelles 2,4% ', 'olives', 'sel', 'acidifiants : acide lactique et acide citrique', 'antioxydant acide ascorbique', 'jus de citron concentré 1,1%', 'sucre', 'sel', 'persil', 'amidon modifié de maïs', 'arôme naturel', 'épaississant gomme xanthane', 'curcuma']","['E270 - Acide lactique', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,22 g,en quantité élevée,3.4 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,?,,258,+21%,1079 kj(258 kcal),+20%,22,+34%,"3,4",+4%,"2,6",+79%,"1,1",+26%,12,-18%,"1,1",+17%,"0,44",+17%,5,+12%,C,+12%,65.0%,0.0%,6.1%,25.0%,3.1%,0.8%,78,Filets de Maquereaux marinés au citron et aux olives,"['Omega-3', 'Riche en Oméga-3', 'Fabriqué en France', 'Nutriscore', 'Nutriscore C']",,,,['Poisson'],,,
1900,Farine T65 - C'est qui le Patron ?! - 1kg,3700152800059,A,1kg,['Sachet papier'],"[""C'est qui le Patron ?!"", 'La marque du consommateur']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T65']",['France'],,,['France'],['Farine de blé T65'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.7 g,en faible quantité,0.2 g,en faible quantité,1.9 g,en faible quantité,0.01 g,en faible quantité,1437,-1%,339,-1%,1437 kj(339 kcal),-0%,"0,7",-41%,"0,2",+1%,69,-2%,"1,9",+9%,12,+7%,"0,01",+36%,"0,004",+36%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,Farine T65,"['en:FSC', 'Agriculture raisonnée', 'Agriethique']",,['France'],,,,,
1901,"Sirop Bio de Menthe - la maison Guiot - 0,5l",3265261352283,,"0,5l",,['la maison Guiot'],['Sirop menthe bio'],['France'],,,['France'],"['sucre de canne,eau', 'arômes naturels de menthe', ""arôme naturel d'eucalyptus""]",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,73 g,en quantité élevée,0 g,en faible quantité,?,,296,,1238 kj(296 kcal),,0,,0,,73,,73,,0,,0,,0,,13,,D,,,,,,,,,,['Bio'],,,,,,,
1902,Yaos coco - Nestlé,3023290030776,,,,['Nestlé'],,,,,"['France', 'Suisse']",[],,[],,,,,,,,,,?,,125,,523 kj(125 kcal),,"7,4",,"5,1",,11,,"10,9",,"2,6",,"0,13",,"0,052",,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
1903,Crunchy Cereal Oat Biscuits Chocolat noir & Amandes - MCVITIE'S - 140g,5000396049107,C,140 g,,"[""MCVITIE'S""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",,,,['France'],"[""flocons d'avoine "", '33%', 'farine enrichie ', 'farine de blé ', '26%', 'calcium', 'fer', 'niacine', 'thiamine', 'huile de tournesol ', '17%', 'extraits de fruits ', 'caroube', 'pomme', 'pépites de chocolat ', '8%', ' [sucre', 'masse de cacao', 'poudre de cacao maigre', 'émulsifiant ', 'lécithines de soja', 'arôme naturel]', 'amandes ', '3', '5%', 'sirop de datte', 'graines de quinoa rouge', 'dextrines de blé', 'sel', 'poudre à lever ', ""carbonate d'ammonium"", 'émulsifiant ', 'lécithines de tournesol', 'antioxydant ', 'extrait de romarin', 'arôme naturel']","['E322i - Lécithine', 'E1400 - Dextrines', ""E503i - Carbonate d'ammonium"", 'E392 - Extrait de romarin']",[],4,25 g,en quantité élevée,3.6 g,en quantité modérée,14 g,en quantité élevée,0.4 g,en quantité modérée,?,,483,+5%,2021 kj(483 kcal),+4%,25,+22%,"3,6",-55%,54,-8%,14,-38%,"8,1",+9%,"0,4",-35%,"0,16",-35%,8,-48%,C,-48%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,"['Gluten', 'Fruits à coque', 'Soja']",,,
