,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,labels,ingredients_origins,traceability_code,manufacturing,markets,additives,palm_ingredients,link,producer_info,brand_owner,origin_detail
1501,Glace parfum BARBE A PAPA - HDG - 750ml (487.5g),3267180390728,B,750 ml (487.5 g),"['HDG', 'Histoires De Glaces']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Glaces saveur barbe à papa']",['France'],"['Lait écrémé réhydraté', 'purée de noix de coco ', 'lait de noix de coco ', 'protéines de lait', 'sirop de sucre inverti', 'sucre', 'dextrose', 'crème ', 'crème', 'stabilisant : carraghénanes ', ""extrait d'algues"", 'huile de noix de coco', 'cristaux de sucre 2% ', 'sucre', 'agent de glaçage : E904', 'denrée alimentaire colorante : pomme', 'cassis et radis', 'sirop de sucre inverti', 'matière grasse végétale ', 'noix de coco', 'colza', 'pâte de noix de coco', 'arôme barbe à papa 0', '6% ', 'arôme', 'édulcorant : saccharine', 'texturant ', 'huile de noix de coco', 'dextrose', 'lactose', 'lait écrémé en poudre', 'protéines de lait', 'sirop de glucose', ""émulsifiant : mono et diglycérides d'acides gras"", 'stabilisants : gomme de cellulose', 'farine de graines de guar', 'arôme', ""émulsifiant : mono et diglycérides d'acides gras "", ""issus d'huiles végétales"", 'stabilisants : farine de graines de caroube', 'alginate de sodium', 'carraghénanes ', ""extrait d'algues"", 'farine de graines de guar', 'colorant : carmins', 'pâte aromatique ', 'sirop de glucose', 'eau', 'alcool', 'arômes', 'sel', 'arôme naturel de noix de coco avec autres arômes naturels ', 'lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,204,-12%,"9,5",-19%,"26,1",-6%,"3,5",+11%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Glace Barbe à papa,['Lait'],4,9.5 g,en quantité modérée,8.5 g,en quantité élevée,25 g,en quantité élevée,,,854 kj(204 kcal),-12%,"8,5",+12%,25,+7%,,,,,,,,,['Barquette'],"['en:gluten-free', 'Point Vert', 'Triman']",,,['Reventin-vaugris'],,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E904 - Gomme-laque', 'E954 - Saccharine et ses sels', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E120 - Acide carminique']",,,,,
1502,"Sorbet plein fruit FRAISE à la fraise Mara des Bois, 60% de fruit - HDG - 750ml (487.5g)",3267180390766,C,750 ml (487.5 g),"['HDG', 'Histoires De Glaces']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",['France'],"['Purée de fraise Mara des bois 32%', 'purée de fraise 28%', 'sucre', 'eau', 'dextrose', 'purée de citron ', 'jus de citron jaune avec pulpe', 'sucre', 'stabilisants : pectine amidée', 'farine de caroube', 'gomme de guar']",[],?,,130,+11%,"0,1",-57%,"30,5",+12%,"0,5",+18%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,Sorbet Fraise à la fraise Mara Bois,,4,0.1 g,en faible quantité,0 g,en faible quantité,30.5 g,en quantité élevée,0 g,en faible quantité,544 kj(130 kcal),+12%,0,-100%,"30,5",+31%,0,-100%,0,-100%,6,+21%,C,+21%,"['Barquette', 'Plastique']","['Sans arômes artificiels', 'Point Vert', 'Fabriqué en France', 'Sans colorants artificiels', 'Sans colorants ni arômes artificiels', 'Sans colorants', 'Triman', 'Glace artisanale']",,,['Reventin-Vaugris'],,"['E440ii - Pectine amidée', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",,,,,
1503,Glace Chocolat Noir bio - HDG Artisan Glacier - 750ml (487.5g),3267180390919,A,750 ml (487.5 g),"['HDG Artisan Glacier', 'Histoires De Glaces']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']",['France'],"['Lait écrémé réhydraté* ', 'origine : U', 'E', 'sucre pure canne blanc*', 'crème fraîche* ', 'crème*', 'ferments lactiques', ' ', 'origine : U', 'E', 'poudre de cacao de Tanzanie* 6%', 'sirop de blé*', 'beurre doux* ', 'crème pasteurisée*', 'ferments lactiques', ' ', 'origine : UE', 'sucre inverti* ', 'stabilisants : farine de graines de guar*', ""poudre de blanc d'oeuf*"", 'farine de graines de caroube*', 'carraghénanes ', ""extrait d'algues""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",781,-18%,187,-19%,"6,2",-48%,"28,2",+6%,"4,7",+28%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Glace Chocolat noir BIO,"['Œufs', 'Lait', 'Soja']",4,6.2 g,en quantité modérée,4.2 g,en quantité modérée,25.1 g,en quantité élevée,0.1 g,en faible quantité,781 kj(187 kcal),-20%,"4,2",-46%,"25,1",+11%,"0,1",-28%,"0,04",-28%,11,-15%,D,-15%,['Barquette'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10', 'Point Vert', 'Sans colorants', 'Triman']",['Union européenne'],,['Reventin-vaugris'],,"['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,
1504,"Sorbet plein fruit CITRON BIO, 27 % de fruit - HDG - 750ml (487.5g)",3267180390933,B,750 ml (487.5 g),"['HDG', 'Histoires De Glaces']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au citron']",['France'],"['Eau', 'jus de citron jaune* 27%', 'sucre pure canne blanc*', 'maltodextrine de blé*', 'sirop de blé*', 'stabilisants : farine de graines de guar*', ""poudre de blanc d'oeuf*"", 'farine de graines de caroube*', 'carraghénanes ', ""extrait d'algues"", "" \r*Ingrédients issus de l'agriculture biologique"", ' \r**conformément à la réglementation sur le mode de production biologique']",['Non végétalien'],?,,124,+4%,0,-100%,"31,2",+9%,"0,1",-69%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Sorbet Citron BIO,['Œufs'],4,0 g,en faible quantité,0 g,en faible quantité,25.1 g,en quantité élevée,0 g,en faible quantité,519 kj(124 kcal),+4%,0,-100%,"25,1",+5%,0,-100%,0,-100%,6,+4%,C,+4%,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Point Vert', 'Sans colorants', 'AB Agriculture Biologique', 'Triman']",,,['Reventin-vaugris'],,"['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,
1505,Torsades Semi-Complètes - Lazzaretti - 500g,3267460030344,B,500 g,['Lazzaretti'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']",['France'],['Semoule semi-complète de blé dur'],[],?,,360,+2%,"1,5",-23%,"73,8",+8%,"11,1",-10%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,Pâtes - Torsades Semi-Complètes,['Gluten'],,1.5 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0.02 g,en faible quantité,1506 kj(360 kcal),+2%,"0,2",-52%,"1,5",-46%,"0,02",-24%,"0,008",-24%,-5,,A,,"['Plastique', 'Plastique']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique', 'Fabrication artisanale']",,,"['Avignon', 'France']","[""Bio'C'Bon""]",,,,,,
1506,Tagliatelles ail basilic - Les Moulins De Provence - 250g,3267460050045,B,250 g,['Les Moulins De Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes aux œufs', 'Pâtes sèches aux œufs', ""Pâtes de blé dur à l'œuf"", 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Pâtes sèches aromatisées et colorées', 'Tagliatelles']",['France'],"['semoule de blé dur de qualité supérieure*', 'œufs frais ', '12%', '* basilic ', '9%', '*', 'ail ', '2%', ""*1 Poudre d'épinard*"", ""\r  *Produits issus de l'agriculture biologique""]",['Non végétalien'],?,,362,+2%,"2,4",+45%,"65,9",-7%,14,+16%,63.3%,21.1%,6.6%,5.4%,2.9%,0.8%,75,Pâtes alimentaires aux oeufs aromatisées à l'ail et au basilic biologiques,"['Œufs', 'Gluten']",1,2.4 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en faible quantité,0.025 g,en faible quantité,1515 kj(362 kcal),+1%,"0,5",+38%,"1,9",-46%,"0,025",-48%,"0,01",-48%,-5,,A,,['sachet plastique'],"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique', 'Fabrication artisanale', 'Oeufs frais']",,,['France'],['Auchan'],,,,,,
1507,Gaufre Liégeoise aux Perles de Sucre - Bourdon,3267620002129,B,,['Bourdon'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",['France'],"['Farine de blé ', 'France', 'matières grasses végétales non hydrogénees ', 'matières grasses végétales de palme et de colza', ""émulsifiant : mono et diglycérides d'acides gras"", 'acidifiant : acide citrique', 'sucre perlé 21 %', ' eau', 'levure', 'œufs', 'farine de soja', 'glucose', 'fructose', 'sel', 'conservateur : propionate de calcium', 'émulsifiant : lécithine de soja', 'antioxydant : acide ascorbique', 'arôme']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,456,+0%,25,+5%,51,-4%,7,+17%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,"['Œufs', 'Gluten', 'Soja']",4,25 g,en quantité élevée,12 g,en quantité élevée,28 g,en quantité élevée,0.9 g,en quantité modérée,1908 kj(456 kcal),+0%,12,-1%,28,+1%,"0,9",+19%,"0,36",+19%,24,+4%,E,+4%,"['Sachet', 'Plastique']","['Fabriqué en France', 'Blé français']",['France'],,"['France', 'Nord de la France']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E282 - Propionate de calcium', 'E322i - Lécithine', 'E300 - Acide ascorbique']",,,,,
1508,"Lardons nature sans couenne, sans cartilage - Sans marque - 200g",3268750003659,D,200 g,"['Sans marque', 'Merle']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",['France'],"['Poitrine de porc ', ' eau ', ' sel ', ' acidifiants : lactate de potassium', 'acétate de sodium ', ' sirop de glucose ', ' arômes naturels ', ' antioxydant : érythorbate de sodium ', ' conservateurs : nitrite de potassium', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1141,+9%,?,,"23,78",+11%,"0,7",-16%,"14,05",-14%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,4,23.8 g,en quantité élevée,8.63 g,en quantité élevée,0.7 g,en faible quantité,2.9 g,en quantité élevée,1141 kj(273 kcal),+5%,"8,63",+6%,"0,7",+6%,"2,9",+11%,"1,16",+11%,21,+6%,E,+6%,"['Barquette', 'Plastique']",,['Union européenne'],"['FR 42.175.001 CE', 'Pouilly-lès-Feurs (Loire, France)', 'EMB 42175', 'Pouilly-lès-Feurs (Loire, France)']",['France'],['Auchan'],"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E249 - Nitrite de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
1509,Pack 6X50CL Eau Source Cristaline - 50cl,3268840050501,,50 cl,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,,,,,,,,,,,,,,,,,,,,
1510,Terrine de campagne - Jean Brunet,3269617106216,,,['Jean Brunet'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],[],[],?,,359,+11%,33,+17%,"1,1",-52%,15,+7%,,,,,,,,,,,33 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.33 g,en quantité modérée,1502 kj(359 kcal),+11%,11,+2%,"0,5",-42%,"1,33",-17%,"0,532",-17%,19,-2%,E,-2%,['Barquette'],['Fabriqué en France'],,,,,,,,,,
1511,Mélange de champignons cuisinés - Picard - 300g,3270160129577,,300 g,['Picard'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",['France'],"['Lentin de chêne 25% - pholiote 25% - champignon de Paris émincé 25% - bolet jaune 16% - échalote 1', '6% - carotte 1', '6% - purée de cèleri 1', '4% - beurre - vin blanc - persil 0', ""7% - eau - sel - amidon de riz - huile d'olive vierge extra 0"", '1% - ail - jus de citron - sauge']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",91,-85%,?,,"0,9",-87%,"1,9",-85%,"1,4",-79%,,,,,,,,Champignons surgelés,['Lait'],3,0.9 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en faible quantité,0.406 g,en quantité modérée,91 kj(22 kcal),-85%,"0,5",-81%,"0,6",-71%,"0,406",-47%,"0,163",-47%,-4,-265%,A,-265%,"['Sachet plastique', 'Surgelé']",,,"['EMB 19246A', 'Saint-Viance (Corrèze, France)']",['France'],['Picard'],,,,,,
1512,4 côtes de porc à la moutarde et au miel surgelés - Picard - 520g,3270160159383,,520 g,['Picard'],"['Viandes', 'Surgelés', 'Porc', 'Viande de porc française (VPF)']",['France'],"['Carré de porc désossé 83', '3%', 'eau', 'marinade aromatisée 7', '4% [moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : sulfite acide de sodium', "" et moutarde à l'ancienne 2"", '6% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'miel 2%', 'maltodextrine de blé/maïs', 'épices et plante aromatique', 'jus de citron concentré 0', '07%', 'stabilisant : gomme xanthane', 'arômes naturels]', 'dextrose de blé', 'sel', 'arôme naturel']",['Non végétalien'],538,-30%,?,,"3,6",-68%,"2,6",+192%,"21,1",+7%,,,,,,,,côtes de porc surgelés,['Moutarde'],4,3.6 g,en quantité modérée,1.4 g,en faible quantité,2.6 g,en faible quantité,0.584 g,en quantité modérée,538 kj(129 kcal),-32%,"1,4",-67%,"2,6",+323%,"0,584",-69%,"0,234",-69%,-1,-109%,A,-109%,"['Carton', 'surgelé', 'film plastique']","['Viande-francaise', 'Viande-porcine-francaise']",['France'],"['FR 56.047.001 CE', 'Crédin (Morbihan, France)']",['France'],['Picard'],"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,,
1513,2 brochettes royal grill volaille tikka - picard - 250g,3270160209491,C,250 g,['Picard'],"['Viandes', 'Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Brochettes de viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Brochettes de volailles', 'Brochettes de dinde']",['France'],"['Morceau de filet de dinde ', 'France*', ' 66,4%', 'poivron vert en cube 15,1%', 'eau', 'tomate cerise entière 6%', 'crème liquide ', 'crème de lait', 'stabilisant : carraghénanes', 'fécule de pomme de terre', 'marinade tikka en poudre l,|% [maltodextrine de blé', 'lait en poudre', 'sel', 'épices et extrait d’épice', 'tomate en poudre', 'ail en poudre', 'farine de blé ', 'gluten', 'arôme naturel', 'persil déshydraté', 'colorant : extrait de paprika]', 'sel', 'mélange d’épices et aromates 0,2% [épices et extrait d’épices', 'dextrose de blé', 'aromates ', 'contient moutarde', 'colorant: extrait de paprika]', 'protéines de pois', 'colorants: caramel ordinaire', 'paprika']",['Non végétalien'],329,-30%,77,,< 1,-77%,"2,6",+195%,"16,3",-7%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,"['Gluten', 'Lait', 'Moutarde']",4,1 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,1 g,en quantité modérée,329 kj(77 kcal),-31%,"0,2",-85%,"1,3",+797%,1,+63%,"0,4",+63%,-1,,A,,"['Carton', 'surgelé']",,['France'],"['FR 56.047.002 CE', 'Crédin (Morbihan, France)']",['France'],['Picard'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E150a - Caramel E150a']",,,,,
1514,Pain aux céréales tranché - Picard - 450g,3270160436798,,450 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pains', 'Pains spéciaux', 'Viennoiseries surgelées', 'Pains multicéréales']",['France'],"['Farine de blé type 65 [farine de  blé  ', ' gluten ', 'gluten de blé', 'farine de  blé  malté ', ' gluten ', 'eau', 'farine aux céréales et aux grains 14,3 % ', 'farine de  blé  ', ' gluten ', ""farine d' orge  "", ' gluten ', ""farine d' avoine  "", ' gluten ', 'farine de semoule de  blé  dur ', ' _gluten', 'graine de millet', 'graine de lin', 'farine de  seigle  ', ' gluten ', 'graine de  sésame ', 'farine de  blé  tendre T80 ', ' gluten ', 'sel', 'levure']",[],?,,248,-9%,"2,9",-46%,46,+4%,"7,3",-12%,,,,,,,,,"['Gluten', 'Avoine', 'Graines de sésame']",4,2.9 g,en faible quantité,0.4 g,en faible quantité,1.9 g,en faible quantité,0.88 g,en quantité modérée,1038 kj(248 kcal),-8%,"0,4",-46%,"1,9",-13%,"0,88",-27%,"0,352",-27%,-2,-1100%,A,-1100%,"['Sachet', 'Plastique', 'surgelé']","['Point Vert', 'Fabriqué en France']",,"['EMB 59378BC', 'Marcq-en-Barœul (Nord, France)']",['France'],['Picard'],,,,,,
1515,8 fusées de glace à l'eau - Picard - 480g - 480ml,3270160459407,A,480 g - 480 ml,['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', ""Glaces à l'eau""]",['France'],"['Eau', 'sucre', ""jus d'orange à base de concentré 7,1 %"", 'jus de citron à base de concentré 5 %', 'jus de framboise à base de concentré 4,7 %', 'sirop de glucose de blé et/ou de maïs', 'stabilisant : farine de graines de caroube', 'arômes naturels', 'acidifiant : acide citrique', 'colorants ', 'rouge de betterave', 'extrait de paprika', ""arôme naturel d'orange""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",336,-1%,?,,< 1,+110%,"19,7",+2%,< 1,+175%,45.8%,21.9%,8.3%,10.5%,8.6%,4.9%,91,,,4,1 g,en faible quantité,1 g,en faible quantité,18.9 g,en quantité élevée,0.01 g,en faible quantité,336 kj(80 kcal),-8%,< 1,+241%,"18,9",+8%,"< 0,01",-65%,"0,004",-65%,5,+28%,C,+28%,"['Carton', 'Surgelé']",,,,,['Picard'],"['E410 - Gomme de caroube', 'E330 - Acide citrique', 'E162 - Rouge de betterave', 'E160c - Extrait de paprika']",,,,,
1516,Pommes noisettes à la patate douce - Picard - 600g e,3270160500215,B,600 g e,['Picard'],"['Surgelés', 'Pommes de terre préfrites surgelées', 'Pommes noisettes surgelées']",['France'],"['Pomme de terre 47,1 %', 'patate douce 26,8 %', 'chapelure 10,3 % [farine de blé ', 'gluten', 'sel', 'levure', 'poudre de paprika', 'colorant : extrait de paprika', ""extrait de malt d'orge "", 'gluten', ']', 'huile de tournesol', 'pommes de terre déshydratées', 'farine de blé ', 'gluten', 'amidon de pomme de terre', 'stabilisant : hydroxypropylméthylcellulose', 'sel', 'ail', 'romarin', 'fibre de blé ', 'gluten', 'poivre blanc']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,184,+4%,"7,2",+6%,25,+0%,"3,1",+27%,69.0%,13.1%,5.2%,4.3%,6.1%,2.2%,61,,['Gluten'],4,7.2 g,en quantité modérée,0.9 g,en faible quantité,1.9 g,en faible quantité,0.4 g,en quantité modérée,770 kj(184 kcal),+4%,"0,9",-3%,"1,9",+166%,"0,4",-58%,"0,16",-58%,-1,-133%,A,-133%,"['Sachet', 'Plastique', 'surgelé']","['Point Vert', 'Fabriqué en Belgique']","['France', 'Belgique', 'Allemagne', 'Pays-Bas']",,['Belgique'],['Picard'],"['E160c - Extrait de paprika', 'E464 - Hydroxypropylméthylcellulose']",,https://www.picard.fr/produits/pommes-noisettes-a-la-patate-douce-000000000000050021.html,,,
1517,Purée de pomme de terre au jambon et à l'emmental - Picard - 450g,3270160501250,,450 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Plats préparés', 'Préparations à base de pommes de terre', 'Purées', 'Plats préparés surgelés', 'Purées de pommes de terre']",['France'],"['Pomme de terre 67,8%', 'crème fraîche liquide', 'emmental français râpé 10%', 'jambon 8% ', 'viande de porc 7', '2%', 'eau', 'sel', 'sirop de glucose de pomme de terre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'beurre', 'sel']","['Non végétalien', 'Non végétarien']",?,,144,-41%,"8,7",+252%,10,-78%,6,+8%,,,,,,,,Purée de pomme de terre au jambon et à l'emmental,['Lait'],3,8.7 g,en quantité modérée,6 g,en quantité élevée,0.3 g,en faible quantité,0.56 g,en quantité modérée,602 kj(144 kcal),-42%,6,+344%,"0,3",-87%,"0,56",-7%,"0,224",-7%,4,+178%,C,+178%,"['Surgelé', 'Boîte', 'Carton', 'surgelé']",['Point Vert'],,"['B B402 EEG', 'EMB B 00 440']",['Belgique'],['Picard'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
1518,Mélange de champignons - Picard - 300g,3270160507627,A,300 g,['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Champignons et produits dérivés', 'Champignons', 'Champignons surgelés']",['France'],[],[],?,,29,+32%,"0,5",+24%,"2,9",+113%,"2,8",+42%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en faible quantité,0.1 g,en faible quantité,121 kj(29 kcal),+33%,"0,1",+12%,"1,4",+243%,"0,1",+67%,"0,04",+67%,-6,,A,,['Conserve'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,['Picard'],,,,,,
1519,2 brochettes royal grill boeuf - Picard - 250g,3270160606443,,250 g,['Picard'],"['Viandes', 'Surgelés', 'Plats préparés', 'Bœuf', 'Produits à la viande', 'Viandes surgelées', 'Plats préparés à la viande', 'Préparations de viande', 'Brochettes', 'Plats au bœuf', 'Préparations de viande surgelées', 'Brochettes de viande', 'Brochettes de bœuf']",['France'],"['Morceaux de cœur de rumsteck ', 'France', ' 66,4 %', 'tomate cerise entière 18,5 %', 'poivron verte en cube 11,5 %', 'eau', 'fécule de pomme de terre', 'sel 0,1 %', 'fibre de blé ', 'gluten']",[],361,-30%,?,,2,-77%,"2,7",+125%,"13,9",-15%,,,,,,,,"2 brochettes composées de morceaux de coeur de rumsteck saumurés de tomates cerise entières et de poivrons verts, surgelées",['Gluten'],4,2 g,en faible quantité,0.8 g,en faible quantité,1.3 g,en faible quantité,0.24 g,en faible quantité,361 kj(86 kcal),-45%,"0,8",-74%,"1,3",+138%,"0,24",-58%,"0,096",-58%,-3,-225%,A,-225%,"['Carton', 'surgelé']","['Viande-francaise', 'Viande-bovine-francaise']",['France'],"['FR 56.047.002 CE', 'Crédin (Morbihan, France)']",['France'],['Picard'],,,,,,
1520,Sorbet fruit de la passion - Picard - 1l (600g),3270160621132,C,1 l (600 g),['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au fruit de la passion']",['France'],"['Eau', 'jus de fruit de la passion à base de concentre 33%', 'sirop de g|ucose—fructose de - blé', 'sucre', 'stabilisants ', 'gonme guar', 'farine de graines de caroube', 'pectines', ""| colorant : phosphate-5' de riboflavine"", 'protéines de pois hydrolysées', 'arôme naturel de fruit de la passion 0,2%', 'dextrose de blé']",[],?,,135,+11%,"< 0,2",-20%,"33,3",+9%,"0,6",-3%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,Sorbet aux fruits à base de concentré,['Gluten'],4,0.2 g,en faible quantité,0.2 g,en faible quantité,26.5 g,en quantité élevée,0.05 g,en faible quantité,565 kj(135 kcal),+10%,"< 0,2",+137%,"26,5",+2%,"0,05",+40%,"0,02",+40%,6,+5%,C,+5%,"['Surgelés', 'Barquette & couvercle plastique']",['Point Vert'],,,,"['Marseille 5°', 'France', 'Picard']","['E410 - Gomme de caroube', 'E440 - Pectines']",,,,,
