,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
508,Étoiles à la cannelle,074192,,['France'],[],[],?,449,24,46,"9,7",1879 kj(449 kcal),"4,2",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Pancake instant - Prozis,5600499572238,,['France'],[],[],?,370,"5,9",48,29,1548 kj(370 kcal),"1,6","0,5","2,2","0,88",,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Mousse pur canard,0203122013518,,['France'],[],[],?,399,39,4,"8,1",1669 kj(399 kcal),35,"1,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Ravioles de l'Ubaye,3462456000008,,['France'],[],[],?,184,"3,7","31,5","4,5",770 kj(184 kcal),"0,71","3,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Graton lyonnais,0206124017584,,['France'],[],[],?,719,66,"2,4",28,3008 kj(719 kcal),32,"0,5","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Escalope de dinde - Maître Coq,0215289030178,['Nutriscore'],['France'],[],[],?,112,"1,8",0,24,469 kj(112 kcal),"0,5",0,"0,11","0,044",,,['Maître Coq'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-7%,-7%,+36%,+24%,-100%,-100%,+5%,-80%,-80%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
514,Fois de volailles,0204000006561,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Miel de fleurs,,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
516,Protein almonds - 10g,0748927060386,['Sans arômes artificiels'],['France'],[],[],?,534.88372093023,"37,209","32,558","23,256",2238 kj(534 kcal),"16,279","25,581","0,61","0,244",10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Champignons geschnitten - Spar - 200g,9100000749587,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,200 g,['Glas'],['Spar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
