,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
1208,Monster munch,3336902409168,['France'],[],[],?,487,2038 kj(487 kcal),23,"2,9",65,"4,7","4,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Bière,3760025990065,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Jambon cru sans conservateur,0210859034631,['France'],[],[],?,274,1146 kj(274 kcal),18,"7,4",1,1,27,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Eistee,9002859108693,['France'],[],[],?,18,75 kj(18 kcal),"0,5","0,1","4,3","4,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Papas vicent,8412861191605,['France'],[],[],?,552,2310 kj(552 kcal),"37,6","37,6","7,77","0,5","3,5","0,375","0,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Haricot vert extra fins,3080920108267,['France'],[],[],?,24,100 kj(24 kcal),"0,3","0,1","2,3","0,5","1,3","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Domène de Bresse (Bresse Bleu),2488010025066,['France'],[],[],?,434,1816 kj(434 kcal),42,29,1,"0,5",13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Jambon à l'ancienne,2264752036214,['France'],[],[],?,673,2816 kj(673 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,+343%,+28%,+1%,-1%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,+341%,+20%,+3%,-3%,-3%,18,+84%,D,+84%,,,,,,,,,,,,
1216,Papaye Cube Deshydratée,2600127020936,['France'],[],[],?,342,1431 kj(342 kcal),0,0,85,76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Perle marine aneth,2671134056744,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Banane Chips,2411973008999,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,camenmber liqueur de mirabelle,3760134182245,['France'],[],[],?,271,1134 kj(271 kcal),21,"14,7","0,5","0,5",20,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Champ d'Arômes,3501530006359,['France'],[],[],?,261,1092 kj(261 kcal),"1,4",0,52,"2,7",9,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
