,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,link,markets,additives,allergens,nova_score,palm_ingredients,origin_detail,producer_info,brand_owner
1818,Pain complet - Délipain - 600g,27018064,,600g,['Délipain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets', 'Pain complet spécial']",,,"['Belgique', 'France']","['Farine intégrale de blé', 'eau', 'levain naturel ', 'blé', 'seigle', ""farine maltée de froment et d'orge"", 'farine de blé', 'levure', 'huiles végétales ', 'navette', 'colza', 'sel iodé', 'conservateurs : propionate de calcium,']",[],2.8 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,1.06 g,en quantité modérée,?,,232,-8%,971 kj(232 kcal),-8%,"2,8",-19%,"0,5",-7%,39,-8%,"3,5",-4%,"9,7",+11%,"1,06",-9%,"0,424",-9%,-4,-702%,A,-702%,,,,,,,,Pain complet spécial Svelt,['Plastique'],,,,['Aldi'],['E282 - Propionate de calcium'],['Gluten'],3,,,,
1819,Oeufs frais,27027042,C,,,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['Carton'],,,,,,,,,,,
1820,Cent Wafers - MonarC - 450g,27035191,C,450g,['MonarC'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']","['Agriculture durable', 'en:UTZ Certified']",,"['Belgique', 'France']","['Farine de blé', 'graisses végétales ', 'palme', 'palmiste', 'noiix de coco', ' en proportion variable', 'chocolat 19,5 % ', 'sucre', 'pâte de cacao', 'cacao maigre', 'sucre', 'lactose', 'lactosérum en poudre', 'farine de soja', 'huile de palme', 'émulsifiant ', 'lécithines ', 'soja', 'sel', 'poudre à lever ', 'carbonates de sodium', 'arôme', ' Peut contenir des traces de tout type de fruits à coque', ""d'æufs et ď'arachides""]","['Huile de palme', 'Non végétalien']",26.7 g,en quantité élevée,20 g,en quantité élevée,37.8 g,en quantité élevée,0.244 g,en faible quantité,2160,+4%,516,+3%,2160 kj(516 kcal),+3%,"26,7",+8%,20,+34%,60,-3%,"37,8",+7%,"6,44",+23%,"0,244",-24%,"0,098",-24%,20,-10%,E,-10%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,"['E322i - Lécithine', 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Soja']",4,['Huile de palme'],,,
1821,Mousseline de pommes - Queen s jewel - 720ml,27041055,A,720ml,"['Queen s jewel', ""queen's jewel""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",,,"['Belgique', 'France']","['pommes 90 %', 'Sucre', ""correcteur d'acidité "", 'acide citrique', 'antioxydant ', 'acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.2 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,?,,67,0%,280 kj(67 kcal),+0%,"0,5",+53%,"0,2",+136%,14,-4%,13,-2%,"0,5",+20%,"< 0,01",+1%,"0,004",+1%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,['pot en verre'],,,,['Aldi'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,3,,,,
1822,"Cornichons Tranchés, Süß-sauer - Regalo",27042571,,,['Regalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,"['Belgique', 'France']","['*Referentie-inname van een gemiddelde volwassene 2,']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,6.8 g,en quantité modérée,1.1 g,en quantité modérée,?,,35,+30%,146 kj(35 kcal),+36%,"0,5",+69%,"0,1",+46%,"6,9",+101%,"6,8",+161%,"0,5",-50%,"1,1",-36%,"0,44",-36%,0,-100%,B,-100%,,,,,,,,,['Glas'],,,,['Aldi'],,,,,,,
1823,Saucisson de jambon - Delifin - 150g,27067864,D,150g,['Delifin'],"['Viandes', 'Charcuteries', 'Saucissons', 'Jambons', 'Saucisses sèches']",,,"['Belgique', 'France']",[],[],21 g,en quantité élevée,8.7 g,en quantité élevée,1.1 g,en faible quantité,2.2 g,en quantité élevée,?,,251,-39%,1050 kj(251 kcal),-39%,21,-35%,"8,7",-31%,4,+79%,"1,1",-26%,11,-62%,"2,2",-52%,"0,88",-52%,20,-17%,E,-17%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,Saucisson de jambon,['Plastique'],,,,,,,,,,,
1824,27097724,27097724,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle', 'Pains complets']",,,"['Belgique', 'France']","[""farine d'épeautre 50 %"", 'graines de courges 11 %', 'huiles végétales ', 'palme', 'navette', 'tournesol', 'inuline', 'sucre', 'amidon de blé', 'graines de lin 4', '8 %', 'oeuf ', 'sol', 'poudres à lever ', ""carbonates d'ammonium"", 'carbonates de sodium', 'sel', 'amidon de blé', 'dextrose', 'lait entier en poudre', 'germe de blé', 'protéine de lait', 'émulsifiant ', ""acide diacétyl tartrique d'esters de mono et diglycérides"", 'arôme ', 'contient lait']","['Huile de palme', 'Non végétalien']",20 g,en quantité modérée,3.2 g,en quantité modérée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,483,+109%,2021 kj(483 kcal),+110%,20,+915%,"3,2",+838%,55,+32%,1,-66%,12,+74%,"1,2",+5%,"0,48",+5%,9,+718%,C,+718%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait', 'Arachides', 'Graines de sésame', 'Soja']",4,['Huile de palme'],,,
1825,Rhum blanc traditionnel - Old Nick - 1l,3012993028289,C,1 l,['Old Nick'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'en:Boissons  Boissons alcoolisées  Alcools forts  Eaux-de-vie  Rhums  Rhums blancs']",['en:Point VertDéconseillé aux femmes enceintes'],,['France'],['Rhum blanc traditionnel'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,['Bouteille  Verre'],['Antilles françaises'],,,['Magasins U'],,,,,,,
1826,Olives vertes dénoyautées - Tramier,3017233001084,A,,['Tramier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives dénoyautées', 'Olives vertes dénoyautées']",['Sans conservateurs'],,['France'],"['Olives vertes', 'sel', ""correcteur d'acidité : acide citrique et acide lactique"", 'antioxidant : acide ascorbique']",[],17 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,4.5 g,en quantité élevée,?,,163,+1%,682 kj(163 kcal),+2%,17,+8%,3,+20%,0,-100%,0,-100%,1,-7%,"4,5",+34%,"1,8",+34%,9,-22%,C,-22%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,['Bocal en verre'],,,,['Magasins U'],"['E330 - Acide citrique', 'E270 - Acide lactique', 'E300 - Acide ascorbique']",,3,,,,
1827,Cracotte céréales complétes - Lu,3017760802994,B,,['Lu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",['Fabriqué en France'],,['France'],"['Céréales 98,3 % [farine complète de blé 65,8 %', 'farine de blé 10,2 %', 'farine de riz', 'farine de blé malté', 'semoule de blé', 'farine de sarrasin', ""farine d'orge]"", 'sucre', 'lait écrémé en poudre', 'huile de palme', 'germes de blé', 'émulsifiant ', 'lécithine de tournesol']","['Huile de palme', 'Non végétalien', 'Végétarien']",2.9 g,en faible quantité,1 g,en faible quantité,9.4 g,en quantité modérée,1.56 g,en quantité élevée,?,,370,-3%,1548 kj(370 kcal),-3%,"2,9",-36%,1,-3%,73,+3%,"9,4",+68%,11,+11%,"1,56",+76%,"0,624",+76%,7,+130%,C,+130%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,,,,,['E322i - Lécithine'],['Gluten'],4,['Huile de palme'],,,
1828,Émietté de Saumon Citron & Thym - Petit Navire - 110g e,3019081237936,E,110 g e,['Petit Navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Saumons', 'Saumon en conserve']","['Point Vert', 'Fabriqué en France']",,['France'],"['Saumon rose du Pacifique ', '81%', 'eau', 'huile d’olive vierge extra', 'huile de colza', 'sel', 'thym ', '0,8%', 'jus de citron concentré ', '0,5%', 'zestes de citron ', '0,4%', 'arôme naturel de citron', 'thym citron', 'épaississant : gomme guar']","['Non végétalien', 'Non végétarien']",9.8 g,en quantité modérée,1.2 g,en faible quantité,0.3 g,en faible quantité,1 g,en quantité modérée,?,,170,+3%,711 kj(170 kcal),+0%,"9,8",-3%,"1,2",-34%,"0,3",-58%,"0,3",+34%,20,+8%,1,+0%,"0,4",+0%,2,0%,B,0%,83.1%,4.5%,11.0%,0.9%,0.3%,0.2%,14,,"['Conserve', 'métal', 'produit']",,['France'],,['Magasins U'],['E412 - Gomme de guar'],['Poisson'],4,,,,
1829,Thon entier au naturel - Petit navire - 224g (2x112g),3019082066016,E,224 g (2x112g),['Petit navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']",,,['France'],"['Thon', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,1.01 g,en quantité modérée,?,,109,-5%,456 kj(109 kcal),-5%,1,-34%,"0,5",+7%,0,-100%,0,-100%,25,-0%,"1,01",-3%,"0,404",-3%,0,-100%,B,-100%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,"['Conserve', 'Plastique']",['Océan indien'],['Seychelles'],,"['Intermarché', 'Magasins U']",,['Poisson'],3,,,,
1830,"Yaourt au lait. de brebis Lou Pérac - 250g, 2pots de 125g",3023290102633,,"250 g, 2 pots de 125 g","['Lou Pérac', 'Lactalis', 'Nestlé']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']","['Sans conservateurs', 'en:lait-francais-french-milk']","['FR 53.054.005 CE', 'Changé (Mayenne, France)']","['Belgique', 'France']","['lait de brebis', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.2 g,en quantité modérée,1.9 g,en quantité modérée,5.1 g,en quantité modérée,0.13 g,en faible quantité,?,,71,-32%,297 kj(71 kcal),-33%,"3,2",-37%,"1,9",-43%,"5,2",-45%,"5,1",-37%,"5,4",+11%,"0,13",+21%,"0,052",+21%,-1,-139%,A,-139%,,,,,,,,Yaourt au lait de Brebis nature,"['Point vert', 'Triman', 'Pensez au tri!', 'Opercule métal - pot verre & carton à recycler']",['France'],,,['Magasins U'],,['Lait'],3,,,,
1831,Velouté Fruix Framboise - Danone - 125g,3033490004644,B,125 g,['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la framboise']",,,['France'],"['Yaourt ', 'lait', ' ', '84,5%', 'sucre ', '8,1%', 'framboise ', '5%', 'épaississant ', 'amidon transformé', 'concentré de carotte pourpre', 'arôme', ""correcteurs d'acidité "", 'acide citrique', 'citrate de sodium']","['Sans huile de palme', 'Non végétalien']",2.9 g,en faible quantité,2 g,en quantité modérée,13 g,en quantité élevée,0.13 g,en faible quantité,?,,93,-5%,389 kj(93 kcal),-5%,"2,9",-2%,2,+10%,"13,4",+2%,13,+7%,"3,4",-4%,"0,13",+19%,"0,052",+19%,2,-20%,B,-20%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,['France'],,,['Magasins U'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",['Lait'],4,,,,
1832,Yaourts Nature Danacol - Danone - 4x 125g,3033490690663,B,4 x 125 g,['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']","['Peu ou pas de matière grasse', 'Sans matière grasse', 'Nutriscore', 'Nutriscore A']",,['France'],"['lait écrémé ', 'Origine: France', 'lait écrémé concentré ou en poudre ', 'Origine : UE', 'ester de stérol végétal ', '1,1% dont 0,6% de stérol végétal libre', 'protéines de lait', 'amidon', 'ferments lactiques ', 'lait']",['Non végétalien'],0.5 g,en faible quantité,0.1 g,en faible quantité,5.6 g,en quantité modérée,0.16 g,en faible quantité,?,,195,+171%,816 kj(195 kcal),+174%,"0,5",-86%,"0,1",-96%,"5,9",+21%,"5,6",+26%,"4,5",+9%,"0,16",+33%,"0,064",+33%,1,+77%,B,+77%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,yaourts natures enrichis en stérols végétaux,,,,,,,['Lait'],4,,,,
1833,Le Yaourt sur lit de Framboises - Gervais - 230g (2 * 115g),3033491001796,C,230 g (2 * 115 g),['Gervais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la framboise', 'Yaourts sucrés']",,['DE BY-601 EG'],['France'],"['lait entier ', '61%', 'crème ', 'lait', 'framboise ', '10%', 'sucre ', '9,49%', 'lait écrémé en poudre', 'épaississants ', 'amidon transformé', 'carraghénanes,gomme guar', ' jus concentré de carotte noire', 'arôme naturel', ""correcteur d'acidité "", 'citrates de sodium', 'ferments lactiques ', 'lait', ' Contient: lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",8.2 g,en quantité modérée,5.3 g,en quantité élevée,13.4 g,en quantité élevée,0 g,en faible quantité,?,,142,+45%,594 kj(142 kcal),+45%,"8,2",+177%,"5,3",+193%,14,+6%,"13,4",+11%,"2,9",-19%,0,-100%,0,-100%,7,+179%,C,+179%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,Yaourt sucré sur lit de framboises,"['Carton', 'Pots', 'Plastique', 'Pot']",,['Allemagne'],,['Magasins U'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E331 - Citrates de sodium']",['Lait'],4,,,,
1834,Taillefine ananas - Danone,3033491215315,C,,['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au citron']",,,['France'],[],[],0.1 g,en faible quantité,0.04 g,en faible quantité,6.8 g,en quantité modérée,0.2 g,en faible quantité,?,,47,-56%,197 kj(47 kcal),-55%,"0,1",-98%,"0,04",-98%,7,-48%,"6,8",-46%,"4,4",+26%,"0,2",+67%,"0,08",+67%,-1,-128%,A,-128%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['4'],,,,,,,,,,,
1835,Activia mûre framboise - Danone - 500g (4x125g),3033491313882,B,500 g (4x125g),"['Danone', 'Activia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aux fruits', 'Yaourts multifruits']","['Nutriscore', 'Nutriscore B']",,['France'],"['lait entier ', 'Origine: France', 'lait écrémé concentré ou en pdre ', 'Origine: UE', 'sucre ', '6,5%', 'mûre ', '5,6%', 'framboise ', '2,5%', 'crème Clait', ' ', 'Origine: France', 'épaississant ', 'pectine de fruits', 'ferments ', 'dont ferments du yaourt et Bifidobacterium ', 'Bifidus ActiRegularis', ' ', 'ait', 'arome naturel', 'concentré de carotte noire', 'Concentré des minérauX du lait']",['Non végétalien'],3.4 g,en quantité modérée,2.3 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,369,-3%,90,-6%,369 kj(90 kcal),-6%,"3,4",+23%,"2,3",+25%,"11,3",-12%,11,-11%,"3,3",-7%,"0,1",-18%,"0,04",-18%,3,+19%,C,+19%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,['E440 - Pectines'],['Lait'],4,,,,
1836,Activia abricot - Danone - 500g (4x125g),3033491325373,B,500 g (4x125g),['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aux fruits', ""Yaourts à l'abricot""]",,,"['France', 'Espagne']","['lait entier ', 'Origine France', 'abricot ', '8% ', 'sucre ', '6,3% ', 'lait écrémé concentré ou en poudre ', 'Origine UE', 'crème ', 'lait', ' ', 'Origine: France', ' épaississants ', 'amidon transformé pectine', 'jus concentré de carotte', ""correcteurs d'acidité "", 'acide citrique', 'citrates de sodium', 'arômes naturels', 'ferments lactiques dont bifidobacterium Bifidus ActiRegularis', ' ', 'lait']",['Non végétalien'],3.3 g,en quantité modérée,2.3 g,en quantité modérée,11 g,en quantité modérée,0.12 g,en faible quantité,?,,88,-12%,368 kj(88 kcal),-12%,"3,3",+5%,"2,3",+17%,"11,3",-19%,11,-15%,"3,3",-5%,"0,12",+6%,"0,048",+6%,3,-4%,C,-4%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,"['Magasins U', 'Carrefour']","['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",['Lait'],4,,,,
1837,Fond De Veau - Maggi - 240g,3033710087303,,240g,['Maggi'],"['Epicerie', 'Viandes', 'Bœuf', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations de viande', 'Sauces', 'Préparations de viande bovine', 'Sauces déshydratées', 'Fond de veau']",,['PA 15.105.03043541032-100246178'],['France'],"['Base culinaire déshydratée', ' Ingredients du fond déshydraté: Fécule de pomme de tere irop de glucose', 'légumes 8', '3% : tomate', 'oignon', ' farine de extrait de levure', 'sucre caramélisé', 'sucre', 'arôme', 'viande de veau 2,1%', 'jus de cuisson de viande de boeuf', 'huile tournesol', 'ail', 'poivre', 'extrait de vin blanc', ' Peut contenir des traces de lait', 'oeuf', 'céleri']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,311,+26%,1301 kj(311 kcal),+22%,"2,3",-29%,"0,4",-57%,"62,8",+30%,14,+71%,"8,8",+40%,"15,24",+9%,"6,096",+9%,,,,,,,,,,,,,['Boite'],['France'],['France'],,['Magasins U'],,,4,,,,
1838,Délice de Légumes et Langoustine - Liebig - 1l,3036811358549,,1 l,['Liebig'],"['Plats préparés', 'Soupes', 'Soupe en brique']","['en:FSC', 'Fabriqué en France']","['FR 84.092.002 CE', 'Pontet (Vaucluse, France)']",['France'],"['eau', 'légumes 42 % ', 'pomme de terre', 'carotte', 'purée de tomates à base de concentré', 'oignon', 'potiron', 'poireau', 'crème', 'langoustines 2%', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'huile de tournesol oléique', 'arômes ', 'contient : poisson', 'exhausteur de goût : glutamate de sodium', 'lactose et protéine de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2.6 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en faible quantité,0.8 g,en quantité modérée,?,,51,-11%,213 kj(51 kcal),-10%,"2,6",+34%,"1,3",+115%,"5,1",-11%,"1,2",-31%,"1,3",-41%,"0,8",-8%,"0,32",-8%,2,+22%,B,+22%,,,,,,,,Soupe en Brique,['brique carton souple'],,,,"['intermarché', 'Magasins U']","['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Crustacés', 'Poisson', 'Lait']",4,,,,
1839,Pâté de Campagne - William Saurin - 78g,3038356804192,D,78 g,['William Saurin'],"['Conserves', 'Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Charcuteries diverses', 'Pâté', 'Porc', 'Pâtés de porc', 'Pâtés de campagne']","['Sans colorants', 'Cuisiné dans le Sud-Ouest', 'Recette Traditionnelle']","['FR 11.076.006 CE', 'Castelnaudary (Aude, France)']",['France'],"['Foie et gras de porc', 'gorge de porc', 'eau', 'viande de porc', 'farine de blé', 'oignons', ""blanc d'œuf frais"", 'sel', 'poivre', 'arôme naturel vanille', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",25 g,en quantité élevée,9.5 g,en quantité élevée,2.3 g,en faible quantité,1.6 g,en quantité élevée,?,,291,-6%,1218 kj(291 kcal),-6%,25,-7%,"9,5",-6%,"4,6",+91%,"2,3",+150%,"11,7",-18%,"1,6",-4%,"0,64",-4%,19,0%,E,0%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,Pâté de campagne,"['Boîte', 'Conserve', 'Métal']",,"[""Conserverie du Languedoc - La Belle Chaurienne - 75 Rue Paul Sabatier - ZI d'En Tourre - 11400 Castelnaudary"", 'Aude', 'Languedoc-Roussillon', 'France']",http://www.william-saurin.fr/,['Intermarché'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Gluten'],4,,,,
1840,Lentilles tomates séchées basilic Mijotés Minute - Vivien Paille - 250g,3039822721326,A,250g,['Vivien Paille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles', 'Lentilles préparées']",,,['France'],"['Eau', 'lentilles blondes 25,6%', 'concentré de tomates 3', '9%', 'huile de tournesol', 'basilic 3,5%', 'oignon', 'tomate séchée 1', '5%', 'ail', 'arôme naturel', 'sucre', 'sel', 'fécule de manioc', 'fécule de pomme de terre', ' Traces possibles de céréales contenant du gluten']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en faible quantité,0.7 g,en quantité modérée,?,,128,+35%,536 kj(128 kcal),+33%,4,+144%,"0,5",+59%,12,+2%,"2,2",+159%,"7,4",+13%,"0,7",-6%,"0,28",-6%,0,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,['Sachet'],,,,,,,4,,,,
1841,Farine de blé - Francine - 1400g,3068110380266,A,1400 g,['Francine'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,['France'],['farine de blé type 45'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.3 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,?,,345,+0%,1443 kj(345 kcal),+0%,"1,3",-3%,"0,2",-15%,72,+3%,"1,5",-2%,10,-8%,0,-100%,0,-100%,-4,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,['Sachet'],,,,,,,1,,,,
1842,Figues séchées - Sun - 300g,3068230011866,D,300 g,['Sun'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches', 'Aliments à base de plantes séchés']","['Peu ou pas de sucre', 'Bio', 'Bio européen', 'Sans sucre ajouté', 'Sans conservateurs', 'AB Agriculture Biologique']",,['France'],['Figues'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.4 g,en faible quantité,0.22 g,en faible quantité,50.4 g,en quantité élevée,0.14 g,en faible quantité,1083,-7%,257,-7%,1083 kj(257 kcal),-6%,"1,4",-8%,"< 0,22",-22%,"52,5",-9%,"50,4",+7%,"2,8",-14%,"0,14",+2%,"0,056",+2%,7,+136%,C,+136%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,"['Barquette', 'Plastique']",,,,['Carrefour'],,,1,,,,
1843,Eau minérale naturelle - Evian - 33cl,3068320019314,,33 cl,['Evian'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Boissons sans alcool', 'Eaux minérales naturelles']",,,"['Belgique', 'France', 'Suisse']",['eau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,eau minérale naturelle,"['bouteille plastique', 'bouchon plastique']",,,,,,,1,,,,
1844,Badoit Zest Citron - 50cl,3068320109787,,50cl,['Badoit'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux gazeuses', 'Eaux aromatisées', 'Eaux gazeuses aromatisées']","['Peu ou pas de sucre', 'Sans conservateurs', 'Sans sucre']",,"['Belgique', 'France', 'Luxembourg']","['Eau minerale naturelle gazéifiée Badoit ', '99,9%', 'arôme naturel de citron-citron vert']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,"0,05",+150%,"0,02",+150%,0,-100%,B,-100%,,,,,,,,Eau gazeuse à l’arôme de citron,['Bouteille'],"['France', 'Evian']","['Saint-Galmier', 'France']",,['Auchan'],,,4,,,,
