,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
887,Crème Glacée Banane chocolatée,3760024281010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Farine blanche de blés anciens,3760055730006,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,"Lait ""l'achat équitable""",3248340057385,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Grenaille à éplucher,2803940026967,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Sirop Franboise Artisanal,3760055834155,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Six crêpes de froment,8036518500000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Nectar d'abricot - superSol - 200ml,8430803041030,"['France', 'Espagne']",[],[],?,47,197 kj(47 kcal),"0,5",0,"9,6",8,1,"0,02","0,008",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']",,-8%,+233%,-21%,+162%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['superSol'],0.5 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0.02 g,en faible quantité,-9%,-100%,-30%,+187%,+187%,13,-12%,E,-12%,200 ml,,,,,,,,,,,,,
894,Aceite de oliva virgen extra,8437001869046,['France'],[],[],?,827,3460 kj(827 kcal),"98,6","13,7",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,+3%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,98.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-3%,-2%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,,,,
895,Cuisse poulet,0212569017973,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Gelée de cassis -  - 315g,3470410009257,['France'],[],[],?,263,1100 kj(263 kcal),"0,34","0,06",61,"57,8","0,3",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de cassis']",,+5%,+21%,-0%,-17%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0.34 g,en faible quantité,0.06 g,en faible quantité,57.8 g,en quantité élevée,0 g,en faible quantité,+5%,+50%,-2%,-100%,-100%,13,+13%,D,+13%,315 g,,,,,,,,,,,,,
897,Up vittel - Nestlé,9212372470027,['France'],[],[],?,106,444 kj(106 kcal),0,0,"5,7","5,6",0,0,0,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Saint-Félicien - Granarolo - 180g,3282582006190,['France'],[],[],?,270,1130 kj(270 kcal),24,"17,6","1,1","0,5","12,5",1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Félicien']",,-8%,-10%,+16%,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Granarolo'],24 g,en quantité élevée,17.6 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,-8%,-7%,+8%,-22%,-22%,12,-10%,D,-10%,180 g,,,,,,,,,,,,,
899,Olives vertes cassees au basilic et a l'ail - 292g,3027102541221,['France'],[],[],?,383,1602 kj(383 kcal),41,5,"0,9",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292 g,['Point Vert'],,,,,,,,,,,,
900,MEGUEZ CAISSETTE,2285723055959,['France'],[],[],?,224,937 kj(224 kcal),"17,6","8,7","1,2",0,"15,1","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Caramels - Delaunay Léveillé,0654479012707,['France'],[],[],?,312,1305 kj(312 kcal),"10,3","6,8","52,1","34,2","2,19","1,7","0,68",,,,,,,,,,,,,,,['Delaunay Léveillé'],,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
902,Sorbet melon,2625008038701,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Corsé dessert - 200g,4304493802100,['France'],[],[],?,566,2368 kj(566 kcal),40,25,40,37,"7,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,
904,Miel lavande des garrigues -,3000000200018,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,8 mini beignets fourrés chocolat noisettes,0202148025253,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
906,espiga blanca,8436540566904,"['France', 'Espagne']",[],[],?,572,2393 kj(572 kcal),"39,2","17,2","51,2",11,"2,6","0,8","0,32",,,,,,,,,,,,,,,['espiga blanca'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Jambon cuit Supérieur Leclerc,0208427019159,['France'],[],[],?,178,745 kj(178 kcal),11,"3,2","4,2","1,9","7,3","1,8","0,72",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Ketchup - Heinz,74854363,['France'],[],[],?,112,469 kj(112 kcal),"0,1","0,1","25,3","24,8","1,4","1,7","0,68",,,,,,,,,,,,,,,['Heinz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Choco mix,2600263032473,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Jambon,2454484048153,['France'],[],[],?,136,569 kj(136 kcal),"4,8","1,8","0,1","0,1",23,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Cuisses de poulet,2227549023552,['France'],[],[],?,175,732 kj(175 kcal),"9,8","2,8","0,7","0,5",21,"1,5","0,6",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-8%,-21%,+120%,+14%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,9.8 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-9%,-16%,+223%,+97%,+97%,5,+42%,C,+42%,,,,"['EMB 72284', 'Saint-Germain-sur-Sarthe (Sarthe, France)']",,,,,,,,,,
912,Saucisses de volaille - Carrefour Bio,2273729034832,['France'],[],[],?,136,569 kj(136 kcal),"6,2","1,7","0,7","0,7",19,"1,8","0,72",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,-24%,-47%,-44%,+15%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,['Carrefour Bio'],6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,-25%,-53%,+34%,+1%,+1%,4,-59%,C,-59%,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['FR 79.195.001 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,['Carrefour'],,,,,,,
913,Fettucine all'uovo - Divella,8005121031126,['France'],[],[],?,369,1544 kj(369 kcal),"3,2","1,3",71,"1,5",14,"0,08","0,032",,,,,,,,,,,,,,,['Divella'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Grillbratwurst - Denner - 130g,7610271802789,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Denner'],,,,,,,,,,,,,,,,,,130 g,,['stück'],,,,,,,,,,,
915,Newtons,44000037444,['France'],[],[],?,100,418 kj(100 kcal),2,0,12,12,1,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Fruuut auf joghurt,20147037,['France'],[],[],?,103,431 kj(103 kcal),3,2,"15,4","14,5","3,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Stracciatella - L'Italie des Fromages,8059070742060,['France'],[],[],?,232,971 kj(232 kcal),19,13,"1,3",0,14,"0,9","0,36",,,,,,,,,,,,,,,"[""L'Italie des Fromages""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Green freeze,3582740000191,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,3245475387899,3245475387899,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Terrine de campagne,3760025970661,['France'],[],[],?,296,1238 kj(296 kcal),"37,28","9,34","3,48","0,62","8,31","0,28","0,112",,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,-8%,+32%,+52%,-41%,,,,,,,,,37.3 g,en quantité élevée,9.34 g,en quantité élevée,0.62 g,en faible quantité,0.28 g,en faible quantité,-8%,-14%,-29%,-82%,-82%,13,-33%,D,-33%,,,,,,,,,,,,,,
921,Gaufrette protéinée crème,4260495464299,['France'],[],[],?,543,2272 kj(543 kcal),35,"16,9",21,"2,6",36,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Tourtel twist,2080250644450,['France'],[],[],?,35,146 kj(35 kcal),"0,1",0,"8,1",5,"0,2","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Court bouillon,3359810047536,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Les marinés de porc,0210636032997,['France'],[],[],?,217,908 kj(217 kcal),16,"6,3","0,8","0,8",17,"0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 47.091.002 CE', 'Estillac (Lot-et-Garonne, France)']",,,,,,,,,,
925,Gelée d'arbouse - 250g,3330790001541,['France'],[],[],?,274,1146 kj(274 kcal),"0,2","0,1",68,66,"0,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,,
926,chistorra - Hiruak,2474757027166,['France'],[],[],?,407,1703 kj(407 kcal),37,13,27,2,15,"2,2","0,88",,,,,,,,,,,,,,,['Hiruak'],,,,,,,,,,,,,,,,,,,,,"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",,,,,,,,,,
927,Morceaux choisis de poulet recettr thym citron - Maître Coq,0215568027752,['France'],[],[],?,183,766 kj(183 kcal),12,"3,6","1,8",0,17,"1,3","0,52",,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Religieuses au chocolat,0260248014430,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Pain céréales sans gluten - 350g,3316037000003,['France'],[],[],?,272,1138 kj(272 kcal),"10,7","1,4","32,4",1,"5,6","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,
930,Waitrose Rich and rustic,5000169272060,['France'],[],[],?,482,2017 kj(482 kcal),22,"14,3","57,3","2,7",11,"1,75","0,7",,,,,,,,,,,,,,,['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Arroz Redondo Extra Caballero,8411041020018,['France'],[],[],?,341,1427 kj(341 kcal),"0,7","0,3",77,0,"6,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Filet de poulet - Carrefour - 223g,0219966017971,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Carrefour'],,,,,,,,,,,,,,,,,,223g,"['Viande Française', 'Volaille-francaise']","['Frais', 'Sous vide']","['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,,['Carrefour'],,,['France'],,,,
933,Sauce Burger - Tasty,4008164823691,['France'],[],[],?,?,,?,,?,,?,,,D,"['Epicerie', 'Sauces', 'Sauces burger']",,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Tasty'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Noirmoutier Saunier Sea Salt 1kg,3544763222004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Carottes râpées maraîchères u jus citron,0208437047623,['France'],[],[],?,72,301 kj(72 kcal),4,"0,31","6,8","5,2","0,79","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22389', ""Yffiniac (Côtes-d'Armor, France)"", 'FR 22.389.003 CE', ""Yffiniac (Côtes-d'Armor, France)""]",,,,,,,,,,
936,Choco dattes - Carrefour,6291011056986,['France'],[],[],?,436,1824 kj(436 kcal),"14,53","7,49","70,25","54,21",6,"0,042","0,017",,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
937,Country crisp - Jordans - 550g,14767738,['France'],[],[],?,463,1937 kj(463 kcal),"18,6","7,3","62,6","20,2","7,9","0,03","0,012",,,,,,,,,,,,,,,['Jordans'],,,,,,,,,,,,,,,,,,550 g,['Sans arômes artificiels'],,,,,,,,,,,,
938,Pizza du soleil,0214008035753,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Waterlelon fruit crisps,5060208471809,['France'],[],[],?,291,1218 kj(291 kcal),1,0,66,46,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Saucisson sec pur porc,2602607037137,['France'],[],[],?,394,1648 kj(394 kcal),"31,3","13,3","3,1","1,36",25,"3,38","1,352",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,-4%,-4%,+33%,-8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,31.3 g,en quantité élevée,13.3 g,en quantité élevée,1.36 g,en faible quantité,3.38 g,en quantité élevée,-4%,+4%,-11%,-27%,-27%,24,-1%,E,-1%,,,,,,,,,,,,,,
941,2 brochettes de bœuf aux poivres,0212395029126,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
942,Mauve Fleur Super 15G Bio Bio,3373020000259,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
943,Saucisse a tartiner 170g,3550384683254,['France'],[],[],?,399,1669 kj(399 kcal),38,15,1,"0,7",13,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Langouille & Monette Brièronne,0279784029068,['France'],[],[],?,143,598 kj(143 kcal),"4,1","1,2",0,0,"26,2","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
945,Steak Strips,96619474134,['France'],[],[],?,234,979 kj(234 kcal),"3,2","1,3","15,9","15,9","34,4","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,"Original Irischer Joghurt Aus Weidemilch, Pfirsich. ..",4001954402045,['France'],[],[],?,531,2222 kj(531 kcal),"5,9","3,5","14,4","12,8","3,7","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Chocolate con leche - Spar,8480013152538,"['France', 'Espagne']",[],[],?,470,1966 kj(470 kcal),33,20,56,6,6,"0,19","0,076",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,-15%,-4%,+8%,-16%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Spar'],33 g,en quantité élevée,20 g,en quantité élevée,6 g,en quantité modérée,0.19 g,en faible quantité,-15%,+2%,-88%,-18%,-18%,16,-37%,D,-37%,,,,,,,,,,,,,,
948,Echalotes,3230443150179,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Pomme de terre,3360190018085,['France'],[],[],?,77,322 kj(77 kcal),"0,5","0,1","15,2","0,7","2,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Jus Pomme franboise,3700820000002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,MANIOCANNELÉS,3746116116026,['France'],[],[],?,255,1067 kj(255 kcal),"11,8","7,4","29,8",22,"5,8","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
952,Mijoté de Canard - 600g,3067163617725,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,,,,,,,,,,,,,
953,Vin rosé,3489723211356,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Morbier,2218588023948,['France'],[],[],?,357,1494 kj(357 kcal),29,20,1,1,23,1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,+1%,+1%,+29%,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,29 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,+1%,+3%,+141%,-30%,-30%,13,-13%,D,-13%,,,,"['FR 25.041.001 CE', 'Bannans (Doubs, France)']",,,,,,,,,,
955,Sea salt & black pepper cashews,326797,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Fraise la ferm'andise - 500g,3760210950119,['France'],[],[],?,22,92 kj(22 kcal),8,4,6,4,7,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,
957,Olives fourrées aux anchois,8410134021376,['France'],[],[],?,145,607 kj(145 kcal),15,3,0,0,"1,3","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
958,Rillettes de maquereaux à la moutarde à l'ancienne -,3394610446479,['France'],[],[],?,198,828 kj(198 kcal),"15,4",8,"3,6","1,11","11,3","1,8","0,72",E,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de maquereau']",,-15%,-18%,+57%,-10%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,15.4 g,en quantité modérée,8 g,en quantité élevée,1.11 g,en faible quantité,1.8 g,en quantité élevée,-16%,+8%,0%,+62%,+62%,16,+25%,D,+25%,,,,,,,,,,,,,,
959,Beef/mutton biryani,6091310330011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
960,Vinaigre balsamique de Modène IGP 3 pièces,8032181032244,['France'],[],[],?,190,795 kj(190 kcal),0,0,"42,3","42,3","0,6","0,03","0,012",B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,+29%,-100%,+33%,-10%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,0 g,en faible quantité,0 g,en faible quantité,42.3 g,en quantité élevée,0.03 g,en faible quantité,+29%,-100%,+45%,-58%,-58%,,,,,,,,,,,,,['Italie'],,,,,
961,Rillettes de thon albacore,3760020064204,['France'],[],[],?,265,1109 kj(265 kcal),"20,3","1,5",1,"0,7","19,3","0,9","0,36",D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Rillettes de poissons', 'Thons tropicaux', 'Rillettes de thon', 'Thons albacore']",,+114%,+871%,+545%,-23%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,20.3 g,en quantité élevée,1.5 g,en quantité modérée,0.7 g,en faible quantité,0.9 g,en quantité modérée,+115%,+176%,+586%,-7%,-7%,2,+406%,B,+406%,,,,,,,,,,,,,,
962,COMTÉ AOP 12mois,0209173038777,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,"0,5",27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,+2%,+1%,+116%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,+2%,+1%,+87%,+7%,+7%,13,0%,D,0%,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,
963,Huile d'olive saveur cèpe - Chef Attitude,3700856500392,['France'],[],[],?,900,3766 kj(900 kcal),"99,9","13,8",0,0,0,"0,001",0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,+5%,+5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Chef Attitude'],99.9 g,en quantité élevée,13.8 g,en quantité élevée,0 g,en faible quantité,0.00119 g,en faible quantité,+5%,-1%,,+2261%,+2261%,6,-2%,C,-2%,,,,,,,,,,,,,,
964,"Salade de surimi, carottes et ananas",0202059036805,['France'],[],[],?,179,749 kj(179 kcal),15,"1,1","6,8","2,8","3,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Boudin de viande,0264517028739,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Cerebos Low Flask Salt 125 GR,6001021026011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Beurre de baratte moulé,1389126000040,['France'],[],[],?,745,3117 kj(745 kcal),82,52,"0,5","0,5","0,6","0,05","0,02",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,+2%,+1%,-28%,-15%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,82 g,en quantité élevée,52 g,en quantité élevée,0.5 g,en faible quantité,0.05 g,en faible quantité,+2%,-4%,-11%,-96%,-96%,18,-22%,D,-22%,,,,,,,,,,,,,,
968,Saucisse couteau persillee,2282669052486,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,
969,Dragées,3078812402128,['France'],[],[],?,492,2059 kj(492 kcal),24,"1,8",55,54,11,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Le coq d'or Yaourt à boire,3304820601025,['France'],[],[],?,82,343 kj(82 kcal),3,2,11,10,3,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.163.002 CE', 'Foissiat (Ain, France)']",,,,,,,,,,
971,Cream fudge sucre à la crème,58023102355,['France'],[],[],?,375,1569 kj(375 kcal),"6,25","3,75","77,5",70,1,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Sirop de mure cassis,7650348376676,['France'],[],[],?,324,1356 kj(324 kcal),0,0,"78,9","78,9",0,"0,03","0,012",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",,+17%,-100%,+15%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,+9%,-100%,+16%,+25%,+25%,,,,,,['Fabriqué en France'],,,,,,,,,,,,
