,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
73,Wrigleys Airwave Cherry Menthol Chewing Gum 5 Pack - Airwaves,4009900389785,['Airwaves'],['France'],"['EDULCORANTS SORBITOL', 'ISOMALT', 'ASPARTAME', ""SEL D'ASPARTAME- ACESULFAME"", 'ACESULFAME-K', 'SUCRALOSE', ' GOMME BASE', ""AGENT D'ENROBAGE CARBONATE DE CALCIUM"", 'AROMES', 'EPAISSISSANT GOMME ARABIQUE', 'EMULSIFIANT LECITHINE DE SOJA', 'COLORANT E172', ""AGENT D'ENROBAGE CIRE DE CARNAUBA"", 'ANTIOXYDANT BHA']",[],?,145,607 kj(145 kcal),0,0,"60,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E953 - Isomalt', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E170i - Carbonate de calcium', ""E414 - Gomme d'acacia"", 'E172 - Oxyde et hydroxyde de fer', 'E903 - Cire de carnauba', 'E320 - Butylhydroxyanisol']",4,,,,,,,,
74,Freedent white - Wrigley's,4009900404679,"[""Wrigley's"", 'Freedent']",['France'],[],[],?,591,2473 kj(591 kcal),0,0,"59,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,70 Dragees White Menthe Freedent 70 Dragées,4009900409780,['Freedent'],['France'],[],[],?,151,632 kj(151 kcal),0,0,63,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Wrigley's freedent,4009900425148,"[""Wrigley's""]",['France'],[],[],?,168,703 kj(168 kcal),0,0,"67,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,5X5 Sticks FDT Menthe Forte Freedent - 5×5,4009900427173,['Freedent'],['France'],"['WRIGLEY FRANCE Si', 'c„ 68600 BIESHEIM', 'www', 'freedentfr/be WEURS NUTRITIONNELLES POURNOEDINGSINFORMATIE PER 100 g: ENERGIE 714 kJ/']",[],?,171,715 kj(171 kcal),0,0,"71,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5×5,,,,,,,,,,,
78,Chewing-gum,4009900431781,,['France'],[],[],?,155,649 kj(155 kcal),"0,1","0,1","63,2","0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Freedent Fusion BOX40D M.verte 40 Dragées,4009900439855,['Freedent'],['France'],[],[],?,166,695 kj(166 kcal),0,0,69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chewing gums Freedent white Menthe douce x 65,4009900442350,,['France'],[],[],?,155,649 kj(155 kcal),0,0,"63,5",0,0,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-3%,-100%,+1%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,-3%,-100%,-100%,,,,,,,,,,,,,,,,,,
81,Freedent  multipack white menthe forte 5+1 étui gratuit,4009900443357,['Freedent'],['France'],[],[],?,144,602 kj(144 kcal),?,0,?,"0,1",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dragées chlorophyle - Freedent,4009900447683,['Freedent'],['France'],"['Édulcorants isomalt', 'sorbitol', 'mannitol', 'aspartam', 'acesulfame k', ' lecithine de soja', 'arômes', 'humectant glycérol', 'épaississant gomme arabique', 'colorant E171', ""agent d'enrobage cire de carnauba"", 'antioxygene BHA', 'colorants E141', 'E104', 'E131']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,158,661 kj(158 kcal),0,0,66,0,0,0,0,['Soja'],,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-1%,-100%,+5%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-1%,-100%,-100%,-100%,-100%,,,,,,,"['E953 - Isomalt', 'E420 - Sorbitol', 'E421 - Mannitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', 'E320 - Butylhydroxyanisol', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E104 - Jaune de quinoléine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",4,,,,,,,,
83,Freedent Kids - Wrigley's,4009900451529,"[""Wrigley's"", 'Freedent']",['France'],[],[],?,142,594 kj(142 kcal),0,0,59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
84,Kaugummi,4009900454681,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Freedent Ment.givr.box,4009900455619,['Freedent'],['France'],"['FRANCE S', 'N', 'C', '68600 BIESHEIM', 'FRANCE/ FRANKRIJK', ' CHEWING-GUM CARBONATE à UN DE SAIN', ' POUR UNE RAPIDEMENT OUVERTURE', ' KAUWGOM K', ' GOMBASIS ', 'BEVAT SOJALECITHINE', 'BEVOCHTIGINGSMIDDEI CALCIUMCARBONAAT', 'KIEURSTOF E171', 'EN EVENWICHTIGE EN EN VOCHTENZO']",[],?,146,611 kj(146 kcal),1,1,"60,7",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
86,Tabs Kids Lemon 2 Etui Freedent,4009900456838,,['France'],[],[],?,153,640 kj(153 kcal),0,0,"61,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Chewing gum Airwaves Black menthol 70 + 10 gratuit - Air Waves,4009900462310,['Air Waves'],['France'],"['Édulcorant isolant', 'sorbitol', 'sirop de mal Titole', 'mannitol', 'aspartame,SORBITOL', 'SIROP DE malitol,manitol', 'aspartane,acesulfame K', 'Gomme base ', 'contient de la lécithine de soja', 'arômes épaississant gomme arabique', 'Maltodextrine', 'arômes modifier agent d’enrobage crie de carnauba,,colorant E171', 'Antioxygène BHA', 'colorant E133', 'E160 A', 'E141', 'E100', 'Contient une source de Phenylalamine']","[""Pourrait contenir de l'huile de palme""]",?,650,2720 kj(650 kcal),"0,1","0,1","64,7","0,1","0,1",0,0,['Soja'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E421 - Mannitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', 'E171 - Oxyde de titane', 'E320 - Butylhydroxyanisol', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine']",4,,,,,,,,
88,"Airwaves, Chewing gum gout menthe sans sucres -",4009900470063,,['France'],[],[],?,145,607 kj(145 kcal),0,0,"60,6",0,0,0,0,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-9%,-100%,-4%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-10%,-100%,-100%,-100%,-100%,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
89,Chewing gum Airwaves Black menthol s/sucre 5,4009900473286,['Airwaves'],['France'],"['009900 473286 BLACK MENTHOL ANIS cour CHEWING-GUM SUCRES AVEC ITS ', "" BACT AGENI D'Ellfil"", 'i3AûE colt URE SOURCE DE UNE COUSOMI/ ExcsstvE AVOIR DES']",[],?,141,590 kj(141 kcal),0,0,"58,8",0,0,0,0,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-12%,-100%,-6%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-12%,-100%,-100%,-100%,-100%,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
90,Cool Cassis - Airwaves,4009900473323,['Airwaves'],['France'],[],[],?,150,628 kj(150 kcal),0,0,"62,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Airwaves extreme 5x10 dragees,4009900473347,,['France'],[],[],?,143,598 kj(143 kcal),0,0,"59,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Menthol Extreme - Airwaves - 5 * 14g (70g),4009900477246,['Airwaves'],['France'],"['Edulcorants Sorbitol', 'Isomalt', 'Sirop de maltitol', 'Aspartame', 'Acésulfame-K', ' Gomme base', 'arômes', ""agent d'enrobage Carbonate de calcium"", 'épaississant Gomme arabique', 'émulsifiant Lécithine de Soja', ""agent d'enrobage Cire de Carnauba"", 'colorant E171', 'antioxygène BHA', 'colorants E141', 'E100']",['Sans huile de palme'],597,?,597 kj(143 kcal),0,0,"59,7",0,0,0,0,,Chewing-gum sans sucre,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",-12%,,-100%,-5%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-11%,-100%,-100%,-100%,-100%,,,,,5 * 14 g (70 g),"['Peu ou pas de sucre', 'Sans sucre']","['E420 - Sorbitol', 'E953 - Isomalt', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E170i - Carbonate de calcium', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E171 - Oxyde de titane', 'E320 - Butylhydroxyanisol', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine']",4,"['Papier', 'Plastique']",,,,['Carrefour Market'],,,
93,Freedent Tab.kids Tropica,4009900478335,['Freedent'],['France'],[],[],?,157,657 kj(157 kcal),0,0,"63,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Skittles Beutel XXXL Wild Berry,4009900479110,['Skittles'],['France'],[],[],?,404,1690 kj(404 kcal),"4,2","2,3",91,"90,2",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Chew-gum à la menthe - Wrigley's,4009900481618,"[""Wrigley's""]",['France'],[],[],?,143,598 kj(143 kcal),0,0,"59,4",0,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Starburst Fruit Chews Reds,4009900490016,,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,
97,Chewing-gum sans sucre -,4009900492980,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Peu ou pas de sucre', 'Point Vert', 'Sans sucre']",,,,,,,,,,
98,Chewing Gum sans Sucre - Freedent,4009900493079,['Freedent'],['France'],[],[],?,144,602 kj(144 kcal),0,0,"59,8",0,0,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-10%,-100%,-5%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,-10%,-100%,-100%,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,
99,Freedent menthe verte - wringley's - 1,4009900493109,"[""wringley's""]",['France'],[],[],?,147,615 kj(147 kcal),0,0,"61,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
100,Freedent menthe verte - wringley's - 1,4009900493109,"[""wringley's""]",['France'],[],[],?,147,615 kj(147 kcal),0,0,"61,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
101,Freedent - Wrigleys - 42,4009900498081,['Wrigleys'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,
102,Orbit sweetmint - Wrigley's,4009900499422,"[""Wrigley's""]",['France'],[],[],?,157,657 kj(157 kcal),0,0,"65,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Skittles darkside,4009900500340,['Skittles'],['France'],[],[],?,403,1686 kj(403 kcal),"4,2","2,4","90,6","89,7",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Skittles Limited Edition Darkside,4009900500395,['Skittles'],['France'],"['www', 'wnyey', 'atL!1A WRIGIÉY""V""• 5D', '820041', 'lNTERHACHlNGAm', 'wrigley', 'deKAlJD ZUCKER', 'GUJKOSESIRUP', 'TRONENSÂURE', 'DEXTRIN', 'AROMEII', '[100', 'E133•', 'IJBaZlJGSMffL CARNAUBAWACHS', 'SOSSKARTOFFEL', 'REmcH', 'MINDESTENS FT4', 'l', 'Itnnoaryr', 'oranDAtm']",[],?,403,1686 kj(403 kcal),"4,2","2,4","90,6","89,7",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,,,,,,,
105,Airwave ice fruit - Airwaves - 5x 14g,4009900501187,['Airwaves'],['France'],"['Édulcorants sorbitol', 'isomalt', 'sirop de maltitol', 'aspartame', 'sucralose', 'acesulfame-k', 'gomme base', 'arômes', 'humectant glycerol', 'emulsifiant lecithine de soja', 'epaississant gomme', 'arabique', 'colorant E171', 'sel', ""agent d'enrobage cire de carnauba"", 'colorants E101', 'E172', 'antioxydant BHA', 'contient une source de phenylalanine']",[],621,?,621 kj(148 kcal),0,0,"62,1",0,0,"0,13","0,052",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",-13%,,-100%,-3%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,-12%,-100%,-100%,+394%,+394%,,,,,5 x 14g,['Contient une source de phénylalanine'],"['E420 - Sorbitol', 'E953 - Isomalt', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', 'E101 - Riboflavine', 'E172 - Oxyde et hydroxyde de fer', 'E320 - Butylhydroxyanisol']",4,,,,,['Carrefour'],http://www.airwaves.ch/produkte/items/7,,
106,Skittles crazy sours - Wrigley - 209g,4009900501774,['Wrigley'],['France'],"['sucre', 'sirop de glucose', 'graisse de palme', 'acidifiant acide citrique', 'dextrine', 'maltodextrine', 'amidon modifié', 'arômes', 'colorants E163', 'E162', 'E171', 'E100', 'E132', 'E160a', 'E133', ""correcteur d'acidité citrate trisodique"", 'concentrés ', 'de patate douce', 'de radis', ""agent d'enrobage cire de carnauba""]",['Huile de palme'],?,397,1661 kj(397 kcal),4,"2,3","87,9",87,0,"0,02","0,008",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+12%,+115%,+6%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4 g,en quantité modérée,2.3 g,en quantité modérée,87 g,en quantité élevée,0.02 g,en faible quantité,+11%,+117%,+50%,-83%,-83%,16,+11%,D,+11%,209g,,"['E330 - Acide citrique', 'E1400 - Dextrines', 'E14XX - Amidons modifiés', 'E163 - Anthocyanes', 'E162 - Rouge de betterave', 'E171 - Oxyde de titane', 'E100 - Curcumine', ""E132 - Indigotine carmin d'indigo"", 'E160a - Carotènes mélangés', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E331iii - Citrate trisodique', 'E903 - Cire de carnauba']",4,,,,,,,['Huile de palme'],
107,Skittles tropical,4009900504713,['Skittles'],['France'],[],[],?,399,1669 kj(399 kcal),"4,2","2,4","89,6","88,7",0,"0,02","0,008",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+12%,+126%,+8%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4.2 g,en quantité modérée,2.4 g,en quantité modérée,88.7 g,en quantité élevée,0.02 g,en faible quantité,+11%,+126%,+53%,-83%,-83%,16,+11%,D,+11%,,,,,,,,,,,,
108,Airwaves cool,4009900508254,['Airwaves'],['France'],"['EDULCORANTS SORBITOL', 'ISOMALT', 'MALTITOL', 'ASPARTAME', 'SUCRALOSE', 'ACESULFAME-K', ' GOMME AGENT DT:NROBAGE CARBONATE DE CALCIUM', 'AROMEs', 'DE SOJA', 'HUMECTANT GLYCEROL', 'ARABIQUE', 'COLORANT E171', 'AGENT CARNAUBA', 'ANTIOXYDANT COLORANT E133']",[],?,144,602 kj(144 kcal),0,0,"59,9",0,0,0,0,['Soja'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E953 - Isomalt', 'E965 - Maltitol', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E171 - Oxyde de titane']",4,,,,,,,,
109,"Chewing gum sans sucre menthe verte FREEDENT WHITE tab, 2x14",4009900509237,['Freedent'],['France'],"['EDULCOPANTS SORBffOL', 'MALTITOL', 'mannitol', 'sirop de maltitol', 'ACESULFAMe-K', 'SUCRALOSE• GOMME base', 'agent de charge', 'PHOSPHATES DE Calcium', 'humectant GLYCEROL', 'Arômes', 'émulsifiant lécithine de soja', ""Correcteur d'acidité carbonate acide de sodium"", 'antioxydant bha', 'colorant e133']",[],?,151,632 kj(151 kcal),0,0,"62,8",0,0,"0,07","0,028",,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,-6%,-100%,0%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.07 g,en faible quantité,-6%,-100%,-100%,+227%,+227%,,,,,,"['Peu ou pas de sucre', 'Sans sucre']","['E965 - Maltitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E500ii - Carbonate acide de sodium', 'E320 - Butylhydroxyanisol', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,,,,,,,
110,Bonbons Skittles Darkside,4009900512053,['Skittles'],['France'],"['ag-cs—en-ciel ne Soné jamais les même Pp-ofiée mélange WRIGLEY FRANCE S', 'N', 'C', '68600 BIESHEIM', 'FRANCE/FRANKRIJK', ' kwmarsfrance', 'fr TENDRES DRAGEIHESAUX SUCRE', 'SIROP DE GLUCOSE', 'GRAISSE DE PALME', 'DEXTRINE', 'AROMES', 'MALTODEXTRINE,AMIDON MODIFIE', 'EIB', 'E171', 'E132', 'E160a', 'E100', 'E133', ' CORRECTEUR AGENT DE CARNAUBA', 'CONCENTRES ', 'DEPATATED01ìCE', 'DE RADIS', 'EMULSIFIANT LECITHINE', ' CONSERVER AU FRAIS CONSOMMER DE PREFERENCEAVANT LE VOIR EN DESSOUS IN ŒN KNAPPERIGSUIKERIAAGJE MET SUIKER', 'GLUCOSESTROOP', 'VOEDINGSZUUR DEXTRINE', 'AROMAS', 'MALT0DEXTRlNE', 'GEMODIFICEERD ŒTMEEL', 'E162', 'E163', 'E171', 'E132', 'E160a', 'EIOO', 'E133', ' ZUURTEREGEIAAR CARNAUBAWAS', 'ZOETE RADIJS', 'EMULGATOR LECITHINE', ' EN DROOG BEWAREN', ' bhiSTEHOUDBAARTOT:ZlEONDERZlJDE']",['Huile de palme'],?,181,757 kj(181 kcal),"1,9",0,"40,8","40,4",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],"['E1400 - Dextrines', 'E14XX - Amidons modifiés', 'E171 - Oxyde de titane', ""E132 - Indigotine carmin d'indigo"", 'E160a - Carotènes mélangés', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E322i - Lécithine', 'E162 - Rouge de betterave', 'E163 - Anthocyanes']",4,,,,,,,['Huile de palme'],
111,Fruits & Sours - Skittles,4009900514248,['Skittles'],['France'],[],[],?,174,728 kj(174 kcal),?,"4,1",?,"88,4","0,01","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Airwaves,4009900519397,"['Airwaves', 'Wrigley']",['France'],[],[],?,142,594 kj(142 kcal),1,1,"59,1",1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Skittles - Wrigley,4009900523547,['Wrigley'],['France'],"[""PORTIONS PAR PER VERPAKKING: 4 TAILLE D'UNE g""]",[],?,397,1661 kj(397 kcal),4,"2,3",88,87,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Skittles limited edigion,4009900526289,['Skittles'],['France'],"['sugar', 'glucose syrup', 'palm fat', 'acids citric acid', 'malic acid', 'dextrin', 'maltodextrin', 'flavourings', 'modified starch', 'acidity regulator trisodium citrate', 'glazing agent carnauba wax', 'colour e153', 'product may contain an uneven mix of flavours suitable for vegetarians', 'keep cool and dry', 'best before: see bottom,']",['Huile de palme'],?,409,1711 kj(409 kcal),"4,2","2,3","90,9",90,0,"0,02","0,008",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+15%,+126%,+9%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4.2 g,en quantité modérée,2.3 g,en quantité modérée,90 g,en quantité élevée,0.02 g,en faible quantité,+14%,+117%,+55%,-83%,-83%,17,+18%,D,+18%,,['Edition limitée'],"['E330 - Acide citrique', 'E296 - Acide malique', 'E1400 - Dextrines', 'E14XX - Amidons modifiés', 'E331iii - Citrate trisodique', 'E903 - Cire de carnauba', 'E153 - Charbon végétal médicinal']",4,,,,,,,,
115,Schwäbische Gebäckspezialität -  - 200g,4009918701050,,['France'],[],[],?,387,1619 kj(387 kcal),"0,2","0,1","88,7","49,11",6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200g,,,,,,,,,,,
116,Basf,4009993132459,,['France'],[],[],?,23,96 kj(23 kcal),45,7,2,1,21,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4009993901048,4009993901048,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Caramels durs au beurre salé au sel de guerande %,40000008,,['France'],[],[],?,406,1699 kj(406 kcal),"3,2","2,01","94,3",58,"0,5","0,107","0,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Poulet au curry et son riz - Comme j'aime - 285g,400016,"[""Comme j'aime""]",['France'],[],[],499,119,499 kj(119 kcal),"3,4",1,"15,9","0,7","6,5","0,6","0,24",,,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",-11%,-23%,-26%,-16%,+0%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,3.4 g,en quantité modérée,1 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en quantité modérée,-21%,-35%,-53%,-25%,-25%,-1,-158%,A,-158%,285 g,['Fabriqué en France'],,,"['Carton', 'Plastique', 'Barquette']",,['France'],['France'],"[""Comme j'aime""]",,,
120,Poulet au curry et son riz - Comme j'aime - 285g,400017,"[""Comme j'aime""]",['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']",,,,,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,,,,,,,,,285 g,['Fabriqué en France'],,,"['Carton', 'Plastique', 'Barquette']",,,['France'],"[""Comme j'aime""]",,,
121,Matze Crackers,40002354,,['France'],[],[],?,375,1569 kj(375 kcal),1,0,79,"0,4",11,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Lätta Joghurt 500g - 500g,40004358,['Lätta'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,['Packung(en)'],,,,,,,
123,Grekisk yoghurt - 1kg,40051536,,['France'],[],[],?,123,515 kj(123 kcal),10,"6,9","4,3","4,3","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
124,Chili - Thomy,40052892,['Thomy'],['France'],[],[],?,87,364 kj(87 kcal),"0,4","0,1","17,4",13,"1,6","1,7","0,68",,,,"['Epicerie', 'Sauces', 'Sauces chili']",,+1%,-56%,+20%,+65%,,,,,,,,0.4 g,en faible quantité,0.1 g,en faible quantité,13 g,en quantité élevée,1.7 g,en quantité élevée,+3%,-40%,+26%,-57%,-57%,10,-5%,C,-5%,,,,,,,,,,,,
